,Lapatinib_ActArea,Panobinostat_ActArea,Paclitaxel_ActArea,Irinotecan_ActArea,PD-0325901_ActArea,AZD6244_ActArea,Nilotinib_ActArea,AEW541_ActArea,17-AAG_ActArea,PHA-665752_ActArea,Nutlin-3_ActArea,AZD0530_ActArea,PF2341066_ActArea,L-685458_ActArea,ZD-6474_ActArea,Sorafenib_ActArea,LBW242_ActArea,PD-0332991_ActArea,PLX4720_ActArea,RAF265_ActArea,TAE684_ActArea,TKI258_ActArea,Erlotinib_ActArea,Lapatinib_ActArea_N,Panobinostat_ActArea_N,Paclitaxel_ActArea_N,Irinotecan_ActArea_N,PD-0325901_ActArea_N,AZD6244_ActArea_N,Nilotinib_ActArea_N,AEW541_ActArea_N,17-AAG_ActArea_N,PHA-665752_ActArea_N,Nutlin-3_ActArea_N,AZD0530_ActArea_N,PF2341066_ActArea_N,L-685458_ActArea_N,ZD-6474_ActArea_N,Sorafenib_ActArea_N,LBW242_ActArea_N,PD-0332991_ActArea_N,PLX4720_ActArea_N,RAF265_ActArea_N,TAE684_ActArea_N,TKI258_ActArea_N,Erlotinib_ActArea_N
SALIVARY,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,1.0,1,,,,,,0,0,,,1,1,0,,,,,0,0,,0,0,1
LUNG,0.6818181818181818,0.6666666666666666,0.7222222222222222,0.75,0.8235294117647058,0.7647058823529411,0.25,0.5789473684210527,0.75,0.35,0.47058823529411764,0.5263157894736842,0.35294117647058826,0.25,0.55,0.375,0.5384615384615384,0.3333333333333333,0.45454545454545453,0.5,0.4090909090909091,0.5294117647058824,0.7727272727272727,22,12,18,8,17,17,12,19,20,20,17,19,17,16,20,16,26,15,22,14,22,17,22
BONE,0.0,0.6,1.0,1.0,,,0.5,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1,5,5,3,0,0,2,6,2,1,3,2,4,3,2,1,1,1,3,2,3,3,1
PLEURA,1.0,,,0.0,1.0,,0.0,0.0,,,0.5,0.5,0.5,0.0,0.5,0.75,0.0,0.5,0.0,0.6666666666666666,1.0,1.0,0.3333333333333333,1,0,0,1,1,0,1,1,0,0,4,2,2,1,2,4,2,4,2,3,3,2,3
ENDOMETRIUM,0.75,0.3333333333333333,0.5,,0.0,0.0,,0.0,0.0,0.6,0.5,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.8,0.75,4,3,4,0,1,1,0,2,1,5,4,4,1,2,6,1,4,1,1,3,1,5,4
BREAST,0.8888888888888888,0.7142857142857143,0.2,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.6,0.0,0.5,0.5,0.8333333333333334,0.75,0.42857142857142855,0.0,0.0,0.5,0.3333333333333333,1.0,9,7,5,3,1,1,6,3,6,3,2,5,3,6,4,6,8,7,2,4,2,6,5
PANCREAS,1.0,0.0,1.0,1.0,0.9375,0.8571428571428571,0.0,0.5555555555555556,0.8571428571428571,0.14285714285714285,0.8888888888888888,0.9,0.8181818181818182,0.0,1.0,0.5,0.6666666666666666,0.3333333333333333,0.6,0.5,0.8888888888888888,0.0,0.6666666666666666,5,3,2,1,16,14,5,9,7,7,9,10,11,5,5,6,6,3,5,4,9,1,6
AERODIGESTIVE,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,,,1.0,0.0,0.5,0.0,,,,1.0,1.0,3,1,1,1,2,3,1,1,3,3,1,3,0,0,5,1,2,1,0,0,0,1,4
LARGE_INTESTINE,1.0,0.75,0.8333333333333334,0.5,1.0,1.0,1.0,0.8888888888888888,0.7,0.8,0.6,0.8,0.4,0.4,1.0,0.5,0.3333333333333333,0.5714285714285714,0.5,0.4,1.0,0.75,1.0,9,8,6,2,13,14,7,9,10,5,5,5,5,5,9,8,3,7,6,5,9,4,8
GANGLIA,,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.8,0.0,0.5,0.6666666666666666,0.0,0.8,0.8,0.0,0.0,0.3333333333333333,1.0,0.0,0.5,1.0,1.0,,0,6,2,1,3,4,2,5,1,2,3,3,5,5,2,2,3,4,1,2,5,2,0
OESOPHAGUS,0.9,0.0,1.0,0.0,0.5,1.0,0.0,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.3333333333333333,1.0,0.0,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.25,0.0,0.0,0.0,0.6666666666666666,0.25,1.0,10,1,6,1,2,1,3,7,7,7,3,9,3,3,6,3,4,1,2,1,3,4,11
FIBROBLAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERVIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIVER,0.0,,0.5,0.0,0.0,,0.0,0.75,0.0,0.8333333333333334,0.2,0.0,0.0,0.25,0.0,0.3333333333333333,0.6,,0.2,0.5,0.3333333333333333,1.0,0.0,4,0,2,1,1,0,1,4,2,6,5,1,2,4,3,6,5,0,5,2,3,3,1
BILIARY,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,0,,,,,,,,,0,0,
SMALL_INTESTINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
