Lapatinib,,,,,Selumetinib,,,,,,,,,,,,,,,,,
RFC,XGB,Lapatinib_ActArea,RFC threshold = 0.5,XGB threshold = 0.5,RFC,XGB,AZD6244_ActArea,RFC threshold = 0.5,XGB threshold = 0.5,,,,,,,,,,,,RFC accuracy,XGB accuracy
0,0.003217552,0,1,1,0.93,0.98668087,1,1,1,,,,,,,,,,,,,
0.38,0.8432443,1,0,1,0.98,0.9961041,1,1,1,,,,,,,,,,,,,
0.89,0.98345226,1,1,1,0.91,0.9955285,1,1,1,,,,,,,,,,,,,
0.26,0.7260557,1,0,1,0.01,0.004377974,0,1,1,,,,,,,,,,,,,
0.18,0.003910236,0,1,1,0.93,0.9947956,1,1,1,,,,,,,,,,,,,
0.82,0.9525291,1,1,1,0.6,0.9323879,1,1,1,,,,,,,,,,,,,
0.02,0.001209683,0,1,1,0.89,0.9908568,1,1,1,,,,,,,,,,,,,
0.07,0.001541793,0,1,1,0.2,0.003707829,0,1,1,,,,,,,,,,,,,
0.81,0.90603125,1,1,1,0.17,0.005678324,0,1,1,,,,,,,,,,,,,
0.94,0.9896639,1,1,1,0.02,0.002598613,0,1,1,,,,,,,,,,,,,
0.02,0.003395239,0,1,1,0.9,0.99399096,1,1,1,,,,,,,,,,,,,
0.77,0.99236876,1,1,1,0.07,0.002828731,0,1,1,,,,,,,,,,,,,
0.83,0.99356055,1,1,1,0.16,0.0044961,0,1,1,,,,,,,,,,,,,
0.06,0.001348489,0,1,1,0.57,0.82788575,1,1,1,,,,,,,,,,,,,
0.84,0.9584314,1,1,1,0.68,0.9788219,1,1,1,,,,,,,,,,,,,
0.98,0.99548787,1,1,1,0.15,0.006248643,0,1,1,,,,,,,,,,,,,
0.56,0.25703004,0,0,1,0.99,0.9952815,1,1,1,,,,,,,,,,,,,
0.8,0.897876,1,1,1,0.28,0.19999783,0,1,1,,,,,,,,,,,,,
0.18,0.21688099,1,0,0,0.05,0.00445291,0,1,1,,,,,,,,,,,,,
0.31,0.001838237,0,1,1,0.05,0.002806634,0,1,1,,,,,,,,,,,,,
0.93,0.9983846,1,1,1,0.13,0.010440104,0,1,1,,,,,,,,,,,,,
0.82,0.9277588,1,1,1,0.02,0.004644327,0,1,1,,,,,,,,,,,,,
0.33,0.03814221,0,1,1,0.18,0.019662714,0,1,1,,,,,,,,,,,,,
0.88,0.9551856,1,1,1,0.97,0.994764,1,1,1,,,,,,,,,,,,,
0.08,0.000861731,0,1,1,0.05,0.005084951,0,1,1,,,,,,,,,,,,,
0.24,0.00651245,0,1,1,0.88,0.9942069,1,1,1,,,,,,,,,,,,,
0.78,0.9251105,1,1,1,0.15,0.043628354,0,1,1,,,,,,,,,,,,,
0.01,0.00305342,0,1,1,0.24,0.10445317,0,1,1,,,,,,,,,,,,,
0.34,0.001000913,0,1,1,0.35,0.083452135,0,1,1,,,,,,,,,,,,,
0.8,0.9691394,1,1,1,0.01,0.00255062,0,1,1,,,,,,,,,,,,,
0.94,0.9807304,1,1,1,0.1,0.004142235,0,1,1,,,,,,,,,,,,,
0.75,0.9334317,0,0,0,0.92,0.9950347,1,1,1,,,,,,,,,,,,,
0.93,0.9922788,1,1,1,0.02,0.004685684,0,1,1,,,,,,,,,,,,,
0.17,0.000625739,0,1,1,0.39,0.064984284,0,1,1,,,,,,,,,,,,,
0.87,0.96957886,1,1,1,0.18,0.010474141,0,1,1,,,,,,,,,,,,,
0.3,0.006545997,0,1,1,0.05,0.019150352,0,1,1,,,,,,,,,,,,,
0.97,0.99740064,1,1,1,1,0.9946719,1,1,1,,,,,,,,,,,,,
0.96,0.9923184,1,1,1,0.03,0.003925375,0,1,1,,,,,,,,,,,,,
0.61,0.6348759,0,0,0,0.05,0.003556978,0,1,1,,,,,,,,,,,,,
0.1,0.003577431,0,1,1,0.07,0.002708891,0,1,1,,,,,,,,,,,,,
0.75,0.60651237,1,1,1,0.87,0.99533397,1,1,1,,,,,,,,,,,,,
0.84,0.9918051,1,1,1,0.06,0.007194785,0,1,1,,,,,,,,,,,,,
0.09,0.007455462,0,1,1,0.11,0.013476357,0,1,1,,,,,,,,,,,,,
0.86,0.99100643,1,1,1,0.07,0.009428645,0,1,1,,,,,,,,,,,,,
0.19,0.000976739,0,1,1,0.9,0.9989717,1,1,1,,,,,,,,,,,,,
0.06,0.000761249,0,1,1,0.64,0.988296,1,1,1,,,,,,,,,,,,,
0.19,0.002071749,0,1,1,0.21,0.010497403,0,1,1,,,,,,,,,,,,,
0.92,0.991394,1,1,1,0.54,0.93429387,1,1,1,,,,,,,,,,,,,
0.04,0.003838328,0,1,1,0.95,0.9941776,1,1,1,,,,,,,,,,,,,
0.46,0.01795954,0,1,1,0.02,0.053022187,0,1,1,,,,,,,,,,,,,
0.71,0.505668,0,0,0,0.75,0.96287155,1,1,1,,,,,,,,,,,,,
0.96,0.99903834,1,1,1,0.59,0.89689255,0,0,0,,,,,,,,,,,,,
0.2,0.005122156,0,1,1,0.94,0.9937634,1,1,1,,,,,,,,,,,,,
1,0.9963709,1,1,1,0.03,0.003008002,0,1,1,,,,,,,,,,,,,
0.03,0.063542746,0,1,1,0.59,0.99383235,1,1,1,,,,,,,,,,,,,
0.91,0.9855127,1,1,1,0.1,0.010971399,0,1,1,,,,,,,,,,,,,
0.55,0.9765822,1,1,1,0.42,0.95920855,1,0,1,,,,,,,,,,,,,
0.05,0.013605488,0,1,1,0.73,0.9926528,1,1,1,,,,,,,,,,,,,
0.16,0.11209651,0,1,1,0.04,0.010727838,0,1,1,,,,,,,,,,,,,
0.12,0.008155169,0,1,1,0.07,0.01493712,0,1,1,,,,,,,,,,,,,
0.83,0.9309374,0,0,0,0,0.007061976,0,1,1,,,,,,,,,,,,,
0.44,0.19050317,1,0,0,0.12,0.00907773,0,1,1,,,,,,,,,,,,,
0.44,0.111874945,0,1,1,0.98,0.99375945,1,1,1,,,,,,,,,,,,,
0.82,0.924643,1,1,1,0.99,0.9946719,1,1,1,,,,,,,,,,,,,
0.25,0.052796826,0,1,1,0.69,0.9939774,1,1,1,,,,,,,,,,,,,
0.9,0.98982024,1,1,1,0.98,0.993057,1,1,1,,,,,,,,,,,,,
0.63,0.9883243,1,1,1,0.1,0.111289725,0,1,1,,,,,,,,,,,,,
0.33,0.38360032,1,0,0,0.01,0.00508656,0,1,1,,,,,,,,,,,,,
0.08,0.11304564,0,1,1,0.28,0.12569086,0,1,1,,,,,,,,,,,,,
0.94,0.99684685,1,1,1,1,0.9946719,1,1,1,,,,,,,,,,,,,
0.33,0.37860063,0,1,1,0.51,0.30053177,0,0,1,,,,,,,,,,,,,
0.15,0.011147061,0,1,1,0.02,0.006848929,0,1,1,,,,,,,,,,,,,
0.26,0.052476097,0,1,1,0.31,0.08916222,0,1,1,,,,,,,,,,,,,
0.13,0.001115475,0,1,1,1,0.9939826,1,1,1,,,,,,,,,,,,,
0.18,0.015910005,0,1,1,0.14,0.008961436,0,1,1,,,,,,,,,,,,,
0.48,0.854014,1,0,1,0.25,0.091984935,1,0,0,,,,,,,,,,,,,
0.23,0.016899182,0,1,1,0.94,0.9917807,1,1,1,,,,,,,,,,,,,
0.2,0.2553331,0,1,1,0.47,0.017174045,0,1,1,,,,,,,,,,,,,
0.21,0.01669101,0,1,1,0.99,0.99530363,1,1,1,,,,,,,,,,,,,
0.91,0.9968129,1,1,1,0.17,0.0784191,0,1,1,,,,,,,,,,,,,
0.14,0.0180731,0,1,1,0.56,0.103008695,0,0,1,,,,,,,,,,,,,
0.35,0.09373537,1,0,0,0.07,0.020944055,0,1,1,,,,,,,,,,,,,
0.1,0.063472256,0,1,1,0.57,0.9457525,1,1,1,,,,,,,,,,,,,
0.23,0.12566587,0,1,1,0.08,0.02063472,0,1,1,,,,,,,,,,,,,
0.08,0.05411936,0,1,1,0.88,0.95062524,1,1,1,,,,,,,,,,,,,
0.78,0.9938001,1,1,1,0.33,0.025422003,0,1,1,,,,,,,,,,,,,
0.16,0.1769021,0,1,1,0.94,0.997502,1,1,1,,,,,,,,,,,,,
0.63,0.96476626,0,0,0,0.19,0.07840669,0,1,1,,,,,,,,,,,,,
0.95,0.99666935,1,1,1,0.11,0.016023846,1,0,0,,,,,,,,,,,,,
0.23,0.004853464,0,1,1,0.1,0.004726882,0,1,1,,,,,,,,,,,,,
0.75,0.9927227,1,1,1,0.01,0.007399903,0,1,1,,,,,,,,,,,,,
0.05,0.000720072,0,1,1,0.46,0.9417613,0,1,0,,,,,,,,,,,,,
0.91,0.9940813,1,1,1,0.79,0.93938756,1,1,1,,,,,,,,,,,,,
0.05,0.003786474,0,1,1,0.06,0.003834765,0,1,1,,,,,,,,,,,,,
0.22,0.015153292,0,1,1,0.98,0.9937649,1,1,1,,,,,,,,,,,,,
0.38,0.053574238,0,1,1,0.95,0.9922414,1,1,1,,,,,,,,,,,,,
0.05,0.001454409,0,1,1,0.39,0.07217652,0,1,1,,,,,,,,,,,,,
0.07,0.00275795,0,1,1,0.22,0.6162626,1,0,1,,,,,,,,,,,,,
0.8,0.99069375,1,1,1,0.95,0.9929264,1,1,1,,,,,,,,,,,,,
0.7,0.9847127,1,1,1,0.97,0.99403894,1,1,1,,,,,,,,,,,,,
0.15,0.025579337,0,1,1,0.02,0.00336599,0,1,1,,,,,,,,,,,,,
0.07,0.00859533,0,1,1,0.99,0.99534565,1,1,1,,,,,,,,,,,,,
0.88,0.9908601,1,1,1,0.85,0.996005,1,1,1,,,,,,,,,,,,,
0.68,0.9671934,1,1,1,0.41,0.041663457,1,0,0,,,,,,,,,,,,,
0.07,0.01130169,0,1,1,0.85,0.9936093,1,1,1,,,,,,,,,,,,,
0.96,0.99683857,1,1,1,1,0.9955562,1,1,1,,,,,,,,,,,,,
0.08,0.005740424,0,1,1,0.85,0.90831727,1,1,1,,,,,,,,,,,,,
0.48,0.966461,1,0,1,0.12,0.2755677,1,0,0,,,,,,,,,,,,,
0.04,0.003985734,0,1,1,0.04,0.011615309,0,1,1,,,,,,,,,,,,,
0.11,0.016387222,0,1,1,0.14,0.01863599,0,1,1,,,,,,,,,,,,,
0.96,0.9960168,1,1,1,1,0.9946719,1,1,1,,,,,,,,,,,,,
0.24,0.019757906,0,1,1,0.94,0.9969921,1,1,1,,,,,,,,,,,,,
0.52,0.9919624,1,1,1,0.34,0.7137382,0,1,0,,,,,,,,,,,,,
0.05,0.004231953,0,1,1,0.02,0.006190833,0,1,1,,,,,,,,,,,,,
0.44,0.004820942,0,1,1,0.1,0.011600292,0,1,1,,,,,,,,,,,,,
0.13,0.021637252,0,1,1,0.98,0.99472225,1,1,1,,,,,,,,,,,,,
0.63,0.17384356,0,0,1,1,0.99292564,1,1,1,,,,,,,,,,,,,
0.56,0.12027514,0,0,1,0.07,0.012784017,0,1,1,,,,,,,,,,,,,
0.23,0.120636076,1,0,0,0.06,0.006898498,0,1,1,,,,,,,,,,,,,
0.02,0.2412552,1,0,0,0.03,0.004139826,0,1,1,,,,,,,,,,,,,
0.04,0.03295984,0,1,1,0.02,0.002216445,0,1,1,,,,,,,,,,,,,
0.13,0.006911565,0,1,1,0.04,0.006445213,0,1,1,,,,,,,,,,,,,
0.87,0.9933374,1,1,1,0.89,0.9876439,1,1,1,,,,,,,,,,,,,
0.06,0.004397431,0,1,1,0.08,0.005762653,0,1,1,,,,,,,,,,,,,
0.37,0.8924107,1,0,1,0.92,0.9806552,1,1,1,,,,,,,,,,,,,
0.02,0.015964491,0,1,1,0.06,0.015019417,0,1,1,,,,,,,,,,,,,
0.15,0.011347053,0,1,1,0.36,0.058350112,0,1,1,,,,,,,,,,,,,
0.05,0.006822417,0,1,1,0.25,0.06150257,0,1,1,,,,,,,,,,,,,
0.41,0.8693931,1,0,1,0.12,0.013900092,0,1,1,,,,,,,,,,,,,
0.92,0.9884249,1,1,1,0.63,0.88105166,1,1,1,,,,,,,,,,,,,
0.07,0.001075942,0,1,1,0.16,0.034106504,0,1,1,,,,,,,,,,,,,
0.06,0.001201319,0,1,1,0.77,0.92241114,1,1,1,,,,,,,,,,,,,
0.96,0.9977144,1,1,1,0.09,0.009915579,0,1,1,,,,,,,,,,,,,
0.2,0.00251928,0,1,1,1,0.99292564,1,1,1,,,,,,,,,,,,,
0.79,0.9675078,1,1,1,0.36,0.2510127,1,0,0,,,,,,,,,,,,,
0.8,0.9881733,1,1,1,1,0.99627775,1,1,1,,,,,,,,,,,,,
0.19,0.001036892,0,1,1,0.75,0.9957625,1,1,1,,,,,,,,,,,,,
0.47,0.15648413,0,1,1,0.22,0.009534092,0,1,1,,,,,,,,,,,,,
0.01,0.007082827,0,1,1,1,0.993057,1,1,1,,,,,,,,,,,,,
0.44,0.11762538,0,1,1,0.83,0.9928363,1,1,1,,,,,,,,,,,,,
0.13,0.001058784,0,1,1,0.96,0.99475217,1,1,1,,,,,,,,,,,,,
0.93,0.99274397,1,1,1,0.77,0.97529376,1,1,1,,,,,,,,,,,,,
0.53,0.3592838,1,1,0,0.97,0.99289685,1,1,1,,,,,,,,,,,,,
0.91,0.991076,1,1,1,0.04,0.008511074,0,1,1,,,,,,,,,,,,,
0.91,0.99119955,1,1,1,0.22,0.07900811,0,1,1,,,,,,,,,,,,,
0.87,0.984057,1,1,1,0.6,0.8190736,1,1,1,,,,,,,,,,,,,
0.03,0.002748809,0,1,1,0.99,0.99583083,1,1,1,,,,,,,,,,,,,
0.96,0.9990645,1,1,1,1,0.9946719,1,1,1,,,,,,,,,,,,,
0.02,0.009012159,0,1,1,1,0.9946719,1,1,1,,,,,,,,,,,,,
0.33,0.03684275,0,1,1,0.56,0.019728642,0,0,1,,,,,,,,,,,,,
0.95,0.9982497,1,1,1,0.82,0.9943094,1,1,1,,,,,,,,,,,,,
0.64,0.9869848,1,1,1,0.94,0.9941776,1,1,1,,,,,,,,,,,,,
0.95,0.99754995,1,1,1,0.13,0.009004055,0,1,1,,,,,,,,,,,,,
0.16,0.029788112,0,1,1,0.02,0.007927539,0,1,1,,,,,,,,,,,,,
0.14,0.023809625,0,1,1,0.95,0.9932888,1,1,1,,,,,,,,,,,,,
0.8,0.9959032,1,1,1,1,0.9946091,1,1,1,,,,,,,,,,,,,
0.43,0.09552015,0,1,1,0.24,0.034209877,0,1,1,,,,,,,,,,,,,
0.92,0.9893574,1,1,1,0.99,0.9946719,1,1,1,,,,,,,,,,,,,
0.07,0.008992268,0,1,1,0.44,0.25288698,0,1,1,,,,,,,,,,,,,
0.39,0.2784764,0,1,1,0.97,0.9920683,1,1,1,,,,,,,,,,,,,
0.93,0.9773662,1,1,1,0.03,0.006580489,0,1,1,,,,,,,,,,,,,
0.11,0.002235035,0,1,1,0.99,0.9926878,1,1,1,,,,,,,,,,,,,
0.13,0.00569254,0,1,1,0.49,0.9889052,1,0,1,,,,,,,,,,,,,
0.22,0.010071253,0,1,1,0.98,0.99256563,1,1,1,,,,,,,,,,,,,
0.9,0.99383837,1,1,1,0.18,0.05280608,0,1,1,,,,,,,,,,,,,
0.05,0.00137014,0,1,1,0.18,0.045151737,0,1,1,,,,,,,,,,,,,
0.84,0.99707544,1,1,1,0.25,0.6168015,1,0,1,,,,,,,,,,,,,
0.99,0.9992204,1,1,1,0.7,0.9888565,1,1,1,,,,,,,,,,,,,
0.96,0.99882287,1,1,1,0.15,0.04848213,0,1,1,,,,,,,,,,,,,
0.91,0.9976618,1,1,1,0.95,0.9930821,1,1,1,,,,,,,,,,,,,
0.97,0.99682355,1,1,1,1,0.9961481,1,1,1,,,,,,,,,,,,,
0.85,0.9939627,1,1,1,0.97,0.9978441,1,1,1,,,,,,,,,,,,,
0.76,0.99772257,1,1,1,0.92,0.9977532,1,1,1,,,,,,,,,,,,,
0.12,0.015321706,0,1,1,0.95,0.99751806,1,1,1,,,,,,,,,,,,,
0.98,0.98648643,1,1,1,0.01,0.005932905,0,1,1,,,,,,,,,,,,,
0.85,0.990105,1,1,1,0.72,0.97719145,1,1,1,,,,,,,,,,,,,
0.91,0.98436683,1,1,1,0.85,0.95634556,1,1,1,,,,,,,,,,,,,
0.23,0.03580697,0,1,1,0.42,0.33445776,0,1,1,,,,,,,,,,,,,
0.86,0.9984143,1,1,1,0.79,0.9961372,1,1,1,,,,,,,,,,,,,
0.6,0.24127015,0,0,1,0.18,0.009352598,0,1,1,,,,,,,,,,,,,
0.92,0.9974509,1,1,1,0,0.004174179,0,1,1,,,,,,,,,,,,,
0.79,0.98707485,1,1,1,0.17,0.045532037,0,1,1,,,,,,,,,,,,,
0.93,0.9931647,1,1,1,0.9,0.995576,1,1,1,,,,,,,,,,,,,
0.2,0.06727191,0,1,1,0.91,0.9975376,1,1,1,,,,,,,,,,,,,
0.35,0.011536901,0,1,1,0.75,0.925747,1,1,1,,,,,,,,,,,,,
0.9,0.9892294,1,1,1,0.94,0.99743396,1,1,1,,,,,,,,,,,,,
0.39,0.20146738,0,1,1,0.96,0.99716324,1,1,1,,,,,,,,,,,,,
0.23,0.026244393,0,1,1,0.03,0.003075031,0,1,1,,,,,,,,,,,,,
0.03,0.009303901,0,1,1,0.13,0.030886663,0,1,1,,,,,,,,,,,,,
0.65,0.9841553,1,1,1,0.91,0.9954405,1,1,1,,,,,,,,,,,,,
0.45,0.86089164,1,0,1,0.26,0.00724404,0,1,1,,,,,,,,,,,,,
0.94,0.99474686,1,1,1,0.9,0.9880802,1,1,1,,,,,,,,,,,,,
0.92,0.9961836,1,1,1,0.18,0.010303256,0,1,1,,,,,,,,,,,,,
0.83,0.97115034,1,1,1,0.85,0.9382427,1,1,1,,,,,,,,,,,,,
0.94,0.99852824,1,1,1,0.95,0.9958799,1,1,1,,,,,,,,,,,,,
0.13,0.007357418,0,1,1,0.86,0.99794155,1,1,1,,,,,,,,,,,,,
0.97,0.99287546,1,1,1,0.81,0.99071634,1,1,1,,,,,,,,,,,,,
0.9,0.9877176,1,1,1,0.48,0.9396139,1,0,1,,,,,,,,,,,,,
0.94,0.99508625,1,1,1,0.93,0.9944541,1,1,1,,,,,,,,,,,,,
