,RFC_mean,SVM_mean,Logistic_mean,Ridge_mean,EN_mean,ET_mean,XGB_mean,Ada_mean
FOXO3a_Caution,0.005682912133371028,0.285414325119799,0.4550286212211249,0.1675508905817254,0.22173676600516534,0.006550774724258575,0.006393965,0.006000000000000001
FRA1_Caution,0.004458029530958643,0.23296835853049228,0.1356704170172891,0.15056724111328618,0.011237544663406082,0.004893033989862679,0.007918936,0.0016
G6PD,0.004554120721690726,1.0581356926169705,0.7817211431588683,0.7284023053570909,0.7489586189966387,0.004732136817352826,0.007419188,0.004400000000000001
Gab2,0.005216075827247809,0.3350247559016706,0.41984951689710953,0.24247621870538133,0.26348750837963947,0.006151940889976996,0.0068707215,0.004200000000000001
GAPDH_Caution,0.0035455955923556514,0.17551048169047143,0.1175471175424898,0.13904385278000297,0.004015130612557801,0.004436150001794866,0.0039515137,0.0036000000000000003
GATA3,0.006781485957638741,0.24274957151097976,0.3262850922865453,0.1658305512938349,0.19195249068083345,0.007395427118685998,0.011635069,0.0066000000000000026
GSK-3-BETA_Caution,0.004236263922824576,0.2660636736837632,0.1428360012369754,0.19109834006333426,0.006488561971252849,0.004732613417282603,0.0026706106,0.0036000000000000003
GSK3-alpha-beta,0.005753240695240715,0.24267637947728624,0.18562455534977573,0.116182585232102,0.026109782806603428,0.005731433944770167,0.004070899,0.0038000000000000004
GSK3-alpha-beta_pS21_S9,0.0032562203659347515,0.12700865483875487,0.08441546136682128,0.16460745554550915,3.0970067798850176e-05,0.005043983989770609,0.004367382,0.0006
GSK3_pS9,0.0034452467225111736,0.3984394705743491,0.12304943366121121,0.1969285501968744,0.01460256126582781,0.004990640014861895,0.0049144765,0.0002
HER2,0.004267184748480802,0.4482597937305312,0.43102519230412817,0.4516045484004396,0.1463165276744898,0.005277557682840562,0.0065947054,0.007200000000000003
HER2_pY1248_Caution,0.009993227987528493,0.3713396272730691,0.4261357933243087,0.2521803999656928,0.14938202488520458,0.009951620911249695,0.007615411,0.007400000000000003
HER3,0.011998806089374665,0.3878179652302147,0.16571609797993825,0.18007466600240027,0.0077284239435460415,0.008899412603307183,0.008730869,0.018600000000000012
Heregulin,0.004110260873430648,0.3864066937051422,0.5255675587986192,0.43270538532277236,0.2343859688105303,0.004354840809251531,0.0048808972,0.004400000000000001
HSP70_Caution,0.005030071608595929,0.29702291378858886,0.15704023920449395,0.17473639001483066,0.015055707322662539,0.004597399685962553,0.004851957,0.0030000000000000005
IGFBP2,0.002691657414712507,0.2692871282636877,0.26569606688221964,0.155513761421781,0.08830288218264938,0.004558278222326892,0.0046064295,0.001
INPP4B,0.005290695266249878,0.20132306409924805,0.14821323448188267,0.1669254417723974,0.005250327834570544,0.005155928918879337,0.011168743,0.0006
IRS1,0.0032172197372592666,0.17115362034029938,0.17291846588100745,0.10084873008081914,0.03633112687940218,0.004688161064797176,0.00485586,0.0018
JNK_pT183_Y185,0.003026103801438622,0.24997149895253437,0.14827971579919,0.1590864885210003,0.003400188291380094,0.004147319617317936,0.0020564457,0.001
