,Lapatinib,,Panobinostat,,Paclitaxel,,Irinotecan,,PD-0325901,,AZD6244,,Nilotinib,,AEW541,,17-AAG,,PHA-665752,,Nutlin-3,,AZD0530,,PF2341066,,L-685458,,ZD-6474,,Sorafenib,,LBW242,,PD-0332991,,PLX4720,,RAF265,,TAE684,,TKI258,,Erlotinib,,
pred_RPPA_Ada,0.026356089,0.008382294,0.012565934,0.005491114,0.01144463,0.005154539,0.016592082,0.012025815,0.012995614,0.005151666,0.024625878,0.010223638,0.012457224,0.003544223,0.019945297,0.00980947,0.022344725,0.006885008,0.015192382,0.002648531,0.024613265,0.008032734,0.023050209,0.010488338,0.016576946,0.005720802,0.018843437,0.005082204,0.018175743,0.004816033,0.017752981,0.006191824,0.016026493,0.004959107,0.018070979,0.00775711,0.013328395,0.002646043,0.019080733,0.009124468,0.016748556,0.007606748,0.015616394,0.005057207,0.019400195,0.010681912,
pred_RNA_SVC,0.049236848,0.004859011,0.033496492,0.005977015,0.036888084,0.004050761,0.037976884,0.007899408,0.058909566,0.006582294,0.030368641,0.00846445,0.017109132,0.005593341,0.010551705,0.002557183,0.017578919,0.004073715,0.014387018,0.0040725,0.012995621,0.00386737,0.018925348,0.004724118,0.032697918,0.005847576,0.017904869,0.005899227,0.021133431,0.003978996,0.023400408,0.006100626,0.015949588,0.007359138,0.020733918,0.006290438,0.016778716,0.004956028,0.020331477,0.00480321,0.012836727,0.00305022,0.021138127,0.004347256,0.05513225,0.004506567,
pred_RNA_RFC,0.036432068,0.009841659,0.025530488,0.009427779,0.023464752,0.007265882,0.035850832,0.011066514,0.031951525,0.012557627,0.023148313,0.007030114,0.016121563,0.007325244,0.013058413,0.005782544,0.013989266,0.004853822,0.013960594,0.003637702,0.010660091,0.001907202,0.015953377,0.004508501,0.018839527,0.007083911,0.018563918,0.005352815,0.014846184,0.004026959,0.018512806,0.004574633,0.010520253,0.00236419,0.019433847,0.007220634,0.014244561,0.003145039,0.014873081,0.005065486,0.010824297,0.004972904,0.017226428,0.006090577,0.035438442,0.010504852,
pred_RNA_SVM,0.029429835,0.007927086,0.059003986,0.011908228,0.064728351,0.009242759,0.027581832,0.012849343,0.036942433,0.011324923,0.043891909,0.010416129,0.01187435,0.003952611,0.017836589,0.004995361,0.037165361,0.007206527,0.013645465,0.002829941,0.015132261,0.003577086,0.013210523,0.002699253,0.018896209,0.006916995,0.014429822,0.003429139,0.015349999,0.005721517,0.019467294,0.00479438,0.023835856,0.00646485,0.013411256,0.004977987,0.014280926,0.00204332,0.035519203,0.00770697,0.023747918,0.008230289,0.026921345,0.005800518,0.021790091,0.009771048,
pred_RNA_Logistic,0.031157847,0.006143315,0.054622079,0.008206868,0.064818624,0.011226231,0.033464334,0.011348111,0.04682109,0.011905234,0.051938356,0.008994488,0.011052891,0.004034756,0.018367046,0.00354228,0.038872246,0.007450458,0.014758313,0.003363975,0.01616086,0.004756967,0.012555262,0.003045516,0.019206033,0.006104909,0.014686939,0.003213504,0.015669357,0.003920137,0.021776853,0.006331427,0.022674612,0.005704763,0.012257455,0.003567663,0.015514187,0.004133127,0.042238456,0.006388489,0.024522914,0.007812546,0.029597042,0.004480031,0.027478431,0.008791731,
pred_RNA_Ridge,0.006224139,0.004147419,0.010836171,0.00456112,0.012156165,0.00627816,0.005544964,0.003500349,0.014165147,0.00632439,0.005936717,0.003680712,0.001292979,0.000521306,0.002714101,0.001882364,0.006115532,0.003451928,0.001723699,0.00112237,0.001394827,0.001505721,0.001020055,0.000527069,0.000981948,0.000537667,0.001422574,0.000969165,0.001159748,0.001011395,0.001795965,0.001186644,0.001885781,0.001692145,0.00094357,0.000587325,0.000855323,0.000574765,0.007718142,0.005016449,0.002102784,0.001154048,0.001423422,0.000653608,0.003490215,0.001099558,
pred_RNA_EN,0.037855202,0.00863322,0.04388497,0.007203217,0.050796627,0.008820299,0.042740194,0.007263495,0.060727994,0.006902821,0.050121662,0.007116804,0.014541349,0.004497925,0.018061363,0.004791332,0.032786481,0.005959724,0.016928882,0.00302878,0.023069182,0.006158888,0.014468425,0.002743783,0.020312603,0.004629049,0.016708842,0.004836528,0.019105737,0.005090932,0.024758663,0.004915333,0.02350008,0.006492797,0.017425985,0.004591666,0.019191484,0.003632666,0.043116217,0.008253398,0.023129292,0.004432448,0.031625407,0.006796902,0.044273504,0.004828205,
pred_RNA_ET,0.050201061,0.010177163,0.037764836,0.01048084,0.025523342,0.009308788,0.04453202,0.01333845,0.049134209,0.01141586,0.034378615,0.010398464,0.019520392,0.007719098,0.018435599,0.00588197,0.02289111,0.007357955,0.019581196,0.006340074,0.013317314,0.003033984,0.018292916,0.006421799,0.032407417,0.01047766,0.017358393,0.004691948,0.018662481,0.0040175,0.014935898,0.005327903,0.012639854,0.003685459,0.015802577,0.005737106,0.016807031,0.004751953,0.020364744,0.007812727,0.017527926,0.006239558,0.016559392,0.005191986,0.04784924,0.009517753,
pred_RNA_KNN,0.032836631,0.005159596,0.012495686,0.003670082,0.008172205,0.004963511,0.020911843,0.009142334,0.031636705,0.00858814,0.026509193,0.007513713,0.004315126,0.001603788,0.005207207,0.001919495,0.007926817,0.002903747,0.005713524,0.002772382,0.005789822,0.00172964,0.015748434,0.005491264,0.007707019,0.002893289,0.005718021,0.002043501,0.0094127,0.004463758,0.005365814,0.001923674,0.005254238,0.00146155,0.004998084,0.001874303,0.004723869,0.001131965,0.012022546,0.004204406,0.006076923,0.00262057,0.008045974,0.005480288,0.045110536,0.009727884,
pred_RNA_XGB,0.020932005,0.005303292,0.033928098,0.012059241,0.02405007,0.009212929,0.054992264,0.018191236,0.04896299,0.010959732,0.048550752,0.017203061,0.017292936,0.007806585,0.041332559,0.011377953,0.02777503,0.008849165,0.022956673,0.007955572,0.017994919,0.00800239,0.01510404,0.003642272,0.024887934,0.008261586,0.013710695,0.003788655,0.017465946,0.006047646,0.025082424,0.010770029,0.026093898,0.006917266,0.014947683,0.004422153,0.015329593,0.003411898,0.022332969,0.010307159,0.013113098,0.006236146,0.014680221,0.005495948,0.022936835,0.009218818,
pred_RNA_Ada,0.013920196,0.005067665,0.022502808,0.011923081,0.029171007,0.016614605,0.034291563,0.014902484,0.031481747,0.01965015,0.035971011,0.023099103,0.015256725,0.00536035,0.02769206,0.009491654,0.038347987,0.011438076,0.018993472,0.00631529,0.017589707,0.005056797,0.015876996,0.005369742,0.022026705,0.007854288,0.016066496,0.006814217,0.014595325,0.002869108,0.02964248,0.010037051,0.019864392,0.007266771,0.016120135,0.006795823,0.015548775,0.003693446,0.026308356,0.012418612,0.012977245,0.003842982,0.017506337,0.008973678,0.01309427,0.006166503,
pred_MIRNA_SVC,0.013062579,0.003579716,0.012685362,0.004256704,0.010924415,0.002633524,0.01262026,0.00465062,0.006408048,0.001654444,0.008939811,0.002272887,0.012806751,0.003477537,0.023969914,0.011232185,0.013086297,0.002635666,0.015946516,0.004314376,0.028258864,0.009968454,0.019602358,0.009336027,0.016012466,0.004963824,0.019358582,0.005987802,0.023102092,0.009582219,0.01518003,0.003765555,0.035155419,0.015162037,0.01137213,0.002953255,0.016229661,0.003475993,0.021199058,0.010537998,0.01225433,0.003790525,0.013711718,0.003408387,0.017889638,0.007734463,
pred_MIRNA_RFC,0.009714077,0.003232164,0.008504412,0.001795017,0.012189577,0.002648035,0.014183122,0.005918893,0.008359614,0.002074141,0.007766985,0.001997791,0.016399444,0.005207156,0.011000021,0.002755283,0.010031683,0.002346066,0.013096993,0.003571062,0.013525121,0.003986448,0.013609384,0.003372227,0.013032807,0.004094148,0.013745438,0.003216584,0.013267294,0.003491135,0.013214417,0.003556978,0.011785016,0.002555685,0.012357164,0.004210233,0.016891391,0.005419529,0.010805658,0.003006434,0.0110426,0.002405711,0.009555605,0.002681623,0.011790647,0.002846134,
pred_MIRNA_SVM,0.009753923,0.002373124,0.012096796,0.003975968,0.012412999,0.003425508,0.0097561,0.002590767,0.011756281,0.004029789,0.006549478,0.001845871,0.013091269,0.003161658,0.011095075,0.003183202,0.01204721,0.00357344,0.027479724,0.008601415,0.014814576,0.003280727,0.022039294,0.009468736,0.011333334,0.002938494,0.019634675,0.009912408,0.01454791,0.003299535,0.012106949,0.003215784,0.011970371,0.001832457,0.014542645,0.003751218,0.027801757,0.009183115,0.010656144,0.002433307,0.011617858,0.002007827,0.014866389,0.0037209,0.009727758,0.003428895,
pred_MIRNA_Logistic,0.008430545,0.002059909,0.009337308,0.001573923,0.015599883,0.003956089,0.012676911,0.004105814,0.020554994,0.006685472,0.010797924,0.004070392,0.01837594,0.005346659,0.012733242,0.002564953,0.012161607,0.002688092,0.025971579,0.006501709,0.015566945,0.003557839,0.018075594,0.005274048,0.009648908,0.00242227,0.014013228,0.002739649,0.014390481,0.003690877,0.013441293,0.002912742,0.012654593,0.002290354,0.010625424,0.002415707,0.013704592,0.003511636,0.010729838,0.003048757,0.009542904,0.001629791,0.019307243,0.004448681,0.007856849,0.001742572,
pred_MIRNA_Ridge,0.000895713,0.000369645,0.000856969,0.000560918,0.000840071,0.000439231,0.00234927,0.00156692,0.002087266,0.001772218,0.000530768,0.000458007,0.001967052,0.001096139,0.001501966,0.000829222,0.00217775,0.000965588,0.006318685,0.003221386,0.002117234,0.001188757,0.001942437,0.001159489,0.001108249,0.000620839,0.000911563,0.000427978,0.002790885,0.001567588,0.001309134,0.00063115,0.001343111,0.000592924,0.001338958,0.000842079,0.001488214,0.00079447,0.000867873,0.000569743,0.001116143,0.000781821,0.001424569,0.000607988,0.001115854,0.000776535,
pred_MIRNA_EN,0.009462113,0.002526783,0.015659241,0.004853594,0.019037789,0.006917222,0.010860954,0.004402865,0.012928967,0.003681166,0.013368797,0.004158238,0.014856807,0.003992026,0.015506062,0.005441602,0.012566249,0.002981391,0.022640044,0.00530239,0.014005705,0.002937434,0.021615098,0.005997247,0.009654998,0.001953539,0.017562607,0.00446115,0.020165025,0.005571461,0.014226593,0.002561964,0.012837437,0.001912419,0.013552254,0.003564777,0.015876482,0.003292485,0.011127365,0.002268466,0.011323899,0.002685962,0.016750951,0.004956795,0.010858064,0.002376656,
pred_MIRNA_ET,0.009508391,0.002691036,0.00903227,0.002230029,0.010941022,0.004015523,0.012804335,0.004958434,0.006067393,0.002451701,0.006625496,0.002451498,0.011419471,0.003868361,0.010178472,0.002954027,0.010263345,0.002828777,0.012466435,0.004523143,0.011790366,0.003886257,0.011290862,0.003312155,0.011369245,0.003126194,0.011946399,0.003008307,0.014010992,0.003799203,0.011737266,0.002573235,0.010425047,0.002047986,0.011134079,0.004024732,0.017903924,0.006047742,0.008068972,0.002904866,0.010398994,0.003680885,0.00916029,0.001717604,0.010560859,0.003944863,
pred_MIRNA_KNN,0.003276097,0.000738835,0.003040212,0.00143148,0.002873975,0.000941434,0.004279555,0.001663423,0.00265691,0.001057298,0.002824649,0.00110713,0.005005929,0.001821298,0.004839542,0.00152992,0.004713347,0.001511771,0.006299154,0.002241343,0.005470671,0.001297284,0.004549925,0.001274901,0.004979272,0.001448518,0.005331608,0.001757281,0.005759018,0.002179107,0.005061322,0.001053198,0.005685972,0.001783443,0.00622347,0.001686335,0.004217606,0.00107594,0.005000077,0.002044458,0.004602261,0.001330612,0.004522819,0.001228885,0.007246973,0.002315641,
pred_MIRNA_XGB,0.017596119,0.009290475,0.012463132,0.003567943,0.032088532,0.007909846,0.016937163,0.00895591,0.017057306,0.007710643,0.010928653,0.004288438,0.017612223,0.004979738,0.015311565,0.004300406,0.015652948,0.00614925,0.014683403,0.00326256,0.015205481,0.004096899,0.016491963,0.004052005,0.02346539,0.006999032,0.022467851,0.008594761,0.018305351,0.005561774,0.013862274,0.00331905,0.01843897,0.008558016,0.015105938,0.002690569,0.019874126,0.006155167,0.01358585,0.003278111,0.01263024,0.003396433,0.013502073,0.003495696,0.01408973,0.004894447,
pred_MIRNA_Ada,0.009674932,0.003107389,0.009052562,0.002844945,0.01558142,0.003945931,0.016790616,0.007823777,0.013315936,0.005142633,0.011223999,0.003167617,0.013822793,0.004843801,0.015140335,0.003533014,0.017846374,0.010415317,0.016737266,0.004686855,0.014680627,0.003295341,0.013617634,0.003485628,0.013046299,0.002847287,0.017372611,0.005747147,0.017628927,0.00595688,0.026750837,0.010290059,0.01588602,0.005378437,0.013705778,0.0058614,0.016397234,0.005252022,0.017102484,0.004952118,0.012072222,0.003259169,0.013618585,0.003337934,0.011469477,0.00439855,
pred_META_SVC,0.007725044,0.001616957,0.012923967,0.002868733,0.008380615,0.003013094,0.010496937,0.003549209,0.005789789,0.001609036,0.005674238,0.001619589,0.010133896,0.003354356,0.010359353,0.002849803,0.015933404,0.003349053,0.013116856,0.003046298,0.023705112,0.008911113,0.015616499,0.003497712,0.009564467,0.001935811,0.013296482,0.002794846,0.013371036,0.002684753,0.014810781,0.003042945,0.019853852,0.008149468,0.019924908,0.008175017,0.01488874,0.003832712,0.016152059,0.003680986,0.012241692,0.003695316,0.026270699,0.009298956,0.007929743,0.001468395,
pred_META_RFC,0.007524586,0.001387014,0.008745932,0.002863582,0.009127503,0.002403372,0.007233082,0.003020406,0.005637824,0.001872452,0.005183254,0.001366018,0.011796713,0.003541036,0.010914052,0.00256497,0.011457315,0.002577563,0.012657599,0.003223804,0.010030696,0.00222451,0.011201562,0.003246711,0.009578668,0.002752939,0.016827267,0.00507255,0.011631571,0.003336069,0.012646979,0.003709529,0.012625657,0.003299499,0.018700021,0.005979119,0.012561135,0.003122628,0.011635432,0.00310648,0.008521945,0.002004084,0.012096049,0.002988058,0.007069047,0.002140082,
pred_META_SVM,0.00972605,0.002469309,0.011173598,0.003495432,0.018336825,0.005393466,0.020806,0.007327389,0.007544484,0.001670871,0.008184769,0.002044411,0.01234782,0.003944698,0.011564586,0.002818665,0.014892973,0.004249492,0.015464228,0.003015636,0.021537673,0.010001565,0.016119561,0.004102588,0.01723125,0.004926997,0.013059227,0.002679594,0.015561075,0.003722141,0.014841295,0.003109928,0.024508263,0.008166945,0.021563395,0.006822801,0.019166351,0.006444837,0.021412681,0.006724214,0.0195671,0.007585319,0.028657042,0.011194095,0.013942215,0.004524412,
pred_META_Logistic,0.007957072,0.00202041,0.009168311,0.002490313,0.01292566,0.004008369,0.016864894,0.008238342,0.006900681,0.001721096,0.006631274,0.001381526,0.023767184,0.00472122,0.010635443,0.002689909,0.010119959,0.002137849,0.013100157,0.002542054,0.011538135,0.001918777,0.014270207,0.002535376,0.008933224,0.001585133,0.01543627,0.003867762,0.011713577,0.002360733,0.013330012,0.003045523,0.012535676,0.002944027,0.021202745,0.007150202,0.017264675,0.004630267,0.019222976,0.00601972,0.010951658,0.002776311,0.011500796,0.002624338,0.008787487,0.002247688,
pred_META_Ridge,0.000678523,0.000406459,0.000888649,0.000480793,0.002810228,0.002164187,0.001856516,0.001677799,0.000630887,0.000408409,0.000933992,0.000756837,0.001234014,0.000662582,0.001497499,0.000716729,0.001027805,0.000432826,0.00220427,0.001561023,0.001824594,0.000841709,0.001155214,0.000702541,0.001428585,0.001009182,0.001165758,0.000778245,0.001204123,0.000688216,0.001383358,0.000565069,0.001272416,0.000961249,0.001417615,0.001584547,0.003595223,0.003140268,0.003366252,0.001815741,0.001386152,0.000860313,0.001372129,0.000692379,0.001026678,0.000515616,
pred_META_EN,0.009328132,0.001721617,0.012101418,0.005145735,0.01450588,0.002578506,0.00841729,0.00289923,0.008070136,0.001551528,0.006662782,0.001362822,0.021210233,0.007903111,0.011872093,0.003652075,0.011837172,0.003203112,0.012373645,0.003436578,0.012975673,0.002020227,0.014430485,0.002750308,0.011256624,0.002976145,0.021607964,0.006122441,0.015155793,0.003720779,0.017144423,0.003737024,0.011929447,0.002545289,0.02676413,0.009709383,0.027930871,0.006640033,0.023518489,0.006630835,0.013071477,0.003071111,0.014246483,0.00324758,0.008818088,0.002374495,
pred_META_ET,0.009196312,0.002496845,0.008831077,0.002665313,0.008831333,0.002830334,0.00709408,0.002607306,0.006840564,0.001834032,0.00542921,0.00142029,0.010589037,0.003169091,0.011260834,0.002712333,0.016265214,0.00411166,0.01263864,0.003209664,0.011005093,0.00233762,0.011848524,0.003375557,0.010066088,0.002394597,0.013255678,0.004548209,0.014554818,0.004206229,0.014393819,0.003363803,0.013816171,0.004198616,0.016744763,0.00500599,0.01544795,0.004419084,0.014030261,0.004221902,0.009198832,0.001897479,0.013090724,0.003649375,0.007776115,0.00147227,
pred_META_KNN,0.003172653,0.00093665,0.003283992,0.001200771,0.003756666,0.001356095,0.008377992,0.003766502,0.003006981,0.001291886,0.003242032,0.001087417,0.004338609,0.001302608,0.005868708,0.001285097,0.015686343,0.003863813,0.005569218,0.00138393,0.004680336,0.000862473,0.006118464,0.001960062,0.004072861,0.001506094,0.006575448,0.002614129,0.007818251,0.002438854,0.015150671,0.004774555,0.005405918,0.001280922,0.005910336,0.002588636,0.008261643,0.003508777,0.010252444,0.003030517,0.006756789,0.002285325,0.004208745,0.001141993,0.00404006,0.001506226,
pred_META_XGB,0.007912192,0.001693419,0.011486417,0.005518133,0.013471134,0.005394042,0.0103123,0.003953919,0.007108094,0.002578664,0.010181964,0.004162025,0.015256351,0.005385483,0.015748902,0.004477862,0.014224875,0.003843102,0.014337605,0.003118747,0.01472106,0.00366826,0.022087691,0.007463897,0.015188531,0.006931522,0.014370364,0.006387577,0.016649436,0.003114189,0.013202199,0.003844961,0.014390492,0.002857632,0.028179678,0.01403107,0.017159122,0.007591317,0.012932326,0.004040849,0.012405442,0.002903674,0.014098051,0.003784453,0.009511173,0.002795319,
pred_META_Ada,0.013602629,0.007631495,0.012331945,0.004956591,0.013325485,0.005435651,0.008374773,0.002355169,0.008877629,0.002706795,0.008981875,0.002442725,0.014412531,0.005241267,0.021254108,0.006161079,0.014358427,0.003554058,0.015331856,0.004752667,0.014696276,0.00419271,0.015342155,0.004372257,0.012709426,0.002525022,0.015012549,0.003376349,0.018975555,0.005812613,0.013534081,0.003927393,0.014418166,0.002929448,0.013708553,0.004023626,0.014223206,0.002401881,0.011653867,0.00386104,0.013907832,0.004329613,0.01437149,0.004643759,0.008973617,0.002223151,
pred_DNA_SVC,0.012504555,0.003643109,0.009452116,0.002647016,0.016785901,0.004128415,0.018271318,0.008833241,0.009387779,0.003544283,0.006493317,0.002729655,0.009385066,0.004569188,0.015162121,0.007976235,0.010874011,0.00317494,0.018886688,0.005419585,0.016845602,0.006525027,0.020141486,0.007917533,0.010181769,0.001439734,0.016081402,0.006122168,0.013169731,0.003404451,0.012637598,0.0035559,0.02964004,0.013110998,0.024962337,0.009670437,0.018004941,0.003911488,0.011270451,0.004098584,0.015310547,0.007509651,0.020360022,0.003277745,0.012603953,0.004907453,
pred_DNA_RFC,0.009207522,0.002333402,0.008096168,0.00148123,0.013197042,0.003190001,0.011274619,0.004350599,0.009907544,0.003108793,0.009038819,0.002174252,0.011029798,0.002867476,0.009891947,0.002325392,0.013960915,0.003006072,0.017575375,0.004113857,0.013775598,0.003763072,0.013995339,0.003470426,0.011196513,0.003044826,0.016126565,0.003065552,0.014522551,0.003742302,0.01122315,0.002489807,0.012191665,0.002703199,0.009234651,0.002455329,0.013145563,0.003172474,0.011974462,0.002942142,0.01006357,0.002432116,0.016227493,0.004248174,0.011787497,0.003612595,
pred_DNA_SVM,0.009223387,0.002228668,0.008618227,0.001907058,0.010381634,0.003405506,0.021084305,0.0087942,0.007598301,0.001841903,0.006770538,0.002428575,0.010617962,0.003820232,0.018783772,0.010068711,0.012464981,0.002455165,0.025226991,0.015727635,0.020655479,0.010845801,0.024976164,0.012690065,0.012656521,0.00481986,0.016073695,0.005445554,0.020483598,0.009994869,0.014307819,0.004985422,0.016932093,0.00564932,0.021365471,0.007885779,0.017133307,0.004920777,0.012238363,0.006406721,0.010950692,0.002985073,0.0129801,0.002663262,0.014005067,0.004706633,
pred_DNA_Logistic,0.011460054,0.002666448,0.009700987,0.002108015,0.01291213,0.003899152,0.012700327,0.003679627,0.008457353,0.002317299,0.005523279,0.001057461,0.014727155,0.003956109,0.010507411,0.002085651,0.013631627,0.002332604,0.014052145,0.003304322,0.012314422,0.001751065,0.012171094,0.002731654,0.013898349,0.002903805,0.017399472,0.004551111,0.012524112,0.002447532,0.01113033,0.002064666,0.022240849,0.004287222,0.012967395,0.002447847,0.016222801,0.00346031,0.01087967,0.002397713,0.012451396,0.00237069,0.01462779,0.003618369,0.013088157,0.001771502,
pred_DNA_Ridge,0.001291845,0.000780465,0.0016069,0.000735042,0.001312729,0.001156876,0.001611647,0.001274872,0.001102351,0.000724377,0.000740013,0.000394289,0.002859003,0.001369349,0.00164208,0.000762358,0.001013397,0.000568367,0.001807419,0.001122516,0.001336912,0.00064198,0.00118269,0.000563447,0.002082449,0.001470328,0.001856072,0.001045241,0.001407685,0.000535765,0.001240847,0.000486466,0.003251522,0.001965788,0.001363491,0.001015157,0.001607524,0.000801018,0.001499714,0.000790073,0.001987372,0.001296481,0.000973643,0.000375533,0.000686147,0.000385611,
pred_DNA_EN,0.010696077,0.00175299,0.007009507,0.001290154,0.012602158,0.003910226,0.012004481,0.00272466,0.00858587,0.00239374,0.005632525,0.00144706,0.011672861,0.002490734,0.011282372,0.002389441,0.012209995,0.003444661,0.013729124,0.004048108,0.013903224,0.003690777,0.011287912,0.002584249,0.019181337,0.00611776,0.027292739,0.005472944,0.012742559,0.002280845,0.010779041,0.002352972,0.015564612,0.00396753,0.0109116,0.002739807,0.013379354,0.003847187,0.009603572,0.002315006,0.01036006,0.002783666,0.017748333,0.00499425,0.011583345,0.002784269,
