,hsa-miR-96,ebv-miR-BART12,hsa-miR-136,hsa-miR-149,hsa-miR-1266,hsa-miR-563,hsa-miR-320b,hsa-miR-548d-5p,hsa-miR-224,hsa-miR-331-3p,hsa-miR-200a,hsa-miR-591,hsa-miR-625,hsa-miR-198,hsa-miR-1973,hsa-miR-1282,hsa-miR-1260,hsa-miR-548d-3p,hsa-miR-323-5p,hsa-miR-1178,hsa-miR-654-3p,hsa-miR-205,hsa-let-7a,hsa-miR-767-3p,hsa-miR-567,hsa-miR-335,mcv-miR-M1-5p,hsa-miR-1978,hsa-miR-508-5p,hsa-miR-155
504,1.0,6.0,0.0,8.0,115.0,103.0,68.0,5.0,40.0,336.0,112.0,99.0,206.0,52.0,107.0,41.0,272.0,34.0,39.0,275.0,12.0,11.0,212.0,9.0,167.0,77.0,566.0,238.0,117.0,55.0
553,0.0,11.0,10.0,22.0,358.0,214.0,59.0,39.0,587.0,263.0,14.0,6.0,31.0,373.0,498.0,12.0,3.0,83.0,332.0,445.0,5.0,18.0,106.0,34.0,206.0,161.0,363.0,60.0,300.0,276.0
602,2.0,49.0,0.0,24.0,25.0,44.0,290.0,22.0,58.0,442.0,6.0,50.0,405.0,467.0,396.0,89.0,5.0,18.0,80.0,391.0,40.0,4.0,65.0,1.0,447.0,13.0,145.0,399.0,32.0,91.0
651,3.0,59.0,4.0,14.0,17.0,13.0,71.0,0.0,185.0,400.0,22.0,76.0,52.0,43.0,51.0,53.0,50.0,15.0,171.0,306.0,12.0,7.0,56.0,2.0,325.0,34.0,248.0,37.0,46.0,6.0
700,1.0,7.0,0.0,5.0,37.0,30.0,172.0,28.0,8.0,503.0,63.0,52.0,255.0,146.0,66.0,4.0,10.0,32.0,289.0,186.0,15.0,2.0,53.0,26.0,65.0,60.0,137.0,29.0,23.0,42.0
749,0.0,6.0,1.0,3.0,70.0,9.0,20.0,12.0,296.0,18.0,2.0,74.0,135.0,48.0,537.0,72.0,43.0,16.0,198.0,152.0,8.0,25.0,159.0,7.0,36.0,93.0,576.0,13.0,15.0,41.0
798,0.0,9.0,1.0,16.0,110.0,27.0,243.0,124.0,48.0,33.0,4.0,277.0,154.0,24.0,178.0,194.0,10.0,47.0,523.0,491.0,3.0,2.0,15.0,22.0,78.0,36.0,474.0,108.0,63.0,5.0
847,0.0,1.0,6.0,19.0,12.0,170.0,440.0,22.0,18.0,35.0,40.0,28.0,99.0,105.0,131.0,164.0,5.0,154.0,89.0,197.0,3.0,68.0,92.0,4.0,47.0,90.0,407.0,29.0,95.0,41.0
896,0.0,5.0,3.0,13.0,16.0,85.0,51.0,26.0,87.0,62.0,35.0,8.0,74.0,10.0,47.0,166.0,2.0,75.0,112.0,107.0,24.0,28.0,58.0,1.0,41.0,80.0,63.0,30.0,45.0,48.0
945,1.0,10.0,0.0,129.0,30.0,2.0,36.0,26.0,553.0,45.0,21.0,203.0,59.0,18.0,46.0,19.0,74.0,110.0,183.0,161.0,23.0,61.0,275.0,4.0,329.0,29.0,112.0,24.0,361.0,543.0
994,1.0,0.0,301.0,51.0,43.0,73.0,433.0,7.0,331.0,153.0,2.0,24.0,118.0,116.0,14.0,46.0,13.0,4.0,62.0,5.0,44.0,50.0,34.0,6.0,3.0,105.0,32.0,60.0,114.0,42.0
1043,1.0,0.0,85.0,362.0,2.0,15.0,35.0,123.0,34.0,8.0,9.0,40.0,20.0,12.0,379.0,13.0,4.0,232.0,6.0,88.0,410.0,299.0,144.0,244.0,11.0,78.0,56.0,470.0,194.0,109.0
1092,3.0,5.0,27.0,298.0,9.0,14.0,8.0,23.0,18.0,17.0,0.0,488.0,28.0,2.0,53.0,7.0,91.0,134.0,37.0,15.0,412.0,69.0,107.0,88.0,13.0,38.0,4.0,229.0,29.0,26.0
1141,0.0,7.0,6.0,40.0,3.0,16.0,126.0,402.0,5.0,180.0,2.0,35.0,11.0,21.0,34.0,343.0,9.0,69.0,4.0,14.0,110.0,1.0,118.0,555.0,8.0,113.0,13.0,410.0,70.0,12.0
1190,0.0,13.0,4.0,321.0,2.0,24.0,28.0,46.0,10.0,165.0,1.0,227.0,5.0,11.0,7.0,3.0,45.0,15.0,9.0,175.0,489.0,30.0,177.0,341.0,29.0,150.0,14.0,202.0,141.0,184.0
1239,0.0,1.0,23.0,36.0,3.0,13.0,17.0,6.0,7.0,128.0,18.0,520.0,4.0,5.0,90.0,2.0,8.0,31.0,11.0,22.0,502.0,78.0,20.0,70.0,116.0,453.0,37.0,438.0,94.0,134.0
1288,0.0,3.0,22.0,9.0,12.0,5.0,25.0,6.0,97.0,34.0,20.0,315.0,21.0,2.0,142.0,89.0,285.0,55.0,77.0,120.0,367.0,1.0,304.0,153.0,54.0,79.0,350.0,505.0,26.0,30.0
1337,0.0,1.0,72.0,2.0,7.0,5.0,463.0,199.0,160.0,19.0,35.0,189.0,29.0,20.0,121.0,46.0,3.0,10.0,123.0,185.0,124.0,31.0,52.0,174.0,61.0,193.0,51.0,434.0,290.0,11.0
1386,1.0,0.0,249.0,247.0,11.0,27.0,372.0,9.0,86.0,19.0,5.0,13.0,22.0,4.0,80.0,6.0,12.0,84.0,59.0,65.0,204.0,53.0,330.0,262.0,48.0,49.0,8.0,46.0,100.0,161.0
1435,123.0,4.0,9.0,15.0,29.0,59.0,16.0,31.0,18.0,249.0,21.0,41.0,22.0,25.0,44.0,2.0,1.0,495.0,291.0,17.0,532.0,171.0,160.0,281.0,14.0,165.0,77.0,410.0,83.0,159.0
1484,0.0,2.0,22.0,1.0,3.0,15.0,274.0,227.0,5.0,12.0,56.0,145.0,262.0,7.0,6.0,247.0,73.0,205.0,46.0,313.0,85.0,207.0,30.0,238.0,64.0,119.0,165.0,549.0,11.0,106.0
1533,13.0,1.0,14.0,7.0,70.0,81.0,61.0,235.0,0.0,26.0,24.0,384.0,60.0,4.0,64.0,55.0,52.0,74.0,316.0,32.0,112.0,197.0,127.0,173.0,65.0,315.0,16.0,169.0,15.0,139.0
1582,0.0,4.0,98.0,8.0,41.0,12.0,76.0,38.0,5.0,40.0,9.0,54.0,273.0,29.0,11.0,299.0,61.0,160.0,210.0,115.0,81.0,142.0,352.0,59.0,625.0,530.0,10.0,24.0,15.0,529.0
1631,11.0,2.0,14.0,5.0,34.0,46.0,13.0,397.0,53.0,39.0,429.0,190.0,215.0,4.0,109.0,50.0,343.0,0.0,136.0,16.0,18.0,142.0,8.0,21.0,41.0,484.0,30.0,64.0,6.0,101.0
1680,2.0,19.0,99.0,0.0,378.0,17.0,50.0,60.0,66.0,4.0,179.0,95.0,218.0,24.0,159.0,79.0,122.0,86.0,153.0,107.0,30.0,177.0,6.0,23.0,7.0,525.0,68.0,39.0,15.0,91.0
1729,1.0,0.0,56.0,3.0,40.0,346.0,15.0,80.0,9.0,21.0,238.0,67.0,58.0,27.0,12.0,22.0,254.0,240.0,88.0,42.0,51.0,232.0,37.0,453.0,74.0,266.0,38.0,39.0,49.0,46.0
1778,1.0,0.0,2.0,11.0,59.0,7.0,244.0,266.0,41.0,67.0,6.0,4.0,103.0,342.0,38.0,152.0,166.0,8.0,477.0,56.0,629.0,202.0,53.0,150.0,101.0,71.0,13.0,27.0,51.0,245.0
1827,12.0,0.0,2.0,10.0,69.0,1.0,3.0,80.0,59.0,84.0,300.0,11.0,43.0,383.0,5.0,4.0,448.0,145.0,75.0,23.0,384.0,237.0,29.0,110.0,36.0,87.0,16.0,6.0,187.0,488.0
1876,245.0,0.0,504.0,20.0,5.0,265.0,4.0,202.0,292.0,13.0,6.0,18.0,241.0,169.0,318.0,11.0,168.0,14.0,2.0,134.0,89.0,7.0,75.0,188.0,3.0,489.0,12.0,199.0,431.0,53.0
1925,9.0,15.0,25.0,0.0,39.0,3.0,34.0,33.0,527.0,270.0,66.0,451.0,262.0,109.0,6.0,54.0,590.0,24.0,13.0,49.0,126.0,68.0,84.0,417.0,100.0,387.0,67.0,108.0,580.0,46.0
1974,0.0,4.0,2.0,21.0,390.0,6.0,3.0,11.0,143.0,29.0,93.0,20.0,163.0,201.0,26.0,177.0,481.0,1.0,545.0,66.0,17.0,65.0,206.0,275.0,94.0,165.0,97.0,41.0,8.0,72.0
2023,3.0,0.0,2.0,20.0,229.0,109.0,1.0,80.0,139.0,193.0,234.0,363.0,329.0,401.0,30.0,147.0,159.0,6.0,133.0,67.0,19.0,18.0,196.0,178.0,331.0,560.0,284.0,47.0,38.0,289.0
2072,0.0,13.0,3.0,19.0,70.0,196.0,18.0,15.0,238.0,9.0,425.0,246.0,298.0,120.0,67.0,485.0,45.0,7.0,140.0,113.0,26.0,27.0,110.0,177.0,414.0,157.0,103.0,5.0,12.0,88.0
2121,0.0,1.0,5.0,13.0,84.0,26.0,9.0,2.0,153.0,38.0,326.0,34.0,36.0,261.0,208.0,18.0,520.0,6.0,116.0,87.0,46.0,352.0,37.0,276.0,257.0,20.0,222.0,110.0,30.0,186.0
2170,1.0,0.0,12.0,17.0,30.0,15.0,4.0,63.0,88.0,145.0,77.0,38.0,348.0,141.0,2.0,469.0,513.0,3.0,57.0,9.0,195.0,129.0,71.0,32.0,36.0,400.0,22.0,8.0,5.0,85.0
2219,1.0,2.0,60.0,20.0,540.0,34.0,3.0,38.0,81.0,146.0,101.0,558.0,16.0,72.0,9.0,61.0,147.0,0.0,31.0,23.0,28.0,312.0,97.0,100.0,539.0,369.0,333.0,4.0,15.0,234.0
2268,1.0,18.0,11.0,0.0,41.0,13.0,8.0,21.0,47.0,69.0,74.0,144.0,2.0,472.0,60.0,202.0,224.0,3.0,75.0,9.0,27.0,6.0,61.0,19.0,197.0,134.0,42.0,15.0,5.0,132.0
2317,0.0,5.0,14.0,6.0,113.0,4.0,3.0,13.0,54.0,91.0,134.0,63.0,160.0,31.0,289.0,47.0,81.0,1.0,179.0,27.0,43.0,26.0,104.0,136.0,467.0,507.0,37.0,94.0,9.0,10.0
2366,0.0,3.0,19.0,1.0,5.0,70.0,44.0,100.0,95.0,339.0,28.0,72.0,66.0,383.0,13.0,81.0,99.0,4.0,111.0,122.0,21.0,490.0,280.0,20.0,224.0,127.0,50.0,29.0,16.0,7.0
2415,2.0,25.0,0.0,3.0,262.0,11.0,1.0,81.0,40.0,472.0,222.0,121.0,43.0,5.0,13.0,36.0,210.0,38.0,34.0,114.0,278.0,174.0,127.0,59.0,185.0,396.0,322.0,267.0,4.0,48.0
2464,2.0,1.0,0.0,4.0,51.0,288.0,27.0,547.0,32.0,7.0,231.0,18.0,58.0,60.0,31.0,92.0,19.0,16.0,9.0,6.0,212.0,77.0,10.0,29.0,11.0,140.0,337.0,57.0,127.0,158.0
2513,1.0,4.0,0.0,6.0,21.0,90.0,19.0,38.0,9.0,3.0,147.0,59.0,235.0,585.0,51.0,526.0,24.0,45.0,473.0,27.0,346.0,13.0,44.0,2.0,11.0,100.0,142.0,56.0,62.0,252.0
2562,31.0,1.0,5.0,0.0,13.0,291.0,23.0,7.0,4.0,8.0,630.0,298.0,326.0,216.0,35.0,98.0,58.0,11.0,210.0,496.0,545.0,305.0,14.0,9.0,133.0,88.0,411.0,119.0,41.0,64.0
2611,1.0,0.0,2.0,14.0,141.0,13.0,10.0,17.0,129.0,3.0,523.0,173.0,111.0,158.0,15.0,464.0,46.0,326.0,595.0,22.0,455.0,303.0,4.0,213.0,55.0,333.0,280.0,349.0,50.0,508.0
2660,2.0,42.0,139.0,17.0,185.0,93.0,0.0,11.0,7.0,26.0,494.0,234.0,226.0,117.0,524.0,138.0,144.0,6.0,555.0,102.0,109.0,126.0,56.0,5.0,134.0,366.0,103.0,148.0,492.0,497.0
2709,5.0,95.0,0.0,4.0,12.0,119.0,14.0,15.0,2.0,29.0,411.0,10.0,235.0,242.0,111.0,144.0,43.0,8.0,467.0,27.0,40.0,3.0,21.0,451.0,157.0,310.0,153.0,50.0,578.0,398.0
2758,0.0,11.0,9.0,56.0,25.0,19.0,42.0,5.0,174.0,150.0,21.0,13.0,382.0,44.0,381.0,326.0,1.0,10.0,61.0,4.0,474.0,8.0,16.0,64.0,173.0,33.0,282.0,95.0,62.0,306.0
2807,1.0,7.0,3.0,11.0,295.0,54.0,2.0,4.0,12.0,19.0,477.0,34.0,211.0,44.0,106.0,112.0,419.0,42.0,510.0,26.0,339.0,88.0,27.0,24.0,209.0,45.0,186.0,56.0,21.0,65.0
2856,3.0,1.0,32.0,35.0,19.0,11.0,2.0,12.0,171.0,318.0,499.0,195.0,590.0,136.0,15.0,549.0,168.0,4.0,103.0,92.0,593.0,65.0,0.0,133.0,49.0,69.0,283.0,41.0,153.0,119.0
2905,13.0,15.0,0.0,10.0,16.0,142.0,2.0,127.0,21.0,172.0,358.0,48.0,482.0,91.0,30.0,197.0,42.0,1.0,297.0,20.0,424.0,25.0,9.0,12.0,82.0,33.0,96.0,36.0,83.0,141.0
2954,1.0,3.0,27.0,10.0,0.0,14.0,2.0,58.0,205.0,156.0,285.0,13.0,6.0,298.0,33.0,188.0,16.0,414.0,8.0,124.0,44.0,41.0,39.0,54.0,12.0,70.0,223.0,112.0,181.0,73.0
3003,4.0,8.0,28.0,481.0,0.0,2.0,13.0,29.0,182.0,3.0,108.0,41.0,6.0,402.0,143.0,10.0,9.0,441.0,51.0,79.0,72.0,180.0,35.0,60.0,127.0,119.0,45.0,15.0,52.0,16.0
3052,2.0,6.0,109.0,8.0,0.0,11.0,54.0,360.0,228.0,304.0,264.0,4.0,1.0,367.0,199.0,86.0,61.0,157.0,172.0,21.0,82.0,390.0,163.0,95.0,307.0,158.0,91.0,100.0,48.0,41.0
3101,2.0,102.0,48.0,10.0,8.0,0.0,3.0,76.0,28.0,390.0,234.0,63.0,23.0,230.0,62.0,82.0,6.0,67.0,126.0,11.0,33.0,341.0,208.0,19.0,99.0,598.0,45.0,518.0,36.0,135.0
3150,0.0,9.0,6.0,1.0,7.0,11.0,4.0,177.0,138.0,344.0,36.0,14.0,2.0,58.0,40.0,168.0,100.0,115.0,13.0,164.0,10.0,393.0,250.0,47.0,27.0,167.0,82.0,28.0,556.0,96.0
3199,1.0,9.0,13.0,7.0,18.0,8.0,2.0,416.0,385.0,49.0,75.0,12.0,56.0,30.0,167.0,85.0,164.0,420.0,76.0,4.0,119.0,220.0,24.0,16.0,83.0,296.0,223.0,412.0,448.0,25.0
3248,4.0,2.0,6.0,0.0,30.0,20.0,5.0,205.0,72.0,35.0,45.0,1.0,12.0,220.0,39.0,552.0,159.0,86.0,3.0,416.0,523.0,107.0,49.0,417.0,261.0,43.0,65.0,116.0,139.0,42.0
3297,7.0,17.0,5.0,12.0,6.0,0.0,30.0,297.0,293.0,220.0,36.0,11.0,16.0,18.0,35.0,8.0,1.0,75.0,19.0,91.0,76.0,287.0,53.0,174.0,29.0,109.0,51.0,134.0,147.0,96.0
3346,3.0,0.0,375.0,28.0,9.0,1.0,24.0,11.0,270.0,205.0,63.0,20.0,12.0,260.0,37.0,19.0,31.0,203.0,5.0,7.0,458.0,141.0,49.0,107.0,10.0,21.0,320.0,17.0,399.0,62.0
3395,1.0,6.0,230.0,9.0,75.0,49.0,13.0,84.0,224.0,187.0,19.0,116.0,5.0,453.0,43.0,3.0,115.0,326.0,27.0,509.0,132.0,83.0,630.0,15.0,131.0,22.0,57.0,60.0,91.0,11.0
3444,12.0,1.0,0.0,21.0,8.0,7.0,19.0,5.0,84.0,47.0,6.0,61.0,66.0,11.0,312.0,27.0,193.0,118.0,45.0,13.0,154.0,56.0,3.0,4.0,70.0,219.0,179.0,62.0,271.0,383.0
3493,3.0,9.0,0.0,42.0,2.0,22.0,7.0,20.0,64.0,24.0,5.0,15.0,4.0,11.0,6.0,18.0,95.0,65.0,12.0,323.0,166.0,114.0,89.0,102.0,189.0,121.0,488.0,112.0,487.0,523.0
3542,1.0,8.0,2.0,11.0,14.0,17.0,149.0,0.0,21.0,52.0,26.0,36.0,56.0,30.0,83.0,70.0,6.0,74.0,564.0,80.0,10.0,181.0,198.0,436.0,133.0,166.0,444.0,128.0,156.0,545.0
3591,0.0,14.0,1.0,49.0,2.0,87.0,34.0,29.0,6.0,24.0,3.0,44.0,10.0,95.0,39.0,328.0,70.0,13.0,164.0,8.0,7.0,167.0,72.0,299.0,38.0,370.0,518.0,99.0,108.0,46.0
3640,0.0,1.0,3.0,5.0,6.0,42.0,151.0,22.0,10.0,28.0,2.0,144.0,77.0,7.0,38.0,48.0,9.0,18.0,61.0,25.0,24.0,463.0,231.0,459.0,12.0,153.0,66.0,147.0,465.0,105.0
3689,4.0,2.0,3.0,67.0,49.0,29.0,88.0,18.0,19.0,181.0,0.0,157.0,40.0,51.0,209.0,79.0,1.0,10.0,465.0,5.0,9.0,249.0,12.0,31.0,134.0,243.0,102.0,68.0,131.0,129.0
3738,0.0,20.0,15.0,1.0,6.0,74.0,34.0,10.0,5.0,7.0,14.0,121.0,24.0,16.0,28.0,27.0,77.0,116.0,29.0,11.0,18.0,269.0,21.0,528.0,191.0,52.0,60.0,118.0,144.0,3.0
3787,0.0,65.0,83.0,48.0,1.0,20.0,86.0,7.0,25.0,31.0,196.0,40.0,12.0,94.0,38.0,33.0,124.0,17.0,278.0,16.0,58.0,47.0,168.0,358.0,43.0,73.0,27.0,28.0,433.0,3.0
3836,1.0,118.0,0.0,6.0,4.0,24.0,77.0,5.0,18.0,15.0,551.0,92.0,12.0,38.0,20.0,3.0,2.0,31.0,582.0,111.0,297.0,71.0,269.0,224.0,66.0,233.0,141.0,8.0,64.0,104.0
3885,39.0,1.0,3.0,7.0,31.0,15.0,43.0,10.0,38.0,96.0,142.0,364.0,5.0,456.0,55.0,2.0,45.0,226.0,257.0,14.0,76.0,54.0,411.0,156.0,152.0,49.0,4.0,41.0,447.0,8.0
3934,0.0,7.0,3.0,2.0,4.0,41.0,87.0,49.0,1.0,316.0,50.0,227.0,115.0,567.0,426.0,39.0,53.0,30.0,11.0,413.0,19.0,10.0,246.0,45.0,500.0,32.0,221.0,51.0,280.0,77.0
3983,0.0,22.0,4.0,7.0,2.0,19.0,5.0,6.0,32.0,18.0,20.0,341.0,133.0,151.0,57.0,73.0,12.0,83.0,13.0,38.0,3.0,24.0,140.0,16.0,393.0,10.0,235.0,119.0,263.0,113.0
4032,0.0,10.0,2.0,9.0,1.0,18.0,13.0,14.0,104.0,3.0,19.0,431.0,16.0,184.0,64.0,24.0,28.0,71.0,38.0,8.0,4.0,75.0,107.0,6.0,85.0,102.0,43.0,44.0,500.0,79.0
4081,75.0,101.0,2.0,4.0,0.0,23.0,32.0,57.0,6.0,9.0,59.0,29.0,24.0,83.0,54.0,64.0,317.0,14.0,17.0,235.0,43.0,352.0,112.0,39.0,195.0,52.0,13.0,119.0,28.0,10.0
4130,32.0,162.0,73.0,56.0,0.0,39.0,136.0,44.0,28.0,3.0,11.0,482.0,2.0,47.0,76.0,26.0,70.0,9.0,4.0,13.0,25.0,350.0,182.0,227.0,17.0,16.0,116.0,594.0,450.0,22.0
4179,3.0,107.0,9.0,0.0,6.0,1.0,69.0,2.0,4.0,29.0,7.0,148.0,187.0,39.0,55.0,34.0,325.0,402.0,62.0,388.0,303.0,439.0,288.0,67.0,48.0,110.0,98.0,182.0,582.0,199.0
4228,29.0,399.0,0.0,12.0,124.0,11.0,55.0,1.0,24.0,8.0,5.0,38.0,70.0,7.0,376.0,50.0,192.0,67.0,2.0,85.0,141.0,6.0,105.0,4.0,369.0,23.0,106.0,209.0,48.0,170.0
4277,109.0,7.0,4.0,1.0,23.0,24.0,3.0,22.0,28.0,45.0,11.0,93.0,39.0,15.0,112.0,12.0,5.0,2.0,33.0,16.0,47.0,37.0,191.0,0.0,508.0,130.0,91.0,31.0,392.0,147.0
4326,0.0,22.0,4.0,2.0,58.0,39.0,12.0,258.0,1.0,3.0,5.0,24.0,10.0,116.0,214.0,17.0,27.0,128.0,49.0,478.0,7.0,25.0,433.0,242.0,373.0,107.0,70.0,9.0,84.0,90.0
4375,1.0,64.0,0.0,3.0,21.0,222.0,11.0,6.0,8.0,26.0,27.0,200.0,17.0,61.0,549.0,16.0,86.0,23.0,2.0,570.0,138.0,5.0,476.0,30.0,163.0,4.0,88.0,77.0,202.0,218.0
4424,223.0,2.0,0.0,1.0,9.0,183.0,79.0,11.0,16.0,3.0,417.0,6.0,139.0,54.0,591.0,156.0,101.0,180.0,189.0,73.0,35.0,467.0,123.0,10.0,8.0,308.0,40.0,177.0,19.0,130.0
4473,6.0,1.0,7.0,2.0,36.0,15.0,8.0,5.0,23.0,16.0,293.0,22.0,531.0,17.0,19.0,35.0,13.0,323.0,10.0,0.0,468.0,140.0,73.0,107.0,9.0,247.0,21.0,121.0,616.0,79.0
4522,163.0,0.0,1.0,11.0,2.0,32.0,34.0,4.0,5.0,79.0,38.0,25.0,26.0,40.0,88.0,95.0,19.0,395.0,9.0,106.0,44.0,306.0,324.0,64.0,71.0,93.0,74.0,68.0,107.0,129.0
4571,1.0,0.0,61.0,16.0,15.0,19.0,8.0,3.0,9.0,31.0,68.0,2.0,4.0,28.0,23.0,217.0,162.0,126.0,25.0,98.0,147.0,164.0,45.0,559.0,56.0,53.0,67.0,78.0,289.0,240.0
4620,3.0,1.0,10.0,17.0,7.0,0.0,35.0,27.0,13.0,2.0,227.0,99.0,25.0,136.0,171.0,81.0,135.0,109.0,128.0,367.0,159.0,23.0,267.0,285.0,29.0,11.0,52.0,574.0,156.0,226.0
4669,172.0,1.0,241.0,11.0,386.0,97.0,30.0,274.0,2.0,0.0,242.0,13.0,69.0,32.0,93.0,267.0,87.0,141.0,58.0,277.0,174.0,60.0,36.0,106.0,445.0,79.0,339.0,34.0,145.0,43.0
4718,35.0,2.0,4.0,19.0,42.0,56.0,161.0,16.0,118.0,1.0,166.0,5.0,34.0,33.0,66.0,27.0,295.0,452.0,125.0,130.0,43.0,49.0,276.0,80.0,41.0,13.0,314.0,29.0,214.0,116.0
4767,41.0,2.0,33.0,0.0,47.0,56.0,7.0,29.0,73.0,3.0,356.0,34.0,36.0,21.0,17.0,114.0,96.0,37.0,184.0,14.0,6.0,470.0,61.0,90.0,74.0,54.0,46.0,115.0,320.0,420.0
4816,13.0,2.0,6.0,1.0,153.0,3.0,0.0,8.0,53.0,5.0,23.0,190.0,194.0,118.0,379.0,36.0,358.0,570.0,441.0,155.0,200.0,275.0,280.0,33.0,164.0,47.0,108.0,99.0,27.0,42.0
4865,3.0,1.0,0.0,5.0,6.0,2.0,32.0,28.0,51.0,4.0,76.0,9.0,504.0,109.0,20.0,46.0,45.0,436.0,340.0,323.0,404.0,15.0,310.0,27.0,356.0,57.0,96.0,138.0,276.0,90.0
