,BREAST,NERVOUS,PANCREAS,HAEMATOPOIETIC,LARGE_INTESTINE,OVARY,OESOPHAGUS,LUNG,BONE,ENDOMETRIUM,SKIN,LIVER,URINARY,SOFT_TISSUE,AERODIGESTIVE,PLEURA,STOMACH,GANGLIA,KIDNEY,PROSTATE,THYROID,SALIVARY,BILIARY
587,2.0,4.0,0.0,6.0,1.0,5.0,7.0,9.0,8.0,10.0,12.0,15.0,3.0,13.0,16.0,11.0,14.0,17.0,20.0,22.0,19.0,21.0,18.0
636,14.0,5.0,3.0,0.0,9.0,6.0,1.0,17.0,2.0,4.0,11.0,7.0,12.0,8.0,21.0,10.0,13.0,15.0,20.0,16.0,19.0,18.0,22.0
685,15.0,1.0,0.0,2.0,6.0,4.0,14.0,17.0,5.0,3.0,11.0,10.0,13.0,7.0,8.0,9.0,20.0,12.0,19.0,16.0,18.0,22.0,21.0
734,3.0,4.0,0.0,6.0,1.0,5.0,12.0,2.0,7.0,8.0,11.0,10.0,13.0,15.0,16.0,9.0,14.0,17.0,20.0,18.0,19.0,21.0,22.0
783,8.0,0.0,6.0,1.0,7.0,12.0,11.0,10.0,4.0,3.0,16.0,5.0,13.0,15.0,2.0,9.0,14.0,17.0,20.0,18.0,19.0,21.0,22.0
832,9.0,5.0,2.0,1.0,11.0,10.0,4.0,0.0,8.0,14.0,6.0,7.0,19.0,17.0,12.0,13.0,3.0,15.0,22.0,16.0,18.0,20.0,21.0
881,15.0,3.0,0.0,5.0,6.0,4.0,11.0,1.0,8.0,9.0,18.0,7.0,2.0,13.0,14.0,21.0,10.0,12.0,20.0,16.0,19.0,17.0,22.0
930,5.0,7.0,0.0,1.0,4.0,9.0,15.0,6.0,3.0,14.0,8.0,11.0,12.0,10.0,2.0,21.0,13.0,16.0,20.0,17.0,19.0,18.0,22.0
979,9.0,4.0,6.0,1.0,7.0,0.0,5.0,18.0,8.0,10.0,12.0,15.0,14.0,13.0,2.0,11.0,3.0,16.0,20.0,17.0,19.0,21.0,22.0
1028,1.0,2.0,6.0,3.0,0.0,13.0,5.0,9.0,4.0,10.0,11.0,8.0,14.0,7.0,16.0,21.0,15.0,17.0,12.0,18.0,20.0,19.0,22.0
1077,6.0,0.0,7.0,8.0,10.0,9.0,12.0,1.0,3.0,2.0,15.0,4.0,20.0,11.0,5.0,13.0,14.0,16.0,19.0,17.0,18.0,22.0,21.0
1126,1.0,11.0,5.0,8.0,9.0,10.0,6.0,0.0,12.0,2.0,7.0,3.0,14.0,4.0,21.0,13.0,15.0,17.0,16.0,18.0,20.0,19.0,22.0
1175,3.0,12.0,10.0,9.0,16.0,6.0,4.0,0.0,1.0,14.0,5.0,13.0,7.0,2.0,21.0,18.0,8.0,15.0,11.0,17.0,20.0,19.0,22.0
1224,5.0,2.0,4.0,0.0,10.0,3.0,13.0,9.0,1.0,7.0,6.0,8.0,16.0,14.0,11.0,12.0,17.0,19.0,15.0,21.0,18.0,20.0,22.0
1273,10.0,4.0,8.0,0.0,6.0,5.0,3.0,2.0,9.0,20.0,12.0,16.0,22.0,1.0,7.0,13.0,19.0,14.0,11.0,15.0,18.0,17.0,21.0
1322,2.0,12.0,1.0,9.0,8.0,7.0,5.0,0.0,3.0,14.0,4.0,11.0,15.0,6.0,10.0,13.0,16.0,18.0,17.0,19.0,20.0,21.0,22.0
1371,2.0,7.0,5.0,0.0,3.0,9.0,15.0,1.0,11.0,13.0,16.0,10.0,8.0,4.0,6.0,12.0,14.0,17.0,20.0,18.0,19.0,21.0,22.0
1420,2.0,1.0,12.0,4.0,7.0,3.0,13.0,0.0,10.0,8.0,11.0,6.0,20.0,15.0,16.0,9.0,14.0,17.0,5.0,18.0,19.0,21.0,22.0
1469,2.0,0.0,14.0,9.0,4.0,11.0,16.0,1.0,5.0,3.0,15.0,6.0,12.0,7.0,8.0,21.0,13.0,17.0,10.0,18.0,20.0,19.0,22.0
1518,2.0,10.0,6.0,3.0,9.0,7.0,14.0,0.0,1.0,4.0,15.0,5.0,11.0,8.0,19.0,12.0,13.0,16.0,22.0,17.0,18.0,21.0,20.0
1567,8.0,2.0,4.0,3.0,14.0,5.0,1.0,0.0,11.0,21.0,6.0,10.0,19.0,7.0,9.0,12.0,20.0,13.0,18.0,15.0,17.0,16.0,22.0
1616,0.0,12.0,11.0,5.0,7.0,4.0,1.0,10.0,6.0,3.0,2.0,9.0,13.0,15.0,16.0,8.0,14.0,17.0,20.0,18.0,19.0,21.0,22.0
1665,11.0,12.0,0.0,13.0,5.0,4.0,2.0,1.0,9.0,10.0,6.0,8.0,3.0,17.0,7.0,14.0,20.0,15.0,19.0,16.0,18.0,21.0,22.0
1714,0.0,12.0,6.0,4.0,7.0,1.0,11.0,10.0,5.0,3.0,16.0,9.0,13.0,15.0,2.0,8.0,14.0,17.0,20.0,18.0,19.0,21.0,22.0
1763,2.0,0.0,13.0,4.0,7.0,3.0,5.0,9.0,6.0,10.0,12.0,8.0,14.0,15.0,16.0,11.0,1.0,17.0,20.0,18.0,19.0,21.0,22.0
1812,3.0,7.0,5.0,9.0,2.0,6.0,4.0,0.0,1.0,14.0,15.0,12.0,10.0,18.0,11.0,13.0,8.0,16.0,20.0,22.0,19.0,21.0,17.0
1861,3.0,0.0,1.0,7.0,10.0,6.0,8.0,16.0,12.0,14.0,2.0,11.0,9.0,4.0,5.0,13.0,15.0,17.0,20.0,18.0,19.0,21.0,22.0
1910,4.0,9.0,6.0,7.0,5.0,8.0,10.0,15.0,0.0,14.0,1.0,12.0,13.0,3.0,11.0,2.0,19.0,16.0,18.0,17.0,22.0,20.0,21.0
1959,1.0,7.0,5.0,9.0,12.0,6.0,10.0,0.0,3.0,2.0,15.0,4.0,13.0,11.0,14.0,22.0,8.0,16.0,20.0,17.0,19.0,18.0,21.0
2008,2.0,4.0,13.0,5.0,6.0,1.0,3.0,0.0,9.0,21.0,7.0,8.0,19.0,11.0,12.0,16.0,20.0,14.0,10.0,15.0,18.0,17.0,22.0
2057,4.0,9.0,10.0,7.0,2.0,8.0,5.0,0.0,3.0,21.0,6.0,12.0,13.0,11.0,1.0,18.0,14.0,16.0,15.0,17.0,20.0,19.0,22.0
2106,11.0,13.0,16.0,1.0,6.0,0.0,2.0,4.0,3.0,7.0,10.0,9.0,14.0,15.0,8.0,22.0,5.0,12.0,20.0,17.0,19.0,18.0,21.0
2155,4.0,1.0,8.0,5.0,13.0,11.0,2.0,0.0,3.0,21.0,6.0,7.0,10.0,12.0,15.0,17.0,9.0,14.0,20.0,22.0,19.0,18.0,16.0
2204,1.0,4.0,3.0,2.0,5.0,13.0,6.0,10.0,8.0,7.0,0.0,9.0,14.0,11.0,17.0,20.0,15.0,16.0,12.0,18.0,19.0,21.0,22.0
2253,6.0,12.0,7.0,0.0,1.0,10.0,8.0,17.0,4.0,21.0,2.0,11.0,13.0,5.0,3.0,18.0,14.0,15.0,9.0,16.0,20.0,19.0,22.0
2302,11.0,7.0,5.0,9.0,0.0,6.0,4.0,15.0,12.0,21.0,1.0,2.0,8.0,3.0,14.0,18.0,13.0,16.0,10.0,17.0,20.0,19.0,22.0
2351,10.0,5.0,2.0,0.0,14.0,6.0,7.0,11.0,1.0,21.0,12.0,9.0,4.0,18.0,8.0,16.0,3.0,13.0,20.0,15.0,19.0,17.0,22.0
2400,7.0,14.0,1.0,13.0,4.0,0.0,11.0,10.0,5.0,8.0,2.0,9.0,3.0,6.0,17.0,21.0,15.0,16.0,12.0,18.0,20.0,19.0,22.0
2449,1.0,3.0,0.0,5.0,7.0,4.0,6.0,10.0,9.0,21.0,12.0,8.0,11.0,13.0,14.0,17.0,2.0,15.0,20.0,16.0,19.0,18.0,22.0
2498,2.0,6.0,1.0,4.0,10.0,8.0,0.0,18.0,13.0,15.0,5.0,3.0,7.0,11.0,17.0,14.0,16.0,12.0,9.0,21.0,19.0,20.0,22.0
2547,1.0,8.0,6.0,0.0,16.0,7.0,13.0,2.0,21.0,3.0,14.0,5.0,9.0,10.0,4.0,11.0,12.0,15.0,20.0,22.0,19.0,18.0,17.0
2596,3.0,5.0,1.0,0.0,16.0,6.0,8.0,11.0,10.0,7.0,2.0,9.0,4.0,12.0,15.0,21.0,14.0,17.0,13.0,22.0,20.0,19.0,18.0
2645,2.0,13.0,5.0,0.0,17.0,7.0,9.0,1.0,4.0,3.0,6.0,12.0,8.0,11.0,10.0,14.0,15.0,16.0,20.0,22.0,19.0,21.0,18.0
2694,5.0,3.0,13.0,15.0,21.0,4.0,7.0,0.0,9.0,6.0,12.0,10.0,2.0,8.0,16.0,11.0,1.0,17.0,14.0,22.0,20.0,19.0,18.0
2743,11.0,0.0,15.0,5.0,13.0,4.0,2.0,1.0,10.0,14.0,6.0,9.0,3.0,7.0,8.0,21.0,20.0,12.0,19.0,22.0,18.0,17.0,16.0
2792,3.0,13.0,8.0,0.0,17.0,4.0,1.0,11.0,7.0,9.0,5.0,16.0,14.0,2.0,6.0,10.0,15.0,18.0,12.0,22.0,20.0,21.0,19.0
2841,6.0,9.0,7.0,0.0,12.0,8.0,10.0,15.0,4.0,2.0,1.0,13.0,14.0,5.0,3.0,21.0,20.0,16.0,11.0,22.0,19.0,18.0,17.0
2890,2.0,4.0,9.0,6.0,13.0,5.0,1.0,0.0,8.0,10.0,12.0,14.0,3.0,17.0,7.0,20.0,11.0,15.0,19.0,22.0,18.0,21.0,16.0
2939,2.0,0.0,14.0,1.0,16.0,6.0,7.0,11.0,8.0,4.0,3.0,9.0,5.0,12.0,21.0,10.0,13.0,15.0,20.0,22.0,19.0,18.0,17.0
2988,14.0,2.0,8.0,3.0,4.0,11.0,1.0,0.0,21.0,9.0,5.0,7.0,10.0,12.0,6.0,13.0,20.0,15.0,19.0,16.0,18.0,17.0,22.0
3037,2.0,6.0,4.0,8.0,11.0,1.0,7.0,5.0,13.0,15.0,0.0,12.0,10.0,3.0,16.0,14.0,20.0,17.0,9.0,18.0,19.0,21.0,22.0
3086,14.0,4.0,9.0,1.0,2.0,5.0,3.0,0.0,12.0,13.0,11.0,8.0,19.0,6.0,7.0,21.0,20.0,15.0,10.0,22.0,18.0,17.0,16.0
3135,8.0,4.0,0.0,6.0,1.0,5.0,2.0,17.0,11.0,3.0,12.0,10.0,13.0,9.0,15.0,7.0,20.0,14.0,19.0,16.0,18.0,21.0,22.0
3184,2.0,13.0,0.0,6.0,15.0,5.0,14.0,10.0,7.0,4.0,16.0,8.0,3.0,11.0,1.0,9.0,20.0,17.0,12.0,18.0,19.0,21.0,22.0
3233,3.0,11.0,1.0,7.0,5.0,8.0,0.0,2.0,4.0,13.0,6.0,10.0,14.0,9.0,16.0,12.0,20.0,17.0,15.0,18.0,19.0,22.0,21.0
3282,5.0,8.0,14.0,0.0,4.0,7.0,10.0,1.0,12.0,2.0,6.0,3.0,9.0,11.0,16.0,21.0,20.0,15.0,13.0,17.0,19.0,18.0,22.0
3331,10.0,11.0,0.0,4.0,1.0,8.0,7.0,15.0,2.0,14.0,5.0,21.0,6.0,3.0,12.0,13.0,20.0,16.0,9.0,17.0,19.0,18.0,22.0
3380,10.0,9.0,8.0,0.0,6.0,12.0,14.0,17.0,4.0,2.0,1.0,5.0,13.0,7.0,3.0,21.0,20.0,15.0,11.0,16.0,19.0,18.0,22.0
3429,7.0,0.0,3.0,2.0,11.0,1.0,9.0,8.0,5.0,6.0,12.0,14.0,10.0,13.0,4.0,21.0,20.0,15.0,19.0,16.0,18.0,17.0,22.0
3478,1.0,14.0,8.0,5.0,6.0,4.0,7.0,11.0,9.0,3.0,0.0,10.0,2.0,12.0,16.0,21.0,15.0,17.0,13.0,18.0,20.0,19.0,22.0
3527,2.0,4.0,9.0,11.0,5.0,1.0,3.0,0.0,8.0,14.0,6.0,7.0,10.0,12.0,13.0,22.0,20.0,15.0,19.0,16.0,18.0,17.0,21.0
3576,8.0,5.0,0.0,1.0,2.0,6.0,7.0,11.0,10.0,3.0,15.0,14.0,4.0,12.0,21.0,9.0,13.0,16.0,20.0,22.0,19.0,18.0,17.0
3625,1.0,3.0,0.0,5.0,14.0,4.0,6.0,11.0,8.0,9.0,15.0,18.0,2.0,7.0,10.0,21.0,13.0,16.0,12.0,17.0,20.0,19.0,22.0
3674,11.0,6.0,9.0,0.0,4.0,8.0,14.0,1.0,3.0,2.0,5.0,20.0,19.0,12.0,13.0,15.0,7.0,16.0,10.0,17.0,18.0,22.0,21.0
3723,2.0,4.0,0.0,6.0,9.0,5.0,8.0,18.0,21.0,7.0,1.0,15.0,3.0,12.0,11.0,10.0,14.0,16.0,13.0,17.0,20.0,19.0,22.0
3772,2.0,4.0,0.0,6.0,1.0,5.0,13.0,18.0,8.0,7.0,9.0,21.0,3.0,12.0,11.0,10.0,15.0,16.0,14.0,17.0,20.0,19.0,22.0
3821,10.0,3.0,8.0,0.0,4.0,12.0,2.0,1.0,7.0,9.0,5.0,14.0,20.0,6.0,13.0,21.0,11.0,15.0,19.0,16.0,18.0,17.0,22.0
3870,0.0,3.0,1.0,4.0,17.0,15.0,6.0,8.0,7.0,5.0,13.0,10.0,2.0,11.0,12.0,9.0,16.0,18.0,14.0,19.0,20.0,21.0,22.0
3919,3.0,0.0,2.0,11.0,7.0,13.0,6.0,1.0,5.0,4.0,8.0,10.0,14.0,17.0,9.0,12.0,15.0,18.0,16.0,19.0,20.0,21.0,22.0
3968,4.0,7.0,0.0,2.0,6.0,1.0,9.0,18.0,13.0,5.0,3.0,12.0,8.0,10.0,20.0,14.0,15.0,11.0,16.0,17.0,19.0,21.0,22.0
4017,7.0,5.0,1.0,0.0,2.0,6.0,8.0,18.0,10.0,9.0,12.0,15.0,4.0,13.0,20.0,11.0,3.0,16.0,14.0,17.0,19.0,21.0,22.0
4066,5.0,2.0,10.0,8.0,4.0,9.0,6.0,7.0,18.0,3.0,0.0,12.0,1.0,11.0,16.0,20.0,13.0,15.0,14.0,17.0,19.0,21.0,22.0
4115,6.0,0.0,12.0,14.0,17.0,5.0,1.0,2.0,10.0,7.0,11.0,15.0,4.0,9.0,20.0,8.0,3.0,16.0,13.0,18.0,19.0,21.0,22.0
4164,11.0,0.0,9.0,4.0,7.0,1.0,5.0,12.0,14.0,10.0,6.0,8.0,3.0,17.0,15.0,20.0,2.0,13.0,19.0,16.0,18.0,21.0,22.0
4213,2.0,0.0,15.0,7.0,3.0,13.0,6.0,4.0,1.0,5.0,11.0,10.0,19.0,8.0,20.0,9.0,14.0,16.0,12.0,17.0,18.0,21.0,22.0
4262,6.0,9.0,7.0,8.0,4.0,0.0,10.0,16.0,3.0,2.0,1.0,18.0,13.0,5.0,20.0,14.0,15.0,12.0,11.0,17.0,19.0,21.0,22.0
4311,6.0,9.0,7.0,0.0,5.0,8.0,11.0,1.0,3.0,2.0,16.0,4.0,10.0,12.0,20.0,13.0,14.0,15.0,19.0,17.0,18.0,21.0,22.0
4360,0.0,1.0,6.0,8.0,7.0,2.0,15.0,3.0,4.0,13.0,16.0,5.0,11.0,10.0,20.0,12.0,14.0,17.0,9.0,18.0,19.0,21.0,22.0
4409,4.0,1.0,3.0,2.0,0.0,10.0,9.0,8.0,6.0,5.0,11.0,7.0,14.0,12.0,15.0,13.0,18.0,16.0,17.0,19.0,20.0,21.0,22.0
4458,6.0,4.0,1.0,13.0,8.0,0.0,5.0,12.0,11.0,3.0,15.0,9.0,14.0,7.0,21.0,10.0,2.0,16.0,20.0,17.0,19.0,18.0,22.0
4507,6.0,3.0,2.0,4.0,16.0,1.0,5.0,14.0,8.0,9.0,0.0,7.0,13.0,11.0,12.0,20.0,10.0,15.0,19.0,17.0,18.0,22.0,21.0
4556,15.0,7.0,1.0,8.0,5.0,6.0,4.0,0.0,12.0,14.0,10.0,2.0,11.0,17.0,3.0,13.0,16.0,18.0,9.0,19.0,20.0,21.0,22.0
4605,14.0,7.0,15.0,16.0,17.0,6.0,4.0,1.0,0.0,2.0,9.0,10.0,11.0,5.0,3.0,12.0,13.0,18.0,8.0,19.0,20.0,21.0,22.0
4654,2.0,9.0,10.0,0.0,4.0,8.0,6.0,17.0,13.0,3.0,1.0,12.0,14.0,5.0,7.0,21.0,15.0,11.0,16.0,22.0,20.0,19.0,18.0
4703,5.0,8.0,6.0,1.0,4.0,7.0,0.0,15.0,11.0,13.0,2.0,10.0,12.0,9.0,3.0,21.0,20.0,16.0,14.0,17.0,19.0,18.0,22.0
4752,10.0,3.0,0.0,5.0,7.0,4.0,6.0,1.0,9.0,11.0,13.0,8.0,2.0,15.0,16.0,12.0,14.0,17.0,20.0,18.0,19.0,21.0,22.0
4801,3.0,4.0,2.0,14.0,17.0,0.0,6.0,11.0,9.0,5.0,12.0,10.0,15.0,1.0,7.0,8.0,16.0,18.0,13.0,19.0,20.0,21.0,22.0
4850,4.0,1.0,0.0,7.0,3.0,8.0,5.0,6.0,2.0,21.0,15.0,18.0,10.0,9.0,13.0,12.0,11.0,16.0,14.0,17.0,20.0,19.0,22.0
4899,2.0,6.0,1.0,4.0,5.0,8.0,3.0,0.0,13.0,15.0,10.0,12.0,7.0,17.0,11.0,14.0,16.0,18.0,9.0,19.0,20.0,21.0,22.0
