,FAM21A_DEL,HLA-H_DEL,ADAM3A_DEL,ADAM5_DEL,MRGPRX1_DEL,LCE3C_DEL,RHD_DEL,LOC390660_AMP,GOLGA6L10_AMP,MIR548AI_DEL,RBFOX1_DEL,EP300_MUT,BRAF_MUT,PCCB_DEL,TPTE_DEL,HCG4B_DEL,HLA-DRB6_AMP,SORD_AMP,DMRTA1_DEL,BRAF.V600E_MUT,GSTTP1_AMP,RPS17L_AMP,GOLGA6L9_AMP,RPS17_AMP,UBE2Q2P3_AMP,CDKN2B_DEL,UBE2Q2P2_AMP,CES1P1_DEL,PCDH15_MUT,GOLGA8DP_DEL
716,66.0,18.0,0.0,1.0,4.0,15.0,14.0,6.0,5.0,103.0,13.0,3.0,59.0,47.0,20.0,128.0,2.0,51.0,74.0,62.0,60.0,9.0,11.0,10.0,8.0,28.0,7.0,46.0,135.0,26.0
765,5.0,15.0,4.0,2.0,9.0,21.0,34.0,8.0,7.0,65.0,14.0,3.0,111.0,36.0,26.0,55.0,0.0,37.0,64.0,148.0,13.0,28.0,29.0,30.0,32.0,110.0,31.0,19.0,177.0,33.0
814,45.0,20.0,10.0,11.0,48.0,35.0,19.0,21.0,22.0,44.0,36.0,6.0,1550.0,191.0,235.0,49.0,0.0,40.0,26.0,2143.0,27.0,14.0,15.0,17.0,16.0,7.0,13.0,18.0,164.0,24.0
863,0.0,22.0,2.0,7.0,1.0,57.0,35.0,5.0,6.0,24.0,26.0,9.0,50.0,151.0,8.0,52.0,4.0,76.0,23.0,66.0,10.0,18.0,17.0,16.0,14.0,11.0,15.0,33.0,415.0,86.0
912,1.0,5.0,10.0,11.0,0.0,13.0,67.0,2.0,3.0,37.0,6.0,12.0,66.0,43.0,117.0,26.0,7.0,523.0,30.0,53.0,17.0,20.0,18.0,21.0,19.0,55.0,22.0,9.0,92.0,36.0
961,22.0,9.0,3.0,4.0,1.0,2.0,7.0,5.0,6.0,85.0,8.0,13.0,41.0,40.0,50.0,51.0,0.0,102.0,35.0,88.0,19.0,17.0,16.0,14.0,18.0,45.0,15.0,39.0,126.0,36.0
1010,2.0,3.0,0.0,1.0,16.0,12.0,4.0,14.0,13.0,5.0,81.0,8.0,7.0,9.0,36.0,54.0,123.0,38.0,127.0,11.0,364.0,58.0,57.0,60.0,59.0,17.0,61.0,20.0,10.0,19.0
1059,2.0,17.0,0.0,1.0,5.0,3.0,9.0,24.0,25.0,6.0,52.0,8.0,15.0,7.0,51.0,43.0,148.0,19.0,63.0,29.0,69.0,179.0,181.0,180.0,178.0,38.0,182.0,4.0,42.0,56.0
1108,2.0,4.0,0.0,1.0,7.0,21.0,6.0,25.0,26.0,3.0,13.0,5.0,8.0,15.0,30.0,19.0,27.0,9.0,58.0,10.0,53.0,104.0,103.0,100.0,101.0,16.0,102.0,35.0,18.0,42.0
1157,0.0,16.0,3.0,6.0,5.0,4.0,26.0,17.0,18.0,12.0,30.0,1.0,22.0,7.0,33.0,101.0,88.0,69.0,55.0,66.0,13.0,63.0,60.0,62.0,61.0,9.0,64.0,41.0,11.0,23.0
1206,0.0,1.0,2.0,3.0,4.0,14.0,7.0,24.0,23.0,5.0,12.0,9.0,11.0,8.0,85.0,44.0,27.0,13.0,50.0,32.0,29.0,126.0,125.0,128.0,129.0,28.0,127.0,16.0,10.0,26.0
1255,1.0,4.0,0.0,2.0,11.0,12.0,7.0,18.0,19.0,3.0,112.0,17.0,30.0,14.0,57.0,8.0,9.0,128.0,41.0,39.0,29.0,34.0,35.0,36.0,33.0,5.0,32.0,107.0,6.0,45.0
1304,2.0,71.0,1.0,0.0,17.0,12.0,26.0,21.0,20.0,9.0,37.0,7.0,36.0,13.0,4.0,23.0,10.0,80.0,33.0,61.0,32.0,132.0,134.0,135.0,136.0,3.0,133.0,27.0,55.0,95.0
1353,4.0,9.0,0.0,1.0,10.0,48.0,6.0,27.0,28.0,3.0,8.0,30.0,2.0,31.0,99.0,20.0,87.0,11.0,50.0,7.0,71.0,161.0,159.0,158.0,157.0,5.0,160.0,93.0,19.0,17.0
1402,4.0,2.0,0.0,3.0,7.0,11.0,10.0,14.0,15.0,5.0,24.0,27.0,150.0,33.0,128.0,17.0,130.0,9.0,19.0,47.0,253.0,461.0,464.0,462.0,465.0,12.0,463.0,31.0,56.0,36.0
1451,4.0,7.0,0.0,2.0,6.0,5.0,11.0,15.0,16.0,1.0,36.0,10.0,14.0,9.0,34.0,8.0,13.0,125.0,168.0,25.0,45.0,30.0,28.0,29.0,31.0,24.0,32.0,72.0,20.0,22.0
1500,0.0,3.0,8.0,10.0,1.0,81.0,7.0,11.0,12.0,27.0,13.0,5.0,18.0,28.0,2.0,55.0,6.0,43.0,23.0,31.0,9.0,35.0,36.0,34.0,38.0,14.0,37.0,32.0,4.0,42.0
1549,1.0,0.0,3.0,4.0,2.0,9.0,13.0,18.0,19.0,44.0,6.0,7.0,36.0,26.0,5.0,46.0,11.0,2963.0,38.0,43.0,25.0,167.0,169.0,166.0,165.0,31.0,168.0,8.0,14.0,24.0
1598,1.0,0.0,2.0,3.0,5.0,8.0,12.0,36.0,35.0,13.0,19.0,9.0,6.0,30.0,7.0,14.0,18.0,97.0,29.0,22.0,10.0,168.0,164.0,166.0,167.0,49.0,165.0,33.0,4.0,53.0
1647,0.0,3.0,8.0,7.0,2.0,37.0,22.0,70.0,69.0,18.0,10.0,9.0,15.0,14.0,6.0,30.0,1.0,38.0,26.0,36.0,28.0,50.0,49.0,51.0,53.0,12.0,52.0,186.0,4.0,25.0
1696,2.0,0.0,8.0,9.0,1.0,6.0,10.0,22.0,21.0,36.0,33.0,12.0,20.0,14.0,4.0,41.0,3.0,26.0,24.0,31.0,13.0,58.0,57.0,59.0,56.0,28.0,55.0,16.0,23.0,34.0
1745,1.0,15.0,4.0,5.0,12.0,56.0,14.0,47.0,48.0,13.0,22.0,9.0,33.0,37.0,16.0,6.0,11.0,8.0,19.0,57.0,20.0,27.0,28.0,30.0,29.0,0.0,31.0,59.0,21.0,23.0
1794,3.0,0.0,6.0,7.0,12.0,36.0,74.0,20.0,21.0,4.0,124.0,13.0,48.0,19.0,2.0,5.0,1.0,614.0,43.0,26.0,33.0,64.0,62.0,60.0,61.0,9.0,63.0,53.0,17.0,18.0
1843,0.0,2.0,7.0,6.0,1.0,36.0,59.0,14.0,13.0,5.0,11.0,44.0,19.0,20.0,4.0,8.0,10.0,154.0,22.0,18.0,32.0,123.0,125.0,124.0,127.0,63.0,126.0,3.0,9.0,29.0
1892,2.0,0.0,12.0,8.0,9.0,23.0,1.0,60.0,61.0,22.0,11.0,7.0,16.0,36.0,19.0,27.0,5.0,63.0,10.0,47.0,39.0,125.0,126.0,124.0,127.0,15.0,123.0,17.0,4.0,6.0
1941,0.0,1.0,72.0,75.0,6.0,17.0,13.0,15.0,14.0,4.0,10.0,20.0,2.0,23.0,3.0,16.0,8.0,1029.0,44.0,5.0,18.0,36.0,38.0,37.0,34.0,30.0,35.0,21.0,7.0,12.0
1990,0.0,3.0,1.0,2.0,50.0,87.0,32.0,20.0,21.0,24.0,10.0,36.0,8.0,114.0,4.0,9.0,47.0,51.0,46.0,11.0,58.0,25.0,26.0,27.0,28.0,5.0,29.0,7.0,64.0,63.0
2039,0.0,13.0,5.0,6.0,11.0,14211.0,48.0,14.0,15.0,7.0,9.0,31.0,50.0,278.0,92.0,12.0,155.0,122.0,36.0,116.0,120.0,26.0,30.0,27.0,29.0,2.0,28.0,25.0,108.0,32.0
2088,0.0,2.0,4.0,3.0,10.0,2829.0,38.0,32.0,33.0,5.0,7.0,53.0,13.0,35.0,58.0,1.0,72.0,8.0,43.0,14.0,57.0,17.0,19.0,18.0,21.0,6.0,20.0,9.0,71.0,39.0
2137,0.0,3.0,1.0,2.0,20.0,91.0,61.0,34.0,35.0,8.0,56.0,51.0,42.0,69.0,6.0,4.0,75.0,9.0,29.0,30.0,55.0,15.0,14.0,12.0,13.0,5.0,16.0,60.0,127.0,88.0
2186,1.0,0.0,5.0,9.0,22.0,190.0,12.0,13.0,14.0,7.0,17.0,65.0,15.0,26.0,6.0,8.0,39.0,4.0,29.0,16.0,58.0,34.0,37.0,35.0,36.0,2.0,33.0,400.0,38.0,23.0
2235,0.0,1.0,5.0,6.0,12.0,4037.0,38.0,15.0,14.0,2.0,9.0,25.0,7.0,98.0,11.0,3.0,46.0,65.0,50.0,10.0,72.0,20.0,22.0,23.0,19.0,4.0,21.0,17.0,57.0,33.0
2284,0.0,18.0,1.0,2.0,16.0,6.0,165.0,38.0,37.0,5.0,22.0,39.0,63.0,80.0,31.0,3.0,4.0,8.0,17.0,119.0,35.0,13.0,15.0,12.0,14.0,7.0,11.0,65.0,255.0,40.0
2333,0.0,3.0,12.0,13.0,7.0,9086.0,24.0,30.0,31.0,4.0,2.0,32.0,11.0,62.0,18.0,5.0,78.0,19.0,92.0,23.0,39.0,41.0,44.0,43.0,40.0,6.0,42.0,83.0,56.0,136.0
2382,0.0,5.0,1.0,4.0,61.0,39.0,50.0,35.0,36.0,2.0,48.0,34.0,17.0,84.0,7.0,3.0,60.0,16.0,42.0,9.0,44.0,14.0,13.0,12.0,11.0,6.0,10.0,19.0,82.0,38.0
2431,1.0,2.0,6.0,8.0,30.0,2701.0,15.0,16.0,17.0,0.0,5.0,70.0,3.0,187.0,19.0,4.0,26.0,25.0,45.0,7.0,34.0,9.0,13.0,10.0,12.0,14.0,11.0,40.0,46.0,32.0
2480,0.0,2.0,39.0,53.0,22.0,3.0,16.0,4.0,5.0,73.0,15.0,11.0,8.0,13.0,6.0,59.0,47.0,1.0,33.0,12.0,20.0,26.0,23.0,24.0,27.0,75.0,25.0,19.0,9.0,31.0
2529,0.0,4.0,1.0,3.0,15.0,2.0,21.0,8.0,7.0,973.0,14.0,9.0,17.0,6.0,11.0,525.0,5.0,10.0,42.0,30.0,18.0,27.0,26.0,24.0,23.0,78.0,25.0,44.0,28.0,85.0
2578,0.0,1.0,58.0,69.0,65.0,3.0,254.0,7.0,6.0,8.0,13.0,26.0,4.0,14.0,2.0,12.0,73.0,10.0,23.0,15.0,30.0,36.0,34.0,35.0,37.0,90.0,33.0,64.0,19.0,24.0
2627,0.0,5.0,2.0,3.0,6.0,62.0,34.0,20.0,19.0,16.0,9.0,44.0,8.0,15.0,21.0,24.0,47.0,1.0,42.0,7.0,139.0,14.0,13.0,12.0,11.0,33.0,10.0,70.0,4.0,45.0
2676,1.0,0.0,8.0,10.0,17.0,2.0,5.0,13.0,14.0,4.0,9.0,31.0,6.0,23.0,16.0,15.0,18.0,3.0,44.0,7.0,20.0,52.0,55.0,51.0,53.0,123.0,54.0,19.0,12.0,26.0
2725,0.0,1.0,10.0,14.0,102.0,3.0,9.0,12.0,11.0,48.0,13.0,5.0,2.0,20.0,7.0,124.0,29.0,21.0,62.0,6.0,72.0,35.0,33.0,36.0,34.0,60.0,32.0,30.0,4.0,17.0
2774,1.0,25.0,18.0,22.0,15.0,4.0,20.0,2.0,3.0,7708.0,19.0,11.0,104.0,49.0,5.0,1134.0,14.0,0.0,21.0,79.0,12.0,10.0,6.0,9.0,7.0,16.0,8.0,17.0,103.0,24.0
2823,0.0,1.0,22.0,28.0,21.0,5.0,55.0,12.0,13.0,2.0,9.0,18.0,36.0,15.0,6.0,20.0,193.0,7.0,34.0,26.0,47.0,41.0,38.0,42.0,40.0,25.0,39.0,4.0,8.0,72.0
2872,0.0,1.0,14.0,20.0,28.0,2.0,26.0,6.0,7.0,79.0,16.0,19.0,24.0,21.0,8.0,71.0,69.0,17.0,39.0,25.0,35.0,12.0,13.0,11.0,9.0,74.0,10.0,23.0,4.0,22.0
2921,0.0,3.0,18.0,20.0,33.0,1.0,6.0,14.0,15.0,423.0,2.0,29.0,4.0,26.0,11.0,231.0,28.0,8.0,36.0,16.0,7.0,37.0,40.0,41.0,39.0,115.0,38.0,9.0,25.0,88.0
2970,2.0,4.0,0.0,1.0,3.0,72.0,6.0,24.0,25.0,15.0,16.0,12.0,28.0,31.0,29.0,38.0,75.0,21.0,22.0,27.0,14.0,45.0,48.0,49.0,46.0,5.0,47.0,32.0,18.0,40.0
3019,1.0,0.0,2.0,3.0,5.0,4.0,9.0,57.0,58.0,28.0,41.0,31.0,7.0,16.0,18.0,38.0,162.0,24.0,14.0,6.0,19.0,54.0,53.0,56.0,52.0,21.0,55.0,10.0,22.0,63.0
3068,3.0,4.0,1.0,2.0,11.0,12.0,7.0,32.0,31.0,0.0,18.0,20.0,8.0,61.0,13.0,5.0,66.0,30.0,23.0,9.0,19.0,42.0,39.0,41.0,38.0,14.0,40.0,37.0,22.0,44.0
3117,5.0,0.0,1.0,2.0,24.0,16.0,4.0,25.0,26.0,6.0,7.0,32.0,12.0,14.0,29.0,9.0,188.0,3.0,17.0,15.0,27.0,55.0,54.0,53.0,56.0,8.0,52.0,34.0,10.0,51.0
3166,2.0,0.0,1.0,3.0,14.0,6.0,4.0,30.0,31.0,82.0,22.0,33.0,15.0,16.0,9.0,77.0,58.0,11.0,19.0,17.0,18.0,26.0,25.0,27.0,29.0,5.0,28.0,21.0,47.0,53.0
3215,0.0,1.0,6.0,5.0,8.0,48.0,2.0,32.0,33.0,4.0,11.0,37.0,3.0,20.0,45.0,9.0,152.0,57.0,7.0,12.0,17.0,64.0,68.0,67.0,66.0,34.0,65.0,31.0,14.0,51.0
3264,2.0,3.0,1.0,0.0,14.0,5.0,4.0,28.0,27.0,34.0,31.0,11.0,6.0,16.0,18.0,33.0,71.0,15.0,7.0,9.0,8.0,39.0,38.0,36.0,35.0,10.0,37.0,20.0,30.0,74.0
3313,0.0,2.0,1.0,3.0,18.0,38.0,7.0,24.0,25.0,6.0,10.0,11.0,4.0,12.0,8.0,13.0,23.0,9.0,20.0,5.0,16.0,28.0,26.0,29.0,27.0,56.0,30.0,32.0,14.0,75.0
3362,2.0,0.0,3.0,4.0,11.0,13.0,1.0,101.0,100.0,14.0,10.0,20.0,6.0,23.0,42.0,18.0,92.0,34.0,22.0,8.0,26.0,111.0,109.0,113.0,110.0,16.0,112.0,5.0,9.0,54.0
3411,0.0,1.0,7.0,5.0,3.0,53.0,2.0,33.0,32.0,35.0,10.0,9.0,4.0,14.0,31.0,44.0,367.0,34.0,6.0,11.0,25.0,66.0,68.0,67.0,65.0,20.0,64.0,19.0,8.0,104.0
3460,2.0,0.0,7.0,8.0,4.0,23.0,9.0,16.0,17.0,12.0,3.0,44.0,1.0,91.0,145.0,31.0,11.0,5.0,56.0,24.0,21.0,71.0,72.0,68.0,69.0,1293.0,70.0,75.0,213.0,35.0
3509,2.0,1.0,0.0,3.0,13.0,4.0,12.0,10.0,11.0,46.0,33.0,40.0,7.0,8.0,14.0,50.0,9.0,329.0,21.0,52.0,38.0,18.0,17.0,19.0,16.0,162.0,20.0,117.0,55.0,15.0
3558,3.0,2.0,1.0,0.0,5.0,7.0,9.0,15.0,14.0,22.0,12.0,82.0,4.0,6.0,23.0,25.0,36.0,33.0,18.0,11.0,32.0,64.0,62.0,65.0,63.0,273.0,61.0,16.0,17.0,13.0
3607,3.0,0.0,1.0,2.0,7.0,24.0,28.0,10.0,11.0,8.0,6.0,48.0,9.0,21.0,59.0,17.0,75.0,4.0,35.0,22.0,58.0,16.0,15.0,14.0,12.0,85.0,13.0,167.0,23.0,36.0
3656,4.0,2.0,0.0,1.0,17.0,3.0,7.0,15.0,16.0,10.0,14.0,43.0,5.0,8.0,62.0,18.0,25.0,19.0,20.0,12.0,69.0,34.0,32.0,33.0,35.0,2248.0,36.0,30.0,9.0,37.0
3705,3.0,0.0,1.0,2.0,5.0,11.0,10.0,15.0,14.0,7.0,4.0,43.0,6.0,13.0,68.0,9.0,30.0,24.0,18.0,17.0,66.0,27.0,25.0,28.0,29.0,42.0,26.0,59.0,36.0,75.0
3754,3.0,0.0,1.0,2.0,5.0,15.0,9.0,13.0,12.0,8.0,6.0,11.0,4.0,39.0,21.0,7.0,10.0,35.0,26.0,14.0,58.0,52.0,51.0,53.0,50.0,117.0,49.0,23.0,28.0,34.0
3803,7.0,0.0,2.0,3.0,31.0,68.0,6.0,22.0,23.0,1.0,18.0,39.0,5.0,36.0,19.0,4.0,32.0,16.0,74.0,8.0,7427.0,42.0,45.0,46.0,43.0,676.0,44.0,59.0,40.0,20.0
3852,3.0,0.0,2.0,1.0,6.0,27.0,5.0,7.0,8.0,12.0,29.0,26.0,4.0,11.0,67.0,13.0,18.0,60.0,34.0,20.0,57.0,36.0,37.0,38.0,39.0,195.0,35.0,30.0,17.0,16.0
3901,1.0,0.0,3.0,2.0,7.0,11.0,10.0,19.0,20.0,4.0,8.0,29.0,6.0,12.0,50.0,5.0,14.0,31.0,33.0,13.0,23.0,62.0,65.0,61.0,63.0,164.0,64.0,52.0,40.0,18.0
3950,20.0,1.0,5.0,2.0,6.0,167.0,22.0,3.0,4.0,138.0,14.0,32.0,171.0,15.0,81.0,104.0,58.0,0.0,19.0,77.0,16.0,9.0,12.0,13.0,11.0,18.0,10.0,92.0,536.0,76.0
3999,1.0,0.0,15.0,17.0,12.0,33.0,428.0,4.0,3.0,6.0,13.0,30.0,41.0,29.0,36.0,2.0,66.0,5.0,18.0,25.0,20.0,9.0,8.0,7.0,11.0,26.0,10.0,27.0,111.0,35.0
4048,11.0,10.0,2.0,3.0,21.0,61.0,262.0,1.0,0.0,127.0,9.0,16.0,44.0,17.0,42.0,47.0,12.0,13.0,20.0,27.0,46.0,6.0,8.0,4.0,7.0,18.0,5.0,28.0,199.0,60.0
4097,3.0,2.0,0.0,1.0,50.0,65.0,105.0,5.0,4.0,173.0,25.0,8.0,63.0,13.0,55.0,56.0,7.0,6.0,23.0,24.0,27.0,18.0,14.0,15.0,16.0,39.0,17.0,163.0,28.0,29.0
4146,15.0,0.0,1.0,2.0,10.0,16.0,9.0,4.0,5.0,79.0,369.0,7.0,37.0,12.0,22.0,97.0,86.0,40.0,60.0,13.0,23.0,17.0,18.0,19.0,20.0,43.0,21.0,8.0,58.0,84.0
4195,7.0,0.0,1.0,2.0,41.0,154.0,109.0,4.0,5.0,14.0,19.0,20.0,6.0,15.0,95.0,13.0,24.0,3.0,44.0,8.0,140.0,27.0,31.0,29.0,28.0,98.0,30.0,36.0,11.0,10.0
4244,4.0,0.0,3.0,6.0,27.0,70.0,36.0,8.0,7.0,74.0,67.0,5.0,12.0,9.0,2.0,15.0,41.0,1.0,90.0,10.0,42.0,22.0,24.0,23.0,25.0,95.0,26.0,66.0,11.0,30.0
4293,8.0,0.0,5.0,4.0,27.0,48.0,65.0,2.0,3.0,6.0,26.0,10.0,29.0,11.0,12.0,1.0,20.0,7.0,23.0,14.0,34.0,19.0,15.0,17.0,16.0,66.0,18.0,31.0,22.0,24.0
4342,3.0,0.0,1.0,2.0,82.0,599.0,53.0,5.0,4.0,16.0,50.0,20.0,69.0,17.0,34.0,15.0,75.0,7.0,43.0,44.0,54.0,13.0,12.0,10.0,11.0,6.0,14.0,39.0,48.0,49.0
4391,2.0,0.0,5.0,6.0,45.0,9.0,24.0,8.0,7.0,16.0,33.0,13.0,43.0,31.0,28.0,11.0,17.0,1.0,20.0,44.0,23.0,40.0,39.0,41.0,38.0,162.0,37.0,71.0,32.0,19.0
4440,6.0,17.0,7.0,8.0,19.0,0.0,25.0,14.0,13.0,71.0,72.0,10.0,104.0,15.0,26.0,34.0,9.0,40.0,22.0,113.0,12.0,4.0,5.0,3.0,1.0,23.0,2.0,10115.0,49.0,21.0
4489,3.0,4.0,1.0,0.0,7.0,2.0,36.0,8.0,9.0,50.0,79.0,12.0,144.0,21.0,81.0,20.0,23.0,11.0,6.0,39.0,46.0,15.0,16.0,17.0,14.0,31.0,13.0,125.0,62.0,24.0
4538,1.0,0.0,2.0,3.0,16.0,4.0,6.0,8.0,9.0,218.0,29.0,7.0,14.0,20.0,26.0,111.0,32.0,110.0,18.0,37.0,30.0,23.0,21.0,24.0,22.0,52.0,25.0,437.0,27.0,11.0
4587,2.0,1.0,0.0,3.0,14.0,5.0,10.0,8.0,9.0,39.0,47.0,21.0,60.0,6.0,44.0,29.0,18.0,133.0,7.0,62.0,17.0,34.0,32.0,35.0,36.0,106.0,33.0,52.0,11.0,45.0
4636,3.0,1.0,0.0,2.0,39.0,18.0,63.0,20.0,21.0,4.0,36.0,8.0,24.0,37.0,1458.0,6.0,27.0,354.0,5.0,16.0,86.0,31.0,34.0,32.0,33.0,26.0,30.0,189.0,7.0,14.0
4685,4.0,3.0,2.0,1.0,5.0,0.0,33.0,12.0,13.0,67.0,36.0,17.0,98.0,14.0,76.0,32.0,16.0,229.0,8.0,74.0,15.0,21.0,20.0,22.0,19.0,30.0,23.0,7.0,29.0,24.0
4734,3.0,2.0,0.0,1.0,5.0,6.0,30.0,7.0,8.0,107.0,46.0,9.0,80.0,60.0,53.0,49.0,10.0,11.0,12.0,59.0,13.0,19.0,18.0,17.0,16.0,54.0,20.0,44.0,120.0,35.0
4783,0.0,2.0,7.0,8.0,53.0,1.0,3.0,5.0,6.0,49.0,64.0,25.0,4.0,20.0,24.0,105.0,27.0,60.0,22.0,18.0,23.0,14.0,16.0,17.0,15.0,266.0,13.0,34.0,10.0,21.0
4832,1.0,0.0,2.0,3.0,12.0,4.0,123.0,13.0,14.0,28.0,72.0,70.0,263.0,105.0,9.0,15.0,6.0,352.0,7.0,161.0,8.0,20.0,18.0,17.0,16.0,21.0,19.0,42.0,61.0,22.0
4881,4.0,3.0,1.0,2.0,24.0,0.0,51.0,8.0,7.0,27.0,141.0,9.0,93.0,17.0,22.0,20.0,6.0,144.0,10.0,165.0,19.0,15.0,14.0,12.0,11.0,60.0,13.0,65.0,66.0,18.0
