,NQO1,MB21D1,SLC16A3,MAGEA6,FAM109B,AC074389.9,AC093627.9,MAGEA1,WWP2,TNFSF9,CTD-2639E6.9,LY6G5C,GOLGA8B,CCDC8,HOXC10,RP11-613F22.6,SNORA5B,PARP8,ERMP1,FOXD1,SNHG5,SMN2,ALPK3,S100A4,TFR2,HS3ST3A1,LTBP2,HTRA3,PHPT1,RP11-305M3.2
1087,0.0,1.0,27.0,6.0,2.0,4.0,37.0,14.0,41.0,24.0,124.0,78.0,28.0,5.0,55.0,20.0,432.0,44.0,105.0,69.0,11.0,88.0,60.0,3.0,80.0,106.0,15.0,77.0,53.0,94.0
1136,0.0,2.0,20.0,1.0,3.0,6.0,9.0,40.0,31.0,10.0,39.0,12.0,50.0,8.0,13.0,45.0,105.0,7.0,33.0,48.0,4.0,406.0,156.0,37.0,136.0,53.0,24.0,56.0,15.0,79.0
1185,0.0,3.0,9.0,1.0,2.0,6.0,13.0,4.0,31.0,15.0,64.0,8.0,14.0,7.0,73.0,41.0,87.0,5.0,58.0,33.0,36.0,26.0,17.0,78.0,249.0,46.0,45.0,43.0,50.0,29.0
1234,0.0,3.0,11.0,1.0,2.0,42.0,13.0,6.0,63.0,8.0,25.0,12.0,9.0,23.0,103.0,49.0,16.0,18.0,30.0,94.0,39.0,1005.0,26.0,5.0,270.0,385.0,7.0,61.0,38.0,100.0
1283,0.0,3.0,17.0,2.0,1.0,27.0,9.0,11.0,61.0,5.0,32.0,16.0,66.0,41.0,57.0,34.0,39.0,58.0,54.0,40.0,18.0,43.0,170.0,23.0,113.0,8.0,14.0,89.0,33.0,55.0
1332,0.0,7.0,8.0,1.0,5.0,2.0,4.0,89.0,50.0,28.0,24.0,38.0,111.0,3.0,14.0,41.0,65.0,23.0,237.0,9.0,16.0,1803.0,11.0,47.0,174.0,77.0,59.0,58.0,19.0,78.0
1381,0.0,3.0,20.0,1.0,2.0,4.0,39.0,43.0,13.0,7.0,12.0,25.0,6.0,29.0,23.0,52.0,53.0,9.0,11.0,8.0,32.0,68.0,141.0,19.0,745.0,42.0,15.0,150.0,56.0,218.0
1430,0.0,3.0,8.0,2.0,4.0,13.0,5.0,1.0,34.0,9.0,112.0,57.0,89.0,28.0,33.0,98.0,613.0,29.0,67.0,16.0,6.0,92.0,23.0,27.0,88.0,53.0,14.0,163.0,43.0,22.0
1479,0.0,2.0,6.0,21.0,426.0,18.0,25.0,116.0,4.0,156.0,139.0,24.0,235.0,17.0,157.0,14.0,11.0,65.0,8.0,141.0,43.0,619.0,31.0,5.0,30.0,71.0,62.0,35.0,29.0,87.0
1528,0.0,4.0,1.0,2.0,17.0,11.0,3.0,147.0,12.0,57.0,217.0,14.0,16.0,23.0,15.0,24.0,95.0,7.0,35.0,28.0,51.0,644.0,20.0,6.0,10.0,158.0,204.0,177.0,19.0,163.0
1577,0.0,23.0,6.0,1.0,2.0,8.0,22.0,73.0,11.0,40.0,25.0,34.0,33.0,35.0,7.0,61.0,138.0,270.0,4.0,49.0,94.0,91.0,43.0,5.0,45.0,58.0,111.0,170.0,66.0,89.0
1626,0.0,1.0,3.0,13.0,2.0,18.0,14.0,383.0,42.0,19.0,31.0,25.0,12.0,92.0,17.0,20.0,45.0,7.0,15.0,69.0,125.0,74.0,492.0,5.0,38.0,10.0,146.0,66.0,50.0,16.0
1675,0.0,5.0,2.0,68.0,1.0,3.0,38.0,19.0,15.0,34.0,50.0,64.0,9.0,12.0,18.0,31.0,28.0,30.0,4.0,37.0,45.0,35.0,63.0,10.0,88.0,36.0,49.0,91.0,23.0,32.0
1724,0.0,4.0,2.0,31.0,1.0,35.0,9.0,105.0,19.0,33.0,49.0,8.0,3.0,53.0,135.0,5.0,23.0,32.0,15.0,76.0,6.0,22.0,253.0,21.0,39.0,17.0,83.0,28.0,18.0,64.0
1773,0.0,20.0,2.0,21.0,1.0,28.0,11.0,18.0,10.0,8.0,38.0,61.0,50.0,44.0,17.0,7.0,366.0,3.0,23.0,100.0,24.0,29.0,109.0,4.0,56.0,36.0,27.0,102.0,14.0,5.0
1822,0.0,13.0,1.0,6.0,2.0,93.0,8.0,30.0,50.0,7.0,53.0,31.0,11.0,10.0,56.0,4.0,71.0,46.0,22.0,33.0,5.0,833.0,47.0,12.0,15.0,38.0,34.0,51.0,19.0,76.0
1871,0.0,27.0,2.0,3.0,1.0,11.0,16.0,1169.0,20.0,332.0,249.0,115.0,23.0,46.0,17.0,5.0,30.0,29.0,9.0,187.0,87.0,37.0,402.0,22.0,41.0,32.0,866.0,73.0,35.0,135.0
1920,0.0,3.0,2.0,54.0,1.0,118.0,28.0,208.0,37.0,7.0,47.0,26.0,35.0,34.0,5.0,29.0,24.0,38.0,8.0,41.0,119.0,97.0,461.0,25.0,46.0,94.0,573.0,50.0,170.0,30.0
1969,0.0,6.0,15.0,23.0,4.0,31.0,13.0,8.0,16.0,1.0,2.0,19.0,24.0,75.0,103.0,70.0,55.0,46.0,74.0,40.0,3.0,69.0,264.0,77.0,237.0,57.0,12.0,10.0,47.0,33.0
2018,0.0,1.0,8.0,139.0,2.0,36.0,75.0,32.0,5.0,17.0,6.0,3.0,106.0,109.0,116.0,66.0,21.0,39.0,97.0,19.0,10.0,24.0,332.0,322.0,74.0,12.0,11.0,9.0,42.0,14.0
2067,0.0,5.0,2.0,69.0,1.0,119.0,30.0,51.0,9.0,8.0,10.0,11.0,81.0,20.0,212.0,67.0,21.0,13.0,56.0,18.0,3.0,16.0,502.0,387.0,60.0,15.0,14.0,6.0,49.0,35.0
2116,0.0,4.0,3.0,76.0,1.0,223.0,19.0,41.0,9.0,8.0,11.0,5.0,21.0,12.0,199.0,28.0,30.0,27.0,68.0,77.0,2.0,16.0,222.0,583.0,51.0,33.0,10.0,6.0,52.0,14.0
2165,0.0,10.0,1.0,12.0,25.0,261.0,33.0,57.0,11.0,13.0,7.0,16.0,2094.0,499.0,28.0,295.0,576.0,141.0,115.0,3.0,2.0,621.0,73.0,863.0,58.0,46.0,4.0,19.0,124.0,94.0
2214,0.0,2.0,13.0,98.0,1.0,17.0,11.0,10.0,6.0,8.0,36.0,3.0,50.0,293.0,492.0,35.0,43.0,60.0,57.0,22.0,4.0,45.0,264.0,29.0,25.0,7.0,12.0,19.0,48.0,106.0
2263,0.0,15.0,3.0,246.0,23.0,41.0,22.0,26.0,6.0,19.0,4.0,10.0,36.0,38.0,54.0,51.0,65.0,32.0,126.0,12.0,8.0,1.0,215.0,502.0,21.0,5.0,14.0,33.0,56.0,2.0
2312,0.0,1.0,6.0,108.0,2.0,17.0,27.0,19.0,18.0,16.0,5.0,26.0,68.0,22.0,57.0,29.0,47.0,48.0,33.0,20.0,21.0,3.0,210.0,322.0,69.0,39.0,12.0,14.0,125.0,8.0
2361,0.0,1.0,2.0,26.0,3.0,49.0,19.0,16.0,8.0,15.0,9.0,4.0,73.0,362.0,130.0,233.0,42.0,22.0,34.0,11.0,5.0,12.0,296.0,100.0,45.0,30.0,13.0,10.0,55.0,18.0
2410,0.0,3.0,2.0,10.0,1.0,16.0,21.0,8.0,5.0,15.0,9.0,45.0,100.0,124.0,64.0,6.0,11.0,37.0,234.0,20.0,4.0,121.0,536.0,999.0,65.0,36.0,13.0,44.0,26.0,28.0
2459,0.0,1.0,25.0,8.0,90.0,3.0,4.0,7.0,21.0,6.0,2.0,53.0,18.0,158.0,11.0,26.0,74.0,814.0,35.0,70.0,1228.0,36.0,22.0,12.0,89.0,197.0,23.0,27.0,121.0,61.0
2508,0.0,2.0,6.0,12.0,5.0,1.0,9.0,23.0,45.0,4.0,11.0,14.0,8.0,577.0,166.0,41.0,35.0,74.0,49.0,18.0,344.0,10.0,76.0,3.0,39.0,83.0,55.0,7.0,75.0,325.0
2557,0.0,1.0,6.0,3.0,176.0,5.0,4.0,2.0,19.0,7.0,8.0,223.0,14.0,420.0,82.0,85.0,84.0,163.0,73.0,55.0,718.0,16.0,17.0,36.0,12.0,65.0,21.0,72.0,68.0,37.0
2606,0.0,4.0,3.0,6.0,51.0,5.0,9.0,1.0,32.0,2.0,16.0,39.0,62.0,64.0,24.0,10.0,215.0,209.0,41.0,33.0,134.0,50.0,243.0,8.0,114.0,374.0,144.0,212.0,109.0,61.0
2655,0.0,5.0,4.0,3.0,16.0,1.0,6.0,18.0,9.0,10.0,13.0,131.0,15.0,566.0,20.0,75.0,400.0,173.0,14.0,88.0,84.0,7.0,46.0,2.0,54.0,41.0,25.0,121.0,29.0,58.0
2704,0.0,1.0,2.0,3.0,38.0,5.0,4.0,6.0,10.0,16.0,26.0,144.0,32.0,127.0,18.0,9.0,319.0,84.0,62.0,35.0,49.0,110.0,28.0,7.0,58.0,12.0,42.0,76.0,14.0,29.0
2753,0.0,1.0,8.0,2.0,7.0,3.0,11.0,4.0,33.0,5.0,9.0,74.0,17.0,669.0,21.0,14.0,452.0,54.0,105.0,38.0,395.0,19.0,41.0,6.0,37.0,63.0,115.0,29.0,60.0,154.0
2802,0.0,2.0,5.0,1.0,64.0,4.0,22.0,3.0,25.0,6.0,19.0,21.0,20.0,238.0,18.0,35.0,761.0,829.0,55.0,51.0,164.0,15.0,90.0,11.0,26.0,9.0,124.0,28.0,74.0,92.0
2851,0.0,1.0,5.0,3.0,16.0,2.0,10.0,4.0,44.0,20.0,35.0,71.0,32.0,227.0,149.0,13.0,224.0,191.0,23.0,62.0,413.0,57.0,60.0,6.0,11.0,168.0,21.0,29.0,78.0,85.0
2900,0.0,1.0,4.0,3.0,29.0,9.0,19.0,8.0,17.0,7.0,71.0,6.0,22.0,129.0,143.0,74.0,33.0,108.0,182.0,48.0,548.0,16.0,46.0,18.0,42.0,64.0,85.0,270.0,115.0,235.0
2949,0.0,23.0,5.0,2.0,3.0,1.0,30.0,21.0,18.0,109.0,175.0,62.0,498.0,15.0,72.0,124.0,17.0,7.0,31.0,27.0,37.0,14.0,42.0,239.0,101.0,19.0,51.0,53.0,28.0,12.0
2998,0.0,1.0,6.0,3.0,254.0,2.0,26.0,17.0,24.0,49.0,57.0,72.0,291.0,32.0,159.0,46.0,27.0,18.0,67.0,14.0,66.0,7.0,58.0,604.0,28.0,21.0,65.0,53.0,42.0,25.0
3047,0.0,2.0,5.0,3.0,77.0,1.0,6.0,21.0,14.0,67.0,76.0,11.0,698.0,19.0,8.0,39.0,34.0,9.0,65.0,57.0,47.0,26.0,33.0,154.0,16.0,12.0,29.0,25.0,15.0,37.0
3096,0.0,2.0,5.0,1.0,44.0,3.0,8.0,31.0,19.0,62.0,250.0,27.0,92.0,46.0,78.0,154.0,289.0,4.0,59.0,29.0,11.0,22.0,23.0,135.0,81.0,10.0,60.0,32.0,20.0,33.0
3145,0.0,1.0,2.0,3.0,32.0,4.0,30.0,19.0,20.0,129.0,58.0,6.0,101.0,90.0,44.0,60.0,52.0,27.0,80.0,59.0,221.0,8.0,49.0,467.0,29.0,10.0,78.0,55.0,34.0,18.0
3194,0.0,3.0,5.0,1.0,24.0,2.0,23.0,16.0,17.0,25.0,42.0,75.0,89.0,116.0,41.0,8.0,146.0,7.0,83.0,33.0,51.0,73.0,189.0,268.0,66.0,22.0,183.0,43.0,28.0,88.0
3243,0.0,5.0,11.0,1.0,19.0,4.0,31.0,2.0,7.0,96.0,104.0,22.0,64.0,8.0,75.0,177.0,40.0,3.0,41.0,279.0,56.0,9.0,25.0,100.0,129.0,39.0,78.0,49.0,38.0,43.0
3292,0.0,7.0,2.0,1.0,10.0,3.0,9.0,15.0,13.0,81.0,50.0,56.0,55.0,37.0,97.0,12.0,23.0,6.0,53.0,67.0,84.0,28.0,189.0,662.0,21.0,34.0,109.0,29.0,32.0,43.0
3341,0.0,3.0,15.0,2.0,114.0,1.0,14.0,158.0,20.0,87.0,136.0,115.0,180.0,112.0,28.0,53.0,10.0,25.0,81.0,18.0,31.0,6.0,66.0,54.0,32.0,7.0,50.0,73.0,26.0,40.0
3390,0.0,10.0,3.0,2.0,7.0,1.0,27.0,36.0,16.0,45.0,146.0,84.0,39.0,24.0,85.0,12.0,40.0,8.0,51.0,5.0,28.0,26.0,174.0,463.0,14.0,13.0,43.0,42.0,30.0,11.0
3439,0.0,1.0,2.0,12.0,6.0,4.0,27.0,55.0,13.0,79.0,15.0,24.0,74.0,67.0,8.0,69.0,5.0,19.0,72.0,135.0,247.0,7.0,28.0,212.0,26.0,173.0,768.0,23.0,17.0,45.0
3488,0.0,1.0,4.0,18.0,24.0,40.0,111.0,3.0,64.0,15.0,11.0,55.0,84.0,10.0,26.0,39.0,25.0,19.0,329.0,441.0,1281.0,218.0,29.0,66.0,72.0,2402.0,419.0,51.0,41.0,21.0
3537,0.0,1.0,4.0,23.0,6.0,10.0,55.0,3.0,15.0,40.0,36.0,25.0,30.0,28.0,13.0,31.0,7.0,21.0,81.0,300.0,398.0,19.0,22.0,153.0,62.0,58.0,332.0,14.0,35.0,18.0
3586,0.0,1.0,6.0,4.0,5.0,2.0,211.0,3.0,10.0,30.0,18.0,26.0,108.0,95.0,28.0,50.0,13.0,66.0,75.0,497.0,84.0,113.0,12.0,90.0,140.0,590.0,82.0,21.0,35.0,146.0
3635,0.0,2.0,32.0,17.0,23.0,5.0,147.0,3.0,20.0,233.0,22.0,10.0,188.0,15.0,11.0,230.0,12.0,128.0,31.0,880.0,38.0,208.0,37.0,18.0,77.0,852.0,536.0,40.0,29.0,72.0
3684,0.0,1.0,33.0,4.0,2.0,49.0,12.0,5.0,53.0,30.0,73.0,21.0,9.0,29.0,6.0,57.0,15.0,52.0,105.0,293.0,167.0,219.0,19.0,44.0,165.0,422.0,142.0,14.0,23.0,56.0
3733,0.0,1.0,37.0,42.0,4.0,8.0,70.0,15.0,9.0,132.0,34.0,6.0,149.0,51.0,26.0,50.0,2.0,33.0,343.0,329.0,322.0,14.0,19.0,312.0,47.0,330.0,134.0,46.0,49.0,35.0
3782,0.0,1.0,2.0,5.0,27.0,12.0,50.0,6.0,29.0,31.0,21.0,7.0,20.0,172.0,25.0,66.0,15.0,51.0,147.0,555.0,488.0,63.0,13.0,104.0,30.0,310.0,185.0,47.0,19.0,18.0
3831,0.0,1.0,4.0,52.0,2.0,7.0,75.0,8.0,11.0,28.0,17.0,15.0,41.0,16.0,6.0,55.0,5.0,31.0,171.0,634.0,216.0,101.0,91.0,218.0,74.0,154.0,98.0,88.0,10.0,40.0
3880,0.0,1.0,30.0,78.0,4.0,5.0,41.0,3.0,12.0,54.0,56.0,7.0,50.0,323.0,10.0,144.0,18.0,8.0,52.0,810.0,26.0,62.0,470.0,63.0,38.0,94.0,480.0,43.0,16.0,22.0
3929,0.0,7.0,8.0,5.0,3.0,254.0,122.0,91.0,40.0,24.0,30.0,2.0,23.0,12.0,10.0,39.0,1.0,107.0,28.0,35.0,22.0,11.0,4.0,9.0,27.0,13.0,21.0,184.0,46.0,19.0
3978,0.0,1.0,2.0,4.0,3.0,141.0,5.0,55.0,16.0,7.0,47.0,26.0,10.0,58.0,20.0,22.0,8.0,21.0,35.0,43.0,9.0,117.0,40.0,71.0,28.0,19.0,25.0,333.0,84.0,18.0
4027,0.0,2.0,4.0,1.0,3.0,66.0,30.0,121.0,47.0,16.0,14.0,8.0,6.0,5.0,17.0,12.0,11.0,34.0,24.0,18.0,58.0,19.0,7.0,15.0,13.0,61.0,44.0,146.0,190.0,33.0
4076,0.0,1.0,3.0,45.0,6.0,90.0,9.0,159.0,21.0,30.0,15.0,61.0,127.0,4.0,2.0,83.0,22.0,128.0,25.0,23.0,48.0,26.0,10.0,19.0,44.0,8.0,17.0,996.0,104.0,7.0
4125,0.0,1.0,3.0,94.0,2.0,203.0,45.0,307.0,21.0,34.0,19.0,16.0,23.0,11.0,71.0,15.0,5.0,91.0,49.0,26.0,12.0,7.0,17.0,10.0,14.0,24.0,13.0,154.0,165.0,29.0
4174,0.0,2.0,7.0,72.0,9.0,50.0,58.0,3.0,52.0,56.0,18.0,46.0,13.0,12.0,20.0,27.0,8.0,19.0,39.0,42.0,10.0,6.0,28.0,44.0,15.0,16.0,88.0,607.0,80.0,5.0
4223,0.0,7.0,1.0,2.0,4.0,39.0,108.0,73.0,33.0,21.0,24.0,12.0,43.0,32.0,202.0,31.0,3.0,19.0,28.0,115.0,35.0,83.0,17.0,48.0,34.0,9.0,75.0,161.0,95.0,13.0
4272,0.0,3.0,7.0,10.0,1.0,15.0,14.0,233.0,6.0,44.0,33.0,21.0,16.0,5.0,17.0,47.0,12.0,70.0,8.0,112.0,9.0,18.0,19.0,74.0,106.0,25.0,38.0,323.0,40.0,11.0
4321,0.0,1.0,6.0,62.0,249.0,2182.0,54.0,111.0,19.0,10.0,13.0,27.0,5.0,3.0,24.0,16.0,4.0,28.0,8.0,76.0,136.0,2.0,7.0,21.0,17.0,68.0,12.0,319.0,93.0,9.0
4370,0.0,2.0,13.0,3.0,10.0,34.0,52.0,64.0,68.0,29.0,7.0,51.0,24.0,37.0,26.0,22.0,1.0,69.0,40.0,49.0,140.0,9.0,47.0,14.0,38.0,18.0,20.0,217.0,48.0,5.0
4419,0.0,4.0,2.0,8.0,1799.0,5.0,10.0,67.0,41.0,397.0,272.0,9.0,75.0,132.0,65.0,43.0,1.0,3.0,108.0,60.0,97.0,54.0,69.0,341.0,61.0,58.0,83.0,125.0,49.0,32.0
4468,0.0,1.0,3.0,2.0,212.0,6.0,15.0,92.0,117.0,68.0,22.0,11.0,10.0,29.0,7.0,4.0,5.0,35.0,197.0,9.0,36.0,101.0,62.0,242.0,362.0,65.0,138.0,163.0,102.0,67.0
4517,0.0,3.0,2.0,1.0,560.0,31.0,9.0,4.0,73.0,173.0,66.0,16.0,6.0,42.0,7.0,12.0,5.0,10.0,85.0,13.0,237.0,286.0,11.0,432.0,19.0,40.0,145.0,125.0,78.0,94.0
4566,0.0,2.0,1.0,4.0,247.0,129.0,8.0,641.0,13.0,47.0,48.0,6.0,3.0,12.0,17.0,10.0,7.0,27.0,25.0,14.0,35.0,81.0,16.0,114.0,34.0,36.0,21.0,168.0,93.0,179.0
4615,0.0,2.0,1.0,3.0,40.0,6.0,45.0,5.0,37.0,227.0,16.0,10.0,8.0,41.0,44.0,12.0,4.0,23.0,80.0,434.0,124.0,558.0,11.0,225.0,86.0,177.0,299.0,51.0,150.0,263.0
4664,0.0,3.0,1.0,2.0,1777.0,11.0,14.0,19.0,25.0,383.0,94.0,68.0,434.0,6.0,10.0,4.0,61.0,72.0,35.0,24.0,163.0,36.0,21.0,256.0,219.0,50.0,111.0,223.0,142.0,86.0
4713,0.0,4.0,2.0,1.0,8.0,459.0,31.0,168.0,79.0,132.0,50.0,12.0,3.0,6.0,5.0,14.0,26.0,136.0,99.0,36.0,44.0,947.0,18.0,389.0,13.0,49.0,19.0,140.0,247.0,74.0
4762,0.0,2.0,1.0,4.0,115.0,38.0,25.0,63.0,19.0,99.0,42.0,5.0,12.0,8.0,13.0,57.0,3.0,31.0,56.0,20.0,241.0,98.0,15.0,772.0,144.0,28.0,40.0,87.0,118.0,277.0
4811,0.0,1.0,2.0,3.0,601.0,10.0,5.0,42.0,25.0,275.0,39.0,29.0,22.0,392.0,13.0,9.0,4.0,142.0,77.0,26.0,33.0,52.0,144.0,172.0,20.0,18.0,136.0,44.0,78.0,135.0
4860,0.0,3.0,2.0,1.0,136.0,4.0,19.0,6.0,18.0,61.0,16.0,30.0,29.0,453.0,14.0,8.0,10.0,49.0,76.0,23.0,31.0,276.0,88.0,39.0,27.0,336.0,32.0,156.0,380.0,44.0
