,ESPNP_DEL,DPP6_DEL,OR51A2_DEL,PRH1-PRR4_DEL,BRAF.V600E_MUT,WDR91_DEL,TMEM230_DEL,GRIN2A_DEL,ZCCHC4_DEL,GRIN2D_DEL,GRIN2B_DEL,ZBTB44_DEL,SETD2_DEL,MRPL18_DEL,CCDC113_DEL,LINC00652_DEL,NDUFAF4_DEL,CHMP4A_DEL,STXBP6_DEL,CCDC59_DEL,RANGRF_DEL,COMMD9_DEL,LINC00339_DEL,FOXN3-AS2_DEL,MED4_DEL,TIMM21_DEL,THYN1_DEL,MRPL15_DEL,GRIK4_DEL,ABR_DEL
2092,3.0,12.0,39.0,1.0,33.0,50.0,46.0,104.0,51.0,47.0,60.0,68.0,56.0,57.0,55.0,58.0,69.0,65.0,52.0,63.0,48.0,53.0,61.0,71.0,62.0,67.0,66.0,45.0,95.0,96.0
2141,0.0,5478.0,12.0,19841.0,46.0,63.0,88.0,90.0,62.0,68.0,89.0,61.0,59.0,58.0,60.0,57.0,56.0,51.0,66.0,54.0,67.0,86.0,77.0,113.0,55.0,65.0,50.0,49.0,114.0,115.0
2190,295.0,2.0,0.0,5.0,39.0,75.0,77.0,79.0,74.0,76.0,78.0,73.0,71.0,70.0,72.0,69.0,66.0,128.0,191.0,108.0,189.0,188.0,190.0,63.0,65.0,129.0,172.0,130.0,81.0,64.0
2239,43.0,5474.0,0.0,17.0,42.0,109.0,111.0,113.0,128.0,110.0,112.0,84.0,59.0,58.0,83.0,56.0,54.0,50.0,53.0,51.0,62.0,82.0,61.0,114.0,60.0,45.0,49.0,48.0,115.0,116.0
2288,9.0,0.0,1862.0,19840.0,28.0,46.0,64.0,104.0,50.0,49.0,69.0,48.0,45.0,68.0,47.0,52.0,67.0,51.0,60.0,65.0,58.0,57.0,59.0,71.0,66.0,61.0,63.0,62.0,95.0,96.0
2337,2.0,5480.0,1879.0,3.0,31.0,59.0,56.0,48.0,58.0,57.0,47.0,64.0,66.0,67.0,71.0,69.0,46.0,60.0,52.0,65.0,62.0,61.0,63.0,50.0,68.0,53.0,70.0,55.0,51.0,54.0
2386,12.0,0.0,2.0,15.0,36.0,67.0,45.0,42.0,53.0,44.0,43.0,55.0,56.0,58.0,52.0,59.0,63.0,66.0,60.0,51.0,54.0,47.0,57.0,50.0,65.0,61.0,64.0,62.0,46.0,48.0
2435,5.0,1.0,3.0,19842.0,33.0,51.0,73.0,99.0,56.0,95.0,98.0,50.0,57.0,59.0,54.0,61.0,62.0,64.0,69.0,71.0,48.0,53.0,60.0,100.0,63.0,68.0,65.0,66.0,101.0,102.0
2484,2.0,15.0,0.0,19840.0,38.0,50.0,48.0,56.0,52.0,57.0,54.0,55.0,59.0,61.0,71.0,62.0,64.0,72.0,69.0,67.0,65.0,63.0,68.0,116.0,66.0,70.0,58.0,60.0,74.0,97.0
2533,5.0,4.0,2.0,39.0,29.0,59.0,49.0,45.0,60.0,68.0,43.0,63.0,65.0,67.0,64.0,62.0,57.0,61.0,58.0,69.0,53.0,51.0,44.0,46.0,55.0,66.0,56.0,48.0,47.0,54.0
2582,2.0,26.0,1866.0,0.0,34.0,67.0,65.0,62.0,68.0,73.0,64.0,70.0,59.0,72.0,71.0,56.0,58.0,61.0,55.0,49.0,53.0,50.0,54.0,60.0,51.0,63.0,69.0,66.0,52.0,108.0
2631,31.0,5483.0,27.0,19846.0,39.0,49.0,52.0,56.0,48.0,58.0,59.0,53.0,61.0,77.0,69.0,60.0,75.0,72.0,67.0,73.0,64.0,63.0,66.0,57.0,74.0,68.0,71.0,78.0,76.0,79.0
2680,47.0,5478.0,1.0,4.0,40.0,78.0,80.0,82.0,77.0,79.0,81.0,75.0,70.0,69.0,74.0,68.0,67.0,126.0,185.0,105.0,183.0,182.0,184.0,84.0,66.0,127.0,168.0,128.0,83.0,58.0
2729,1.0,5471.0,0.0,36.0,39.0,56.0,45.0,46.0,57.0,70.0,53.0,58.0,71.0,62.0,59.0,63.0,64.0,68.0,61.0,67.0,54.0,44.0,60.0,47.0,66.0,65.0,69.0,55.0,50.0,52.0
2778,293.0,34.0,29.0,19844.0,42.0,57.0,77.0,108.0,56.0,58.0,79.0,55.0,60.0,62.0,53.0,61.0,75.0,71.0,66.0,73.0,99.0,164.0,63.0,80.0,74.0,67.0,70.0,68.0,101.0,102.0
2827,11.0,4.0,0.0,19838.0,32.0,44.0,45.0,48.0,71.0,54.0,46.0,70.0,68.0,66.0,69.0,72.0,65.0,59.0,183.0,61.0,181.0,180.0,114.0,49.0,63.0,112.0,58.0,109.0,50.0,51.0
2876,2.0,3.0,9.0,40.0,32.0,59.0,57.0,56.0,60.0,58.0,70.0,61.0,67.0,68.0,66.0,50.0,55.0,63.0,62.0,48.0,52.0,53.0,51.0,46.0,71.0,65.0,64.0,69.0,47.0,49.0
2925,43.0,0.0,26.0,21.0,41.0,96.0,77.0,100.0,58.0,78.0,99.0,54.0,51.0,48.0,53.0,46.0,56.0,52.0,72.0,50.0,70.0,69.0,71.0,104.0,49.0,73.0,47.0,66.0,105.0,115.0
2974,7.0,12.0,1869.0,19839.0,20115.0,67.0,55.0,50.0,64.0,71.0,52.0,61.0,57.0,54.0,60.0,68.0,56.0,63.0,69.0,59.0,48.0,53.0,62.0,49.0,58.0,66.0,70.0,65.0,93.0,73.0
3023,13.0,5480.0,22.0,19844.0,41.0,51.0,52.0,54.0,50.0,49.0,53.0,56.0,59.0,75.0,48.0,58.0,73.0,69.0,61.0,70.0,163.0,119.0,115.0,74.0,72.0,64.0,76.0,65.0,77.0,97.0
3072,292.0,0.0,26.0,30.0,32.0,61.0,56.0,47.0,62.0,57.0,68.0,63.0,46.0,66.0,67.0,64.0,60.0,55.0,48.0,58.0,116.0,163.0,52.0,54.0,59.0,53.0,45.0,44.0,49.0,50.0
3121,1.0,14.0,0.0,19842.0,41.0,55.0,49.0,51.0,72.0,56.0,50.0,58.0,60.0,61.0,59.0,64.0,73.0,70.0,66.0,71.0,63.0,62.0,65.0,52.0,48.0,67.0,69.0,68.0,53.0,54.0
3170,3.0,5481.0,1857.0,2.0,31.0,49.0,45.0,48.0,60.0,46.0,44.0,53.0,66.0,65.0,67.0,64.0,63.0,61.0,56.0,68.0,54.0,102.0,55.0,51.0,62.0,57.0,59.0,58.0,47.0,50.0
3219,294.0,23.0,1859.0,19838.0,30.0,46.0,47.0,92.0,45.0,49.0,43.0,44.0,59.0,51.0,48.0,67.0,66.0,64.0,68.0,65.0,58.0,57.0,60.0,71.0,69.0,61.0,63.0,62.0,95.0,96.0
3268,9.0,3.0,1859.0,19837.0,35.0,67.0,63.0,61.0,69.0,64.0,58.0,70.0,57.0,72.0,71.0,68.0,66.0,60.0,47.0,62.0,52.0,105.0,48.0,59.0,65.0,51.0,55.0,54.0,73.0,56.0
3317,9.0,0.0,1863.0,19844.0,34.0,70.0,99.0,102.0,50.0,75.0,77.0,52.0,51.0,49.0,54.0,53.0,48.0,73.0,69.0,56.0,67.0,66.0,68.0,103.0,74.0,55.0,72.0,71.0,104.0,105.0
3366,1.0,0.0,29.0,19840.0,38.0,102.0,104.0,107.0,101.0,103.0,106.0,80.0,58.0,56.0,62.0,61.0,52.0,49.0,75.0,50.0,73.0,69.0,74.0,108.0,51.0,77.0,53.0,78.0,109.0,111.0
3415,15.0,24.0,1856.0,3.0,20115.0,65.0,68.0,38.0,64.0,66.0,53.0,63.0,60.0,56.0,69.0,55.0,44.0,62.0,40.0,58.0,43.0,52.0,42.0,41.0,57.0,39.0,67.0,45.0,51.0,49.0
3464,302.0,30.0,1868.0,19840.0,42.0,53.0,58.0,75.0,52.0,54.0,74.0,51.0,55.0,48.0,56.0,46.0,45.0,72.0,73.0,57.0,62.0,60.0,64.0,76.0,65.0,69.0,71.0,70.0,98.0,99.0
3513,13.0,19.0,1871.0,0.0,20114.0,47.0,50.0,48.0,66.0,49.0,45.0,52.0,54.0,51.0,53.0,56.0,57.0,60.0,64.0,59.0,99.0,117.0,65.0,46.0,58.0,63.0,61.0,62.0,55.0,67.0
3562,293.0,1.0,1883.0,7.0,31.0,53.0,50.0,46.0,54.0,51.0,49.0,55.0,57.0,56.0,68.0,62.0,64.0,45.0,59.0,58.0,61.0,60.0,63.0,94.0,65.0,47.0,67.0,66.0,71.0,97.0
3611,29.0,5481.0,1864.0,6.0,35.0,67.0,61.0,46.0,65.0,68.0,45.0,64.0,70.0,56.0,63.0,55.0,54.0,57.0,62.0,53.0,69.0,51.0,66.0,47.0,52.0,60.0,58.0,59.0,71.0,106.0
3660,290.0,3.0,11.0,2.0,34.0,54.0,52.0,46.0,55.0,68.0,47.0,56.0,58.0,59.0,57.0,60.0,61.0,64.0,115.0,63.0,117.0,184.0,186.0,48.0,62.0,67.0,65.0,66.0,49.0,50.0
3709,1.0,17.0,1884.0,3.0,38.0,46.0,60.0,101.0,56.0,53.0,98.0,54.0,52.0,50.0,58.0,49.0,48.0,74.0,64.0,76.0,62.0,61.0,63.0,103.0,68.0,66.0,72.0,71.0,105.0,106.0
3758,18.0,3.0,1882.0,0.0,41.0,80.0,105.0,107.0,100.0,103.0,106.0,79.0,57.0,54.0,77.0,59.0,49.0,51.0,72.0,46.0,78.0,68.0,71.0,108.0,47.0,73.0,69.0,61.0,110.0,111.0
3807,13.0,5470.0,1901.0,0.0,42.0,46.0,48.0,51.0,45.0,47.0,50.0,44.0,65.0,58.0,56.0,57.0,69.0,64.0,114.0,66.0,116.0,183.0,185.0,52.0,73.0,111.0,62.0,60.0,53.0,74.0
3856,35.0,0.0,4.0,1.0,39.0,73.0,76.0,78.0,72.0,75.0,77.0,71.0,67.0,66.0,70.0,65.0,64.0,83.0,187.0,61.0,184.0,183.0,186.0,79.0,62.0,188.0,125.0,190.0,60.0,59.0
3905,292.0,5.0,1879.0,1.0,33.0,62.0,69.0,43.0,63.0,57.0,55.0,64.0,66.0,67.0,65.0,61.0,50.0,59.0,44.0,58.0,49.0,51.0,48.0,45.0,56.0,70.0,60.0,68.0,46.0,47.0
3954,295.0,2.0,1861.0,1.0,33.0,50.0,54.0,59.0,49.0,51.0,56.0,48.0,62.0,67.0,47.0,70.0,71.0,76.0,52.0,75.0,114.0,165.0,57.0,68.0,74.0,64.0,72.0,69.0,97.0,79.0
4003,13.0,2.0,0.0,9.0,42.0,58.0,69.0,46.0,55.0,57.0,54.0,60.0,63.0,64.0,61.0,65.0,66.0,62.0,48.0,67.0,101.0,116.0,49.0,53.0,68.0,45.0,59.0,56.0,47.0,50.0
4052,289.0,21.0,1879.0,1.0,35.0,50.0,44.0,42.0,51.0,48.0,43.0,53.0,65.0,73.0,55.0,72.0,71.0,67.0,63.0,68.0,60.0,59.0,62.0,52.0,69.0,64.0,74.0,66.0,54.0,76.0
4101,300.0,1.0,3.0,4.0,38.0,56.0,53.0,51.0,59.0,54.0,52.0,60.0,65.0,66.0,62.0,70.0,72.0,73.0,69.0,68.0,67.0,61.0,55.0,108.0,50.0,49.0,58.0,57.0,75.0,99.0
4150,287.0,5482.0,1858.0,19840.0,36.0,62.0,56.0,51.0,64.0,57.0,70.0,65.0,67.0,68.0,66.0,69.0,55.0,60.0,44.0,61.0,47.0,53.0,50.0,48.0,63.0,71.0,59.0,58.0,45.0,49.0
4199,300.0,14.0,1866.0,19843.0,35.0,53.0,52.0,50.0,73.0,49.0,48.0,55.0,71.0,70.0,72.0,69.0,54.0,65.0,61.0,66.0,59.0,58.0,60.0,51.0,67.0,62.0,64.0,63.0,68.0,74.0
4248,304.0,1.0,1878.0,19845.0,44.0,59.0,79.0,101.0,53.0,75.0,108.0,52.0,48.0,47.0,51.0,60.0,76.0,69.0,46.0,71.0,78.0,63.0,61.0,118.0,73.0,65.0,68.0,67.0,103.0,104.0
4297,294.0,16.0,1881.0,28.0,43.0,79.0,103.0,105.0,78.0,101.0,104.0,98.0,48.0,50.0,66.0,52.0,53.0,65.0,73.0,77.0,61.0,59.0,75.0,106.0,56.0,72.0,67.0,70.0,107.0,109.0
4346,286.0,2.0,0.0,19837.0,20114.0,49.0,55.0,50.0,57.0,44.0,56.0,71.0,75.0,67.0,70.0,65.0,64.0,61.0,195.0,62.0,181.0,180.0,116.0,51.0,63.0,97.0,60.0,59.0,52.0,54.0
4395,292.0,18.0,1880.0,19834.0,29.0,49.0,46.0,52.0,51.0,45.0,48.0,68.0,53.0,56.0,54.0,57.0,58.0,61.0,65.0,60.0,67.0,101.0,66.0,50.0,59.0,64.0,62.0,63.0,47.0,55.0
4444,14.0,5482.0,30.0,2.0,38.0,57.0,59.0,81.0,56.0,58.0,99.0,54.0,49.0,48.0,53.0,70.0,77.0,74.0,67.0,75.0,65.0,64.0,66.0,80.0,76.0,68.0,73.0,69.0,102.0,104.0
4493,9.0,16.0,0.0,19843.0,30.0,55.0,52.0,49.0,57.0,53.0,50.0,60.0,67.0,68.0,66.0,54.0,65.0,62.0,56.0,63.0,47.0,103.0,69.0,46.0,64.0,58.0,61.0,59.0,45.0,48.0
4542,0.0,19.0,27.0,28.0,36.0,60.0,99.0,103.0,55.0,79.0,102.0,48.0,45.0,46.0,57.0,53.0,78.0,72.0,68.0,75.0,66.0,65.0,67.0,104.0,76.0,69.0,71.0,70.0,105.0,108.0
4591,15.0,19.0,1.0,0.0,31.0,65.0,60.0,58.0,68.0,62.0,59.0,69.0,48.0,67.0,61.0,66.0,64.0,52.0,116.0,56.0,182.0,181.0,183.0,57.0,63.0,185.0,104.0,114.0,70.0,55.0
4640,0.0,2.0,18.0,8.0,33.0,46.0,48.0,51.0,43.0,47.0,50.0,54.0,58.0,60.0,57.0,61.0,62.0,66.0,59.0,65.0,67.0,44.0,55.0,52.0,64.0,63.0,53.0,56.0,68.0,91.0
4689,42.0,3.0,7.0,13.0,20111.0,54.0,55.0,57.0,52.0,63.0,56.0,50.0,47.0,45.0,48.0,53.0,75.0,83.0,79.0,84.0,77.0,85.0,78.0,58.0,66.0,80.0,82.0,81.0,59.0,60.0
4738,3.0,5466.0,10.0,6.0,30.0,43.0,46.0,49.0,44.0,41.0,48.0,59.0,67.0,66.0,51.0,50.0,65.0,62.0,58.0,63.0,56.0,55.0,57.0,42.0,64.0,60.0,61.0,68.0,45.0,47.0
4787,290.0,1.0,1859.0,4.0,36.0,48.0,50.0,77.0,45.0,49.0,51.0,56.0,52.0,54.0,46.0,55.0,57.0,73.0,76.0,75.0,65.0,62.0,66.0,100.0,67.0,69.0,71.0,70.0,78.0,101.0
4836,0.0,5477.0,27.0,24.0,39.0,50.0,65.0,102.0,51.0,49.0,99.0,52.0,54.0,55.0,53.0,61.0,81.0,73.0,67.0,76.0,48.0,74.0,66.0,117.0,79.0,69.0,71.0,70.0,106.0,107.0
4885,11.0,0.0,23.0,1.0,34.0,52.0,56.0,81.0,51.0,54.0,69.0,50.0,46.0,45.0,49.0,58.0,59.0,77.0,78.0,61.0,68.0,67.0,70.0,101.0,79.0,71.0,73.0,72.0,102.0,104.0
