,PARG_AMP,MLLT3_DEL,IFNA14_DEL,IFNA16_DEL,SDHAP2_DEL,LOC728407_AMP,IFNA13_DEL,SLA2_AMP,PDCD1LG2_DEL,DENND4C_DEL,C20orf118_AMP,PCM1_MUT,DSN1_AMP,MAGI1_DEL,PTPLAD2_DEL,NDRG3_AMP,C20orf24_AMP,IFNA6_DEL,MYL9_AMP,ERMP1_DEL,MIR31HG_DEL,TGIF2-C20ORF24_AMP,MGC21881_DEL,SAMHD1_AMP,MCM3AP_MUT,MTAP_DEL,MIR4473_DEL,SOGA1_AMP,TPTE2P3_DEL,MOXD1_DEL
1012,0.0,55.0,4.0,5.0,62.0,1.0,26.0,255.0,36.0,9.0,83.0,8.0,384.0,38.0,20.0,10.0,146.0,34.0,21.0,41.0,6.0,86.0,296.0,199.0,263.0,23.0,82.0,2143.0,11.0,408.0
1061,0.0,24.0,21.0,101.0,7.0,1.0,86.0,148.0,59.0,32.0,5.0,2.0,513.0,322.0,2644.0,15.0,62.0,87.0,31.0,102.0,1417.0,180.0,43.0,22.0,84.0,10.0,30.0,17.0,29.0,198.0
1110,0.0,5.0,33.0,225.0,317.0,6.0,8.0,17.0,1.0,23.0,18.0,2.0,24.0,14.0,207.0,56.0,36.0,190.0,39.0,20.0,41.0,10.0,22.0,77.0,55.0,21.0,148.0,216.0,25.0,88.0
1159,0.0,14.0,15.0,11.0,22.0,1.0,37.0,2.0,13.0,16.0,4.0,1178.0,43.0,31.0,32.0,235.0,61.0,9.0,478.0,45.0,6.0,84.0,5365.0,62.0,3391.0,34.0,132.0,12.0,7.0,430.0
1208,0.0,19.0,33.0,1899.0,11.0,2.0,172.0,22866.0,34.0,10.0,180.0,3.0,185.0,15.0,49.0,92.0,262.0,310.0,449.0,70.0,641.0,1351.0,39.0,50.0,4.0,337.0,131.0,26.0,89.0,17.0
1257,0.0,372.0,34.0,33.0,336.0,1.0,355.0,117.0,6.0,29.0,734.0,20.0,5.0,114.0,80.0,19.0,43.0,356.0,61.0,16.0,75.0,16004.0,1119.0,174.0,9.0,201.0,60.0,15.0,22.0,18.0
1306,0.0,45.0,16.0,57.0,7.0,5.0,317.0,594.0,20.0,9.0,40.0,2.0,287.0,42.0,32.0,103.0,825.0,318.0,24.0,60.0,380.0,75.0,140.0,18.0,771.0,403.0,29.0,13.0,2754.0,301.0
1355,1.0,2.0,6.0,38.0,34.0,0.0,48.0,30.0,333.0,12.0,15.0,27.0,22.0,61.0,13.0,21.0,32.0,49.0,28.0,92.0,44.0,8.0,695.0,50.0,129.0,35.0,52.0,1844.0,97.0,1548.0
1404,0.0,3.0,14.0,20.0,88.0,2.0,29.0,8.0,5.0,116.0,541.0,34.0,42.0,25.0,17.0,291.0,32.0,16.0,49.0,43.0,154.0,24.0,492.0,27.0,148.0,7.0,6.0,205.0,1641.0,196.0
1453,1.0,6.0,117.0,37.0,15.0,5.0,12.0,23335.0,83.0,97.0,17428.0,3.0,1851.0,4.0,35.0,186.0,106.0,702.0,632.0,20.0,18.0,319.0,270.0,1079.0,81.0,386.0,3560.0,63.0,59.0,54.0
1502,1.0,0.0,6.0,35.0,166.0,14.0,27.0,69.0,7.0,60.0,42.0,598.0,4.0,750.0,11.0,12.0,56.0,50.0,24.0,52.0,243.0,33.0,17.0,138.0,7559.0,145.0,19143.0,16398.0,98.0,170.0
1551,72.0,434.0,459.0,112.0,225.0,22299.0,4167.0,671.0,10.0,766.0,17672.0,13.0,21794.0,92.0,44.0,292.0,15959.0,95.0,2324.0,534.0,12107.0,1848.0,3951.0,248.0,11400.0,5627.0,281.0,958.0,6941.0,141.0
1600,0.0,2.0,7.0,4.0,309.0,285.0,14.0,48.0,41.0,22.0,17442.0,311.0,22969.0,70.0,49.0,146.0,22670.0,43.0,16353.0,340.0,101.0,371.0,92.0,14233.0,17186.0,3.0,131.0,17443.0,51.0,21.0
1649,13.0,26.0,4357.0,221.0,1.0,1419.0,421.0,395.0,25.0,12710.0,97.0,5.0,135.0,11.0,431.0,650.0,930.0,4348.0,16363.0,515.0,2904.0,64.0,79.0,103.0,937.0,117.0,974.0,69.0,403.0,1204.0
1698,24.0,2.0,11.0,35.0,62.0,1305.0,13.0,76.0,1.0,74.0,404.0,27.0,46.0,219.0,20.0,22.0,142.0,8.0,14116.0,48.0,137.0,478.0,37.0,337.0,4144.0,6.0,19957.0,7.0,7314.0,357.0
1747,60.0,3010.0,69.0,321.0,12.0,223.0,4.0,1.0,2.0,10886.0,155.0,130.0,35.0,34.0,278.0,18.0,63.0,11.0,55.0,429.0,287.0,7.0,15.0,80.0,3697.0,692.0,1374.0,2002.0,737.0,77.0
1796,6.0,2.0,335.0,69.0,4.0,1.0,0.0,61.0,94.0,307.0,260.0,66.0,74.0,44.0,47.0,108.0,345.0,12.0,19.0,11.0,122.0,15.0,137.0,29.0,2556.0,792.0,447.0,35.0,9.0,96.0
1845,0.0,1.0,2.0,17.0,13.0,302.0,22.0,32.0,25.0,134.0,36.0,11.0,981.0,83.0,18.0,319.0,59.0,23.0,539.0,7.0,10852.0,84.0,100.0,462.0,3613.0,21.0,199.0,44.0,3.0,7427.0
1894,2.0,9.0,419.0,420.0,22.0,50.0,79.0,170.0,316.0,113.0,17504.0,5.0,26.0,16.0,304.0,20.0,22162.0,80.0,384.0,39.0,396.0,1338.0,18.0,14459.0,3295.0,166.0,19072.0,230.0,180.0,6235.0
1943,65.0,6.0,453.0,46.0,17.0,21.0,33.0,83.0,264.0,48.0,153.0,22.0,52.0,14.0,392.0,103.0,45.0,99.0,29.0,87.0,609.0,129.0,98.0,710.0,13361.0,6004.0,44.0,15.0,4.0,7.0
1992,0.0,47.0,15.0,6.0,9028.0,1.0,16.0,22.0,7.0,92.0,8.0,93.0,5.0,135.0,39.0,23.0,30.0,293.0,27.0,302.0,59.0,4.0,468.0,14246.0,50.0,28.0,2.0,99.0,672.0,169.0
2041,3.0,55.0,586.0,476.0,8981.0,9.0,4538.0,1.0,10.0,81.0,13.0,126.0,0.0,11.0,539.0,30.0,25.0,2391.0,6.0,354.0,10988.0,14.0,3832.0,58.0,77.0,290.0,15.0,158.0,76.0,961.0
2090,23664.0,46.0,3.0,10.0,1719.0,22742.0,69.0,73.0,5.0,55.0,140.0,9.0,92.0,2.0,79.0,99.0,151.0,120.0,560.0,22.0,273.0,12.0,718.0,20.0,332.0,53.0,8.0,116.0,2591.0,362.0
2139,4.0,69.0,8.0,9.0,34.0,7.0,3689.0,6.0,5.0,401.0,48.0,0.0,46.0,21.0,2030.0,22426.0,105.0,2428.0,2.0,102.0,197.0,56.0,3733.0,82.0,14.0,18.0,313.0,41.0,60.0,225.0
2188,33.0,4615.0,4093.0,646.0,8997.0,2276.0,413.0,3.0,315.0,483.0,352.0,0.0,74.0,208.0,4427.0,9.0,179.0,4219.0,46.0,1621.0,10921.0,41.0,4945.0,36.0,3304.0,427.0,156.0,48.0,321.0,801.0
2237,5.0,115.0,23.0,33.0,17.0,1595.0,4590.0,2.0,49.0,93.0,4.0,192.0,0.0,3.0,18.0,36.0,29.0,4593.0,11.0,902.0,333.0,220.0,9.0,37.0,10.0,7.0,58.0,21.0,287.0,144.0
2286,0.0,11220.0,2126.0,438.0,129.0,1.0,2738.0,34.0,839.0,616.0,5.0,16739.0,68.0,3.0,4564.0,118.0,22586.0,5120.0,62.0,2951.0,1116.0,147.0,394.0,33.0,25.0,15.0,96.0,17446.0,84.0,1670.0
2335,18.0,241.0,4924.0,3251.0,19.0,366.0,497.0,0.0,521.0,12976.0,5.0,94.0,72.0,3.0,4592.0,10.0,162.0,4937.0,80.0,65.0,839.0,75.0,28.0,15.0,133.0,244.0,690.0,85.0,1129.0,269.0
2384,27.0,3998.0,17.0,118.0,93.0,169.0,286.0,32.0,158.0,56.0,28.0,124.0,39.0,14.0,297.0,2.0,106.0,35.0,16.0,8196.0,62.0,328.0,653.0,15.0,41.0,78.0,5.0,19.0,80.0,995.0
2433,18.0,40.0,19.0,17.0,270.0,29.0,4093.0,48.0,199.0,2677.0,164.0,9.0,45.0,6.0,388.0,929.0,67.0,1281.0,1942.0,8229.0,10812.0,74.0,286.0,14.0,7.0,15.0,32.0,89.0,16.0,21.0
2482,1.0,0.0,6.0,27.0,95.0,57.0,105.0,8.0,26.0,33.0,5.0,56.0,14.0,98.0,4.0,22.0,191.0,3.0,77.0,54.0,19.0,70.0,284.0,7.0,108.0,116.0,69.0,17462.0,600.0,35.0
2531,2.0,3.0,11.0,212.0,4.0,1.0,18.0,13.0,23.0,218.0,104.0,312.0,7.0,29.0,5.0,100.0,135.0,52.0,193.0,65.0,15.0,16486.0,102.0,17.0,410.0,82.0,16.0,34.0,73.0,131.0
2580,0.0,1.0,5.0,6.0,23.0,49.0,14.0,4.0,16.0,3.0,24.0,78.0,7.0,37.0,29.0,38.0,21.0,17.0,18.0,61.0,2.0,12.0,4407.0,8.0,594.0,283.0,81.0,1116.0,15.0,19.0
2629,0.0,4.0,1.0,21.0,49.0,2.0,16.0,24.0,8.0,7.0,14.0,3.0,35.0,5.0,25.0,6.0,429.0,29.0,735.0,47.0,75.0,106.0,891.0,3026.0,819.0,478.0,84.0,42.0,235.0,27.0
2678,23.0,1.0,11.0,37.0,14.0,239.0,5.0,47.0,7.0,8.0,91.0,2.0,49.0,3.0,83.0,139.0,268.0,128.0,1022.0,69.0,12.0,776.0,38.0,17.0,17230.0,82.0,40.0,45.0,26.0,34.0
2727,29.0,1.0,6.0,24.0,17.0,3383.0,13.0,34.0,292.0,5.0,110.0,2.0,23677.0,0.0,130.0,42.0,154.0,14.0,51.0,358.0,3.0,2670.0,79.0,80.0,287.0,3752.0,19125.0,611.0,199.0,738.0
2776,15.0,3.0,21.0,14.0,2.0,13.0,9.0,44.0,66.0,7.0,20.0,0.0,357.0,12.0,191.0,631.0,74.0,285.0,124.0,92.0,292.0,238.0,41.0,316.0,3024.0,317.0,150.0,489.0,596.0,127.0
2825,4.0,10.0,56.0,283.0,319.0,16.0,22.0,0.0,13.0,20.0,8.0,810.0,93.0,12.0,41.0,1.0,49.0,3497.0,7.0,47.0,71.0,6.0,171.0,3.0,51.0,50.0,88.0,25.0,87.0,231.0
2874,0.0,59.0,15.0,162.0,8983.0,8.0,6.0,5.0,2.0,35.0,43.0,11.0,28.0,3.0,23.0,118.0,279.0,34.0,112.0,7.0,57.0,48.0,96.0,14213.0,931.0,33.0,150.0,17463.0,371.0,447.0
2923,30.0,20.0,32.0,33.0,536.0,50.0,1.0,5.0,0.0,26.0,12.0,47.0,126.0,108.0,10.0,85.0,11.0,53.0,73.0,23.0,3389.0,19.0,4.0,82.0,325.0,441.0,130.0,16.0,128.0,3.0
2972,18.0,5.0,8.0,9.0,66.0,966.0,12.0,6.0,92.0,14.0,19.0,26.0,1.0,401.0,28.0,53.0,51.0,3.0,94.0,2619.0,42.0,4.0,95.0,103.0,324.0,144.0,153.0,11.0,242.0,431.0
3021,4.0,6.0,0.0,5.0,94.0,23.0,17.0,10.0,88.0,49.0,284.0,33.0,239.0,9234.0,19.0,28.0,9.0,39.0,25.0,73.0,20.0,13.0,5018.0,3.0,12.0,1279.0,85.0,2129.0,513.0,37.0
3070,6.0,17.0,15.0,2.0,28.0,1071.0,58.0,23.0,35.0,42.0,138.0,172.0,72.0,55.0,4776.0,19.0,449.0,5.0,150.0,111.0,56.0,49.0,21.0,71.0,598.0,90.0,43.0,8.0,2059.0,83.0
3119,31.0,1.0,8.0,14.0,7.0,26.0,20.0,4.0,435.0,15.0,5.0,0.0,6.0,70.0,19.0,81.0,58.0,24.0,173.0,554.0,49.0,40.0,12.0,16.0,61.0,1815.0,28.0,118.0,2.0,25.0
3168,0.0,11.0,10.0,97.0,55.0,3.0,81.0,18.0,38.0,79.0,197.0,284.0,8.0,41.0,19.0,60.0,1.0,24.0,4.0,3639.0,39.0,26.0,16.0,27.0,88.0,34.0,164.0,31.0,139.0,47.0
3217,6.0,395.0,15.0,92.0,9021.0,52.0,5.0,42.0,1632.0,12699.0,10.0,795.0,29.0,30.0,2.0,139.0,32.0,16.0,4.0,8230.0,68.0,1.0,182.0,194.0,3.0,114.0,71.0,45.0,63.0,27.0
3266,2.0,45.0,3.0,9.0,0.0,188.0,22.0,284.0,43.0,36.0,17453.0,48.0,22941.0,1395.0,4611.0,126.0,69.0,16.0,116.0,8221.0,176.0,53.0,6.0,54.0,1.0,12.0,55.0,103.0,7592.0,376.0
3315,9.0,28.0,5.0,8.0,999.0,23.0,0.0,76.0,157.0,37.0,3.0,17.0,1.0,9625.0,208.0,14.0,455.0,19.0,238.0,407.0,4.0,256.0,26.0,10.0,92.0,11.0,134.0,295.0,6157.0,6.0
3364,3.0,23.0,4.0,21.0,9.0,70.0,55.0,7.0,53.0,63.0,61.0,62.0,16.0,46.0,28.0,8.0,22596.0,209.0,318.0,36.0,20.0,76.0,1.0,25.0,18.0,3620.0,22.0,49.0,198.0,133.0
3413,308.0,0.0,40.0,10.0,9.0,510.0,6.0,33.0,47.0,31.0,41.0,172.0,343.0,2.0,5.0,43.0,123.0,8.0,16355.0,26.0,29.0,138.0,433.0,24.0,83.0,65.0,135.0,17447.0,81.0,151.0
3462,3.0,4.0,11.0,14.0,86.0,38.0,46.0,29.0,40.0,39.0,81.0,18.0,13.0,89.0,17.0,34.0,22602.0,36.0,110.0,4948.0,114.0,130.0,4925.0,59.0,0.0,8.0,7.0,1.0,502.0,161.0
3511,0.0,5.0,14.0,2.0,62.0,17.0,9.0,575.0,52.0,15.0,114.0,48.0,6.0,30.0,105.0,141.0,144.0,38.0,29.0,117.0,12860.0,90.0,27.0,449.0,1.0,1660.0,45.0,74.0,32.0,245.0
3560,9.0,12.0,8.0,42.0,127.0,3.0,39.0,4.0,73.0,85.0,29.0,319.0,168.0,32.0,37.0,21.0,26.0,28.0,144.0,154.0,35.0,91.0,5250.0,140.0,7.0,122.0,258.0,101.0,2657.0,93.0
3609,10.0,9.0,16.0,17.0,5.0,11.0,33.0,23.0,785.0,13.0,120.0,52.0,511.0,241.0,21.0,14.0,22.0,56.0,47.0,8280.0,91.0,16061.0,486.0,59.0,1.0,2822.0,71.0,82.0,197.0,683.0
3658,5.0,25.0,12.0,4.0,58.0,21.0,8.0,92.0,47.0,43.0,22.0,10.0,87.0,458.0,148.0,363.0,13.0,71.0,501.0,2199.0,33.0,15991.0,576.0,82.0,0.0,3512.0,79.0,252.0,1.0,7684.0
3707,1.0,0.0,62.0,20.0,28.0,2.0,80.0,16.0,125.0,8.0,57.0,5.0,184.0,601.0,70.0,11.0,7.0,285.0,44.0,8216.0,159.0,65.0,54.0,112.0,4.0,175.0,78.0,17488.0,88.0,63.0
3756,21.0,131.0,4524.0,3339.0,14.0,1.0,408.0,64.0,8056.0,99.0,307.0,13.0,3.0,9154.0,129.0,98.0,146.0,442.0,47.0,8185.0,324.0,65.0,862.0,696.0,19.0,199.0,337.0,227.0,174.0,72.0
3805,6.0,59.0,44.0,122.0,9.0,0.0,196.0,313.0,43.0,336.0,56.0,33.0,185.0,65.0,5568.0,41.0,18.0,403.0,114.0,136.0,10928.0,80.0,154.0,276.0,286.0,242.0,19021.0,222.0,3214.0,67.0
3854,432.0,8.0,2.0,1.0,19.0,500.0,49.0,399.0,91.0,10.0,215.0,59.0,97.0,375.0,15.0,119.0,480.0,107.0,18179.0,79.0,25.0,266.0,4253.0,27.0,0.0,458.0,12.0,334.0,30.0,84.0
3903,0.0,33.0,20.0,27.0,30.0,94.0,4580.0,22.0,19.0,8.0,14.0,16669.0,25.0,297.0,48.0,197.0,28.0,328.0,11.0,78.0,146.0,388.0,167.0,51.0,13.0,40.0,165.0,17408.0,135.0,625.0
3952,1.0,3.0,20.0,6.0,19.0,30.0,252.0,0.0,26.0,17.0,49.0,140.0,35.0,104.0,10.0,11.0,15.0,80.0,91.0,48.0,46.0,95.0,47.0,184.0,88.0,92.0,31.0,122.0,607.0,22.0
4001,3.0,24.0,36.0,9.0,17.0,6.0,4354.0,115.0,133.0,128.0,38.0,44.0,18.0,67.0,83.0,675.0,462.0,292.0,50.0,8261.0,26.0,78.0,246.0,84.0,63.0,28.0,70.0,13.0,10.0,1212.0
4050,7.0,8.0,414.0,79.0,1.0,170.0,5735.0,529.0,467.0,80.0,45.0,32.0,18.0,2.0,371.0,33.0,14.0,1240.0,705.0,143.0,240.0,67.0,283.0,1016.0,9.0,27.0,11.0,154.0,66.0,3.0
4099,26.0,2.0,8.0,4.0,21.0,28.0,73.0,17.0,33.0,10.0,83.0,12.0,46.0,160.0,6.0,14.0,105.0,72.0,53.0,326.0,29.0,13.0,0.0,45.0,16.0,85.0,133.0,75.0,3747.0,9.0
4148,3.0,41.0,33.0,5.0,19.0,7.0,4.0,53.0,6.0,8.0,106.0,587.0,21.0,9181.0,22.0,23.0,94.0,282.0,38.0,58.0,14.0,15995.0,9.0,1084.0,313.0,302.0,15.0,25.0,0.0,2.0
4197,10.0,68.0,23.0,22.0,28.0,4.0,27.0,5.0,55.0,50.0,13.0,44.0,567.0,32.0,226.0,289.0,124.0,61.0,94.0,311.0,17.0,15998.0,14.0,274.0,35.0,111.0,53.0,65.0,7.0,99.0
4246,1.0,75.0,77.0,78.0,40.0,31.0,4009.0,2.0,18.0,88.0,16.0,459.0,17.0,11651.0,5136.0,125.0,46.0,248.0,6.0,90.0,26.0,97.0,5.0,9.0,69.0,224.0,19071.0,22.0,53.0,202.0
4295,3.0,17.0,4.0,5.0,12.0,74.0,30.0,241.0,8026.0,33.0,17444.0,157.0,79.0,513.0,45.0,233.0,792.0,266.0,16326.0,8156.0,18.0,374.0,2.0,322.0,102.0,39.0,184.0,84.0,0.0,7325.0
4344,5.0,14.0,4.0,15.0,1.0,49.0,58.0,166.0,47.0,82.0,17437.0,266.0,607.0,84.0,18.0,615.0,588.0,57.0,147.0,359.0,145.0,50.0,2.0,14151.0,302.0,213.0,198.0,156.0,9.0,6.0
4393,14.0,0.0,6.0,10.0,3.0,27.0,29.0,302.0,425.0,22.0,34.0,5.0,7.0,20.0,145.0,66.0,63.0,72.0,42.0,565.0,17.0,16.0,35.0,49.0,259.0,68.0,19116.0,406.0,12.0,36.0
4442,47.0,233.0,18.0,29.0,391.0,3363.0,23.0,516.0,2.0,243.0,35.0,142.0,193.0,265.0,6.0,59.0,263.0,101.0,128.0,26.0,3533.0,16045.0,174.0,75.0,0.0,4.0,19109.0,17430.0,224.0,36.0
4491,2259.0,52.0,41.0,3.0,148.0,2323.0,20.0,319.0,5.0,170.0,17522.0,3352.0,6.0,558.0,48.0,1437.0,190.0,58.0,476.0,0.0,18.0,409.0,42.0,103.0,29.0,4.0,12.0,8.0,1763.0,16.0
4540,2.0,187.0,11.0,0.0,322.0,10.0,1.0,21.0,15.0,39.0,106.0,910.0,7.0,638.0,173.0,104.0,66.0,128.0,137.0,37.0,74.0,15998.0,3863.0,2849.0,8.0,9.0,257.0,162.0,126.0,245.0
4589,14.0,158.0,3933.0,2.0,8921.0,67.0,3.0,45.0,0.0,141.0,47.0,781.0,53.0,60.0,32.0,56.0,316.0,116.0,418.0,37.0,8.0,18.0,4.0,14155.0,131.0,13.0,19040.0,6.0,91.0,51.0
4638,10.0,32.0,14.0,0.0,25.0,8.0,3.0,517.0,5.0,12.0,75.0,16692.0,47.0,133.0,1.0,22545.0,22597.0,9.0,478.0,18.0,129.0,173.0,59.0,14190.0,24.0,19.0,19051.0,26.0,2518.0,121.0
4687,48.0,197.0,34.0,11.0,463.0,14.0,15.0,417.0,5.0,4.0,58.0,476.0,122.0,424.0,19.0,24.0,94.0,42.0,325.0,7.0,31.0,20.0,13.0,194.0,21.0,10.0,142.0,145.0,90.0,202.0
4736,23.0,68.0,48.0,6.0,32.0,24035.0,9.0,437.0,7.0,26.0,17520.0,787.0,206.0,341.0,39.0,22504.0,22614.0,38.0,653.0,33.0,5.0,1107.0,10.0,152.0,28.0,116.0,220.0,47.0,2814.0,15.0
4785,39.0,320.0,107.0,38.0,59.0,65.0,1.0,23623.0,0.0,62.0,459.0,1573.0,15.0,9560.0,4973.0,1629.0,154.0,18.0,27.0,12.0,17.0,24.0,5.0,57.0,8.0,230.0,78.0,29.0,434.0,321.0
4834,55.0,34.0,11.0,2.0,0.0,30.0,6.0,82.0,3.0,18.0,805.0,16731.0,1014.0,199.0,23.0,22422.0,22184.0,51.0,108.0,4.0,46.0,227.0,318.0,98.0,5.0,1.0,124.0,256.0,131.0,40.0
4883,1.0,14.0,11.0,30.0,10.0,33.0,31.0,245.0,0.0,220.0,42.0,667.0,139.0,112.0,4.0,35.0,122.0,21.0,205.0,3.0,11202.0,62.0,55.0,40.0,2.0,57.0,34.0,7.0,482.0,24.0
