,RAD51,Caveolin-1,beta-Catenin,TAZ,VAV1,Paxillin,p27_pT157,Beclin,Transglutaminase,PI3K-p85,Smad4,PAI-1,YAP_pS127,VEGFR2,Fibronectin,Chk1,Rictor_pT1135,MAPK_pT202_Y204,Rb,MIG-6,INPP4B,Chk2,GSK3-alpha-beta_pS21_S9,Chk1_pS345,Rb_pS807_S811,NF2,PEA15,GSK3_pS9,PTEN,Bcl-2
490,1.0,0.0,10.0,6.0,16.0,9.0,8.0,3.0,15.0,67.0,2.0,102.0,57.0,24.0,5.0,4.0,14.0,19.0,12.0,47.0,58.0,35.0,37.0,112.0,50.0,21.0,34.0,105.0,17.0,13.0
539,1.0,0.0,4.0,7.0,19.0,10.0,3.0,8.0,37.0,28.0,2.0,17.0,14.0,25.0,65.0,9.0,30.0,32.0,5.0,85.0,6.0,51.0,59.0,127.0,34.0,40.0,98.0,23.0,21.0,24.0
588,0.0,1.0,2.0,4.0,104.0,15.0,3.0,8.0,17.0,79.0,5.0,9.0,35.0,7.0,16.0,6.0,22.0,44.0,59.0,36.0,63.0,25.0,130.0,10.0,101.0,31.0,94.0,73.0,18.0,11.0
637,2.0,0.0,17.0,3.0,7.0,18.0,1.0,22.0,4.0,13.0,10.0,5.0,44.0,12.0,106.0,6.0,15.0,28.0,23.0,37.0,73.0,38.0,35.0,96.0,76.0,24.0,91.0,85.0,56.0,27.0
686,0.0,1.0,6.0,2.0,46.0,4.0,3.0,8.0,35.0,36.0,12.0,5.0,15.0,23.0,31.0,10.0,25.0,9.0,55.0,38.0,17.0,85.0,121.0,60.0,34.0,26.0,19.0,48.0,106.0,29.0
735,1.0,0.0,32.0,6.0,41.0,3.0,2.0,24.0,26.0,30.0,10.0,5.0,56.0,8.0,35.0,14.0,12.0,9.0,111.0,87.0,11.0,29.0,85.0,90.0,43.0,116.0,16.0,69.0,61.0,4.0
784,1.0,0.0,11.0,27.0,8.0,4.0,2.0,9.0,6.0,104.0,7.0,22.0,50.0,17.0,29.0,19.0,21.0,58.0,105.0,20.0,15.0,112.0,82.0,41.0,59.0,10.0,25.0,52.0,75.0,3.0
833,1.0,0.0,29.0,6.0,26.0,5.0,4.0,13.0,23.0,14.0,9.0,128.0,7.0,51.0,21.0,2.0,11.0,48.0,43.0,17.0,28.0,143.0,75.0,91.0,3.0,8.0,12.0,61.0,49.0,36.0
882,3.0,0.0,34.0,15.0,23.0,10.0,5.0,1.0,7.0,4.0,8.0,35.0,14.0,24.0,155.0,12.0,17.0,26.0,47.0,2.0,22.0,28.0,20.0,30.0,54.0,9.0,13.0,66.0,92.0,21.0
931,3.0,0.0,24.0,10.0,11.0,2.0,5.0,4.0,90.0,60.0,1.0,145.0,17.0,14.0,32.0,8.0,25.0,45.0,70.0,12.0,9.0,55.0,36.0,41.0,22.0,7.0,21.0,94.0,50.0,20.0
980,1.0,0.0,29.0,2.0,8.0,35.0,14.0,12.0,32.0,17.0,63.0,3.0,7.0,26.0,5.0,11.0,94.0,23.0,20.0,27.0,22.0,10.0,19.0,89.0,44.0,15.0,4.0,102.0,6.0,9.0
1029,1.0,0.0,20.0,3.0,13.0,17.0,2.0,40.0,50.0,47.0,59.0,8.0,5.0,22.0,4.0,39.0,77.0,26.0,24.0,61.0,11.0,12.0,15.0,45.0,129.0,133.0,6.0,116.0,14.0,29.0
1078,1.0,0.0,14.0,15.0,6.0,28.0,13.0,42.0,159.0,140.0,76.0,2.0,19.0,8.0,5.0,17.0,24.0,9.0,23.0,74.0,91.0,34.0,4.0,98.0,31.0,36.0,3.0,11.0,18.0,45.0
1127,1.0,0.0,8.0,6.0,3.0,17.0,5.0,22.0,45.0,28.0,91.0,15.0,14.0,7.0,2.0,42.0,20.0,88.0,94.0,100.0,10.0,58.0,18.0,44.0,65.0,39.0,13.0,48.0,12.0,31.0
1176,0.0,3.0,18.0,1.0,5.0,19.0,20.0,21.0,13.0,54.0,66.0,2.0,42.0,9.0,6.0,85.0,62.0,164.0,15.0,28.0,31.0,7.0,8.0,10.0,38.0,37.0,4.0,48.0,51.0,116.0
1225,2.0,0.0,34.0,4.0,8.0,10.0,1.0,12.0,19.0,28.0,41.0,6.0,17.0,9.0,3.0,22.0,40.0,150.0,14.0,15.0,11.0,16.0,63.0,49.0,38.0,101.0,7.0,33.0,5.0,123.0
1274,1.0,0.0,12.0,4.0,9.0,130.0,5.0,22.0,14.0,37.0,26.0,7.0,3.0,17.0,2.0,13.0,18.0,124.0,49.0,69.0,28.0,11.0,29.0,33.0,16.0,15.0,6.0,23.0,19.0,116.0
1323,0.0,1.0,11.0,7.0,9.0,17.0,24.0,2.0,25.0,30.0,10.0,13.0,34.0,12.0,6.0,4.0,42.0,77.0,75.0,80.0,50.0,5.0,32.0,15.0,31.0,28.0,8.0,14.0,33.0,137.0
1372,5.0,0.0,11.0,10.0,1.0,63.0,8.0,2.0,46.0,7.0,13.0,3.0,16.0,6.0,27.0,127.0,81.0,140.0,73.0,12.0,9.0,18.0,15.0,45.0,49.0,26.0,14.0,105.0,37.0,119.0
1421,1.0,0.0,4.0,15.0,10.0,9.0,17.0,11.0,3.0,5.0,70.0,8.0,13.0,6.0,2.0,30.0,14.0,159.0,24.0,56.0,38.0,43.0,18.0,36.0,21.0,41.0,22.0,54.0,20.0,81.0
1470,0.0,1.0,13.0,25.0,80.0,50.0,29.0,8.0,43.0,2.0,98.0,19.0,10.0,11.0,38.0,32.0,5.0,20.0,17.0,6.0,103.0,12.0,9.0,51.0,31.0,18.0,62.0,3.0,39.0,7.0
1519,2.0,0.0,34.0,19.0,32.0,37.0,6.0,1.0,30.0,3.0,102.0,11.0,68.0,16.0,18.0,8.0,5.0,14.0,23.0,25.0,108.0,12.0,21.0,144.0,4.0,95.0,139.0,24.0,48.0,47.0
1568,0.0,1.0,7.0,58.0,5.0,4.0,16.0,3.0,2.0,14.0,29.0,6.0,13.0,39.0,15.0,21.0,18.0,35.0,30.0,44.0,10.0,12.0,8.0,43.0,9.0,51.0,112.0,59.0,60.0,27.0
1617,0.0,1.0,19.0,14.0,53.0,22.0,4.0,2.0,25.0,15.0,40.0,26.0,95.0,16.0,3.0,37.0,6.0,50.0,10.0,47.0,84.0,52.0,32.0,12.0,5.0,18.0,7.0,21.0,9.0,29.0
1666,1.0,0.0,22.0,53.0,35.0,10.0,44.0,2.0,25.0,33.0,7.0,64.0,4.0,19.0,11.0,5.0,14.0,8.0,70.0,3.0,23.0,146.0,21.0,27.0,9.0,50.0,89.0,42.0,20.0,69.0
1715,1.0,0.0,3.0,49.0,32.0,6.0,20.0,4.0,33.0,7.0,35.0,102.0,5.0,15.0,10.0,34.0,17.0,16.0,37.0,139.0,40.0,24.0,96.0,9.0,2.0,39.0,59.0,26.0,12.0,95.0
1764,1.0,0.0,4.0,68.0,93.0,30.0,9.0,54.0,38.0,10.0,44.0,6.0,29.0,11.0,12.0,51.0,82.0,7.0,26.0,25.0,16.0,40.0,58.0,39.0,2.0,143.0,43.0,3.0,28.0,86.0
1813,2.0,0.0,3.0,30.0,29.0,92.0,5.0,9.0,37.0,6.0,16.0,7.0,27.0,11.0,1.0,61.0,13.0,24.0,10.0,21.0,45.0,8.0,32.0,89.0,39.0,28.0,26.0,20.0,35.0,34.0
1862,1.0,0.0,3.0,26.0,27.0,86.0,7.0,8.0,10.0,4.0,134.0,30.0,65.0,9.0,5.0,6.0,14.0,16.0,20.0,11.0,92.0,72.0,21.0,59.0,2.0,12.0,19.0,17.0,107.0,129.0
1911,1.0,0.0,3.0,111.0,18.0,17.0,12.0,19.0,8.0,2.0,54.0,21.0,14.0,11.0,39.0,4.0,5.0,15.0,7.0,33.0,53.0,90.0,162.0,47.0,22.0,60.0,72.0,28.0,16.0,49.0
1960,1.0,0.0,3.0,6.0,35.0,9.0,11.0,15.0,8.0,34.0,36.0,18.0,17.0,26.0,10.0,12.0,14.0,27.0,31.0,2.0,44.0,91.0,4.0,43.0,61.0,38.0,81.0,21.0,16.0,23.0
2009,2.0,0.0,1.0,5.0,17.0,4.0,15.0,25.0,12.0,6.0,18.0,29.0,3.0,8.0,11.0,49.0,21.0,44.0,13.0,7.0,31.0,26.0,20.0,45.0,65.0,135.0,27.0,14.0,33.0,10.0
2058,2.0,0.0,3.0,1.0,6.0,8.0,11.0,47.0,19.0,17.0,7.0,10.0,4.0,24.0,22.0,46.0,15.0,9.0,13.0,5.0,149.0,113.0,27.0,28.0,64.0,36.0,30.0,14.0,40.0,12.0
2107,1.0,0.0,4.0,7.0,3.0,6.0,20.0,13.0,46.0,11.0,5.0,19.0,45.0,25.0,22.0,2.0,38.0,10.0,9.0,15.0,161.0,36.0,12.0,81.0,8.0,26.0,82.0,24.0,23.0,50.0
2156,0.0,1.0,2.0,7.0,4.0,22.0,5.0,8.0,12.0,14.0,20.0,24.0,46.0,15.0,73.0,18.0,23.0,9.0,26.0,6.0,90.0,17.0,3.0,11.0,21.0,37.0,34.0,40.0,72.0,27.0
2205,1.0,0.0,2.0,6.0,22.0,13.0,8.0,11.0,45.0,76.0,15.0,7.0,53.0,16.0,12.0,26.0,31.0,21.0,18.0,41.0,47.0,5.0,3.0,14.0,4.0,32.0,38.0,9.0,77.0,136.0
2254,1.0,0.0,2.0,24.0,3.0,35.0,28.0,5.0,21.0,39.0,10.0,51.0,12.0,72.0,15.0,60.0,18.0,7.0,8.0,9.0,31.0,50.0,4.0,47.0,11.0,22.0,14.0,61.0,85.0,42.0
2303,0.0,3.0,1.0,53.0,7.0,10.0,9.0,2.0,5.0,15.0,13.0,4.0,59.0,20.0,37.0,12.0,17.0,38.0,18.0,54.0,29.0,34.0,6.0,11.0,8.0,31.0,112.0,99.0,66.0,26.0
2352,0.0,2.0,18.0,4.0,12.0,11.0,3.0,15.0,50.0,1.0,14.0,25.0,68.0,21.0,43.0,24.0,6.0,5.0,16.0,13.0,85.0,54.0,8.0,38.0,35.0,95.0,96.0,71.0,104.0,49.0
2401,0.0,1.0,2.0,49.0,37.0,3.0,71.0,4.0,63.0,18.0,7.0,9.0,51.0,5.0,44.0,8.0,21.0,6.0,10.0,11.0,135.0,67.0,13.0,48.0,32.0,68.0,17.0,42.0,84.0,64.0
2450,0.0,7.0,17.0,4.0,9.0,1.0,28.0,14.0,3.0,2.0,48.0,32.0,25.0,12.0,15.0,10.0,19.0,8.0,42.0,5.0,78.0,20.0,87.0,6.0,34.0,13.0,11.0,58.0,27.0,23.0
2499,0.0,1.0,6.0,3.0,11.0,12.0,4.0,7.0,5.0,15.0,13.0,29.0,8.0,40.0,53.0,22.0,47.0,21.0,17.0,18.0,48.0,14.0,19.0,10.0,43.0,33.0,34.0,37.0,24.0,39.0
2548,0.0,6.0,12.0,4.0,7.0,8.0,20.0,2.0,10.0,5.0,13.0,105.0,3.0,16.0,19.0,28.0,9.0,1.0,14.0,23.0,41.0,38.0,21.0,17.0,68.0,33.0,48.0,86.0,22.0,29.0
2597,0.0,8.0,2.0,1.0,27.0,5.0,18.0,4.0,6.0,13.0,3.0,76.0,24.0,59.0,38.0,12.0,58.0,7.0,16.0,32.0,26.0,40.0,10.0,21.0,31.0,50.0,46.0,23.0,116.0,44.0
2646,0.0,2.0,13.0,8.0,4.0,11.0,25.0,9.0,1.0,3.0,14.0,32.0,49.0,35.0,10.0,41.0,26.0,7.0,15.0,23.0,55.0,5.0,20.0,6.0,29.0,24.0,19.0,71.0,17.0,48.0
2695,0.0,4.0,1.0,7.0,9.0,29.0,60.0,30.0,3.0,6.0,10.0,28.0,11.0,14.0,2.0,13.0,15.0,5.0,25.0,53.0,34.0,12.0,55.0,17.0,57.0,16.0,58.0,107.0,18.0,96.0
2744,0.0,3.0,16.0,2.0,13.0,24.0,19.0,9.0,8.0,14.0,1.0,23.0,61.0,5.0,6.0,30.0,21.0,4.0,11.0,12.0,22.0,17.0,51.0,123.0,18.0,27.0,48.0,159.0,26.0,134.0
2793,0.0,4.0,11.0,2.0,5.0,28.0,55.0,9.0,8.0,3.0,18.0,58.0,19.0,22.0,20.0,34.0,14.0,1.0,7.0,47.0,27.0,21.0,92.0,17.0,75.0,6.0,12.0,84.0,44.0,35.0
2842,0.0,1.0,9.0,2.0,4.0,56.0,46.0,6.0,22.0,11.0,3.0,25.0,58.0,19.0,76.0,80.0,21.0,5.0,24.0,77.0,7.0,12.0,35.0,32.0,53.0,23.0,10.0,8.0,36.0,26.0
2891,0.0,1.0,3.0,4.0,6.0,19.0,27.0,22.0,20.0,10.0,2.0,9.0,16.0,15.0,13.0,24.0,7.0,11.0,14.0,81.0,17.0,5.0,50.0,18.0,40.0,45.0,36.0,48.0,29.0,12.0
2940,0.0,1.0,4.0,20.0,6.0,27.0,11.0,46.0,7.0,28.0,74.0,10.0,29.0,63.0,71.0,5.0,16.0,21.0,40.0,94.0,9.0,12.0,45.0,17.0,3.0,2.0,114.0,14.0,75.0,68.0
2989,0.0,1.0,2.0,24.0,22.0,16.0,7.0,5.0,11.0,8.0,3.0,10.0,12.0,25.0,28.0,17.0,96.0,37.0,62.0,107.0,15.0,14.0,66.0,18.0,23.0,6.0,41.0,4.0,75.0,95.0
3038,0.0,3.0,15.0,26.0,21.0,2.0,5.0,6.0,49.0,18.0,100.0,17.0,13.0,28.0,32.0,19.0,27.0,4.0,39.0,110.0,51.0,9.0,22.0,14.0,16.0,52.0,107.0,1.0,122.0,60.0
3087,1.0,2.0,17.0,18.0,12.0,3.0,9.0,4.0,10.0,8.0,6.0,16.0,15.0,44.0,59.0,24.0,20.0,13.0,30.0,58.0,77.0,11.0,42.0,27.0,0.0,5.0,115.0,21.0,117.0,45.0
3136,0.0,1.0,18.0,4.0,3.0,7.0,16.0,8.0,2.0,5.0,33.0,14.0,9.0,39.0,13.0,15.0,87.0,10.0,31.0,45.0,11.0,37.0,112.0,41.0,32.0,38.0,54.0,89.0,153.0,73.0
3185,0.0,1.0,2.0,18.0,4.0,10.0,21.0,14.0,5.0,58.0,6.0,7.0,13.0,26.0,47.0,11.0,34.0,3.0,64.0,93.0,51.0,19.0,121.0,56.0,15.0,69.0,16.0,31.0,82.0,43.0
3234,0.0,1.0,15.0,22.0,10.0,9.0,17.0,3.0,4.0,8.0,16.0,7.0,11.0,5.0,39.0,20.0,32.0,21.0,37.0,69.0,48.0,42.0,159.0,86.0,23.0,67.0,62.0,79.0,110.0,14.0
3283,0.0,1.0,3.0,12.0,20.0,42.0,24.0,28.0,4.0,13.0,5.0,18.0,14.0,25.0,54.0,7.0,80.0,10.0,52.0,17.0,37.0,11.0,74.0,21.0,2.0,36.0,19.0,9.0,160.0,59.0
3332,0.0,1.0,2.0,11.0,8.0,21.0,5.0,6.0,3.0,41.0,43.0,28.0,16.0,14.0,22.0,20.0,48.0,4.0,15.0,29.0,44.0,34.0,45.0,30.0,13.0,50.0,37.0,23.0,108.0,19.0
3381,0.0,1.0,2.0,26.0,4.0,55.0,10.0,5.0,3.0,9.0,47.0,28.0,7.0,25.0,11.0,6.0,35.0,8.0,13.0,125.0,27.0,50.0,12.0,34.0,20.0,23.0,31.0,88.0,62.0,33.0
3430,3.0,1.0,0.0,2.0,8.0,6.0,47.0,27.0,7.0,20.0,17.0,4.0,10.0,26.0,37.0,14.0,41.0,28.0,31.0,15.0,9.0,5.0,16.0,11.0,62.0,123.0,82.0,19.0,50.0,39.0
3479,1.0,0.0,3.0,6.0,38.0,2.0,73.0,26.0,16.0,5.0,51.0,4.0,92.0,19.0,15.0,17.0,60.0,103.0,14.0,24.0,71.0,33.0,20.0,63.0,23.0,122.0,84.0,9.0,22.0,98.0
3528,1.0,0.0,5.0,3.0,22.0,4.0,15.0,11.0,13.0,12.0,145.0,8.0,16.0,21.0,24.0,20.0,19.0,73.0,10.0,89.0,43.0,50.0,7.0,151.0,6.0,120.0,54.0,2.0,29.0,155.0
3577,0.0,1.0,4.0,5.0,34.0,10.0,55.0,11.0,3.0,47.0,25.0,33.0,66.0,2.0,6.0,105.0,9.0,22.0,8.0,14.0,13.0,39.0,12.0,96.0,7.0,94.0,31.0,16.0,29.0,145.0
3626,3.0,2.0,11.0,0.0,17.0,12.0,9.0,21.0,6.0,36.0,65.0,26.0,19.0,18.0,111.0,13.0,5.0,24.0,8.0,48.0,23.0,15.0,7.0,31.0,4.0,52.0,104.0,1.0,30.0,47.0
3675,0.0,1.0,3.0,10.0,9.0,4.0,19.0,37.0,28.0,30.0,105.0,95.0,17.0,2.0,68.0,20.0,88.0,74.0,15.0,146.0,5.0,8.0,34.0,38.0,93.0,52.0,78.0,6.0,13.0,7.0
3724,2.0,0.0,4.0,3.0,11.0,5.0,12.0,20.0,9.0,1.0,19.0,15.0,13.0,10.0,6.0,41.0,16.0,85.0,17.0,22.0,21.0,108.0,7.0,55.0,140.0,32.0,49.0,8.0,36.0,44.0
3773,1.0,0.0,8.0,2.0,7.0,3.0,13.0,10.0,5.0,28.0,44.0,26.0,15.0,21.0,18.0,17.0,34.0,11.0,22.0,36.0,9.0,138.0,45.0,99.0,37.0,65.0,76.0,4.0,79.0,111.0
3822,2.0,0.0,6.0,1.0,4.0,8.0,12.0,18.0,9.0,3.0,7.0,28.0,11.0,16.0,10.0,32.0,43.0,48.0,19.0,13.0,20.0,15.0,14.0,31.0,33.0,103.0,130.0,22.0,57.0,29.0
3871,1.0,0.0,5.0,46.0,17.0,12.0,35.0,2.0,4.0,3.0,16.0,42.0,8.0,11.0,9.0,27.0,31.0,93.0,40.0,26.0,13.0,105.0,112.0,53.0,10.0,124.0,158.0,15.0,86.0,24.0
3920,0.0,1.0,17.0,3.0,16.0,5.0,44.0,45.0,4.0,23.0,18.0,25.0,46.0,24.0,12.0,14.0,2.0,7.0,6.0,19.0,58.0,29.0,11.0,21.0,33.0,26.0,135.0,8.0,50.0,31.0
3969,1.0,0.0,4.0,6.0,8.0,18.0,12.0,13.0,5.0,26.0,16.0,51.0,10.0,19.0,27.0,35.0,20.0,2.0,41.0,3.0,24.0,9.0,15.0,11.0,43.0,33.0,61.0,31.0,44.0,25.0
4018,1.0,0.0,3.0,4.0,8.0,19.0,16.0,14.0,32.0,18.0,27.0,108.0,6.0,23.0,7.0,13.0,29.0,2.0,15.0,28.0,34.0,9.0,20.0,5.0,82.0,38.0,37.0,11.0,49.0,10.0
4067,1.0,0.0,10.0,14.0,8.0,28.0,7.0,2.0,9.0,27.0,6.0,24.0,23.0,17.0,20.0,11.0,29.0,3.0,40.0,13.0,47.0,18.0,12.0,15.0,4.0,21.0,63.0,5.0,65.0,49.0
4116,0.0,1.0,5.0,8.0,23.0,10.0,4.0,33.0,3.0,29.0,35.0,7.0,15.0,27.0,53.0,37.0,14.0,6.0,9.0,75.0,21.0,2.0,20.0,12.0,34.0,40.0,82.0,71.0,19.0,42.0
4165,0.0,2.0,17.0,1.0,9.0,30.0,4.0,29.0,3.0,6.0,43.0,12.0,64.0,11.0,22.0,21.0,66.0,8.0,23.0,35.0,10.0,7.0,24.0,5.0,102.0,18.0,16.0,58.0,83.0,155.0
4214,0.0,2.0,4.0,1.0,6.0,13.0,26.0,29.0,18.0,10.0,12.0,23.0,5.0,52.0,34.0,14.0,43.0,3.0,28.0,11.0,64.0,7.0,87.0,24.0,15.0,19.0,36.0,8.0,75.0,101.0
4263,0.0,3.0,30.0,1.0,22.0,71.0,6.0,12.0,43.0,51.0,4.0,14.0,20.0,7.0,90.0,85.0,108.0,2.0,9.0,26.0,10.0,5.0,41.0,25.0,19.0,28.0,21.0,24.0,11.0,15.0
4312,0.0,7.0,6.0,38.0,3.0,16.0,12.0,14.0,8.0,26.0,2.0,11.0,15.0,27.0,60.0,68.0,59.0,1.0,4.0,37.0,49.0,29.0,13.0,44.0,10.0,23.0,34.0,5.0,17.0,9.0
4361,0.0,7.0,2.0,32.0,14.0,28.0,4.0,9.0,1.0,3.0,5.0,41.0,27.0,6.0,97.0,19.0,29.0,15.0,20.0,47.0,18.0,36.0,38.0,8.0,10.0,77.0,12.0,109.0,22.0,11.0
4410,2.0,0.0,3.0,1.0,6.0,4.0,5.0,75.0,12.0,15.0,8.0,11.0,7.0,19.0,18.0,13.0,14.0,16.0,63.0,35.0,10.0,43.0,86.0,28.0,53.0,20.0,49.0,71.0,32.0,21.0
4459,1.0,0.0,10.0,46.0,4.0,18.0,5.0,6.0,28.0,13.0,9.0,47.0,17.0,20.0,26.0,22.0,2.0,98.0,70.0,91.0,49.0,11.0,53.0,3.0,117.0,35.0,81.0,32.0,7.0,16.0
4508,1.0,0.0,3.0,38.0,7.0,13.0,17.0,26.0,10.0,9.0,25.0,6.0,19.0,2.0,58.0,69.0,55.0,16.0,33.0,90.0,18.0,29.0,62.0,22.0,23.0,60.0,83.0,48.0,12.0,66.0
4557,0.0,1.0,5.0,4.0,2.0,16.0,7.0,30.0,13.0,19.0,20.0,27.0,14.0,15.0,9.0,38.0,8.0,11.0,143.0,48.0,18.0,26.0,51.0,37.0,36.0,17.0,12.0,50.0,23.0,54.0
4606,1.0,0.0,2.0,16.0,10.0,3.0,4.0,49.0,11.0,20.0,9.0,8.0,74.0,6.0,7.0,51.0,26.0,96.0,65.0,31.0,18.0,19.0,37.0,12.0,25.0,5.0,32.0,29.0,44.0,14.0
4655,1.0,0.0,4.0,38.0,5.0,6.0,3.0,12.0,22.0,15.0,26.0,8.0,7.0,17.0,43.0,19.0,24.0,137.0,32.0,42.0,9.0,47.0,23.0,13.0,100.0,28.0,14.0,30.0,18.0,2.0
4704,0.0,2.0,1.0,17.0,3.0,15.0,26.0,11.0,38.0,14.0,5.0,19.0,21.0,41.0,23.0,12.0,4.0,159.0,63.0,37.0,29.0,53.0,10.0,16.0,7.0,96.0,18.0,97.0,6.0,27.0
4753,0.0,1.0,5.0,6.0,24.0,2.0,42.0,21.0,13.0,10.0,14.0,22.0,3.0,30.0,28.0,15.0,4.0,107.0,72.0,65.0,7.0,98.0,56.0,11.0,34.0,45.0,133.0,100.0,27.0,8.0
4802,0.0,1.0,2.0,20.0,27.0,11.0,14.0,4.0,82.0,6.0,22.0,5.0,19.0,15.0,8.0,10.0,48.0,63.0,38.0,60.0,7.0,126.0,33.0,35.0,37.0,3.0,55.0,87.0,67.0,9.0
4851,0.0,1.0,18.0,5.0,2.0,12.0,8.0,3.0,30.0,4.0,7.0,16.0,10.0,24.0,6.0,11.0,58.0,44.0,40.0,73.0,22.0,72.0,47.0,29.0,15.0,19.0,13.0,36.0,91.0,23.0
