,guanosine,2-deoxycytidine,1-methylnicotinamide,inosine,C22:6 CE,cytidine,creatine,PEP,palmitoylcarnitine,pantothenate,cis/trans-hydroxyproline,3-phosphoglycerate,cystathionine,N-carbamoyl-beta-alanine,GABA,C16:0 LPE,C34:2 DAG,C36:1 DAG,valerylcarnitine,butyrylcarnitine/isobutyrylcarnitine,taurodeoxycholate,C56:3 TAG,inositol,hypoxanthine,NADP,homocysteine,serotonin,phosphocreatine,alpha-hydroxybutyrate,beta-alanine
1348,1.0,0.0,4.0,3.0,24.0,2.0,14.0,22.0,11.0,19.0,8.0,7.0,18.0,16.0,10.0,17.0,6.0,9.0,20.0,23.0,5.0,12.0,36.0,15.0,25.0,21.0,13.0,33.0,46.0,61.0
1397,1.0,3.0,4.0,0.0,21.0,2.0,11.0,31.0,5.0,24.0,14.0,48.0,9.0,6.0,32.0,12.0,10.0,17.0,58.0,18.0,16.0,23.0,60.0,8.0,7.0,19.0,20.0,28.0,61.0,15.0
1446,2.0,0.0,8.0,1.0,20.0,6.0,9.0,26.0,5.0,4.0,3.0,11.0,12.0,33.0,21.0,7.0,23.0,16.0,37.0,14.0,17.0,53.0,45.0,30.0,19.0,34.0,22.0,35.0,50.0,48.0
1495,1.0,0.0,16.0,2.0,8.0,4.0,10.0,22.0,3.0,15.0,9.0,23.0,13.0,29.0,6.0,53.0,5.0,18.0,7.0,34.0,21.0,19.0,12.0,44.0,33.0,57.0,30.0,17.0,32.0,26.0
1544,3.0,0.0,1.0,12.0,13.0,15.0,14.0,4.0,23.0,5.0,10.0,7.0,30.0,9.0,18.0,11.0,26.0,24.0,8.0,38.0,21.0,29.0,2.0,20.0,22.0,44.0,6.0,58.0,28.0,41.0
1593,1.0,0.0,2.0,14.0,13.0,5.0,26.0,45.0,7.0,8.0,3.0,11.0,31.0,23.0,4.0,34.0,12.0,48.0,29.0,22.0,10.0,6.0,16.0,35.0,37.0,19.0,38.0,27.0,17.0,15.0
1642,0.0,3.0,2.0,7.0,1.0,5.0,33.0,9.0,20.0,6.0,24.0,18.0,13.0,19.0,39.0,8.0,23.0,21.0,11.0,14.0,10.0,25.0,17.0,64.0,15.0,22.0,26.0,38.0,27.0,4.0
1691,1.0,4.0,0.0,7.0,5.0,9.0,11.0,20.0,18.0,14.0,31.0,19.0,32.0,15.0,6.0,8.0,30.0,10.0,22.0,2.0,23.0,12.0,3.0,13.0,17.0,34.0,39.0,56.0,45.0,29.0
1740,1.0,0.0,2.0,5.0,12.0,4.0,6.0,18.0,28.0,13.0,43.0,36.0,40.0,15.0,17.0,9.0,7.0,19.0,16.0,20.0,34.0,8.0,3.0,42.0,29.0,10.0,58.0,38.0,53.0,26.0
1789,2.0,1.0,3.0,6.0,0.0,17.0,28.0,57.0,38.0,10.0,24.0,44.0,13.0,18.0,4.0,12.0,5.0,22.0,8.0,23.0,30.0,14.0,19.0,20.0,9.0,37.0,40.0,25.0,47.0,33.0
1838,3.0,0.0,1.0,42.0,2.0,15.0,18.0,34.0,62.0,9.0,46.0,23.0,13.0,44.0,4.0,22.0,16.0,7.0,12.0,6.0,43.0,5.0,21.0,11.0,10.0,61.0,39.0,58.0,20.0,49.0
1887,0.0,1.0,2.0,3.0,6.0,4.0,7.0,16.0,11.0,36.0,21.0,13.0,25.0,9.0,14.0,22.0,5.0,23.0,17.0,19.0,8.0,10.0,38.0,33.0,29.0,53.0,32.0,37.0,28.0,20.0
1936,1.0,0.0,2.0,3.0,6.0,23.0,12.0,18.0,26.0,10.0,9.0,14.0,4.0,17.0,8.0,11.0,21.0,32.0,7.0,13.0,5.0,29.0,37.0,25.0,24.0,40.0,19.0,46.0,42.0,47.0
1985,1.0,3.0,0.0,6.0,17.0,11.0,5.0,12.0,10.0,13.0,2.0,16.0,4.0,8.0,9.0,7.0,44.0,28.0,53.0,27.0,20.0,26.0,41.0,30.0,40.0,19.0,49.0,14.0,31.0,15.0
2034,0.0,2.0,1.0,5.0,10.0,6.0,34.0,20.0,7.0,26.0,17.0,13.0,4.0,15.0,3.0,14.0,12.0,9.0,18.0,29.0,11.0,27.0,61.0,32.0,22.0,24.0,53.0,16.0,28.0,56.0
2083,0.0,6.0,1.0,2.0,4.0,11.0,3.0,37.0,14.0,12.0,5.0,17.0,15.0,8.0,28.0,7.0,27.0,36.0,21.0,49.0,9.0,26.0,41.0,13.0,23.0,38.0,30.0,10.0,18.0,44.0
2132,2.0,3.0,0.0,1.0,17.0,10.0,4.0,15.0,8.0,26.0,5.0,19.0,16.0,11.0,7.0,32.0,18.0,42.0,36.0,29.0,14.0,13.0,56.0,49.0,40.0,55.0,34.0,6.0,45.0,12.0
2181,1.0,5.0,0.0,3.0,7.0,4.0,8.0,16.0,6.0,15.0,2.0,9.0,32.0,13.0,12.0,25.0,33.0,14.0,20.0,45.0,34.0,10.0,22.0,39.0,26.0,18.0,38.0,11.0,27.0,35.0
2230,0.0,8.0,1.0,4.0,11.0,3.0,6.0,20.0,5.0,7.0,2.0,26.0,24.0,17.0,28.0,27.0,14.0,29.0,19.0,40.0,10.0,42.0,50.0,23.0,13.0,15.0,16.0,9.0,39.0,51.0
2279,0.0,10.0,1.0,4.0,20.0,6.0,2.0,29.0,12.0,15.0,7.0,16.0,9.0,8.0,11.0,5.0,30.0,45.0,17.0,34.0,14.0,36.0,49.0,13.0,51.0,22.0,25.0,3.0,24.0,31.0
2328,1.0,2.0,0.0,4.0,5.0,15.0,6.0,20.0,22.0,17.0,3.0,11.0,9.0,13.0,10.0,12.0,50.0,25.0,7.0,56.0,30.0,39.0,41.0,29.0,14.0,16.0,18.0,8.0,31.0,33.0
2377,1.0,4.0,0.0,2.0,3.0,7.0,8.0,40.0,9.0,13.0,5.0,10.0,11.0,6.0,18.0,14.0,50.0,41.0,16.0,47.0,21.0,28.0,38.0,65.0,34.0,26.0,12.0,20.0,22.0,36.0
2426,1.0,3.0,0.0,2.0,6.0,20.0,13.0,21.0,17.0,12.0,5.0,43.0,7.0,8.0,15.0,24.0,22.0,50.0,19.0,27.0,4.0,39.0,30.0,34.0,16.0,9.0,26.0,10.0,66.0,38.0
2475,5.0,0.0,2.0,23.0,16.0,11.0,4.0,3.0,21.0,19.0,8.0,7.0,1.0,6.0,14.0,12.0,20.0,9.0,15.0,22.0,27.0,13.0,24.0,10.0,44.0,25.0,51.0,35.0,32.0,18.0
2524,0.0,1.0,2.0,4.0,7.0,20.0,11.0,6.0,3.0,13.0,8.0,12.0,9.0,21.0,27.0,34.0,16.0,10.0,15.0,23.0,5.0,19.0,14.0,28.0,54.0,17.0,29.0,22.0,49.0,30.0
2573,1.0,0.0,7.0,28.0,4.0,8.0,6.0,10.0,3.0,35.0,5.0,14.0,2.0,24.0,18.0,22.0,9.0,30.0,31.0,12.0,26.0,29.0,20.0,37.0,13.0,11.0,15.0,54.0,17.0,56.0
2622,1.0,0.0,2.0,14.0,3.0,21.0,16.0,8.0,20.0,49.0,4.0,6.0,5.0,12.0,17.0,11.0,28.0,9.0,15.0,33.0,10.0,27.0,22.0,48.0,35.0,13.0,47.0,26.0,45.0,29.0
2671,0.0,4.0,2.0,9.0,8.0,19.0,7.0,10.0,25.0,6.0,5.0,13.0,1.0,36.0,14.0,31.0,18.0,3.0,17.0,24.0,35.0,16.0,11.0,28.0,47.0,12.0,40.0,38.0,29.0,26.0
2720,0.0,1.0,5.0,14.0,6.0,10.0,15.0,3.0,4.0,12.0,11.0,7.0,2.0,29.0,41.0,21.0,33.0,8.0,24.0,13.0,18.0,31.0,19.0,37.0,55.0,9.0,45.0,27.0,39.0,17.0
2769,0.0,1.0,2.0,5.0,3.0,9.0,13.0,27.0,29.0,16.0,12.0,52.0,4.0,14.0,20.0,15.0,24.0,7.0,32.0,11.0,31.0,25.0,30.0,22.0,10.0,33.0,61.0,21.0,6.0,8.0
2818,8.0,0.0,7.0,12.0,1.0,16.0,15.0,5.0,2.0,4.0,6.0,9.0,3.0,14.0,37.0,13.0,38.0,23.0,43.0,33.0,19.0,20.0,11.0,10.0,26.0,21.0,27.0,22.0,30.0,29.0
2867,0.0,4.0,1.0,5.0,8.0,30.0,7.0,11.0,9.0,13.0,3.0,17.0,2.0,27.0,54.0,12.0,6.0,32.0,15.0,44.0,24.0,40.0,19.0,25.0,51.0,31.0,34.0,26.0,43.0,18.0
2916,0.0,1.0,4.0,3.0,2.0,9.0,11.0,8.0,7.0,13.0,57.0,15.0,5.0,20.0,26.0,22.0,24.0,18.0,29.0,14.0,12.0,6.0,16.0,17.0,36.0,58.0,59.0,56.0,31.0,23.0
2965,2.0,1.0,0.0,27.0,3.0,4.0,9.0,26.0,29.0,10.0,6.0,37.0,36.0,8.0,22.0,11.0,25.0,32.0,21.0,28.0,23.0,18.0,19.0,5.0,13.0,16.0,15.0,7.0,24.0,14.0
3014,0.0,2.0,1.0,29.0,5.0,7.0,4.0,15.0,37.0,11.0,13.0,8.0,22.0,6.0,3.0,14.0,38.0,35.0,30.0,28.0,42.0,47.0,9.0,12.0,26.0,46.0,17.0,27.0,49.0,10.0
3063,0.0,5.0,1.0,10.0,16.0,3.0,2.0,13.0,12.0,54.0,23.0,9.0,14.0,7.0,6.0,44.0,11.0,8.0,31.0,24.0,19.0,18.0,34.0,4.0,37.0,33.0,39.0,26.0,62.0,25.0
3112,1.0,2.0,0.0,13.0,5.0,6.0,4.0,17.0,12.0,23.0,25.0,7.0,10.0,14.0,15.0,8.0,11.0,41.0,20.0,27.0,31.0,39.0,51.0,3.0,16.0,47.0,36.0,29.0,30.0,28.0
3161,0.0,2.0,1.0,5.0,8.0,9.0,13.0,6.0,46.0,17.0,21.0,10.0,3.0,12.0,11.0,16.0,28.0,20.0,56.0,18.0,42.0,14.0,41.0,4.0,33.0,22.0,19.0,7.0,26.0,24.0
3210,0.0,3.0,1.0,42.0,4.0,19.0,11.0,20.0,5.0,8.0,6.0,13.0,48.0,26.0,9.0,44.0,29.0,15.0,23.0,17.0,28.0,12.0,14.0,2.0,43.0,39.0,35.0,7.0,30.0,10.0
3259,0.0,5.0,1.0,27.0,11.0,7.0,4.0,3.0,15.0,36.0,24.0,2.0,23.0,9.0,20.0,32.0,21.0,13.0,38.0,8.0,14.0,16.0,10.0,6.0,28.0,34.0,35.0,18.0,56.0,47.0
3308,2.0,1.0,0.0,54.0,17.0,8.0,16.0,5.0,28.0,22.0,21.0,6.0,27.0,10.0,4.0,3.0,30.0,36.0,24.0,35.0,19.0,53.0,14.0,12.0,23.0,11.0,7.0,47.0,45.0,20.0
3357,0.0,1.0,2.0,17.0,9.0,14.0,4.0,7.0,33.0,8.0,3.0,6.0,10.0,27.0,15.0,38.0,42.0,13.0,35.0,16.0,63.0,31.0,25.0,19.0,28.0,59.0,18.0,11.0,26.0,12.0
3406,0.0,1.0,2.0,16.0,9.0,5.0,7.0,14.0,58.0,25.0,29.0,6.0,19.0,21.0,26.0,15.0,27.0,8.0,41.0,31.0,52.0,34.0,10.0,4.0,18.0,63.0,11.0,12.0,30.0,3.0
3455,1.0,0.0,10.0,14.0,11.0,18.0,9.0,5.0,8.0,6.0,22.0,3.0,2.0,4.0,49.0,26.0,25.0,16.0,7.0,37.0,24.0,15.0,34.0,13.0,12.0,19.0,17.0,32.0,23.0,30.0
3504,0.0,1.0,2.0,5.0,16.0,24.0,23.0,28.0,9.0,8.0,17.0,15.0,6.0,4.0,10.0,30.0,21.0,11.0,7.0,25.0,3.0,20.0,29.0,42.0,37.0,14.0,18.0,39.0,41.0,13.0
3553,1.0,0.0,3.0,16.0,12.0,2.0,39.0,15.0,9.0,11.0,8.0,36.0,4.0,19.0,18.0,22.0,7.0,21.0,6.0,5.0,48.0,32.0,17.0,43.0,23.0,14.0,38.0,50.0,31.0,13.0
3602,0.0,1.0,9.0,5.0,11.0,12.0,39.0,31.0,4.0,20.0,2.0,44.0,35.0,23.0,32.0,21.0,3.0,22.0,14.0,10.0,16.0,25.0,6.0,13.0,30.0,8.0,38.0,15.0,29.0,27.0
3651,1.0,0.0,2.0,12.0,6.0,3.0,36.0,9.0,10.0,15.0,4.0,5.0,33.0,21.0,17.0,8.0,19.0,42.0,24.0,11.0,18.0,53.0,14.0,7.0,38.0,27.0,23.0,45.0,47.0,30.0
3700,1.0,0.0,3.0,26.0,17.0,2.0,28.0,8.0,16.0,13.0,18.0,19.0,5.0,10.0,6.0,24.0,4.0,39.0,14.0,9.0,15.0,11.0,40.0,25.0,30.0,42.0,33.0,49.0,7.0,48.0
3749,1.0,0.0,6.0,19.0,5.0,3.0,17.0,16.0,2.0,4.0,18.0,22.0,10.0,7.0,21.0,9.0,12.0,32.0,11.0,29.0,31.0,48.0,13.0,24.0,55.0,8.0,30.0,36.0,14.0,20.0
3798,1.0,0.0,9.0,7.0,16.0,3.0,24.0,6.0,8.0,17.0,14.0,13.0,5.0,2.0,45.0,30.0,10.0,18.0,26.0,40.0,12.0,11.0,4.0,39.0,21.0,19.0,37.0,46.0,59.0,20.0
3847,1.0,2.0,0.0,7.0,4.0,14.0,9.0,20.0,8.0,40.0,3.0,38.0,5.0,11.0,30.0,37.0,32.0,16.0,12.0,13.0,6.0,35.0,18.0,31.0,10.0,33.0,25.0,19.0,51.0,28.0
3896,2.0,0.0,1.0,5.0,47.0,10.0,8.0,24.0,12.0,6.0,19.0,22.0,14.0,17.0,4.0,38.0,21.0,35.0,13.0,9.0,3.0,34.0,16.0,52.0,7.0,36.0,27.0,57.0,18.0,23.0
3945,3.0,1.0,0.0,12.0,2.0,4.0,8.0,9.0,28.0,7.0,14.0,6.0,5.0,27.0,10.0,18.0,47.0,38.0,20.0,24.0,33.0,16.0,26.0,11.0,63.0,23.0,53.0,59.0,13.0,22.0
3994,0.0,1.0,7.0,12.0,3.0,5.0,4.0,6.0,31.0,2.0,14.0,10.0,38.0,18.0,13.0,11.0,17.0,20.0,19.0,32.0,21.0,28.0,15.0,57.0,39.0,8.0,48.0,9.0,35.0,45.0
4043,0.0,1.0,9.0,7.0,5.0,8.0,23.0,3.0,10.0,2.0,19.0,6.0,11.0,13.0,16.0,24.0,30.0,25.0,29.0,21.0,38.0,4.0,57.0,33.0,14.0,47.0,15.0,26.0,12.0,40.0
4092,0.0,1.0,4.0,9.0,5.0,2.0,10.0,3.0,15.0,7.0,53.0,23.0,11.0,18.0,8.0,34.0,22.0,37.0,45.0,38.0,35.0,6.0,13.0,25.0,32.0,16.0,17.0,42.0,51.0,27.0
4141,0.0,3.0,4.0,6.0,2.0,1.0,14.0,9.0,27.0,5.0,51.0,7.0,21.0,13.0,10.0,15.0,30.0,35.0,25.0,50.0,16.0,22.0,62.0,34.0,53.0,12.0,54.0,23.0,32.0,11.0
4190,0.0,2.0,18.0,1.0,6.0,3.0,7.0,4.0,15.0,8.0,11.0,5.0,9.0,10.0,16.0,17.0,12.0,31.0,58.0,13.0,28.0,23.0,14.0,25.0,41.0,24.0,40.0,54.0,21.0,27.0
4239,0.0,1.0,3.0,8.0,5.0,11.0,6.0,7.0,29.0,4.0,2.0,36.0,10.0,18.0,12.0,27.0,17.0,22.0,25.0,13.0,24.0,28.0,26.0,9.0,57.0,16.0,39.0,33.0,31.0,55.0
4288,1.0,0.0,17.0,7.0,8.0,9.0,13.0,3.0,20.0,2.0,43.0,5.0,12.0,31.0,10.0,4.0,21.0,25.0,16.0,11.0,32.0,24.0,23.0,18.0,54.0,34.0,6.0,38.0,15.0,39.0
4337,0.0,1.0,2.0,5.0,3.0,11.0,6.0,23.0,31.0,25.0,17.0,14.0,8.0,16.0,4.0,7.0,10.0,13.0,40.0,19.0,39.0,12.0,52.0,9.0,36.0,18.0,46.0,33.0,20.0,21.0
4386,2.0,0.0,13.0,1.0,17.0,4.0,11.0,6.0,15.0,5.0,18.0,7.0,3.0,10.0,9.0,12.0,8.0,19.0,20.0,22.0,29.0,31.0,43.0,14.0,32.0,37.0,42.0,23.0,53.0,16.0
4435,1.0,0.0,9.0,12.0,7.0,19.0,3.0,8.0,2.0,5.0,6.0,36.0,17.0,13.0,14.0,35.0,10.0,4.0,11.0,48.0,31.0,15.0,28.0,16.0,25.0,55.0,37.0,29.0,30.0,61.0
4484,1.0,0.0,17.0,42.0,4.0,9.0,7.0,5.0,28.0,3.0,6.0,23.0,21.0,15.0,2.0,11.0,8.0,43.0,26.0,10.0,45.0,24.0,14.0,37.0,22.0,35.0,19.0,60.0,34.0,62.0
4533,0.0,4.0,1.0,2.0,13.0,5.0,3.0,7.0,12.0,29.0,19.0,32.0,9.0,6.0,23.0,17.0,25.0,10.0,14.0,18.0,31.0,8.0,15.0,22.0,27.0,39.0,41.0,20.0,50.0,63.0
4582,0.0,2.0,1.0,9.0,7.0,8.0,3.0,11.0,15.0,18.0,24.0,5.0,46.0,13.0,4.0,65.0,10.0,14.0,12.0,22.0,6.0,16.0,17.0,64.0,54.0,36.0,42.0,32.0,27.0,39.0
4631,2.0,0.0,1.0,9.0,3.0,19.0,10.0,6.0,33.0,5.0,15.0,18.0,14.0,7.0,11.0,24.0,21.0,4.0,28.0,17.0,16.0,27.0,8.0,20.0,22.0,31.0,13.0,55.0,49.0,57.0
4680,0.0,2.0,1.0,12.0,17.0,6.0,8.0,5.0,9.0,15.0,7.0,11.0,26.0,10.0,19.0,52.0,16.0,4.0,14.0,3.0,56.0,31.0,35.0,33.0,23.0,48.0,59.0,27.0,39.0,24.0
4729,0.0,2.0,1.0,12.0,3.0,11.0,17.0,15.0,44.0,9.0,4.0,54.0,5.0,10.0,6.0,21.0,7.0,8.0,23.0,19.0,61.0,13.0,29.0,47.0,20.0,55.0,14.0,51.0,45.0,18.0
4778,0.0,2.0,1.0,4.0,19.0,18.0,11.0,13.0,25.0,15.0,7.0,46.0,47.0,38.0,12.0,27.0,3.0,17.0,16.0,9.0,24.0,35.0,10.0,31.0,14.0,32.0,6.0,48.0,23.0,57.0
4827,0.0,1.0,7.0,35.0,5.0,13.0,16.0,2.0,11.0,9.0,26.0,6.0,18.0,12.0,3.0,10.0,4.0,28.0,15.0,8.0,21.0,17.0,33.0,20.0,29.0,14.0,30.0,40.0,54.0,22.0
4876,1.0,0.0,2.0,12.0,7.0,10.0,4.0,9.0,14.0,8.0,6.0,16.0,17.0,5.0,3.0,28.0,18.0,26.0,13.0,11.0,29.0,27.0,37.0,20.0,40.0,30.0,33.0,32.0,38.0,65.0
