,ITPRIPL1,ZNF215,SFMBT2,AEBP1,SLC38A5,AC011242.6,AC138623.1,CYBA,LBX2-AS1,PGF,RAC3,ZNF595,FNBP1P1,EFCAB4B,AP000783.1,C8orf31,CNTN3,MAGEC2,PPP1R14A,AGAP2,FRMD3,ZFP36L2,DCP1B,GNB4,CDA,TTC31,TSPAN12,ARID3A,SLC6A15,RNF144A-AS1
2313,46.0,2.0,35.0,10.0,123.0,1.0,31.0,9.0,6.0,4.0,19.0,0.0,15.0,41.0,30.0,43.0,17.0,7.0,162.0,39.0,47.0,13.0,23.0,36.0,14.0,18.0,121.0,34.0,86.0,89.0
2362,9.0,0.0,99.0,6.0,5.0,1.0,14.0,7.0,3.0,8.0,77.0,2.0,25.0,18.0,71.0,13.0,15.0,10.0,41.0,31.0,4.0,54.0,37.0,85.0,82.0,44.0,12.0,83.0,16.0,88.0
2411,2.0,5.0,28.0,1.0,15.0,6.0,13.0,138.0,18.0,0.0,17.0,3.0,19.0,21.0,69.0,1772.0,26.0,53.0,22.0,25.0,37.0,16.0,64.0,9.0,42.0,30.0,35.0,117.0,20.0,126.0
2460,2.0,0.0,21.0,5.0,1.0,8.0,11.0,10.0,9.0,76.0,79.0,36.0,181.0,7.0,180.0,350.0,144.0,20.0,86.0,162.0,4.0,344.0,35.0,599.0,16.0,50.0,186.0,77.0,78.0,59.0
2509,13.0,0.0,5.0,11.0,20.0,9.0,3.0,1.0,25.0,31.0,29.0,18.0,89.0,96.0,101.0,427.0,12.0,15.0,377.0,45.0,81.0,106.0,93.0,370.0,42.0,75.0,69.0,46.0,26.0,19.0
2558,0.0,1.0,6.0,25.0,3.0,7.0,29.0,10.0,19.0,143.0,95.0,87.0,82.0,28.0,43.0,475.0,5.0,22.0,42.0,26.0,2.0,133.0,54.0,859.0,122.0,78.0,35.0,126.0,31.0,105.0
2607,1.0,0.0,3.0,5.0,2.0,15.0,68.0,21.0,40.0,10.0,96.0,104.0,198.0,58.0,106.0,744.0,6.0,60.0,154.0,20.0,46.0,195.0,50.0,572.0,54.0,39.0,16.0,31.0,91.0,261.0
2656,2.0,1.0,0.0,12.0,24.0,31.0,3.0,4.0,8.0,57.0,32.0,15.0,385.0,10.0,17.0,222.0,23.0,147.0,104.0,43.0,65.0,75.0,213.0,944.0,21.0,143.0,19.0,30.0,106.0,13.0
2705,0.0,4.0,2.0,12.0,5.0,42.0,10.0,3.0,11.0,16.0,8.0,14.0,292.0,108.0,89.0,341.0,6.0,7.0,96.0,107.0,13.0,208.0,66.0,83.0,18.0,81.0,125.0,46.0,15.0,76.0
2754,1.0,0.0,24.0,3.0,2.0,14.0,17.0,4.0,72.0,31.0,7.0,25.0,94.0,20.0,39.0,791.0,12.0,19.0,6.0,34.0,32.0,145.0,78.0,493.0,49.0,50.0,96.0,35.0,45.0,212.0
2803,7.0,0.0,6.0,4.0,1.0,34.0,10.0,2.0,18.0,75.0,17.0,20.0,594.0,37.0,12.0,201.0,27.0,35.0,112.0,41.0,360.0,239.0,278.0,753.0,9.0,66.0,384.0,93.0,314.0,26.0
2852,2.0,0.0,3.0,21.0,4.0,25.0,9.0,1.0,11.0,53.0,28.0,60.0,260.0,12.0,15.0,888.0,7.0,82.0,33.0,69.0,331.0,79.0,63.0,317.0,72.0,30.0,13.0,54.0,26.0,38.0
2901,1.0,0.0,35.0,2.0,4.0,5.0,101.0,10.0,13.0,18.0,14.0,9.0,267.0,16.0,85.0,19140.0,38.0,88.0,69.0,19.0,147.0,186.0,47.0,509.0,109.0,51.0,120.0,99.0,67.0,45.0
2950,56.0,24.0,2.0,21.0,179.0,5.0,12.0,375.0,27.0,249.0,231.0,29.0,7.0,8.0,3.0,0.0,34.0,41.0,88.0,36.0,4.0,59.0,265.0,45.0,11.0,40.0,22.0,94.0,54.0,84.0
2999,78.0,28.0,0.0,8.0,9.0,3.0,13.0,375.0,36.0,114.0,117.0,57.0,5.0,100.0,1.0,2.0,32.0,127.0,22.0,47.0,20.0,7.0,197.0,24.0,6.0,108.0,89.0,143.0,30.0,17.0
3048,28.0,25.0,0.0,4.0,5.0,10.0,1.0,624.0,44.0,222.0,330.0,51.0,2.0,29.0,14.0,16.0,225.0,79.0,126.0,15.0,6.0,57.0,50.0,31.0,3.0,22.0,60.0,62.0,12.0,59.0
3097,47.0,93.0,1.0,43.0,16.0,17.0,2.0,249.0,54.0,42.0,424.0,11.0,4.0,70.0,19.0,3.0,6.0,333.0,13.0,22.0,0.0,129.0,142.0,91.0,132.0,53.0,8.0,35.0,7.0,166.0
3146,18.0,21.0,1.0,4.0,6.0,9.0,23.0,247.0,17.0,237.0,61.0,136.0,14.0,135.0,8.0,12.0,31.0,305.0,3.0,42.0,13.0,97.0,153.0,24.0,110.0,165.0,72.0,134.0,2.0,103.0
3195,5.0,430.0,0.0,4.0,2.0,48.0,18.0,574.0,9.0,80.0,61.0,50.0,7.0,17.0,3.0,6.0,88.0,102.0,8.0,21.0,25.0,11.0,190.0,36.0,1.0,67.0,156.0,62.0,22.0,74.0
3244,2.0,1.0,0.0,9.0,4.0,10.0,6.0,91.0,8.0,148.0,81.0,40.0,7.0,111.0,67.0,168.0,11.0,56.0,21.0,42.0,133.0,41.0,54.0,51.0,14.0,37.0,17.0,120.0,3.0,250.0
3293,6.0,1.0,0.0,20.0,2.0,11.0,31.0,102.0,93.0,186.0,155.0,41.0,14.0,55.0,12.0,7.0,4.0,35.0,48.0,33.0,17.0,99.0,244.0,47.0,15.0,56.0,127.0,148.0,5.0,44.0
3342,10.0,74.0,1.0,16.0,14.0,102.0,8.0,295.0,54.0,204.0,138.0,94.0,6.0,112.0,29.0,0.0,3.0,5.0,23.0,101.0,7.0,53.0,263.0,25.0,9.0,31.0,20.0,158.0,4.0,125.0
3391,6.0,28.0,5.0,13.0,0.0,2.0,198.0,472.0,17.0,110.0,631.0,42.0,3.0,171.0,22.0,7.0,12.0,62.0,11.0,24.0,8.0,54.0,124.0,47.0,65.0,31.0,23.0,228.0,1.0,52.0
3440,0.0,46.0,2.0,6.0,4.0,5.0,3.0,1.0,13.0,9.0,7.0,19.0,20.0,33.0,390.0,63.0,360.0,104.0,12.0,65.0,362.0,15.0,77.0,82.0,26.0,8.0,16.0,81.0,111.0,42.0
3489,13.0,88.0,5.0,0.0,25.0,4.0,3.0,15.0,1.0,8.0,6.0,7.0,90.0,17.0,120.0,81.0,1135.0,61.0,122.0,26.0,746.0,12.0,9.0,84.0,134.0,18.0,67.0,42.0,646.0,31.0
3538,0.0,6.0,17.0,3.0,8.0,10.0,4.0,1.0,25.0,9.0,7.0,13.0,11.0,23.0,1220.0,22.0,409.0,27.0,14.0,55.0,337.0,5.0,16.0,46.0,145.0,33.0,2.0,48.0,20.0,143.0
3587,1.0,19.0,2.0,5.0,63.0,45.0,0.0,23.0,12.0,3.0,6.0,4.0,21.0,60.0,532.0,80.0,649.0,15.0,78.0,30.0,126.0,11.0,26.0,9.0,46.0,10.0,17.0,49.0,112.0,25.0
3636,0.0,2.0,5.0,3.0,12.0,6.0,99.0,1.0,33.0,8.0,17.0,19.0,52.0,20.0,306.0,72.0,758.0,35.0,21.0,54.0,67.0,11.0,65.0,303.0,47.0,61.0,38.0,345.0,132.0,53.0
3685,5.0,13.0,0.0,2.0,64.0,54.0,6.0,1.0,28.0,68.0,4.0,18.0,44.0,56.0,21.0,35.0,432.0,7.0,40.0,11.0,128.0,16.0,102.0,94.0,8.0,34.0,3.0,97.0,19.0,14.0
3734,0.0,11.0,1.0,2.0,3.0,17.0,9.0,10.0,25.0,8.0,5.0,99.0,23.0,6.0,66.0,30.0,1448.0,100.0,22.0,55.0,209.0,14.0,4.0,40.0,64.0,41.0,16.0,109.0,39.0,31.0
