, PI3K_only, H2O2, TGFB, MAPK_only, IL-1, JAK-STAT, MAPK_PI3K, VEGF, TLR, Wnt, TNFa
1658,6.0,8.0,0.0,9.0,1.0,2.0,10.0,4.0,3.0,5.0,7.0
1707,3.0,8.0,4.0,9.0,6.0,0.0,10.0,2.0,1.0,5.0,7.0
1756,0.0,10.0,4.0,7.0,1.0,3.0,6.0,5.0,2.0,9.0,8.0
1805,9.0,8.0,4.0,2.0,1.0,0.0,6.0,5.0,3.0,7.0,10.0
1854,9.0,7.0,1.0,2.0,3.0,0.0,6.0,5.0,4.0,8.0,10.0
1903,3.0,6.0,9.0,5.0,7.0,0.0,10.0,2.0,8.0,1.0,4.0
1952,7.0,9.0,4.0,6.0,5.0,1.0,3.0,2.0,0.0,10.0,8.0
2001,0.0,3.0,4.0,2.0,10.0,7.0,1.0,6.0,5.0,9.0,8.0
2050,0.0,5.0,3.0,6.0,9.0,1.0,2.0,8.0,7.0,10.0,4.0
2099,2.0,9.0,4.0,3.0,5.0,6.0,0.0,7.0,10.0,1.0,8.0
2148,3.0,0.0,2.0,7.0,1.0,6.0,8.0,5.0,4.0,10.0,9.0
2197,1.0,0.0,4.0,2.0,9.0,6.0,3.0,7.0,10.0,8.0,5.0
2246,4.0,9.0,6.0,0.0,1.0,3.0,2.0,8.0,10.0,5.0,7.0
2295,3.0,9.0,4.0,2.0,5.0,0.0,1.0,7.0,10.0,8.0,6.0
2344,1.0,3.0,2.0,0.0,7.0,4.0,8.0,5.0,9.0,6.0,10.0
2393,1.0,0.0,4.0,3.0,2.0,6.0,7.0,10.0,8.0,5.0,9.0
2442,7.0,3.0,1.0,0.0,6.0,4.0,5.0,8.0,10.0,2.0,9.0
2491,6.0,2.0,0.0,5.0,4.0,3.0,8.0,7.0,9.0,1.0,10.0
2540,0.0,9.0,4.0,7.0,2.0,6.0,10.0,8.0,3.0,1.0,5.0
2589,1.0,2.0,3.0,6.0,5.0,9.0,7.0,0.0,8.0,4.0,10.0
2638,1.0,8.0,4.0,9.0,6.0,7.0,2.0,0.0,3.0,5.0,10.0
2687,3.0,6.0,1.0,0.0,7.0,9.0,10.0,5.0,8.0,2.0,4.0
2736,0.0,2.0,8.0,6.0,3.0,4.0,7.0,5.0,1.0,9.0,10.0
2785,0.0,1.0,3.0,6.0,5.0,4.0,7.0,2.0,9.0,8.0,10.0
2834,2.0,9.0,7.0,6.0,0.0,8.0,1.0,3.0,4.0,5.0,10.0
2883,0.0,4.0,7.0,8.0,3.0,1.0,5.0,2.0,6.0,9.0,10.0
2932,9.0,0.0,7.0,3.0,8.0,6.0,4.0,5.0,1.0,2.0,10.0
2981,0.0,4.0,6.0,2.0,8.0,5.0,1.0,7.0,9.0,3.0,10.0
3030,3.0,9.0,6.0,4.0,7.0,8.0,5.0,1.0,0.0,2.0,10.0
3079,9.0,6.0,2.0,4.0,3.0,7.0,8.0,5.0,0.0,1.0,10.0
3128,7.0,9.0,1.0,8.0,4.0,10.0,5.0,3.0,0.0,6.0,2.0
3177,1.0,2.0,4.0,3.0,7.0,8.0,5.0,0.0,6.0,9.0,10.0
3226,2.0,3.0,5.0,0.0,4.0,6.0,1.0,8.0,7.0,10.0,9.0
3275,8.0,2.0,0.0,5.0,9.0,4.0,3.0,1.0,6.0,7.0,10.0
3324,1.0,6.0,8.0,10.0,0.0,3.0,7.0,2.0,4.0,5.0,9.0
3373,1.0,6.0,8.0,7.0,4.0,2.0,3.0,0.0,9.0,5.0,10.0
3422,6.0,3.0,0.0,1.0,5.0,10.0,2.0,4.0,9.0,8.0,7.0
3471,6.0,8.0,4.0,1.0,5.0,3.0,2.0,7.0,0.0,10.0,9.0
3520,5.0,1.0,10.0,2.0,8.0,6.0,3.0,4.0,0.0,9.0,7.0
3569,4.0,0.0,8.0,7.0,1.0,6.0,3.0,5.0,2.0,10.0,9.0
3618,1.0,2.0,7.0,9.0,4.0,6.0,0.0,3.0,5.0,10.0,8.0
3667,1.0,6.0,9.0,8.0,0.0,7.0,2.0,4.0,3.0,5.0,10.0
3716,4.0,1.0,8.0,6.0,0.0,2.0,7.0,5.0,3.0,9.0,10.0
3765,1.0,8.0,4.0,2.0,6.0,7.0,0.0,10.0,3.0,5.0,9.0
3814,0.0,5.0,3.0,1.0,9.0,8.0,2.0,4.0,6.0,10.0,7.0
3863,2.0,0.0,3.0,1.0,4.0,6.0,7.0,8.0,5.0,10.0,9.0
3912,5.0,3.0,7.0,1.0,4.0,8.0,0.0,6.0,2.0,9.0,10.0
3961,0.0,4.0,3.0,1.0,5.0,10.0,6.0,8.0,2.0,9.0,7.0
4010,1.0,9.0,6.0,0.0,2.0,3.0,5.0,8.0,4.0,10.0,7.0
4059,1.0,8.0,6.0,0.0,10.0,4.0,9.0,3.0,5.0,2.0,7.0
4108,8.0,2.0,1.0,4.0,3.0,5.0,9.0,0.0,10.0,7.0,6.0
4157,6.0,3.0,2.0,0.0,9.0,4.0,10.0,5.0,1.0,8.0,7.0
4206,1.0,4.0,0.0,5.0,6.0,9.0,8.0,2.0,7.0,3.0,10.0
4255,3.0,8.0,4.0,1.0,6.0,9.0,2.0,0.0,7.0,5.0,10.0
4304,0.0,3.0,6.0,4.0,9.0,2.0,1.0,8.0,5.0,10.0,7.0
4353,0.0,3.0,6.0,9.0,1.0,7.0,8.0,2.0,4.0,10.0,5.0
4402,1.0,0.0,6.0,2.0,10.0,9.0,3.0,8.0,4.0,5.0,7.0
4451,0.0,9.0,4.0,2.0,6.0,1.0,7.0,10.0,3.0,5.0,8.0
4500,1.0,9.0,5.0,4.0,6.0,7.0,0.0,2.0,8.0,3.0,10.0
4549,1.0,5.0,2.0,4.0,9.0,6.0,0.0,3.0,7.0,8.0,10.0
4598,0.0,1.0,4.0,3.0,6.0,2.0,7.0,8.0,5.0,9.0,10.0
4647,4.0,5.0,0.0,2.0,9.0,1.0,3.0,7.0,6.0,8.0,10.0
4696,2.0,3.0,0.0,1.0,7.0,4.0,8.0,9.0,5.0,6.0,10.0
4745,0.0,4.0,7.0,1.0,9.0,6.0,2.0,3.0,5.0,8.0,10.0
4794,0.0,6.0,2.0,5.0,8.0,4.0,1.0,3.0,10.0,7.0,9.0
4843,0.0,3.0,4.0,5.0,7.0,2.0,6.0,9.0,8.0,1.0,10.0
4892,10.0,4.0,2.0,6.0,5.0,1.0,7.0,3.0,8.0,0.0,9.0
