,Gab2,PKC-alpha,Bax,AMPK_alpha,c-Jun_pS73,PDCD4,Rictor_pT1135,RAD51,Caspase-7_cleavedD198,PAI-1,FRA1,Smac,JNK2,PKC-delta_pS664,MSH6,TFRC,XBP1,p70S6K_pT389,Notch1,YB-1_pS102,ACC_pS79,HSP70,Bid,IGFBP2,ADAR1,PI3K-p85,p53,p27,p90RSK_pT359_S363,Paxillin
496,2.0,11.0,37.0,0.0,30.0,9.0,72.0,32.0,13.0,46.0,162.0,39.0,24.0,4.0,28.0,50.0,35.0,5.0,63.0,17.0,119.0,22.0,31.0,23.0,123.0,89.0,55.0,59.0,40.0,8.0
545,9.0,1.0,4.0,2.0,6.0,8.0,71.0,79.0,107.0,0.0,19.0,27.0,139.0,87.0,14.0,35.0,29.0,22.0,54.0,3.0,34.0,134.0,101.0,135.0,32.0,89.0,23.0,50.0,40.0,20.0
594,21.0,6.0,1.0,9.0,14.0,36.0,20.0,25.0,35.0,41.0,10.0,76.0,139.0,4.0,3.0,62.0,71.0,11.0,53.0,2.0,0.0,135.0,22.0,34.0,29.0,58.0,45.0,49.0,43.0,39.0
643,1.0,2.0,5.0,0.0,4.0,55.0,87.0,21.0,119.0,54.0,6.0,3.0,38.0,8.0,29.0,67.0,28.0,43.0,49.0,24.0,117.0,32.0,102.0,134.0,33.0,40.0,41.0,48.0,10.0,15.0
692,3.0,25.0,4.0,1.0,33.0,24.0,70.0,27.0,126.0,62.0,104.0,29.0,151.0,26.0,17.0,5.0,31.0,22.0,138.0,0.0,35.0,14.0,36.0,15.0,61.0,53.0,67.0,21.0,64.0,23.0
741,10.0,27.0,38.0,0.0,1.0,24.0,98.0,29.0,127.0,4.0,13.0,3.0,2.0,6.0,143.0,80.0,32.0,35.0,136.0,36.0,45.0,155.0,119.0,154.0,40.0,26.0,64.0,132.0,61.0,58.0
790,20.0,3.0,7.0,0.0,12.0,22.0,14.0,18.0,26.0,19.0,4.0,1.0,139.0,60.0,93.0,37.0,30.0,49.0,54.0,164.0,117.0,135.0,102.0,137.0,35.0,38.0,28.0,55.0,50.0,21.0
839,18.0,1.0,39.0,5.0,8.0,4.0,9.0,12.0,10.0,3.0,162.0,27.0,25.0,26.0,11.0,42.0,36.0,19.0,56.0,15.0,31.0,23.0,6.0,135.0,40.0,17.0,0.0,52.0,45.0,47.0
888,18.0,5.0,37.0,0.0,2.0,13.0,66.0,71.0,128.0,9.0,17.0,35.0,139.0,16.0,127.0,34.0,32.0,20.0,55.0,1.0,3.0,137.0,29.0,4.0,120.0,11.0,22.0,49.0,43.0,15.0
937,4.0,3.0,36.0,0.0,34.0,23.0,26.0,24.0,127.0,62.0,11.0,29.0,151.0,5.0,17.0,30.0,32.0,21.0,137.0,1.0,98.0,8.0,37.0,7.0,53.0,68.0,20.0,132.0,64.0,22.0
986,17.0,38.0,40.0,42.0,8.0,0.0,3.0,13.0,14.0,10.0,161.0,78.0,1.0,85.0,135.0,2.0,30.0,43.0,84.0,164.0,118.0,41.0,105.0,44.0,35.0,56.0,55.0,48.0,26.0,12.0
1035,21.0,18.0,7.0,3.0,11.0,19.0,71.0,29.0,15.0,39.0,20.0,63.0,0.0,14.0,92.0,6.0,30.0,43.0,56.0,164.0,116.0,133.0,98.0,134.0,2.0,85.0,25.0,51.0,42.0,47.0
1084,9.0,6.0,5.0,4.0,36.0,23.0,28.0,1.0,21.0,22.0,0.0,92.0,33.0,50.0,143.0,2.0,73.0,63.0,19.0,35.0,41.0,11.0,39.0,18.0,45.0,25.0,65.0,132.0,62.0,59.0
1133,1.0,3.0,7.0,0.0,14.0,6.0,73.0,15.0,98.0,29.0,13.0,79.0,24.0,89.0,133.0,36.0,34.0,51.0,94.0,17.0,38.0,140.0,4.0,21.0,2.0,93.0,23.0,57.0,62.0,49.0
1182,5.0,26.0,0.0,7.0,13.0,16.0,86.0,22.0,17.0,15.0,21.0,75.0,6.0,36.0,143.0,37.0,3.0,52.0,33.0,164.0,32.0,134.0,11.0,135.0,118.0,41.0,47.0,40.0,12.0,54.0
1231,6.0,7.0,1.0,36.0,18.0,20.0,95.0,8.0,4.0,19.0,163.0,87.0,0.0,44.0,140.0,27.0,29.0,17.0,11.0,32.0,94.0,15.0,33.0,150.0,46.0,21.0,30.0,62.0,56.0,54.0
1280,16.0,0.0,6.0,34.0,3.0,21.0,14.0,23.0,25.0,52.0,18.0,76.0,4.0,92.0,29.0,32.0,71.0,31.0,7.0,164.0,118.0,138.0,10.0,27.0,121.0,19.0,38.0,47.0,46.0,48.0
1329,4.0,2.0,0.0,37.0,8.0,29.0,97.0,48.0,122.0,28.0,13.0,89.0,6.0,40.0,140.0,16.0,14.0,58.0,25.0,3.0,47.0,151.0,33.0,5.0,35.0,38.0,27.0,64.0,57.0,55.0
1378,3.0,1.0,5.0,33.0,2.0,25.0,87.0,93.0,20.0,12.0,4.0,8.0,0.0,7.0,143.0,36.0,28.0,18.0,34.0,164.0,117.0,134.0,103.0,40.0,30.0,46.0,39.0,52.0,47.0,54.0
1427,5.0,21.0,9.0,37.0,1.0,4.0,91.0,23.0,16.0,3.0,8.0,25.0,7.0,22.0,138.0,73.0,10.0,2.0,18.0,31.0,97.0,150.0,30.0,149.0,65.0,46.0,59.0,63.0,56.0,53.0
1476,1.0,17.0,3.0,4.0,102.0,28.0,67.0,2.0,10.0,43.0,20.0,7.0,21.0,16.0,143.0,35.0,32.0,6.0,61.0,164.0,33.0,135.0,22.0,25.0,120.0,18.0,49.0,57.0,9.0,40.0
1525,10.0,8.0,33.0,35.0,1.0,58.0,4.0,6.0,20.0,60.0,132.0,25.0,2.0,48.0,29.0,0.0,27.0,38.0,98.0,30.0,34.0,28.0,128.0,19.0,42.0,51.0,59.0,22.0,62.0,23.0
1574,5.0,4.0,0.0,38.0,6.0,14.0,2.0,1.0,9.0,43.0,155.0,3.0,23.0,87.0,27.0,34.0,39.0,48.0,59.0,7.0,32.0,20.0,29.0,21.0,127.0,13.0,19.0,22.0,46.0,47.0
1623,6.0,16.0,1.0,9.0,8.0,20.0,10.0,4.0,17.0,38.0,146.0,72.0,27.0,81.0,15.0,31.0,37.0,50.0,45.0,164.0,34.0,36.0,100.0,5.0,119.0,26.0,53.0,51.0,24.0,3.0
1672,1.0,4.0,27.0,32.0,18.0,0.0,6.0,8.0,5.0,17.0,14.0,2.0,33.0,83.0,34.0,31.0,56.0,50.0,29.0,3.0,24.0,136.0,20.0,23.0,122.0,11.0,57.0,35.0,49.0,47.0
1721,2.0,4.0,3.0,43.0,1.0,32.0,36.0,5.0,21.0,34.0,106.0,27.0,7.0,45.0,19.0,24.0,23.0,66.0,137.0,38.0,42.0,12.0,108.0,10.0,49.0,31.0,35.0,102.0,65.0,33.0
1770,6.0,8.0,33.0,37.0,31.0,21.0,0.0,49.0,15.0,58.0,13.0,3.0,148.0,41.0,30.0,28.0,29.0,61.0,134.0,32.0,91.0,153.0,100.0,10.0,34.0,22.0,18.0,69.0,20.0,57.0
1819,2.0,3.0,1.0,34.0,29.0,0.0,7.0,20.0,19.0,17.0,13.0,22.0,145.0,44.0,138.0,25.0,67.0,59.0,164.0,4.0,6.0,150.0,128.0,9.0,35.0,47.0,18.0,28.0,58.0,54.0
1868,7.0,19.0,3.0,0.0,9.0,4.0,68.0,1.0,25.0,42.0,26.0,2.0,139.0,18.0,15.0,6.0,55.0,11.0,14.0,31.0,38.0,22.0,101.0,135.0,126.0,20.0,28.0,30.0,45.0,29.0
1917,5.0,0.0,1.0,3.0,32.0,9.0,97.0,25.0,124.0,8.0,14.0,28.0,20.0,40.0,141.0,29.0,30.0,60.0,134.0,33.0,34.0,10.0,35.0,13.0,66.0,49.0,23.0,19.0,59.0,56.0
1966,32.0,3.0,0.0,5.0,33.0,4.0,66.0,2.0,9.0,18.0,20.0,40.0,19.0,13.0,93.0,47.0,60.0,22.0,7.0,34.0,117.0,30.0,37.0,144.0,41.0,83.0,25.0,29.0,21.0,64.0
2015,2.0,27.0,39.0,1.0,34.0,5.0,30.0,49.0,17.0,60.0,11.0,6.0,9.0,41.0,144.0,32.0,72.0,63.0,137.0,164.0,50.0,155.0,126.0,3.0,66.0,54.0,26.0,24.0,62.0,59.0
2064,0.0,11.0,1.0,41.0,5.0,30.0,71.0,32.0,107.0,17.0,15.0,38.0,24.0,2.0,143.0,39.0,62.0,49.0,28.0,164.0,36.0,136.0,100.0,3.0,34.0,86.0,63.0,59.0,20.0,50.0
2113,1.0,13.0,0.0,2.0,31.0,19.0,69.0,3.0,6.0,21.0,18.0,38.0,145.0,12.0,29.0,34.0,42.0,24.0,59.0,164.0,120.0,25.0,102.0,134.0,35.0,88.0,26.0,60.0,51.0,46.0
2162,0.0,2.0,3.0,36.0,33.0,15.0,42.0,7.0,9.0,10.0,32.0,39.0,27.0,12.0,34.0,38.0,6.0,5.0,26.0,164.0,4.0,144.0,101.0,138.0,120.0,81.0,21.0,61.0,62.0,88.0
2211,6.0,27.0,0.0,33.0,10.0,41.0,86.0,1.0,108.0,40.0,7.0,17.0,23.0,4.0,24.0,39.0,26.0,45.0,52.0,164.0,3.0,31.0,100.0,38.0,121.0,76.0,16.0,34.0,54.0,35.0
2260,2.0,59.0,95.0,36.0,1.0,9.0,18.0,5.0,21.0,45.0,11.0,73.0,138.0,3.0,28.0,37.0,60.0,13.0,54.0,164.0,4.0,8.0,102.0,23.0,127.0,83.0,49.0,40.0,20.0,10.0
2309,3.0,6.0,7.0,37.0,1.0,8.0,98.0,29.0,21.0,0.0,16.0,30.0,150.0,49.0,9.0,80.0,31.0,62.0,33.0,35.0,50.0,154.0,39.0,17.0,59.0,28.0,24.0,22.0,26.0,58.0
2358,1.0,6.0,0.0,36.0,4.0,2.0,87.0,5.0,101.0,15.0,3.0,77.0,9.0,22.0,32.0,23.0,27.0,50.0,16.0,164.0,29.0,14.0,109.0,142.0,39.0,42.0,10.0,53.0,49.0,47.0
2407,1.0,3.0,0.0,7.0,6.0,13.0,85.0,30.0,127.0,55.0,145.0,74.0,29.0,5.0,17.0,68.0,24.0,20.0,28.0,164.0,117.0,37.0,102.0,144.0,22.0,58.0,12.0,21.0,45.0,31.0
2456,7.0,21.0,23.0,30.0,2.0,15.0,16.0,1.0,17.0,13.0,22.0,24.0,6.0,25.0,19.0,68.0,33.0,8.0,26.0,164.0,36.0,137.0,101.0,144.0,120.0,40.0,45.0,50.0,52.0,49.0
2505,19.0,27.0,3.0,122.0,4.0,20.0,90.0,9.0,12.0,8.0,28.0,30.0,5.0,82.0,93.0,35.0,1.0,6.0,24.0,16.0,117.0,134.0,10.0,135.0,34.0,85.0,49.0,53.0,45.0,42.0
2554,20.0,1.0,5.0,35.0,11.0,53.0,17.0,22.0,25.0,0.0,23.0,2.0,3.0,7.0,135.0,38.0,34.0,56.0,93.0,14.0,116.0,6.0,8.0,145.0,32.0,45.0,54.0,30.0,40.0,57.0
2603,18.0,7.0,5.0,2.0,1.0,4.0,16.0,3.0,107.0,53.0,155.0,76.0,35.0,13.0,27.0,68.0,29.0,8.0,33.0,24.0,31.0,38.0,10.0,37.0,120.0,83.0,17.0,48.0,45.0,46.0
2652,22.0,0.0,1.0,125.0,12.0,42.0,4.0,6.0,14.0,2.0,5.0,26.0,8.0,89.0,10.0,30.0,9.0,51.0,20.0,27.0,32.0,136.0,3.0,25.0,31.0,64.0,62.0,37.0,50.0,45.0
2701,17.0,37.0,1.0,36.0,4.0,48.0,12.0,5.0,25.0,10.0,20.0,26.0,0.0,59.0,30.0,6.0,29.0,44.0,28.0,14.0,118.0,41.0,102.0,40.0,27.0,75.0,57.0,55.0,56.0,42.0
2750,147.0,0.0,39.0,32.0,3.0,4.0,68.0,30.0,10.0,5.0,148.0,2.0,1.0,87.0,143.0,43.0,36.0,19.0,27.0,6.0,117.0,135.0,7.0,136.0,34.0,89.0,21.0,24.0,49.0,44.0
2799,10.0,0.0,1.0,36.0,3.0,54.0,2.0,37.0,122.0,7.0,163.0,27.0,4.0,26.0,17.0,29.0,69.0,25.0,31.0,32.0,35.0,151.0,131.0,150.0,60.0,48.0,61.0,23.0,58.0,55.0
2848,19.0,28.0,39.0,8.0,2.0,7.0,0.0,5.0,9.0,20.0,155.0,4.0,3.0,15.0,27.0,63.0,34.0,22.0,59.0,1.0,37.0,24.0,29.0,136.0,121.0,16.0,48.0,54.0,47.0,51.0
2897,146.0,19.0,1.0,2.0,5.0,12.0,7.0,0.0,9.0,8.0,23.0,76.0,4.0,26.0,21.0,3.0,25.0,18.0,29.0,164.0,119.0,35.0,14.0,137.0,30.0,22.0,47.0,33.0,46.0,56.0
2946,4.0,29.0,1.0,33.0,8.0,0.0,7.0,15.0,105.0,19.0,162.0,2.0,26.0,18.0,30.0,84.0,54.0,5.0,27.0,17.0,116.0,23.0,97.0,135.0,119.0,86.0,60.0,24.0,20.0,40.0
2995,18.0,2.0,40.0,1.0,0.0,6.0,14.0,15.0,13.0,20.0,30.0,7.0,139.0,84.0,29.0,3.0,35.0,22.0,27.0,17.0,117.0,24.0,31.0,136.0,121.0,86.0,63.0,56.0,43.0,53.0
3044,3.0,7.0,6.0,32.0,2.0,5.0,4.0,75.0,126.0,60.0,17.0,0.0,24.0,25.0,27.0,33.0,28.0,38.0,23.0,15.0,30.0,137.0,100.0,144.0,118.0,83.0,18.0,49.0,41.0,89.0
3093,25.0,9.0,8.0,2.0,16.0,6.0,15.0,82.0,128.0,4.0,145.0,3.0,139.0,23.0,127.0,38.0,30.0,24.0,27.0,0.0,117.0,137.0,107.0,35.0,119.0,13.0,14.0,50.0,47.0,17.0
3142,5.0,1.0,8.0,4.0,6.0,3.0,0.0,80.0,126.0,49.0,21.0,23.0,144.0,20.0,92.0,32.0,59.0,46.0,43.0,13.0,28.0,34.0,100.0,137.0,118.0,33.0,39.0,35.0,53.0,47.0
3191,4.0,3.0,0.0,37.0,11.0,1.0,2.0,13.0,126.0,43.0,22.0,29.0,138.0,80.0,38.0,82.0,7.0,25.0,59.0,164.0,32.0,24.0,100.0,135.0,34.0,83.0,49.0,54.0,23.0,41.0
3240,16.0,8.0,0.0,33.0,27.0,9.0,7.0,12.0,4.0,17.0,147.0,34.0,138.0,15.0,37.0,29.0,30.0,18.0,23.0,28.0,31.0,21.0,98.0,135.0,6.0,83.0,46.0,22.0,41.0,64.0
3289,19.0,8.0,7.0,33.0,11.0,1.0,4.0,12.0,0.0,18.0,163.0,26.0,24.0,82.0,2.0,6.0,34.0,41.0,53.0,164.0,115.0,3.0,97.0,136.0,119.0,16.0,5.0,22.0,42.0,61.0
3338,0.0,4.0,3.0,35.0,1.0,15.0,72.0,77.0,96.0,6.0,137.0,29.0,23.0,86.0,27.0,32.0,45.0,7.0,25.0,10.0,38.0,138.0,104.0,20.0,120.0,88.0,52.0,22.0,47.0,9.0
3387,1.0,30.0,2.0,43.0,18.0,20.0,13.0,93.0,6.0,23.0,162.0,38.0,28.0,4.0,142.0,33.0,56.0,24.0,64.0,16.0,118.0,134.0,31.0,25.0,42.0,90.0,27.0,60.0,50.0,49.0
3436,6.0,1.0,24.0,31.0,0.0,48.0,13.0,15.0,107.0,11.0,162.0,3.0,5.0,54.0,143.0,7.0,71.0,39.0,38.0,164.0,118.0,35.0,4.0,40.0,33.0,2.0,34.0,29.0,53.0,49.0
3485,0.0,1.0,38.0,2.0,30.0,54.0,26.0,7.0,122.0,56.0,133.0,5.0,16.0,42.0,140.0,4.0,3.0,59.0,8.0,31.0,95.0,151.0,39.0,150.0,46.0,21.0,13.0,64.0,58.0,29.0
3534,15.0,3.0,6.0,30.0,14.0,9.0,5.0,83.0,11.0,8.0,146.0,0.0,1.0,21.0,145.0,29.0,28.0,47.0,49.0,23.0,114.0,2.0,99.0,34.0,25.0,24.0,17.0,22.0,46.0,44.0
3583,5.0,0.0,2.0,32.0,103.0,16.0,11.0,80.0,14.0,21.0,136.0,4.0,138.0,72.0,92.0,3.0,1.0,52.0,6.0,13.0,116.0,38.0,9.0,31.0,120.0,33.0,23.0,37.0,50.0,46.0
3632,5.0,0.0,94.0,32.0,2.0,8.0,3.0,83.0,105.0,46.0,4.0,1.0,25.0,59.0,92.0,29.0,34.0,49.0,31.0,164.0,24.0,37.0,16.0,35.0,26.0,23.0,53.0,54.0,48.0,56.0
3681,14.0,1.0,31.0,34.0,12.0,3.0,13.0,82.0,17.0,19.0,24.0,73.0,138.0,56.0,143.0,6.0,39.0,10.0,29.0,164.0,28.0,38.0,11.0,37.0,32.0,26.0,5.0,4.0,50.0,47.0
3730,4.0,16.0,5.0,0.0,19.0,29.0,13.0,31.0,12.0,43.0,148.0,2.0,145.0,11.0,144.0,3.0,36.0,21.0,28.0,17.0,116.0,6.0,30.0,135.0,127.0,89.0,52.0,25.0,45.0,18.0
3779,0.0,2.0,24.0,30.0,11.0,4.0,1.0,17.0,23.0,50.0,13.0,77.0,139.0,22.0,38.0,29.0,72.0,53.0,28.0,164.0,117.0,39.0,104.0,136.0,127.0,59.0,49.0,27.0,52.0,18.0
3828,22.0,1.0,29.0,36.0,12.0,20.0,3.0,0.0,18.0,53.0,4.0,5.0,33.0,84.0,37.0,32.0,40.0,56.0,41.0,164.0,118.0,42.0,10.0,133.0,30.0,9.0,2.0,28.0,49.0,11.0
3877,8.0,7.0,3.0,1.0,2.0,9.0,5.0,78.0,11.0,18.0,161.0,0.0,144.0,88.0,93.0,41.0,33.0,42.0,25.0,16.0,117.0,6.0,17.0,135.0,36.0,89.0,48.0,21.0,38.0,40.0
3926,21.0,4.0,2.0,0.0,31.0,19.0,1.0,75.0,107.0,23.0,155.0,36.0,139.0,17.0,10.0,6.0,61.0,27.0,18.0,164.0,35.0,29.0,100.0,136.0,122.0,86.0,28.0,30.0,42.0,64.0
3975,19.0,8.0,37.0,7.0,3.0,1.0,14.0,0.0,15.0,51.0,21.0,27.0,6.0,75.0,10.0,5.0,72.0,57.0,30.0,164.0,117.0,135.0,104.0,34.0,38.0,4.0,50.0,45.0,55.0,49.0
4024,17.0,1.0,5.0,9.0,4.0,19.0,0.0,11.0,107.0,14.0,148.0,90.0,26.0,39.0,32.0,6.0,70.0,12.0,34.0,13.0,7.0,31.0,99.0,136.0,120.0,21.0,47.0,25.0,41.0,43.0
4073,1.0,0.0,8.0,6.0,10.0,18.0,2.0,73.0,105.0,19.0,146.0,63.0,27.0,28.0,30.0,3.0,52.0,41.0,26.0,164.0,31.0,23.0,98.0,137.0,118.0,85.0,43.0,21.0,40.0,47.0
4122,15.0,6.0,38.0,0.0,12.0,21.0,2.0,20.0,18.0,3.0,19.0,39.0,5.0,27.0,144.0,4.0,31.0,51.0,41.0,1.0,118.0,136.0,9.0,32.0,122.0,74.0,40.0,48.0,47.0,49.0
4171,5.0,17.0,2.0,7.0,0.0,3.0,22.0,14.0,126.0,21.0,4.0,36.0,138.0,16.0,1.0,35.0,56.0,43.0,13.0,164.0,117.0,29.0,30.0,25.0,37.0,18.0,45.0,9.0,41.0,63.0
4220,10.0,0.0,2.0,4.0,11.0,74.0,3.0,28.0,14.0,5.0,6.0,8.0,139.0,18.0,29.0,1.0,32.0,43.0,54.0,164.0,115.0,134.0,95.0,135.0,30.0,20.0,59.0,50.0,41.0,60.0
4269,13.0,22.0,8.0,2.0,17.0,0.0,6.0,7.0,105.0,54.0,9.0,24.0,144.0,35.0,11.0,5.0,70.0,51.0,27.0,164.0,119.0,33.0,19.0,134.0,30.0,38.0,43.0,29.0,45.0,3.0
4318,6.0,42.0,0.0,34.0,10.0,55.0,1.0,81.0,15.0,14.0,162.0,2.0,4.0,16.0,7.0,35.0,71.0,48.0,25.0,164.0,28.0,5.0,98.0,37.0,127.0,29.0,31.0,30.0,47.0,45.0
4367,19.0,15.0,5.0,7.0,28.0,89.0,6.0,2.0,10.0,18.0,146.0,31.0,139.0,1.0,30.0,33.0,52.0,44.0,54.0,164.0,38.0,26.0,29.0,27.0,32.0,85.0,46.0,25.0,43.0,17.0
4416,5.0,4.0,31.0,1.0,2.0,18.0,12.0,79.0,15.0,49.0,160.0,65.0,145.0,10.0,8.0,39.0,52.0,3.0,25.0,164.0,6.0,134.0,29.0,21.0,34.0,90.0,56.0,23.0,61.0,28.0
4465,4.0,0.0,27.0,34.0,16.0,3.0,18.0,81.0,119.0,9.0,21.0,25.0,7.0,20.0,143.0,35.0,72.0,39.0,43.0,164.0,28.0,2.0,102.0,37.0,32.0,42.0,54.0,30.0,55.0,12.0
4514,0.0,9.0,5.0,1.0,4.0,43.0,3.0,15.0,23.0,20.0,13.0,2.0,7.0,22.0,12.0,32.0,62.0,48.0,16.0,164.0,28.0,35.0,100.0,135.0,127.0,39.0,51.0,55.0,47.0,19.0
4563,0.0,2.0,1.0,6.0,13.0,18.0,17.0,20.0,16.0,11.0,162.0,9.0,145.0,36.0,28.0,40.0,29.0,53.0,32.0,164.0,117.0,133.0,10.0,134.0,5.0,42.0,47.0,41.0,15.0,54.0
4612,1.0,7.0,33.0,37.0,10.0,13.0,93.0,18.0,3.0,51.0,20.0,0.0,138.0,39.0,29.0,41.0,27.0,6.0,49.0,164.0,31.0,134.0,8.0,26.0,38.0,22.0,40.0,34.0,60.0,50.0
4661,16.0,2.0,34.0,1.0,20.0,62.0,22.0,4.0,124.0,64.0,8.0,26.0,11.0,3.0,5.0,27.0,30.0,0.0,136.0,33.0,6.0,154.0,68.0,10.0,38.0,55.0,66.0,132.0,42.0,63.0
4710,9.0,0.0,24.0,8.0,6.0,5.0,7.0,4.0,15.0,40.0,162.0,25.0,144.0,74.0,3.0,34.0,28.0,16.0,30.0,10.0,29.0,134.0,101.0,135.0,32.0,35.0,52.0,54.0,49.0,53.0
4759,17.0,12.0,2.0,8.0,0.0,16.0,6.0,38.0,24.0,44.0,3.0,14.0,37.0,13.0,25.0,9.0,61.0,46.0,7.0,164.0,120.0,4.0,103.0,136.0,32.0,40.0,23.0,35.0,45.0,15.0
4808,5.0,0.0,36.0,31.0,11.0,39.0,6.0,14.0,13.0,42.0,19.0,7.0,2.0,16.0,143.0,8.0,49.0,60.0,58.0,164.0,30.0,24.0,4.0,3.0,28.0,18.0,46.0,54.0,22.0,45.0
4857,0.0,1.0,3.0,9.0,4.0,41.0,11.0,80.0,100.0,10.0,162.0,14.0,138.0,90.0,25.0,43.0,59.0,20.0,26.0,164.0,8.0,22.0,18.0,6.0,35.0,16.0,49.0,54.0,37.0,39.0
