,CPT1B_DEL,PTEN_DEL,DYRK4_MUT,ETS1_DEL,RPL23AP82_DEL,OR4C11_DEL,CHKB-CPT1B_DEL,BRAF_MUT,SELT_DEL,THSD7B_AMP,DPP10_DEL,KLLN_DEL,CHIA_DEL,TP53_MUT,RABL2B_DEL,TBC1D3G_DEL,VCX_DEL,DBF4_MUT,ZNF826P_DEL,ZNF350_AMP,FRMPD2P1_DEL,TBC1D3H_DEL,MOV10L1_DEL,RP11-165H20.1_DEL,SGCZ_DEL,RAPGEF2_MUT,PIK3R4_MUT,SCYL2_MUT,EID3_DEL,TTTY16_DEL
567,1029.0,12743.0,104.0,1568.0,190.0,6.0,1.0,484.0,40.0,92.0,12553.0,30.0,24.0,7.0,19910.0,11.0,6686.0,16629.0,8147.0,21426.0,8352.0,2.0,10090.0,866.0,4172.0,109.0,16442.0,3.0,415.0,85.0
616,2099.0,5.0,16807.0,440.0,19.0,665.0,4614.0,274.0,201.0,583.0,56.0,516.0,588.0,6.0,19985.0,8734.0,6676.0,441.0,154.0,918.0,8.0,8123.0,10767.0,123.0,5346.0,286.0,141.0,133.0,681.0,212.0
665,4778.0,22.0,16775.0,752.0,284.0,5510.0,4586.0,774.0,297.0,17.0,2175.0,720.0,6721.0,35.0,628.0,88.0,733.0,736.0,131.0,21402.0,0.0,4.0,10045.0,23.0,92.0,241.0,41.0,1371.0,209.0,47.0
714,549.0,35.0,26.0,7342.0,2873.0,2638.0,3889.0,1239.0,16.0,194.0,280.0,1.0,14.0,82.0,197.0,1592.0,3453.0,16635.0,25.0,1763.0,37.0,242.0,189.0,165.0,2.0,422.0,16457.0,1084.0,2864.0,41.0
763,5312.0,121.0,174.0,129.0,2575.0,255.0,3790.0,432.0,233.0,130.0,36.0,12.0,8.0,133.0,19924.0,8356.0,59.0,513.0,8671.0,33.0,161.0,7493.0,243.0,0.0,20.0,622.0,138.0,1570.0,11410.0,46.0
812,20.0,21.0,1696.0,5501.0,823.0,130.0,158.0,17054.0,323.0,81.0,257.0,11.0,7059.0,538.0,536.0,6.0,7167.0,341.0,51.0,899.0,8458.0,1028.0,10118.0,6352.0,2.0,16737.0,68.0,16965.0,182.0,43.0
861,175.0,31.0,99.0,5588.0,286.0,8.0,396.0,898.0,7.0,22823.0,399.0,465.0,117.0,26.0,556.0,11920.0,376.0,16642.0,198.0,2506.0,989.0,8300.0,486.0,883.0,4581.0,16743.0,9.0,16967.0,2666.0,1293.0
910,119.0,45.0,9.0,755.0,6381.0,17.0,4358.0,17064.0,294.0,157.0,56.0,14.0,196.0,153.0,2221.0,1286.0,5901.0,16642.0,8142.0,316.0,28.0,2484.0,10145.0,6.0,5252.0,16749.0,16459.0,64.0,10928.0,94.0
959,14.0,190.0,1041.0,4601.0,858.0,120.0,4577.0,269.0,234.0,12.0,147.0,635.0,0.0,565.0,909.0,577.0,6147.0,1237.0,8111.0,21911.0,2.0,408.0,209.0,151.0,521.0,278.0,16438.0,1388.0,10805.0,35.0
1008,41.0,11984.0,207.0,140.0,13.0,856.0,62.0,11.0,369.0,783.0,8575.0,30.0,3312.0,26.0,25.0,141.0,3423.0,799.0,8139.0,340.0,10216.0,149.0,12247.0,521.0,690.0,611.0,16466.0,1166.0,435.0,6504.0
1057,38.0,221.0,16925.0,136.0,26.0,190.0,4572.0,222.0,11251.0,1513.0,12819.0,4.0,295.0,1.0,1535.0,11954.0,6850.0,8.0,261.0,200.0,8613.0,697.0,56.0,3140.0,308.0,16820.0,1226.0,1068.0,112.0,5123.0
1106,1141.0,742.0,174.0,7178.0,66.0,7250.0,150.0,17071.0,122.0,12.0,8483.0,185.0,224.0,17081.0,19960.0,1279.0,30.0,47.0,119.0,21410.0,43.0,308.0,12484.0,231.0,775.0,1110.0,1058.0,1516.0,178.0,6349.0
1155,24.0,10899.0,20.0,246.0,7.0,295.0,111.0,92.0,11202.0,31.0,12776.0,87.0,6421.0,13.0,0.0,12348.0,648.0,9645.0,1104.0,2.0,1134.0,8969.0,418.0,5747.0,121.0,5159.0,385.0,2902.0,138.0,7122.0
1204,22.0,12691.0,29.0,1690.0,347.0,3.0,120.0,16992.0,37.0,2761.0,12565.0,21.0,44.0,35.0,74.0,96.0,27.0,543.0,88.0,709.0,724.0,8314.0,31.0,710.0,4638.0,318.0,5.0,1143.0,38.0,54.0
1253,4710.0,12701.0,731.0,5580.0,6201.0,31.0,69.0,221.0,825.0,17.0,1530.0,18645.0,237.0,137.0,4.0,215.0,6789.0,16638.0,846.0,1868.0,139.0,68.0,910.0,43.0,4694.0,1486.0,456.0,1659.0,926.0,4951.0
1302,1.0,12694.0,16759.0,542.0,6171.0,549.0,7.0,17036.0,897.0,37.0,12526.0,1443.0,7217.0,2536.0,3.0,213.0,578.0,16619.0,733.0,194.0,8332.0,2670.0,10068.0,696.0,61.0,189.0,10.0,8.0,2.0,1515.0
1351,5.0,116.0,190.0,4995.0,6.0,2086.0,535.0,48.0,58.0,36.0,181.0,44.0,1955.0,134.0,11.0,539.0,822.0,16662.0,20.0,187.0,2631.0,8360.0,726.0,5359.0,664.0,16797.0,4.0,16991.0,1015.0,6714.0
1400,153.0,12720.0,671.0,38.0,71.0,765.0,3721.0,1945.0,324.0,314.0,451.0,100.0,52.0,380.0,0.0,287.0,5904.0,72.0,215.0,1818.0,797.0,528.0,163.0,85.0,2268.0,16716.0,4.0,1226.0,622.0,7110.0
1449,5930.0,362.0,731.0,19.0,225.0,261.0,4146.0,17058.0,2659.0,988.0,162.0,29.0,1891.0,86.0,0.0,140.0,95.0,93.0,138.0,21443.0,9542.0,1511.0,1198.0,102.0,5964.0,697.0,123.0,373.0,303.0,351.0
1498,136.0,11571.0,2109.0,5301.0,234.0,4.0,17.0,252.0,793.0,2871.0,25.0,2656.0,21.0,0.0,15.0,384.0,6405.0,2122.0,87.0,21426.0,279.0,9792.0,27.0,12.0,3.0,1745.0,147.0,14.0,19.0,91.0
1547,5.0,53.0,3.0,98.0,307.0,4961.0,246.0,16960.0,159.0,22885.0,16.0,87.0,200.0,1435.0,14.0,149.0,70.0,91.0,8155.0,21454.0,1284.0,2763.0,0.0,244.0,28.0,451.0,390.0,16517.0,1620.0,29.0
1596,32.0,1312.0,11.0,0.0,90.0,2620.0,1142.0,46.0,191.0,29.0,8.0,30.0,1358.0,344.0,642.0,7719.0,137.0,337.0,77.0,1958.0,9691.0,169.0,18.0,49.0,641.0,14.0,16436.0,22.0,10433.0,60.0
1645,58.0,146.0,6.0,0.0,7079.0,75.0,320.0,19.0,10334.0,16.0,31.0,34.0,501.0,118.0,559.0,724.0,685.0,1460.0,8172.0,750.0,8641.0,8360.0,122.0,6226.0,3.0,519.0,2269.0,627.0,10968.0,1449.0
1694,22.0,5.0,1.0,4838.0,13.0,0.0,462.0,52.0,30.0,11.0,45.0,18646.0,1319.0,17054.0,193.0,2518.0,6211.0,592.0,8116.0,237.0,1135.0,511.0,33.0,779.0,6351.0,993.0,2.0,134.0,1334.0,18.0
1743,0.0,352.0,16787.0,218.0,473.0,56.0,4313.0,65.0,260.0,2196.0,20.0,18656.0,747.0,742.0,669.0,86.0,216.0,887.0,8134.0,321.0,1403.0,8283.0,29.0,7.0,658.0,16727.0,733.0,13.0,10891.0,139.0
1792,0.0,1492.0,81.0,14.0,43.0,1196.0,762.0,61.0,494.0,574.0,31.0,32.0,22.0,1178.0,17.0,2667.0,402.0,864.0,149.0,21485.0,135.0,1071.0,137.0,769.0,589.0,16814.0,786.0,2774.0,10912.0,10.0
1841,6.0,1123.0,1554.0,7.0,81.0,1767.0,398.0,0.0,498.0,21.0,16.0,74.0,6645.0,2863.0,19983.0,810.0,2.0,22.0,83.0,21423.0,2228.0,9762.0,10672.0,5936.0,3.0,178.0,14.0,16972.0,11232.0,156.0
1890,1.0,1357.0,16783.0,5623.0,28.0,5593.0,17.0,3.0,11219.0,749.0,0.0,39.0,538.0,1241.0,89.0,11906.0,6733.0,764.0,8134.0,21479.0,1231.0,8314.0,438.0,886.0,60.0,16738.0,1488.0,479.0,10884.0,73.0
1939,0.0,476.0,221.0,132.0,295.0,7234.0,10.0,24.0,1665.0,449.0,1853.0,65.0,3746.0,92.0,131.0,1040.0,297.0,48.0,10280.0,223.0,2478.0,347.0,101.0,6289.0,2.0,63.0,121.0,469.0,10833.0,64.0
1988,23.0,1094.0,181.0,2666.0,118.0,329.0,9.0,1047.0,205.0,488.0,12552.0,18521.0,179.0,17070.0,19983.0,1234.0,5892.0,238.0,8131.0,21435.0,6.0,511.0,36.0,17.0,597.0,750.0,231.0,999.0,2182.0,1073.0
2037,133.0,12733.0,1060.0,5265.0,9.0,1.0,2938.0,17040.0,40.0,22829.0,12792.0,563.0,60.0,2749.0,437.0,1206.0,99.0,1319.0,8107.0,243.0,741.0,1488.0,10080.0,3197.0,178.0,16762.0,237.0,890.0,836.0,242.0
2086,154.0,91.0,16785.0,364.0,113.0,182.0,3520.0,17028.0,10241.0,355.0,12638.0,859.0,977.0,2747.0,519.0,1301.0,5864.0,16610.0,7.0,875.0,812.0,1960.0,10081.0,706.0,5162.0,215.0,16422.0,453.0,84.0,8.0
2135,9.0,315.0,232.0,14.0,23.0,288.0,3452.0,24.0,211.0,2298.0,1675.0,78.0,5988.0,60.0,19994.0,35.0,515.0,1307.0,957.0,2170.0,13.0,17.0,10119.0,5864.0,10.0,16782.0,16469.0,5.0,10897.0,29.0
2184,486.0,16.0,16718.0,36.0,3267.0,53.0,4114.0,133.0,5.0,67.0,8850.0,679.0,3825.0,238.0,19923.0,10287.0,71.0,82.0,10001.0,929.0,32.0,321.0,12501.0,1678.0,1270.0,397.0,16395.0,12.0,366.0,6876.0
2233,264.0,1.0,595.0,1609.0,43.0,4910.0,253.0,33.0,61.0,1558.0,12555.0,26.0,1124.0,77.0,87.0,11915.0,150.0,16638.0,1803.0,21903.0,216.0,749.0,10056.0,320.0,208.0,615.0,16392.0,894.0,10902.0,843.0
2282,434.0,12702.0,16812.0,7.0,23.0,85.0,4271.0,189.0,10298.0,1344.0,12561.0,18522.0,6460.0,128.0,142.0,1896.0,473.0,16638.0,2636.0,21448.0,53.0,8343.0,404.0,1784.0,5261.0,190.0,1482.0,19.0,83.0,1315.0
2331,5830.0,8554.0,18.0,95.0,57.0,2657.0,1130.0,12.0,81.0,1972.0,544.0,1048.0,98.0,426.0,19971.0,497.0,729.0,16630.0,9913.0,21475.0,592.0,73.0,513.0,676.0,21.0,1896.0,16442.0,16978.0,10442.0,6549.0
2380,1.0,62.0,216.0,24.0,145.0,950.0,254.0,218.0,11194.0,430.0,12798.0,146.0,16.0,17015.0,130.0,11897.0,263.0,197.0,114.0,1271.0,852.0,8344.0,84.0,513.0,5195.0,59.0,16451.0,964.0,861.0,2461.0
2429,4.0,12741.0,688.0,1.0,6085.0,289.0,41.0,17038.0,166.0,22812.0,929.0,18636.0,7066.0,1339.0,19902.0,1579.0,421.0,16625.0,2154.0,21434.0,1289.0,1502.0,10074.0,2864.0,1181.0,11.0,1835.0,1966.0,1983.0,204.0
2478,247.0,153.0,24.0,1384.0,51.0,171.0,32.0,1383.0,601.0,2442.0,414.0,18648.0,676.0,4.0,138.0,10211.0,1008.0,16612.0,37.0,54.0,43.0,9424.0,27.0,136.0,532.0,77.0,10.0,242.0,42.0,827.0
2527,47.0,34.0,5.0,520.0,0.0,222.0,312.0,17040.0,11154.0,22851.0,12769.0,838.0,108.0,17059.0,42.0,658.0,898.0,303.0,819.0,21428.0,149.0,2028.0,27.0,1019.0,969.0,155.0,90.0,556.0,1292.0,467.0
2576,62.0,2222.0,1.0,9.0,3.0,7161.0,12.0,17048.0,12466.0,762.0,8881.0,569.0,39.0,30.0,19972.0,9715.0,496.0,16633.0,563.0,108.0,15.0,9116.0,860.0,472.0,2782.0,75.0,645.0,35.0,34.0,1420.0
2625,5253.0,702.0,0.0,4.0,225.0,2621.0,951.0,1332.0,10279.0,699.0,540.0,18644.0,6470.0,52.0,24.0,50.0,5902.0,175.0,366.0,21466.0,331.0,2094.0,138.0,189.0,5274.0,166.0,17.0,69.0,53.0,1802.0
2674,5350.0,2771.0,42.0,8.0,6359.0,2160.0,2672.0,16958.0,10303.0,2.0,12574.0,2545.0,2006.0,706.0,842.0,11940.0,1679.0,1560.0,8191.0,21478.0,504.0,2701.0,746.0,364.0,1502.0,14.0,9.0,28.0,943.0,39.0
2723,48.0,12656.0,386.0,919.0,787.0,5373.0,364.0,158.0,1553.0,442.0,12556.0,18642.0,0.0,100.0,19930.0,2114.0,61.0,2440.0,615.0,764.0,828.0,8274.0,10035.0,2816.0,832.0,2663.0,2.0,16940.0,1134.0,5897.0
2772,111.0,17.0,1535.0,12.0,315.0,86.0,9.0,7.0,10262.0,22821.0,2113.0,18620.0,776.0,689.0,197.0,262.0,5894.0,16627.0,24.0,1671.0,2.0,239.0,10114.0,166.0,389.0,26.0,1228.0,444.0,10841.0,7195.0
2821,33.0,12727.0,27.0,0.0,6292.0,1060.0,1.0,29.0,10247.0,22837.0,12540.0,18590.0,263.0,17031.0,513.0,2602.0,195.0,55.0,480.0,490.0,8552.0,8266.0,179.0,24.0,5221.0,612.0,1451.0,26.0,10881.0,21.0
2870,883.0,12642.0,270.0,19.0,243.0,0.0,3.0,301.0,1469.0,23301.0,12528.0,754.0,6342.0,1324.0,42.0,655.0,10.0,16605.0,151.0,15.0,877.0,8263.0,47.0,5603.0,1483.0,80.0,16368.0,1724.0,709.0,214.0
2919,163.0,149.0,7.0,394.0,6304.0,416.0,48.0,749.0,10270.0,1816.0,389.0,18622.0,1499.0,17022.0,116.0,1078.0,449.0,16612.0,615.0,15.0,2606.0,8263.0,60.0,9.0,2448.0,220.0,16437.0,20.0,10874.0,6860.0
2968,5.0,797.0,323.0,5132.0,200.0,75.0,4035.0,12.0,14.0,2329.0,458.0,2710.0,961.0,13.0,549.0,97.0,5910.0,134.0,8180.0,21476.0,8494.0,2011.0,10143.0,5869.0,628.0,1315.0,471.0,1330.0,276.0,7208.0
3017,149.0,269.0,17.0,61.0,23.0,65.0,4214.0,2.0,12246.0,22832.0,8796.0,477.0,2676.0,568.0,19923.0,10219.0,3916.0,675.0,305.0,764.0,9670.0,2222.0,209.0,6352.0,1372.0,730.0,1655.0,1045.0,94.0,1981.0
3066,450.0,12762.0,1652.0,2742.0,71.0,781.0,225.0,10.0,847.0,2413.0,142.0,18651.0,34.0,17076.0,19985.0,265.0,5876.0,114.0,55.0,61.0,2479.0,398.0,10145.0,5851.0,157.0,16782.0,16435.0,106.0,33.0,7206.0
3115,20398.0,12680.0,504.0,5017.0,37.0,48.0,4576.0,33.0,983.0,1396.0,79.0,609.0,930.0,1884.0,21064.0,12473.0,6478.0,1301.0,483.0,22421.0,8480.0,8882.0,367.0,229.0,20394.0,945.0,2046.0,136.0,159.0,7139.0
3164,42.0,12775.0,752.0,5145.0,6408.0,58.0,190.0,90.0,10302.0,56.0,7.0,18539.0,3.0,1878.0,777.0,225.0,5973.0,14.0,8170.0,21418.0,41.0,2797.0,13.0,5897.0,64.0,1631.0,526.0,16983.0,46.0,24.0
3213,64.0,12740.0,1929.0,23.0,7024.0,67.0,3100.0,17047.0,774.0,274.0,38.0,793.0,49.0,17053.0,19904.0,434.0,913.0,87.0,60.0,237.0,2720.0,691.0,10042.0,882.0,4312.0,16758.0,16436.0,121.0,558.0,10.0
3262,2.0,52.0,99.0,4875.0,373.0,3.0,190.0,202.0,10287.0,15.0,5.0,18514.0,38.0,43.0,528.0,228.0,549.0,16628.0,210.0,260.0,8564.0,240.0,10059.0,78.0,5238.0,278.0,11.0,311.0,517.0,403.0
3311,6.0,756.0,77.0,1245.0,755.0,4.0,556.0,17.0,10264.0,188.0,488.0,15.0,10.0,16.0,19913.0,11898.0,5999.0,718.0,676.0,21891.0,8571.0,569.0,10106.0,5773.0,677.0,1113.0,16453.0,141.0,744.0,136.0
3360,111.0,12.0,1827.0,51.0,2954.0,1.0,4125.0,18.0,12235.0,70.0,0.0,18634.0,46.0,389.0,19903.0,739.0,461.0,16620.0,10143.0,21420.0,9657.0,141.0,12568.0,6353.0,6079.0,16723.0,1877.0,885.0,57.0,7123.0
3409,172.0,12661.0,1059.0,171.0,2454.0,7.0,4210.0,297.0,765.0,713.0,36.0,896.0,47.0,43.0,717.0,10005.0,6886.0,1578.0,587.0,21417.0,8302.0,334.0,2550.0,1641.0,2156.0,16723.0,156.0,151.0,10866.0,541.0
3458,28.0,241.0,942.0,21.0,68.0,12.0,4241.0,54.0,1377.0,18.0,113.0,189.0,115.0,116.0,117.0,2329.0,7185.0,16628.0,2164.0,21409.0,335.0,2488.0,10042.0,64.0,62.0,16767.0,521.0,16955.0,10843.0,1225.0
3507,7.0,12.0,1761.0,63.0,109.0,25.0,119.0,415.0,1146.0,200.0,70.0,3.0,2827.0,23.0,16.0,86.0,5503.0,16659.0,127.0,45.0,1215.0,2126.0,596.0,3248.0,56.0,16773.0,61.0,27.0,297.0,2664.0
3556,5.0,301.0,448.0,534.0,483.0,2.0,111.0,17082.0,7.0,50.0,372.0,44.0,6739.0,2721.0,365.0,43.0,6908.0,657.0,774.0,13.0,23.0,2460.0,10116.0,1987.0,1369.0,1260.0,288.0,399.0,10915.0,5056.0
3605,7.0,33.0,1661.0,799.0,249.0,385.0,360.0,2173.0,1668.0,1345.0,200.0,2.0,1722.0,954.0,691.0,21.0,6466.0,1198.0,545.0,20.0,39.0,866.0,2563.0,5605.0,489.0,54.0,2780.0,825.0,62.0,798.0
3654,100.0,9.0,425.0,5862.0,66.0,151.0,41.0,516.0,677.0,22845.0,12850.0,2.0,246.0,732.0,19905.0,358.0,747.0,102.0,8078.0,192.0,231.0,29.0,40.0,1499.0,2543.0,16771.0,625.0,1363.0,10871.0,254.0
3703,221.0,2150.0,100.0,23.0,6390.0,5.0,4291.0,8.0,10299.0,4.0,359.0,7.0,77.0,522.0,692.0,376.0,5903.0,16651.0,763.0,60.0,728.0,1986.0,224.0,5878.0,2527.0,137.0,16468.0,1860.0,1157.0,17.0
3752,656.0,16.0,598.0,6.0,6526.0,40.0,85.0,239.0,43.0,124.0,207.0,0.0,6129.0,17063.0,103.0,262.0,92.0,857.0,1456.0,2.0,39.0,673.0,1422.0,294.0,1381.0,16737.0,81.0,314.0,820.0,2564.0
3801,80.0,263.0,264.0,55.0,6040.0,5943.0,102.0,16912.0,225.0,7.0,87.0,0.0,324.0,2257.0,16.0,31.0,307.0,57.0,364.0,523.0,8286.0,8267.0,716.0,1019.0,18.0,16767.0,137.0,16524.0,10869.0,205.0
3850,145.0,3.0,16770.0,130.0,6295.0,284.0,113.0,16923.0,10251.0,39.0,12535.0,20.0,1022.0,183.0,158.0,34.0,0.0,16628.0,8232.0,80.0,613.0,121.0,10065.0,30.0,1235.0,326.0,16445.0,635.0,381.0,569.0
3899,16.0,4.0,21.0,1.0,98.0,132.0,2.0,143.0,244.0,3.0,12843.0,11.0,185.0,17108.0,20209.0,37.0,173.0,5.0,8202.0,50.0,42.0,35.0,10149.0,5872.0,63.0,16777.0,16481.0,18.0,10937.0,7274.0
3948,2932.0,197.0,12.0,88.0,510.0,5.0,332.0,17055.0,74.0,1348.0,45.0,18643.0,968.0,36.0,375.0,1712.0,6984.0,23.0,8202.0,0.0,66.0,475.0,80.0,44.0,1450.0,119.0,16462.0,1022.0,2713.0,5133.0
3997,742.0,287.0,18.0,7205.0,2878.0,7320.0,16.0,16949.0,103.0,1537.0,359.0,18525.0,8.0,545.0,19964.0,81.0,3411.0,924.0,7988.0,34.0,2.0,722.0,41.0,80.0,231.0,16762.0,16463.0,66.0,1930.0,37.0
4046,2715.0,52.0,110.0,0.0,378.0,273.0,7.0,4971.0,80.0,268.0,358.0,10.0,196.0,40.0,577.0,161.0,126.0,9354.0,12591.0,712.0,8658.0,8694.0,12.0,6182.0,20726.0,7214.0,348.0,1043.0,157.0,1301.0
4095,5414.0,261.0,118.0,5060.0,6325.0,3.0,1134.0,17066.0,777.0,194.0,71.0,18502.0,435.0,93.0,19983.0,165.0,5898.0,135.0,8171.0,49.0,14.0,1724.0,10339.0,5816.0,2704.0,16775.0,16429.0,634.0,2458.0,1378.0
4144,5224.0,10.0,14.0,64.0,248.0,4820.0,33.0,17035.0,1533.0,2056.0,309.0,170.0,2248.0,17055.0,989.0,648.0,5848.0,46.0,1864.0,88.0,8569.0,90.0,10100.0,5773.0,5219.0,1986.0,172.0,766.0,768.0,7163.0
4193,6.0,3.0,16802.0,33.0,0.0,617.0,7.0,2325.0,1246.0,22895.0,116.0,18526.0,81.0,17071.0,5.0,581.0,1446.0,14.0,7719.0,177.0,2672.0,48.0,760.0,339.0,2517.0,373.0,9.0,61.0,845.0,6384.0
4242,132.0,84.0,1653.0,1230.0,6370.0,1323.0,156.0,171.0,164.0,22858.0,12576.0,18505.0,210.0,2179.0,69.0,11929.0,155.0,325.0,8147.0,137.0,1127.0,73.0,10126.0,61.0,447.0,246.0,32.0,5.0,420.0,221.0
4291,677.0,12764.0,567.0,6.0,54.0,5764.0,4548.0,61.0,50.0,22873.0,22.0,606.0,7154.0,211.0,1061.0,76.0,6697.0,79.0,8162.0,109.0,267.0,92.0,10133.0,2743.0,467.0,16825.0,1633.0,1596.0,359.0,1812.0
4340,5463.0,129.0,5.0,13.0,6388.0,1348.0,578.0,662.0,2068.0,22869.0,2426.0,18527.0,2451.0,2680.0,691.0,65.0,17.0,1.0,8178.0,21.0,61.0,1559.0,10139.0,104.0,5351.0,16765.0,16472.0,67.0,2247.0,436.0
4389,5953.0,143.0,9.0,1.0,2898.0,186.0,4159.0,243.0,1716.0,2574.0,59.0,840.0,40.0,163.0,2065.0,133.0,11.0,183.0,475.0,33.0,1995.0,5.0,12617.0,772.0,5950.0,1729.0,2623.0,783.0,10878.0,310.0
4438,2438.0,26.0,80.0,7107.0,1296.0,864.0,3865.0,78.0,21.0,2650.0,665.0,18607.0,3824.0,17.0,296.0,0.0,73.0,16605.0,9676.0,361.0,784.0,4.0,2514.0,6162.0,104.0,16703.0,16416.0,1416.0,2122.0,6908.0
4487,6396.0,81.0,85.0,5934.0,250.0,592.0,4425.0,998.0,7.0,130.0,12564.0,320.0,30.0,17075.0,19957.0,76.0,1008.0,22.0,204.0,209.0,8589.0,32.0,908.0,4195.0,175.0,123.0,423.0,16965.0,220.0,2129.0
4536,5244.0,271.0,16.0,5135.0,654.0,4895.0,4260.0,17042.0,3.0,45.0,12794.0,932.0,32.0,2716.0,19972.0,221.0,1.0,2.0,8136.0,21475.0,1409.0,171.0,525.0,1030.0,2588.0,250.0,7.0,1925.0,10892.0,7188.0
4585,5619.0,12061.0,955.0,1131.0,3328.0,7106.0,2624.0,17041.0,144.0,698.0,1291.0,61.0,770.0,2626.0,19973.0,1173.0,775.0,5.0,299.0,492.0,53.0,134.0,96.0,945.0,73.0,874.0,217.0,861.0,60.0,1695.0
4634,520.0,605.0,87.0,76.0,6021.0,5620.0,4366.0,17044.0,4.0,217.0,12774.0,1816.0,75.0,2417.0,19915.0,859.0,7.0,16617.0,8059.0,21425.0,536.0,2.0,433.0,586.0,4567.0,16744.0,1592.0,16967.0,10848.0,5201.0
4683,2.0,8520.0,39.0,7208.0,2857.0,7272.0,15.0,160.0,1674.0,232.0,8779.0,277.0,3703.0,17012.0,451.0,136.0,60.0,10.0,10282.0,798.0,9584.0,0.0,17.0,920.0,88.0,379.0,16451.0,16985.0,999.0,44.0
4732,2729.0,13.0,399.0,283.0,6853.0,1911.0,2974.0,25.0,29.0,116.0,12877.0,10.0,73.0,1301.0,21342.0,12447.0,2044.0,3.0,59.0,417.0,8609.0,15.0,1506.0,22.0,20448.0,7252.0,1293.0,4187.0,4300.0,939.0
4781,1144.0,166.0,38.0,569.0,277.0,2306.0,3006.0,4725.0,11422.0,134.0,12843.0,10.0,192.0,1086.0,454.0,165.0,6671.0,3.0,33.0,307.0,247.0,358.0,2.0,30.0,20459.0,6620.0,12429.0,420.0,4216.0,7155.0
