,Akt_pS473,Raptor,PEA15,Heregulin,Claudin-7,PDK1,GATA3,HER3,SHP-2_pY542,MIG-6,p21,NF2,Bax,ACC_pS79,VAV1,MSH6,Lck,Transglutaminase,Acetyl-a-Tubulin (Lys40),YAP_pS127,4E-BP1,PEA15_pS116,PDK1_pS241,TSC1,Porin,PDCD4,Paxillin,PI3K-p110-alpha,PAI-1,p90RSK_pT573
2799,7.0,79.0,16.0,22.0,13.0,42.0,19.0,4.0,3.0,25.0,55.0,60.0,0.0,1.0,61.0,26.0,24.0,31.0,2.0,37.0,114.0,62.0,47.0,39.0,15.0,48.0,20.0,27.0,43.0,44.0
2848,127.0,22.0,29.0,10.0,8.0,21.0,5.0,3.0,20.0,37.0,25.0,54.0,109.0,0.0,34.0,36.0,28.0,73.0,35.0,72.0,1.0,39.0,24.0,67.0,31.0,40.0,41.0,47.0,55.0,44.0
2897,32.0,83.0,6.0,135.0,152.0,39.0,147.0,1.0,7.0,142.0,54.0,17.0,4.0,29.0,63.0,27.0,5.0,8.0,120.0,61.0,114.0,43.0,42.0,30.0,60.0,57.0,3.0,41.0,45.0,46.0
2946,2.0,8.0,5.0,0.0,149.0,56.0,146.0,20.0,91.0,33.0,4.0,55.0,10.0,118.0,29.0,28.0,36.0,74.0,7.0,3.0,24.0,40.0,18.0,68.0,59.0,42.0,43.0,11.0,44.0,45.0
2995,7.0,26.0,18.0,136.0,15.0,4.0,144.0,135.0,24.0,1.0,2.0,40.0,108.0,28.0,35.0,5.0,141.0,78.0,31.0,37.0,111.0,17.0,41.0,8.0,83.0,42.0,43.0,87.0,0.0,46.0
3044,7.0,15.0,6.0,16.0,120.0,47.0,160.0,145.0,82.0,3.0,24.0,89.0,1.0,4.0,34.0,133.0,138.0,69.0,117.0,29.0,27.0,45.0,61.0,37.0,13.0,48.0,49.0,44.0,17.0,50.0
3093,7.0,0.0,3.0,10.0,150.0,6.0,13.0,4.0,74.0,5.0,24.0,40.0,23.0,31.0,34.0,30.0,38.0,41.0,32.0,27.0,26.0,19.0,17.0,63.0,20.0,47.0,16.0,43.0,49.0,50.0
3142,0.0,14.0,3.0,4.0,2.0,61.0,22.0,138.0,62.0,9.0,5.0,25.0,39.0,117.0,34.0,8.0,7.0,30.0,35.0,36.0,37.0,91.0,77.0,32.0,18.0,41.0,42.0,90.0,43.0,44.0
3191,3.0,10.0,0.0,24.0,129.0,19.0,148.0,133.0,14.0,25.0,4.0,51.0,38.0,6.0,32.0,26.0,140.0,87.0,33.0,1.0,40.0,44.0,46.0,43.0,89.0,48.0,20.0,92.0,21.0,49.0
3240,4.0,12.0,27.0,0.0,7.0,63.0,131.0,21.0,48.0,2.0,6.0,25.0,3.0,117.0,37.0,9.0,141.0,46.0,32.0,59.0,113.0,16.0,89.0,49.0,81.0,76.0,61.0,87.0,45.0,44.0
3289,35.0,15.0,42.0,3.0,9.0,44.0,155.0,135.0,19.0,25.0,4.0,24.0,6.0,32.0,5.0,7.0,140.0,30.0,29.0,37.0,39.0,92.0,43.0,41.0,18.0,45.0,20.0,64.0,47.0,48.0
3338,31.0,10.0,0.0,136.0,20.0,39.0,147.0,17.0,4.0,9.0,50.0,45.0,2.0,26.0,27.0,8.0,1.0,32.0,28.0,61.0,114.0,52.0,6.0,3.0,88.0,19.0,40.0,58.0,49.0,42.0
3387,8.0,9.0,4.0,21.0,12.0,6.0,27.0,20.0,33.0,26.0,3.0,23.0,1.0,117.0,35.0,10.0,22.0,51.0,126.0,38.0,113.0,13.0,63.0,32.0,82.0,76.0,61.0,87.0,42.0,43.0
3436,38.0,8.0,14.0,134.0,3.0,16.0,146.0,21.0,64.0,28.0,24.0,1.0,40.0,39.0,41.0,93.0,26.0,52.0,126.0,44.0,113.0,4.0,90.0,32.0,85.0,46.0,49.0,13.0,50.0,51.0
3485,121.0,29.0,3.0,133.0,0.0,5.0,146.0,4.0,13.0,1.0,25.0,2.0,40.0,33.0,37.0,15.0,139.0,39.0,119.0,42.0,112.0,65.0,56.0,77.0,17.0,44.0,45.0,19.0,46.0,47.0
3534,40.0,15.0,48.0,8.0,3.0,53.0,16.0,142.0,76.0,4.0,44.0,5.0,28.0,33.0,34.0,134.0,1.0,38.0,35.0,29.0,30.0,22.0,49.0,37.0,92.0,57.0,58.0,47.0,12.0,45.0
3583,121.0,7.0,27.0,22.0,3.0,15.0,18.0,135.0,62.0,1.0,23.0,2.0,37.0,38.0,36.0,11.0,26.0,4.0,32.0,43.0,113.0,5.0,76.0,31.0,84.0,44.0,45.0,89.0,46.0,48.0
3632,127.0,7.0,38.0,138.0,2.0,18.0,23.0,136.0,76.0,4.0,26.0,48.0,24.0,5.0,34.0,37.0,35.0,10.0,27.0,33.0,29.0,39.0,41.0,68.0,58.0,55.0,45.0,22.0,46.0,47.0
3681,121.0,14.0,5.0,0.0,31.0,11.0,145.0,133.0,12.0,143.0,49.0,24.0,4.0,7.0,26.0,6.0,8.0,65.0,28.0,71.0,113.0,39.0,40.0,72.0,27.0,38.0,22.0,45.0,17.0,54.0
3730,35.0,9.0,28.0,23.0,1.0,21.0,146.0,134.0,18.0,6.0,26.0,57.0,38.0,37.0,36.0,93.0,3.0,0.0,33.0,49.0,5.0,10.0,19.0,43.0,85.0,45.0,22.0,91.0,47.0,48.0
3779,40.0,18.0,3.0,5.0,7.0,10.0,12.0,139.0,2.0,27.0,39.0,28.0,9.0,120.0,4.0,1.0,141.0,32.0,127.0,72.0,114.0,50.0,42.0,67.0,79.0,41.0,43.0,13.0,55.0,45.0
3828,33.0,30.0,7.0,15.0,11.0,1.0,161.0,154.0,89.0,2.0,4.0,135.0,36.0,34.0,18.0,141.0,0.0,76.0,38.0,17.0,72.0,55.0,57.0,75.0,8.0,59.0,60.0,27.0,61.0,62.0
3877,61.0,28.0,58.0,15.0,119.0,26.0,11.0,14.0,93.0,17.0,135.0,4.0,161.0,38.0,33.0,144.0,1.0,32.0,0.0,34.0,73.0,27.0,59.0,3.0,44.0,25.0,62.0,57.0,63.0,64.0
3926,122.0,14.0,6.0,24.0,148.0,19.0,146.0,134.0,35.0,26.0,1.0,25.0,0.0,3.0,34.0,15.0,140.0,5.0,126.0,32.0,113.0,89.0,77.0,48.0,85.0,21.0,46.0,64.0,44.0,49.0
3975,35.0,6.0,22.0,134.0,18.0,21.0,5.0,9.0,8.0,26.0,33.0,41.0,24.0,3.0,31.0,2.0,37.0,65.0,30.0,0.0,113.0,43.0,42.0,34.0,79.0,19.0,57.0,54.0,49.0,50.0
4024,35.0,14.0,1.0,133.0,146.0,17.0,155.0,7.0,6.0,26.0,38.0,3.0,2.0,4.0,31.0,25.0,140.0,5.0,117.0,72.0,114.0,41.0,42.0,73.0,58.0,24.0,20.0,34.0,18.0,55.0
4073,4.0,10.0,6.0,135.0,38.0,20.0,13.0,16.0,83.0,27.0,34.0,8.0,3.0,117.0,28.0,9.0,37.0,73.0,120.0,24.0,25.0,41.0,39.0,67.0,58.0,55.0,43.0,40.0,44.0,45.0
4122,40.0,0.0,5.0,4.0,149.0,15.0,155.0,135.0,16.0,25.0,22.0,23.0,110.0,3.0,34.0,26.0,141.0,43.0,36.0,61.0,114.0,13.0,78.0,47.0,86.0,44.0,49.0,91.0,50.0,45.0
4171,33.0,15.0,42.0,137.0,19.0,5.0,145.0,135.0,1.0,26.0,38.0,6.0,23.0,117.0,4.0,17.0,29.0,30.0,126.0,61.0,27.0,40.0,44.0,66.0,0.0,57.0,58.0,46.0,49.0,52.0
4220,37.0,16.0,0.0,7.0,19.0,20.0,3.0,8.0,78.0,36.0,38.0,95.0,27.0,32.0,1.0,133.0,43.0,40.0,34.0,28.0,126.0,23.0,48.0,70.0,81.0,57.0,24.0,49.0,50.0,55.0
4269,38.0,3.0,23.0,9.0,19.0,49.0,2.0,10.0,8.0,40.0,53.0,4.0,27.0,33.0,34.0,36.0,135.0,39.0,123.0,28.0,29.0,5.0,47.0,70.0,22.0,1.0,54.0,95.0,57.0,58.0
4318,30.0,14.0,3.0,135.0,151.0,19.0,24.0,6.0,63.0,163.0,0.0,18.0,2.0,29.0,9.0,15.0,21.0,47.0,126.0,55.0,113.0,88.0,62.0,60.0,82.0,20.0,4.0,87.0,39.0,40.0
4367,2.0,30.0,28.0,1.0,150.0,20.0,155.0,22.0,4.0,143.0,60.0,65.0,43.0,34.0,33.0,27.0,25.0,91.0,36.0,64.0,114.0,15.0,90.0,69.0,12.0,66.0,21.0,87.0,47.0,48.0
4416,6.0,81.0,5.0,4.0,32.0,14.0,146.0,133.0,75.0,38.0,2.0,53.0,95.0,116.0,30.0,143.0,138.0,62.0,117.0,46.0,112.0,27.0,16.0,61.0,37.0,55.0,42.0,34.0,13.0,43.0
4465,7.0,81.0,6.0,24.0,19.0,2.0,8.0,135.0,11.0,93.0,28.0,56.0,100.0,37.0,35.0,163.0,139.0,64.0,117.0,0.0,34.0,57.0,43.0,5.0,1.0,3.0,17.0,74.0,47.0,49.0
4514,38.0,26.0,23.0,12.0,16.0,54.0,9.0,155.0,28.0,142.0,20.0,33.0,7.0,35.0,30.0,32.0,147.0,76.0,49.0,8.0,36.0,24.0,22.0,0.0,44.0,55.0,56.0,51.0,57.0,58.0
4563,34.0,77.0,65.0,23.0,10.0,18.0,20.0,142.0,30.0,27.0,56.0,7.0,38.0,119.0,41.0,133.0,1.0,35.0,37.0,42.0,115.0,15.0,29.0,4.0,2.0,46.0,49.0,14.0,50.0,52.0
4612,1.0,13.0,17.0,132.0,129.0,39.0,7.0,131.0,38.0,28.0,0.0,57.0,5.0,34.0,37.0,143.0,138.0,50.0,117.0,59.0,113.0,76.0,20.0,41.0,84.0,40.0,22.0,62.0,44.0,45.0
4661,33.0,9.0,28.0,2.0,12.0,16.0,19.0,22.0,29.0,27.0,0.0,50.0,42.0,38.0,37.0,144.0,26.0,65.0,117.0,43.0,113.0,15.0,91.0,34.0,14.0,59.0,48.0,90.0,49.0,20.0
4710,3.0,14.0,39.0,41.0,19.0,22.0,15.0,36.0,26.0,35.0,37.0,49.0,27.0,33.0,32.0,144.0,38.0,67.0,118.0,29.0,113.0,5.0,45.0,2.0,91.0,47.0,48.0,23.0,1.0,51.0
4759,4.0,78.0,18.0,22.0,12.0,20.0,17.0,144.0,67.0,135.0,2.0,95.0,42.0,33.0,38.0,134.0,25.0,48.0,32.0,1.0,127.0,79.0,49.0,41.0,9.0,45.0,46.0,7.0,47.0,63.0
4808,31.0,73.0,10.0,4.0,151.0,9.0,19.0,23.0,61.0,26.0,24.0,56.0,100.0,33.0,32.0,12.0,3.0,89.0,36.0,35.0,112.0,62.0,60.0,30.0,82.0,44.0,39.0,15.0,47.0,40.0
4857,4.0,15.0,20.0,26.0,2.0,13.0,3.0,6.0,8.0,134.0,53.0,95.0,36.0,32.0,71.0,133.0,137.0,68.0,34.0,74.0,29.0,48.0,19.0,69.0,5.0,55.0,54.0,22.0,52.0,50.0
