,Akt_pS473,GATA3,Syk,RAD51,Akt,TSC1,p14 Arf(BetA300-340A),PKC-alpha,beta-Catenin_pT41_S45,Chk1_pS345,Cyclin_B1,PI3K-p110-alpha,HER2_pY1248,FOXO3a,AMPK_alpha,4E-BP1_pT70,Chk1,TFRC,CDK1,Notch1,Src_pY416,VEGFR2,Tuberin_pT1462,ACC1,C-Raf(MP05-739),Rab25,TTF1,Annexin 1,Smad3,ADAR1
3680,21.0,13.0,69.0,32.0,16.0,34.0,25.0,36.0,54.0,56.0,46.0,155.0,40.0,89.0,17.0,98.0,4.0,48.0,74.0,63.0,71.0,57.0,64.0,12.0,20.0,23.0,42.0,5.0,88.0,97.0
3729,12.0,7.0,3.0,18.0,2.0,107.0,36.0,22.0,8.0,40.0,24.0,155.0,32.0,58.0,15.0,5.0,72.0,52.0,68.0,75.0,41.0,56.0,10.0,128.0,0.0,79.0,25.0,43.0,51.0,123.0
3778,12.0,15.0,50.0,82.0,25.0,17.0,24.0,32.0,142.0,14.0,53.0,111.0,72.0,125.0,29.0,5.0,9.0,69.0,43.0,83.0,18.0,7.0,34.0,108.0,46.0,27.0,96.0,71.0,41.0,13.0
3827,13.0,12.0,72.0,68.0,44.0,8.0,49.0,75.0,51.0,64.0,17.0,160.0,55.0,0.0,42.0,43.0,26.0,10.0,33.0,153.0,83.0,30.0,110.0,84.0,41.0,79.0,63.0,119.0,66.0,23.0
3876,16.0,28.0,7.0,41.0,8.0,4.0,71.0,55.0,26.0,33.0,34.0,30.0,20.0,147.0,74.0,12.0,52.0,113.0,66.0,13.0,45.0,24.0,35.0,96.0,44.0,116.0,78.0,65.0,58.0,59.0
3925,43.0,15.0,129.0,31.0,30.0,38.0,47.0,23.0,86.0,65.0,4.0,6.0,42.0,8.0,35.0,16.0,2.0,87.0,112.0,72.0,125.0,21.0,70.0,54.0,57.0,25.0,11.0,48.0,67.0,56.0
3974,9.0,22.0,19.0,23.0,38.0,16.0,40.0,2.0,134.0,104.0,114.0,31.0,81.0,25.0,88.0,76.0,21.0,17.0,18.0,7.0,123.0,70.0,124.0,129.0,3.0,27.0,122.0,13.0,20.0,49.0
4023,27.0,6.0,21.0,14.0,11.0,45.0,20.0,12.0,124.0,10.0,161.0,3.0,70.0,97.0,134.0,100.0,39.0,113.0,106.0,43.0,52.0,53.0,38.0,136.0,17.0,81.0,18.0,61.0,35.0,40.0
4072,17.0,31.0,5.0,34.0,35.0,129.0,32.0,15.0,42.0,40.0,47.0,28.0,21.0,4.0,113.0,123.0,69.0,75.0,30.0,23.0,20.0,52.0,125.0,97.0,54.0,105.0,13.0,58.0,46.0,84.0
4121,32.0,18.0,131.0,11.0,99.0,121.0,83.0,5.0,120.0,37.0,129.0,68.0,48.0,111.0,95.0,23.0,81.0,30.0,4.0,71.0,54.0,47.0,135.0,15.0,10.0,22.0,80.0,127.0,78.0,31.0
4170,11.0,28.0,64.0,32.0,37.0,25.0,56.0,1.0,75.0,104.0,74.0,6.0,120.0,61.0,33.0,35.0,15.0,67.0,26.0,3.0,58.0,30.0,34.0,54.0,87.0,81.0,127.0,155.0,63.0,51.0
4219,18.0,20.0,24.0,27.0,54.0,14.0,31.0,10.0,138.0,32.0,2.0,6.0,12.0,112.0,42.0,73.0,23.0,65.0,80.0,43.0,5.0,95.0,72.0,90.0,125.0,157.0,135.0,86.0,34.0,136.0
4268,6.0,7.0,2.0,26.0,21.0,8.0,57.0,24.0,37.0,69.0,101.0,1.0,79.0,76.0,41.0,85.0,123.0,63.0,56.0,59.0,80.0,23.0,132.0,77.0,98.0,88.0,72.0,38.0,64.0,27.0
4317,10.0,29.0,2.0,7.0,17.0,123.0,40.0,3.0,13.0,47.0,81.0,147.0,15.0,37.0,31.0,43.0,92.0,32.0,96.0,49.0,14.0,63.0,83.0,8.0,135.0,34.0,26.0,12.0,91.0,24.0
4366,14.0,29.0,34.0,24.0,11.0,6.0,51.0,23.0,30.0,28.0,113.0,7.0,152.0,72.0,73.0,116.0,107.0,52.0,71.0,48.0,3.0,27.0,16.0,4.0,45.0,9.0,126.0,134.0,80.0,46.0
4415,23.0,7.0,115.0,15.0,36.0,79.0,32.0,2.0,135.0,6.0,19.0,130.0,29.0,78.0,139.0,142.0,8.0,39.0,34.0,57.0,117.0,105.0,119.0,141.0,102.0,45.0,10.0,49.0,96.0,31.0
4464,11.0,6.0,128.0,10.0,21.0,133.0,31.0,75.0,131.0,96.0,127.0,22.0,144.0,109.0,160.0,99.0,36.0,70.0,20.0,137.0,113.0,37.0,135.0,67.0,139.0,34.0,13.0,39.0,59.0,26.0
4513,43.0,17.0,33.0,13.0,59.0,80.0,28.0,0.0,7.0,125.0,40.0,14.0,124.0,73.0,91.0,34.0,62.0,54.0,8.0,68.0,128.0,69.0,101.0,120.0,41.0,56.0,22.0,16.0,85.0,6.0
4562,14.0,31.0,28.0,33.0,53.0,0.0,38.0,37.0,103.0,46.0,13.0,91.0,43.0,83.0,132.0,41.0,57.0,19.0,39.0,142.0,48.0,58.0,129.0,5.0,84.0,9.0,24.0,36.0,34.0,96.0
4611,17.0,36.0,127.0,61.0,38.0,126.0,30.0,53.0,6.0,7.0,19.0,24.0,73.0,146.0,141.0,50.0,100.0,20.0,39.0,74.0,70.0,2.0,15.0,26.0,58.0,22.0,45.0,76.0,52.0,14.0
4660,7.0,5.0,14.0,8.0,51.0,125.0,42.0,79.0,2.0,83.0,9.0,157.0,32.0,35.0,121.0,72.0,148.0,20.0,36.0,59.0,99.0,75.0,28.0,10.0,87.0,33.0,47.0,120.0,67.0,64.0
4709,16.0,19.0,21.0,50.0,5.0,58.0,43.0,11.0,25.0,159.0,55.0,22.0,38.0,41.0,7.0,133.0,114.0,28.0,46.0,79.0,123.0,61.0,129.0,37.0,107.0,34.0,60.0,32.0,64.0,13.0
4758,27.0,19.0,21.0,32.0,74.0,1.0,60.0,31.0,45.0,39.0,90.0,149.0,59.0,94.0,25.0,58.0,73.0,36.0,16.0,5.0,41.0,71.0,49.0,118.0,78.0,155.0,88.0,66.0,12.0,75.0
4807,9.0,4.0,6.0,22.0,43.0,126.0,45.0,65.0,33.0,57.0,37.0,41.0,69.0,32.0,13.0,18.0,95.0,23.0,50.0,96.0,83.0,31.0,138.0,128.0,27.0,92.0,46.0,17.0,72.0,122.0
4856,8.0,1.0,23.0,24.0,40.0,48.0,43.0,65.0,127.0,20.0,99.0,103.0,54.0,108.0,56.0,123.0,55.0,51.0,39.0,2.0,49.0,31.0,132.0,35.0,28.0,4.0,16.0,10.0,63.0,11.0
