,hsa-let-7e,hsa-miR-24,hsa-miR-142-5p,hsa-miR-21,hsa-miR-22,hsa-miR-216a,hsa-miR-150,hsa-miR-574-5p,hsa-miR-10a,hsa-miR-130a,hsa-miR-222,hsa-miR-31,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-let-7a,hsa-miR-149,hcmv-miR-US5-1,hsa-miR-508-5p,hsa-miR-766,hsa-miR-2117,hsa-miR-320d,hsa-miR-218,hsa-miR-92a,hsa-let-7i,hsa-miR-30a,hsa-miR-513b,hsa-miR-151-3p,hsa-miR-29b,hsa-miR-491-3p,hsa-miR-99a,hsa-miR-890
1680,0.0,4.0,3.0,1.0,17.0,2.0,23.0,10.0,153.0,6.0,12.0,119.0,8.0,18.0,78.0,21.0,99.0,217.0,26.0,72.0,11.0,16.0,7.0,57.0,85.0,49.0,490.0,50.0,5.0,20.0
1729,1.0,2.0,9.0,3.0,4.0,0.0,32.0,12.0,21.0,46.0,5.0,14.0,20.0,37.0,6.0,35.0,77.0,382.0,33.0,42.0,18.0,442.0,10.0,47.0,39.0,11.0,28.0,13.0,15.0,370.0
1778,0.0,3.0,2.0,9.0,7.0,1.0,11.0,21.0,31.0,13.0,42.0,218.0,5.0,29.0,14.0,8.0,16.0,43.0,168.0,30.0,275.0,33.0,44.0,88.0,46.0,10.0,251.0,12.0,35.0,110.0
1827,1.0,0.0,7.0,2.0,6.0,3.0,5.0,10.0,35.0,90.0,16.0,23.0,12.0,9.0,4.0,11.0,18.0,199.0,258.0,29.0,48.0,19.0,32.0,37.0,104.0,49.0,560.0,212.0,97.0,45.0
1876,9.0,3.0,0.0,1.0,13.0,4.0,6.0,11.0,23.0,18.0,20.0,14.0,39.0,10.0,8.0,19.0,5.0,12.0,17.0,35.0,22.0,15.0,172.0,72.0,76.0,67.0,347.0,219.0,2.0,61.0
1925,4.0,2.0,1.0,0.0,7.0,3.0,6.0,17.0,8.0,62.0,14.0,10.0,11.0,20.0,142.0,5.0,96.0,36.0,16.0,38.0,186.0,35.0,97.0,12.0,48.0,55.0,115.0,45.0,21.0,277.0
1974,4.0,2.0,0.0,8.0,7.0,11.0,12.0,3.0,21.0,14.0,15.0,5.0,6.0,13.0,1.0,20.0,32.0,18.0,529.0,31.0,26.0,66.0,17.0,45.0,9.0,41.0,40.0,42.0,59.0,24.0
2023,0.0,12.0,4.0,2.0,7.0,1.0,3.0,18.0,19.0,69.0,6.0,168.0,11.0,8.0,48.0,5.0,44.0,50.0,345.0,37.0,28.0,36.0,20.0,34.0,51.0,494.0,74.0,27.0,10.0,13.0
2072,0.0,14.0,2.0,3.0,5.0,1.0,13.0,27.0,64.0,20.0,22.0,7.0,11.0,8.0,12.0,70.0,145.0,106.0,46.0,41.0,18.0,55.0,16.0,65.0,9.0,149.0,540.0,295.0,52.0,25.0
2121,0.0,9.0,2.0,3.0,6.0,1.0,10.0,11.0,8.0,22.0,18.0,7.0,20.0,5.0,12.0,4.0,77.0,30.0,15.0,19.0,129.0,32.0,29.0,53.0,113.0,28.0,52.0,168.0,72.0,24.0
2170,0.0,15.0,1.0,5.0,4.0,3.0,9.0,8.0,10.0,7.0,2.0,18.0,6.0,21.0,56.0,17.0,40.0,25.0,31.0,55.0,19.0,22.0,12.0,35.0,33.0,32.0,38.0,26.0,86.0,11.0
2219,1.0,2.0,0.0,4.0,3.0,6.0,17.0,8.0,20.0,5.0,12.0,19.0,11.0,7.0,13.0,16.0,35.0,111.0,254.0,29.0,25.0,70.0,97.0,9.0,14.0,24.0,118.0,399.0,10.0,31.0
2268,0.0,6.0,1.0,3.0,7.0,2.0,4.0,5.0,23.0,10.0,8.0,42.0,14.0,31.0,11.0,87.0,71.0,68.0,13.0,97.0,25.0,33.0,29.0,81.0,12.0,15.0,20.0,61.0,227.0,22.0
2317,2.0,5.0,7.0,3.0,0.0,4.0,40.0,41.0,76.0,36.0,1.0,37.0,110.0,23.0,12.0,265.0,32.0,43.0,21.0,6.0,25.0,14.0,253.0,13.0,137.0,34.0,30.0,33.0,8.0,65.0
2366,0.0,3.0,5.0,4.0,2.0,1.0,8.0,7.0,120.0,10.0,14.0,197.0,90.0,6.0,27.0,194.0,307.0,319.0,37.0,21.0,18.0,147.0,471.0,25.0,33.0,94.0,597.0,195.0,30.0,13.0
2415,3.0,7.0,1.0,5.0,0.0,2.0,4.0,6.0,38.0,16.0,9.0,58.0,33.0,20.0,13.0,89.0,11.0,84.0,324.0,62.0,127.0,70.0,49.0,10.0,172.0,61.0,116.0,36.0,486.0,15.0
2464,3.0,1.0,5.0,0.0,4.0,6.0,16.0,7.0,24.0,8.0,9.0,14.0,13.0,11.0,15.0,2.0,21.0,17.0,89.0,12.0,28.0,36.0,32.0,10.0,586.0,25.0,124.0,27.0,30.0,554.0
2513,1.0,8.0,2.0,0.0,12.0,5.0,16.0,3.0,17.0,15.0,9.0,19.0,11.0,74.0,27.0,10.0,23.0,4.0,345.0,14.0,25.0,95.0,6.0,7.0,64.0,22.0,141.0,122.0,48.0,114.0
2562,1.0,5.0,6.0,4.0,2.0,0.0,18.0,9.0,7.0,8.0,13.0,28.0,54.0,20.0,108.0,10.0,38.0,3.0,46.0,36.0,31.0,264.0,14.0,11.0,15.0,50.0,90.0,22.0,45.0,285.0
2611,2.0,7.0,5.0,1.0,0.0,14.0,9.0,6.0,13.0,22.0,23.0,10.0,26.0,11.0,598.0,3.0,8.0,4.0,40.0,15.0,28.0,128.0,17.0,12.0,102.0,18.0,55.0,42.0,59.0,82.0
2660,0.0,7.0,5.0,3.0,2.0,8.0,27.0,6.0,10.0,20.0,24.0,12.0,18.0,4.0,67.0,9.0,14.0,1.0,40.0,38.0,44.0,71.0,22.0,11.0,13.0,25.0,600.0,39.0,33.0,57.0
2709,0.0,11.0,13.0,1.0,2.0,14.0,10.0,5.0,9.0,8.0,30.0,22.0,28.0,6.0,21.0,18.0,4.0,3.0,53.0,76.0,27.0,88.0,16.0,17.0,78.0,19.0,65.0,186.0,322.0,54.0
2758,0.0,8.0,4.0,3.0,1.0,9.0,19.0,10.0,45.0,11.0,29.0,14.0,47.0,13.0,34.0,2.0,5.0,7.0,36.0,17.0,135.0,448.0,21.0,6.0,25.0,12.0,35.0,59.0,240.0,52.0
2807,1.0,5.0,3.0,0.0,2.0,6.0,24.0,4.0,12.0,14.0,10.0,18.0,19.0,15.0,622.0,7.0,11.0,13.0,34.0,32.0,81.0,214.0,9.0,8.0,38.0,20.0,23.0,31.0,16.0,200.0
2856,1.0,7.0,2.0,0.0,4.0,8.0,11.0,3.0,16.0,14.0,24.0,22.0,13.0,12.0,156.0,5.0,6.0,9.0,32.0,18.0,29.0,65.0,19.0,10.0,93.0,15.0,88.0,30.0,104.0,36.0
2905,2.0,5.0,9.0,0.0,3.0,4.0,10.0,8.0,23.0,6.0,24.0,20.0,64.0,36.0,82.0,12.0,1.0,7.0,43.0,164.0,31.0,21.0,17.0,27.0,67.0,11.0,13.0,29.0,22.0,57.0
2954,1.0,6.0,3.0,5.0,0.0,2.0,9.0,7.0,26.0,50.0,71.0,41.0,8.0,105.0,21.0,306.0,13.0,4.0,12.0,179.0,23.0,18.0,187.0,89.0,10.0,83.0,40.0,49.0,16.0,455.0
3003,3.0,0.0,6.0,5.0,1.0,4.0,2.0,7.0,18.0,348.0,12.0,275.0,8.0,75.0,38.0,22.0,27.0,23.0,11.0,30.0,431.0,49.0,89.0,41.0,9.0,29.0,100.0,44.0,80.0,505.0
3052,4.0,0.0,1.0,3.0,7.0,2.0,5.0,6.0,25.0,69.0,75.0,29.0,9.0,37.0,78.0,145.0,23.0,14.0,13.0,11.0,164.0,32.0,433.0,16.0,139.0,19.0,253.0,35.0,247.0,110.0
3101,3.0,1.0,5.0,4.0,2.0,0.0,7.0,6.0,8.0,20.0,122.0,25.0,18.0,131.0,67.0,14.0,28.0,24.0,35.0,11.0,44.0,61.0,46.0,341.0,29.0,13.0,23.0,10.0,50.0,497.0
3150,3.0,1.0,4.0,5.0,2.0,0.0,6.0,7.0,12.0,16.0,11.0,51.0,8.0,88.0,19.0,254.0,17.0,18.0,10.0,22.0,31.0,9.0,69.0,189.0,29.0,13.0,24.0,28.0,155.0,373.0
3199,5.0,3.0,0.0,2.0,4.0,6.0,13.0,1.0,12.0,19.0,22.0,40.0,8.0,101.0,15.0,159.0,154.0,10.0,14.0,9.0,80.0,25.0,27.0,28.0,11.0,7.0,20.0,72.0,50.0,282.0
3248,2.0,5.0,3.0,4.0,0.0,1.0,7.0,6.0,38.0,65.0,58.0,33.0,8.0,66.0,13.0,24.0,59.0,11.0,26.0,17.0,19.0,12.0,56.0,39.0,9.0,36.0,18.0,25.0,113.0,404.0
3297,3.0,4.0,2.0,0.0,5.0,9.0,17.0,1.0,8.0,10.0,43.0,79.0,6.0,71.0,7.0,437.0,22.0,12.0,21.0,157.0,30.0,14.0,84.0,68.0,18.0,19.0,13.0,11.0,257.0,135.0
3346,1.0,2.0,4.0,5.0,0.0,3.0,6.0,7.0,29.0,15.0,11.0,17.0,21.0,54.0,10.0,35.0,43.0,8.0,61.0,170.0,18.0,12.0,58.0,94.0,416.0,25.0,27.0,13.0,74.0,337.0
3395,4.0,6.0,2.0,0.0,1.0,3.0,7.0,5.0,12.0,22.0,9.0,38.0,16.0,411.0,17.0,27.0,19.0,11.0,73.0,49.0,69.0,26.0,15.0,18.0,117.0,24.0,419.0,21.0,112.0,498.0
3444,1.0,0.0,2.0,22.0,11.0,6.0,4.0,5.0,8.0,20.0,7.0,17.0,10.0,3.0,16.0,13.0,12.0,21.0,47.0,25.0,100.0,29.0,105.0,15.0,51.0,9.0,593.0,416.0,24.0,14.0
3493,0.0,1.0,3.0,5.0,7.0,23.0,6.0,4.0,8.0,18.0,13.0,26.0,11.0,27.0,9.0,32.0,20.0,17.0,66.0,129.0,251.0,25.0,93.0,48.0,88.0,16.0,31.0,35.0,263.0,10.0
3542,0.0,2.0,6.0,3.0,8.0,1.0,4.0,7.0,13.0,5.0,10.0,93.0,17.0,33.0,11.0,9.0,38.0,25.0,44.0,40.0,52.0,73.0,97.0,101.0,122.0,193.0,31.0,14.0,16.0,57.0
3591,0.0,9.0,3.0,6.0,14.0,2.0,7.0,5.0,10.0,1.0,19.0,18.0,42.0,207.0,17.0,24.0,23.0,4.0,49.0,26.0,13.0,69.0,152.0,40.0,498.0,47.0,131.0,22.0,51.0,27.0
3640,0.0,1.0,3.0,12.0,4.0,6.0,5.0,2.0,17.0,10.0,53.0,35.0,19.0,7.0,11.0,14.0,15.0,8.0,18.0,37.0,30.0,21.0,576.0,67.0,88.0,55.0,103.0,63.0,81.0,32.0
3689,1.0,0.0,2.0,4.0,6.0,3.0,8.0,7.0,12.0,44.0,13.0,36.0,18.0,19.0,45.0,9.0,10.0,5.0,73.0,34.0,16.0,23.0,283.0,15.0,27.0,37.0,130.0,28.0,93.0,41.0
3738,0.0,1.0,2.0,10.0,8.0,5.0,4.0,7.0,43.0,3.0,6.0,14.0,13.0,34.0,9.0,37.0,24.0,12.0,53.0,97.0,16.0,29.0,387.0,80.0,32.0,50.0,124.0,186.0,23.0,93.0
3787,0.0,3.0,1.0,6.0,4.0,2.0,5.0,21.0,24.0,7.0,37.0,11.0,40.0,32.0,17.0,10.0,201.0,12.0,16.0,287.0,99.0,26.0,67.0,151.0,19.0,39.0,51.0,475.0,9.0,504.0
3836,0.0,2.0,1.0,5.0,8.0,3.0,6.0,7.0,46.0,4.0,13.0,9.0,27.0,23.0,28.0,12.0,76.0,10.0,32.0,47.0,20.0,37.0,17.0,171.0,339.0,91.0,69.0,216.0,33.0,29.0
3885,2.0,0.0,1.0,6.0,9.0,15.0,4.0,3.0,71.0,5.0,10.0,7.0,16.0,56.0,8.0,12.0,208.0,11.0,13.0,158.0,73.0,20.0,424.0,33.0,50.0,154.0,136.0,29.0,25.0,44.0
3934,0.0,3.0,4.0,1.0,5.0,10.0,2.0,8.0,82.0,56.0,27.0,9.0,19.0,11.0,20.0,6.0,7.0,14.0,242.0,33.0,28.0,49.0,275.0,47.0,18.0,187.0,23.0,38.0,34.0,22.0
3983,0.0,2.0,21.0,1.0,3.0,16.0,5.0,6.0,37.0,4.0,36.0,7.0,20.0,40.0,13.0,173.0,15.0,414.0,28.0,12.0,9.0,10.0,209.0,17.0,51.0,67.0,61.0,291.0,127.0,22.0
4032,0.0,1.0,8.0,3.0,16.0,20.0,4.0,6.0,7.0,5.0,23.0,2.0,19.0,349.0,21.0,43.0,10.0,15.0,36.0,22.0,13.0,29.0,57.0,35.0,49.0,26.0,18.0,30.0,33.0,162.0
4081,1.0,7.0,0.0,5.0,2.0,16.0,3.0,21.0,61.0,4.0,96.0,6.0,41.0,28.0,14.0,11.0,29.0,302.0,20.0,12.0,10.0,9.0,30.0,23.0,15.0,8.0,253.0,35.0,42.0,154.0
4130,0.0,2.0,3.0,1.0,10.0,8.0,6.0,27.0,12.0,4.0,17.0,7.0,11.0,21.0,56.0,185.0,40.0,38.0,15.0,13.0,5.0,23.0,36.0,37.0,9.0,31.0,125.0,92.0,16.0,82.0
4179,0.0,3.0,1.0,5.0,2.0,21.0,6.0,12.0,19.0,4.0,26.0,16.0,62.0,84.0,17.0,27.0,42.0,43.0,81.0,7.0,11.0,8.0,25.0,114.0,75.0,24.0,31.0,35.0,78.0,55.0
4228,1.0,0.0,2.0,6.0,4.0,20.0,7.0,11.0,8.0,103.0,87.0,3.0,220.0,479.0,10.0,151.0,298.0,27.0,160.0,24.0,9.0,37.0,41.0,49.0,28.0,35.0,47.0,172.0,215.0,91.0
4277,2.0,1.0,0.0,6.0,4.0,18.0,5.0,11.0,19.0,12.0,32.0,3.0,70.0,230.0,8.0,206.0,16.0,7.0,117.0,52.0,64.0,13.0,10.0,196.0,14.0,98.0,140.0,375.0,75.0,252.0
4326,8.0,3.0,2.0,1.0,0.0,6.0,22.0,9.0,14.0,15.0,29.0,4.0,10.0,40.0,11.0,256.0,20.0,13.0,26.0,17.0,58.0,12.0,46.0,246.0,48.0,123.0,247.0,60.0,38.0,19.0
4375,0.0,3.0,2.0,7.0,1.0,27.0,10.0,18.0,6.0,13.0,9.0,12.0,47.0,11.0,4.0,549.0,14.0,5.0,106.0,19.0,36.0,15.0,54.0,29.0,31.0,17.0,34.0,163.0,91.0,24.0
4424,2.0,1.0,3.0,0.0,12.0,9.0,10.0,4.0,7.0,34.0,8.0,24.0,35.0,5.0,41.0,14.0,19.0,25.0,6.0,28.0,31.0,18.0,386.0,144.0,44.0,232.0,27.0,85.0,51.0,39.0
4473,2.0,0.0,1.0,3.0,9.0,6.0,8.0,4.0,7.0,35.0,15.0,22.0,16.0,5.0,29.0,26.0,14.0,33.0,18.0,25.0,155.0,17.0,196.0,21.0,11.0,27.0,12.0,273.0,55.0,20.0
4522,4.0,2.0,3.0,0.0,8.0,16.0,18.0,1.0,6.0,19.0,22.0,25.0,68.0,7.0,31.0,11.0,9.0,176.0,13.0,14.0,101.0,27.0,28.0,48.0,12.0,69.0,5.0,135.0,15.0,17.0
4571,2.0,1.0,0.0,3.0,33.0,17.0,19.0,12.0,7.0,4.0,6.0,44.0,64.0,8.0,5.0,60.0,91.0,271.0,18.0,23.0,386.0,16.0,76.0,37.0,29.0,28.0,15.0,221.0,103.0,10.0
4620,2.0,0.0,1.0,3.0,5.0,6.0,20.0,14.0,4.0,29.0,55.0,11.0,21.0,27.0,310.0,12.0,58.0,23.0,7.0,8.0,37.0,9.0,60.0,117.0,16.0,41.0,26.0,437.0,40.0,13.0
4669,9.0,1.0,0.0,5.0,13.0,2.0,7.0,14.0,11.0,18.0,43.0,23.0,19.0,3.0,16.0,4.0,10.0,67.0,6.0,8.0,21.0,54.0,12.0,30.0,40.0,96.0,33.0,89.0,238.0,15.0
4718,3.0,1.0,4.0,0.0,14.0,2.0,8.0,40.0,6.0,35.0,59.0,5.0,11.0,19.0,26.0,22.0,47.0,18.0,10.0,42.0,13.0,15.0,32.0,9.0,12.0,372.0,30.0,403.0,25.0,39.0
4767,1.0,2.0,0.0,3.0,5.0,4.0,9.0,7.0,11.0,61.0,20.0,22.0,14.0,13.0,16.0,6.0,18.0,78.0,12.0,17.0,10.0,62.0,39.0,120.0,380.0,159.0,19.0,483.0,198.0,8.0
4816,2.0,1.0,12.0,0.0,5.0,6.0,19.0,7.0,3.0,28.0,13.0,4.0,22.0,18.0,10.0,9.0,23.0,34.0,17.0,88.0,334.0,24.0,16.0,15.0,70.0,56.0,30.0,340.0,38.0,42.0
4865,1.0,2.0,4.0,0.0,3.0,9.0,7.0,10.0,11.0,25.0,27.0,18.0,8.0,14.0,13.0,5.0,78.0,43.0,16.0,6.0,211.0,12.0,21.0,24.0,161.0,160.0,225.0,260.0,20.0,15.0
