,HAEMATOPOIETIC,SOFT_TISSUE,OVARY,OESOPHAGUS,NERVOUS,BREAST,STOMACH,ENDOMETRIUM,LIVER,LUNG,LARGE_INTESTINE,SKIN,PANCREAS,GANGLIA,AERODIGESTIVE,PROSTATE,BONE,SALIVARY,THYROID,KIDNEY,URINARY,PLEURA,BILIARY
2301,1.0,17.0,0.0,2.0,8.0,7.0,4.0,3.0,6.0,10.0,9.0,11.0,5.0,12.0,13.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
2350,2.0,0.0,1.0,3.0,7.0,6.0,4.0,10.0,9.0,8.0,5.0,17.0,11.0,12.0,13.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
2399,0.0,17.0,1.0,3.0,7.0,5.0,9.0,4.0,11.0,10.0,8.0,12.0,6.0,13.0,14.0,15.0,2.0,16.0,18.0,19.0,20.0,21.0,22.0
2448,0.0,17.0,1.0,4.0,5.0,8.0,7.0,6.0,3.0,10.0,9.0,11.0,12.0,13.0,14.0,15.0,2.0,16.0,18.0,19.0,20.0,21.0,22.0
2497,0.0,16.0,1.0,3.0,2.0,6.0,20.0,5.0,9.0,8.0,4.0,7.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,21.0,22.0
2546,1.0,17.0,0.0,6.0,3.0,9.0,12.0,5.0,8.0,7.0,4.0,11.0,10.0,13.0,14.0,15.0,2.0,16.0,18.0,19.0,20.0,21.0,22.0
2595,0.0,17.0,2.0,4.0,3.0,5.0,12.0,9.0,8.0,7.0,6.0,10.0,11.0,13.0,14.0,15.0,1.0,16.0,18.0,19.0,20.0,21.0,22.0
2644,0.0,16.0,1.0,8.0,2.0,4.0,20.0,7.0,9.0,5.0,6.0,3.0,10.0,11.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,21.0,22.0
2693,0.0,17.0,1.0,5.0,6.0,4.0,11.0,3.0,12.0,10.0,8.0,9.0,7.0,13.0,14.0,15.0,2.0,16.0,18.0,19.0,20.0,21.0,22.0
2742,0.0,17.0,1.0,4.0,3.0,6.0,11.0,2.0,5.0,10.0,7.0,9.0,8.0,12.0,13.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
2791,0.0,16.0,2.0,3.0,8.0,6.0,20.0,7.0,5.0,11.0,4.0,9.0,10.0,12.0,13.0,14.0,1.0,15.0,17.0,18.0,19.0,21.0,22.0
2840,0.0,16.0,1.0,7.0,2.0,5.0,20.0,8.0,6.0,10.0,4.0,3.0,9.0,11.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,21.0,22.0
2889,0.0,16.0,1.0,6.0,2.0,3.0,20.0,4.0,10.0,8.0,5.0,7.0,9.0,11.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,21.0,22.0
2938,0.0,17.0,1.0,8.0,3.0,5.0,11.0,10.0,4.0,7.0,6.0,9.0,12.0,13.0,14.0,15.0,2.0,16.0,18.0,19.0,20.0,21.0,22.0
2987,0.0,17.0,1.0,2.0,4.0,3.0,7.0,9.0,6.0,5.0,10.0,8.0,11.0,12.0,13.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
3036,0.0,17.0,3.0,9.0,4.0,1.0,7.0,6.0,5.0,10.0,8.0,12.0,11.0,13.0,14.0,15.0,2.0,16.0,18.0,19.0,20.0,21.0,22.0
3085,0.0,17.0,2.0,3.0,6.0,4.0,5.0,11.0,10.0,7.0,9.0,12.0,8.0,13.0,14.0,15.0,1.0,16.0,18.0,19.0,20.0,21.0,22.0
3134,2.0,1.0,0.0,7.0,6.0,5.0,12.0,8.0,10.0,9.0,11.0,3.0,13.0,14.0,15.0,16.0,4.0,17.0,18.0,19.0,20.0,21.0,22.0
3183,1.0,0.0,2.0,3.0,4.0,5.0,6.0,12.0,7.0,8.0,11.0,9.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3232,0.0,17.0,1.0,7.0,3.0,4.0,10.0,9.0,8.0,5.0,6.0,12.0,11.0,13.0,14.0,15.0,2.0,16.0,18.0,19.0,20.0,21.0,22.0
3281,0.0,17.0,1.0,3.0,5.0,4.0,10.0,8.0,6.0,7.0,9.0,11.0,12.0,13.0,14.0,15.0,2.0,16.0,18.0,19.0,20.0,21.0,22.0
3330,1.0,0.0,2.0,5.0,4.0,3.0,6.0,7.0,8.0,9.0,11.0,12.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3379,0.0,17.0,2.0,9.0,4.0,3.0,5.0,8.0,7.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,16.0,18.0,19.0,20.0,21.0,22.0
3428,0.0,17.0,1.0,9.0,5.0,4.0,11.0,3.0,2.0,8.0,10.0,7.0,6.0,12.0,13.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
3477,1.0,2.0,0.0,5.0,3.0,4.0,8.0,6.0,10.0,9.0,11.0,7.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3526,2.0,1.0,0.0,5.0,6.0,4.0,3.0,7.0,12.0,11.0,9.0,8.0,10.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,13.0,21.0,22.0
3575,0.0,1.0,3.0,2.0,4.0,5.0,12.0,8.0,10.0,7.0,9.0,11.0,6.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,13.0,21.0,22.0
3624,1.0,0.0,2.0,3.0,5.0,4.0,8.0,6.0,9.0,10.0,12.0,7.0,11.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,13.0,21.0,22.0
3673,0.0,3.0,5.0,1.0,6.0,4.0,12.0,7.0,2.0,9.0,11.0,8.0,10.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,13.0,21.0,22.0
3722,1.0,0.0,3.0,5.0,4.0,2.0,6.0,7.0,12.0,8.0,11.0,10.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3771,2.0,0.0,1.0,6.0,5.0,3.0,8.0,7.0,12.0,13.0,11.0,4.0,9.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,10.0,21.0,22.0
3820,1.0,0.0,3.0,5.0,6.0,4.0,2.0,7.0,8.0,10.0,12.0,9.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3869,1.0,0.0,2.0,4.0,6.0,3.0,11.0,9.0,13.0,7.0,8.0,5.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,10.0,21.0,22.0
3918,1.0,0.0,2.0,3.0,6.0,5.0,4.0,12.0,10.0,11.0,7.0,8.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3967,1.0,0.0,2.0,4.0,8.0,9.0,5.0,12.0,3.0,10.0,6.0,7.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4016,1.0,0.0,2.0,3.0,6.0,9.0,4.0,11.0,5.0,10.0,7.0,8.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4065,0.0,1.0,3.0,4.0,9.0,12.0,8.0,5.0,7.0,10.0,6.0,2.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4114,1.0,0.0,4.0,5.0,6.0,11.0,8.0,10.0,9.0,12.0,7.0,2.0,13.0,14.0,15.0,16.0,3.0,17.0,18.0,19.0,20.0,21.0,22.0
4163,0.0,1.0,2.0,4.0,9.0,11.0,8.0,7.0,12.0,10.0,5.0,6.0,13.0,14.0,15.0,16.0,3.0,17.0,18.0,19.0,20.0,21.0,22.0
4212,1.0,0.0,2.0,4.0,10.0,13.0,6.0,8.0,7.0,11.0,5.0,9.0,12.0,14.0,15.0,16.0,3.0,17.0,18.0,19.0,20.0,21.0,22.0
4261,0.0,17.0,1.0,4.0,8.0,5.0,6.0,7.0,3.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,2.0,16.0,18.0,19.0,20.0,21.0,22.0
4310,1.0,0.0,2.0,3.0,6.0,12.0,9.0,8.0,4.0,10.0,5.0,7.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4359,1.0,0.0,2.0,3.0,9.0,7.0,4.0,12.0,6.0,10.0,5.0,8.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4408,2.0,1.0,0.0,4.0,8.0,11.0,5.0,6.0,10.0,9.0,12.0,7.0,13.0,14.0,15.0,16.0,3.0,17.0,18.0,19.0,20.0,21.0,22.0
4457,1.0,0.0,4.0,3.0,5.0,8.0,7.0,2.0,9.0,6.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4506,1.0,0.0,2.0,3.0,4.0,5.0,9.0,6.0,10.0,8.0,12.0,7.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4555,2.0,1.0,0.0,4.0,5.0,8.0,6.0,3.0,7.0,10.0,12.0,11.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4604,1.0,0.0,2.0,3.0,5.0,4.0,11.0,7.0,6.0,9.0,12.0,10.0,8.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4653,1.0,2.0,3.0,0.0,5.0,4.0,7.0,6.0,8.0,10.0,12.0,11.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4702,2.0,0.0,1.0,3.0,6.0,5.0,12.0,4.0,8.0,10.0,7.0,9.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4751,3.0,1.0,2.0,0.0,5.0,7.0,8.0,4.0,12.0,11.0,10.0,6.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4800,0.0,1.0,3.0,2.0,4.0,5.0,8.0,6.0,11.0,7.0,10.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4849,0.0,17.0,1.0,3.0,4.0,2.0,11.0,5.0,9.0,6.0,8.0,7.0,10.0,12.0,13.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
4898,1.0,2.0,0.0,4.0,3.0,6.0,10.0,5.0,7.0,8.0,12.0,9.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
