,GANGLIA,LARGE_INTESTINE,OVARY,HAEMATOPOIETIC,NERVOUS,BONE,OESOPHAGUS,BREAST,PANCREAS,LUNG,ENDOMETRIUM,SKIN,LIVER,SOFT_TISSUE,AERODIGESTIVE,PROSTATE,SALIVARY,THYROID,KIDNEY,URINARY,STOMACH,PLEURA,BILIARY
1027,0.0,2.0,8.0,7.0,4.0,3.0,5.0,6.0,11.0,9.0,14.0,15.0,10.0,18.0,1.0,16.0,17.0,19.0,20.0,13.0,12.0,21.0,22.0
1076,13.0,0.0,5.0,1.0,4.0,2.0,6.0,3.0,7.0,10.0,9.0,12.0,8.0,11.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1125,0.0,1.0,7.0,2.0,5.0,3.0,6.0,8.0,4.0,14.0,12.0,9.0,11.0,10.0,15.0,16.0,17.0,18.0,19.0,13.0,20.0,21.0,22.0
1174,0.0,1.0,6.0,3.0,8.0,2.0,5.0,7.0,4.0,10.0,12.0,14.0,9.0,13.0,15.0,16.0,17.0,18.0,19.0,20.0,11.0,21.0,22.0
1223,0.0,1.0,4.0,2.0,3.0,8.0,9.0,5.0,6.0,14.0,10.0,11.0,7.0,13.0,15.0,16.0,17.0,18.0,19.0,20.0,12.0,21.0,22.0
1272,0.0,2.0,7.0,3.0,9.0,6.0,4.0,8.0,5.0,12.0,14.0,11.0,1.0,10.0,16.0,17.0,18.0,19.0,20.0,15.0,13.0,21.0,22.0
1321,0.0,2.0,7.0,3.0,8.0,4.0,10.0,6.0,5.0,9.0,1.0,15.0,11.0,12.0,16.0,17.0,18.0,19.0,20.0,14.0,13.0,21.0,22.0
1370,0.0,1.0,6.0,2.0,9.0,5.0,4.0,7.0,11.0,10.0,3.0,8.0,12.0,16.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1419,0.0,1.0,8.0,3.0,7.0,2.0,12.0,6.0,4.0,5.0,11.0,9.0,10.0,18.0,15.0,16.0,17.0,19.0,20.0,13.0,14.0,21.0,22.0
1468,0.0,2.0,4.0,6.0,5.0,10.0,3.0,7.0,9.0,12.0,11.0,14.0,8.0,1.0,15.0,16.0,17.0,18.0,19.0,13.0,20.0,21.0,22.0
1517,13.0,3.0,2.0,5.0,1.0,6.0,10.0,0.0,9.0,4.0,11.0,12.0,8.0,17.0,14.0,15.0,16.0,18.0,19.0,20.0,7.0,21.0,22.0
1566,0.0,1.0,5.0,2.0,7.0,3.0,9.0,6.0,4.0,8.0,13.0,14.0,10.0,18.0,15.0,16.0,17.0,19.0,20.0,11.0,12.0,21.0,22.0
1615,0.0,1.0,3.0,5.0,4.0,10.0,9.0,2.0,8.0,6.0,7.0,12.0,11.0,16.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1664,14.0,2.0,3.0,6.0,4.0,13.0,9.0,5.0,8.0,7.0,11.0,12.0,10.0,17.0,0.0,15.0,16.0,18.0,19.0,1.0,20.0,21.0,22.0
1713,1.0,5.0,2.0,6.0,3.0,7.0,10.0,4.0,8.0,9.0,21.0,13.0,14.0,18.0,0.0,15.0,17.0,19.0,20.0,11.0,12.0,16.0,22.0
1762,2.0,4.0,6.0,8.0,5.0,9.0,11.0,3.0,10.0,7.0,13.0,15.0,14.0,18.0,0.0,16.0,17.0,19.0,20.0,1.0,12.0,21.0,22.0
1811,1.0,2.0,4.0,8.0,5.0,3.0,9.0,6.0,11.0,7.0,21.0,14.0,10.0,18.0,0.0,15.0,17.0,19.0,20.0,12.0,13.0,16.0,22.0
1860,14.0,3.0,1.0,6.0,2.0,8.0,7.0,5.0,9.0,4.0,21.0,12.0,13.0,18.0,0.0,15.0,17.0,19.0,20.0,11.0,10.0,16.0,22.0
1909,0.0,1.0,3.0,5.0,4.0,6.0,7.0,2.0,8.0,10.0,12.0,9.0,11.0,16.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
1958,2.0,4.0,3.0,9.0,5.0,6.0,13.0,7.0,10.0,8.0,1.0,11.0,14.0,17.0,0.0,15.0,16.0,18.0,19.0,12.0,20.0,21.0,22.0
2007,1.0,3.0,6.0,4.0,7.0,2.0,10.0,8.0,9.0,5.0,0.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2056,0.0,2.0,3.0,6.0,5.0,9.0,8.0,4.0,7.0,10.0,1.0,11.0,14.0,12.0,15.0,16.0,17.0,18.0,19.0,20.0,13.0,21.0,22.0
2105,1.0,2.0,7.0,3.0,8.0,9.0,5.0,4.0,6.0,10.0,0.0,14.0,12.0,13.0,15.0,16.0,17.0,18.0,19.0,20.0,11.0,21.0,22.0
2154,1.0,2.0,3.0,7.0,4.0,9.0,8.0,5.0,6.0,10.0,0.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,11.0,21.0,22.0
2203,0.0,3.0,9.0,4.0,7.0,2.0,5.0,8.0,6.0,10.0,1.0,13.0,11.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,12.0,21.0,22.0
2252,12.0,0.0,7.0,1.0,6.0,4.0,3.0,5.0,2.0,9.0,21.0,8.0,11.0,17.0,13.0,14.0,16.0,18.0,19.0,20.0,10.0,15.0,22.0
2301,0.0,2.0,5.0,3.0,8.0,7.0,4.0,9.0,6.0,10.0,1.0,13.0,11.0,12.0,15.0,16.0,17.0,18.0,19.0,20.0,14.0,21.0,22.0
2350,0.0,1.0,4.0,5.0,2.0,8.0,7.0,3.0,6.0,9.0,13.0,11.0,10.0,16.0,12.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2399,0.0,1.0,6.0,3.0,8.0,5.0,11.0,7.0,4.0,9.0,2.0,13.0,12.0,10.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2448,0.0,1.0,4.0,3.0,6.0,9.0,7.0,5.0,8.0,10.0,21.0,2.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
2497,1.0,0.0,2.0,3.0,4.0,8.0,5.0,6.0,7.0,11.0,9.0,13.0,12.0,10.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2546,0.0,1.0,4.0,2.0,5.0,7.0,3.0,6.0,10.0,8.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,11.0,20.0,21.0,22.0
2595,0.0,1.0,6.0,4.0,8.0,2.0,14.0,7.0,5.0,9.0,3.0,13.0,11.0,12.0,15.0,16.0,17.0,18.0,19.0,10.0,20.0,21.0,22.0
2644,0.0,1.0,3.0,4.0,6.0,12.0,7.0,5.0,8.0,11.0,2.0,9.0,14.0,13.0,15.0,16.0,17.0,18.0,19.0,10.0,20.0,21.0,22.0
2693,1.0,0.0,3.0,6.0,4.0,7.0,2.0,5.0,14.0,11.0,10.0,8.0,12.0,13.0,15.0,16.0,17.0,18.0,19.0,9.0,20.0,21.0,22.0
2742,14.0,0.0,5.0,2.0,6.0,16.0,4.0,3.0,13.0,7.0,8.0,9.0,12.0,10.0,1.0,15.0,17.0,18.0,19.0,11.0,20.0,21.0,22.0
2791,0.0,1.0,2.0,3.0,5.0,12.0,7.0,4.0,9.0,8.0,6.0,13.0,11.0,10.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2840,0.0,1.0,6.0,2.0,5.0,8.0,3.0,4.0,9.0,10.0,7.0,12.0,11.0,16.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
2889,1.0,0.0,2.0,3.0,8.0,6.0,4.0,5.0,11.0,9.0,7.0,13.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,10.0,20.0,21.0,22.0
2938,0.0,1.0,3.0,2.0,5.0,8.0,7.0,4.0,10.0,9.0,6.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,11.0,20.0,21.0,22.0
2987,0.0,3.0,4.0,5.0,7.0,1.0,2.0,6.0,9.0,10.0,11.0,8.0,13.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3036,0.0,2.0,5.0,6.0,8.0,3.0,4.0,9.0,7.0,10.0,1.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3085,13.0,1.0,2.0,4.0,6.0,3.0,9.0,5.0,8.0,7.0,12.0,10.0,11.0,16.0,0.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
3134,13.0,0.0,6.0,2.0,7.0,1.0,3.0,5.0,4.0,8.0,9.0,12.0,11.0,10.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3183,13.0,0.0,2.0,6.0,4.0,1.0,5.0,3.0,7.0,9.0,8.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3232,0.0,1.0,3.0,7.0,5.0,2.0,8.0,6.0,4.0,9.0,21.0,10.0,12.0,11.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
3281,0.0,1.0,3.0,4.0,5.0,2.0,7.0,10.0,6.0,11.0,9.0,8.0,13.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3330,14.0,1.0,6.0,3.0,9.0,2.0,8.0,5.0,4.0,7.0,11.0,10.0,12.0,13.0,0.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3379,0.0,2.0,3.0,4.0,8.0,1.0,5.0,6.0,7.0,10.0,9.0,13.0,12.0,11.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3428,1.0,0.0,2.0,5.0,4.0,3.0,8.0,6.0,7.0,10.0,11.0,9.0,13.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3477,13.0,0.0,4.0,2.0,3.0,9.0,8.0,5.0,7.0,6.0,1.0,10.0,12.0,17.0,14.0,15.0,16.0,18.0,19.0,11.0,20.0,21.0,22.0
3526,14.0,0.0,1.0,8.0,2.0,7.0,9.0,3.0,4.0,5.0,6.0,11.0,13.0,12.0,15.0,16.0,17.0,18.0,19.0,10.0,20.0,21.0,22.0
3575,0.0,1.0,5.0,2.0,3.0,8.0,6.0,4.0,7.0,13.0,9.0,10.0,14.0,11.0,15.0,16.0,17.0,18.0,19.0,12.0,20.0,21.0,22.0
3624,13.0,0.0,3.0,6.0,2.0,9.0,5.0,7.0,4.0,8.0,10.0,11.0,12.0,17.0,14.0,15.0,16.0,18.0,19.0,1.0,20.0,21.0,22.0
3673,0.0,1.0,5.0,2.0,4.0,10.0,13.0,6.0,3.0,7.0,8.0,9.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3722,0.0,2.0,3.0,8.0,5.0,1.0,12.0,6.0,7.0,9.0,4.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,11.0,20.0,21.0,22.0
3771,13.0,0.0,4.0,1.0,6.0,5.0,2.0,7.0,3.0,9.0,8.0,10.0,12.0,17.0,14.0,15.0,16.0,18.0,19.0,11.0,20.0,21.0,22.0
3820,13.0,0.0,2.0,5.0,1.0,9.0,8.0,3.0,7.0,6.0,4.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3869,12.0,3.0,0.0,4.0,1.0,8.0,9.0,2.0,7.0,6.0,5.0,11.0,10.0,16.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
3918,0.0,1.0,7.0,2.0,3.0,9.0,11.0,4.0,6.0,5.0,8.0,13.0,10.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
3967,0.0,2.0,4.0,6.0,5.0,1.0,7.0,10.0,8.0,9.0,3.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4016,0.0,2.0,1.0,5.0,6.0,3.0,10.0,7.0,8.0,9.0,4.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4065,0.0,2.0,3.0,4.0,5.0,1.0,11.0,6.0,8.0,7.0,10.0,9.0,14.0,12.0,15.0,16.0,17.0,18.0,19.0,20.0,13.0,21.0,22.0
4114,13.0,0.0,5.0,2.0,4.0,1.0,3.0,6.0,7.0,8.0,9.0,11.0,12.0,10.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4163,0.0,1.0,3.0,4.0,2.0,16.0,6.0,5.0,8.0,9.0,7.0,10.0,11.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,12.0,21.0,22.0
4212,14.0,0.0,7.0,2.0,6.0,1.0,4.0,5.0,3.0,10.0,9.0,8.0,13.0,11.0,15.0,16.0,17.0,18.0,19.0,20.0,12.0,21.0,22.0
4261,0.0,1.0,5.0,4.0,3.0,2.0,7.0,6.0,8.0,10.0,9.0,11.0,14.0,13.0,15.0,16.0,17.0,18.0,19.0,20.0,12.0,21.0,22.0
4310,0.0,1.0,4.0,3.0,5.0,2.0,6.0,9.0,7.0,8.0,10.0,12.0,11.0,17.0,14.0,15.0,16.0,18.0,19.0,20.0,13.0,21.0,22.0
4359,13.0,0.0,5.0,2.0,3.0,1.0,6.0,4.0,7.0,8.0,9.0,10.0,12.0,17.0,14.0,15.0,16.0,18.0,19.0,20.0,11.0,21.0,22.0
4408,14.0,0.0,6.0,3.0,8.0,1.0,2.0,5.0,4.0,7.0,10.0,9.0,12.0,13.0,15.0,16.0,17.0,18.0,19.0,20.0,11.0,21.0,22.0
4457,0.0,1.0,5.0,4.0,7.0,6.0,2.0,3.0,8.0,11.0,9.0,10.0,14.0,12.0,15.0,16.0,17.0,18.0,19.0,13.0,20.0,21.0,22.0
4506,13.0,0.0,3.0,5.0,4.0,6.0,2.0,1.0,7.0,10.0,9.0,11.0,8.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4555,0.0,1.0,6.0,4.0,7.0,5.0,3.0,9.0,11.0,8.0,21.0,12.0,2.0,13.0,14.0,15.0,17.0,18.0,19.0,10.0,20.0,16.0,22.0
4604,14.0,0.0,5.0,1.0,4.0,2.0,3.0,6.0,11.0,8.0,7.0,10.0,12.0,13.0,15.0,16.0,17.0,18.0,19.0,9.0,20.0,21.0,22.0
4653,15.0,2.0,5.0,4.0,6.0,1.0,3.0,12.0,14.0,7.0,8.0,9.0,13.0,10.0,0.0,16.0,17.0,18.0,19.0,11.0,20.0,21.0,22.0
4702,0.0,2.0,1.0,4.0,3.0,11.0,6.0,5.0,8.0,9.0,7.0,10.0,13.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4751,0.0,1.0,3.0,4.0,5.0,2.0,6.0,8.0,7.0,12.0,9.0,11.0,10.0,16.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
4800,13.0,0.0,1.0,4.0,2.0,3.0,6.0,7.0,5.0,8.0,9.0,11.0,10.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4849,13.0,0.0,5.0,1.0,4.0,3.0,2.0,7.0,6.0,8.0,21.0,11.0,12.0,9.0,14.0,15.0,17.0,18.0,19.0,10.0,20.0,16.0,22.0
4898,0.0,1.0,5.0,2.0,6.0,4.0,8.0,9.0,3.0,11.0,12.0,10.0,13.0,7.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
