,FAM21B,PYCARD,GAMT,RP11-1094M14.1,EEF1A1,BHLHE41,HMGA2,IQGAP2,RP11-517B11.7,BTN3A1,PTEN,RPL22,FAM110C,CPNE7,IFITM2,HS1BP3,PITPNC1,NDN,DCTN1,FDXR,EIF4B,HSBP1L1,SLC35C2,ADAP2,SNCA,HSPB1,ASIC1,CORO2A,ATP10A,PNRC2
843,2.0,39.0,94.0,10.0,6.0,4.0,34.0,44.0,16.0,19.0,1.0,18.0,244.0,7.0,43.0,23.0,49.0,0.0,65.0,221.0,9.0,35.0,81.0,75.0,5.0,69.0,17.0,52.0,864.0,88.0
892,0.0,10.0,58.0,3.0,73.0,2.0,60.0,103.0,8.0,17.0,1.0,56.0,27.0,4.0,33.0,28.0,30.0,23.0,75.0,35.0,59.0,12.0,48.0,29.0,196.0,64.0,57.0,45.0,239.0,39.0
941,0.0,1.0,68.0,40.0,38.0,47.0,10.0,78.0,3.0,35.0,9.0,26.0,17.0,62.0,2.0,50.0,71.0,6.0,46.0,58.0,34.0,14.0,56.0,11.0,12.0,8.0,30.0,4.0,488.0,32.0
990,0.0,7.0,109.0,16.0,5.0,1.0,3.0,18.0,15.0,37.0,30.0,17.0,8.0,115.0,418.0,96.0,2.0,199.0,51.0,195.0,38.0,32.0,6.0,1805.0,24.0,80.0,111.0,42.0,77.0,29.0
1039,12.0,16.0,9.0,17.0,2.0,5.0,3.0,13.0,78.0,71.0,67.0,4.0,8.0,1.0,14.0,35.0,0.0,186.0,20.0,66.0,19.0,64.0,51.0,168.0,26.0,80.0,202.0,134.0,43.0,183.0
1088,3.0,29.0,31.0,0.0,1.0,6.0,91.0,7.0,46.0,5.0,66.0,23.0,13.0,38.0,33.0,90.0,14.0,130.0,16.0,10.0,77.0,28.0,4.0,162.0,88.0,15.0,609.0,2.0,191.0,19.0
1137,0.0,84.0,4.0,19.0,3.0,8.0,12.0,38.0,13.0,60.0,37.0,9.0,6.0,50.0,11.0,80.0,15.0,27.0,24.0,52.0,22.0,186.0,41.0,194.0,47.0,46.0,90.0,2.0,43.0,17.0
1186,0.0,10.0,1.0,2.0,5.0,4.0,760.0,6.0,13.0,55.0,36.0,43.0,45.0,158.0,8.0,31.0,22.0,103.0,11.0,27.0,18.0,240.0,16.0,773.0,113.0,62.0,54.0,3.0,177.0,89.0
1235,0.0,18.0,16.0,1.0,14.0,2.0,17.0,23.0,6.0,193.0,24.0,15.0,93.0,4.0,26.0,7.0,10.0,478.0,20.0,19.0,63.0,48.0,25.0,47.0,5.0,35.0,321.0,22.0,111.0,107.0
1284,0.0,13.0,2.0,3.0,6.0,10.0,17.0,27.0,16.0,43.0,57.0,9.0,5.0,19.0,48.0,31.0,21.0,86.0,34.0,7.0,18.0,124.0,15.0,93.0,65.0,11.0,159.0,8.0,267.0,20.0
1333,0.0,150.0,82.0,1.0,4.0,2.0,21.0,15.0,11.0,99.0,16.0,53.0,5.0,64.0,6.0,23.0,20.0,29.0,24.0,18.0,39.0,259.0,34.0,128.0,19.0,12.0,164.0,17.0,77.0,98.0
1382,1.0,10.0,9.0,6.0,3.0,2.0,18.0,4.0,66.0,145.0,12.0,16.0,61.0,5.0,0.0,37.0,64.0,112.0,15.0,20.0,39.0,74.0,90.0,233.0,28.0,32.0,164.0,208.0,27.0,51.0
1431,0.0,29.0,4.0,13.0,7.0,5.0,14.0,26.0,17.0,73.0,55.0,31.0,20.0,8.0,1.0,67.0,30.0,306.0,60.0,24.0,28.0,10.0,22.0,39.0,40.0,89.0,74.0,2.0,25.0,98.0
1480,0.0,1.0,10.0,8.0,89.0,3.0,2.0,27.0,28.0,4.0,109.0,16.0,822.0,46.0,11.0,23.0,67.0,209.0,24.0,14.0,43.0,19.0,26.0,29.0,99.0,30.0,452.0,124.0,5.0,38.0
1529,39.0,3.0,9.0,26.0,160.0,1.0,40.0,22.0,11.0,2.0,100.0,59.0,37.0,79.0,67.0,15.0,53.0,10.0,61.0,49.0,48.0,33.0,41.0,12.0,20.0,30.0,35.0,378.0,0.0,4.0
1578,0.0,1.0,70.0,524.0,47.0,3.0,24.0,23.0,153.0,16.0,6.0,5.0,400.0,4.0,12.0,7.0,15.0,107.0,66.0,27.0,17.0,11.0,49.0,96.0,62.0,41.0,76.0,257.0,9.0,87.0
1627,0.0,3.0,18.0,10.0,49.0,4.0,2.0,116.0,43.0,5.0,38.0,17.0,712.0,21.0,9.0,1.0,64.0,697.0,214.0,24.0,165.0,30.0,16.0,97.0,7.0,22.0,65.0,885.0,34.0,96.0
1676,29.0,0.0,1.0,4.0,19.0,5.0,2.0,37.0,32.0,8.0,34.0,14.0,247.0,38.0,18.0,9.0,17.0,23.0,81.0,28.0,26.0,27.0,20.0,192.0,36.0,58.0,75.0,175.0,3.0,7.0
1725,2.0,0.0,48.0,39.0,40.0,6.0,1.0,42.0,27.0,5.0,65.0,29.0,25.0,3.0,4.0,41.0,91.0,168.0,63.0,66.0,30.0,13.0,46.0,67.0,106.0,8.0,51.0,73.0,24.0,14.0
1774,4.0,1.0,17.0,121.0,89.0,13.0,0.0,5.0,21.0,3.0,62.0,25.0,684.0,32.0,2.0,58.0,34.0,186.0,69.0,38.0,14.0,9.0,11.0,209.0,19.0,23.0,33.0,453.0,7.0,39.0
1823,1.0,0.0,4.0,40.0,16.0,7.0,47.0,82.0,8.0,11.0,79.0,75.0,10.0,35.0,241.0,27.0,34.0,159.0,17.0,6.0,13.0,30.0,66.0,62.0,92.0,22.0,505.0,48.0,2.0,3.0
1872,10.0,4.0,17.0,2.0,30.0,6.0,0.0,133.0,14.0,12.0,90.0,31.0,55.0,7.0,25.0,16.0,42.0,546.0,96.0,8.0,22.0,66.0,9.0,118.0,39.0,264.0,24.0,23.0,18.0,11.0
1921,3.0,1.0,26.0,59.0,35.0,6.0,8.0,30.0,11.0,2.0,93.0,83.0,216.0,38.0,290.0,13.0,46.0,14.0,29.0,16.0,27.0,44.0,4.0,50.0,91.0,20.0,21.0,25.0,62.0,88.0
1970,2.0,79.0,259.0,71.0,1.0,124.0,24.0,89.0,27.0,12.0,78.0,7.0,28.0,0.0,19.0,34.0,55.0,26.0,44.0,119.0,6.0,933.0,18.0,29.0,5.0,31.0,33.0,72.0,667.0,81.0
2019,25.0,114.0,138.0,27.0,2.0,98.0,1.0,0.0,134.0,35.0,40.0,36.0,54.0,20.0,195.0,3.0,55.0,66.0,9.0,100.0,23.0,250.0,33.0,101.0,140.0,178.0,5.0,11.0,295.0,175.0
2068,3.0,0.0,143.0,2.0,14.0,63.0,27.0,1.0,9.0,10.0,33.0,122.0,16.0,43.0,20.0,32.0,166.0,35.0,24.0,103.0,5.0,369.0,42.0,77.0,13.0,8.0,66.0,209.0,111.0,343.0
2117,18.0,20.0,40.0,157.0,24.0,16.0,12.0,46.0,29.0,2.0,23.0,11.0,45.0,30.0,128.0,27.0,4.0,125.0,5.0,8.0,14.0,49.0,37.0,22.0,84.0,15.0,144.0,350.0,110.0,78.0
2166,21.0,45.0,59.0,326.0,2.0,22.0,9.0,5.0,27.0,10.0,25.0,7.0,4.0,81.0,31.0,17.0,29.0,0.0,15.0,92.0,11.0,78.0,159.0,36.0,14.0,34.0,33.0,127.0,74.0,308.0
2215,1.0,31.0,102.0,82.0,21.0,322.0,24.0,18.0,17.0,10.0,23.0,6.0,15.0,4.0,156.0,20.0,12.0,87.0,32.0,73.0,11.0,305.0,56.0,92.0,41.0,43.0,49.0,9.0,59.0,199.0
2264,15.0,9.0,95.0,40.0,18.0,11.0,0.0,6.0,74.0,1.0,12.0,14.0,10.0,13.0,47.0,17.0,5.0,191.0,26.0,55.0,24.0,237.0,124.0,45.0,27.0,69.0,23.0,189.0,309.0,216.0
2313,4.0,11.0,36.0,55.0,1.0,3.0,12.0,137.0,20.0,5.0,110.0,27.0,171.0,192.0,368.0,113.0,29.0,104.0,16.0,50.0,21.0,151.0,82.0,53.0,19.0,49.0,74.0,10.0,32.0,300.0
2362,2.0,5.0,9.0,57.0,7.0,13.0,27.0,12.0,3.0,19.0,23.0,6.0,249.0,228.0,90.0,25.0,34.0,462.0,21.0,102.0,17.0,68.0,49.0,26.0,11.0,132.0,206.0,16.0,1252.0,512.0
2411,12.0,101.0,97.0,870.0,18.0,21.0,0.0,74.0,83.0,2.0,31.0,9.0,27.0,35.0,14.0,39.0,3.0,224.0,19.0,132.0,53.0,86.0,38.0,118.0,248.0,17.0,10.0,48.0,313.0,416.0
2460,5.0,6.0,24.0,0.0,7.0,35.0,18.0,64.0,13.0,11.0,9.0,2.0,10.0,106.0,147.0,188.0,100.0,185.0,208.0,4.0,297.0,65.0,17.0,107.0,21.0,488.0,48.0,22.0,510.0,30.0
2509,0.0,9.0,5.0,6.0,56.0,291.0,23.0,34.0,1.0,75.0,17.0,24.0,11.0,2.0,20.0,79.0,268.0,262.0,160.0,37.0,172.0,15.0,12.0,21.0,22.0,312.0,47.0,44.0,49.0,68.0
2558,0.0,5.0,1.0,14.0,28.0,48.0,16.0,6.0,9.0,25.0,24.0,31.0,2.0,4.0,46.0,36.0,276.0,75.0,158.0,8.0,185.0,3.0,13.0,11.0,257.0,149.0,19.0,47.0,30.0,27.0
2607,0.0,4.0,3.0,48.0,58.0,220.0,6.0,26.0,14.0,12.0,25.0,70.0,1.0,307.0,10.0,30.0,59.0,37.0,93.0,33.0,115.0,5.0,13.0,15.0,21.0,51.0,2.0,75.0,55.0,46.0
2656,0.0,7.0,1.0,5.0,60.0,93.0,331.0,17.0,8.0,33.0,31.0,13.0,3.0,63.0,54.0,41.0,149.0,248.0,185.0,2.0,97.0,36.0,6.0,14.0,35.0,151.0,26.0,9.0,49.0,48.0
2705,1.0,11.0,3.0,36.0,9.0,2.0,5.0,0.0,14.0,24.0,6.0,10.0,8.0,83.0,184.0,26.0,197.0,7.0,126.0,39.0,60.0,91.0,54.0,140.0,42.0,356.0,23.0,76.0,49.0,40.0
2754,0.0,10.0,5.0,16.0,57.0,9.0,8.0,2.0,7.0,29.0,11.0,13.0,21.0,19.0,60.0,72.0,389.0,30.0,246.0,18.0,307.0,58.0,12.0,24.0,63.0,156.0,98.0,42.0,93.0,1.0
2803,0.0,3.0,53.0,1.0,49.0,12.0,7.0,18.0,2.0,10.0,51.0,21.0,14.0,23.0,82.0,156.0,105.0,42.0,163.0,73.0,68.0,15.0,16.0,31.0,126.0,177.0,9.0,40.0,189.0,28.0
2852,0.0,12.0,33.0,3.0,43.0,6.0,21.0,14.0,2.0,13.0,9.0,35.0,1.0,18.0,24.0,66.0,350.0,55.0,68.0,77.0,45.0,71.0,29.0,104.0,103.0,51.0,10.0,34.0,145.0,87.0
2901,0.0,1.0,120.0,13.0,34.0,17.0,45.0,16.0,9.0,52.0,5.0,4.0,3.0,8.0,14.0,36.0,100.0,210.0,184.0,47.0,68.0,62.0,15.0,70.0,277.0,78.0,41.0,344.0,48.0,43.0
2950,0.0,59.0,6.0,16.0,7.0,1.0,3.0,8.0,46.0,85.0,10.0,11.0,15.0,2.0,45.0,39.0,47.0,116.0,29.0,5.0,135.0,13.0,37.0,129.0,12.0,291.0,144.0,9.0,136.0,25.0
2999,0.0,1.0,2.0,6.0,38.0,7.0,12.0,4.0,76.0,56.0,15.0,18.0,10.0,14.0,3.0,19.0,85.0,461.0,69.0,8.0,105.0,9.0,55.0,13.0,27.0,114.0,71.0,79.0,70.0,16.0
3048,0.0,18.0,4.0,2.0,28.0,24.0,104.0,3.0,34.0,90.0,10.0,22.0,65.0,9.0,13.0,49.0,211.0,50.0,32.0,1.0,135.0,145.0,79.0,117.0,87.0,29.0,102.0,19.0,142.0,6.0
3097,7.0,72.0,8.0,0.0,2.0,10.0,14.0,16.0,75.0,21.0,83.0,13.0,47.0,1.0,5.0,34.0,20.0,467.0,23.0,3.0,48.0,42.0,49.0,30.0,365.0,86.0,15.0,31.0,744.0,74.0
3146,0.0,9.0,93.0,1.0,10.0,5.0,24.0,2.0,18.0,15.0,26.0,19.0,3.0,46.0,8.0,83.0,12.0,38.0,99.0,49.0,131.0,11.0,30.0,27.0,77.0,156.0,63.0,13.0,42.0,35.0
3195,0.0,2.0,42.0,1.0,8.0,3.0,5.0,6.0,141.0,36.0,37.0,9.0,16.0,13.0,46.0,117.0,30.0,496.0,35.0,38.0,87.0,20.0,64.0,15.0,12.0,27.0,60.0,4.0,516.0,29.0
3244,7.0,685.0,41.0,1.0,2.0,0.0,5.0,32.0,124.0,14.0,11.0,10.0,9.0,8.0,21.0,60.0,18.0,34.0,71.0,6.0,103.0,40.0,98.0,23.0,12.0,80.0,22.0,24.0,82.0,258.0
3293,3.0,1.0,5.0,0.0,4.0,2.0,22.0,11.0,96.0,17.0,9.0,21.0,32.0,13.0,76.0,166.0,12.0,786.0,18.0,10.0,82.0,65.0,218.0,368.0,61.0,283.0,101.0,26.0,553.0,7.0
3342,6.0,61.0,9.0,0.0,8.0,1.0,2.0,3.0,31.0,82.0,12.0,27.0,13.0,5.0,38.0,36.0,4.0,99.0,44.0,18.0,104.0,29.0,48.0,11.0,75.0,33.0,43.0,7.0,550.0,68.0
3391,0.0,2.0,50.0,1.0,8.0,3.0,9.0,4.0,12.0,28.0,34.0,5.0,94.0,119.0,6.0,180.0,11.0,3191.0,37.0,82.0,36.0,7.0,22.0,1066.0,63.0,35.0,123.0,15.0,554.0,44.0
3440,2.0,68.0,19.0,54.0,7.0,15.0,0.0,6.0,13.0,4.0,29.0,25.0,71.0,12.0,189.0,30.0,3.0,16.0,38.0,46.0,34.0,28.0,65.0,10.0,100.0,359.0,48.0,86.0,14.0,47.0
3489,0.0,4.0,1.0,145.0,29.0,40.0,30.0,37.0,43.0,15.0,3.0,45.0,2.0,60.0,42.0,23.0,17.0,19.0,26.0,6.0,50.0,57.0,28.0,12.0,326.0,126.0,22.0,181.0,5.0,13.0
3538,0.0,16.0,13.0,166.0,18.0,96.0,2.0,7.0,129.0,19.0,25.0,39.0,27.0,41.0,51.0,30.0,77.0,9.0,12.0,14.0,62.0,3.0,8.0,66.0,26.0,95.0,1.0,21.0,6.0,48.0
3587,5.0,1.0,6.0,86.0,26.0,298.0,3.0,8.0,90.0,10.0,4.0,11.0,39.0,159.0,9.0,23.0,52.0,37.0,32.0,12.0,233.0,65.0,188.0,0.0,509.0,129.0,17.0,198.0,46.0,45.0
3636,0.0,2.0,18.0,15.0,37.0,29.0,23.0,42.0,32.0,17.0,3.0,140.0,5.0,66.0,225.0,20.0,56.0,1.0,24.0,16.0,33.0,95.0,111.0,30.0,51.0,131.0,9.0,82.0,12.0,13.0
3685,0.0,2.0,6.0,313.0,25.0,54.0,42.0,8.0,36.0,11.0,29.0,14.0,5.0,10.0,40.0,68.0,19.0,20.0,45.0,1.0,22.0,142.0,26.0,79.0,168.0,97.0,7.0,86.0,15.0,55.0
3734,1.0,4.0,7.0,20.0,10.0,182.0,12.0,30.0,63.0,28.0,8.0,19.0,26.0,5.0,29.0,13.0,179.0,9.0,18.0,6.0,21.0,155.0,78.0,3.0,59.0,165.0,37.0,148.0,2.0,106.0
3783,1.0,9.0,2.0,1004.0,7.0,72.0,4.0,30.0,55.0,24.0,11.0,35.0,19.0,110.0,73.0,80.0,8.0,0.0,38.0,6.0,76.0,62.0,74.0,17.0,21.0,172.0,91.0,108.0,3.0,429.0
3832,0.0,4.0,31.0,114.0,35.0,83.0,14.0,5.0,37.0,11.0,9.0,46.0,2.0,104.0,60.0,93.0,94.0,1.0,33.0,7.0,56.0,42.0,43.0,27.0,75.0,67.0,6.0,147.0,10.0,57.0
3881,10.0,136.0,4.0,59.0,19.0,45.0,36.0,35.0,102.0,39.0,0.0,17.0,22.0,27.0,178.0,12.0,3.0,6.0,61.0,5.0,11.0,72.0,70.0,1.0,192.0,253.0,25.0,985.0,2.0,470.0
3930,22.0,1.0,13.0,0.0,7.0,74.0,21.0,29.0,4.0,3.0,6.0,51.0,269.0,60.0,25.0,46.0,11.0,1755.0,41.0,258.0,17.0,23.0,179.0,5.0,43.0,32.0,209.0,311.0,66.0,279.0
3979,0.0,2.0,11.0,1.0,28.0,69.0,7.0,87.0,31.0,3.0,4.0,240.0,49.0,8.0,19.0,33.0,24.0,37.0,13.0,168.0,50.0,18.0,22.0,10.0,118.0,14.0,17.0,246.0,36.0,112.0
4028,18.0,27.0,2.0,12.0,11.0,270.0,28.0,17.0,21.0,8.0,13.0,174.0,189.0,0.0,9.0,38.0,53.0,36.0,108.0,73.0,52.0,15.0,88.0,19.0,165.0,16.0,245.0,83.0,34.0,713.0
4077,10.0,1.0,47.0,0.0,3.0,55.0,4.0,11.0,37.0,2.0,18.0,83.0,258.0,22.0,290.0,23.0,28.0,154.0,19.0,59.0,42.0,46.0,41.0,49.0,86.0,74.0,77.0,184.0,75.0,30.0
4126,2.0,0.0,12.0,3.0,6.0,40.0,11.0,130.0,27.0,21.0,8.0,54.0,23.0,22.0,30.0,15.0,13.0,56.0,84.0,50.0,18.0,10.0,14.0,9.0,35.0,7.0,31.0,688.0,25.0,82.0
4175,3.0,1.0,0.0,11.0,25.0,135.0,4.0,8.0,15.0,17.0,5.0,90.0,149.0,73.0,23.0,30.0,334.0,72.0,10.0,55.0,37.0,71.0,47.0,2.0,22.0,7.0,316.0,59.0,31.0,18.0
4224,1.0,0.0,22.0,5.0,6.0,190.0,50.0,23.0,8.0,4.0,55.0,39.0,155.0,27.0,158.0,74.0,45.0,10.0,33.0,133.0,7.0,443.0,31.0,76.0,40.0,3.0,16.0,77.0,73.0,186.0
4273,47.0,18.0,10.0,11.0,13.0,66.0,1.0,32.0,4.0,2.0,21.0,65.0,23.0,27.0,14.0,56.0,53.0,6.0,33.0,155.0,104.0,59.0,17.0,57.0,22.0,26.0,83.0,110.0,48.0,390.0
4322,0.0,22.0,8.0,2.0,4.0,175.0,1.0,69.0,11.0,20.0,3.0,42.0,278.0,105.0,117.0,27.0,143.0,6.0,60.0,71.0,18.0,31.0,57.0,19.0,23.0,26.0,5.0,322.0,32.0,159.0
4371,0.0,8.0,6.0,1.0,27.0,121.0,12.0,2.0,3.0,48.0,4.0,312.0,87.0,66.0,42.0,32.0,31.0,7.0,20.0,107.0,72.0,83.0,22.0,84.0,336.0,11.0,44.0,30.0,10.0,468.0
4420,3.0,0.0,25.0,22.0,32.0,42.0,6.0,9.0,39.0,7.0,14.0,15.0,11.0,73.0,5.0,105.0,65.0,55.0,28.0,1.0,44.0,62.0,58.0,118.0,97.0,31.0,36.0,133.0,8.0,2.0
4469,3.0,40.0,5.0,7.0,12.0,21.0,610.0,11.0,1.0,28.0,4.0,30.0,2.0,91.0,51.0,97.0,66.0,0.0,14.0,10.0,23.0,277.0,24.0,106.0,160.0,47.0,49.0,124.0,53.0,8.0
4518,15.0,6.0,10.0,2.0,13.0,24.0,32.0,38.0,4.0,1.0,12.0,3.0,8.0,217.0,5.0,219.0,74.0,0.0,40.0,7.0,23.0,44.0,39.0,18.0,171.0,28.0,31.0,206.0,49.0,16.0
4567,9.0,10.0,71.0,37.0,17.0,156.0,478.0,2.0,7.0,4.0,14.0,92.0,3.0,234.0,5.0,73.0,13.0,12.0,32.0,28.0,21.0,43.0,6.0,88.0,219.0,16.0,30.0,904.0,46.0,22.0
4616,1.0,29.0,19.0,118.0,18.0,9.0,25.0,15.0,2.0,6.0,31.0,40.0,0.0,16.0,8.0,168.0,46.0,7.0,27.0,24.0,67.0,5.0,72.0,43.0,104.0,14.0,145.0,129.0,3.0,11.0
4665,1.0,6.0,8.0,35.0,9.0,31.0,42.0,13.0,12.0,23.0,0.0,15.0,3.0,184.0,24.0,63.0,19.0,4.0,67.0,189.0,30.0,26.0,40.0,46.0,91.0,32.0,17.0,397.0,28.0,2.0
4714,1.0,32.0,3.0,51.0,24.0,17.0,99.0,16.0,47.0,5.0,20.0,4.0,2.0,65.0,0.0,61.0,28.0,6.0,18.0,10.0,13.0,8.0,29.0,39.0,254.0,22.0,49.0,364.0,9.0,63.0
4763,50.0,8.0,12.0,6.0,9.0,52.0,102.0,16.0,11.0,5.0,0.0,7.0,2.0,378.0,3.0,90.0,99.0,145.0,74.0,4.0,63.0,73.0,14.0,28.0,114.0,260.0,45.0,38.0,20.0,21.0
4812,3.0,0.0,18.0,25.0,29.0,7.0,13.0,12.0,5.0,1.0,27.0,30.0,15.0,38.0,4.0,89.0,34.0,21.0,11.0,32.0,17.0,8.0,22.0,144.0,251.0,2.0,167.0,1185.0,10.0,9.0
4861,0.0,3.0,10.0,4.0,18.0,8.0,12.0,16.0,17.0,2.0,37.0,9.0,6.0,88.0,32.0,41.0,192.0,45.0,38.0,60.0,25.0,31.0,55.0,179.0,111.0,23.0,122.0,46.0,20.0,1.0
