,IQGAP2,ITGA9,BMPR1B,UCP2,RP11-834C11.4,RP1-97D16.1,RPL7AP28,TSPYL5,ZNF334,RASSF9,GGT6,TRIM58,ST6GALNAC5,C2orf54,SFMBT2,RP11-288H12.3,CYTH1,HIST1H2BH,CCBL2,RP11-44F14.2,ILDR1,AC016710.1,C20orf112,TMEM98,PRDM5,KCNIP2-AS1,SRBD1,AUP1,NFATC4,FOXJ1
647,6.0,20.0,29.0,4.0,0.0,3.0,2.0,1.0,9.0,73.0,51.0,25.0,5.0,22.0,172.0,50.0,38.0,45.0,8.0,26.0,23.0,732.0,10.0,36.0,39.0,75.0,13.0,21.0,17.0,394.0
696,4.0,12.0,107.0,131.0,0.0,29.0,1.0,16.0,3.0,169.0,110.0,6.0,27.0,123.0,26.0,9.0,41.0,22.0,11.0,86.0,84.0,143.0,21.0,25.0,7.0,57.0,54.0,49.0,2.0,61.0
745,13.0,12.0,32.0,2.0,15.0,29.0,0.0,6.0,3.0,43.0,16.0,34.0,7.0,27.0,92.0,28.0,164.0,137.0,1.0,48.0,33.0,290.0,30.0,23.0,11.0,332.0,14.0,4.0,5.0,128.0
794,13.0,43.0,1.0,2.0,4.0,3.0,6.0,37.0,0.0,11.0,42.0,72.0,14.0,10.0,62.0,8.0,21.0,94.0,44.0,27.0,24.0,184.0,20.0,31.0,124.0,22.0,9.0,7.0,5.0,156.0
843,1.0,3.0,6.0,8.0,0.0,4.0,7.0,223.0,24.0,20.0,23.0,111.0,30.0,10.0,57.0,12.0,13.0,39.0,2.0,46.0,17.0,149.0,38.0,209.0,40.0,108.0,31.0,19.0,9.0,287.0
892,6.0,5.0,28.0,10.0,11.0,4.0,3.0,8.0,18.0,19.0,36.0,16.0,2.0,64.0,24.0,7.0,13.0,27.0,42.0,59.0,141.0,252.0,14.0,17.0,72.0,69.0,52.0,31.0,1.0,655.0
941,0.0,3.0,8.0,11.0,1.0,7.0,9.0,10.0,6.0,24.0,21.0,28.0,5.0,16.0,18.0,14.0,17.0,35.0,2.0,25.0,34.0,63.0,26.0,29.0,13.0,203.0,12.0,22.0,4.0,67.0
990,1.0,4.0,0.0,30.0,11.0,92.0,3.0,21.0,7.0,2.0,17.0,67.0,8.0,16.0,84.0,12.0,15.0,25.0,44.0,6.0,9.0,118.0,61.0,80.0,29.0,52.0,50.0,49.0,137.0,132.0
1039,0.0,4.0,3.0,11.0,9.0,12.0,1.0,58.0,6.0,8.0,274.0,16.0,7.0,93.0,101.0,42.0,35.0,19.0,17.0,21.0,60.0,2.0,10.0,27.0,137.0,52.0,34.0,63.0,276.0,737.0
1088,0.0,2.0,1.0,6.0,4.0,18.0,8.0,5.0,48.0,7.0,21.0,290.0,11.0,40.0,139.0,9.0,102.0,3.0,43.0,19.0,15.0,28.0,10.0,41.0,288.0,137.0,24.0,77.0,113.0,39.0
1137,1.0,2.0,11.0,9.0,70.0,21.0,18.0,43.0,0.0,16.0,25.0,78.0,4.0,15.0,42.0,5.0,19.0,3.0,10.0,7.0,20.0,96.0,6.0,8.0,105.0,29.0,53.0,51.0,103.0,62.0
1186,2.0,29.0,1.0,9.0,24.0,61.0,0.0,15.0,17.0,4.0,50.0,51.0,10.0,52.0,239.0,3.0,85.0,11.0,16.0,36.0,26.0,6.0,71.0,38.0,84.0,107.0,135.0,48.0,93.0,818.0
1235,2.0,1.0,0.0,11.0,29.0,7.0,5.0,17.0,8.0,3.0,47.0,132.0,6.0,95.0,23.0,9.0,55.0,61.0,15.0,13.0,28.0,10.0,16.0,180.0,298.0,40.0,41.0,25.0,150.0,264.0
1284,4.0,32.0,2.0,5.0,1.0,28.0,23.0,27.0,26.0,11.0,47.0,246.0,0.0,18.0,22.0,12.0,54.0,68.0,10.0,55.0,42.0,87.0,34.0,6.0,152.0,72.0,69.0,153.0,33.0,151.0
1333,0.0,3.0,5.0,32.0,13.0,2.0,1.0,23.0,8.0,7.0,54.0,29.0,4.0,21.0,189.0,30.0,104.0,6.0,68.0,17.0,20.0,10.0,9.0,12.0,65.0,50.0,15.0,127.0,452.0,73.0
1382,7.0,4.0,3.0,2.0,13.0,78.0,15.0,5.0,23.0,0.0,9.0,290.0,64.0,70.0,271.0,6.0,54.0,1.0,213.0,26.0,20.0,11.0,24.0,107.0,406.0,17.0,96.0,93.0,89.0,97.0
1431,0.0,1.0,45.0,126.0,5.0,227.0,4.0,9.0,21.0,19.0,3.0,8.0,125.0,146.0,1152.0,2.0,48.0,11.0,24.0,491.0,39.0,7.0,67.0,145.0,128.0,113.0,133.0,90.0,344.0,1078.0
1480,0.0,12.0,9.0,1.0,30.0,4.0,2.0,3.0,15.0,7.0,17.0,187.0,10.0,46.0,72.0,45.0,6.0,71.0,8.0,19.0,16.0,92.0,32.0,29.0,119.0,22.0,42.0,20.0,33.0,25.0
1529,25.0,5.0,8.0,1.0,3.0,183.0,4.0,0.0,6.0,10.0,40.0,44.0,13.0,16.0,73.0,14.0,2.0,46.0,104.0,23.0,24.0,22.0,77.0,38.0,182.0,7.0,26.0,80.0,9.0,45.0
1578,4.0,9.0,22.0,3.0,13.0,54.0,0.0,11.0,100.0,79.0,14.0,5.0,7.0,17.0,38.0,29.0,70.0,32.0,2.0,42.0,8.0,16.0,228.0,20.0,67.0,69.0,51.0,23.0,36.0,44.0
1627,3.0,17.0,1.0,5.0,25.0,7.0,0.0,2.0,63.0,6.0,180.0,65.0,19.0,96.0,117.0,205.0,11.0,1581.0,10.0,71.0,13.0,26.0,12.0,16.0,60.0,92.0,22.0,9.0,24.0,75.0
1676,5.0,4.0,3.0,0.0,7.0,10.0,1.0,2.0,13.0,9.0,90.0,26.0,78.0,217.0,17.0,28.0,100.0,142.0,11.0,59.0,25.0,34.0,58.0,54.0,171.0,61.0,22.0,6.0,104.0,41.0
1725,4.0,5.0,61.0,0.0,16.0,2.0,35.0,1.0,13.0,30.0,54.0,84.0,22.0,59.0,45.0,53.0,7.0,73.0,25.0,85.0,17.0,95.0,98.0,34.0,250.0,29.0,63.0,6.0,374.0,23.0
1774,4.0,2.0,37.0,1.0,8.0,5.0,3.0,0.0,15.0,144.0,18.0,9.0,16.0,54.0,10.0,62.0,12.0,82.0,31.0,34.0,6.0,188.0,44.0,24.0,306.0,28.0,36.0,11.0,23.0,22.0
1823,3.0,5.0,14.0,0.0,9.0,4.0,2.0,1.0,105.0,144.0,19.0,55.0,125.0,20.0,132.0,16.0,12.0,28.0,8.0,31.0,6.0,107.0,202.0,87.0,45.0,84.0,26.0,39.0,52.0,7.0
1872,0.0,6.0,5.0,4.0,9.0,2.0,1.0,3.0,23.0,14.0,94.0,66.0,26.0,29.0,43.0,229.0,30.0,63.0,8.0,20.0,11.0,33.0,144.0,76.0,71.0,53.0,18.0,7.0,114.0,37.0
1921,1.0,20.0,34.0,7.0,22.0,43.0,0.0,4.0,32.0,18.0,3.0,48.0,1655.0,389.0,140.0,12.0,16.0,27.0,10.0,388.0,6.0,105.0,122.0,302.0,88.0,35.0,28.0,15.0,734.0,465.0
1970,0.0,3.0,23.0,13.0,92.0,9.0,11.0,94.0,4.0,27.0,5.0,24.0,26.0,6.0,28.0,45.0,7.0,32.0,2.0,54.0,49.0,84.0,22.0,19.0,1.0,307.0,16.0,113.0,80.0,18.0
2019,0.0,1.0,71.0,4.0,180.0,6.0,24.0,297.0,145.0,252.0,9.0,88.0,275.0,7.0,670.0,34.0,50.0,18.0,33.0,39.0,23.0,140.0,107.0,230.0,46.0,21.0,15.0,405.0,154.0,16.0
2068,0.0,26.0,165.0,4.0,8.0,10.0,49.0,100.0,5.0,371.0,12.0,24.0,3.0,1.0,102.0,68.0,282.0,27.0,17.0,31.0,95.0,61.0,54.0,2.0,30.0,83.0,20.0,181.0,182.0,9.0
2117,0.0,2.0,4.0,27.0,62.0,316.0,7.0,269.0,46.0,6.0,11.0,84.0,108.0,3.0,112.0,61.0,45.0,34.0,10.0,71.0,113.0,74.0,43.0,30.0,1.0,52.0,15.0,41.0,55.0,38.0
2166,5.0,4.0,16.0,1.0,118.0,2.0,23.0,6.0,12.0,14.0,0.0,8.0,33.0,17.0,10.0,49.0,30.0,43.0,11.0,166.0,29.0,25.0,37.0,20.0,19.0,308.0,42.0,26.0,417.0,38.0
2215,0.0,2.0,3.0,1.0,43.0,14.0,8.0,81.0,6.0,9.0,10.0,17.0,28.0,26.0,35.0,27.0,45.0,34.0,11.0,50.0,89.0,61.0,32.0,51.0,7.0,42.0,19.0,125.0,16.0,4.0
2264,1.0,10.0,31.0,2.0,131.0,15.0,14.0,9.0,0.0,11.0,3.0,67.0,38.0,5.0,216.0,7.0,26.0,68.0,6.0,195.0,136.0,435.0,8.0,64.0,53.0,169.0,16.0,73.0,147.0,72.0
2313,0.0,14.0,23.0,13.0,84.0,17.0,11.0,22.0,44.0,15.0,3.0,1.0,135.0,37.0,385.0,19.0,7.0,46.0,20.0,216.0,654.0,16.0,8.0,407.0,4.0,36.0,25.0,145.0,68.0,75.0
2362,1.0,18.0,28.0,8.0,380.0,11.0,15.0,2.0,30.0,6.0,3.0,22.0,9.0,4.0,0.0,20.0,26.0,333.0,32.0,60.0,206.0,72.0,23.0,69.0,25.0,34.0,14.0,466.0,280.0,228.0
2411,0.0,1.0,95.0,5.0,507.0,52.0,39.0,1192.0,27.0,18.0,13.0,11.0,8.0,2.0,215.0,6.0,80.0,24.0,32.0,51.0,19.0,10.0,57.0,12.0,16.0,70.0,9.0,530.0,45.0,3.0
2460,5.0,0.0,50.0,32.0,7.0,3.0,128.0,6.0,1.0,24.0,2.0,10.0,15.0,12.0,120.0,46.0,19.0,4.0,16.0,13.0,27.0,18.0,40.0,62.0,68.0,42.0,39.0,43.0,649.0,21.0
2509,11.0,2.0,18.0,110.0,41.0,12.0,75.0,16.0,22.0,4.0,0.0,83.0,412.0,8.0,24.0,13.0,15.0,5.0,42.0,87.0,94.0,1.0,7.0,216.0,3.0,9.0,40.0,48.0,814.0,148.0
2558,9.0,66.0,10.0,0.0,16.0,6.0,24.0,1.0,5.0,12.0,3.0,64.0,2.0,7.0,36.0,32.0,23.0,48.0,14.0,84.0,58.0,35.0,42.0,408.0,30.0,8.0,119.0,19.0,4.0,17.0
2607,39.0,8.0,61.0,6.0,35.0,3.0,120.0,0.0,4.0,69.0,9.0,30.0,2.0,56.0,1.0,29.0,138.0,23.0,111.0,73.0,130.0,5.0,26.0,68.0,13.0,36.0,41.0,7.0,243.0,20.0
2656,20.0,11.0,24.0,38.0,14.0,3.0,12.0,1.0,8.0,13.0,0.0,4.0,7.0,34.0,5.0,22.0,26.0,23.0,9.0,27.0,32.0,6.0,48.0,225.0,17.0,19.0,28.0,50.0,410.0,73.0
2705,2.0,14.0,0.0,11.0,47.0,1.0,110.0,29.0,15.0,7.0,5.0,52.0,33.0,16.0,182.0,34.0,66.0,96.0,9.0,28.0,65.0,3.0,19.0,24.0,22.0,10.0,21.0,8.0,103.0,113.0
2754,2.0,4.0,20.0,12.0,11.0,1.0,208.0,9.0,31.0,66.0,8.0,10.0,24.0,6.0,28.0,0.0,26.0,19.0,59.0,27.0,51.0,32.0,18.0,361.0,7.0,5.0,40.0,47.0,187.0,14.0
2803,4.0,2.0,11.0,16.0,22.0,48.0,92.0,29.0,35.0,9.0,0.0,14.0,33.0,31.0,6.0,21.0,40.0,32.0,5.0,171.0,133.0,10.0,37.0,112.0,7.0,3.0,41.0,38.0,241.0,60.0
2852,37.0,20.0,18.0,22.0,33.0,1.0,78.0,9.0,3.0,6.0,4.0,19.0,5.0,0.0,15.0,7.0,29.0,12.0,8.0,31.0,234.0,11.0,24.0,272.0,26.0,2.0,23.0,38.0,280.0,73.0
2901,3.0,21.0,12.0,36.0,38.0,11.0,438.0,10.0,31.0,16.0,17.0,37.0,5.0,25.0,23.0,89.0,46.0,15.0,0.0,22.0,120.0,1.0,115.0,26.0,9.0,35.0,119.0,54.0,122.0,103.0
2950,1.0,5.0,2.0,8.0,4.0,13.0,6.0,0.0,12.0,86.0,22.0,15.0,44.0,74.0,11.0,55.0,3.0,38.0,32.0,89.0,59.0,67.0,53.0,26.0,29.0,43.0,42.0,83.0,14.0,87.0
2999,0.0,68.0,2.0,6.0,14.0,146.0,7.0,5.0,25.0,8.0,15.0,19.0,22.0,43.0,18.0,29.0,4.0,12.0,32.0,245.0,10.0,118.0,3.0,26.0,170.0,136.0,20.0,64.0,17.0,89.0
3048,0.0,7.0,1.0,4.0,15.0,64.0,27.0,9.0,17.0,8.0,50.0,113.0,35.0,203.0,23.0,88.0,2.0,37.0,125.0,86.0,20.0,112.0,5.0,36.0,24.0,21.0,40.0,33.0,12.0,32.0
3097,1.0,19.0,16.0,36.0,5.0,92.0,11.0,0.0,3.0,25.0,9.0,14.0,12.0,39.0,146.0,51.0,21.0,8.0,40.0,54.0,17.0,13.0,27.0,31.0,30.0,130.0,46.0,230.0,172.0,101.0
3146,3.0,12.0,1.0,33.0,20.0,11.0,9.0,5.0,7.0,4.0,46.0,88.0,6.0,13.0,15.0,30.0,2.0,47.0,26.0,141.0,48.0,44.0,10.0,39.0,19.0,63.0,38.0,103.0,68.0,337.0
3195,2.0,0.0,1.0,25.0,15.0,49.0,7.0,6.0,12.0,16.0,28.0,21.0,5.0,31.0,18.0,57.0,10.0,187.0,19.0,528.0,42.0,13.0,75.0,3.0,32.0,612.0,34.0,60.0,11.0,180.0
3244,1.0,14.0,0.0,38.0,10.0,122.0,179.0,15.0,21.0,20.0,3.0,47.0,4.0,22.0,6.0,31.0,7.0,28.0,29.0,48.0,17.0,11.0,9.0,19.0,18.0,113.0,143.0,144.0,26.0,530.0
3293,1.0,3.0,0.0,8.0,4.0,28.0,21.0,2.0,20.0,5.0,9.0,429.0,36.0,34.0,6.0,66.0,46.0,127.0,27.0,25.0,24.0,18.0,15.0,41.0,81.0,118.0,29.0,85.0,31.0,264.0
3342,1.0,84.0,4.0,13.0,7.0,20.0,21.0,0.0,2.0,57.0,15.0,36.0,109.0,1126.0,8.0,61.0,28.0,25.0,47.0,228.0,5.0,17.0,46.0,192.0,55.0,314.0,98.0,92.0,11.0,669.0
3391,2.0,6.0,7.0,163.0,24.0,4.0,10.0,17.0,0.0,5.0,11.0,51.0,9.0,38.0,13.0,286.0,16.0,224.0,25.0,32.0,63.0,118.0,22.0,15.0,46.0,80.0,42.0,133.0,31.0,61.0
3440,22.0,24.0,40.0,16.0,156.0,9.0,2.0,400.0,13.0,65.0,6.0,3.0,162.0,1.0,246.0,0.0,19.0,94.0,35.0,15.0,52.0,58.0,230.0,245.0,76.0,14.0,53.0,25.0,4.0,80.0
3489,10.0,8.0,80.0,4.0,7.0,6.0,97.0,31.0,38.0,100.0,2.0,11.0,71.0,19.0,331.0,0.0,41.0,12.0,37.0,60.0,33.0,81.0,638.0,1178.0,44.0,14.0,15.0,58.0,13.0,54.0
3538,5.0,15.0,154.0,35.0,1.0,70.0,0.0,10.0,13.0,52.0,39.0,3.0,267.0,28.0,584.0,8.0,29.0,21.0,36.0,42.0,17.0,94.0,158.0,569.0,155.0,18.0,47.0,24.0,108.0,74.0
3587,11.0,8.0,62.0,24.0,22.0,4.0,2.0,56.0,23.0,32.0,45.0,1.0,26.0,10.0,177.0,20.0,7.0,61.0,9.0,6.0,64.0,28.0,395.0,270.0,37.0,41.0,71.0,218.0,3.0,31.0
3636,3.0,9.0,111.0,13.0,12.0,29.0,6.0,14.0,0.0,55.0,27.0,4.0,68.0,17.0,189.0,5.0,21.0,51.0,35.0,43.0,49.0,149.0,295.0,236.0,40.0,45.0,28.0,44.0,22.0,58.0
3685,12.0,86.0,21.0,22.0,53.0,38.0,0.0,5.0,31.0,13.0,8.0,362.0,90.0,3.0,386.0,4.0,92.0,355.0,6.0,32.0,113.0,1575.0,309.0,56.0,70.0,58.0,26.0,47.0,1.0,88.0
3734,69.0,53.0,52.0,47.0,13.0,25.0,11.0,34.0,5.0,36.0,1.0,7.0,63.0,17.0,204.0,2.0,79.0,10.0,28.0,29.0,39.0,76.0,148.0,1555.0,136.0,14.0,24.0,219.0,60.0,48.0
3783,20.0,16.0,75.0,7.0,3.0,113.0,0.0,2.0,9.0,396.0,1.0,5.0,53.0,51.0,50.0,34.0,17.0,6.0,47.0,58.0,124.0,59.0,90.0,405.0,41.0,102.0,106.0,86.0,45.0,184.0
3832,44.0,15.0,507.0,8.0,22.0,46.0,10.0,78.0,23.0,110.0,7.0,2.0,25.0,1.0,26.0,6.0,12.0,34.0,96.0,30.0,69.0,131.0,382.0,786.0,74.0,4.0,64.0,83.0,36.0,72.0
3881,4.0,5.0,46.0,110.0,15.0,159.0,91.0,1096.0,215.0,59.0,47.0,51.0,205.0,3.0,81.0,0.0,30.0,6.0,95.0,12.0,29.0,39.0,417.0,441.0,300.0,1.0,238.0,994.0,28.0,18.0
3930,10.0,1.0,27.0,14.0,12.0,3.0,29.0,225.0,220.0,283.0,90.0,0.0,154.0,124.0,24.0,103.0,11.0,40.0,241.0,31.0,82.0,20.0,84.0,68.0,6.0,18.0,30.0,16.0,7.0,2.0
3979,6.0,28.0,55.0,15.0,27.0,9.0,103.0,294.0,116.0,66.0,57.0,1.0,0.0,24.0,3.0,277.0,21.0,53.0,75.0,26.0,95.0,8.0,17.0,30.0,2.0,11.0,52.0,31.0,46.0,49.0
4028,19.0,0.0,27.0,17.0,178.0,32.0,30.0,1252.0,140.0,18.0,5.0,24.0,102.0,31.0,2.0,35.0,7.0,15.0,359.0,26.0,92.0,3.0,60.0,8.0,4.0,10.0,36.0,39.0,180.0,6.0
4077,21.0,27.0,12.0,15.0,16.0,5.0,109.0,456.0,98.0,121.0,25.0,3.0,2.0,22.0,1.0,186.0,80.0,397.0,40.0,30.0,94.0,8.0,53.0,4.0,7.0,20.0,60.0,17.0,13.0,10.0
4126,4.0,0.0,8.0,21.0,30.0,7.0,91.0,1821.0,95.0,18.0,39.0,25.0,20.0,38.0,24.0,165.0,32.0,12.0,53.0,35.0,62.0,14.0,58.0,6.0,1.0,19.0,52.0,36.0,50.0,11.0
4175,7.0,11.0,41.0,12.0,14.0,1.0,43.0,263.0,94.0,108.0,34.0,2.0,4.0,17.0,10.0,88.0,22.0,177.0,112.0,60.0,61.0,19.0,158.0,3.0,6.0,13.0,42.0,31.0,9.0,8.0
4224,6.0,30.0,25.0,36.0,22.0,8.0,199.0,950.0,128.0,84.0,11.0,20.0,18.0,10.0,57.0,138.0,1.0,41.0,17.0,268.0,298.0,102.0,120.0,40.0,12.0,3.0,47.0,53.0,38.0,14.0
4273,10.0,16.0,8.0,11.0,21.0,7.0,44.0,206.0,80.0,32.0,70.0,0.0,6.0,43.0,5.0,22.0,13.0,27.0,116.0,34.0,82.0,2.0,60.0,93.0,9.0,26.0,110.0,59.0,96.0,50.0
4322,11.0,3.0,1.0,7.0,18.0,2.0,15.0,18967.0,92.0,12.0,38.0,8.0,5.0,6.0,0.0,291.0,30.0,366.0,65.0,17.0,13.0,9.0,64.0,55.0,4.0,23.0,24.0,21.0,37.0,120.0
4371,68.0,4.0,517.0,20.0,22.0,1.0,48.0,245.0,148.0,107.0,184.0,5.0,2.0,46.0,15.0,44.0,29.0,24.0,70.0,198.0,63.0,0.0,10.0,41.0,35.0,14.0,133.0,79.0,125.0,12.0
4420,8.0,5.0,3.0,228.0,4.0,44.0,6.0,0.0,24.0,13.0,65.0,7.0,51.0,54.0,16.0,110.0,10.0,25.0,45.0,61.0,48.0,2.0,15.0,1.0,40.0,229.0,156.0,195.0,120.0,18.0
4469,9.0,22.0,0.0,332.0,1.0,6.0,231.0,2.0,93.0,10.0,181.0,3.0,121.0,33.0,7.0,5.0,17.0,35.0,78.0,102.0,39.0,18.0,158.0,4.0,12.0,15.0,96.0,114.0,8.0,21.0
4518,6.0,2.0,1.0,36.0,11.0,56.0,18.0,26.0,9.0,3.0,87.0,85.0,116.0,12.0,29.0,163.0,221.0,126.0,19.0,32.0,17.0,20.0,153.0,0.0,89.0,298.0,59.0,38.0,168.0,14.0
4567,9.0,3.0,7.0,158.0,2.0,68.0,8.0,35.0,11.0,26.0,53.0,4.0,13.0,83.0,22.0,91.0,30.0,14.0,40.0,32.0,67.0,10.0,20.0,0.0,5.0,19.0,24.0,58.0,385.0,17.0
4616,3.0,2.0,13.0,117.0,10.0,25.0,29.0,94.0,1.0,190.0,122.0,6.0,55.0,51.0,36.0,38.0,92.0,23.0,9.0,28.0,118.0,101.0,8.0,0.0,4.0,19.0,83.0,410.0,18.0,5.0
4665,8.0,15.0,0.0,52.0,19.0,4.0,1.0,10.0,20.0,5.0,42.0,464.0,169.0,82.0,17.0,26.0,36.0,114.0,58.0,37.0,107.0,12.0,44.0,6.0,65.0,9.0,68.0,110.0,2.0,7.0
4714,7.0,1.0,2.0,36.0,22.0,14.0,4.0,42.0,6.0,9.0,28.0,8.0,10.0,3.0,15.0,50.0,65.0,33.0,26.0,18.0,27.0,13.0,25.0,0.0,12.0,34.0,44.0,31.0,24.0,11.0
4763,6.0,5.0,2.0,18.0,1.0,33.0,36.0,15.0,7.0,39.0,108.0,16.0,14.0,65.0,24.0,110.0,43.0,122.0,84.0,165.0,54.0,9.0,25.0,0.0,67.0,30.0,48.0,78.0,20.0,12.0
4812,37.0,7.0,1.0,21.0,13.0,225.0,8.0,4.0,25.0,12.0,67.0,42.0,98.0,127.0,16.0,158.0,137.0,23.0,68.0,105.0,55.0,19.0,2.0,3.0,62.0,26.0,131.0,64.0,14.0,5.0
4861,8.0,82.0,4.0,15.0,33.0,61.0,14.0,0.0,11.0,17.0,75.0,19.0,3.0,25.0,52.0,492.0,5.0,387.0,169.0,35.0,47.0,12.0,26.0,1.0,28.0,7.0,24.0,120.0,6.0,20.0
