,Bax,PI3K-p85,p53,CDK1,c-Jun_pS73,Beclin,VHL,c-Kit,Akt_pS473,4E-BP1_pT70,VAV1,Transglutaminase,p14 Arf(BetA300-340A),AR,Annexin 1,C-Raf_pS338,GATA3,p21,Acetyl-a-Tubulin (Lys40),Lck,AMPK_pT172,PRAS40_pT246,N-Cadherin,TTF1,FoxM1,CD31,INPP4B,AMPK_alpha,RAD51,p70S6K_pT389
490,2.0,0.0,47.0,1.0,21.0,5.0,52.0,10.0,59.0,38.0,14.0,6.0,20.0,15.0,62.0,18.0,11.0,60.0,39.0,41.0,32.0,3.0,73.0,139.0,26.0,16.0,76.0,85.0,64.0,27.0
539,19.0,1.0,0.0,26.0,2.0,5.0,52.0,9.0,73.0,25.0,28.0,74.0,21.0,12.0,15.0,55.0,39.0,23.0,20.0,22.0,94.0,31.0,156.0,111.0,76.0,44.0,40.0,75.0,131.0,42.0
588,2.0,1.0,10.0,0.0,50.0,3.0,17.0,4.0,79.0,21.0,45.0,103.0,23.0,51.0,44.0,7.0,15.0,30.0,124.0,40.0,76.0,29.0,58.0,14.0,71.0,8.0,26.0,33.0,62.0,31.0
637,3.0,0.0,6.0,2.0,4.0,5.0,14.0,13.0,68.0,11.0,47.0,26.0,79.0,51.0,12.0,7.0,15.0,50.0,60.0,29.0,9.0,54.0,104.0,140.0,22.0,98.0,17.0,37.0,110.0,33.0
686,1.0,3.0,2.0,15.0,98.0,7.0,9.0,0.0,126.0,12.0,6.0,123.0,16.0,61.0,14.0,5.0,27.0,22.0,55.0,101.0,4.0,36.0,51.0,65.0,8.0,44.0,148.0,39.0,70.0,54.0
735,8.0,0.0,3.0,52.0,2.0,14.0,68.0,5.0,147.0,6.0,9.0,18.0,7.0,1.0,30.0,11.0,26.0,13.0,57.0,43.0,17.0,91.0,79.0,45.0,112.0,87.0,22.0,133.0,41.0,96.0
784,4.0,1.0,0.0,5.0,3.0,11.0,9.0,2.0,61.0,20.0,14.0,82.0,30.0,96.0,49.0,10.0,128.0,12.0,7.0,18.0,41.0,28.0,108.0,114.0,13.0,110.0,56.0,54.0,71.0,6.0
833,9.0,0.0,11.0,2.0,3.0,1.0,78.0,22.0,147.0,127.0,45.0,16.0,27.0,48.0,25.0,4.0,19.0,47.0,20.0,146.0,61.0,128.0,15.0,28.0,14.0,8.0,5.0,35.0,49.0,92.0
882,1.0,0.0,19.0,10.0,7.0,2.0,9.0,5.0,129.0,25.0,18.0,4.0,16.0,8.0,3.0,12.0,34.0,14.0,96.0,35.0,89.0,31.0,13.0,73.0,69.0,36.0,70.0,65.0,24.0,15.0
931,0.0,3.0,43.0,86.0,2.0,1.0,128.0,58.0,10.0,6.0,44.0,42.0,19.0,24.0,33.0,54.0,15.0,133.0,4.0,5.0,11.0,41.0,26.0,81.0,7.0,32.0,103.0,126.0,35.0,84.0
980,0.0,9.0,12.0,4.0,8.0,6.0,7.0,33.0,10.0,13.0,43.0,22.0,58.0,2.0,3.0,18.0,1.0,11.0,20.0,47.0,145.0,79.0,85.0,5.0,15.0,46.0,30.0,25.0,112.0,153.0
1029,0.0,97.0,1.0,11.0,9.0,24.0,43.0,10.0,16.0,22.0,7.0,2.0,90.0,25.0,12.0,34.0,29.0,100.0,30.0,33.0,38.0,46.0,5.0,3.0,21.0,14.0,65.0,73.0,69.0,58.0
1078,0.0,4.0,5.0,2.0,3.0,8.0,50.0,7.0,26.0,44.0,9.0,41.0,12.0,60.0,11.0,86.0,24.0,53.0,18.0,71.0,140.0,6.0,1.0,19.0,52.0,17.0,90.0,74.0,39.0,49.0
1127,0.0,11.0,1.0,23.0,33.0,39.0,5.0,19.0,8.0,21.0,14.0,3.0,10.0,26.0,31.0,30.0,34.0,74.0,20.0,93.0,43.0,4.0,12.0,2.0,17.0,35.0,97.0,131.0,55.0,148.0
1176,1.0,13.0,0.0,19.0,2.0,29.0,34.0,37.0,131.0,5.0,152.0,40.0,31.0,21.0,7.0,22.0,45.0,94.0,11.0,65.0,28.0,3.0,10.0,56.0,61.0,38.0,4.0,25.0,47.0,33.0
1225,1.0,2.0,0.0,3.0,6.0,8.0,26.0,25.0,120.0,42.0,52.0,5.0,7.0,34.0,33.0,116.0,10.0,12.0,4.0,155.0,107.0,47.0,41.0,65.0,46.0,43.0,53.0,30.0,23.0,11.0
1274,2.0,93.0,0.0,10.0,1.0,5.0,17.0,18.0,77.0,105.0,8.0,4.0,38.0,6.0,56.0,91.0,3.0,50.0,9.0,19.0,64.0,103.0,28.0,11.0,21.0,12.0,16.0,39.0,46.0,24.0
1323,0.0,81.0,1.0,5.0,6.0,10.0,149.0,3.0,91.0,2.0,146.0,43.0,13.0,9.0,113.0,29.0,17.0,21.0,8.0,19.0,41.0,62.0,11.0,34.0,40.0,76.0,106.0,28.0,24.0,49.0
1372,1.0,114.0,15.0,5.0,7.0,10.0,39.0,18.0,133.0,8.0,16.0,4.0,9.0,0.0,80.0,11.0,2.0,92.0,43.0,3.0,139.0,22.0,23.0,54.0,30.0,121.0,70.0,83.0,27.0,93.0
1421,3.0,6.0,1.0,2.0,24.0,8.0,25.0,0.0,138.0,47.0,21.0,12.0,37.0,20.0,22.0,4.0,15.0,7.0,16.0,52.0,103.0,32.0,19.0,53.0,28.0,13.0,10.0,124.0,69.0,18.0
1470,1.0,8.0,6.0,16.0,18.0,3.0,0.0,76.0,4.0,54.0,66.0,120.0,53.0,43.0,81.0,30.0,82.0,32.0,44.0,69.0,74.0,13.0,45.0,41.0,118.0,55.0,79.0,29.0,33.0,143.0
1519,0.0,14.0,18.0,20.0,5.0,8.0,19.0,10.0,4.0,39.0,110.0,12.0,69.0,49.0,81.0,9.0,141.0,34.0,78.0,45.0,61.0,1.0,72.0,24.0,75.0,13.0,27.0,67.0,23.0,54.0
1568,0.0,4.0,13.0,20.0,76.0,19.0,1.0,17.0,16.0,8.0,58.0,7.0,15.0,60.0,41.0,23.0,49.0,11.0,29.0,89.0,30.0,14.0,121.0,2.0,32.0,31.0,56.0,90.0,5.0,95.0
1617,0.0,4.0,10.0,1.0,9.0,6.0,20.0,2.0,8.0,26.0,89.0,21.0,13.0,25.0,16.0,11.0,67.0,30.0,32.0,41.0,47.0,36.0,128.0,14.0,49.0,23.0,134.0,12.0,5.0,127.0
1666,0.0,1.0,12.0,47.0,3.0,22.0,7.0,16.0,5.0,29.0,23.0,122.0,39.0,13.0,37.0,18.0,30.0,46.0,36.0,54.0,118.0,38.0,83.0,57.0,80.0,4.0,25.0,89.0,75.0,131.0
1715,1.0,7.0,21.0,101.0,5.0,83.0,2.0,3.0,0.0,10.0,40.0,24.0,15.0,70.0,69.0,18.0,4.0,50.0,44.0,59.0,138.0,17.0,47.0,8.0,11.0,43.0,45.0,55.0,6.0,27.0
1764,0.0,8.0,2.0,43.0,14.0,42.0,22.0,1.0,3.0,88.0,19.0,29.0,10.0,16.0,4.0,89.0,37.0,54.0,21.0,41.0,31.0,80.0,61.0,36.0,6.0,102.0,12.0,18.0,7.0,30.0
1813,3.0,0.0,6.0,40.0,109.0,15.0,2.0,75.0,1.0,8.0,21.0,31.0,58.0,33.0,17.0,46.0,149.0,10.0,39.0,18.0,71.0,42.0,107.0,4.0,5.0,53.0,38.0,36.0,12.0,51.0
1862,1.0,22.0,2.0,9.0,33.0,18.0,3.0,4.0,0.0,17.0,32.0,12.0,10.0,15.0,6.0,8.0,108.0,21.0,23.0,85.0,57.0,51.0,142.0,20.0,19.0,53.0,11.0,117.0,7.0,54.0
1911,0.0,1.0,4.0,16.0,19.0,8.0,2.0,13.0,9.0,3.0,15.0,63.0,21.0,5.0,146.0,12.0,81.0,125.0,32.0,37.0,22.0,40.0,82.0,24.0,30.0,76.0,67.0,6.0,36.0,141.0
1960,0.0,59.0,83.0,11.0,1.0,31.0,40.0,6.0,29.0,2.0,61.0,23.0,18.0,13.0,3.0,12.0,89.0,52.0,5.0,21.0,145.0,9.0,16.0,133.0,4.0,28.0,56.0,55.0,44.0,105.0
2009,2.0,83.0,11.0,4.0,0.0,32.0,23.0,9.0,41.0,10.0,64.0,24.0,3.0,85.0,19.0,55.0,35.0,42.0,6.0,1.0,107.0,38.0,36.0,132.0,5.0,74.0,12.0,116.0,45.0,112.0
2058,2.0,26.0,3.0,15.0,7.0,18.0,123.0,16.0,24.0,6.0,5.0,73.0,111.0,14.0,1.0,10.0,0.0,37.0,50.0,12.0,69.0,66.0,19.0,122.0,64.0,34.0,4.0,8.0,27.0,87.0
2107,0.0,132.0,31.0,2.0,19.0,30.0,88.0,26.0,9.0,72.0,71.0,6.0,11.0,13.0,4.0,38.0,14.0,46.0,64.0,7.0,40.0,47.0,15.0,27.0,5.0,116.0,21.0,149.0,53.0,70.0
2156,0.0,28.0,70.0,1.0,2.0,3.0,4.0,14.0,5.0,7.0,36.0,8.0,6.0,22.0,51.0,23.0,9.0,95.0,13.0,24.0,48.0,10.0,111.0,136.0,15.0,43.0,67.0,35.0,33.0,29.0
2205,1.0,9.0,0.0,7.0,3.0,22.0,11.0,25.0,55.0,49.0,126.0,10.0,32.0,13.0,16.0,4.0,21.0,8.0,74.0,24.0,57.0,19.0,127.0,154.0,5.0,122.0,56.0,2.0,12.0,39.0
2254,0.0,19.0,1.0,39.0,14.0,13.0,16.0,33.0,6.0,5.0,47.0,8.0,15.0,101.0,2.0,10.0,11.0,7.0,4.0,22.0,3.0,38.0,41.0,92.0,9.0,54.0,32.0,25.0,29.0,102.0
2303,0.0,6.0,5.0,10.0,28.0,109.0,30.0,3.0,14.0,11.0,8.0,86.0,33.0,42.0,1.0,2.0,4.0,16.0,7.0,76.0,152.0,98.0,26.0,13.0,23.0,17.0,52.0,153.0,15.0,19.0
2352,0.0,7.0,1.0,4.0,20.0,16.0,50.0,17.0,19.0,8.0,3.0,43.0,22.0,18.0,5.0,12.0,6.0,27.0,21.0,35.0,98.0,41.0,15.0,39.0,2.0,31.0,73.0,36.0,23.0,61.0
2401,0.0,32.0,15.0,1.0,83.0,8.0,116.0,2.0,4.0,33.0,21.0,31.0,7.0,12.0,16.0,75.0,13.0,5.0,62.0,28.0,11.0,6.0,23.0,55.0,25.0,26.0,44.0,60.0,56.0,9.0
2450,0.0,4.0,27.0,10.0,3.0,1.0,13.0,2.0,11.0,23.0,26.0,119.0,21.0,8.0,51.0,29.0,38.0,12.0,118.0,86.0,120.0,7.0,93.0,22.0,104.0,122.0,30.0,62.0,153.0,44.0
2499,0.0,30.0,7.0,3.0,15.0,1.0,2.0,16.0,11.0,18.0,63.0,32.0,81.0,17.0,8.0,13.0,29.0,5.0,75.0,20.0,33.0,10.0,51.0,26.0,73.0,139.0,65.0,74.0,98.0,21.0
2548,0.0,8.0,40.0,9.0,3.0,1.0,7.0,4.0,23.0,18.0,61.0,106.0,27.0,14.0,6.0,20.0,2.0,5.0,141.0,12.0,55.0,16.0,47.0,45.0,70.0,157.0,56.0,54.0,15.0,21.0
2597,0.0,1.0,3.0,9.0,4.0,11.0,16.0,7.0,63.0,42.0,43.0,47.0,130.0,27.0,71.0,73.0,13.0,8.0,110.0,5.0,59.0,57.0,22.0,21.0,103.0,92.0,86.0,114.0,60.0,23.0
2646,0.0,3.0,11.0,61.0,2.0,4.0,7.0,5.0,150.0,51.0,122.0,152.0,54.0,6.0,32.0,49.0,18.0,14.0,113.0,1.0,55.0,8.0,147.0,97.0,43.0,60.0,41.0,34.0,31.0,85.0
2695,1.0,18.0,2.0,13.0,4.0,5.0,10.0,45.0,9.0,3.0,104.0,42.0,51.0,19.0,6.0,17.0,0.0,8.0,37.0,31.0,7.0,57.0,91.0,35.0,120.0,24.0,66.0,26.0,122.0,47.0
2744,0.0,3.0,2.0,113.0,1.0,26.0,11.0,22.0,21.0,61.0,86.0,12.0,64.0,5.0,54.0,49.0,13.0,47.0,4.0,23.0,35.0,103.0,32.0,27.0,147.0,42.0,148.0,65.0,115.0,58.0
2793,0.0,13.0,1.0,7.0,2.0,71.0,6.0,15.0,40.0,12.0,110.0,11.0,18.0,74.0,83.0,47.0,31.0,35.0,24.0,10.0,4.0,26.0,14.0,9.0,79.0,28.0,64.0,20.0,103.0,5.0
2842,0.0,6.0,4.0,1.0,12.0,87.0,11.0,21.0,34.0,27.0,43.0,20.0,24.0,14.0,28.0,48.0,36.0,18.0,29.0,2.0,9.0,57.0,19.0,7.0,25.0,54.0,47.0,40.0,101.0,13.0
2891,0.0,2.0,4.0,21.0,10.0,28.0,1.0,30.0,14.0,23.0,16.0,35.0,40.0,74.0,37.0,49.0,5.0,13.0,111.0,65.0,12.0,8.0,17.0,6.0,55.0,34.0,61.0,24.0,121.0,32.0
2940,0.0,34.0,113.0,4.0,8.0,5.0,29.0,59.0,3.0,35.0,27.0,18.0,9.0,7.0,2.0,85.0,6.0,80.0,1.0,65.0,11.0,49.0,19.0,79.0,48.0,37.0,32.0,92.0,91.0,99.0
2989,1.0,5.0,74.0,2.0,9.0,4.0,7.0,23.0,10.0,6.0,18.0,3.0,8.0,15.0,29.0,19.0,0.0,51.0,11.0,64.0,13.0,36.0,139.0,69.0,28.0,32.0,27.0,100.0,20.0,34.0
3038,0.0,5.0,1.0,16.0,4.0,2.0,64.0,19.0,23.0,3.0,37.0,10.0,39.0,12.0,29.0,42.0,25.0,63.0,72.0,127.0,7.0,71.0,117.0,11.0,77.0,9.0,43.0,79.0,51.0,87.0
3087,0.0,22.0,138.0,8.0,1.0,51.0,14.0,3.0,6.0,20.0,31.0,17.0,5.0,12.0,34.0,7.0,2.0,42.0,30.0,43.0,29.0,117.0,137.0,9.0,10.0,4.0,62.0,16.0,48.0,63.0
3136,0.0,19.0,14.0,39.0,1.0,7.0,20.0,42.0,4.0,15.0,50.0,8.0,6.0,38.0,2.0,18.0,139.0,35.0,3.0,74.0,13.0,44.0,143.0,37.0,10.0,106.0,23.0,141.0,11.0,31.0
3185,10.0,5.0,36.0,3.0,4.0,7.0,0.0,15.0,2.0,37.0,11.0,72.0,6.0,1.0,119.0,75.0,59.0,16.0,23.0,69.0,22.0,9.0,27.0,26.0,43.0,14.0,121.0,61.0,46.0,53.0
3234,0.0,10.0,19.0,13.0,1.0,5.0,8.0,3.0,11.0,92.0,17.0,54.0,6.0,2.0,7.0,14.0,73.0,27.0,4.0,147.0,32.0,76.0,48.0,37.0,96.0,69.0,111.0,131.0,89.0,43.0
3283,2.0,11.0,24.0,5.0,4.0,141.0,33.0,36.0,20.0,3.0,27.0,62.0,1.0,12.0,0.0,19.0,6.0,83.0,16.0,48.0,9.0,90.0,79.0,7.0,139.0,82.0,151.0,39.0,32.0,10.0
3332,0.0,6.0,76.0,19.0,4.0,16.0,31.0,7.0,1.0,45.0,9.0,8.0,17.0,2.0,3.0,18.0,97.0,54.0,5.0,61.0,43.0,59.0,56.0,87.0,79.0,111.0,63.0,81.0,109.0,20.0
3381,4.0,8.0,24.0,6.0,1.0,0.0,42.0,19.0,7.0,76.0,32.0,9.0,2.0,35.0,51.0,16.0,15.0,33.0,3.0,27.0,28.0,67.0,98.0,56.0,13.0,140.0,22.0,85.0,78.0,101.0
3430,0.0,1.0,25.0,3.0,94.0,37.0,11.0,89.0,50.0,4.0,15.0,44.0,17.0,26.0,68.0,137.0,122.0,20.0,21.0,64.0,22.0,72.0,16.0,98.0,7.0,154.0,86.0,6.0,35.0,71.0
3479,1.0,3.0,0.0,7.0,79.0,4.0,13.0,23.0,2.0,9.0,12.0,52.0,107.0,27.0,91.0,26.0,67.0,42.0,62.0,97.0,125.0,41.0,10.0,68.0,126.0,90.0,6.0,5.0,14.0,80.0
3528,0.0,5.0,4.0,16.0,83.0,57.0,36.0,20.0,12.0,84.0,60.0,3.0,14.0,7.0,15.0,96.0,54.0,68.0,17.0,18.0,25.0,108.0,1.0,9.0,66.0,144.0,22.0,24.0,23.0,38.0
3577,1.0,4.0,0.0,2.0,39.0,23.0,5.0,60.0,27.0,13.0,6.0,40.0,22.0,105.0,25.0,44.0,92.0,126.0,14.0,120.0,32.0,45.0,29.0,55.0,49.0,38.0,16.0,9.0,129.0,18.0
3626,0.0,2.0,4.0,1.0,73.0,158.0,41.0,30.0,60.0,7.0,47.0,67.0,145.0,57.0,75.0,138.0,65.0,35.0,17.0,33.0,22.0,39.0,50.0,90.0,120.0,68.0,118.0,28.0,10.0,99.0
3675,8.0,11.0,12.0,0.0,16.0,97.0,41.0,20.0,1.0,33.0,76.0,25.0,22.0,18.0,30.0,13.0,42.0,46.0,77.0,3.0,117.0,29.0,91.0,53.0,118.0,34.0,86.0,4.0,9.0,5.0
3724,60.0,4.0,11.0,5.0,30.0,45.0,1.0,52.0,6.0,102.0,15.0,89.0,43.0,47.0,8.0,48.0,138.0,65.0,51.0,0.0,113.0,72.0,123.0,46.0,12.0,61.0,14.0,9.0,13.0,39.0
3773,1.0,7.0,0.0,4.0,19.0,160.0,12.0,62.0,22.0,28.0,6.0,11.0,43.0,24.0,17.0,85.0,51.0,14.0,73.0,8.0,49.0,20.0,3.0,74.0,30.0,129.0,21.0,15.0,99.0,86.0
3822,1.0,2.0,3.0,0.0,22.0,31.0,34.0,44.0,7.0,47.0,10.0,35.0,49.0,37.0,64.0,21.0,92.0,20.0,30.0,110.0,36.0,162.0,48.0,60.0,23.0,151.0,16.0,18.0,8.0,42.0
3871,5.0,106.0,0.0,1.0,122.0,7.0,60.0,63.0,10.0,20.0,13.0,38.0,70.0,48.0,24.0,57.0,113.0,6.0,11.0,30.0,29.0,45.0,33.0,27.0,62.0,66.0,35.0,2.0,42.0,31.0
3920,0.0,69.0,4.0,2.0,8.0,5.0,17.0,122.0,3.0,90.0,14.0,25.0,76.0,10.0,1.0,37.0,33.0,19.0,130.0,57.0,6.0,11.0,132.0,128.0,87.0,38.0,109.0,89.0,12.0,31.0
3969,3.0,44.0,4.0,2.0,146.0,0.0,63.0,26.0,75.0,43.0,13.0,15.0,16.0,38.0,1.0,25.0,145.0,62.0,20.0,68.0,7.0,53.0,31.0,39.0,153.0,46.0,19.0,57.0,67.0,93.0
4018,8.0,3.0,11.0,50.0,61.0,2.0,23.0,25.0,1.0,0.0,14.0,7.0,10.0,37.0,6.0,52.0,24.0,45.0,40.0,18.0,41.0,5.0,15.0,79.0,16.0,64.0,127.0,89.0,21.0,93.0
4067,2.0,10.0,6.0,4.0,86.0,0.0,46.0,80.0,5.0,16.0,25.0,24.0,79.0,11.0,9.0,114.0,1.0,27.0,99.0,31.0,8.0,57.0,13.0,17.0,81.0,3.0,78.0,110.0,45.0,40.0
4116,0.0,2.0,3.0,14.0,27.0,1.0,45.0,38.0,35.0,58.0,22.0,9.0,87.0,46.0,4.0,6.0,29.0,7.0,69.0,98.0,16.0,10.0,50.0,72.0,25.0,51.0,102.0,5.0,49.0,67.0
4165,1.0,6.0,8.0,0.0,33.0,4.0,13.0,66.0,14.0,101.0,30.0,16.0,65.0,36.0,10.0,19.0,2.0,3.0,50.0,31.0,32.0,27.0,22.0,7.0,45.0,5.0,23.0,69.0,148.0,76.0
4214,0.0,79.0,18.0,8.0,34.0,16.0,12.0,57.0,29.0,5.0,13.0,1.0,109.0,35.0,2.0,59.0,36.0,58.0,4.0,52.0,3.0,32.0,14.0,20.0,17.0,70.0,104.0,24.0,72.0,10.0
4263,0.0,3.0,5.0,25.0,101.0,1.0,45.0,110.0,47.0,14.0,17.0,15.0,161.0,12.0,6.0,24.0,61.0,35.0,147.0,30.0,2.0,26.0,49.0,23.0,73.0,50.0,131.0,27.0,140.0,95.0
4312,2.0,5.0,0.0,18.0,6.0,23.0,3.0,41.0,59.0,7.0,25.0,17.0,163.0,19.0,107.0,127.0,33.0,48.0,75.0,22.0,9.0,26.0,65.0,120.0,69.0,4.0,31.0,10.0,60.0,30.0
4361,3.0,6.0,8.0,1.0,29.0,5.0,11.0,73.0,15.0,20.0,7.0,45.0,51.0,27.0,0.0,9.0,12.0,60.0,47.0,83.0,2.0,34.0,4.0,42.0,55.0,18.0,76.0,13.0,19.0,46.0
4410,2.0,7.0,1.0,3.0,40.0,31.0,100.0,10.0,27.0,23.0,0.0,5.0,36.0,24.0,12.0,103.0,52.0,22.0,15.0,16.0,73.0,32.0,26.0,41.0,144.0,37.0,63.0,95.0,54.0,4.0
4459,6.0,8.0,0.0,1.0,10.0,5.0,21.0,11.0,3.0,30.0,4.0,23.0,73.0,27.0,46.0,130.0,33.0,9.0,41.0,28.0,12.0,13.0,80.0,32.0,91.0,34.0,39.0,60.0,7.0,15.0
4508,0.0,9.0,5.0,6.0,16.0,85.0,138.0,14.0,33.0,4.0,1.0,28.0,49.0,66.0,45.0,31.0,11.0,22.0,19.0,83.0,126.0,15.0,8.0,64.0,55.0,63.0,161.0,42.0,65.0,13.0
4557,7.0,0.0,36.0,8.0,23.0,54.0,13.0,16.0,68.0,40.0,1.0,31.0,46.0,39.0,44.0,42.0,34.0,2.0,22.0,14.0,57.0,51.0,15.0,116.0,59.0,35.0,30.0,107.0,28.0,29.0
4606,3.0,0.0,37.0,5.0,10.0,4.0,27.0,16.0,82.0,25.0,1.0,13.0,67.0,30.0,28.0,43.0,78.0,22.0,35.0,92.0,36.0,121.0,44.0,99.0,31.0,14.0,56.0,20.0,41.0,19.0
4655,5.0,1.0,9.0,24.0,55.0,13.0,11.0,104.0,93.0,60.0,0.0,3.0,123.0,147.0,102.0,100.0,4.0,6.0,62.0,68.0,37.0,87.0,27.0,107.0,92.0,22.0,17.0,47.0,128.0,84.0
4704,6.0,2.0,1.0,0.0,97.0,25.0,5.0,41.0,67.0,129.0,3.0,10.0,40.0,24.0,42.0,7.0,26.0,13.0,33.0,17.0,53.0,9.0,35.0,127.0,15.0,11.0,21.0,47.0,115.0,101.0
4753,10.0,2.0,9.0,1.0,16.0,18.0,19.0,6.0,40.0,82.0,0.0,22.0,4.0,62.0,147.0,42.0,75.0,72.0,11.0,20.0,71.0,41.0,17.0,28.0,27.0,85.0,39.0,118.0,23.0,145.0
4802,0.0,7.0,6.0,16.0,10.0,51.0,72.0,25.0,68.0,12.0,13.0,3.0,14.0,27.0,125.0,36.0,5.0,19.0,66.0,2.0,23.0,114.0,49.0,31.0,40.0,24.0,50.0,111.0,117.0,52.0
4851,3.0,1.0,0.0,4.0,2.0,69.0,34.0,20.0,24.0,36.0,7.0,32.0,46.0,47.0,80.0,78.0,11.0,10.0,15.0,8.0,13.0,61.0,51.0,114.0,41.0,108.0,23.0,86.0,54.0,118.0
