,BRAF_MUT,KRAS_MUT,KRAS.G12_13_MUT,BRAF.V600E_MUT,HLA-H_DEL,MIR548AI_DEL,TTN_MUT,BRAF.MC_MUT,NRAS_MUT,HLA-DRB1_AMP,KIAA1217_DEL,SORD_AMP,DMBT1_DEL,FAM21A_DEL,MRC1_AMP,RHD_DEL,HLA-DRB6_AMP,LINC00226_AMP,RBFOX1_DEL,SNTG2_DEL,ARHGEF5_AMP,KCNIP4_AMP,LGALS9C_DEL,ATP13A5_MUT,HCG4B_DEL,TNK2_MUT,NBPF16_DEL,IMMP2L_DEL,UNC13C_MUT,RAB3C_AMP
717,0.0,2.0,4.0,1.0,3.0,5.0,60.0,8.0,11.0,14.0,18.0,2149.0,15.0,99.0,10.0,6.0,30.0,13.0,28.0,26.0,12.0,7.0,811.0,21.0,22.0,47.0,188.0,74.0,119.0,43.0
766,0.0,1.0,4.0,2.0,3.0,6.0,11.0,12.0,8.0,58.0,10.0,23.0,13.0,35.0,7.0,9.0,114.0,5.0,17.0,16.0,14.0,19.0,25.0,29.0,18.0,28.0,51.0,22.0,131.0,59.0
815,0.0,1.0,3.0,4.0,2.0,5.0,13.0,8.0,9.0,27.0,32.0,166.0,19.0,7.0,10.0,6.0,77.0,22.0,56.0,18.0,16.0,12.0,29.0,21.0,15.0,37.0,74.0,35.0,65.0,99.0
864,0.0,1.0,4.0,3.0,2.0,6.0,9.0,19.0,8.0,7.0,5.0,22.0,11.0,26.0,10.0,23.0,12.0,17.0,25.0,65.0,21.0,20.0,48.0,66.0,14.0,62.0,35.0,76.0,3062.0,40.0
913,0.0,1.0,2.0,4.0,3.0,15.0,5.0,17.0,7.0,43.0,8.0,104.0,11.0,16.0,10.0,6.0,127.0,13.0,20.0,22.0,21.0,9.0,44.0,29.0,120.0,32.0,28.0,38.0,33.0,12.0
962,0.0,3.0,4.0,2.0,1.0,5.0,99.0,11.0,6.0,12.0,33.0,15.0,13.0,7.0,38.0,9.0,86.0,40.0,23.0,25.0,28.0,36.0,179.0,26.0,8.0,31.0,30.0,17.0,100.0,194.0
1011,0.0,2.0,4.0,3.0,11.0,46.0,1.0,9.0,5.0,47.0,8.0,12.0,17.0,6.0,37.0,7.0,84.0,175.0,64.0,34.0,15.0,43.0,60.0,16.0,7617.0,41.0,13.0,25.0,19.0,33.0
1060,0.0,1.0,2.0,3.0,15.0,12.0,7.0,10.0,4.0,47.0,8.0,39.0,16.0,5.0,18.0,6.0,122.0,1775.0,31.0,86.0,14.0,20.0,45.0,26.0,616.0,17.0,58.0,19.0,40.0,41.0
1109,0.0,1.0,2.0,3.0,5.0,14.0,4.0,10.0,13.0,18.0,9.0,7.0,27.0,26.0,6.0,8.0,58.0,218.0,19.0,20.0,16.0,117.0,144.0,63.0,246.0,32.0,17.0,214.0,51.0,45.0
1158,0.0,1.0,2.0,3.0,20.0,5.0,4.0,12.0,10.0,921.0,11.0,7.0,24.0,6.0,8.0,19.0,16299.0,164.0,72.0,38.0,13.0,120.0,30.0,18.0,154.0,51.0,28.0,61.0,68.0,34.0
1207,0.0,1.0,3.0,2.0,8.0,4.0,7.0,6.0,5.0,23.0,9.0,34.0,29.0,35.0,32.0,22.0,127.0,109.0,50.0,63.0,18.0,66.0,17.0,25.0,42.0,38.0,33.0,58.0,126.0,20.0
1256,0.0,1.0,3.0,4.0,8.0,13.0,2.0,5.0,6.0,20.0,7.0,16.0,10.0,22.0,9.0,27.0,48.0,150.0,24.0,21.0,25.0,297.0,15.0,12.0,560.0,14.0,56.0,122.0,23.0,79.0
1305,0.0,1.0,2.0,3.0,8.0,6.0,7.0,10.0,4.0,33.0,5.0,9.0,58.0,22.0,32.0,13.0,76.0,12871.0,103.0,56.0,16.0,202.0,21.0,19.0,51.0,14.0,31.0,17.0,18.0,286.0
1354,0.0,1.0,3.0,2.0,25.0,9.0,13.0,8.0,4.0,14.0,33.0,5.0,99.0,11.0,7.0,59.0,49.0,19.0,18.0,16.0,43.0,84.0,112.0,23.0,97.0,17.0,91.0,6.0,15.0,20.0
1403,0.0,2.0,3.0,1.0,14.0,6.0,5.0,7.0,4.0,28.0,18.0,15.0,27.0,12.0,40.0,8.0,93.0,48.0,55.0,97.0,30.0,234.0,13.0,56.0,318.0,23.0,9.0,186.0,50.0,24.0
1452,0.0,2.0,3.0,1.0,4.0,8.0,6.0,5.0,10.0,19.0,27.0,13.0,9.0,44.0,35.0,58.0,20.0,97.0,62.0,39.0,12.0,93.0,51.0,11.0,198.0,53.0,42.0,90.0,49.0,38.0
1501,0.0,1.0,2.0,3.0,14.0,10.0,7.0,38.0,6.0,5.0,9.0,15.0,4.0,12.0,8.0,85.0,11.0,178.0,18.0,69.0,21.0,88.0,41.0,30.0,61.0,65.0,33.0,24.0,64.0,72.0
1550,0.0,1.0,2.0,3.0,4.0,20.0,7.0,8.0,11.0,36.0,16.0,6.0,17.0,5.0,10.0,19.0,102.0,35.0,14.0,40.0,22.0,13.0,131.0,41.0,67.0,47.0,108.0,985.0,18.0,52.0
1599,1.0,0.0,2.0,5.0,4.0,11.0,23.0,10.0,8.0,6.0,52.0,25.0,44.0,3.0,26.0,117.0,14.0,264.0,43.0,60.0,73.0,33.0,24.0,58.0,45.0,29.0,105.0,55.0,16.0,15.0
1648,0.0,2.0,5.0,4.0,3.0,6.0,17.0,11.0,7.0,15.0,9.0,8.0,1.0,10.0,29.0,140.0,23.0,13.0,322.0,96.0,40.0,21.0,34.0,35.0,14.0,61.0,7105.0,99.0,16.0,19.0
1697,0.0,3.0,4.0,1.0,2.0,5.0,6.0,12.0,10.0,18.0,14.0,9.0,13.0,7.0,17.0,192.0,19.0,21.0,25.0,38.0,20.0,37.0,11.0,61.0,8.0,35.0,57.0,109.0,32.0,404.0
1746,0.0,1.0,3.0,2.0,5.0,11.0,4.0,9.0,8.0,14.0,10.0,6.0,7.0,13.0,12.0,43.0,15.0,20.0,35.0,72.0,48.0,17.0,59.0,31.0,16.0,37.0,65.0,345.0,27.0,33.0
1795,0.0,1.0,2.0,3.0,4.0,14.0,7.0,9.0,5.0,17.0,13.0,10.0,6.0,16.0,8.0,190.0,36.0,88.0,25.0,43.0,11.0,69.0,22.0,40.0,57.0,26.0,32.0,286.0,12.0,23.0
1844,0.0,1.0,2.0,3.0,5.0,28.0,4.0,8.0,9.0,7.0,11.0,13.0,19.0,6.0,186.0,91.0,10.0,114.0,21.0,160.0,12.0,50.0,17.0,25.0,57.0,33.0,248.0,29.0,14.0,149.0
1893,0.0,5.0,4.0,2.0,6.0,9.0,22.0,8.0,12.0,219.0,13.0,1.0,17.0,3.0,11.0,31.0,1470.0,35.0,24.0,25.0,15.0,21.0,114.0,33.0,43.0,47.0,67.0,23.0,16.0,172.0
1942,0.0,1.0,2.0,3.0,8.0,9.0,7.0,6.0,4.0,14.0,11.0,5.0,10.0,16.0,19.0,49.0,23.0,26.0,13.0,27.0,20.0,383.0,48.0,35.0,43.0,114.0,22.0,60.0,44.0,99.0
1991,0.0,1.0,2.0,4.0,15.0,10.0,14.0,8.0,6.0,7.0,3.0,12.0,36.0,5.0,13.0,1342.0,16.0,40.0,54.0,19.0,127.0,26.0,9.0,20.0,24.0,18.0,37.0,11.0,49.0,23.0
2040,0.0,2.0,1.0,3.0,4.0,13.0,23.0,7.0,44.0,14.0,10.0,18.0,21.0,16.0,5.0,129.0,35.0,11.0,27.0,9.0,8.0,53.0,262.0,20.0,19.0,31.0,25.0,114.0,6.0,24.0
2089,0.0,1.0,2.0,3.0,9.0,6.0,5.0,8.0,10.0,4.0,27.0,18.0,16.0,56.0,36.0,55.0,7.0,30.0,13.0,26.0,12.0,148.0,14.0,31.0,11.0,23.0,693.0,70.0,89.0,750.0
2138,0.0,2.0,3.0,1.0,13.0,8.0,5.0,4.0,9.0,6.0,23.0,11.0,31.0,39.0,12.0,34.0,15.0,14.0,27.0,19.0,7.0,140.0,18.0,25.0,30.0,46.0,10.0,20.0,38.0,28.0
2187,0.0,1.0,2.0,3.0,13.0,8.0,4.0,6.0,11.0,21.0,23.0,16.0,18.0,10.0,5.0,52.0,37.0,17.0,24.0,7.0,12.0,48.0,30.0,19.0,35.0,49.0,28.0,77.0,107.0,115.0
2236,0.0,2.0,3.0,1.0,18.0,8.0,4.0,5.0,10.0,6.0,13.0,7.0,29.0,24.0,44.0,32.0,14.0,40.0,66.0,12.0,76.0,84.0,11.0,20.0,22.0,39.0,28.0,47.0,107.0,54.0
2285,1.0,0.0,2.0,4.0,14.0,16.0,7.0,13.0,5.0,3.0,34.0,135.0,17.0,10.0,41.0,688.0,6.0,8.0,19.0,51.0,20.0,28.0,18.0,52.0,68.0,12.0,81.0,78.0,39.0,29.0
2334,0.0,1.0,2.0,3.0,14.0,18.0,7.0,4.0,8.0,12.0,9.0,75.0,6.0,5.0,13.0,39.0,10.0,23.0,16.0,11.0,26.0,59.0,15.0,37.0,22.0,30.0,38.0,19.0,24.0,25.0
2383,0.0,1.0,2.0,3.0,17.0,4.0,42.0,6.0,5.0,16.0,28.0,13.0,10.0,11.0,9.0,138.0,22.0,12.0,7.0,8.0,37.0,89.0,24.0,39.0,18.0,23.0,35.0,27.0,66.0,71.0
2432,0.0,1.0,2.0,3.0,11.0,19.0,17.0,9.0,20.0,4.0,5.0,38.0,6.0,13.0,8.0,44.0,7.0,86.0,12.0,24.0,72.0,23.0,68.0,53.0,62.0,26.0,16.0,14.0,39.0,50.0
2481,0.0,1.0,3.0,2.0,6.0,7.0,4.0,8.0,11.0,9.0,123.0,255.0,24.0,26.0,12.0,23.0,18.0,188.0,319.0,16.0,15.0,27.0,13.0,90.0,22.0,32.0,217.0,25.0,20.0,14.0
2530,0.0,2.0,4.0,1.0,3.0,19.0,39.0,6.0,9.0,7.0,12.0,24.0,8.0,22.0,15.0,16.0,17.0,84.0,41.0,13.0,23.0,44.0,34.0,29.0,121.0,35.0,423.0,10.0,43.0,27.0
2579,0.0,1.0,3.0,4.0,2.0,9.0,20.0,6.0,13.0,5.0,38.0,31.0,41.0,10.0,11.0,23.0,12.0,102.0,87.0,28.0,159.0,32.0,24.0,44.0,36.0,26.0,479.0,19.0,93.0,106.0
2628,0.0,1.0,3.0,2.0,5.0,20.0,11.0,7.0,14.0,6.0,15.0,27.0,16.0,19.0,26.0,10.0,4.0,69.0,61.0,34.0,45.0,24.0,9.0,25.0,43.0,33.0,272.0,12.0,91.0,96.0
2677,0.0,3.0,5.0,1.0,2.0,7.0,8.0,10.0,4.0,6.0,1367.0,18.0,9.0,34.0,14.0,31.0,12.0,255.0,459.0,15.0,39.0,84.0,25.0,47.0,21.0,59.0,1275.0,16.0,53.0,157.0
2726,0.0,1.0,3.0,2.0,11.0,4.0,10.0,5.0,7.0,14.0,201.0,245.0,12.0,17.0,20.0,8.0,22.0,33.0,50.0,13.0,27.0,112.0,64.0,29.0,41.0,32.0,306.0,15.0,120.0,107.0
2775,0.0,2.0,3.0,1.0,4.0,6.0,11.0,8.0,9.0,14.0,45.0,75.0,26.0,62.0,28.0,5.0,30.0,895.0,34.0,18.0,24.0,21.0,29.0,23.0,48.0,66.0,1722.0,12.0,22.0,50.0
2824,0.0,1.0,2.0,3.0,4.0,6.0,7.0,5.0,11.0,10.0,19.0,32.0,16.0,47.0,9.0,13.0,21.0,66.0,165.0,12.0,29.0,86.0,17.0,22.0,34.0,83.0,425.0,8.0,208.0,143.0
2873,0.0,1.0,3.0,2.0,6.0,14.0,4.0,8.0,7.0,12.0,30.0,40.0,15.0,16.0,9.0,19.0,28.0,95.0,18.0,13.0,45.0,42.0,157.0,20.0,26.0,38.0,961.0,11.0,21.0,23.0
2922,0.0,2.0,3.0,1.0,9.0,21.0,7.0,4.0,8.0,6.0,24.0,53.0,25.0,20.0,14.0,18.0,10.0,63.0,45.0,27.0,19.0,16.0,11.0,69.0,78.0,30.0,1294.0,12.0,89.0,337.0
2971,0.0,1.0,3.0,2.0,4.0,5.0,7.0,9.0,6.0,11.0,44.0,18.0,16.0,200.0,27.0,12.0,28.0,47.0,76.0,22.0,396.0,35.0,24.0,33.0,13.0,45.0,14.0,80.0,219.0,117.0
3020,0.0,2.0,3.0,1.0,6.0,5.0,7.0,9.0,4.0,8.0,27.0,10.0,72.0,54.0,48.0,63.0,25.0,26.0,22.0,20.0,85.0,11.0,118.0,19.0,37.0,24.0,35.0,317.0,52.0,180.0
3069,0.0,2.0,3.0,1.0,5.0,6.0,15.0,4.0,7.0,14.0,17.0,11.0,64.0,69.0,47.0,21.0,24.0,59.0,30.0,8.0,109.0,29.0,141.0,13.0,42.0,22.0,44.0,139.0,737.0,90.0
3118,0.0,2.0,3.0,1.0,4.0,6.0,16.0,5.0,7.0,15.0,9.0,11.0,8.0,10.0,38.0,20.0,14.0,37.0,36.0,12.0,52.0,134.0,53.0,22.0,43.0,28.0,68.0,54.0,42.0,30.0
3167,0.0,6.0,9.0,3.0,4.0,2.0,1.0,12.0,8.0,13.0,17.0,5.0,14.0,157.0,49.0,86.0,21.0,7.0,75.0,15.0,63.0,24.0,64.0,23.0,11.0,22.0,26.0,1566.0,33.0,2212.0
3216,0.0,1.0,3.0,2.0,6.0,7.0,13.0,5.0,4.0,12.0,8.0,17.0,9.0,15.0,80.0,32.0,26.0,34.0,57.0,21.0,19.0,41.0,83.0,10.0,23.0,20.0,24.0,133.0,31.0,167.0
3265,0.0,1.0,5.0,3.0,2.0,6.0,7.0,12.0,8.0,4.0,51.0,10.0,11.0,19.0,1736.0,13.0,9.0,82.0,96.0,65.0,29.0,17.0,70.0,33.0,18.0,28.0,27.0,210.0,623.0,19929.0
3314,0.0,1.0,2.0,3.0,4.0,6.0,8.0,12.0,15.0,75.0,5.0,11.0,10.0,35.0,7.0,19.0,391.0,78.0,402.0,16.0,153.0,9.0,32.0,14.0,38.0,34.0,17.0,58.0,137.0,511.0
3363,0.0,2.0,3.0,1.0,4.0,5.0,11.0,10.0,6.0,15.0,13.0,7.0,8.0,39.0,1845.0,51.0,58.0,12.0,40.0,9.0,24.0,148.0,231.0,35.0,16.0,92.0,44.0,150.0,277.0,31.0
3412,0.0,3.0,4.0,1.0,5.0,6.0,2.0,9.0,7.0,10.0,11.0,8.0,15.0,38.0,30.0,95.0,16.0,20.0,54.0,50.0,19.0,26.0,67.0,13.0,17.0,22.0,12.0,268.0,29.0,53.0
3461,0.0,1.0,2.0,3.0,4.0,27.0,15.0,12.0,11.0,7.0,14.0,216.0,21.0,5.0,9.0,19.0,23.0,8.0,49.0,10.0,20.0,6.0,56.0,33.0,191.0,17.0,13.0,18.0,16.0,47.0
3510,0.0,1.0,2.0,3.0,4.0,6.0,19.0,11.0,12.0,7.0,10.0,8.0,54.0,5.0,13.0,25.0,20.0,46.0,21.0,14.0,143.0,26.0,16.0,61.0,30.0,17.0,9.0,15.0,93.0,37.0
3559,0.0,1.0,4.0,3.0,2.0,9.0,39.0,13.0,7.0,8.0,15.0,41.0,66.0,5.0,10.0,18.0,38.0,55.0,48.0,12.0,137.0,16.0,6.0,28.0,33.0,27.0,14.0,11.0,83.0,475.0
3608,0.0,1.0,2.0,3.0,5.0,6.0,15.0,8.0,17.0,9.0,11.0,25.0,51.0,4.0,20.0,12.0,44.0,40.0,41.0,7.0,537.0,24.0,18.0,72.0,53.0,21.0,13.0,10.0,48.0,342.0
3657,0.0,1.0,4.0,2.0,6.0,7.0,5.0,8.0,13.0,3.0,24.0,43.0,44.0,10.0,90.0,22.0,12.0,16.0,57.0,42.0,70.0,9.0,11.0,34.0,15.0,25.0,45.0,47.0,137.0,16867.0
3706,0.0,1.0,2.0,3.0,5.0,10.0,384.0,7.0,8.0,9.0,12.0,116.0,195.0,4.0,6.0,15.0,24.0,18.0,103.0,80.0,86.0,11.0,16.0,58.0,59.0,17.0,13.0,56.0,161.0,57.0
3755,0.0,2.0,5.0,3.0,6.0,4.0,56.0,9.0,21.0,18.0,15.0,16.0,57.0,1.0,14.0,48.0,61.0,26.0,105.0,25.0,46.0,19.0,43.0,51.0,31.0,17.0,22.0,40.0,70.0,408.0
3804,0.0,1.0,3.0,2.0,4.0,18.0,10.0,5.0,41.0,16.0,9.0,20136.0,36.0,6.0,28.0,13.0,62.0,19.0,49.0,8.0,138.0,7.0,15.0,25.0,129.0,75.0,26.0,96.0,35.0,120.0
3853,0.0,2.0,3.0,1.0,19.0,6.0,11.0,4.0,13.0,10.0,9.0,758.0,29.0,5.0,68.0,8.0,14.0,16.0,17.0,67.0,82.0,34.0,7.0,95.0,26.0,15.0,12.0,44.0,40.0,78.0
3902,0.0,2.0,3.0,1.0,9.0,10.0,13.0,5.0,16.0,6.0,27.0,15.0,30.0,4.0,50.0,11.0,12.0,17.0,49.0,18.0,85.0,19.0,8.0,47.0,24.0,20.0,14.0,7.0,82.0,491.0
3951,0.0,1.0,2.0,3.0,14.0,8.0,5.0,6.0,9.0,205.0,4.0,15.0,22.0,46.0,7.0,13.0,330.0,64.0,10.0,59.0,27.0,266.0,39.0,19.0,509.0,45.0,38.0,50.0,26.0,30.0
4000,0.0,1.0,4.0,3.0,17.0,7.0,2.0,5.0,6.0,19.0,20.0,11.0,21.0,90.0,10.0,14.0,42.0,15.0,12.0,56.0,9.0,73.0,64.0,28.0,34.0,45.0,43.0,653.0,31.0,84.0
4049,1.0,0.0,2.0,3.0,4.0,6.0,5.0,7.0,11.0,90.0,22.0,12.0,40.0,42.0,38.0,57.0,340.0,19.0,13.0,20.0,8.0,119.0,70.0,15.0,53.0,78.0,59.0,8810.0,96.0,75.0
4098,0.0,1.0,2.0,3.0,19.0,10.0,5.0,4.0,6.0,66.0,16.0,12.0,21.0,18.0,27.0,7.0,169.0,25.0,8.0,86.0,20.0,214.0,26.0,14.0,127.0,49.0,55.0,149.0,15.0,24.0
4147,1.0,0.0,3.0,2.0,15.0,6.0,5.0,4.0,11.0,26.0,14.0,914.0,33.0,22.0,10.0,16.0,55.0,50.0,8.0,357.0,48.0,30.0,8496.0,41.0,18.0,56.0,137.0,67.0,40.0,79.0
4196,1.0,0.0,3.0,5.0,6.0,2.0,4.0,9.0,7.0,208.0,10.0,27.0,31.0,25.0,11.0,46.0,13055.0,34.0,8.0,65.0,18.0,16.0,66.0,17.0,19.0,43.0,665.0,78.0,24.0,13.0
4245,0.0,2.0,4.0,1.0,8.0,6.0,3.0,5.0,7.0,47.0,209.0,15.0,11.0,114.0,17.0,10.0,116.0,16.0,12.0,21.0,13.0,42.0,219.0,32.0,26.0,119.0,1855.0,33.0,19.0,206.0
4294,0.0,1.0,2.0,3.0,6.0,10.0,4.0,9.0,7.0,29.0,185.0,24.0,13.0,356.0,34.0,12.0,49.0,68.0,8.0,51.0,11.0,22.0,1546.0,35.0,73.0,188.0,37.0,152.0,25.0,21.0
4343,0.0,1.0,3.0,4.0,6.0,12.0,2.0,5.0,8.0,74.0,17.0,11.0,9.0,46.0,15.0,18.0,58.0,10.0,7.0,90.0,23.0,77.0,24.0,50.0,27.0,45.0,51.0,795.0,67.0,21.0
4392,0.0,1.0,2.0,4.0,7.0,8.0,3.0,5.0,6.0,52.0,17.0,21.0,16.0,13.0,9.0,40.0,125.0,43.0,12.0,93.0,10.0,48.0,110.0,61.0,34.0,22.0,57.0,197.0,15.0,14.0
4441,0.0,2.0,5.0,1.0,23.0,3.0,6.0,8.0,4.0,35.0,22.0,14.0,7.0,32.0,34.0,27.0,25.0,28.0,84.0,43.0,365.0,61.0,30.0,79.0,20.0,51.0,39.0,10.0,115.0,86.0
4490,0.0,1.0,3.0,4.0,7.0,2.0,52.0,10.0,5.0,336.0,18.0,6.0,13.0,15.0,16.0,32.0,1870.0,14.0,19.0,171.0,20309.0,23.0,22.0,112.0,54.0,47.0,46.0,26.0,143.0,27.0
4539,0.0,2.0,3.0,1.0,12.0,11.0,36.0,6.0,9.0,13.0,25.0,10.0,5.0,24.0,20.0,4.0,14.0,8.0,29.0,79.0,127.0,19.0,48.0,66.0,18.0,38.0,37.0,22.0,41.0,177.0
4588,0.0,3.0,8.0,1.0,2.0,6.0,27.0,4.0,5.0,41.0,13.0,9.0,11.0,40.0,52.0,7.0,32.0,25.0,22.0,110.0,29.0,18.0,14.0,130.0,26.0,64.0,136.0,30.0,44.0,20.0
4637,0.0,3.0,8.0,1.0,13.0,2.0,27.0,6.0,4.0,88.0,23.0,18.0,5.0,67.0,7.0,15.0,91.0,12.0,20.0,61.0,136.0,28.0,16.0,108.0,10.0,35.0,76.0,56.0,85.0,26.0
4686,0.0,1.0,3.0,2.0,7.0,9.0,16.0,4.0,12.0,46.0,5.0,6.0,10.0,19.0,316.0,13.0,54.0,14.0,50.0,34.0,96.0,11.0,37.0,31.0,20.0,91.0,39.0,23.0,51.0,93.0
4735,0.0,1.0,3.0,2.0,5.0,12.0,9.0,4.0,18.0,51.0,54.0,21.0,7.0,38.0,24.0,6.0,42.0,11.0,67.0,48.0,346.0,14.0,53.0,69.0,32.0,100.0,75.0,34.0,10.0,30.0
4784,0.0,1.0,5.0,3.0,4.0,2.0,54.0,9.0,6.0,33.0,12.0,80.0,10.0,62.0,31.0,11.0,34.0,35.0,24.0,46.0,166.0,17.0,1804.0,118.0,7.0,40.0,79.0,39.0,52.0,42.0
4833,0.0,1.0,2.0,3.0,10.0,8.0,18.0,4.0,7.0,43.0,11.0,6.0,19.0,26.0,15.0,9.0,42.0,24.0,12.0,75.0,910.0,16.0,88.0,62.0,27.0,71.0,70.0,25.0,50.0,36.0
4882,0.0,3.0,6.0,1.0,12.0,7.0,14.0,4.0,8.0,40.0,31.0,10.0,11.0,61.0,50.0,16.0,34.0,5.0,333.0,55.0,115.0,15.0,20.0,81.0,13.0,66.0,36.0,78.0,123.0,298.0
