,hsa-miR-425,hsa-let-7e,hsa-miR-28-3p,hsa-miR-1257,hsa-miR-302a,hsa-miR-642,hsa-miR-148a,hsa-miR-133b,hsa-miR-1307,hsa-miR-548d-3p,hsa-miR-2113,hsa-miR-331-5p,hsa-miR-10b,hsa-miR-518c,hsa-miR-218,hsa-miR-330-3p,hsa-miR-1226,hsa-miR-630,hsa-miR-15b,bkv-miR-B1-3p+jcv-miR-J1-3p,hsa-miR-1245,hsv1-miR-H1,hsa-miR-124,hsa-miR-34c-5p,hsa-miR-340,hsa-miR-302b,hsa-miR-155,hsa-miR-320d,hsa-let-7i,hsa-miR-597
607,18.0,0.0,81.0,61.0,46.0,126.0,63.0,36.0,148.0,74.0,139.0,48.0,53.0,72.0,38.0,15.0,109.0,329.0,32.0,268.0,440.0,54.0,102.0,101.0,620.0,92.0,108.0,566.0,458.0,112.0
656,52.0,35.0,141.0,173.0,38.0,158.0,391.0,25.0,475.0,86.0,68.0,117.0,98.0,17.0,123.0,629.0,106.0,352.0,383.0,272.0,135.0,95.0,88.0,615.0,30.0,578.0,151.0,125.0,40.0,85.0
705,48.0,0.0,155.0,102.0,38.0,284.0,70.0,50.0,130.0,60.0,110.0,128.0,31.0,12.0,67.0,100.0,39.0,44.0,366.0,138.0,41.0,37.0,7.0,61.0,18.0,82.0,120.0,80.0,58.0,87.0
754,523.0,91.0,115.0,50.0,71.0,99.0,388.0,39.0,48.0,55.0,134.0,623.0,47.0,127.0,78.0,119.0,41.0,35.0,379.0,23.0,27.0,33.0,442.0,612.0,107.0,67.0,42.0,83.0,104.0,227.0
803,3.0,459.0,115.0,66.0,50.0,65.0,46.0,57.0,157.0,69.0,4.0,40.0,68.0,94.0,593.0,622.0,95.0,0.0,71.0,282.0,439.0,36.0,103.0,608.0,612.0,96.0,122.0,628.0,75.0,205.0
852,18.0,0.0,57.0,105.0,81.0,88.0,461.0,41.0,145.0,28.0,91.0,505.0,75.0,34.0,78.0,471.0,122.0,171.0,99.0,13.0,59.0,77.0,321.0,111.0,43.0,84.0,4.0,114.0,146.0,242.0
901,3.0,26.0,103.0,56.0,23.0,44.0,115.0,27.0,139.0,41.0,593.0,627.0,144.0,102.0,45.0,36.0,25.0,13.0,68.0,104.0,2.0,292.0,431.0,24.0,54.0,46.0,130.0,153.0,82.0,70.0
950,519.0,67.0,577.0,56.0,78.0,70.0,27.0,90.0,427.0,46.0,103.0,140.0,32.0,58.0,74.0,92.0,54.0,97.0,64.0,308.0,435.0,45.0,438.0,7.0,612.0,89.0,44.0,624.0,458.0,39.0
999,7.0,17.0,140.0,101.0,82.0,116.0,84.0,77.0,30.0,554.0,106.0,93.0,160.0,63.0,61.0,426.0,35.0,170.0,468.0,87.0,46.0,49.0,187.0,31.0,596.0,446.0,76.0,81.0,138.0,258.0
1048,16.0,38.0,34.0,154.0,83.0,59.0,387.0,118.0,45.0,84.0,23.0,46.0,52.0,57.0,122.0,81.0,65.0,357.0,379.0,100.0,82.0,21.0,42.0,104.0,70.0,151.0,380.0,629.0,36.0,222.0
