,hsa-miR-130a,hsa-miR-222,hsa-miR-497,hsa-miR-34a,hsa-let-7e,hsa-let-7c,hsa-miR-149,hsa-miR-1260,hsa-miR-548p,hsa-miR-1978,hsa-miR-1302,hsa-miR-218,hsa-miR-582-5p,hsa-miR-553,hsa-miR-1298,hsa-miR-1233,hsa-miR-483-3p,hsa-miR-155,hsa-miR-9,hsa-miR-210,hsa-miR-1308,hsa-miR-96,hsa-miR-569,hsa-miR-877,hsa-miR-135b,hsa-miR-99a,hsa-miR-1307,hsa-miR-129-3p,hsa-miR-342-3p,hsa-miR-567
2322,59.0,14.0,120.0,33.0,42.0,1.0,458.0,62.0,43.0,15.0,31.0,391.0,122.0,74.0,23.0,93.0,607.0,67.0,86.0,81.0,48.0,352.0,69.0,100.0,495.0,84.0,87.0,410.0,7.0,112.0
2371,490.0,12.0,44.0,38.0,27.0,3.0,467.0,121.0,62.0,48.0,31.0,134.0,101.0,55.0,463.0,102.0,520.0,50.0,41.0,30.0,491.0,262.0,21.0,54.0,25.0,96.0,2.0,37.0,78.0,84.0
2420,8.0,15.0,23.0,31.0,34.0,0.0,53.0,24.0,19.0,119.0,76.0,32.0,28.0,43.0,121.0,94.0,509.0,55.0,123.0,14.0,81.0,254.0,99.0,126.0,49.0,18.0,426.0,58.0,128.0,74.0
2469,9.0,12.0,13.0,25.0,17.0,21.0,112.0,35.0,124.0,40.0,73.0,109.0,72.0,31.0,79.0,133.0,508.0,363.0,103.0,38.0,87.0,241.0,222.0,64.0,387.0,99.0,138.0,111.0,36.0,125.0
2518,12.0,9.0,14.0,17.0,64.0,2.0,3.0,40.0,33.0,404.0,83.0,63.0,78.0,114.0,112.0,43.0,59.0,392.0,116.0,49.0,54.0,252.0,0.0,57.0,24.0,105.0,134.0,61.0,62.0,131.0
2567,20.0,22.0,29.0,15.0,108.0,76.0,30.0,101.0,40.0,96.0,45.0,26.0,83.0,54.0,50.0,67.0,517.0,376.0,69.0,82.0,86.0,33.0,209.0,148.0,394.0,265.0,57.0,74.0,36.0,134.0
2616,6.0,13.0,8.0,16.0,93.0,460.0,3.0,9.0,118.0,11.0,50.0,111.0,124.0,23.0,475.0,82.0,38.0,94.0,101.0,18.0,41.0,43.0,0.0,49.0,479.0,4.0,123.0,92.0,115.0,121.0
2665,15.0,6.0,18.0,22.0,66.0,120.0,7.0,115.0,27.0,17.0,68.0,91.0,62.0,39.0,20.0,99.0,60.0,447.0,84.0,12.0,83.0,67.0,123.0,73.0,188.0,111.0,126.0,105.0,31.0,110.0
2714,2.0,13.0,44.0,31.0,85.0,121.0,445.0,19.0,12.0,97.0,48.0,17.0,146.0,50.0,61.0,69.0,602.0,32.0,46.0,28.0,546.0,348.0,1.0,94.0,461.0,98.0,463.0,55.0,63.0,89.0
2763,6.0,7.0,54.0,36.0,95.0,16.0,30.0,84.0,86.0,129.0,125.0,22.0,62.0,26.0,78.0,48.0,20.0,359.0,324.0,456.0,423.0,246.0,0.0,73.0,60.0,107.0,459.0,469.0,608.0,32.0
2812,22.0,4.0,34.0,28.0,50.0,39.0,12.0,69.0,49.0,37.0,105.0,9.0,71.0,95.0,56.0,88.0,74.0,85.0,91.0,621.0,19.0,78.0,68.0,92.0,0.0,10.0,113.0,60.0,41.0,107.0
2861,6.0,2.0,39.0,47.0,35.0,441.0,364.0,52.0,49.0,23.0,120.0,101.0,105.0,102.0,32.0,82.0,81.0,356.0,62.0,595.0,110.0,245.0,1.0,88.0,85.0,139.0,383.0,116.0,34.0,24.0
