,GABA,C56:5 TAG,beta-alanine,alpha-glycerophosphate,C22:6 LPE,butyrylcarnitine/isobutyrylcarnitine,C34:4 PC,DHAP/glyceraldehyde 3P,UMP,2-deoxycytidine,niacinamide,cystathionine,adenosine,1-methylnicotinamide,C36:4 PC-B,pantothenate,palmitoylcarnitine,uridine,valerylcarnitine,cotinine,C18:0 LPC,2-deoxyadenosine,SDMA/ADMA,leucine,homocysteine,asparagine,3-phosphoglycerate,PEP,sarcosine,N-carbamoyl-beta-alanine
707,0.0,16.0,2.0,1.0,10.0,3.0,4.0,19.0,5.0,32.0,18.0,55.0,6.0,15.0,48.0,25.0,26.0,8.0,12.0,11.0,37.0,23.0,22.0,35.0,50.0,34.0,31.0,9.0,20.0,17.0
756,1.0,24.0,0.0,9.0,12.0,4.0,36.0,3.0,18.0,37.0,28.0,25.0,10.0,15.0,47.0,7.0,2.0,42.0,66.0,16.0,5.0,26.0,34.0,21.0,6.0,8.0,14.0,13.0,20.0,29.0
805,0.0,16.0,3.0,4.0,18.0,8.0,19.0,5.0,7.0,1.0,24.0,32.0,9.0,21.0,10.0,2.0,23.0,55.0,27.0,41.0,38.0,20.0,34.0,33.0,14.0,57.0,64.0,25.0,39.0,36.0
854,1.0,6.0,3.0,2.0,4.0,21.0,17.0,5.0,0.0,35.0,10.0,7.0,41.0,44.0,25.0,26.0,18.0,11.0,36.0,43.0,55.0,29.0,23.0,50.0,8.0,16.0,57.0,49.0,48.0,13.0
903,0.0,32.0,2.0,3.0,7.0,4.0,11.0,5.0,1.0,10.0,8.0,49.0,22.0,19.0,38.0,17.0,13.0,33.0,24.0,41.0,30.0,29.0,18.0,35.0,27.0,62.0,66.0,20.0,21.0,26.0
952,1.0,10.0,3.0,2.0,34.0,7.0,11.0,4.0,0.0,20.0,8.0,37.0,22.0,12.0,13.0,46.0,15.0,32.0,36.0,31.0,24.0,39.0,17.0,30.0,23.0,19.0,40.0,28.0,55.0,6.0
1001,0.0,1.0,8.0,2.0,4.0,9.0,13.0,15.0,7.0,38.0,3.0,23.0,11.0,18.0,17.0,28.0,48.0,6.0,46.0,40.0,32.0,12.0,27.0,14.0,34.0,25.0,19.0,56.0,22.0,63.0
1050,0.0,2.0,3.0,8.0,1.0,16.0,9.0,4.0,29.0,5.0,6.0,33.0,7.0,26.0,18.0,10.0,36.0,11.0,13.0,14.0,15.0,23.0,40.0,28.0,45.0,30.0,58.0,35.0,27.0,47.0
1099,0.0,5.0,7.0,1.0,16.0,4.0,2.0,22.0,9.0,11.0,3.0,20.0,21.0,39.0,25.0,45.0,50.0,6.0,42.0,24.0,18.0,14.0,44.0,12.0,30.0,15.0,26.0,32.0,13.0,37.0
1148,0.0,1.0,12.0,3.0,8.0,13.0,7.0,9.0,11.0,2.0,6.0,10.0,16.0,14.0,27.0,5.0,45.0,4.0,33.0,15.0,31.0,23.0,21.0,32.0,26.0,22.0,38.0,65.0,25.0,35.0
1197,0.0,7.0,6.0,4.0,3.0,14.0,2.0,9.0,19.0,5.0,1.0,22.0,12.0,27.0,8.0,13.0,60.0,15.0,26.0,20.0,30.0,51.0,33.0,18.0,28.0,11.0,36.0,25.0,40.0,63.0
1246,1.0,0.0,14.0,3.0,4.0,8.0,2.0,7.0,10.0,5.0,6.0,21.0,35.0,32.0,13.0,9.0,40.0,27.0,18.0,11.0,23.0,29.0,43.0,52.0,46.0,30.0,26.0,51.0,20.0,31.0
1295,0.0,1.0,6.0,3.0,4.0,9.0,2.0,10.0,11.0,5.0,7.0,21.0,12.0,29.0,8.0,14.0,44.0,18.0,13.0,31.0,43.0,45.0,35.0,54.0,34.0,26.0,30.0,22.0,19.0,25.0
1344,0.0,7.0,1.0,6.0,3.0,17.0,5.0,4.0,19.0,9.0,2.0,23.0,13.0,53.0,11.0,34.0,56.0,21.0,27.0,28.0,41.0,20.0,8.0,24.0,48.0,10.0,38.0,25.0,32.0,40.0
1393,0.0,1.0,4.0,8.0,3.0,7.0,25.0,19.0,6.0,20.0,2.0,11.0,9.0,24.0,16.0,10.0,44.0,17.0,65.0,23.0,60.0,15.0,22.0,18.0,45.0,14.0,46.0,62.0,5.0,12.0
1442,0.0,4.0,3.0,13.0,2.0,14.0,11.0,9.0,19.0,5.0,1.0,29.0,15.0,17.0,8.0,6.0,63.0,31.0,27.0,34.0,20.0,38.0,46.0,18.0,12.0,7.0,39.0,26.0,10.0,44.0
1491,0.0,3.0,5.0,2.0,10.0,16.0,1.0,9.0,11.0,6.0,13.0,4.0,18.0,21.0,7.0,49.0,15.0,40.0,27.0,12.0,41.0,26.0,64.0,8.0,30.0,43.0,24.0,37.0,17.0,14.0
1540,0.0,2.0,1.0,4.0,11.0,15.0,8.0,5.0,33.0,9.0,7.0,6.0,19.0,3.0,13.0,54.0,29.0,59.0,24.0,18.0,17.0,34.0,20.0,32.0,51.0,10.0,16.0,23.0,42.0,35.0
1589,0.0,1.0,3.0,2.0,8.0,19.0,12.0,5.0,4.0,11.0,15.0,9.0,26.0,10.0,7.0,46.0,32.0,61.0,16.0,37.0,35.0,13.0,59.0,14.0,27.0,29.0,20.0,25.0,45.0,30.0
1638,0.0,1.0,2.0,5.0,13.0,10.0,8.0,3.0,12.0,6.0,24.0,7.0,28.0,4.0,41.0,21.0,38.0,52.0,16.0,20.0,18.0,14.0,23.0,29.0,25.0,22.0,19.0,15.0,56.0,43.0
1687,0.0,1.0,2.0,5.0,3.0,21.0,15.0,4.0,57.0,7.0,9.0,8.0,13.0,20.0,44.0,19.0,6.0,41.0,12.0,11.0,29.0,22.0,50.0,10.0,62.0,25.0,27.0,28.0,63.0,26.0
1736,0.0,2.0,6.0,8.0,1.0,10.0,12.0,4.0,35.0,19.0,3.0,13.0,30.0,14.0,9.0,11.0,5.0,43.0,21.0,39.0,15.0,20.0,27.0,7.0,23.0,53.0,16.0,17.0,37.0,40.0
1785,0.0,1.0,4.0,10.0,2.0,23.0,7.0,22.0,42.0,15.0,16.0,6.0,38.0,8.0,11.0,17.0,20.0,9.0,19.0,3.0,18.0,45.0,35.0,28.0,46.0,13.0,24.0,14.0,26.0,21.0
1834,0.0,2.0,1.0,6.0,3.0,15.0,8.0,14.0,45.0,12.0,5.0,13.0,9.0,4.0,22.0,16.0,62.0,33.0,19.0,35.0,10.0,17.0,54.0,7.0,18.0,57.0,24.0,25.0,46.0,31.0
1883,0.0,1.0,3.0,7.0,2.0,13.0,20.0,5.0,18.0,4.0,17.0,8.0,15.0,14.0,11.0,9.0,10.0,35.0,16.0,24.0,6.0,19.0,25.0,48.0,21.0,62.0,28.0,26.0,52.0,36.0
1932,0.0,1.0,2.0,3.0,7.0,22.0,24.0,13.0,32.0,16.0,4.0,10.0,6.0,5.0,44.0,20.0,38.0,25.0,18.0,26.0,28.0,23.0,60.0,11.0,50.0,9.0,57.0,14.0,21.0,30.0
1981,4.0,0.0,5.0,1.0,2.0,15.0,10.0,26.0,12.0,3.0,11.0,9.0,6.0,17.0,8.0,42.0,16.0,32.0,13.0,24.0,50.0,18.0,43.0,62.0,37.0,22.0,57.0,55.0,54.0,28.0
2030,2.0,3.0,0.0,5.0,14.0,6.0,1.0,19.0,16.0,4.0,15.0,20.0,18.0,7.0,10.0,21.0,29.0,40.0,17.0,56.0,23.0,38.0,45.0,30.0,51.0,12.0,24.0,13.0,44.0,47.0
2079,1.0,4.0,0.0,3.0,2.0,7.0,5.0,8.0,27.0,6.0,35.0,13.0,24.0,41.0,36.0,9.0,10.0,31.0,15.0,16.0,20.0,11.0,29.0,46.0,33.0,42.0,25.0,30.0,48.0,44.0
2128,8.0,0.0,6.0,9.0,4.0,3.0,5.0,16.0,2.0,1.0,7.0,15.0,18.0,31.0,30.0,29.0,37.0,36.0,10.0,23.0,50.0,13.0,20.0,42.0,47.0,62.0,58.0,33.0,54.0,19.0
2177,2.0,8.0,1.0,18.0,16.0,0.0,6.0,5.0,7.0,4.0,22.0,9.0,3.0,30.0,41.0,33.0,28.0,29.0,24.0,11.0,10.0,17.0,13.0,20.0,14.0,52.0,40.0,27.0,31.0,54.0
2226,4.0,1.0,0.0,6.0,2.0,14.0,5.0,10.0,20.0,3.0,11.0,46.0,25.0,29.0,13.0,16.0,9.0,15.0,7.0,19.0,18.0,32.0,26.0,8.0,33.0,12.0,64.0,21.0,22.0,47.0
2275,0.0,2.0,4.0,3.0,7.0,8.0,12.0,1.0,5.0,10.0,16.0,24.0,6.0,45.0,18.0,26.0,29.0,34.0,13.0,25.0,11.0,57.0,21.0,46.0,19.0,28.0,47.0,60.0,14.0,15.0
2324,1.0,3.0,0.0,7.0,5.0,25.0,4.0,9.0,8.0,2.0,11.0,46.0,15.0,53.0,16.0,33.0,41.0,10.0,6.0,22.0,35.0,21.0,17.0,31.0,18.0,14.0,63.0,42.0,24.0,45.0
2373,6.0,3.0,2.0,5.0,8.0,1.0,14.0,0.0,7.0,4.0,15.0,20.0,12.0,32.0,26.0,21.0,11.0,16.0,9.0,58.0,43.0,13.0,18.0,23.0,29.0,10.0,22.0,51.0,57.0,27.0
2422,1.0,5.0,0.0,3.0,2.0,11.0,6.0,16.0,10.0,4.0,18.0,13.0,23.0,33.0,36.0,14.0,8.0,12.0,15.0,44.0,20.0,46.0,9.0,17.0,7.0,37.0,30.0,40.0,24.0,58.0
2471,2.0,0.0,4.0,8.0,5.0,3.0,1.0,7.0,23.0,40.0,46.0,14.0,9.0,11.0,19.0,34.0,25.0,12.0,10.0,6.0,21.0,51.0,15.0,18.0,22.0,28.0,55.0,37.0,13.0,52.0
2520,1.0,7.0,2.0,10.0,6.0,0.0,3.0,8.0,21.0,5.0,32.0,9.0,12.0,18.0,37.0,17.0,41.0,44.0,4.0,43.0,14.0,48.0,26.0,16.0,34.0,31.0,49.0,27.0,46.0,20.0
2569,0.0,2.0,1.0,9.0,5.0,3.0,4.0,21.0,20.0,30.0,31.0,18.0,27.0,8.0,16.0,13.0,50.0,60.0,6.0,7.0,11.0,12.0,10.0,19.0,42.0,14.0,55.0,25.0,43.0,53.0
2618,0.0,3.0,2.0,4.0,9.0,1.0,10.0,12.0,15.0,30.0,14.0,33.0,11.0,28.0,45.0,8.0,37.0,41.0,22.0,47.0,5.0,17.0,34.0,6.0,53.0,18.0,16.0,61.0,36.0,38.0
2667,0.0,2.0,3.0,5.0,4.0,1.0,12.0,14.0,7.0,17.0,9.0,21.0,6.0,15.0,16.0,24.0,44.0,66.0,10.0,18.0,13.0,45.0,8.0,37.0,46.0,41.0,38.0,34.0,31.0,62.0
2716,0.0,5.0,2.0,3.0,1.0,4.0,10.0,15.0,28.0,40.0,11.0,34.0,9.0,16.0,25.0,14.0,51.0,20.0,19.0,18.0,7.0,8.0,13.0,12.0,50.0,55.0,64.0,36.0,33.0,46.0
2765,3.0,5.0,0.0,6.0,8.0,1.0,2.0,15.0,4.0,13.0,17.0,9.0,12.0,42.0,19.0,10.0,38.0,31.0,11.0,25.0,20.0,18.0,23.0,21.0,7.0,29.0,27.0,56.0,54.0,41.0
2814,0.0,10.0,5.0,6.0,13.0,3.0,2.0,30.0,14.0,1.0,40.0,31.0,28.0,15.0,44.0,33.0,50.0,63.0,8.0,38.0,16.0,61.0,22.0,4.0,24.0,11.0,64.0,59.0,36.0,51.0
2863,0.0,13.0,2.0,4.0,37.0,3.0,1.0,12.0,7.0,10.0,8.0,16.0,17.0,15.0,47.0,18.0,33.0,42.0,6.0,52.0,56.0,40.0,28.0,38.0,5.0,41.0,39.0,53.0,14.0,31.0
2912,0.0,8.0,9.0,4.0,7.0,25.0,2.0,3.0,15.0,28.0,23.0,20.0,10.0,32.0,6.0,26.0,18.0,12.0,22.0,39.0,16.0,43.0,30.0,11.0,17.0,41.0,44.0,49.0,5.0,50.0
2961,0.0,2.0,4.0,6.0,7.0,3.0,21.0,10.0,11.0,1.0,13.0,12.0,5.0,15.0,30.0,9.0,22.0,16.0,50.0,19.0,60.0,57.0,45.0,8.0,31.0,34.0,18.0,14.0,41.0,27.0
3010,1.0,8.0,0.0,2.0,5.0,3.0,47.0,12.0,17.0,13.0,23.0,6.0,4.0,10.0,38.0,28.0,9.0,60.0,26.0,7.0,51.0,24.0,14.0,15.0,33.0,19.0,39.0,29.0,18.0,46.0
3059,1.0,7.0,3.0,0.0,10.0,2.0,8.0,9.0,11.0,5.0,42.0,6.0,4.0,15.0,20.0,28.0,14.0,66.0,22.0,44.0,12.0,17.0,37.0,16.0,43.0,34.0,23.0,13.0,41.0,47.0
3108,0.0,15.0,2.0,6.0,1.0,5.0,10.0,13.0,3.0,11.0,25.0,8.0,4.0,39.0,7.0,49.0,23.0,19.0,29.0,36.0,44.0,16.0,24.0,14.0,38.0,61.0,20.0,48.0,60.0,34.0
3157,0.0,9.0,3.0,1.0,5.0,7.0,22.0,15.0,6.0,11.0,8.0,4.0,2.0,51.0,18.0,24.0,25.0,14.0,20.0,13.0,19.0,16.0,61.0,50.0,44.0,56.0,40.0,23.0,27.0,26.0
3206,4.0,12.0,3.0,0.0,7.0,1.0,31.0,5.0,9.0,10.0,19.0,6.0,2.0,18.0,42.0,17.0,8.0,24.0,16.0,20.0,11.0,47.0,59.0,22.0,43.0,23.0,63.0,39.0,37.0,40.0
3255,0.0,18.0,1.0,2.0,17.0,3.0,7.0,6.0,5.0,19.0,11.0,8.0,4.0,29.0,42.0,36.0,21.0,46.0,28.0,12.0,9.0,30.0,22.0,31.0,37.0,38.0,56.0,15.0,25.0,14.0
3304,0.0,6.0,1.0,4.0,22.0,2.0,12.0,15.0,32.0,7.0,14.0,8.0,3.0,47.0,13.0,19.0,5.0,9.0,39.0,29.0,10.0,40.0,24.0,16.0,30.0,34.0,56.0,45.0,63.0,35.0
3353,0.0,5.0,4.0,3.0,10.0,2.0,32.0,28.0,34.0,6.0,9.0,20.0,1.0,48.0,16.0,12.0,19.0,15.0,52.0,47.0,8.0,55.0,30.0,7.0,43.0,46.0,60.0,11.0,24.0,31.0
3402,0.0,3.0,8.0,1.0,4.0,2.0,10.0,6.0,25.0,23.0,5.0,13.0,17.0,27.0,11.0,7.0,9.0,26.0,34.0,16.0,20.0,32.0,12.0,19.0,18.0,45.0,21.0,31.0,22.0,52.0
3451,0.0,4.0,1.0,5.0,40.0,53.0,2.0,46.0,9.0,3.0,7.0,10.0,28.0,13.0,24.0,21.0,38.0,30.0,25.0,16.0,57.0,44.0,34.0,22.0,12.0,56.0,19.0,45.0,47.0,8.0
3500,0.0,2.0,4.0,7.0,1.0,40.0,3.0,24.0,6.0,11.0,5.0,17.0,23.0,15.0,16.0,12.0,30.0,53.0,13.0,21.0,20.0,45.0,56.0,42.0,34.0,44.0,8.0,36.0,26.0,46.0
3549,0.0,3.0,1.0,2.0,6.0,47.0,7.0,9.0,5.0,17.0,4.0,20.0,18.0,16.0,13.0,25.0,45.0,54.0,29.0,31.0,49.0,26.0,46.0,11.0,8.0,56.0,33.0,12.0,44.0,15.0
3598,0.0,3.0,1.0,12.0,8.0,11.0,14.0,2.0,13.0,6.0,5.0,7.0,4.0,18.0,9.0,28.0,38.0,56.0,40.0,19.0,52.0,15.0,10.0,33.0,29.0,61.0,21.0,24.0,42.0,46.0
3647,0.0,13.0,1.0,2.0,5.0,20.0,3.0,9.0,4.0,10.0,7.0,6.0,28.0,12.0,36.0,25.0,11.0,66.0,8.0,56.0,44.0,15.0,60.0,24.0,21.0,62.0,31.0,51.0,33.0,22.0
3696,0.0,1.0,2.0,6.0,5.0,48.0,16.0,4.0,13.0,3.0,7.0,11.0,9.0,8.0,21.0,32.0,22.0,34.0,19.0,17.0,27.0,25.0,31.0,12.0,23.0,35.0,50.0,39.0,14.0,57.0
3745,1.0,2.0,0.0,3.0,12.0,14.0,22.0,5.0,20.0,26.0,7.0,4.0,30.0,8.0,35.0,21.0,34.0,10.0,23.0,16.0,24.0,64.0,37.0,13.0,11.0,46.0,47.0,17.0,54.0,6.0
3794,0.0,5.0,1.0,2.0,4.0,18.0,14.0,3.0,6.0,21.0,17.0,20.0,9.0,52.0,22.0,19.0,10.0,15.0,54.0,43.0,61.0,13.0,33.0,7.0,8.0,35.0,34.0,58.0,38.0,16.0
3843,0.0,2.0,3.0,1.0,5.0,25.0,9.0,15.0,21.0,6.0,28.0,4.0,8.0,35.0,19.0,27.0,20.0,10.0,44.0,56.0,46.0,23.0,24.0,45.0,36.0,64.0,7.0,22.0,30.0,41.0
3892,0.0,2.0,1.0,19.0,5.0,15.0,11.0,4.0,12.0,6.0,9.0,3.0,33.0,24.0,18.0,31.0,8.0,21.0,16.0,49.0,56.0,10.0,25.0,13.0,54.0,45.0,34.0,58.0,7.0,14.0
3941,1.0,6.0,9.0,2.0,0.0,4.0,12.0,3.0,7.0,22.0,20.0,11.0,38.0,5.0,19.0,25.0,32.0,18.0,49.0,14.0,55.0,51.0,43.0,58.0,31.0,54.0,59.0,24.0,27.0,8.0
3990,1.0,0.0,3.0,4.0,10.0,5.0,8.0,2.0,23.0,26.0,6.0,57.0,24.0,22.0,11.0,45.0,25.0,9.0,31.0,14.0,7.0,27.0,34.0,49.0,18.0,28.0,15.0,64.0,39.0,33.0
4039,0.0,3.0,9.0,4.0,6.0,1.0,2.0,5.0,15.0,10.0,19.0,31.0,13.0,23.0,7.0,43.0,16.0,22.0,37.0,8.0,28.0,50.0,27.0,57.0,24.0,17.0,12.0,26.0,45.0,63.0
4088,0.0,1.0,18.0,4.0,5.0,7.0,3.0,2.0,14.0,16.0,15.0,23.0,13.0,20.0,25.0,12.0,8.0,6.0,10.0,26.0,19.0,21.0,44.0,62.0,45.0,27.0,17.0,43.0,24.0,22.0
4137,0.0,1.0,13.0,11.0,2.0,4.0,3.0,6.0,7.0,47.0,21.0,23.0,34.0,16.0,10.0,39.0,8.0,9.0,30.0,45.0,48.0,41.0,59.0,36.0,14.0,26.0,24.0,60.0,29.0,25.0
4186,1.0,0.0,14.0,8.0,3.0,4.0,5.0,2.0,7.0,39.0,22.0,26.0,43.0,17.0,27.0,15.0,9.0,11.0,48.0,6.0,21.0,57.0,32.0,58.0,24.0,33.0,12.0,41.0,45.0,13.0
4235,0.0,2.0,5.0,4.0,1.0,13.0,3.0,10.0,9.0,21.0,29.0,60.0,17.0,6.0,55.0,54.0,36.0,14.0,18.0,7.0,22.0,45.0,12.0,61.0,33.0,20.0,34.0,26.0,52.0,35.0
4284,0.0,1.0,5.0,3.0,2.0,6.0,4.0,31.0,19.0,8.0,17.0,57.0,45.0,15.0,40.0,36.0,10.0,14.0,23.0,11.0,12.0,53.0,51.0,56.0,22.0,65.0,9.0,61.0,33.0,44.0
4333,1.0,0.0,13.0,2.0,15.0,7.0,6.0,3.0,10.0,18.0,33.0,54.0,27.0,20.0,48.0,34.0,26.0,4.0,14.0,28.0,55.0,35.0,31.0,61.0,19.0,58.0,29.0,63.0,39.0,51.0
4382,0.0,1.0,8.0,4.0,2.0,9.0,5.0,3.0,7.0,47.0,17.0,25.0,46.0,55.0,6.0,19.0,10.0,23.0,30.0,34.0,24.0,27.0,56.0,14.0,18.0,38.0,20.0,41.0,60.0,48.0
4431,3.0,5.0,2.0,1.0,0.0,10.0,9.0,7.0,12.0,16.0,48.0,4.0,6.0,37.0,32.0,17.0,14.0,53.0,35.0,29.0,46.0,15.0,47.0,42.0,19.0,24.0,18.0,30.0,23.0,20.0
4480,1.0,5.0,6.0,0.0,2.0,11.0,31.0,10.0,4.0,22.0,38.0,17.0,7.0,15.0,9.0,33.0,8.0,3.0,18.0,13.0,47.0,36.0,14.0,24.0,34.0,16.0,45.0,40.0,56.0,19.0
4529,0.0,11.0,3.0,1.0,2.0,9.0,5.0,8.0,7.0,12.0,19.0,6.0,18.0,4.0,16.0,43.0,38.0,13.0,22.0,41.0,24.0,28.0,47.0,26.0,21.0,50.0,25.0,31.0,15.0,40.0
4578,2.0,4.0,7.0,0.0,1.0,3.0,5.0,6.0,14.0,13.0,22.0,11.0,8.0,19.0,18.0,48.0,17.0,9.0,38.0,25.0,16.0,12.0,10.0,58.0,52.0,54.0,20.0,53.0,43.0,37.0
4627,2.0,6.0,3.0,0.0,1.0,5.0,11.0,4.0,13.0,12.0,10.0,26.0,8.0,14.0,29.0,22.0,48.0,9.0,7.0,24.0,16.0,23.0,27.0,65.0,17.0,19.0,36.0,53.0,59.0,31.0
4676,0.0,4.0,1.0,5.0,2.0,3.0,16.0,14.0,13.0,7.0,10.0,11.0,6.0,12.0,21.0,34.0,19.0,9.0,17.0,18.0,37.0,24.0,54.0,46.0,36.0,26.0,20.0,66.0,64.0,28.0
4725,2.0,3.0,5.0,1.0,0.0,15.0,17.0,7.0,27.0,8.0,10.0,12.0,4.0,6.0,9.0,21.0,22.0,14.0,26.0,43.0,32.0,18.0,16.0,47.0,13.0,44.0,25.0,37.0,61.0,38.0
4774,0.0,6.0,5.0,3.0,9.0,1.0,7.0,4.0,14.0,8.0,17.0,10.0,2.0,11.0,19.0,24.0,29.0,36.0,12.0,13.0,48.0,34.0,23.0,33.0,21.0,40.0,20.0,22.0,58.0,54.0
4823,0.0,9.0,17.0,5.0,4.0,1.0,3.0,10.0,19.0,7.0,42.0,16.0,8.0,11.0,2.0,20.0,14.0,6.0,26.0,13.0,27.0,35.0,32.0,39.0,24.0,15.0,21.0,34.0,47.0,59.0
4872,0.0,9.0,6.0,2.0,1.0,7.0,8.0,5.0,46.0,15.0,19.0,3.0,4.0,10.0,13.0,12.0,20.0,14.0,26.0,30.0,31.0,35.0,32.0,21.0,34.0,49.0,24.0,16.0,22.0,29.0
