,SMARCA2_DEL,LPA_AMP,CDC73_DEL,KIAA0125_AMP,USP32P1_AMP,TTTY22_DEL,PTPRD_DEL,SLC25A37_AMP,KRT16P2_AMP,USP32P2_DEL,ADAM6_AMP,MRGPRX1_DEL,CCDC144A_AMP,FAM106CP_AMP,LGALS9C_DEL,GALNTL6_DEL,ARHGAP22_DEL,PCCB_DEL,TAG_DEL,LRRC37A2_AMP,ASAH2_DEL,PSG9_DEL,TMEM132D_DEL,BRAF_MUT,BTNL3_DEL,CCDC144B_DEL,LOC284395_DEL,SLC14A2_DEL,LAMA1_MUT,OR2T34_AMP
520,2.0,12.0,9.0,3.0,6.0,16.0,1.0,10.0,14.0,59.0,4.0,17.0,7.0,5.0,287.0,61.0,34.0,23.0,62.0,104.0,152.0,79.0,170.0,473.0,78.0,252.0,32.0,33.0,28.0,44.0
569,4.0,3.0,12.0,0.0,8.0,11.0,1.0,6.0,15.0,37.0,2.0,7.0,19.0,20.0,31.0,17.0,34.0,33.0,168.0,350.0,119.0,5.0,125.0,85.0,16.0,82.0,54.0,18.0,9.0,22.0
618,5.0,63.0,16.0,0.0,4.0,6.0,1.0,3.0,13.0,12.0,2.0,9.0,8.0,7.0,17.0,31.0,33.0,30.0,14.0,37.0,123.0,58.0,40.0,28.0,19.0,68.0,24.0,103.0,15.0,20.0
667,4.0,6.0,14.0,0.0,13.0,9.0,3.0,15.0,26.0,92.0,1.0,7.0,23.0,24.0,322.0,38.0,41.0,59.0,91.0,82.0,28.0,20.0,58.0,5.0,42.0,179.0,35.0,27.0,19.0,85.0
716,3.0,11.0,4.0,0.0,7.0,5.0,6.0,10.0,9.0,24.0,1.0,54.0,13.0,12.0,47.0,41.0,14.0,19.0,66.0,35.0,29.0,25.0,16.0,56.0,32.0,33.0,21.0,22.0,8.0,60.0
765,13.0,3.0,22.0,17.0,0.0,34.0,14.0,19.0,8.0,6.0,9.0,12.0,1.0,2.0,7.0,50.0,26.0,15.0,21.0,55.0,11.0,20.0,25.0,37.0,51.0,4.0,49.0,53.0,41.0,126.0
814,3.0,76.0,2.0,23.0,35.0,0.0,44.0,7.0,6.0,136.0,40.0,4.0,95.0,94.0,49.0,14034.0,21.0,1.0,71.0,100.0,70.0,9.0,8.0,14.0,252.0,164.0,120.0,39.0,10.0,20.0
863,6.0,4.0,31.0,0.0,15.0,13.0,2.0,8.0,16.0,74.0,3.0,5.0,34.0,35.0,118.0,11.0,22.0,7.0,19.0,90.0,10.0,30.0,12.0,123.0,1.0,253.0,36.0,29.0,23.0,42.0
912,3.0,7.0,15.0,1.0,4.0,16.0,8.0,0.0,12.0,6.0,2.0,34.0,13.0,14.0,9.0,32.0,43.0,49.0,26.0,153.0,140.0,31.0,48.0,21.0,17.0,37.0,27.0,95.0,11.0,108.0
961,7.0,13.0,34.0,4.0,1.0,20.0,6.0,0.0,8.0,12.0,5.0,9.0,3.0,2.0,15.0,119.0,23.0,111.0,1331.0,376.0,248.0,24.0,28.0,16.0,17.0,45.0,19.0,14.0,11.0,71.0
1010,0.0,7.0,14.0,1.0,66.0,20.0,17.0,6.0,47.0,23.0,3.0,84.0,65.0,67.0,29.0,4.0,45.0,22.0,850.0,9.0,25.0,126.0,19.0,30.0,10.0,139.0,15.0,32.0,46.0,13.0
1059,4.0,9.0,7.0,0.0,27.0,21.0,10.0,5.0,36.0,6.0,1.0,17.0,68.0,67.0,8.0,3.0,92.0,159.0,22.0,15.0,42.0,32.0,20.0,187.0,2.0,52.0,37.0,223.0,74.0,19.0
1108,2.0,0.0,50.0,11.0,3.0,51.0,28.0,1.0,4.0,6.0,30.0,23.0,19.0,20.0,12.0,21.0,13.0,18.0,22.0,8.0,775.0,118.0,67.0,15.0,38.0,47.0,26.0,79.0,40.0,10.0
1157,0.0,4.0,1.0,14.0,16.0,15.0,5.0,2.0,3.0,37.0,30.0,20.0,54.0,53.0,9.0,13.0,7.0,27.0,11.0,32.0,29.0,5049.0,105.0,260.0,82.0,2178.0,12.0,123.0,21.0,6.0
1206,0.0,6.0,18.0,1.0,7.0,8.0,52.0,27.0,3.0,10.0,2.0,28.0,14.0,15.0,45.0,4.0,5.0,49.0,31.0,90.0,71.0,66.0,12.0,34.0,11.0,22.0,13.0,92.0,60.0,26.0
1255,1.0,2.0,34.0,17.0,4.0,3.0,7.0,9.0,6.0,26.0,41.0,35.0,11.0,10.0,27.0,0.0,21.0,37.0,120.0,29.0,14.0,334.0,23.0,8.0,239.0,5.0,96.0,148.0,131.0,12.0
1304,2.0,3.0,15.0,6.0,12.0,4.0,22.0,11.0,5.0,7.0,19.0,16.0,44.0,43.0,13.0,1.0,20.0,17.0,413.0,31.0,155.0,73.0,84.0,8.0,10.0,68.0,9.0,88.0,24.0,28.0
1353,16.0,19.0,41.0,2.0,5.0,11.0,9.0,7.0,4.0,0.0,8.0,23.0,15.0,14.0,3.0,6.0,22.0,42.0,26.0,59.0,67.0,253.0,17.0,27.0,10.0,33.0,21.0,56.0,18.0,1.0
1402,8.0,2.0,18.0,1.0,23.0,15.0,4.0,11.0,9.0,14.0,6.0,7.0,51.0,52.0,21.0,0.0,13.0,32.0,448.0,26.0,106.0,110.0,105.0,125.0,20.0,115.0,25.0,187.0,38.0,5.0
1451,4.0,5.0,14.0,3.0,11.0,16.0,2.0,8.0,7.0,18.0,9.0,36.0,31.0,32.0,25.0,0.0,59.0,63.0,309.0,13.0,116.0,34.0,120.0,52.0,22.0,153.0,30.0,37.0,15.0,1.0
1500,0.0,197.0,10.0,2.0,8.0,23.0,9.0,6.0,5.0,3.0,1.0,18.0,14.0,13.0,7.0,67.0,11.0,4.0,52.0,28.0,16.0,35.0,21.0,22.0,19.0,26.0,59.0,57.0,83.0,153.0
1549,1.0,57.0,24.0,8.0,31.0,26.0,28.0,9.0,4.0,15.0,16.0,5.0,65.0,64.0,21.0,71.0,3.0,0.0,158.0,11.0,13.0,52.0,7.0,23.0,48.0,174.0,94.0,32.0,102.0,34.0
1598,7.0,13.0,1.0,21.0,15.0,8.0,43.0,11.0,34.0,111.0,53.0,17.0,20.0,19.0,66.0,38.0,10.0,6.0,1537.0,57.0,0.0,77.0,16.0,9.0,107.0,159.0,78.0,75.0,132.0,144.0
1647,0.0,36.0,3.0,2.0,13.0,39.0,4.0,21.0,23.0,6.0,5.0,11.0,12.0,14.0,15.0,68.0,10.0,1.0,322.0,9.0,27.0,41.0,52.0,24.0,387.0,44.0,60.0,35.0,45.0,82.0
1696,1.0,15.0,35.0,8.0,24.0,28.0,11.0,2.0,22.0,13.0,18.0,7.0,47.0,46.0,26.0,105.0,23.0,0.0,6.0,4.0,10.0,42.0,17.0,12.0,29.0,113.0,159.0,65.0,263.0,40.0
1745,3.0,23.0,15.0,2.0,18.0,44.0,19.0,1.0,10.0,11.0,6.0,5.0,30.0,29.0,17.0,14.0,4.0,0.0,282.0,8.0,31.0,16.0,12.0,43.0,27.0,54.0,66.0,70.0,74.0,51.0
1794,2.0,58.0,23.0,0.0,14.0,20.0,13.0,9.0,8.0,17.0,1.0,24.0,28.0,27.0,34.0,7.0,6.0,5.0,103.0,19.0,10.0,12.0,3.0,11.0,26.0,16.0,71.0,132.0,92.0,33.0
1843,0.0,291.0,1.0,8.0,81.0,9.0,23.0,3.0,17.0,26.0,10.0,12.0,257.0,256.0,44.0,34.0,14.0,2.0,563.0,6.0,22.0,30.0,5.0,27.0,96.0,47.0,288.0,24.0,151.0,40.0
1892,0.0,73.0,16.0,4.0,6.0,9.0,5.0,1.0,17.0,31.0,7.0,15.0,18.0,19.0,54.0,37.0,14.0,2.0,21.0,30.0,25.0,96.0,8.0,81.0,38.0,494.0,59.0,122.0,74.0,84.0
1941,0.0,8.0,15.0,5.0,1.0,74.0,6.0,10.0,11.0,7.0,12.0,14.0,3.0,4.0,16.0,2028.0,13.0,9.0,46.0,29.0,2.0,19.0,30.0,26.0,153.0,43.0,65.0,62.0,99.0,169.0
1990,6.0,0.0,7.0,20.0,3.0,29.0,1.0,21.0,22.0,15.0,38.0,8.0,4.0,2.0,46.0,26.0,13.0,42.0,11.0,387.0,5.0,158.0,89.0,28.0,40.0,62.0,14.0,34.0,95.0,70.0
2039,17.0,0.0,1.0,32.0,10.0,5.0,20.0,9.0,21.0,3.0,74.0,4.0,11.0,12.0,18.0,23.0,19.0,25.0,27.0,99.0,127.0,24.0,41.0,8.0,28.0,38.0,6.0,39.0,176.0,1347.0
2088,10.0,0.0,1.0,28.0,15.0,5.0,29.0,105.0,39.0,6.0,33.0,37.0,13.0,14.0,4.0,20.0,40.0,59.0,16.0,12.0,3.0,7.0,17.0,21.0,9.0,36.0,11.0,49.0,374.0,74.0
2137,8.0,0.0,1.0,13.0,31.0,39.0,6.0,50.0,51.0,2.0,25.0,4.0,33.0,32.0,19.0,7.0,15.0,23.0,41.0,20.0,10.0,37.0,22.0,5.0,3.0,27.0,16.0,87.0,72.0,68.0
2186,17.0,0.0,9.0,27.0,25.0,5.0,51.0,4.0,69.0,1.0,71.0,3.0,23.0,24.0,14.0,462.0,62.0,29.0,15.0,11.0,267.0,35.0,86.0,8.0,41.0,2.0,88.0,96.0,80.0,79.0
2235,11.0,2.0,5.0,0.0,13.0,30.0,36.0,50.0,49.0,1.0,4.0,7.0,12.0,14.0,15.0,17.0,55.0,16.0,25.0,41.0,42.0,8.0,244.0,3.0,21.0,18.0,34.0,38.0,6.0,93.0
2284,3.0,0.0,1.0,28.0,21.0,15.0,11.0,62.0,44.0,5.0,66.0,16.0,23.0,22.0,27.0,79.0,56.0,2.0,39.0,9.0,7.0,10.0,30.0,8.0,13.0,41.0,20.0,36.0,37.0,73.0
2333,9.0,1.0,0.0,30.0,5.0,23.0,53.0,95.0,32.0,2.0,62.0,22.0,4.0,6.0,7.0,20.0,34.0,71.0,152.0,113.0,16.0,15.0,35.0,312.0,3.0,10.0,18.0,55.0,61.0,2458.0
2382,13.0,0.0,2.0,6.0,9.0,12.0,126.0,83.0,30.0,1.0,19.0,4.0,8.0,7.0,15.0,23.0,25.0,18.0,56.0,34.0,16.0,10.0,29.0,41.0,17.0,3.0,33.0,35.0,86.0,40.0
2431,6.0,0.0,5.0,1.0,7.0,26.0,38.0,37.0,21.0,2.0,3.0,33.0,9.0,8.0,16.0,91.0,10.0,13.0,44.0,18.0,24.0,17.0,29.0,19.0,23.0,4.0,20.0,30.0,57.0,383.0
2480,19.0,10.0,3.0,0.0,18.0,15.0,46.0,7.0,34.0,4.0,5.0,8.0,41.0,42.0,1.0,16.0,180.0,138.0,2.0,14.0,580.0,25.0,45.0,57.0,59.0,13.0,17.0,146.0,29.0,105.0
2529,2.0,159.0,0.0,12.0,47.0,9.0,24.0,1.0,15.0,17.0,45.0,21.0,148.0,149.0,14.0,10.0,63.0,321.0,55.0,3.0,1000.0,59.0,25.0,8.0,81.0,11.0,79.0,140.0,27.0,32.0
2578,22.0,10.0,0.0,1.0,4.0,13.0,25.0,6.0,93.0,7.0,8.0,12.0,24.0,23.0,20.0,15.0,55.0,171.0,51.0,5.0,104.0,78.0,31.0,34.0,50.0,46.0,17.0,71.0,44.0,36.0
2627,2.0,0.0,4.0,22.0,24.0,7.0,19.0,13.0,157.0,45.0,79.0,20.0,26.0,25.0,41.0,1.0,247.0,544.0,170.0,5.0,198.0,29.0,100.0,81.0,75.0,17.0,39.0,211.0,139.0,57.0
2676,5.0,1.0,3.0,33.0,6.0,38.0,13.0,7.0,95.0,2.0,99.0,11.0,18.0,19.0,0.0,4.0,7524.0,223.0,10.0,32.0,371.0,50.0,350.0,42.0,24.0,12.0,36.0,112.0,39.0,51.0
2725,2.0,32.0,0.0,4.0,10.0,12.0,5.0,20.0,19.0,82.0,25.0,24.0,21.0,22.0,18.0,30.0,49.0,99.0,26.0,15.0,100.0,81.0,186.0,1359.0,105.0,363.0,17.0,196.0,42.0,62.0
2774,4.0,32.0,1.0,6.0,22.0,33.0,15.0,12.0,25.0,3.0,9.0,7.0,59.0,58.0,0.0,2.0,291.0,394.0,29.0,8.0,873.0,135.0,77.0,35.0,11.0,10.0,19.0,103.0,43.0,37.0
2823,0.0,53.0,3.0,1.0,8.0,21.0,5.0,47.0,14.0,7.0,6.0,39.0,11.0,12.0,4.0,2.0,60.0,3978.0,51.0,15.0,117.0,50.0,23.0,61.0,9.0,45.0,28.0,1852.0,35.0,224.0
2872,10.0,153.0,0.0,27.0,12.0,8.0,2.0,19.0,23.0,9.0,98.0,43.0,37.0,36.0,3.0,5.0,235.0,87.0,11.0,33.0,15.0,71.0,606.0,55.0,83.0,34.0,13.0,276.0,104.0,51.0
2921,6.0,8.0,2.0,1.0,32.0,25.0,16.0,15.0,49.0,19.0,5.0,21.0,88.0,87.0,11.0,13.0,583.0,142.0,7.0,4.0,53.0,103.0,102.0,23.0,9.0,31.0,43.0,253.0,36.0,42.0
2970,3.0,39.0,4.0,10.0,22.0,0.0,19.0,41.0,9.0,42.0,7.0,45.0,24.0,23.0,73.0,17.0,43.0,139.0,34.0,29.0,439.0,1.0,37.0,12.0,21.0,31.0,154.0,30.0,81.0,70.0
3019,1.0,0.0,7.0,4.0,12.0,2.0,3.0,9.0,210.0,796.0,13.0,21.0,32.0,33.0,4518.0,8.0,197.0,74.0,312.0,86.0,10.0,26.0,84.0,445.0,220.0,122.0,42.0,30.0,109.0,50.0
3068,9.0,4.0,0.0,7.0,18.0,3.0,32.0,43.0,24.0,2843.0,29.0,37.0,47.0,46.0,2632.0,1.0,85.0,12.0,19.0,6.0,38.0,131.0,755.0,45.0,199.0,11861.0,92.0,56.0,17.0,315.0
3117,6.0,24.0,0.0,1.0,20.0,4.0,3.0,130.0,30.0,75.0,5.0,15.0,46.0,47.0,184.0,9.0,42.0,72.0,169.0,18.0,25.0,7.0,44.0,34.0,59.0,270.0,43.0,14.0,10.0,11.0
3166,2.0,20.0,7.0,4.0,11.0,1.0,12.0,19.0,17.0,142.0,5.0,14.0,22.0,21.0,252.0,6.0,36.0,98.0,61.0,15.0,13.0,35.0,8.0,26.0,104.0,411.0,34.0,9.0,16.0,80.0
3215,2.0,3.0,1.0,11.0,18.0,6.0,0.0,7.0,22.0,146.0,30.0,29.0,57.0,56.0,291.0,9.0,35.0,82.0,13.0,17.0,4068.0,21.0,134.0,74.0,107.0,272.0,26.0,24.0,108.0,15.0
3264,2.0,3.0,0.0,79.0,9.0,23.0,26.0,11.0,29.0,8.0,293.0,13.0,18.0,19.0,1.0,318.0,37.0,489.0,14.0,31.0,9710.0,10.0,219.0,112.0,178.0,41.0,101.0,35.0,24.0,60.0
3313,0.0,8.0,2.0,1.0,14.0,3.0,16.0,32.0,17.0,80.0,6.0,5.0,39.0,38.0,133.0,7.0,31.0,49.0,175.0,15.0,100.0,13.0,149.0,222.0,12.0,590.0,63.0,37.0,22.0,54.0
3362,2.0,4.0,8.0,1.0,9.0,3.0,11.0,79.0,18.0,70.0,6.0,21.0,30.0,31.0,174.0,0.0,114.0,7.0,33.0,24.0,57.0,12.0,91.0,48.0,13.0,193.0,38.0,60.0,50.0,35.0
3411,2.0,0.0,12.0,1.0,15.0,5.0,30.0,38.0,28.0,9.0,6.0,48.0,53.0,54.0,20.0,3.0,34.0,18.0,175.0,47.0,42.0,11.0,67.0,35.0,8.0,10.0,71.0,23.0,74.0,29.0
3460,4.0,3.0,39.0,18.0,0.0,10.0,15.0,11.0,13.0,7.0,52.0,12.0,2.0,1.0,17.0,19.0,83.0,24.0,6.0,117.0,71.0,20.0,530.0,130.0,66.0,8.0,202.0,48.0,73.0,14.0
3509,4.0,1.0,6.0,15.0,0.0,44.0,14.0,9.0,8.0,31.0,49.0,5.0,2.0,3.0,41.0,45.0,13.0,54.0,10.0,9009.0,11.0,173.0,379.0,792.0,764.0,12.0,23.0,29.0,56.0,103.0
3558,6.0,1.0,20.0,4.0,0.0,21.0,12.0,36.0,5.0,45.0,10.0,7.0,2.0,3.0,55.0,31.0,38.0,17.0,11.0,124.0,91.0,32.0,16.0,14.0,57.0,8.0,69.0,88.0,44.0,26.0
3607,3.0,5.0,4.0,71.0,0.0,7.0,9.0,23.0,12.0,49.0,382.0,30.0,2.0,1.0,20.0,11.0,48.0,50.0,36.0,882.0,6.0,150.0,38.0,56.0,119.0,8.0,37.0,98.0,25.0,22.0
3656,4.0,3.0,18.0,24.0,1.0,9.0,8.0,82.0,13.0,16.0,37.0,27.0,2.0,0.0,30.0,23.0,11.0,31.0,25.0,94.0,92.0,65.0,315.0,35.0,22.0,5.0,29.0,74.0,17.0,63.0
3705,4.0,3.0,8.0,7.0,0.0,13.0,30.0,34.0,14.0,10.0,22.0,9.0,1.0,2.0,26.0,33.0,18.0,17.0,24.0,81.0,38.0,246.0,19.0,138.0,51.0,5.0,23.0,76.0,35.0,43.0
3754,6.0,0.0,8.0,13.0,1.0,15.0,44.0,19.0,17.0,22.0,48.0,38.0,3.0,4.0,21.0,43.0,65.0,7.0,35.0,54.0,60.0,56.0,30.0,51.0,23.0,2.0,82.0,138.0,52.0,260.0
3803,6.0,1.0,7.0,39.0,0.0,13.0,29.0,56.0,10.0,11.0,92.0,4.0,3.0,2.0,15.0,5.0,17.0,42.0,8.0,118.0,53.0,44.0,21.0,50.0,25.0,12.0,33.0,68.0,51.0,46.0
3852,3.0,4.0,8.0,9.0,0.0,27.0,7.0,43.0,15.0,11.0,14.0,18.0,1.0,2.0,16.0,22.0,12.0,34.0,13.0,182.0,23.0,41.0,19.0,36.0,26.0,6.0,29.0,45.0,17.0,28.0
3901,8.0,0.0,10.0,2.0,3.0,11.0,19.0,145.0,26.0,14.0,7.0,25.0,5.0,6.0,22.0,31.0,16.0,37.0,27.0,30.0,20.0,29.0,33.0,82.0,80.0,1.0,48.0,71.0,191.0,45.0
3950,2.0,11.0,15.0,10.0,1.0,18.0,5.0,36.0,8.0,17.0,13.0,51.0,7.0,6.0,24.0,0.0,4.0,31.0,9.0,74.0,12.0,116.0,499.0,280.0,94.0,35.0,29.0,39.0,25.0,103.0
3999,0.0,5.0,4.0,10.0,16.0,36.0,2.0,13.0,101.0,57.0,38.0,98.0,18.0,17.0,99.0,6.0,9.0,3.0,12.0,20.0,1.0,453.0,600.0,66.0,56.0,269.0,15.0,21.0,14.0,92.0
4048,6.0,0.0,23.0,20.0,1.0,87.0,12.0,34.0,17.0,25.0,107.0,44.0,2.0,3.0,53.0,9.0,7.0,13.0,4.0,269.0,5.0,234.0,723.0,139.0,277.0,11.0,37.0,31.0,21.0,48.0
4097,4.0,3.0,0.0,22.0,15.0,26.0,9.0,7.0,25.0,199.0,97.0,24.0,39.0,40.0,35.0,11.0,10.0,16.0,2.0,33.0,1.0,60.0,145.0,174.0,76.0,390.0,37.0,70.0,123.0,14.0
4146,4.0,8.0,2.0,12.0,6.0,5.0,28.0,0.0,7.0,20.0,71.0,50.0,24.0,25.0,14.0,9.0,3.0,27.0,10.0,254.0,32.0,39.0,221.0,30.0,18.0,11.0,123.0,86.0,13.0,180.0
4195,5.0,0.0,2.0,12.0,3.0,30.0,9.0,6.0,4.0,14.0,25.0,31.0,11.0,10.0,27.0,1.0,7.0,29.0,15.0,42.0,37.0,83.0,129.0,107.0,57.0,99.0,23.0,18.0,33.0,46.0
4244,26.0,1.0,43.0,46.0,2.0,36.0,0.0,15.0,17.0,11.0,396.0,10.0,9.0,8.0,21.0,5.0,4.0,19.0,18.0,102.0,29.0,72.0,4317.0,91.0,10337.0,216.0,128.0,94.0,82.0,7.0
4293,5.0,4.0,11.0,10.0,3.0,25.0,1.0,6.0,24.0,15.0,28.0,27.0,8.0,7.0,20.0,0.0,12.0,19.0,34.0,54.0,2.0,93.0,227.0,430.0,37.0,39.0,31.0,17.0,97.0,36.0
4342,18.0,0.0,11.0,2.0,5.0,82.0,16.0,68.0,9.0,23.0,12.0,7.0,15.0,14.0,80.0,6.0,10.0,3.0,29.0,154.0,4.0,33.0,401.0,34.0,47.0,66.0,50.0,31.0,74.0,8.0
4391,3.0,21.0,8.0,28.0,4.0,31.0,1.0,7.0,15.0,464.0,112.0,45.0,13.0,12.0,2469.0,2.0,9.0,20.0,32.0,59.0,33.0,116.0,663.0,888.0,484.0,4163.0,38.0,25.0,19.0,27.0
4440,12.0,425.0,11.0,24.0,5.0,1.0,9.0,241.0,19.0,232.0,45.0,10.0,17.0,18.0,33.0,262.0,28.0,296.0,84.0,38.0,0.0,4.0,15.0,320.0,26.0,36.0,106.0,40.0,20.0,635.0
4489,7.0,138.0,11.0,0.0,41.0,1.0,3.0,10.0,59.0,71.0,4.0,8.0,106.0,105.0,20.0,291.0,60.0,673.0,30.0,28.0,17.0,5.0,19.0,51.0,18.0,476.0,80.0,27.0,15.0,743.0
4538,6.0,106.0,5.0,22.0,18.0,1.0,14.0,230.0,20.0,15.0,85.0,28.0,17.0,16.0,2.0,643.0,120.0,62.0,517.0,44.0,0.0,12.0,13.0,11.0,8.0,94.0,89.0,36.0,56.0,15430.0
4587,7.0,2.0,6.0,17.0,1.0,14.0,12.0,145.0,23.0,11.0,37.0,18.0,8.0,9.0,3.0,293.0,96.0,2051.0,0.0,207.0,5.0,34.0,71.0,82.0,46.0,15.0,65.0,29.0,48.0,498.0
4636,6.0,336.0,11.0,2.0,22.0,0.0,7.0,24.0,9.0,15.0,13.0,19.0,51.0,52.0,1.0,43.0,106.0,1080.0,49.0,23.0,20.0,16.0,237.0,29.0,5.0,64.0,82.0,93.0,34.0,113.0
4685,34.0,97.0,15.0,2.0,12.0,0.0,9.0,17.0,6.0,21.0,5.0,35.0,30.0,29.0,1.0,132.0,184.0,4444.0,3.0,18.0,16.0,4.0,32.0,36.0,46.0,62.0,96.0,80.0,208.0,1939.0
4734,11.0,15.0,10.0,41.0,12.0,14.0,4.0,17.0,6.0,39.0,204.0,18.0,31.0,32.0,19.0,396.0,37.0,842.0,277.0,1125.0,7.0,100.0,653.0,63.0,22.0,427.0,45.0,55.0,58.0,53.0
4783,2.0,173.0,18.0,4.0,23.0,0.0,7.0,1.0,36.0,96.0,12.0,6.0,60.0,59.0,15.0,9763.0,52.0,614.0,16.0,58.0,40.0,14.0,29.0,10.0,22.0,54.0,800.0,32.0,21.0,85.0
4832,5.0,124.0,4.0,151.0,19.0,0.0,16.0,31.0,7.0,9.0,574.0,2.0,68.0,69.0,1.0,1091.0,58.0,2900.0,15.0,1660.0,13.0,10.0,20.0,174.0,28.0,137.0,65.0,18.0,104.0,200.0
4881,9.0,72.0,1.0,3.0,7.0,0.0,4.0,25.0,10.0,12.0,6.0,18.0,14.0,13.0,2.0,539.0,34.0,499.0,23.0,74.0,8.0,21.0,49.0,33.0,26.0,87.0,36.0,37.0,53.0,811.0
