,LEPREL2,HERC5,CORO6,IFI27,MYEOV,CHRNB1,IFITM1,PLEKHG4,GBP5,MFAP2,EDA2R,C8orf58,ZNF625,AC005624.2,SESN1,SLFN12,ARTN,RP11-834C11.4,MT1E,GRIN2D,AFAP1-AS1,RP11-366M4.17,C3orf18,FAM110C,CCRN4L,CKB,ASIC1,RP11-132A1.4,SLFN13,GNB4
646,19.0,1.0,0.0,2.0,10.0,7.0,13.0,66.0,12.0,42.0,16.0,14.0,38.0,96.0,17.0,41.0,33.0,68.0,3.0,190.0,5.0,130.0,25.0,11.0,29.0,559.0,8.0,43.0,4.0,297.0
695,0.0,8.0,35.0,23.0,1.0,9.0,15.0,14.0,160.0,53.0,5.0,30.0,86.0,73.0,39.0,4.0,38.0,494.0,2.0,373.0,3.0,61.0,50.0,59.0,116.0,49.0,6.0,27.0,17.0,237.0
744,5.0,3.0,39.0,12.0,19.0,54.0,10.0,32.0,4.0,16.0,0.0,6.0,125.0,126.0,22.0,2.0,69.0,9.0,13.0,102.0,1.0,44.0,90.0,7.0,29.0,24.0,36.0,269.0,15.0,603.0
793,11.0,1.0,4.0,2.0,3.0,10.0,0.0,70.0,5.0,63.0,9.0,12.0,25.0,197.0,107.0,31.0,22.0,260.0,8.0,20.0,14.0,23.0,33.0,62.0,49.0,365.0,19.0,7.0,6.0,305.0
842,4.0,5.0,11.0,7.0,3.0,32.0,12.0,29.0,10.0,59.0,6.0,14.0,40.0,79.0,16.0,9.0,20.0,27.0,2.0,184.0,0.0,26.0,93.0,1.0,86.0,49.0,13.0,118.0,25.0,174.0
891,27.0,1.0,6.0,4.0,9.0,10.0,14.0,7.0,2.0,327.0,12.0,8.0,16.0,131.0,22.0,19.0,145.0,123.0,0.0,46.0,25.0,42.0,54.0,30.0,26.0,132.0,89.0,36.0,17.0,249.0
940,8.0,0.0,2.0,1.0,12.0,37.0,3.0,34.0,6.0,148.0,11.0,5.0,19.0,17.0,73.0,23.0,159.0,18.0,9.0,106.0,58.0,54.0,20.0,7.0,136.0,46.0,25.0,138.0,13.0,98.0
989,0.0,1.0,5.0,6.0,22.0,14.0,13.0,2.0,10.0,8.0,7.0,57.0,9.0,20.0,168.0,190.0,3.0,215.0,18.0,983.0,38.0,68.0,11.0,34.0,74.0,16.0,107.0,36.0,144.0,23.0
1038,0.0,1.0,4.0,3.0,58.0,14.0,6.0,5.0,34.0,2.0,11.0,12.0,31.0,347.0,45.0,7.0,41.0,33.0,35.0,27.0,99.0,29.0,56.0,18.0,25.0,16.0,210.0,10.0,42.0,36.0
1087,1.0,25.0,3.0,78.0,6.0,34.0,10.0,7.0,2.0,15.0,19.0,4.0,8.0,27.0,139.0,89.0,20.0,0.0,32.0,44.0,60.0,28.0,13.0,9.0,46.0,31.0,72.0,36.0,756.0,175.0
1136,2.0,0.0,1.0,7.0,11.0,4.0,21.0,59.0,5.0,23.0,3.0,13.0,25.0,70.0,24.0,39.0,9.0,6.0,33.0,28.0,32.0,109.0,16.0,14.0,43.0,36.0,100.0,20.0,34.0,37.0
1185,3.0,0.0,1.0,12.0,20.0,41.0,9.0,2.0,14.0,4.0,40.0,49.0,31.0,53.0,68.0,30.0,17.0,5.0,6.0,7.0,13.0,154.0,38.0,22.0,33.0,51.0,226.0,21.0,406.0,42.0
1234,0.0,1.0,7.0,23.0,29.0,46.0,6.0,3.0,5.0,4.0,21.0,19.0,33.0,121.0,49.0,2.0,45.0,12.0,428.0,186.0,84.0,10.0,90.0,28.0,14.0,20.0,199.0,200.0,70.0,35.0
1283,0.0,3.0,1.0,9.0,5.0,18.0,7.0,4.0,12.0,8.0,34.0,21.0,17.0,29.0,204.0,6.0,10.0,2.0,38.0,11.0,35.0,28.0,37.0,24.0,45.0,16.0,122.0,31.0,70.0,52.0
1332,0.0,1.0,2.0,5.0,3.0,8.0,16.0,17.0,7.0,92.0,20.0,23.0,24.0,9.0,116.0,45.0,6.0,10.0,14.0,34.0,19.0,41.0,64.0,11.0,99.0,27.0,298.0,57.0,230.0,21.0
1381,0.0,2.0,3.0,9.0,42.0,16.0,4.0,15.0,5.0,20.0,18.0,22.0,10.0,65.0,91.0,7.0,29.0,6.0,8.0,160.0,27.0,146.0,26.0,12.0,80.0,11.0,55.0,106.0,72.0,43.0
1430,0.0,10.0,3.0,6.0,14.0,51.0,1.0,15.0,32.0,8.0,11.0,33.0,29.0,117.0,62.0,176.0,160.0,4.0,21.0,9.0,737.0,210.0,13.0,1425.0,174.0,98.0,297.0,194.0,96.0,71.0
1479,0.0,15.0,151.0,13.0,1.0,14.0,25.0,3.0,17.0,9.0,85.0,8.0,7.0,631.0,6.0,2.0,106.0,66.0,113.0,11.0,297.0,33.0,275.0,28.0,18.0,29.0,378.0,120.0,112.0,65.0
1528,1.0,0.0,145.0,23.0,2.0,3.0,18.0,193.0,47.0,30.0,14.0,36.0,4.0,54.0,58.0,6.0,5.0,68.0,8.0,7.0,11.0,10.0,21.0,22.0,38.0,70.0,31.0,270.0,64.0,106.0
1577,0.0,2.0,17.0,39.0,1.0,3.0,9.0,165.0,24.0,116.0,46.0,14.0,6.0,36.0,12.0,32.0,4.0,35.0,16.0,50.0,5.0,27.0,91.0,13.0,47.0,103.0,33.0,75.0,66.0,26.0
1626,0.0,46.0,6.0,13.0,2.0,11.0,33.0,9.0,236.0,39.0,60.0,34.0,4.0,12.0,10.0,17.0,105.0,127.0,1.0,18.0,26.0,115.0,21.0,43.0,172.0,78.0,24.0,365.0,161.0,145.0
1675,0.0,9.0,51.0,50.0,1.0,60.0,10.0,34.0,31.0,17.0,43.0,19.0,2.0,112.0,14.0,5.0,16.0,68.0,4.0,11.0,3.0,20.0,45.0,7.0,92.0,90.0,65.0,58.0,35.0,15.0
1724,0.0,29.0,35.0,37.0,2.0,4.0,22.0,34.0,48.0,98.0,23.0,17.0,3.0,5.0,6.0,111.0,8.0,64.0,7.0,39.0,184.0,27.0,14.0,18.0,30.0,51.0,63.0,202.0,1587.0,16.0
1773,0.0,2.0,62.0,47.0,1.0,4.0,9.0,159.0,65.0,117.0,25.0,7.0,10.0,61.0,38.0,3.0,13.0,129.0,112.0,8.0,24.0,381.0,162.0,12.0,59.0,203.0,37.0,22.0,21.0,33.0
1822,1.0,34.0,49.0,51.0,0.0,31.0,2.0,35.0,54.0,47.0,6.0,4.0,3.0,30.0,8.0,10.0,39.0,140.0,234.0,27.0,60.0,12.0,11.0,14.0,28.0,81.0,17.0,154.0,25.0,63.0
1871,0.0,5.0,77.0,23.0,1.0,13.0,11.0,33.0,22.0,2.0,32.0,12.0,4.0,29.0,19.0,15.0,31.0,7.0,56.0,10.0,3.0,55.0,105.0,14.0,59.0,45.0,20.0,6.0,122.0,99.0
1920,1.0,47.0,386.0,15.0,0.0,7.0,4.0,282.0,45.0,19.0,8.0,20.0,10.0,25.0,5.0,9.0,24.0,31.0,48.0,21.0,12.0,16.0,30.0,6.0,28.0,301.0,41.0,18.0,104.0,133.0
1969,2.0,3.0,12.0,0.0,13.0,9.0,16.0,4.0,19.0,29.0,164.0,10.0,17.0,37.0,39.0,1003.0,8.0,32.0,30.0,57.0,1.0,54.0,149.0,35.0,24.0,61.0,41.0,14.0,81.0,74.0
2018,1.0,0.0,5.0,3.0,18.0,15.0,11.0,2.0,14.0,26.0,134.0,16.0,17.0,6.0,28.0,151.0,9.0,32.0,30.0,19.0,4.0,58.0,101.0,205.0,34.0,27.0,194.0,12.0,276.0,128.0
2067,2.0,0.0,4.0,6.0,9.0,28.0,23.0,10.0,11.0,8.0,258.0,15.0,13.0,55.0,61.0,439.0,7.0,14.0,63.0,26.0,3.0,54.0,59.0,99.0,27.0,20.0,75.0,17.0,287.0,141.0
2116,1.0,0.0,24.0,6.0,10.0,4.0,14.0,2.0,112.0,36.0,102.0,19.0,25.0,121.0,35.0,50.0,11.0,396.0,7.0,23.0,3.0,264.0,135.0,87.0,42.0,27.0,37.0,31.0,84.0,20.0
2165,3.0,0.0,5.0,2.0,4.0,10.0,18.0,1.0,12.0,22.0,802.0,9.0,43.0,119.0,56.0,30.0,20.0,72.0,191.0,23.0,6.0,134.0,312.0,286.0,19.0,14.0,91.0,75.0,96.0,44.0
2214,2.0,0.0,14.0,1.0,15.0,6.0,9.0,3.0,7.0,16.0,106.0,11.0,22.0,50.0,44.0,153.0,64.0,23.0,46.0,18.0,4.0,121.0,78.0,113.0,35.0,32.0,47.0,12.0,63.0,156.0
2263,2.0,0.0,15.0,3.0,13.0,10.0,6.0,1.0,12.0,30.0,554.0,16.0,24.0,17.0,164.0,84.0,9.0,14.0,78.0,19.0,4.0,40.0,125.0,37.0,7.0,56.0,52.0,20.0,385.0,55.0
2312,0.0,7.0,11.0,2.0,3.0,9.0,21.0,1.0,12.0,107.0,377.0,6.0,14.0,8.0,62.0,325.0,284.0,17.0,16.0,15.0,13.0,491.0,31.0,36.0,22.0,48.0,49.0,47.0,405.0,143.0
2361,1.0,2.0,4.0,3.0,22.0,10.0,12.0,0.0,13.0,11.0,190.0,23.0,36.0,7.0,38.0,208.0,8.0,65.0,27.0,19.0,18.0,44.0,126.0,86.0,34.0,6.0,155.0,25.0,99.0,35.0
2410,2.0,0.0,10.0,1.0,15.0,8.0,3.0,6.0,19.0,11.0,421.0,7.0,36.0,39.0,340.0,30.0,16.0,42.0,57.0,4.0,14.0,34.0,75.0,166.0,37.0,56.0,87.0,5.0,122.0,187.0
2459,26.0,5.0,0.0,9.0,1.0,35.0,17.0,2.0,32.0,10.0,85.0,37.0,28.0,12.0,118.0,4.0,33.0,77.0,119.0,3.0,58.0,25.0,29.0,14.0,253.0,13.0,52.0,135.0,40.0,44.0
2508,6.0,1.0,4.0,80.0,0.0,26.0,143.0,3.0,297.0,64.0,34.0,18.0,17.0,5.0,61.0,9.0,15.0,792.0,100.0,2.0,21.0,60.0,58.0,39.0,23.0,19.0,81.0,123.0,14.0,32.0
2557,14.0,5.0,0.0,531.0,11.0,13.0,368.0,1.0,32.0,110.0,145.0,6.0,25.0,2.0,58.0,19.0,29.0,381.0,3.0,15.0,261.0,40.0,72.0,105.0,195.0,10.0,37.0,152.0,51.0,21.0
2606,2.0,3.0,1.0,26.0,5.0,74.0,162.0,0.0,28.0,7.0,198.0,21.0,29.0,8.0,138.0,14.0,4.0,61.0,82.0,9.0,23.0,31.0,111.0,27.0,194.0,18.0,109.0,34.0,12.0,37.0
2655,5.0,12.0,0.0,25.0,2.0,8.0,215.0,1.0,24.0,17.0,15.0,16.0,62.0,11.0,18.0,116.0,7.0,107.0,83.0,14.0,58.0,77.0,35.0,23.0,50.0,13.0,134.0,121.0,55.0,10.0
2704,9.0,2.0,1.0,7.0,0.0,23.0,84.0,3.0,32.0,152.0,17.0,21.0,11.0,4.0,114.0,30.0,19.0,111.0,16.0,22.0,29.0,25.0,289.0,256.0,154.0,56.0,139.0,113.0,10.0,20.0
2753,1.0,8.0,2.0,5.0,11.0,177.0,78.0,4.0,50.0,29.0,38.0,32.0,36.0,3.0,33.0,14.0,630.0,17.0,0.0,6.0,51.0,59.0,117.0,171.0,601.0,7.0,93.0,404.0,23.0,194.0
2802,18.0,4.0,3.0,5.0,0.0,22.0,15.0,1.0,62.0,37.0,31.0,41.0,47.0,17.0,52.0,2.0,40.0,59.0,157.0,39.0,54.0,148.0,34.0,60.0,118.0,14.0,128.0,297.0,25.0,28.0
2851,2.0,27.0,1.0,26.0,3.0,8.0,89.0,11.0,32.0,115.0,227.0,4.0,33.0,24.0,30.0,14.0,28.0,168.0,17.0,9.0,23.0,173.0,284.0,80.0,84.0,6.0,41.0,269.0,16.0,15.0
2900,0.0,6.0,2.0,37.0,3.0,8.0,102.0,1.0,62.0,46.0,175.0,30.0,28.0,11.0,29.0,60.0,27.0,15.0,24.0,9.0,87.0,20.0,36.0,76.0,160.0,23.0,61.0,295.0,79.0,82.0
2949,4.0,1.0,10.0,0.0,79.0,12.0,39.0,7.0,5.0,3.0,11.0,101.0,42.0,6.0,15.0,41.0,107.0,2.0,199.0,13.0,346.0,104.0,8.0,26.0,103.0,869.0,226.0,22.0,9.0,94.0
2998,2.0,0.0,38.0,1.0,18.0,5.0,7.0,15.0,35.0,17.0,46.0,22.0,26.0,20.0,36.0,31.0,42.0,4.0,148.0,13.0,126.0,16.0,32.0,48.0,27.0,357.0,121.0,3.0,12.0,252.0
3047,2.0,1.0,3.0,0.0,11.0,7.0,5.0,25.0,10.0,13.0,4.0,38.0,32.0,167.0,14.0,16.0,361.0,52.0,140.0,12.0,124.0,6.0,36.0,64.0,21.0,117.0,130.0,46.0,9.0,921.0
3096,16.0,1.0,18.0,0.0,4.0,22.0,6.0,42.0,3.0,2.0,14.0,44.0,30.0,10.0,9.0,37.0,114.0,17.0,78.0,7.0,400.0,8.0,5.0,46.0,118.0,191.0,136.0,12.0,20.0,611.0
3145,18.0,1.0,3.0,0.0,24.0,12.0,2.0,27.0,10.0,4.0,9.0,78.0,169.0,214.0,11.0,7.0,431.0,32.0,8.0,21.0,45.0,28.0,6.0,139.0,290.0,56.0,34.0,16.0,5.0,1033.0
3194,6.0,1.0,12.0,0.0,21.0,3.0,2.0,131.0,11.0,8.0,14.0,47.0,37.0,34.0,19.0,15.0,90.0,9.0,33.0,13.0,146.0,46.0,7.0,92.0,275.0,550.0,70.0,5.0,4.0,213.0
3243,2.0,1.0,5.0,0.0,18.0,6.0,3.0,9.0,10.0,16.0,22.0,39.0,35.0,4.0,47.0,15.0,91.0,13.0,60.0,46.0,897.0,8.0,12.0,79.0,164.0,37.0,208.0,24.0,7.0,136.0
3292,0.0,1.0,28.0,2.0,46.0,47.0,9.0,27.0,4.0,6.0,7.0,30.0,38.0,15.0,11.0,147.0,195.0,3.0,29.0,33.0,55.0,19.0,5.0,78.0,162.0,135.0,56.0,35.0,10.0,1182.0
3341,1.0,2.0,12.0,0.0,17.0,13.0,5.0,41.0,8.0,11.0,3.0,53.0,60.0,6.0,38.0,21.0,56.0,7.0,65.0,24.0,137.0,14.0,4.0,37.0,146.0,98.0,47.0,10.0,9.0,442.0
3390,0.0,4.0,193.0,1.0,32.0,12.0,7.0,43.0,13.0,34.0,14.0,48.0,115.0,10.0,31.0,106.0,292.0,2.0,23.0,3.0,127.0,62.0,5.0,81.0,496.0,190.0,22.0,27.0,429.0,1232.0
3439,1.0,3.0,6.0,0.0,7.0,5.0,9.0,52.0,13.0,4.0,158.0,23.0,55.0,602.0,64.0,12.0,89.0,217.0,34.0,106.0,8.0,99.0,407.0,11.0,41.0,100.0,2.0,26.0,14.0,10.0
3488,5.0,15.0,2.0,1.0,39.0,11.0,3.0,20.0,10.0,16.0,19.0,71.0,52.0,77.0,26.0,62.0,148.0,30.0,0.0,149.0,37.0,392.0,14.0,8.0,513.0,206.0,4.0,7.0,17.0,85.0
3537,4.0,12.0,2.0,3.0,6.0,9.0,37.0,106.0,5.0,7.0,13.0,49.0,17.0,21.0,26.0,36.0,136.0,72.0,0.0,75.0,1.0,10.0,69.0,22.0,32.0,19.0,11.0,107.0,146.0,120.0
3586,2.0,7.0,3.0,0.0,33.0,4.0,8.0,34.0,6.0,30.0,41.0,37.0,9.0,14.0,42.0,453.0,93.0,257.0,1.0,114.0,20.0,15.0,64.0,18.0,127.0,65.0,5.0,56.0,17.0,38.0
3635,1.0,7.0,3.0,2.0,14.0,4.0,6.0,18.0,13.0,20.0,35.0,55.0,15.0,53.0,30.0,419.0,43.0,21.0,0.0,41.0,8.0,34.0,19.0,48.0,137.0,29.0,22.0,5.0,67.0,32.0
3684,2.0,7.0,1.0,6.0,11.0,4.0,13.0,5.0,3.0,8.0,17.0,60.0,47.0,10.0,35.0,31.0,37.0,29.0,0.0,21.0,12.0,32.0,70.0,40.0,194.0,36.0,76.0,106.0,9.0,87.0
3733,0.0,2.0,4.0,1.0,21.0,5.0,36.0,39.0,6.0,43.0,24.0,16.0,13.0,97.0,14.0,119.0,138.0,35.0,3.0,61.0,11.0,53.0,27.0,10.0,136.0,37.0,7.0,169.0,91.0,74.0
3782,2.0,16.0,0.0,4.0,21.0,3.0,98.0,5.0,15.0,34.0,108.0,36.0,17.0,20.0,164.0,251.0,11.0,85.0,1.0,63.0,23.0,144.0,24.0,62.0,105.0,28.0,13.0,205.0,30.0,8.0
3831,2.0,4.0,9.0,0.0,7.0,54.0,34.0,84.0,24.0,11.0,16.0,6.0,18.0,120.0,23.0,17.0,21.0,190.0,3.0,28.0,19.0,177.0,77.0,5.0,29.0,156.0,12.0,102.0,1.0,10.0
3880,5.0,4.0,0.0,3.0,49.0,7.0,1.0,16.0,8.0,10.0,44.0,34.0,27.0,217.0,129.0,40.0,13.0,483.0,6.0,173.0,18.0,59.0,57.0,105.0,391.0,61.0,12.0,11.0,2.0,25.0
3929,3.0,41.0,26.0,10.0,37.0,4.0,22.0,9.0,25.0,111.0,2.0,33.0,116.0,46.0,1.0,5.0,329.0,13.0,8.0,227.0,254.0,93.0,83.0,21.0,84.0,31.0,160.0,209.0,18.0,7.0
3978,0.0,6.0,3.0,1.0,8.0,4.0,58.0,11.0,22.0,31.0,12.0,13.0,51.0,47.0,18.0,19.0,44.0,25.0,77.0,115.0,83.0,15.0,63.0,55.0,46.0,5.0,235.0,126.0,114.0,41.0
4027,0.0,8.0,6.0,12.0,26.0,16.0,7.0,1.0,14.0,5.0,9.0,15.0,19.0,48.0,10.0,35.0,70.0,27.0,18.0,39.0,37.0,38.0,57.0,1093.0,33.0,2.0,92.0,557.0,225.0,175.0
4076,0.0,6.0,3.0,2.0,5.0,1.0,12.0,14.0,13.0,7.0,4.0,25.0,48.0,16.0,8.0,27.0,49.0,164.0,204.0,326.0,106.0,34.0,32.0,39.0,50.0,65.0,194.0,41.0,21.0,11.0
4125,0.0,5.0,17.0,1.0,6.0,4.0,13.0,14.0,31.0,2.0,8.0,15.0,98.0,61.0,35.0,16.0,24.0,73.0,41.0,677.0,70.0,85.0,103.0,55.0,92.0,7.0,10.0,250.0,93.0,65.0
4174,2.0,4.0,6.0,1.0,19.0,8.0,7.0,0.0,13.0,15.0,20.0,18.0,42.0,139.0,43.0,22.0,79.0,88.0,35.0,165.0,39.0,3.0,173.0,71.0,118.0,11.0,70.0,59.0,270.0,14.0
4223,0.0,8.0,2.0,1.0,5.0,4.0,7.0,6.0,36.0,25.0,21.0,14.0,35.0,193.0,23.0,47.0,27.0,247.0,37.0,270.0,32.0,10.0,42.0,74.0,46.0,11.0,28.0,52.0,31.0,61.0
4272,0.0,1.0,43.0,2.0,7.0,47.0,5.0,95.0,36.0,72.0,3.0,9.0,19.0,288.0,10.0,12.0,285.0,29.0,39.0,392.0,13.0,42.0,71.0,25.0,38.0,23.0,55.0,165.0,121.0,17.0
4321,0.0,35.0,5.0,2.0,4.0,3.0,26.0,27.0,15.0,75.0,53.0,18.0,11.0,38.0,13.0,24.0,48.0,255.0,136.0,87.0,103.0,69.0,125.0,6.0,86.0,10.0,39.0,64.0,46.0,16.0
4370,0.0,31.0,38.0,20.0,36.0,9.0,1.0,5.0,22.0,18.0,15.0,14.0,147.0,406.0,39.0,16.0,183.0,8.0,244.0,314.0,484.0,94.0,108.0,29.0,33.0,12.0,3.0,270.0,234.0,23.0
4419,5.0,2.0,78.0,4.0,8.0,0.0,77.0,28.0,208.0,27.0,9.0,18.0,3.0,11.0,22.0,35.0,10.0,200.0,6.0,23.0,7.0,68.0,17.0,14.0,12.0,256.0,134.0,25.0,408.0,34.0
4468,14.0,7.0,1.0,4.0,0.0,2.0,31.0,18.0,29.0,11.0,16.0,47.0,22.0,21.0,15.0,36.0,44.0,13.0,72.0,5.0,100.0,41.0,28.0,6.0,40.0,439.0,535.0,152.0,237.0,20.0
4517,15.0,2.0,3.0,0.0,6.0,5.0,10.0,1.0,8.0,4.0,19.0,79.0,14.0,9.0,30.0,42.0,27.0,32.0,12.0,33.0,26.0,23.0,45.0,102.0,104.0,177.0,156.0,17.0,73.0,34.0
4566,0.0,6.0,5.0,2.0,84.0,3.0,17.0,4.0,11.0,39.0,1.0,14.0,10.0,12.0,83.0,52.0,26.0,8.0,91.0,61.0,46.0,33.0,16.0,22.0,42.0,85.0,47.0,289.0,169.0,25.0
4615,9.0,0.0,2.0,7.0,22.0,14.0,3.0,5.0,38.0,25.0,11.0,40.0,26.0,6.0,53.0,68.0,83.0,8.0,10.0,31.0,338.0,80.0,12.0,56.0,181.0,162.0,120.0,17.0,275.0,73.0
4664,11.0,4.0,0.0,16.0,2.0,5.0,10.0,8.0,28.0,3.0,39.0,55.0,21.0,7.0,84.0,91.0,20.0,6.0,13.0,140.0,109.0,377.0,30.0,25.0,221.0,132.0,116.0,74.0,164.0,81.0
4713,4.0,1.0,0.0,24.0,15.0,3.0,13.0,69.0,8.0,2.0,40.0,34.0,37.0,21.0,33.0,41.0,126.0,18.0,6.0,10.0,19.0,16.0,27.0,117.0,55.0,61.0,30.0,58.0,64.0,150.0
4762,2.0,14.0,38.0,8.0,0.0,3.0,5.0,16.0,21.0,6.0,68.0,33.0,28.0,7.0,39.0,15.0,221.0,13.0,212.0,1.0,27.0,30.0,34.0,86.0,24.0,61.0,60.0,143.0,126.0,80.0
4811,11.0,36.0,0.0,6.0,4.0,2.0,33.0,1.0,8.0,29.0,154.0,14.0,10.0,5.0,24.0,45.0,38.0,441.0,20.0,62.0,207.0,3.0,22.0,16.0,64.0,317.0,92.0,144.0,291.0,82.0
4860,0.0,1.0,7.0,13.0,6.0,4.0,21.0,32.0,20.0,2.0,45.0,28.0,17.0,8.0,302.0,37.0,72.0,11.0,156.0,3.0,153.0,5.0,10.0,54.0,15.0,348.0,68.0,101.0,94.0,499.0
