,ETV4,SPRY2,ETV5,ZNF502,SPRY1,TOR4A,NPAS2,LEPREL2,IGF2,CMTM7,SNX18P16,EVPL,SEMA3A,LGR5,SLC2A3,DUSP6,TMC6,RP11-834C11.4,RP11-417J8.3,DKK1,SCEL,SLC16A3,RNLS,KRT18P34,GPR126,NTS,HMGA2,FAM83A,NRROS,FAM101A
1086,0.0,2.0,3.0,1.0,4.0,7.0,53.0,56.0,14.0,76.0,10.0,146.0,9.0,8.0,22.0,5.0,64.0,21.0,34.0,93.0,28.0,13.0,12.0,57.0,448.0,36.0,24.0,266.0,18.0,110.0
1135,0.0,2.0,11.0,1.0,3.0,8.0,311.0,47.0,5.0,13.0,12.0,244.0,15.0,7.0,10.0,9.0,30.0,70.0,14.0,31.0,33.0,16.0,6.0,20.0,51.0,57.0,18.0,56.0,35.0,4.0
1184,0.0,1.0,7.0,3.0,4.0,22.0,47.0,24.0,6.0,16.0,17.0,51.0,71.0,11.0,21.0,5.0,14.0,491.0,31.0,9.0,26.0,2.0,13.0,116.0,61.0,49.0,15.0,191.0,90.0,10.0
1233,0.0,6.0,7.0,1.0,4.0,8.0,194.0,14.0,2.0,46.0,24.0,23.0,65.0,5.0,20.0,42.0,43.0,167.0,57.0,105.0,13.0,16.0,9.0,28.0,156.0,136.0,50.0,51.0,32.0,3.0
1282,0.0,2.0,4.0,1.0,14.0,33.0,20.0,7.0,13.0,5.0,12.0,107.0,44.0,124.0,39.0,15.0,50.0,41.0,8.0,99.0,32.0,76.0,42.0,78.0,216.0,110.0,3.0,112.0,48.0,9.0
1331,0.0,1.0,4.0,22.0,3.0,42.0,327.0,7.0,13.0,199.0,23.0,190.0,164.0,12.0,18.0,6.0,152.0,281.0,30.0,123.0,10.0,38.0,2.0,243.0,1469.0,166.0,25.0,312.0,31.0,9.0
1380,0.0,1.0,11.0,5.0,2.0,15.0,275.0,8.0,7.0,22.0,16.0,91.0,9.0,10.0,17.0,4.0,53.0,59.0,94.0,84.0,6.0,13.0,12.0,40.0,171.0,183.0,18.0,150.0,25.0,3.0
1429,0.0,2.0,8.0,1.0,11.0,18.0,1538.0,526.0,10.0,15.0,7.0,107.0,159.0,20.0,58.0,6.0,5.0,153.0,27.0,35.0,23.0,33.0,37.0,211.0,331.0,110.0,14.0,693.0,233.0,4.0
1478,1.0,0.0,6.0,29.0,5.0,9.0,75.0,39.0,32.0,35.0,20.0,14.0,31.0,11.0,18.0,12.0,4.0,10.0,33.0,2.0,22.0,69.0,7.0,24.0,42.0,95.0,83.0,3.0,55.0,72.0
1527,0.0,16.0,2.0,3.0,12.0,6.0,5.0,8.0,10.0,26.0,4.0,15.0,76.0,34.0,22.0,24.0,23.0,68.0,51.0,9.0,124.0,36.0,17.0,174.0,11.0,40.0,37.0,32.0,38.0,31.0
1576,0.0,3.0,7.0,15.0,8.0,14.0,119.0,2.0,16.0,40.0,18.0,4.0,21.0,13.0,56.0,28.0,12.0,6.0,221.0,20.0,24.0,11.0,5.0,19.0,17.0,42.0,122.0,1.0,75.0,58.0
1625,0.0,2.0,4.0,1.0,9.0,30.0,8.0,7.0,3.0,16.0,6.0,13.0,18.0,11.0,22.0,14.0,12.0,75.0,48.0,5.0,74.0,41.0,47.0,39.0,20.0,10.0,25.0,43.0,40.0,37.0
1674,0.0,5.0,2.0,13.0,24.0,60.0,35.0,6.0,3.0,46.0,4.0,12.0,110.0,11.0,14.0,40.0,20.0,28.0,34.0,26.0,16.0,113.0,1.0,10.0,42.0,25.0,118.0,7.0,50.0,62.0
1723,0.0,1.0,6.0,3.0,19.0,7.0,12.0,5.0,10.0,27.0,4.0,11.0,24.0,23.0,9.0,15.0,22.0,41.0,37.0,25.0,33.0,32.0,2.0,30.0,60.0,26.0,229.0,16.0,53.0,51.0
1772,0.0,2.0,1.0,5.0,14.0,13.0,56.0,51.0,15.0,38.0,3.0,33.0,26.0,11.0,37.0,18.0,25.0,73.0,74.0,8.0,23.0,62.0,10.0,42.0,55.0,22.0,92.0,142.0,35.0,17.0
1821,1.0,3.0,4.0,32.0,5.0,0.0,59.0,22.0,10.0,15.0,27.0,8.0,37.0,17.0,30.0,29.0,2.0,70.0,81.0,7.0,46.0,31.0,129.0,21.0,24.0,19.0,64.0,120.0,89.0,16.0
1870,0.0,1.0,3.0,8.0,6.0,13.0,21.0,20.0,23.0,54.0,5.0,44.0,2.0,69.0,18.0,15.0,12.0,10.0,65.0,7.0,29.0,585.0,19.0,26.0,93.0,16.0,33.0,9.0,53.0,133.0
1919,0.0,4.0,1.0,7.0,3.0,62.0,129.0,10.0,19.0,21.0,11.0,6.0,27.0,17.0,51.0,14.0,26.0,25.0,103.0,8.0,41.0,143.0,2.0,22.0,102.0,9.0,30.0,33.0,74.0,63.0
1968,0.0,1.0,4.0,23.0,21.0,26.0,63.0,14.0,43.0,2.0,32.0,38.0,9.0,22.0,73.0,60.0,42.0,24.0,6.0,34.0,18.0,107.0,97.0,103.0,594.0,51.0,19.0,129.0,71.0,7.0
2017,0.0,1.0,3.0,8.0,46.0,2.0,39.0,70.0,62.0,6.0,23.0,5.0,54.0,18.0,199.0,26.0,7.0,38.0,52.0,48.0,13.0,11.0,65.0,206.0,130.0,34.0,61.0,1859.0,314.0,20.0
2066,0.0,5.0,9.0,6.0,292.0,12.0,143.0,18.0,155.0,11.0,2.0,13.0,16.0,45.0,27.0,119.0,39.0,113.0,4.0,213.0,21.0,76.0,42.0,773.0,24.0,242.0,234.0,545.0,62.0,19.0
2115,0.0,3.0,2.0,18.0,40.0,33.0,351.0,17.0,69.0,10.0,4.0,25.0,99.0,5.0,142.0,15.0,6.0,11.0,7.0,55.0,84.0,165.0,67.0,157.0,36.0,49.0,9.0,68.0,205.0,48.0
2164,1.0,0.0,3.0,2.0,36.0,6.0,116.0,20.0,54.0,22.0,5.0,14.0,21.0,19.0,156.0,70.0,37.0,55.0,39.0,17.0,7.0,219.0,8.0,75.0,370.0,16.0,101.0,329.0,40.0,90.0
2213,1.0,0.0,2.0,3.0,21.0,27.0,43.0,22.0,45.0,7.0,5.0,9.0,29.0,6.0,173.0,20.0,14.0,8.0,4.0,18.0,32.0,120.0,80.0,157.0,96.0,33.0,40.0,322.0,72.0,35.0
2262,0.0,1.0,3.0,15.0,67.0,26.0,128.0,7.0,40.0,9.0,2.0,16.0,25.0,10.0,135.0,148.0,22.0,21.0,12.0,8.0,18.0,114.0,77.0,54.0,72.0,11.0,57.0,326.0,75.0,28.0
2311,0.0,1.0,2.0,62.0,36.0,6.0,165.0,14.0,39.0,3.0,4.0,9.0,25.0,97.0,102.0,50.0,19.0,47.0,7.0,24.0,53.0,403.0,181.0,49.0,929.0,70.0,21.0,235.0,61.0,35.0
2360,0.0,1.0,4.0,5.0,80.0,66.0,19.0,9.0,38.0,3.0,11.0,6.0,25.0,8.0,557.0,67.0,17.0,93.0,18.0,82.0,49.0,163.0,89.0,232.0,42.0,14.0,15.0,90.0,53.0,29.0
2409,2.0,0.0,6.0,5.0,83.0,11.0,106.0,8.0,61.0,9.0,15.0,10.0,82.0,34.0,183.0,98.0,58.0,13.0,32.0,73.0,23.0,148.0,200.0,91.0,116.0,50.0,37.0,71.0,46.0,79.0
2458,1.0,3.0,5.0,46.0,12.0,2.0,4.0,0.0,19.0,15.0,9.0,13.0,11.0,16.0,10.0,156.0,21.0,24.0,7.0,73.0,17.0,28.0,80.0,8.0,47.0,36.0,67.0,45.0,48.0,40.0
2507,0.0,4.0,3.0,26.0,12.0,2.0,1.0,13.0,18.0,9.0,23.0,19.0,14.0,42.0,10.0,140.0,25.0,77.0,6.0,346.0,28.0,34.0,414.0,56.0,100.0,21.0,15.0,74.0,36.0,65.0
2556,0.0,3.0,4.0,1.0,17.0,5.0,10.0,6.0,27.0,28.0,9.0,2.0,13.0,16.0,18.0,55.0,24.0,14.0,38.0,83.0,12.0,15.0,99.0,33.0,145.0,22.0,129.0,36.0,45.0,217.0
2605,0.0,4.0,5.0,1.0,55.0,17.0,11.0,2.0,15.0,3.0,7.0,14.0,10.0,26.0,9.0,22.0,40.0,31.0,12.0,59.0,19.0,66.0,54.0,27.0,126.0,16.0,221.0,38.0,42.0,21.0
2654,1.0,4.0,10.0,3.0,7.0,8.0,6.0,0.0,30.0,5.0,18.0,19.0,34.0,27.0,2.0,45.0,31.0,16.0,15.0,129.0,54.0,22.0,14.0,24.0,119.0,35.0,49.0,29.0,79.0,20.0
2703,0.0,1.0,3.0,5.0,10.0,20.0,49.0,12.0,55.0,31.0,9.0,14.0,37.0,11.0,24.0,19.0,42.0,118.0,15.0,32.0,2.0,53.0,27.0,83.0,972.0,25.0,57.0,199.0,70.0,43.0
2752,1.0,8.0,2.0,13.0,9.0,23.0,3.0,7.0,19.0,4.0,28.0,10.0,101.0,11.0,16.0,22.0,222.0,14.0,18.0,224.0,47.0,32.0,33.0,204.0,89.0,63.0,17.0,20.0,132.0,31.0
2801,1.0,3.0,6.0,29.0,24.0,10.0,34.0,0.0,41.0,16.0,19.0,4.0,17.0,14.0,12.0,145.0,21.0,7.0,8.0,50.0,9.0,188.0,128.0,40.0,68.0,26.0,129.0,71.0,44.0,31.0
2850,0.0,4.0,3.0,6.0,1.0,10.0,47.0,22.0,36.0,26.0,15.0,25.0,17.0,2.0,31.0,18.0,28.0,55.0,53.0,118.0,8.0,13.0,65.0,69.0,71.0,19.0,21.0,12.0,30.0,87.0
2899,0.0,2.0,11.0,24.0,32.0,1.0,50.0,79.0,23.0,10.0,167.0,87.0,3.0,18.0,28.0,9.0,7.0,212.0,29.0,55.0,4.0,15.0,36.0,40.0,22.0,738.0,119.0,6.0,315.0,12.0
2948,1.0,0.0,13.0,23.0,5.0,14.0,19.0,2.0,17.0,58.0,63.0,11.0,6.0,4.0,223.0,12.0,15.0,8.0,195.0,18.0,26.0,21.0,10.0,50.0,20.0,189.0,127.0,9.0,47.0,378.0
2997,0.0,2.0,8.0,1.0,24.0,15.0,7.0,3.0,5.0,6.0,23.0,4.0,49.0,12.0,79.0,20.0,31.0,39.0,25.0,26.0,34.0,56.0,71.0,16.0,101.0,45.0,74.0,9.0,64.0,143.0
3046,0.0,9.0,14.0,12.0,31.0,43.0,3.0,1.0,5.0,22.0,19.0,11.0,23.0,28.0,15.0,6.0,7.0,21.0,26.0,16.0,41.0,61.0,20.0,13.0,52.0,39.0,184.0,10.0,155.0,55.0
3095,0.0,3.0,14.0,1.0,29.0,11.0,13.0,2.0,6.0,4.0,12.0,10.0,7.0,5.0,67.0,50.0,8.0,28.0,21.0,56.0,19.0,132.0,118.0,22.0,75.0,59.0,107.0,36.0,41.0,38.0
3144,0.0,3.0,5.0,1.0,14.0,8.0,10.0,7.0,9.0,11.0,37.0,2.0,4.0,6.0,414.0,46.0,15.0,26.0,174.0,41.0,143.0,50.0,382.0,53.0,12.0,59.0,68.0,17.0,79.0,83.0
3193,2.0,4.0,6.0,3.0,14.0,8.0,1.0,0.0,11.0,13.0,26.0,5.0,15.0,16.0,25.0,81.0,18.0,185.0,145.0,217.0,34.0,27.0,28.0,7.0,30.0,21.0,51.0,12.0,31.0,49.0
3242,0.0,2.0,8.0,1.0,13.0,11.0,23.0,3.0,17.0,6.0,24.0,14.0,4.0,5.0,427.0,154.0,36.0,211.0,74.0,16.0,9.0,35.0,41.0,101.0,43.0,86.0,39.0,98.0,46.0,44.0
3291,0.0,3.0,6.0,2.0,8.0,12.0,5.0,1.0,4.0,18.0,16.0,7.0,9.0,14.0,24.0,41.0,20.0,13.0,46.0,17.0,19.0,26.0,51.0,49.0,37.0,39.0,97.0,11.0,25.0,67.0
3340,0.0,3.0,11.0,8.0,14.0,17.0,13.0,1.0,2.0,78.0,6.0,12.0,5.0,7.0,22.0,16.0,10.0,28.0,21.0,19.0,31.0,41.0,26.0,9.0,62.0,34.0,192.0,60.0,85.0,43.0
3389,0.0,7.0,5.0,10.0,12.0,1.0,4.0,35.0,8.0,3.0,49.0,9.0,2.0,66.0,32.0,38.0,6.0,69.0,101.0,30.0,15.0,13.0,143.0,11.0,64.0,177.0,179.0,19.0,224.0,102.0
3438,0.0,2.0,3.0,5.0,14.0,1.0,4.0,47.0,17.0,15.0,10.0,62.0,6.0,137.0,65.0,36.0,7.0,12.0,18.0,29.0,523.0,68.0,251.0,80.0,8.0,20.0,19.0,147.0,92.0,85.0
3487,0.0,1.0,2.0,5.0,12.0,3.0,6.0,8.0,10.0,4.0,16.0,37.0,25.0,187.0,367.0,87.0,59.0,9.0,18.0,47.0,172.0,301.0,156.0,14.0,28.0,7.0,43.0,52.0,32.0,71.0
3536,0.0,1.0,4.0,3.0,10.0,2.0,15.0,54.0,7.0,6.0,9.0,17.0,11.0,58.0,43.0,65.0,50.0,5.0,57.0,25.0,223.0,51.0,80.0,16.0,14.0,19.0,38.0,12.0,35.0,93.0
3585,0.0,4.0,6.0,3.0,28.0,30.0,2.0,13.0,11.0,47.0,5.0,64.0,21.0,356.0,128.0,35.0,31.0,7.0,9.0,95.0,865.0,110.0,25.0,119.0,8.0,74.0,298.0,32.0,19.0,721.0
3634,1.0,0.0,3.0,5.0,12.0,7.0,6.0,94.0,8.0,9.0,23.0,52.0,2.0,185.0,65.0,81.0,25.0,4.0,17.0,21.0,197.0,77.0,58.0,24.0,13.0,42.0,49.0,51.0,45.0,129.0
3683,0.0,1.0,3.0,54.0,11.0,8.0,5.0,4.0,22.0,7.0,10.0,17.0,6.0,86.0,205.0,85.0,59.0,2.0,9.0,16.0,43.0,174.0,74.0,28.0,44.0,15.0,12.0,242.0,31.0,88.0
3732,0.0,1.0,2.0,7.0,20.0,8.0,4.0,6.0,12.0,10.0,5.0,23.0,9.0,148.0,117.0,74.0,28.0,3.0,11.0,48.0,197.0,129.0,59.0,18.0,19.0,14.0,35.0,46.0,39.0,102.0
3781,0.0,5.0,7.0,3.0,29.0,8.0,1.0,14.0,6.0,9.0,2.0,57.0,73.0,167.0,34.0,82.0,28.0,4.0,12.0,174.0,360.0,147.0,260.0,79.0,22.0,21.0,13.0,19.0,80.0,36.0
3830,0.0,3.0,8.0,12.0,18.0,7.0,20.0,1.0,16.0,2.0,4.0,19.0,17.0,154.0,81.0,90.0,54.0,5.0,27.0,56.0,84.0,85.0,110.0,70.0,14.0,62.0,44.0,23.0,42.0,113.0
3879,0.0,2.0,3.0,11.0,12.0,14.0,6.0,32.0,18.0,10.0,23.0,42.0,5.0,49.0,40.0,61.0,87.0,22.0,67.0,150.0,136.0,673.0,204.0,399.0,4.0,17.0,16.0,20.0,39.0,98.0
3928,0.0,1.0,4.0,5.0,6.0,11.0,3.0,14.0,27.0,26.0,8.0,10.0,38.0,28.0,2.0,35.0,23.0,24.0,12.0,49.0,56.0,21.0,18.0,7.0,39.0,46.0,64.0,13.0,31.0,59.0
3977,0.0,1.0,3.0,7.0,2.0,5.0,11.0,19.0,65.0,9.0,29.0,10.0,21.0,55.0,27.0,12.0,18.0,46.0,14.0,33.0,48.0,6.0,4.0,107.0,119.0,193.0,13.0,20.0,39.0,150.0
4026,0.0,16.0,3.0,4.0,15.0,11.0,22.0,8.0,72.0,19.0,1.0,6.0,44.0,70.0,45.0,85.0,14.0,10.0,5.0,127.0,130.0,86.0,106.0,27.0,18.0,427.0,181.0,156.0,77.0,124.0
4075,1.0,2.0,5.0,0.0,6.0,17.0,9.0,7.0,21.0,3.0,20.0,13.0,30.0,12.0,10.0,37.0,51.0,42.0,8.0,323.0,204.0,22.0,25.0,134.0,36.0,47.0,16.0,23.0,44.0,98.0
4124,0.0,3.0,4.0,15.0,6.0,1.0,11.0,22.0,16.0,7.0,35.0,17.0,8.0,9.0,13.0,47.0,14.0,28.0,30.0,19.0,27.0,5.0,62.0,51.0,23.0,122.0,121.0,110.0,90.0,39.0
4173,0.0,1.0,2.0,7.0,4.0,12.0,5.0,10.0,15.0,34.0,8.0,40.0,3.0,22.0,9.0,17.0,46.0,26.0,6.0,18.0,70.0,21.0,49.0,19.0,14.0,63.0,57.0,20.0,43.0,161.0
4222,1.0,3.0,2.0,20.0,5.0,8.0,0.0,4.0,13.0,18.0,15.0,7.0,59.0,36.0,16.0,60.0,19.0,96.0,9.0,81.0,235.0,14.0,11.0,31.0,41.0,55.0,32.0,22.0,38.0,107.0
4271,0.0,5.0,4.0,3.0,13.0,20.0,8.0,7.0,12.0,9.0,1.0,77.0,46.0,36.0,6.0,32.0,27.0,81.0,2.0,236.0,112.0,43.0,10.0,14.0,50.0,28.0,17.0,80.0,69.0,25.0
4320,0.0,2.0,1.0,4.0,3.0,11.0,9.0,15.0,12.0,18.0,17.0,6.0,34.0,10.0,5.0,21.0,30.0,20.0,29.0,25.0,40.0,7.0,13.0,8.0,68.0,117.0,92.0,19.0,63.0,73.0
4369,0.0,1.0,2.0,5.0,7.0,8.0,6.0,12.0,10.0,9.0,4.0,18.0,21.0,188.0,16.0,42.0,25.0,17.0,3.0,81.0,221.0,14.0,22.0,13.0,23.0,44.0,26.0,20.0,90.0,51.0
4418,0.0,2.0,9.0,16.0,11.0,76.0,3.0,47.0,23.0,8.0,26.0,160.0,36.0,42.0,27.0,5.0,69.0,18.0,238.0,72.0,274.0,65.0,1.0,97.0,13.0,143.0,21.0,4.0,39.0,46.0
4467,5.0,2.0,14.0,59.0,7.0,28.0,3.0,9.0,29.0,32.0,30.0,134.0,21.0,33.0,6.0,23.0,116.0,13.0,93.0,144.0,486.0,45.0,0.0,24.0,19.0,175.0,85.0,8.0,34.0,92.0
4516,0.0,2.0,16.0,10.0,15.0,34.0,8.0,122.0,7.0,9.0,17.0,106.0,51.0,25.0,14.0,3.0,72.0,30.0,793.0,52.0,458.0,148.0,13.0,328.0,1.0,96.0,5.0,4.0,37.0,36.0
4565,1.0,2.0,21.0,88.0,10.0,30.0,0.0,85.0,16.0,15.0,3.0,37.0,5.0,252.0,8.0,49.0,42.0,18.0,69.0,116.0,299.0,565.0,23.0,59.0,13.0,107.0,79.0,55.0,36.0,46.0
4614,7.0,0.0,21.0,119.0,10.0,31.0,11.0,96.0,17.0,12.0,3.0,85.0,30.0,32.0,6.0,46.0,45.0,4.0,66.0,16.0,90.0,102.0,20.0,13.0,22.0,139.0,48.0,19.0,76.0,53.0
4663,0.0,1.0,15.0,38.0,2.0,163.0,11.0,32.0,87.0,92.0,4.0,33.0,7.0,19.0,30.0,9.0,35.0,22.0,247.0,23.0,131.0,153.0,13.0,39.0,27.0,66.0,25.0,123.0,28.0,64.0
4712,2.0,1.0,16.0,4.0,0.0,7.0,5.0,1921.0,17.0,34.0,20.0,237.0,14.0,22.0,18.0,3.0,12.0,68.0,145.0,10.0,328.0,25.0,28.0,101.0,9.0,74.0,106.0,43.0,91.0,15.0
4761,3.0,0.0,15.0,27.0,4.0,93.0,2.0,53.0,14.0,13.0,5.0,39.0,19.0,36.0,12.0,25.0,37.0,16.0,152.0,18.0,135.0,127.0,9.0,28.0,7.0,144.0,35.0,23.0,41.0,33.0
4810,3.0,0.0,8.0,75.0,5.0,33.0,2.0,23.0,10.0,21.0,19.0,108.0,42.0,41.0,13.0,7.0,61.0,4.0,142.0,38.0,279.0,62.0,16.0,30.0,20.0,77.0,58.0,48.0,34.0,53.0
4859,2.0,1.0,25.0,26.0,4.0,35.0,0.0,30.0,15.0,53.0,14.0,109.0,20.0,23.0,10.0,29.0,46.0,45.0,233.0,76.0,221.0,87.0,13.0,33.0,3.0,197.0,49.0,24.0,43.0,12.0
