,GATA3,GSK3-alpha-beta,Collagen_VI,MDMX_MDM4(BetIHC-00108),Caspase-7_cleavedD198,PREX1,Cyclin_E1,Lck,4E-BP1,4E-BP1_pT37_T46,PDCD4,Chk2,Gab2,PTEN,RAD51,Cyclin_B1,Porin,Chk1_pS345,XBP1,Bax,Smac,c-Myc,Cyclin_D1,CDK1,Raptor,Bap1 c-4,PEA15_pS116,p90RSK_pT359_S363,Stathmin,p14 Arf(BetA300-340A)
1424,1.0,3.0,2.0,0.0,7.0,5.0,11.0,14.0,6.0,12.0,77.0,17.0,22.0,9.0,32.0,15.0,21.0,8.0,28.0,96.0,56.0,86.0,10.0,119.0,30.0,4.0,18.0,25.0,68.0,19.0
1473,1.0,0.0,19.0,18.0,5.0,4.0,8.0,2.0,11.0,36.0,25.0,7.0,34.0,26.0,14.0,12.0,9.0,40.0,42.0,17.0,6.0,21.0,33.0,89.0,22.0,10.0,13.0,62.0,72.0,54.0
1522,13.0,0.0,5.0,14.0,10.0,2.0,1.0,4.0,7.0,6.0,80.0,16.0,38.0,11.0,9.0,17.0,3.0,20.0,58.0,19.0,12.0,90.0,8.0,18.0,65.0,37.0,28.0,22.0,24.0,59.0
1571,0.0,1.0,2.0,11.0,4.0,10.0,6.0,14.0,20.0,21.0,12.0,24.0,3.0,25.0,13.0,15.0,8.0,18.0,7.0,19.0,9.0,31.0,28.0,23.0,41.0,36.0,72.0,22.0,17.0,61.0
1620,3.0,2.0,8.0,19.0,6.0,0.0,13.0,5.0,28.0,107.0,79.0,9.0,17.0,12.0,7.0,27.0,26.0,25.0,24.0,4.0,21.0,30.0,10.0,14.0,66.0,20.0,85.0,36.0,31.0,55.0
1669,1.0,2.0,4.0,32.0,15.0,6.0,18.0,12.0,13.0,27.0,21.0,121.0,3.0,5.0,7.0,46.0,0.0,116.0,28.0,30.0,24.0,8.0,10.0,9.0,34.0,11.0,17.0,68.0,25.0,20.0
1718,0.0,1.0,15.0,2.0,8.0,3.0,13.0,6.0,10.0,107.0,22.0,5.0,9.0,4.0,11.0,29.0,12.0,27.0,40.0,24.0,19.0,17.0,16.0,21.0,36.0,7.0,32.0,34.0,39.0,44.0
1767,0.0,1.0,10.0,5.0,3.0,8.0,6.0,18.0,9.0,33.0,37.0,16.0,4.0,7.0,2.0,23.0,21.0,14.0,39.0,13.0,20.0,22.0,11.0,32.0,70.0,24.0,77.0,43.0,35.0,19.0
1816,0.0,1.0,17.0,8.0,4.0,5.0,33.0,7.0,9.0,13.0,21.0,26.0,22.0,19.0,18.0,15.0,2.0,11.0,62.0,23.0,27.0,16.0,28.0,24.0,41.0,3.0,10.0,42.0,29.0,53.0
1865,0.0,1.0,4.0,2.0,9.0,6.0,15.0,5.0,14.0,22.0,25.0,10.0,36.0,13.0,23.0,11.0,31.0,18.0,21.0,94.0,3.0,19.0,20.0,33.0,43.0,24.0,70.0,58.0,7.0,35.0
1914,2.0,0.0,13.0,10.0,5.0,4.0,3.0,11.0,1.0,22.0,20.0,23.0,9.0,6.0,14.0,31.0,26.0,12.0,24.0,21.0,7.0,90.0,42.0,41.0,72.0,8.0,16.0,29.0,30.0,25.0
1963,2.0,3.0,6.0,1.0,11.0,4.0,0.0,5.0,10.0,8.0,32.0,16.0,27.0,22.0,7.0,23.0,20.0,13.0,40.0,24.0,14.0,9.0,115.0,12.0,38.0,18.0,30.0,62.0,41.0,29.0
2012,3.0,0.0,14.0,8.0,4.0,7.0,1.0,5.0,2.0,11.0,81.0,9.0,16.0,10.0,6.0,17.0,15.0,12.0,31.0,19.0,79.0,32.0,114.0,13.0,45.0,23.0,35.0,39.0,74.0,25.0
2061,1.0,0.0,14.0,3.0,9.0,8.0,4.0,5.0,2.0,6.0,77.0,7.0,13.0,29.0,12.0,10.0,27.0,21.0,58.0,30.0,20.0,18.0,111.0,17.0,19.0,15.0,28.0,72.0,40.0,24.0
2110,1.0,2.0,4.0,3.0,5.0,10.0,0.0,7.0,6.0,11.0,23.0,9.0,22.0,18.0,15.0,17.0,8.0,12.0,52.0,33.0,30.0,20.0,113.0,16.0,59.0,95.0,13.0,55.0,42.0,40.0
2159,4.0,1.0,5.0,16.0,11.0,2.0,12.0,38.0,7.0,8.0,66.0,17.0,3.0,22.0,6.0,33.0,28.0,10.0,32.0,15.0,72.0,24.0,114.0,13.0,23.0,26.0,18.0,59.0,20.0,57.0
2208,6.0,0.0,19.0,7.0,5.0,2.0,1.0,4.0,14.0,12.0,23.0,10.0,16.0,3.0,9.0,17.0,8.0,24.0,22.0,98.0,34.0,25.0,27.0,13.0,30.0,11.0,80.0,21.0,62.0,50.0
2257,5.0,2.0,4.0,10.0,21.0,8.0,3.0,0.0,6.0,1.0,69.0,9.0,15.0,14.0,18.0,20.0,7.0,13.0,53.0,24.0,31.0,29.0,122.0,17.0,62.0,12.0,11.0,22.0,75.0,55.0
2306,1.0,0.0,9.0,5.0,10.0,4.0,2.0,6.0,13.0,3.0,23.0,14.0,33.0,15.0,16.0,20.0,17.0,27.0,56.0,28.0,25.0,22.0,24.0,7.0,75.0,8.0,11.0,52.0,64.0,42.0
2355,6.0,0.0,8.0,2.0,7.0,3.0,1.0,5.0,4.0,15.0,69.0,17.0,18.0,13.0,12.0,21.0,10.0,16.0,24.0,26.0,32.0,33.0,111.0,9.0,72.0,11.0,80.0,41.0,62.0,23.0
2404,2.0,0.0,3.0,14.0,4.0,6.0,1.0,5.0,12.0,7.0,76.0,9.0,124.0,13.0,16.0,15.0,27.0,20.0,10.0,96.0,17.0,18.0,28.0,25.0,22.0,11.0,19.0,56.0,70.0,42.0
2453,9.0,1.0,7.0,0.0,3.0,2.0,10.0,6.0,15.0,27.0,22.0,24.0,125.0,35.0,23.0,18.0,5.0,19.0,13.0,14.0,17.0,83.0,123.0,16.0,11.0,92.0,74.0,26.0,12.0,4.0
2502,12.0,5.0,0.0,2.0,4.0,3.0,1.0,6.0,39.0,19.0,38.0,27.0,129.0,67.0,8.0,15.0,30.0,18.0,14.0,7.0,22.0,32.0,116.0,26.0,10.0,25.0,83.0,13.0,23.0,9.0
2551,1.0,4.0,3.0,2.0,5.0,9.0,0.0,6.0,22.0,13.0,68.0,14.0,123.0,16.0,28.0,10.0,24.0,19.0,17.0,7.0,26.0,88.0,118.0,97.0,12.0,25.0,35.0,21.0,11.0,23.0
2600,3.0,4.0,9.0,1.0,16.0,0.0,2.0,8.0,27.0,21.0,7.0,110.0,114.0,23.0,12.0,11.0,73.0,25.0,13.0,26.0,5.0,87.0,118.0,30.0,6.0,32.0,77.0,18.0,17.0,15.0
2649,2.0,1.0,9.0,4.0,13.0,7.0,5.0,6.0,12.0,10.0,36.0,22.0,124.0,16.0,3.0,15.0,74.0,33.0,14.0,8.0,30.0,34.0,112.0,86.0,21.0,98.0,77.0,43.0,27.0,20.0
2698,9.0,4.0,6.0,1.0,5.0,3.0,0.0,2.0,11.0,10.0,21.0,17.0,123.0,29.0,16.0,7.0,14.0,18.0,13.0,25.0,35.0,20.0,30.0,37.0,76.0,8.0,82.0,22.0,23.0,15.0
2747,10.0,4.0,5.0,6.0,1.0,2.0,0.0,7.0,112.0,11.0,34.0,31.0,25.0,41.0,16.0,9.0,47.0,27.0,3.0,102.0,14.0,38.0,42.0,40.0,17.0,12.0,78.0,18.0,15.0,21.0
2796,17.0,2.0,5.0,1.0,6.0,4.0,3.0,0.0,20.0,23.0,10.0,33.0,120.0,27.0,7.0,32.0,12.0,36.0,18.0,26.0,22.0,14.0,87.0,89.0,21.0,9.0,75.0,29.0,19.0,24.0
2845,8.0,6.0,3.0,1.0,7.0,2.0,0.0,5.0,19.0,13.0,24.0,22.0,126.0,74.0,10.0,12.0,77.0,32.0,11.0,23.0,9.0,25.0,88.0,21.0,14.0,20.0,53.0,16.0,18.0,17.0
2894,22.0,30.0,1.0,4.0,25.0,3.0,0.0,2.0,17.0,10.0,18.0,7.0,123.0,8.0,13.0,20.0,27.0,31.0,6.0,36.0,43.0,21.0,112.0,42.0,12.0,11.0,75.0,5.0,38.0,15.0
2943,4.0,1.0,3.0,5.0,25.0,78.0,18.0,23.0,0.0,8.0,7.0,6.0,2.0,19.0,24.0,92.0,10.0,27.0,59.0,17.0,29.0,13.0,15.0,9.0,14.0,16.0,21.0,48.0,11.0,12.0
2992,0.0,3.0,2.0,7.0,4.0,32.0,6.0,26.0,8.0,19.0,1.0,15.0,14.0,22.0,80.0,12.0,31.0,34.0,27.0,18.0,23.0,28.0,33.0,17.0,25.0,103.0,9.0,13.0,16.0,5.0
3041,0.0,1.0,7.0,2.0,12.0,16.0,14.0,6.0,3.0,22.0,4.0,11.0,38.0,24.0,70.0,13.0,36.0,39.0,20.0,19.0,42.0,28.0,21.0,5.0,15.0,23.0,8.0,17.0,9.0,10.0
3090,1.0,5.0,9.0,3.0,6.0,13.0,2.0,20.0,0.0,19.0,41.0,10.0,11.0,26.0,15.0,25.0,50.0,28.0,12.0,4.0,38.0,18.0,37.0,7.0,66.0,31.0,39.0,27.0,17.0,8.0
3139,8.0,4.0,0.0,19.0,23.0,12.0,9.0,22.0,6.0,21.0,10.0,108.0,3.0,13.0,27.0,18.0,77.0,28.0,55.0,30.0,65.0,14.0,36.0,1.0,17.0,96.0,20.0,39.0,15.0,7.0
3188,1.0,7.0,21.0,4.0,3.0,20.0,2.0,13.0,0.0,6.0,8.0,26.0,14.0,17.0,76.0,22.0,80.0,18.0,23.0,19.0,5.0,12.0,25.0,10.0,15.0,101.0,16.0,35.0,34.0,9.0
3237,9.0,7.0,6.0,1.0,14.0,22.0,16.0,8.0,0.0,5.0,12.0,19.0,2.0,33.0,34.0,20.0,21.0,35.0,57.0,4.0,15.0,24.0,113.0,3.0,27.0,38.0,17.0,18.0,11.0,10.0
3286,3.0,5.0,1.0,0.0,9.0,38.0,11.0,14.0,4.0,18.0,2.0,8.0,17.0,27.0,36.0,21.0,78.0,19.0,32.0,23.0,30.0,22.0,112.0,20.0,29.0,7.0,16.0,15.0,13.0,6.0
3335,1.0,5.0,0.0,3.0,11.0,12.0,29.0,27.0,7.0,14.0,4.0,22.0,17.0,9.0,35.0,30.0,38.0,18.0,44.0,25.0,19.0,32.0,20.0,24.0,23.0,94.0,8.0,16.0,6.0,2.0
3384,0.0,9.0,1.0,10.0,5.0,29.0,13.0,16.0,3.0,17.0,20.0,23.0,7.0,15.0,32.0,18.0,14.0,21.0,25.0,2.0,22.0,31.0,24.0,11.0,63.0,28.0,4.0,8.0,6.0,27.0
3433,0.0,4.0,3.0,1.0,5.0,2.0,11.0,15.0,16.0,10.0,18.0,121.0,6.0,23.0,7.0,20.0,8.0,17.0,13.0,98.0,28.0,35.0,9.0,97.0,14.0,27.0,24.0,26.0,76.0,34.0
3482,7.0,1.0,8.0,0.0,3.0,2.0,11.0,20.0,14.0,18.0,12.0,13.0,4.0,78.0,5.0,34.0,22.0,17.0,6.0,36.0,31.0,91.0,16.0,27.0,19.0,97.0,21.0,33.0,66.0,32.0
3531,0.0,2.0,9.0,3.0,6.0,1.0,10.0,8.0,22.0,13.0,17.0,4.0,5.0,32.0,15.0,129.0,11.0,85.0,16.0,37.0,25.0,14.0,19.0,87.0,18.0,131.0,12.0,20.0,61.0,53.0
3580,1.0,4.0,11.0,3.0,0.0,2.0,23.0,7.0,10.0,16.0,14.0,19.0,18.0,27.0,12.0,130.0,5.0,26.0,8.0,20.0,25.0,22.0,9.0,15.0,36.0,32.0,13.0,6.0,75.0,30.0
3629,4.0,7.0,2.0,1.0,3.0,0.0,18.0,9.0,33.0,14.0,17.0,32.0,5.0,20.0,6.0,23.0,8.0,28.0,19.0,108.0,30.0,10.0,36.0,15.0,11.0,27.0,13.0,38.0,80.0,48.0
3678,2.0,0.0,3.0,1.0,12.0,6.0,25.0,9.0,14.0,11.0,10.0,19.0,4.0,32.0,15.0,114.0,13.0,28.0,5.0,33.0,37.0,34.0,7.0,24.0,8.0,22.0,18.0,20.0,59.0,58.0
3727,1.0,0.0,6.0,4.0,5.0,3.0,13.0,2.0,8.0,12.0,10.0,19.0,9.0,31.0,17.0,25.0,11.0,18.0,15.0,24.0,22.0,29.0,85.0,28.0,14.0,102.0,7.0,21.0,75.0,48.0
3776,10.0,1.0,36.0,5.0,3.0,7.0,12.0,13.0,0.0,11.0,15.0,29.0,2.0,18.0,19.0,31.0,14.0,9.0,27.0,22.0,24.0,23.0,8.0,39.0,32.0,21.0,4.0,41.0,84.0,50.0
3825,8.0,0.0,5.0,3.0,2.0,1.0,11.0,4.0,15.0,30.0,23.0,17.0,12.0,22.0,20.0,24.0,14.0,7.0,9.0,6.0,19.0,21.0,16.0,28.0,27.0,97.0,34.0,13.0,45.0,44.0
3874,4.0,1.0,9.0,5.0,3.0,0.0,2.0,6.0,10.0,13.0,16.0,12.0,15.0,22.0,30.0,39.0,7.0,25.0,11.0,23.0,29.0,17.0,14.0,35.0,8.0,97.0,19.0,28.0,67.0,32.0
3923,3.0,1.0,18.0,17.0,0.0,6.0,12.0,15.0,2.0,24.0,5.0,10.0,19.0,25.0,4.0,11.0,16.0,32.0,13.0,21.0,27.0,91.0,8.0,28.0,76.0,98.0,81.0,7.0,66.0,54.0
3972,11.0,2.0,1.0,27.0,5.0,4.0,13.0,17.0,3.0,19.0,14.0,8.0,10.0,0.0,7.0,34.0,37.0,89.0,44.0,9.0,57.0,31.0,21.0,41.0,30.0,29.0,84.0,80.0,39.0,47.0
4021,2.0,0.0,11.0,3.0,14.0,1.0,5.0,9.0,20.0,108.0,18.0,4.0,29.0,19.0,8.0,12.0,31.0,30.0,13.0,22.0,38.0,15.0,16.0,21.0,67.0,35.0,76.0,7.0,37.0,53.0
4070,0.0,1.0,15.0,7.0,4.0,13.0,28.0,10.0,22.0,106.0,3.0,6.0,26.0,11.0,5.0,25.0,16.0,27.0,24.0,2.0,65.0,109.0,9.0,12.0,20.0,32.0,78.0,19.0,60.0,35.0
4119,1.0,0.0,3.0,12.0,2.0,8.0,16.0,23.0,10.0,35.0,9.0,5.0,15.0,22.0,11.0,34.0,68.0,25.0,13.0,14.0,78.0,91.0,6.0,28.0,18.0,36.0,85.0,7.0,83.0,24.0
4168,3.0,1.0,4.0,11.0,2.0,16.0,5.0,13.0,8.0,107.0,0.0,6.0,26.0,15.0,9.0,7.0,21.0,25.0,19.0,14.0,29.0,83.0,22.0,96.0,72.0,95.0,53.0,12.0,28.0,31.0
4217,1.0,2.0,10.0,11.0,0.0,12.0,5.0,7.0,13.0,112.0,3.0,4.0,15.0,27.0,16.0,8.0,72.0,84.0,31.0,21.0,29.0,105.0,9.0,86.0,30.0,24.0,49.0,20.0,58.0,17.0
4266,1.0,0.0,4.0,8.0,5.0,2.0,10.0,15.0,28.0,39.0,7.0,12.0,18.0,19.0,3.0,14.0,25.0,29.0,23.0,6.0,33.0,35.0,11.0,30.0,38.0,17.0,82.0,21.0,79.0,24.0
4315,0.0,1.0,3.0,4.0,8.0,6.0,13.0,14.0,15.0,16.0,2.0,7.0,32.0,11.0,5.0,9.0,27.0,28.0,25.0,22.0,35.0,20.0,12.0,26.0,64.0,10.0,75.0,24.0,79.0,46.0
4364,0.0,1.0,3.0,10.0,2.0,8.0,13.0,20.0,6.0,34.0,5.0,12.0,33.0,19.0,4.0,15.0,21.0,17.0,37.0,7.0,24.0,31.0,18.0,25.0,60.0,29.0,73.0,9.0,77.0,26.0
4413,1.0,9.0,0.0,2.0,12.0,8.0,13.0,36.0,16.0,4.0,5.0,87.0,7.0,3.0,23.0,11.0,14.0,88.0,26.0,15.0,63.0,21.0,19.0,90.0,73.0,94.0,20.0,22.0,18.0,17.0
4462,0.0,7.0,12.0,3.0,1.0,14.0,4.0,17.0,23.0,16.0,10.0,88.0,5.0,6.0,27.0,13.0,2.0,11.0,42.0,18.0,59.0,20.0,112.0,89.0,24.0,98.0,15.0,39.0,74.0,50.0
4511,0.0,13.0,4.0,1.0,5.0,3.0,6.0,12.0,36.0,15.0,9.0,86.0,24.0,14.0,21.0,8.0,32.0,33.0,18.0,29.0,37.0,10.0,122.0,87.0,23.0,30.0,26.0,22.0,19.0,11.0
4560,0.0,1.0,6.0,3.0,2.0,5.0,12.0,30.0,7.0,20.0,16.0,94.0,11.0,10.0,9.0,18.0,14.0,17.0,31.0,22.0,62.0,8.0,110.0,84.0,71.0,98.0,19.0,48.0,57.0,13.0
4609,0.0,13.0,3.0,1.0,2.0,4.0,7.0,19.0,15.0,14.0,5.0,86.0,9.0,6.0,17.0,18.0,11.0,22.0,30.0,16.0,65.0,8.0,83.0,88.0,26.0,128.0,21.0,24.0,60.0,32.0
4658,0.0,4.0,3.0,2.0,1.0,6.0,5.0,28.0,13.0,20.0,7.0,118.0,8.0,9.0,22.0,11.0,10.0,17.0,16.0,15.0,75.0,14.0,128.0,98.0,23.0,97.0,27.0,24.0,25.0,43.0
4707,0.0,6.0,4.0,10.0,23.0,3.0,2.0,26.0,22.0,8.0,9.0,122.0,17.0,1.0,19.0,14.0,5.0,34.0,53.0,13.0,65.0,11.0,130.0,99.0,16.0,97.0,33.0,12.0,15.0,18.0
4756,0.0,13.0,2.0,3.0,7.0,8.0,1.0,28.0,14.0,19.0,9.0,113.0,6.0,5.0,15.0,18.0,12.0,26.0,16.0,27.0,67.0,17.0,130.0,111.0,22.0,95.0,24.0,39.0,32.0,20.0
4805,0.0,6.0,3.0,1.0,4.0,8.0,17.0,22.0,13.0,10.0,5.0,86.0,18.0,2.0,14.0,20.0,7.0,11.0,19.0,103.0,63.0,15.0,105.0,89.0,25.0,102.0,30.0,28.0,21.0,23.0
4854,0.0,8.0,2.0,9.0,6.0,4.0,11.0,17.0,14.0,26.0,10.0,108.0,3.0,7.0,19.0,18.0,1.0,28.0,51.0,13.0,62.0,5.0,120.0,85.0,30.0,33.0,25.0,16.0,29.0,20.0
