,hsa-miR-518b,hsa-miR-671-5p,hsa-miR-1539,hsa-miR-28-3p,hsa-miR-339-5p,hsa-miR-1256,hsa-miR-934,hsa-miR-329,hsa-miR-216a,hsa-miR-515-3p,hsa-miR-607,hsa-miR-582-3p,hsa-miR-582-5p,hsa-miR-586,hsa-miR-587,hsa-miR-583,hsa-miR-584,hsa-miR-589,hsa-miR-581,hsa-miR-580,hsa-miR-579,hsa-miR-588,hsa-miR-598,hsa-miR-577,hsa-miR-576-5p,hsa-miR-578,hsa-miR-590-3p,hsa-miR-576-3p,hsa-miR-593,hsa-miR-590-5p
510,66.0,34.0,1.0,5.0,500.0,12.0,3.0,14.0,574.0,93.0,25.0,35.0,70.0,65.0,64.0,67.0,32.0,62.0,57.0,50.0,49.0,63.0,28.0,167.0,144.0,98.0,59.0,145.0,29.0,58.0
559,41.0,26.0,31.0,615.0,502.0,468.0,0.0,1.0,22.0,45.0,24.0,72.0,70.0,34.0,63.0,69.0,68.0,61.0,73.0,103.0,106.0,62.0,36.0,144.0,145.0,140.0,60.0,148.0,55.0,59.0
608,1.0,265.0,8.0,2.0,500.0,3.0,33.0,5.0,559.0,35.0,89.0,55.0,14.0,51.0,24.0,53.0,52.0,57.0,56.0,47.0,50.0,48.0,22.0,49.0,43.0,54.0,44.0,81.0,76.0,45.0
657,1.0,9.0,0.0,2.0,502.0,10.0,304.0,19.0,562.0,121.0,36.0,55.0,56.0,28.0,53.0,67.0,54.0,48.0,57.0,58.0,61.0,47.0,6.0,63.0,65.0,62.0,50.0,81.0,93.0,68.0
706,37.0,32.0,3.0,12.0,501.0,2.0,28.0,0.0,561.0,38.0,69.0,51.0,50.0,21.0,20.0,49.0,47.0,18.0,53.0,66.0,56.0,58.0,11.0,62.0,64.0,61.0,92.0,60.0,14.0,91.0
755,41.0,262.0,30.0,14.0,501.0,8.0,2.0,28.0,37.0,4.0,5.0,52.0,51.0,22.0,49.0,47.0,45.0,83.0,68.0,54.0,57.0,55.0,87.0,62.0,63.0,60.0,71.0,64.0,70.0,95.0
804,34.0,2.0,26.0,19.0,38.0,468.0,303.0,33.0,45.0,41.0,9.0,39.0,53.0,60.0,58.0,62.0,61.0,11.0,59.0,56.0,55.0,57.0,20.0,47.0,51.0,63.0,54.0,50.0,81.0,52.0
853,126.0,5.0,22.0,2.0,35.0,4.0,302.0,41.0,558.0,30.0,14.0,32.0,54.0,57.0,56.0,49.0,59.0,16.0,50.0,53.0,52.0,55.0,80.0,48.0,45.0,47.0,51.0,46.0,0.0,58.0
902,31.0,12.0,23.0,15.0,501.0,467.0,304.0,4.0,39.0,124.0,90.0,51.0,62.0,57.0,56.0,61.0,59.0,64.0,60.0,58.0,55.0,54.0,20.0,52.0,63.0,53.0,50.0,45.0,6.0,49.0
951,0.0,30.0,1.0,2.0,7.0,465.0,8.0,10.0,561.0,102.0,25.0,27.0,63.0,60.0,59.0,62.0,61.0,56.0,65.0,66.0,67.0,57.0,29.0,87.0,154.0,68.0,69.0,105.0,33.0,55.0
1000,0.0,265.0,388.0,615.0,33.0,13.0,3.0,608.0,35.0,44.0,5.0,53.0,52.0,21.0,22.0,50.0,60.0,59.0,54.0,56.0,58.0,49.0,18.0,41.0,55.0,57.0,80.0,51.0,85.0,63.0
1049,29.0,1.0,392.0,18.0,504.0,2.0,303.0,592.0,45.0,120.0,86.0,41.0,50.0,3.0,7.0,52.0,60.0,56.0,58.0,54.0,51.0,57.0,93.0,48.0,47.0,61.0,55.0,49.0,59.0,53.0
1098,0.0,262.0,390.0,618.0,40.0,17.0,304.0,609.0,39.0,120.0,93.0,58.0,51.0,11.0,52.0,59.0,56.0,45.0,57.0,55.0,54.0,60.0,84.0,44.0,48.0,53.0,49.0,89.0,97.0,47.0
1147,37.0,0.0,22.0,24.0,5.0,464.0,301.0,605.0,29.0,41.0,93.0,67.0,65.0,18.0,60.0,63.0,62.0,57.0,69.0,173.0,138.0,59.0,45.0,142.0,143.0,141.0,56.0,144.0,52.0,55.0
1196,1.0,0.0,390.0,36.0,11.0,2.0,301.0,8.0,27.0,43.0,31.0,106.0,4.0,38.0,68.0,72.0,71.0,21.0,170.0,6.0,142.0,67.0,58.0,144.0,145.0,143.0,65.0,146.0,61.0,64.0
1245,34.0,3.0,21.0,619.0,505.0,465.0,305.0,555.0,562.0,29.0,95.0,56.0,17.0,48.0,47.0,50.0,58.0,44.0,49.0,59.0,54.0,46.0,86.0,52.0,53.0,51.0,78.0,57.0,20.0,61.0
1294,2.0,26.0,391.0,3.0,8.0,17.0,251.0,6.0,33.0,38.0,98.0,21.0,68.0,23.0,63.0,66.0,65.0,61.0,70.0,71.0,103.0,62.0,50.0,106.0,141.0,105.0,60.0,144.0,47.0,72.0
1343,2.0,12.0,4.0,8.0,515.0,466.0,301.0,1.0,45.0,35.0,73.0,57.0,26.0,47.0,22.0,54.0,53.0,49.0,58.0,60.0,61.0,52.0,16.0,96.0,155.0,62.0,50.0,98.0,68.0,51.0
1392,0.0,6.0,394.0,7.0,23.0,3.0,303.0,1.0,566.0,37.0,50.0,45.0,20.0,47.0,48.0,42.0,49.0,65.0,41.0,63.0,51.0,80.0,79.0,52.0,54.0,64.0,66.0,55.0,87.0,94.0
1441,25.0,16.0,37.0,614.0,39.0,18.0,303.0,607.0,38.0,120.0,93.0,55.0,58.0,53.0,51.0,13.0,57.0,59.0,49.0,60.0,45.0,52.0,84.0,48.0,46.0,54.0,50.0,88.0,79.0,47.0
1490,126.0,4.0,21.0,0.0,501.0,18.0,3.0,34.0,38.0,29.0,24.0,53.0,5.0,59.0,47.0,52.0,49.0,19.0,54.0,51.0,58.0,45.0,90.0,55.0,48.0,57.0,43.0,50.0,26.0,44.0
1539,38.0,266.0,0.0,618.0,33.0,4.0,5.0,592.0,562.0,30.0,94.0,59.0,15.0,19.0,51.0,55.0,54.0,50.0,52.0,60.0,47.0,61.0,86.0,58.0,56.0,57.0,49.0,53.0,64.0,44.0
1588,1.0,0.0,390.0,30.0,6.0,468.0,10.0,4.0,563.0,3.0,24.0,36.0,35.0,63.0,61.0,67.0,66.0,31.0,70.0,71.0,72.0,60.0,53.0,106.0,107.0,104.0,73.0,141.0,48.0,57.0
1637,3.0,2.0,22.0,618.0,42.0,465.0,36.0,608.0,40.0,1.0,8.0,27.0,10.0,52.0,60.0,54.0,53.0,47.0,50.0,51.0,59.0,48.0,62.0,57.0,56.0,58.0,46.0,55.0,24.0,93.0
1686,3.0,10.0,386.0,614.0,2.0,464.0,1.0,608.0,41.0,129.0,18.0,46.0,49.0,69.0,99.0,100.0,70.0,96.0,48.0,50.0,45.0,97.0,84.0,54.0,59.0,67.0,95.0,60.0,91.0,94.0
1735,2.0,263.0,0.0,39.0,504.0,465.0,25.0,555.0,561.0,32.0,95.0,53.0,4.0,48.0,50.0,52.0,51.0,63.0,54.0,55.0,56.0,49.0,88.0,58.0,59.0,57.0,47.0,60.0,84.0,64.0
1784,40.0,263.0,3.0,10.0,27.0,8.0,0.0,603.0,557.0,44.0,6.0,25.0,23.0,51.0,47.0,56.0,55.0,48.0,59.0,60.0,61.0,53.0,94.0,63.0,65.0,62.0,50.0,32.0,68.0,52.0
1833,7.0,5.0,0.0,4.0,502.0,18.0,31.0,607.0,39.0,122.0,11.0,29.0,8.0,55.0,53.0,57.0,59.0,49.0,56.0,54.0,51.0,52.0,22.0,48.0,58.0,50.0,47.0,46.0,45.0,40.0
1882,1.0,9.0,15.0,8.0,555.0,11.0,305.0,31.0,41.0,42.0,80.0,2.0,59.0,66.0,53.0,54.0,56.0,49.0,61.0,62.0,63.0,48.0,91.0,65.0,84.0,64.0,50.0,137.0,96.0,51.0
1931,1.0,16.0,2.0,3.0,28.0,14.0,35.0,40.0,0.0,27.0,91.0,54.0,6.0,49.0,61.0,53.0,52.0,18.0,55.0,57.0,58.0,47.0,83.0,60.0,59.0,48.0,43.0,51.0,56.0,44.0
1980,43.0,263.0,3.0,18.0,39.0,0.0,304.0,592.0,565.0,2.0,8.0,60.0,59.0,55.0,53.0,62.0,56.0,12.0,58.0,57.0,54.0,52.0,63.0,45.0,44.0,47.0,51.0,46.0,48.0,49.0
2029,2.0,18.0,24.0,22.0,3.0,12.0,34.0,554.0,559.0,124.0,10.0,26.0,64.0,60.0,59.0,66.0,61.0,57.0,54.0,63.0,55.0,58.0,23.0,52.0,51.0,65.0,56.0,50.0,46.0,53.0
2078,35.0,14.0,23.0,27.0,1.0,3.0,302.0,609.0,557.0,31.0,10.0,63.0,51.0,9.0,55.0,57.0,58.0,52.0,61.0,60.0,53.0,59.0,21.0,56.0,54.0,62.0,49.0,50.0,65.0,47.0
2127,36.0,261.0,5.0,4.0,501.0,0.0,8.0,608.0,559.0,58.0,94.0,54.0,22.0,51.0,64.0,52.0,50.0,39.0,55.0,56.0,57.0,49.0,66.0,60.0,61.0,59.0,40.0,62.0,45.0,41.0
2176,2.0,261.0,5.0,616.0,0.0,1.0,9.0,18.0,28.0,4.0,98.0,66.0,64.0,60.0,59.0,62.0,61.0,56.0,67.0,68.0,72.0,58.0,25.0,105.0,139.0,103.0,54.0,140.0,44.0,69.0
2225,130.0,263.0,23.0,619.0,38.0,0.0,4.0,32.0,561.0,124.0,96.0,51.0,58.0,45.0,47.0,44.0,46.0,88.0,53.0,54.0,56.0,59.0,89.0,57.0,55.0,48.0,61.0,49.0,84.0,81.0
2274,4.0,261.0,15.0,6.0,26.0,3.0,29.0,11.0,558.0,122.0,70.0,25.0,44.0,46.0,47.0,52.0,51.0,49.0,53.0,54.0,55.0,48.0,14.0,58.0,60.0,57.0,50.0,61.0,93.0,69.0
2323,2.0,270.0,12.0,565.0,599.0,1.0,26.0,627.0,8.0,534.0,58.0,67.0,68.0,71.0,72.0,70.0,77.0,74.0,66.0,65.0,64.0,73.0,48.0,96.0,114.0,63.0,75.0,115.0,60.0,76.0
2372,36.0,6.0,385.0,615.0,2.0,8.0,27.0,28.0,37.0,0.0,13.0,54.0,52.0,46.0,44.0,48.0,47.0,97.0,59.0,60.0,61.0,96.0,85.0,63.0,64.0,62.0,94.0,42.0,90.0,93.0
2421,146.0,263.0,35.0,616.0,503.0,16.0,18.0,620.0,23.0,45.0,99.0,64.0,63.0,60.0,30.0,62.0,61.0,29.0,65.0,66.0,67.0,72.0,28.0,69.0,70.0,68.0,49.0,71.0,48.0,53.0
2470,4.0,2.0,365.0,1.0,11.0,431.0,305.0,0.0,482.0,6.0,32.0,67.0,35.0,71.0,72.0,76.0,70.0,34.0,66.0,65.0,64.0,73.0,48.0,62.0,113.0,63.0,75.0,114.0,58.0,61.0
2519,23.0,317.0,4.0,35.0,501.0,37.0,196.0,607.0,36.0,0.0,3.0,50.0,51.0,33.0,66.0,52.0,54.0,76.0,56.0,47.0,46.0,75.0,110.0,44.0,43.0,45.0,77.0,57.0,99.0,96.0
2568,3.0,28.0,388.0,617.0,34.0,15.0,301.0,0.0,560.0,37.0,4.0,66.0,65.0,26.0,61.0,64.0,63.0,59.0,67.0,68.0,69.0,60.0,54.0,105.0,106.0,70.0,58.0,141.0,44.0,57.0
2617,0.0,14.0,389.0,16.0,29.0,1.0,31.0,2.0,561.0,125.0,37.0,51.0,52.0,84.0,21.0,53.0,69.0,96.0,50.0,54.0,48.0,97.0,78.0,46.0,45.0,47.0,94.0,55.0,88.0,91.0
2666,39.0,1.0,0.0,5.0,26.0,15.0,299.0,28.0,561.0,2.0,12.0,45.0,24.0,49.0,50.0,46.0,48.0,68.0,67.0,54.0,53.0,55.0,97.0,57.0,58.0,56.0,83.0,59.0,93.0,70.0
2715,39.0,18.0,15.0,8.0,22.0,12.0,3.0,28.0,559.0,42.0,35.0,46.0,21.0,50.0,0.0,48.0,52.0,82.0,45.0,49.0,66.0,67.0,13.0,57.0,58.0,54.0,69.0,59.0,91.0,95.0
2764,0.0,2.0,390.0,14.0,502.0,465.0,300.0,5.0,6.0,34.0,52.0,49.0,22.0,47.0,50.0,43.0,42.0,93.0,51.0,45.0,64.0,53.0,82.0,59.0,61.0,65.0,66.0,62.0,88.0,92.0
2813,38.0,2.0,3.0,5.0,10.0,0.0,8.0,4.0,31.0,1.0,29.0,65.0,21.0,23.0,59.0,63.0,61.0,57.0,66.0,95.0,104.0,58.0,50.0,105.0,140.0,137.0,56.0,141.0,47.0,54.0
2862,33.0,5.0,2.0,22.0,0.0,4.0,29.0,30.0,562.0,119.0,89.0,7.0,10.0,1.0,56.0,52.0,50.0,51.0,42.0,46.0,53.0,54.0,81.0,55.0,49.0,58.0,47.0,48.0,76.0,45.0
2911,143.0,2.0,8.0,34.0,27.0,35.0,14.0,5.0,560.0,137.0,21.0,30.0,3.0,32.0,33.0,44.0,46.0,91.0,47.0,56.0,49.0,74.0,102.0,52.0,53.0,50.0,75.0,54.0,97.0,94.0
2960,4.0,258.0,390.0,622.0,19.0,8.0,299.0,554.0,565.0,32.0,68.0,16.0,44.0,13.0,63.0,47.0,48.0,65.0,54.0,52.0,55.0,93.0,82.0,57.0,58.0,56.0,92.0,60.0,87.0,90.0
3009,42.0,260.0,390.0,32.0,9.0,468.0,7.0,2.0,26.0,91.0,29.0,67.0,34.0,63.0,62.0,65.0,64.0,60.0,68.0,69.0,105.0,61.0,46.0,141.0,142.0,107.0,59.0,144.0,55.0,58.0
3058,5.0,7.0,25.0,6.0,503.0,467.0,302.0,1.0,563.0,98.0,99.0,21.0,64.0,60.0,59.0,63.0,61.0,56.0,66.0,67.0,68.0,58.0,44.0,153.0,105.0,103.0,55.0,139.0,24.0,54.0
3107,5.0,0.0,6.0,19.0,4.0,467.0,300.0,2.0,30.0,116.0,12.0,35.0,55.0,56.0,10.0,26.0,43.0,51.0,54.0,53.0,41.0,52.0,24.0,44.0,47.0,49.0,50.0,45.0,46.0,48.0
3156,3.0,264.0,4.0,7.0,0.0,12.0,9.0,30.0,41.0,120.0,43.0,66.0,49.0,50.0,52.0,48.0,46.0,95.0,54.0,56.0,60.0,67.0,84.0,62.0,63.0,61.0,68.0,96.0,91.0,69.0
3205,2.0,6.0,387.0,3.0,14.0,1.0,11.0,0.0,560.0,91.0,100.0,22.0,23.0,60.0,59.0,62.0,61.0,54.0,63.0,64.0,65.0,57.0,45.0,67.0,71.0,66.0,55.0,103.0,41.0,68.0
3254,1.0,31.0,15.0,9.0,30.0,40.0,26.0,627.0,12.0,534.0,56.0,66.0,67.0,70.0,71.0,69.0,76.0,73.0,65.0,64.0,63.0,72.0,48.0,113.0,114.0,62.0,74.0,115.0,33.0,75.0
3303,34.0,14.0,4.0,25.0,6.0,23.0,11.0,7.0,0.0,35.0,2.0,49.0,26.0,53.0,64.0,51.0,52.0,74.0,54.0,48.0,47.0,73.0,102.0,45.0,44.0,46.0,75.0,43.0,97.0,94.0
3352,31.0,258.0,6.0,616.0,20.0,1.0,298.0,555.0,0.0,122.0,73.0,48.0,44.0,4.0,45.0,43.0,42.0,63.0,62.0,50.0,51.0,46.0,26.0,52.0,53.0,49.0,65.0,55.0,18.0,91.0
3401,5.0,3.0,23.0,18.0,1.0,467.0,302.0,31.0,36.0,120.0,82.0,40.0,60.0,9.0,58.0,53.0,46.0,54.0,47.0,57.0,56.0,55.0,20.0,59.0,49.0,50.0,52.0,45.0,77.0,51.0
3450,2.0,29.0,34.0,1.0,7.0,467.0,6.0,4.0,0.0,44.0,27.0,107.0,105.0,70.0,69.0,72.0,71.0,36.0,108.0,143.0,144.0,68.0,58.0,147.0,149.0,146.0,66.0,150.0,62.0,65.0
3499,0.0,265.0,1.0,617.0,36.0,466.0,32.0,608.0,40.0,123.0,94.0,51.0,57.0,18.0,20.0,55.0,53.0,22.0,56.0,54.0,58.0,49.0,86.0,47.0,59.0,48.0,78.0,52.0,83.0,61.0
3548,39.0,260.0,345.0,611.0,500.0,464.0,28.0,605.0,2.0,37.0,8.0,27.0,71.0,53.0,50.0,56.0,55.0,47.0,61.0,63.0,64.0,48.0,85.0,69.0,70.0,65.0,86.0,78.0,93.0,98.0
3597,3.0,271.0,13.0,1.0,4.0,41.0,28.0,5.0,446.0,21.0,31.0,67.0,34.0,71.0,72.0,70.0,77.0,33.0,66.0,65.0,64.0,73.0,49.0,63.0,114.0,35.0,75.0,116.0,60.0,76.0
3646,0.0,31.0,34.0,1.0,501.0,28.0,298.0,606.0,2.0,39.0,101.0,3.0,18.0,66.0,21.0,68.0,67.0,64.0,88.0,105.0,106.0,65.0,35.0,141.0,142.0,140.0,63.0,143.0,60.0,62.0
3695,3.0,2.0,0.0,594.0,39.0,38.0,304.0,603.0,25.0,92.0,105.0,143.0,7.0,75.0,68.0,108.0,106.0,65.0,145.0,146.0,147.0,67.0,53.0,9.0,150.0,148.0,64.0,151.0,59.0,63.0
3744,4.0,8.0,5.0,27.0,34.0,7.0,300.0,607.0,558.0,53.0,97.0,61.0,60.0,57.0,3.0,59.0,58.0,25.0,62.0,63.0,64.0,69.0,42.0,67.0,103.0,66.0,68.0,137.0,49.0,45.0
3793,38.0,10.0,15.0,16.0,556.0,9.0,29.0,604.0,0.0,120.0,87.0,27.0,57.0,52.0,51.0,55.0,53.0,70.0,64.0,66.0,67.0,50.0,88.0,69.0,137.0,68.0,72.0,100.0,94.0,97.0
3842,2.0,0.0,1.0,614.0,3.0,465.0,29.0,607.0,42.0,123.0,4.0,47.0,48.0,53.0,18.0,49.0,50.0,15.0,52.0,54.0,56.0,84.0,87.0,57.0,58.0,69.0,96.0,63.0,91.0,95.0
3891,34.0,12.0,5.0,615.0,24.0,0.0,1.0,39.0,559.0,33.0,50.0,43.0,42.0,70.0,95.0,53.0,69.0,93.0,44.0,46.0,47.0,94.0,80.0,19.0,54.0,49.0,92.0,58.0,85.0,91.0
3940,2.0,16.0,4.0,9.0,504.0,465.0,28.0,609.0,43.0,34.0,13.0,59.0,25.0,51.0,22.0,54.0,53.0,62.0,61.0,65.0,66.0,48.0,88.0,46.0,56.0,67.0,84.0,63.0,93.0,71.0
3989,3.0,266.0,390.0,10.0,1.0,466.0,5.0,30.0,40.0,121.0,6.0,20.0,53.0,48.0,4.0,51.0,49.0,66.0,58.0,61.0,63.0,60.0,89.0,56.0,54.0,64.0,82.0,52.0,94.0,68.0
4038,0.0,8.0,1.0,616.0,3.0,466.0,2.0,30.0,39.0,125.0,15.0,26.0,49.0,69.0,84.0,47.0,52.0,70.0,68.0,54.0,55.0,71.0,87.0,58.0,59.0,57.0,96.0,61.0,4.0,95.0
4087,0.0,264.0,393.0,621.0,505.0,468.0,249.0,592.0,3.0,119.0,65.0,22.0,51.0,47.0,21.0,50.0,48.0,89.0,54.0,64.0,58.0,44.0,93.0,61.0,62.0,60.0,88.0,42.0,10.0,86.0
4136,44.0,265.0,389.0,1.0,29.0,465.0,30.0,33.0,46.0,45.0,13.0,25.0,57.0,54.0,23.0,55.0,47.0,51.0,56.0,59.0,60.0,50.0,92.0,64.0,65.0,61.0,52.0,66.0,97.0,53.0
4185,3.0,262.0,6.0,16.0,25.0,467.0,27.0,30.0,39.0,44.0,15.0,55.0,65.0,50.0,49.0,52.0,51.0,47.0,56.0,66.0,61.0,48.0,83.0,26.0,45.0,62.0,57.0,46.0,19.0,96.0
4234,4.0,16.0,390.0,20.0,43.0,467.0,33.0,2.0,1.0,121.0,11.0,28.0,46.0,57.0,5.0,48.0,50.0,58.0,38.0,56.0,55.0,53.0,82.0,54.0,52.0,59.0,47.0,51.0,6.0,45.0
4283,3.0,261.0,16.0,12.0,504.0,466.0,302.0,554.0,4.0,41.0,19.0,22.0,51.0,49.0,50.0,47.0,48.0,95.0,44.0,54.0,53.0,67.0,33.0,58.0,59.0,57.0,93.0,61.0,86.0,92.0
4332,42.0,27.0,388.0,26.0,35.0,14.0,2.0,608.0,559.0,38.0,97.0,63.0,62.0,21.0,22.0,61.0,60.0,56.0,64.0,65.0,67.0,59.0,50.0,104.0,164.0,72.0,57.0,105.0,44.0,69.0
4381,5.0,261.0,8.0,19.0,501.0,464.0,6.0,38.0,559.0,37.0,90.0,57.0,56.0,52.0,48.0,55.0,53.0,60.0,58.0,61.0,47.0,49.0,22.0,54.0,51.0,50.0,40.0,41.0,45.0,46.0
4430,43.0,265.0,390.0,616.0,503.0,467.0,8.0,609.0,2.0,42.0,102.0,59.0,72.0,69.0,22.0,47.0,19.0,66.0,58.0,49.0,104.0,67.0,53.0,107.0,142.0,139.0,65.0,144.0,60.0,64.0
4479,127.0,25.0,390.0,614.0,42.0,465.0,302.0,605.0,30.0,2.0,94.0,50.0,60.0,55.0,54.0,58.0,57.0,48.0,53.0,59.0,56.0,62.0,86.0,51.0,61.0,52.0,46.0,49.0,83.0,47.0
4528,143.0,1.0,388.0,616.0,503.0,464.0,16.0,620.0,37.0,4.0,90.0,52.0,31.0,32.0,33.0,54.0,55.0,76.0,51.0,50.0,49.0,101.0,34.0,47.0,46.0,48.0,95.0,45.0,99.0,96.0
4577,134.0,28.0,13.0,559.0,601.0,433.0,306.0,22.0,8.0,534.0,67.0,31.0,75.0,71.0,72.0,69.0,70.0,74.0,66.0,65.0,64.0,73.0,48.0,62.0,61.0,63.0,60.0,112.0,44.0,59.0
4626,39.0,267.0,388.0,594.0,1.0,11.0,307.0,607.0,558.0,41.0,75.0,22.0,21.0,56.0,70.0,18.0,50.0,72.0,51.0,52.0,53.0,100.0,88.0,59.0,61.0,57.0,101.0,62.0,92.0,98.0
4675,33.0,262.0,389.0,618.0,5.0,465.0,301.0,30.0,561.0,123.0,9.0,52.0,51.0,44.0,22.0,47.0,45.0,87.0,53.0,54.0,55.0,61.0,62.0,59.0,48.0,58.0,63.0,57.0,84.0,81.0
4724,38.0,1.0,388.0,618.0,24.0,8.0,301.0,555.0,37.0,43.0,69.0,51.0,21.0,67.0,82.0,49.0,50.0,94.0,45.0,52.0,66.0,68.0,78.0,53.0,56.0,54.0,93.0,57.0,86.0,91.0
4773,135.0,31.0,366.0,565.0,600.0,432.0,27.0,628.0,13.0,534.0,5.0,67.0,68.0,71.0,72.0,69.0,70.0,74.0,66.0,65.0,64.0,73.0,47.0,62.0,61.0,63.0,75.0,77.0,57.0,60.0
4822,42.0,20.0,1.0,611.0,0.0,464.0,304.0,606.0,44.0,33.0,88.0,56.0,55.0,52.0,65.0,54.0,53.0,48.0,57.0,51.0,58.0,50.0,96.0,60.0,61.0,59.0,49.0,62.0,8.0,47.0
4871,37.0,26.0,24.0,25.0,502.0,465.0,248.0,608.0,5.0,2.0,28.0,61.0,60.0,57.0,69.0,59.0,58.0,45.0,62.0,63.0,64.0,54.0,56.0,66.0,67.0,65.0,52.0,68.0,44.0,51.0
