,hsa-miR-579,hsa-miR-605,hsa-miR-520c-3p,hsa-miR-614,hsa-miR-558,hsa-miR-96,ebv-miR-BART5,hsa-miR-519e,hsa-miR-592,hsa-miR-513a-5p,hsa-miR-1299,hsa-miR-197,hsa-miR-424,hsa-miR-1256,hsa-miR-591,hsa-miR-518c,hsa-miR-545,hsa-miR-34a,hsa-miR-1297,hsa-miR-223,hsa-miR-1975,hsa-miR-708,hsa-miR-133b,hsa-miR-513a-3p,hsa-miR-151-3p,hsa-miR-526b,hsa-miR-567,hsa-miR-1302,hsa-miR-149,hsa-miR-9
2513,1.0,0.0,5.0,9.0,23.0,34.0,22.0,47.0,13.0,14.0,75.0,242.0,188.0,27.0,50.0,164.0,51.0,3.0,427.0,179.0,296.0,36.0,48.0,6.0,7.0,289.0,44.0,192.0,228.0,220.0
2562,0.0,1.0,31.0,129.0,2.0,198.0,7.0,261.0,10.0,164.0,246.0,35.0,6.0,8.0,169.0,4.0,233.0,48.0,180.0,406.0,229.0,55.0,214.0,133.0,303.0,69.0,52.0,188.0,39.0,18.0
2611,0.0,27.0,3.0,57.0,1.0,278.0,5.0,15.0,26.0,68.0,52.0,20.0,86.0,107.0,207.0,258.0,170.0,198.0,61.0,143.0,473.0,280.0,201.0,41.0,228.0,76.0,2.0,135.0,212.0,111.0
2660,1.0,0.0,10.0,119.0,3.0,74.0,108.0,5.0,6.0,75.0,186.0,164.0,2.0,9.0,177.0,274.0,50.0,54.0,34.0,131.0,468.0,341.0,72.0,513.0,84.0,55.0,110.0,15.0,372.0,138.0
2709,0.0,16.0,18.0,84.0,12.0,70.0,103.0,1.0,10.0,22.0,239.0,170.0,80.0,14.0,142.0,396.0,21.0,49.0,82.0,38.0,4.0,429.0,117.0,564.0,132.0,15.0,27.0,91.0,287.0,550.0
2758,0.0,2.0,4.0,3.0,179.0,235.0,42.0,1.0,5.0,456.0,99.0,234.0,60.0,27.0,22.0,465.0,29.0,138.0,43.0,105.0,176.0,223.0,290.0,92.0,51.0,10.0,343.0,137.0,270.0,80.0
2807,1.0,3.0,0.0,286.0,30.0,234.0,97.0,89.0,369.0,312.0,32.0,158.0,10.0,74.0,8.0,55.0,9.0,85.0,27.0,391.0,213.0,468.0,157.0,106.0,225.0,37.0,261.0,149.0,321.0,6.0
2856,0.0,315.0,4.0,162.0,17.0,36.0,454.0,50.0,3.0,42.0,466.0,541.0,254.0,38.0,51.0,606.0,124.0,31.0,30.0,308.0,348.0,351.0,47.0,67.0,432.0,86.0,11.0,157.0,239.0,242.0
2905,0.0,7.0,8.0,1.0,3.0,4.0,54.0,2.0,76.0,202.0,449.0,590.0,149.0,5.0,111.0,6.0,68.0,38.0,9.0,208.0,125.0,176.0,86.0,205.0,405.0,18.0,117.0,39.0,426.0,568.0
2954,0.0,20.0,194.0,2.0,6.0,192.0,4.0,9.0,83.0,7.0,119.0,23.0,327.0,68.0,15.0,58.0,41.0,101.0,8.0,38.0,22.0,268.0,185.0,396.0,11.0,19.0,137.0,85.0,56.0,26.0
