,ETV4,TMC6,CMTM7,RP11-49K24.4,DACT1,ARID4A,KIAA0586,DAAM1,HNRNPCP1,RP11-112J1.3,TIMM9,GPR135,L3HYPDH,C14orf39,PCNXL4,RBM8B,DHRS7,RP11-62H20.1,RP11-1042B17.3,CCDC175,JKAMP,SCOCP1,PPM1A,SIX6,RTN1,RP11-1042B17.1,AL132989.1,HMGB1P14,RP11-349A22.5,GCH1
1434,0.0,44.0,34.0,30.0,59.0,63.0,61.0,64.0,60.0,57.0,62.0,56.0,55.0,67.0,50.0,85.0,49.0,51.0,83.0,53.0,54.0,65.0,66.0,84.0,52.0,82.0,76.0,87.0,109.0,108.0
1483,0.0,44.0,2.0,6.0,83.0,52.0,84.0,81.0,65.0,82.0,50.0,80.0,79.0,69.0,74.0,68.0,73.0,75.0,125.0,77.0,78.0,72.0,71.0,67.0,76.0,165.0,53.0,55.0,57.0,92.0
1532,6.0,11233.0,1.0,2.0,58.0,50.0,70.0,61.0,57.0,55.0,53.0,62.0,63.0,60.0,69.0,59.0,54.0,68.0,47.0,71.0,64.0,66.0,65.0,56.0,67.0,52.0,49.0,48.0,51.0,77.0
1581,1.0,31.0,12292.0,16.0,48.0,111.0,81.0,50.0,71.0,49.0,97.0,51.0,53.0,78.0,60.0,77.0,61.0,59.0,75.0,55.0,54.0,62.0,64.0,76.0,57.0,74.0,110.0,109.0,107.0,63.0
1630,1.0,2.0,5.0,11535.0,77.0,81.0,79.0,75.0,78.0,76.0,80.0,82.0,74.0,182.0,66.0,181.0,85.0,67.0,179.0,69.0,70.0,185.0,125.0,180.0,68.0,177.0,65.0,73.0,64.0,118.0
1679,0.0,11231.0,12286.0,6.0,54.0,56.0,51.0,65.0,52.0,48.0,47.0,72.0,70.0,179.0,62.0,113.0,61.0,64.0,176.0,73.0,67.0,60.0,59.0,177.0,66.0,175.0,50.0,55.0,74.0,84.0
1728,0.0,11234.0,28.0,11537.0,80.0,103.0,79.0,58.0,100.0,97.0,102.0,57.0,56.0,65.0,49.0,68.0,61.0,51.0,70.0,54.0,55.0,63.0,62.0,69.0,53.0,71.0,106.0,109.0,113.0,110.0
1777,1.0,4.0,12290.0,11537.0,59.0,69.0,57.0,62.0,55.0,61.0,56.0,63.0,70.0,49.0,65.0,102.0,64.0,67.0,161.0,58.0,68.0,60.0,51.0,114.0,54.0,116.0,50.0,48.0,52.0,74.0
1826,33.0,0.0,35.0,11535.0,61.0,86.0,63.0,59.0,62.0,60.0,64.0,58.0,56.0,66.0,52.0,68.0,51.0,53.0,84.0,55.0,65.0,49.0,57.0,85.0,54.0,83.0,88.0,111.0,112.0,100.0
1875,0.0,46.0,28.0,11537.0,52.0,99.0,77.0,49.0,75.0,50.0,79.0,57.0,53.0,65.0,72.0,63.0,68.0,73.0,61.0,56.0,54.0,67.0,66.0,62.0,74.0,114.0,100.0,116.0,101.0,78.0
1924,2.0,11231.0,45.0,11533.0,66.0,60.0,64.0,69.0,65.0,68.0,63.0,71.0,67.0,49.0,73.0,59.0,51.0,57.0,54.0,72.0,62.0,70.0,61.0,50.0,56.0,104.0,58.0,52.0,53.0,77.0
1973,18.0,11229.0,15.0,11531.0,59.0,55.0,57.0,61.0,58.0,56.0,70.0,62.0,64.0,50.0,65.0,103.0,63.0,66.0,196.0,69.0,68.0,60.0,49.0,115.0,67.0,117.0,52.0,48.0,51.0,82.0
2022,34.0,11233.0,25.0,11534.0,76.0,100.0,78.0,47.0,96.0,49.0,99.0,51.0,53.0,68.0,73.0,67.0,72.0,75.0,63.0,50.0,54.0,71.0,69.0,64.0,60.0,62.0,102.0,104.0,105.0,113.0
2071,0.0,9.0,12282.0,11532.0,55.0,51.0,52.0,61.0,65.0,60.0,49.0,62.0,64.0,56.0,66.0,50.0,53.0,47.0,46.0,58.0,54.0,63.0,57.0,48.0,59.0,45.0,101.0,68.0,92.0,73.0
2120,8934.0,11234.0,4.0,11535.0,77.0,62.0,79.0,75.0,78.0,76.0,80.0,74.0,73.0,124.0,67.0,204.0,66.0,68.0,125.0,71.0,72.0,65.0,84.0,126.0,70.0,181.0,81.0,53.0,59.0,102.0
2169,0.0,14.0,12282.0,33.0,68.0,54.0,69.0,66.0,72.0,67.0,70.0,65.0,64.0,55.0,59.0,102.0,58.0,60.0,185.0,63.0,71.0,57.0,56.0,117.0,61.0,119.0,62.0,52.0,50.0,94.0
2218,2.0,1.0,12288.0,6.0,59.0,90.0,54.0,63.0,55.0,62.0,52.0,64.0,56.0,65.0,50.0,58.0,60.0,67.0,49.0,51.0,53.0,61.0,66.0,57.0,45.0,48.0,69.0,93.0,94.0,74.0
2267,26.0,11232.0,25.0,11.0,54.0,98.0,115.0,57.0,53.0,55.0,78.0,59.0,62.0,50.0,76.0,72.0,70.0,67.0,64.0,63.0,75.0,71.0,61.0,68.0,66.0,58.0,100.0,101.0,102.0,79.0
2316,1.0,11230.0,22.0,11532.0,73.0,97.0,94.0,53.0,109.0,69.0,74.0,52.0,51.0,66.0,55.0,72.0,64.0,50.0,63.0,46.0,54.0,56.0,67.0,65.0,44.0,62.0,98.0,99.0,100.0,93.0
2365,8.0,6.0,30.0,23.0,57.0,54.0,50.0,62.0,53.0,61.0,52.0,63.0,64.0,59.0,67.0,71.0,66.0,70.0,56.0,68.0,65.0,58.0,60.0,51.0,69.0,116.0,55.0,72.0,94.0,78.0
2414,8.0,11233.0,12286.0,11534.0,81.0,48.0,55.0,78.0,71.0,79.0,47.0,77.0,76.0,65.0,70.0,64.0,69.0,72.0,123.0,74.0,75.0,68.0,67.0,105.0,73.0,125.0,49.0,50.0,51.0,84.0
2463,0.0,11204.0,1.0,21.0,63.0,67.0,48.0,58.0,69.0,61.0,68.0,55.0,70.0,116.0,52.0,179.0,101.0,51.0,177.0,53.0,47.0,114.0,159.0,178.0,54.0,176.0,66.0,65.0,64.0,111.0
2512,0.0,37.0,2.0,11541.0,47.0,53.0,50.0,71.0,48.0,61.0,60.0,63.0,62.0,67.0,72.0,66.0,70.0,80.0,64.0,75.0,78.0,69.0,68.0,65.0,73.0,105.0,54.0,55.0,56.0,89.0
2561,0.0,30.0,12287.0,27.0,53.0,49.0,52.0,55.0,44.0,67.0,47.0,58.0,62.0,57.0,64.0,56.0,61.0,54.0,45.0,65.0,63.0,60.0,59.0,43.0,66.0,46.0,68.0,91.0,70.0,75.0
2610,1.0,6.0,5.0,11535.0,60.0,110.0,48.0,68.0,49.0,52.0,50.0,67.0,66.0,58.0,62.0,57.0,69.0,63.0,55.0,64.0,65.0,61.0,59.0,56.0,70.0,54.0,72.0,93.0,94.0,81.0
2659,0.0,46.0,3.0,11537.0,65.0,56.0,66.0,79.0,82.0,81.0,74.0,77.0,76.0,107.0,70.0,124.0,69.0,71.0,182.0,75.0,83.0,68.0,67.0,165.0,73.0,181.0,51.0,52.0,53.0,94.0
2708,0.0,28.0,5.0,25.0,50.0,65.0,46.0,56.0,45.0,55.0,49.0,57.0,59.0,60.0,67.0,58.0,54.0,64.0,47.0,62.0,61.0,68.0,66.0,69.0,63.0,53.0,70.0,105.0,72.0,75.0
2757,0.0,46.0,33.0,11535.0,64.0,110.0,87.0,61.0,86.0,62.0,88.0,60.0,59.0,50.0,54.0,48.0,53.0,55.0,63.0,57.0,58.0,52.0,51.0,47.0,56.0,65.0,111.0,113.0,114.0,102.0
2806,0.0,11234.0,18.0,5.0,97.0,116.0,103.0,61.0,100.0,77.0,108.0,59.0,58.0,72.0,55.0,71.0,56.0,54.0,76.0,52.0,57.0,75.0,74.0,70.0,53.0,69.0,109.0,111.0,112.0,106.0
2855,1.0,45.0,12286.0,11539.0,115.0,120.0,117.0,113.0,116.0,114.0,118.0,112.0,111.0,55.0,61.0,64.0,60.0,62.0,53.0,87.0,88.0,59.0,58.0,54.0,67.0,52.0,121.0,122.0,123.0,218.0
2904,2.0,44.0,12290.0,11535.0,58.0,57.0,55.0,50.0,54.0,51.0,56.0,48.0,47.0,46.0,70.0,63.0,76.0,77.0,59.0,75.0,61.0,64.0,62.0,65.0,73.0,113.0,72.0,106.0,116.0,90.0
2953,0.0,33.0,1.0,11533.0,74.0,99.0,77.0,49.0,76.0,53.0,98.0,56.0,48.0,68.0,59.0,66.0,73.0,75.0,61.0,52.0,50.0,72.0,70.0,65.0,55.0,60.0,100.0,101.0,102.0,87.0
3002,0.0,3.0,12281.0,11530.0,54.0,50.0,52.0,56.0,53.0,67.0,51.0,55.0,58.0,61.0,68.0,57.0,48.0,66.0,64.0,62.0,60.0,45.0,49.0,65.0,63.0,59.0,47.0,46.0,91.0,72.0
3051,1.0,0.0,12286.0,11536.0,56.0,47.0,53.0,64.0,54.0,63.0,48.0,66.0,69.0,62.0,52.0,57.0,65.0,61.0,67.0,71.0,68.0,49.0,51.0,46.0,59.0,60.0,115.0,73.0,96.0,77.0
3100,6.0,1.0,5.0,13.0,76.0,60.0,61.0,74.0,77.0,75.0,62.0,73.0,72.0,63.0,67.0,161.0,66.0,68.0,122.0,71.0,79.0,65.0,64.0,202.0,69.0,179.0,59.0,47.0,48.0,118.0
3149,0.0,1.0,28.0,11532.0,78.0,103.0,79.0,47.0,97.0,76.0,102.0,54.0,57.0,69.0,74.0,68.0,73.0,50.0,66.0,53.0,56.0,72.0,70.0,67.0,51.0,65.0,104.0,105.0,107.0,112.0
3198,2.0,0.0,34.0,11531.0,58.0,85.0,84.0,55.0,73.0,57.0,86.0,52.0,48.0,59.0,62.0,60.0,53.0,50.0,63.0,47.0,61.0,54.0,56.0,51.0,49.0,64.0,109.0,110.0,111.0,97.0
3247,2.0,0.0,45.0,11531.0,63.0,56.0,61.0,65.0,62.0,64.0,71.0,68.0,69.0,59.0,47.0,58.0,72.0,52.0,50.0,67.0,70.0,55.0,66.0,60.0,57.0,49.0,54.0,53.0,51.0,77.0
3296,5.0,0.0,6.0,45.0,73.0,52.0,64.0,71.0,55.0,72.0,53.0,70.0,69.0,60.0,65.0,59.0,63.0,74.0,57.0,67.0,68.0,62.0,61.0,58.0,66.0,56.0,48.0,50.0,51.0,78.0
3345,0.0,1.0,29.0,30.0,51.0,50.0,48.0,61.0,57.0,52.0,55.0,62.0,63.0,73.0,58.0,60.0,71.0,68.0,72.0,65.0,64.0,69.0,67.0,59.0,66.0,54.0,70.0,105.0,75.0,79.0
3394,1.0,0.0,41.0,11549.0,50.0,96.0,115.0,52.0,55.0,51.0,73.0,70.0,59.0,56.0,65.0,68.0,66.0,63.0,58.0,61.0,60.0,67.0,69.0,64.0,62.0,71.0,97.0,98.0,99.0,80.0
3443,0.0,31.0,12283.0,15.0,53.0,55.0,48.0,78.0,47.0,63.0,54.0,77.0,76.0,66.0,70.0,85.0,69.0,72.0,161.0,73.0,75.0,68.0,67.0,116.0,79.0,118.0,57.0,58.0,59.0,106.0
3492,2.0,41.0,1.0,13.0,77.0,51.0,59.0,75.0,60.0,76.0,58.0,74.0,73.0,62.0,67.0,61.0,66.0,68.0,122.0,70.0,72.0,65.0,63.0,121.0,69.0,178.0,45.0,46.0,47.0,100.0
3541,0.0,11234.0,12289.0,11537.0,46.0,48.0,54.0,57.0,59.0,58.0,51.0,56.0,52.0,69.0,61.0,70.0,65.0,76.0,72.0,49.0,50.0,66.0,68.0,71.0,47.0,73.0,63.0,77.0,96.0,92.0
3590,0.0,11232.0,2.0,11534.0,50.0,60.0,48.0,55.0,57.0,52.0,51.0,67.0,59.0,65.0,69.0,64.0,75.0,70.0,62.0,72.0,73.0,68.0,66.0,63.0,71.0,114.0,76.0,78.0,77.0,87.0
3639,0.0,11231.0,22.0,7.0,55.0,80.0,76.0,59.0,51.0,52.0,107.0,49.0,50.0,69.0,60.0,68.0,75.0,61.0,63.0,58.0,53.0,72.0,71.0,67.0,48.0,62.0,100.0,79.0,101.0,88.0
3688,0.0,11235.0,38.0,1.0,60.0,52.0,69.0,61.0,57.0,70.0,55.0,62.0,63.0,50.0,67.0,48.0,59.0,68.0,49.0,65.0,64.0,58.0,51.0,47.0,56.0,102.0,53.0,54.0,66.0,74.0
3737,2.0,5.0,0.0,3.0,77.0,103.0,99.0,76.0,98.0,95.0,101.0,55.0,50.0,60.0,58.0,72.0,52.0,47.0,75.0,48.0,49.0,53.0,54.0,69.0,46.0,68.0,104.0,107.0,108.0,111.0
3786,0.0,11233.0,25.0,15.0,77.0,99.0,112.0,73.0,96.0,75.0,98.0,57.0,54.0,68.0,56.0,74.0,66.0,51.0,65.0,48.0,53.0,58.0,70.0,67.0,50.0,63.0,100.0,101.0,103.0,102.0
3835,0.0,11233.0,35.0,11535.0,88.0,114.0,111.0,87.0,110.0,118.0,112.0,85.0,61.0,52.0,56.0,51.0,54.0,57.0,49.0,59.0,60.0,62.0,53.0,50.0,58.0,47.0,115.0,116.0,117.0,103.0
3884,0.0,30.0,37.0,24.0,58.0,46.0,53.0,65.0,54.0,64.0,52.0,69.0,68.0,66.0,70.0,63.0,45.0,49.0,60.0,62.0,67.0,57.0,44.0,61.0,59.0,56.0,102.0,72.0,94.0,77.0
3933,8934.0,29.0,44.0,0.0,65.0,73.0,67.0,62.0,72.0,63.0,68.0,56.0,70.0,53.0,66.0,50.0,69.0,61.0,104.0,59.0,58.0,57.0,55.0,52.0,60.0,114.0,71.0,64.0,49.0,76.0
3982,22.0,37.0,1.0,3.0,104.0,110.0,108.0,102.0,106.0,80.0,109.0,101.0,79.0,77.0,51.0,60.0,49.0,58.0,72.0,56.0,76.0,59.0,69.0,73.0,54.0,71.0,111.0,112.0,114.0,81.0
4031,0.0,8.0,2.0,34.0,46.0,114.0,65.0,50.0,49.0,47.0,70.0,48.0,51.0,61.0,66.0,60.0,64.0,67.0,58.0,53.0,69.0,63.0,62.0,59.0,68.0,57.0,72.0,95.0,96.0,78.0
4080,0.0,10.0,12288.0,1.0,50.0,48.0,46.0,53.0,47.0,66.0,49.0,54.0,55.0,63.0,59.0,64.0,60.0,58.0,99.0,56.0,52.0,61.0,62.0,65.0,57.0,113.0,45.0,67.0,90.0,72.0
4129,0.0,2.0,45.0,26.0,59.0,50.0,55.0,65.0,56.0,60.0,53.0,46.0,68.0,62.0,48.0,69.0,63.0,61.0,57.0,52.0,67.0,64.0,66.0,58.0,49.0,54.0,104.0,71.0,95.0,76.0
4178,31.0,2.0,42.0,22.0,57.0,51.0,49.0,60.0,53.0,59.0,50.0,62.0,63.0,61.0,56.0,58.0,69.0,68.0,55.0,71.0,64.0,67.0,66.0,70.0,65.0,54.0,52.0,94.0,73.0,77.0
4227,1.0,5.0,29.0,11535.0,54.0,48.0,51.0,56.0,67.0,55.0,49.0,57.0,58.0,62.0,65.0,50.0,53.0,64.0,44.0,60.0,59.0,66.0,63.0,52.0,61.0,45.0,47.0,46.0,68.0,71.0
4276,27.0,37.0,1.0,11538.0,55.0,51.0,53.0,58.0,54.0,56.0,52.0,59.0,63.0,64.0,74.0,62.0,48.0,72.0,112.0,69.0,68.0,75.0,65.0,61.0,71.0,193.0,66.0,77.0,78.0,79.0
4325,5.0,1.0,4.0,11539.0,49.0,55.0,61.0,72.0,52.0,62.0,53.0,63.0,80.0,68.0,81.0,67.0,73.0,74.0,65.0,76.0,78.0,70.0,69.0,66.0,75.0,84.0,57.0,58.0,59.0,89.0
4374,2.0,0.0,12282.0,6.0,72.0,60.0,74.0,79.0,73.0,71.0,77.0,70.0,68.0,163.0,63.0,124.0,61.0,64.0,123.0,66.0,67.0,82.0,122.0,181.0,65.0,179.0,58.0,52.0,46.0,102.0
4423,0.0,3.0,12280.0,11532.0,46.0,49.0,51.0,44.0,47.0,50.0,48.0,52.0,58.0,62.0,53.0,60.0,66.0,45.0,56.0,61.0,59.0,64.0,63.0,57.0,65.0,55.0,68.0,90.0,70.0,76.0
4472,0.0,7.0,1.0,23.0,43.0,91.0,100.0,38.0,65.0,47.0,67.0,40.0,41.0,60.0,50.0,61.0,53.0,64.0,63.0,46.0,45.0,54.0,55.0,62.0,39.0,49.0,92.0,93.0,94.0,75.0
4521,3.0,0.0,29.0,24.0,69.0,48.0,45.0,57.0,54.0,70.0,46.0,59.0,60.0,61.0,66.0,58.0,65.0,55.0,47.0,67.0,62.0,64.0,63.0,56.0,68.0,53.0,49.0,114.0,72.0,76.0
4570,2.0,0.0,1.0,11532.0,48.0,61.0,46.0,50.0,47.0,66.0,45.0,65.0,64.0,55.0,59.0,54.0,58.0,60.0,52.0,62.0,63.0,57.0,56.0,53.0,49.0,51.0,67.0,107.0,69.0,73.0
4619,1.0,5.0,0.0,15.0,50.0,49.0,44.0,53.0,47.0,51.0,48.0,54.0,46.0,63.0,69.0,62.0,68.0,56.0,60.0,65.0,55.0,67.0,64.0,61.0,57.0,59.0,72.0,77.0,115.0,90.0
4668,0.0,40.0,12286.0,12.0,70.0,76.0,74.0,67.0,71.0,68.0,75.0,66.0,64.0,179.0,125.0,178.0,183.0,126.0,175.0,124.0,84.0,181.0,180.0,176.0,186.0,173.0,77.0,78.0,79.0,116.0
4717,39.0,0.0,46.0,11532.0,70.0,47.0,54.0,62.0,57.0,60.0,55.0,63.0,65.0,52.0,64.0,51.0,61.0,67.0,49.0,56.0,59.0,58.0,69.0,48.0,68.0,50.0,66.0,93.0,72.0,77.0
4766,0.0,12.0,12284.0,29.0,55.0,52.0,50.0,73.0,75.0,74.0,53.0,72.0,76.0,63.0,67.0,62.0,66.0,68.0,60.0,70.0,71.0,65.0,64.0,61.0,69.0,59.0,49.0,51.0,97.0,82.0
4815,0.0,10.0,2.0,11535.0,66.0,59.0,62.0,52.0,65.0,53.0,69.0,55.0,57.0,49.0,63.0,45.0,61.0,67.0,204.0,64.0,58.0,60.0,50.0,116.0,44.0,118.0,68.0,56.0,54.0,114.0
4864,0.0,5.0,37.0,31.0,70.0,53.0,50.0,59.0,52.0,57.0,49.0,61.0,63.0,62.0,58.0,60.0,69.0,56.0,54.0,65.0,64.0,68.0,66.0,71.0,67.0,51.0,94.0,73.0,97.0,78.0
