,P-Cadherin,Akt,Shc_pY317,VHL,RSK1-2-3,EGFR_pY1068,Rab25,PRAS40_pT246,C-Raf(MP05-739),MIG-6,SCD1,VAV1,Caveolin-1,Syk,GATA3,p21,Acetyl-a-Tubulin (Lys40),4E-BP1_pS65,N-Cadherin,ADAR1,Src_pY416,YB-1,Gab2,Rictor_pT1135,Annexin_VII,Akt_pS473,HER3,beta Actin,MEK1_pS217_S221,AR
1181,9.0,7.0,0.0,12.0,28.0,34.0,69.0,15.0,37.0,152.0,44.0,1.0,128.0,48.0,60.0,38.0,139.0,40.0,24.0,66.0,17.0,50.0,42.0,49.0,64.0,71.0,56.0,140.0,153.0,54.0
1230,6.0,8.0,0.0,39.0,9.0,20.0,83.0,152.0,60.0,1.0,16.0,3.0,108.0,89.0,36.0,78.0,24.0,14.0,26.0,71.0,119.0,37.0,35.0,45.0,5.0,19.0,32.0,121.0,2.0,38.0
1279,23.0,15.0,0.0,45.0,19.0,26.0,84.0,36.0,122.0,3.0,103.0,1.0,120.0,28.0,32.0,31.0,9.0,14.0,70.0,22.0,85.0,18.0,51.0,37.0,63.0,34.0,53.0,4.0,163.0,39.0
1328,14.0,23.0,3.0,4.0,94.0,11.0,7.0,49.0,28.0,13.0,18.0,130.0,84.0,37.0,157.0,69.0,17.0,31.0,24.0,48.0,120.0,25.0,2.0,41.0,45.0,54.0,34.0,26.0,10.0,0.0
1377,13.0,18.0,3.0,24.0,48.0,70.0,129.0,27.0,9.0,42.0,6.0,0.0,157.0,11.0,35.0,49.0,63.0,5.0,133.0,58.0,68.0,65.0,53.0,55.0,2.0,38.0,64.0,20.0,28.0,34.0
1426,14.0,17.0,1.0,24.0,25.0,18.0,89.0,13.0,19.0,3.0,21.0,43.0,55.0,83.0,61.0,59.0,2.0,94.0,50.0,60.0,8.0,9.0,84.0,44.0,70.0,39.0,36.0,97.0,137.0,85.0
1475,2.0,3.0,1.0,17.0,4.0,68.0,164.0,21.0,53.0,60.0,56.0,129.0,24.0,58.0,41.0,19.0,124.0,36.0,82.0,47.0,73.0,65.0,26.0,52.0,117.0,37.0,32.0,115.0,55.0,61.0
1524,9.0,28.0,1.0,14.0,15.0,13.0,7.0,56.0,0.0,150.0,6.0,76.0,25.0,27.0,16.0,93.0,57.0,30.0,149.0,44.0,24.0,151.0,51.0,89.0,5.0,58.0,156.0,129.0,22.0,17.0
1573,2.0,20.0,7.0,4.0,42.0,25.0,0.0,163.0,14.0,19.0,17.0,93.0,57.0,30.0,65.0,23.0,118.0,12.0,80.0,32.0,39.0,83.0,18.0,38.0,62.0,64.0,1.0,48.0,81.0,11.0
1622,2.0,1.0,5.0,79.0,15.0,51.0,69.0,38.0,141.0,0.0,71.0,63.0,33.0,39.0,134.0,59.0,72.0,109.0,145.0,34.0,46.0,128.0,32.0,47.0,4.0,19.0,29.0,132.0,101.0,78.0
1671,2.0,15.0,4.0,24.0,3.0,41.0,88.0,23.0,94.0,85.0,17.0,6.0,1.0,9.0,48.0,25.0,42.0,112.0,7.0,14.0,37.0,76.0,139.0,63.0,113.0,39.0,74.0,35.0,77.0,33.0
1720,4.0,51.0,6.0,1.0,9.0,0.0,161.0,19.0,112.0,134.0,10.0,13.0,34.0,116.0,16.0,25.0,56.0,46.0,42.0,26.0,28.0,81.0,163.0,76.0,27.0,36.0,35.0,87.0,61.0,74.0
1769,7.0,11.0,0.0,28.0,9.0,21.0,115.0,44.0,129.0,37.0,60.0,98.0,43.0,17.0,16.0,27.0,80.0,24.0,81.0,25.0,51.0,71.0,142.0,92.0,12.0,33.0,85.0,46.0,156.0,29.0
1818,1.0,6.0,10.0,9.0,2.0,4.0,60.0,11.0,128.0,141.0,65.0,70.0,26.0,59.0,68.0,36.0,55.0,20.0,161.0,32.0,69.0,87.0,131.0,83.0,150.0,42.0,84.0,41.0,3.0,39.0
1867,24.0,16.0,0.0,30.0,59.0,35.0,17.0,102.0,131.0,42.0,114.0,80.0,29.0,18.0,64.0,52.0,39.0,15.0,46.0,21.0,73.0,66.0,3.0,84.0,75.0,37.0,96.0,27.0,23.0,101.0
1916,3.0,5.0,15.0,26.0,43.0,2.0,11.0,4.0,12.0,22.0,61.0,74.0,40.0,33.0,88.0,42.0,39.0,35.0,24.0,59.0,119.0,81.0,147.0,73.0,19.0,55.0,49.0,112.0,10.0,32.0
1965,34.0,44.0,6.0,52.0,30.0,23.0,0.0,9.0,49.0,67.0,97.0,11.0,29.0,91.0,3.0,56.0,87.0,1.0,41.0,83.0,5.0,51.0,36.0,70.0,8.0,76.0,139.0,14.0,18.0,10.0
2014,5.0,18.0,14.0,82.0,13.0,6.0,0.0,4.0,34.0,39.0,95.0,29.0,93.0,80.0,159.0,23.0,136.0,74.0,10.0,54.0,12.0,35.0,160.0,65.0,57.0,53.0,2.0,62.0,9.0,15.0
2063,26.0,18.0,2.0,33.0,16.0,21.0,0.0,22.0,88.0,4.0,8.0,15.0,7.0,94.0,3.0,24.0,77.0,28.0,131.0,37.0,69.0,83.0,36.0,53.0,52.0,71.0,43.0,38.0,12.0,66.0
2112,5.0,8.0,4.0,54.0,16.0,9.0,131.0,150.0,20.0,7.0,14.0,32.0,100.0,43.0,143.0,38.0,122.0,80.0,29.0,58.0,119.0,41.0,34.0,62.0,86.0,76.0,17.0,31.0,0.0,120.0
2161,13.0,14.0,2.0,19.0,23.0,5.0,57.0,24.0,37.0,17.0,42.0,56.0,10.0,32.0,9.0,59.0,88.0,82.0,15.0,16.0,81.0,27.0,45.0,31.0,52.0,67.0,136.0,48.0,22.0,103.0
2210,3.0,15.0,0.0,60.0,14.0,16.0,2.0,48.0,7.0,24.0,122.0,23.0,55.0,68.0,57.0,41.0,27.0,99.0,9.0,11.0,21.0,54.0,47.0,72.0,61.0,86.0,70.0,160.0,144.0,13.0
2259,2.0,11.0,10.0,9.0,7.0,3.0,102.0,54.0,0.0,142.0,111.0,12.0,27.0,39.0,53.0,74.0,80.0,84.0,160.0,33.0,114.0,25.0,81.0,65.0,28.0,70.0,26.0,78.0,16.0,32.0
2308,12.0,22.0,2.0,118.0,15.0,8.0,106.0,31.0,159.0,38.0,69.0,37.0,162.0,52.0,58.0,29.0,28.0,5.0,13.0,18.0,116.0,21.0,55.0,66.0,88.0,81.0,70.0,51.0,16.0,68.0
2357,28.0,25.0,0.0,22.0,17.0,2.0,77.0,47.0,16.0,9.0,58.0,30.0,29.0,83.0,4.0,41.0,26.0,18.0,20.0,15.0,81.0,40.0,7.0,38.0,63.0,53.0,72.0,82.0,10.0,68.0
2406,1.0,39.0,16.0,5.0,9.0,2.0,113.0,32.0,31.0,42.0,71.0,54.0,108.0,76.0,64.0,13.0,35.0,55.0,11.0,60.0,21.0,37.0,69.0,26.0,68.0,46.0,38.0,122.0,3.0,80.0
2455,9.0,2.0,23.0,16.0,43.0,25.0,0.0,1.0,143.0,3.0,53.0,26.0,141.0,52.0,6.0,44.0,111.0,11.0,49.0,92.0,122.0,62.0,134.0,29.0,19.0,75.0,65.0,73.0,4.0,32.0
2504,22.0,7.0,16.0,91.0,44.0,92.0,1.0,35.0,11.0,31.0,20.0,29.0,66.0,9.0,0.0,52.0,69.0,126.0,42.0,59.0,27.0,136.0,37.0,24.0,2.0,79.0,68.0,15.0,43.0,45.0
2553,7.0,6.0,10.0,25.0,24.0,74.0,1.0,2.0,130.0,13.0,34.0,44.0,51.0,47.0,58.0,32.0,11.0,89.0,67.0,23.0,114.0,46.0,95.0,59.0,48.0,93.0,9.0,133.0,31.0,0.0
2602,1.0,2.0,37.0,13.0,52.0,10.0,3.0,0.0,5.0,92.0,33.0,56.0,78.0,48.0,31.0,32.0,107.0,140.0,36.0,84.0,113.0,163.0,21.0,55.0,23.0,106.0,64.0,20.0,15.0,73.0
2651,0.0,21.0,22.0,18.0,16.0,19.0,33.0,3.0,8.0,38.0,81.0,15.0,23.0,14.0,11.0,13.0,71.0,25.0,63.0,50.0,117.0,44.0,28.0,69.0,52.0,57.0,6.0,104.0,134.0,58.0
2700,9.0,1.0,11.0,23.0,48.0,71.0,0.0,44.0,3.0,7.0,96.0,25.0,160.0,18.0,5.0,38.0,86.0,123.0,36.0,85.0,112.0,22.0,17.0,55.0,56.0,32.0,61.0,62.0,35.0,108.0
2749,1.0,2.0,20.0,7.0,56.0,8.0,107.0,40.0,9.0,4.0,16.0,24.0,157.0,0.0,34.0,22.0,15.0,59.0,37.0,45.0,3.0,140.0,69.0,26.0,31.0,25.0,42.0,108.0,87.0,63.0
2798,1.0,0.0,39.0,81.0,34.0,97.0,4.0,13.0,27.0,7.0,117.0,32.0,85.0,16.0,2.0,51.0,50.0,9.0,73.0,47.0,52.0,88.0,18.0,31.0,8.0,42.0,22.0,28.0,156.0,134.0
2847,4.0,2.0,14.0,117.0,23.0,57.0,112.0,24.0,42.0,44.0,51.0,73.0,127.0,10.0,82.0,27.0,94.0,140.0,37.0,65.0,8.0,63.0,12.0,13.0,77.0,88.0,157.0,130.0,30.0,58.0
2896,4.0,10.0,30.0,77.0,56.0,7.0,1.0,3.0,2.0,24.0,12.0,17.0,13.0,37.0,8.0,42.0,82.0,49.0,73.0,36.0,105.0,153.0,162.0,55.0,26.0,135.0,157.0,81.0,38.0,44.0
2945,4.0,2.0,25.0,50.0,14.0,42.0,5.0,28.0,115.0,1.0,21.0,33.0,48.0,8.0,16.0,29.0,30.0,69.0,89.0,43.0,123.0,75.0,68.0,81.0,124.0,44.0,90.0,102.0,138.0,72.0
2994,5.0,9.0,39.0,6.0,15.0,4.0,0.0,22.0,1.0,19.0,49.0,70.0,20.0,25.0,75.0,62.0,32.0,139.0,42.0,31.0,18.0,72.0,82.0,61.0,74.0,76.0,37.0,24.0,157.0,35.0
3043,14.0,9.0,15.0,6.0,17.0,22.0,0.0,23.0,4.0,12.0,90.0,116.0,35.0,48.0,5.0,46.0,70.0,54.0,8.0,21.0,123.0,86.0,24.0,65.0,30.0,108.0,34.0,117.0,39.0,44.0
3092,3.0,2.0,45.0,1.0,10.0,48.0,63.0,11.0,82.0,32.0,4.0,52.0,51.0,78.0,25.0,18.0,42.0,130.0,135.0,38.0,118.0,49.0,47.0,56.0,53.0,79.0,20.0,41.0,19.0,40.0
3141,2.0,6.0,47.0,5.0,14.0,9.0,0.0,18.0,1.0,19.0,23.0,38.0,85.0,15.0,11.0,40.0,136.0,34.0,94.0,49.0,111.0,32.0,65.0,100.0,131.0,41.0,112.0,114.0,17.0,31.0
3190,2.0,7.0,19.0,1.0,12.0,3.0,112.0,5.0,101.0,6.0,24.0,28.0,62.0,25.0,35.0,50.0,33.0,139.0,21.0,20.0,116.0,72.0,79.0,56.0,135.0,31.0,157.0,16.0,155.0,26.0
3239,26.0,18.0,36.0,107.0,19.0,22.0,0.0,15.0,25.0,8.0,24.0,91.0,126.0,48.0,7.0,51.0,13.0,42.0,101.0,17.0,29.0,67.0,35.0,74.0,41.0,73.0,57.0,129.0,155.0,38.0
3288,5.0,2.0,54.0,19.0,14.0,150.0,0.0,22.0,35.0,31.0,61.0,18.0,17.0,51.0,25.0,37.0,86.0,67.0,147.0,27.0,6.0,72.0,30.0,77.0,63.0,75.0,1.0,10.0,16.0,20.0
3337,17.0,74.0,20.0,2.0,21.0,33.0,1.0,34.0,121.0,5.0,50.0,49.0,59.0,22.0,7.0,69.0,29.0,0.0,149.0,48.0,10.0,57.0,40.0,47.0,80.0,92.0,158.0,72.0,153.0,60.0
3386,4.0,1.0,13.0,16.0,55.0,29.0,0.0,20.0,14.0,17.0,12.0,5.0,123.0,89.0,11.0,43.0,59.0,137.0,92.0,36.0,109.0,35.0,76.0,62.0,66.0,39.0,156.0,32.0,23.0,64.0
3435,5.0,0.0,9.0,6.0,16.0,10.0,7.0,2.0,11.0,48.0,53.0,19.0,42.0,29.0,1.0,61.0,57.0,89.0,64.0,55.0,20.0,160.0,144.0,17.0,34.0,92.0,78.0,62.0,158.0,56.0
3484,13.0,6.0,1.0,4.0,56.0,34.0,76.0,51.0,100.0,23.0,10.0,20.0,146.0,32.0,40.0,27.0,39.0,12.0,129.0,87.0,54.0,84.0,31.0,21.0,58.0,43.0,29.0,26.0,45.0,36.0
3533,3.0,1.0,10.0,4.0,5.0,2.0,29.0,14.0,9.0,35.0,31.0,74.0,22.0,52.0,69.0,28.0,133.0,70.0,32.0,47.0,17.0,26.0,40.0,15.0,57.0,33.0,38.0,82.0,45.0,62.0
3582,8.0,3.0,5.0,25.0,36.0,13.0,60.0,17.0,10.0,33.0,32.0,47.0,101.0,56.0,42.0,23.0,38.0,124.0,85.0,39.0,91.0,57.0,138.0,15.0,6.0,12.0,26.0,107.0,70.0,21.0
3631,2.0,12.0,1.0,16.0,11.0,38.0,63.0,4.0,34.0,153.0,86.0,13.0,10.0,76.0,24.0,45.0,28.0,137.0,37.0,66.0,15.0,44.0,161.0,32.0,69.0,47.0,80.0,94.0,163.0,77.0
3680,2.0,25.0,3.0,11.0,63.0,7.0,16.0,61.0,33.0,34.0,8.0,12.0,14.0,22.0,108.0,35.0,123.0,72.0,64.0,82.0,68.0,58.0,106.0,30.0,38.0,43.0,155.0,47.0,65.0,9.0
3729,6.0,8.0,0.0,24.0,60.0,16.0,15.0,20.0,7.0,34.0,22.0,55.0,11.0,18.0,84.0,43.0,10.0,2.0,21.0,28.0,114.0,23.0,139.0,40.0,1.0,72.0,29.0,50.0,132.0,69.0
3778,4.0,13.0,10.0,26.0,2.0,29.0,33.0,6.0,130.0,14.0,35.0,63.0,129.0,45.0,160.0,83.0,49.0,80.0,18.0,22.0,1.0,24.0,15.0,47.0,56.0,57.0,156.0,85.0,28.0,20.0
3827,3.0,0.0,4.0,22.0,14.0,17.0,29.0,2.0,16.0,5.0,51.0,40.0,9.0,96.0,15.0,81.0,69.0,135.0,85.0,33.0,31.0,20.0,64.0,30.0,23.0,28.0,155.0,87.0,148.0,79.0
3876,4.0,2.0,9.0,13.0,0.0,3.0,93.0,25.0,11.0,10.0,12.0,102.0,126.0,44.0,84.0,38.0,49.0,17.0,46.0,70.0,72.0,66.0,141.0,23.0,33.0,20.0,35.0,24.0,88.0,22.0
3925,1.0,118.0,9.0,114.0,7.0,3.0,2.0,73.0,0.0,60.0,56.0,116.0,33.0,38.0,135.0,23.0,113.0,89.0,85.0,70.0,11.0,17.0,80.0,65.0,76.0,47.0,8.0,6.0,77.0,43.0
3974,4.0,62.0,7.0,113.0,24.0,1.0,37.0,9.0,2.0,10.0,78.0,39.0,75.0,50.0,134.0,22.0,14.0,34.0,21.0,76.0,16.0,13.0,85.0,65.0,12.0,52.0,3.0,42.0,5.0,33.0
4023,14.0,25.0,16.0,13.0,12.0,137.0,4.0,43.0,0.0,23.0,29.0,82.0,1.0,17.0,19.0,56.0,87.0,45.0,46.0,34.0,10.0,30.0,18.0,50.0,39.0,38.0,5.0,21.0,32.0,7.0
4072,25.0,36.0,1.0,5.0,40.0,19.0,22.0,13.0,3.0,7.0,20.0,68.0,9.0,30.0,32.0,47.0,46.0,4.0,44.0,38.0,122.0,62.0,72.0,51.0,66.0,58.0,26.0,21.0,133.0,90.0
4121,2.0,28.0,4.0,15.0,8.0,10.0,32.0,46.0,25.0,14.0,29.0,78.0,47.0,60.0,145.0,17.0,74.0,128.0,79.0,95.0,22.0,57.0,68.0,49.0,34.0,35.0,0.0,80.0,41.0,88.0
4170,1.0,16.0,9.0,14.0,12.0,7.0,15.0,46.0,6.0,37.0,44.0,94.0,130.0,25.0,31.0,36.0,123.0,121.0,10.0,64.0,17.0,23.0,95.0,62.0,125.0,43.0,8.0,27.0,4.0,76.0
4219,3.0,70.0,2.0,0.0,51.0,30.0,36.0,27.0,111.0,18.0,8.0,12.0,16.0,5.0,131.0,46.0,86.0,42.0,32.0,83.0,24.0,28.0,23.0,53.0,57.0,64.0,29.0,4.0,25.0,59.0
4268,3.0,19.0,9.0,7.0,16.0,24.0,69.0,78.0,21.0,25.0,30.0,5.0,1.0,11.0,68.0,27.0,36.0,29.0,89.0,58.0,35.0,10.0,80.0,49.0,63.0,57.0,22.0,39.0,87.0,66.0
4317,2.0,87.0,7.0,121.0,26.0,4.0,78.0,37.0,11.0,95.0,126.0,116.0,13.0,16.0,52.0,39.0,129.0,28.0,19.0,54.0,33.0,29.0,85.0,48.0,89.0,50.0,15.0,44.0,9.0,72.0
4366,11.0,133.0,25.0,15.0,73.0,7.0,2.0,39.0,0.0,47.0,6.0,104.0,125.0,36.0,26.0,44.0,49.0,138.0,70.0,59.0,112.0,67.0,95.0,33.0,28.0,29.0,99.0,89.0,74.0,58.0
4415,1.0,2.0,16.0,19.0,83.0,39.0,5.0,12.0,9.0,11.0,27.0,117.0,129.0,7.0,52.0,50.0,3.0,17.0,64.0,58.0,6.0,46.0,28.0,62.0,70.0,82.0,43.0,48.0,37.0,30.0
4464,23.0,9.0,0.0,12.0,26.0,37.0,88.0,17.0,5.0,46.0,110.0,32.0,7.0,33.0,59.0,91.0,38.0,128.0,73.0,57.0,54.0,80.0,107.0,62.0,58.0,95.0,20.0,13.0,68.0,24.0
4513,9.0,10.0,32.0,20.0,42.0,24.0,0.0,34.0,7.0,59.0,65.0,52.0,21.0,92.0,5.0,29.0,4.0,45.0,17.0,47.0,53.0,98.0,19.0,54.0,6.0,51.0,2.0,33.0,22.0,41.0
4562,3.0,4.0,17.0,31.0,32.0,41.0,33.0,11.0,15.0,12.0,24.0,20.0,19.0,0.0,13.0,26.0,2.0,137.0,61.0,63.0,62.0,35.0,51.0,82.0,21.0,90.0,83.0,89.0,75.0,96.0
4611,3.0,2.0,8.0,5.0,19.0,1.0,9.0,17.0,75.0,128.0,108.0,79.0,56.0,85.0,37.0,31.0,4.0,6.0,54.0,55.0,68.0,21.0,27.0,46.0,10.0,52.0,93.0,92.0,129.0,124.0
4660,2.0,3.0,5.0,48.0,28.0,8.0,0.0,31.0,11.0,26.0,107.0,9.0,12.0,72.0,49.0,45.0,19.0,33.0,14.0,40.0,113.0,136.0,156.0,46.0,27.0,32.0,7.0,65.0,24.0,50.0
4709,0.0,4.0,25.0,18.0,51.0,49.0,1.0,17.0,53.0,30.0,116.0,19.0,28.0,88.0,13.0,48.0,8.0,118.0,90.0,44.0,23.0,16.0,149.0,43.0,69.0,52.0,47.0,120.0,136.0,50.0
4758,2.0,4.0,18.0,9.0,21.0,38.0,0.0,43.0,17.0,77.0,113.0,7.0,161.0,29.0,105.0,48.0,3.0,22.0,12.0,74.0,27.0,13.0,47.0,71.0,1.0,79.0,28.0,15.0,26.0,5.0
4807,0.0,3.0,4.0,89.0,50.0,20.0,17.0,45.0,123.0,44.0,111.0,1.0,54.0,16.0,47.0,60.0,2.0,9.0,34.0,58.0,28.0,32.0,26.0,49.0,29.0,39.0,69.0,128.0,151.0,86.0
4856,0.0,6.0,51.0,32.0,25.0,3.0,67.0,106.0,133.0,157.0,46.0,59.0,7.0,8.0,17.0,43.0,1.0,45.0,21.0,26.0,10.0,4.0,69.0,47.0,82.0,41.0,15.0,71.0,19.0,66.0
