,CD49b,Caspase-7_cleavedD198,Transglutaminase,VEGFR2,C-Raf_pS338,p90RSK_pT359_S363,GSK-3-BETA,Akt_pS473,AR,Cyclin_D1,Acetyl-a-Tubulin (Lys40),4E-BP1,MIG-6,Src,AMPK_pT172,MEK1_pS217_S221,eEF2,PREX1,AMPK_alpha,IRS1,STAT5-alpha,Porin,BRCA2,ACC1,Bcl-2,TTF1,Chk1_pS345,Cyclin_B1,Beclin,GATA3
1279,18.0,14.0,19.0,2.0,40.0,17.0,9.0,12.0,42.0,105.0,33.0,140.0,41.0,131.0,26.0,44.0,84.0,0.0,130.0,15.0,81.0,101.0,74.0,50.0,144.0,46.0,7.0,145.0,59.0,45.0
1328,10.0,48.0,18.0,55.0,41.0,24.0,45.0,93.0,28.0,124.0,33.0,130.0,25.0,43.0,70.0,163.0,30.0,156.0,42.0,88.0,74.0,69.0,99.0,57.0,58.0,34.0,164.0,97.0,85.0,121.0
1377,32.0,25.0,17.0,3.0,49.0,21.0,28.0,16.0,26.0,11.0,76.0,80.0,15.0,8.0,125.0,5.0,69.0,152.0,39.0,93.0,54.0,46.0,1.0,59.0,161.0,19.0,58.0,9.0,60.0,102.0
1426,26.0,20.0,15.0,9.0,28.0,25.0,79.0,24.0,46.0,67.0,21.0,2.0,38.0,32.0,123.0,87.0,41.0,8.0,66.0,39.0,44.0,42.0,40.0,6.0,29.0,31.0,117.0,142.0,160.0,51.0
1475,25.0,11.0,71.0,10.0,7.0,67.0,20.0,74.0,16.0,46.0,34.0,91.0,151.0,21.0,32.0,43.0,58.0,37.0,38.0,132.0,27.0,49.0,133.0,61.0,6.0,90.0,50.0,51.0,35.0,110.0
1524,14.0,19.0,69.0,15.0,58.0,22.0,24.0,96.0,13.0,157.0,67.0,10.0,94.0,32.0,4.0,140.0,53.0,6.0,35.0,107.0,34.0,89.0,125.0,23.0,132.0,79.0,20.0,74.0,40.0,62.0
1573,21.0,13.0,34.0,2.0,37.0,40.0,118.0,104.0,51.0,31.0,20.0,41.0,47.0,0.0,137.0,16.0,83.0,14.0,82.0,49.0,63.0,69.0,156.0,97.0,150.0,50.0,110.0,80.0,75.0,43.0
1622,17.0,14.0,20.0,44.0,71.0,23.0,43.0,12.0,26.0,18.0,31.0,30.0,64.0,45.0,129.0,40.0,70.0,83.0,63.0,32.0,39.0,96.0,149.0,55.0,160.0,81.0,11.0,28.0,5.0,6.0
1671,21.0,14.0,23.0,8.0,51.0,28.0,1.0,62.0,17.0,18.0,36.0,30.0,25.0,16.0,125.0,120.0,66.0,9.0,53.0,111.0,27.0,33.0,152.0,131.0,40.0,7.0,89.0,68.0,101.0,90.0
1720,41.0,11.0,10.0,20.0,24.0,13.0,70.0,1.0,42.0,56.0,141.0,34.0,46.0,33.0,137.0,27.0,81.0,4.0,6.0,105.0,53.0,57.0,45.0,72.0,76.0,17.0,128.0,58.0,69.0,62.0
1769,2.0,36.0,24.0,0.0,11.0,82.0,17.0,40.0,30.0,21.0,20.0,14.0,123.0,9.0,136.0,25.0,59.0,70.0,104.0,120.0,6.0,57.0,29.0,107.0,78.0,10.0,28.0,71.0,50.0,110.0
1818,6.0,14.0,33.0,25.0,20.0,28.0,63.0,47.0,38.0,32.0,21.0,133.0,61.0,70.0,24.0,17.0,45.0,12.0,96.0,35.0,40.0,68.0,50.0,95.0,4.0,30.0,108.0,73.0,72.0,88.0
1867,42.0,8.0,23.0,9.0,68.0,32.0,7.0,139.0,34.0,89.0,25.0,135.0,1.0,15.0,110.0,18.0,76.0,53.0,78.0,82.0,37.0,52.0,16.0,35.0,148.0,106.0,112.0,17.0,36.0,57.0
1916,17.0,8.0,18.0,22.0,14.0,31.0,7.0,47.0,122.0,2.0,25.0,24.0,86.0,90.0,144.0,5.0,55.0,32.0,20.0,87.0,38.0,29.0,49.0,33.0,0.0,27.0,36.0,133.0,42.0,75.0
1965,15.0,11.0,48.0,59.0,13.0,18.0,21.0,17.0,55.0,3.0,69.0,42.0,65.0,51.0,2.0,60.0,37.0,8.0,35.0,25.0,64.0,83.0,102.0,104.0,31.0,46.0,127.0,53.0,28.0,58.0
2014,7.0,14.0,40.0,23.0,6.0,83.0,101.0,25.0,157.0,145.0,10.0,126.0,35.0,41.0,0.0,119.0,39.0,94.0,58.0,24.0,37.0,64.0,63.0,65.0,154.0,48.0,33.0,29.0,32.0,50.0
2063,8.0,9.0,38.0,19.0,43.0,77.0,12.0,85.0,152.0,2.0,32.0,73.0,29.0,53.0,22.0,59.0,28.0,160.0,36.0,51.0,55.0,54.0,3.0,106.0,60.0,72.0,150.0,62.0,101.0,31.0
2112,11.0,5.0,19.0,129.0,21.0,14.0,6.0,15.0,7.0,4.0,28.0,131.0,153.0,51.0,22.0,8.0,56.0,157.0,61.0,33.0,38.0,57.0,77.0,85.0,3.0,44.0,94.0,36.0,20.0,105.0
2161,38.0,23.0,7.0,24.0,49.0,30.0,5.0,13.0,72.0,2.0,43.0,1.0,47.0,14.0,21.0,45.0,25.0,155.0,55.0,70.0,67.0,48.0,99.0,78.0,28.0,69.0,118.0,52.0,57.0,75.0
2210,12.0,21.0,20.0,2.0,14.0,78.0,15.0,26.0,87.0,75.0,30.0,25.0,39.0,40.0,41.0,95.0,37.0,76.0,47.0,144.0,64.0,61.0,106.0,13.0,83.0,66.0,90.0,60.0,43.0,46.0
2259,40.0,22.0,86.0,45.0,28.0,15.0,65.0,12.0,21.0,59.0,42.0,41.0,112.0,33.0,46.0,103.0,81.0,23.0,37.0,144.0,44.0,62.0,26.0,36.0,71.0,78.0,58.0,49.0,68.0,95.0
2308,40.0,8.0,31.0,10.0,42.0,2.0,43.0,30.0,83.0,144.0,29.0,44.0,55.0,18.0,4.0,156.0,69.0,14.0,20.0,50.0,39.0,60.0,15.0,105.0,136.0,45.0,143.0,28.0,67.0,79.0
2357,15.0,14.0,20.0,26.0,7.0,27.0,25.0,17.0,43.0,162.0,61.0,29.0,75.0,16.0,50.0,3.0,62.0,149.0,41.0,33.0,83.0,65.0,4.0,64.0,19.0,122.0,124.0,59.0,58.0,47.0
2406,11.0,15.0,20.0,90.0,75.0,47.0,10.0,72.0,153.0,49.0,66.0,67.0,132.0,94.0,21.0,25.0,88.0,125.0,14.0,108.0,30.0,33.0,36.0,19.0,3.0,53.0,134.0,6.0,74.0,18.0
2455,19.0,53.0,42.0,30.0,26.0,60.0,14.0,69.0,155.0,93.0,17.0,137.0,71.0,125.0,57.0,129.0,45.0,147.0,49.0,85.0,31.0,46.0,44.0,96.0,39.0,47.0,91.0,65.0,97.0,51.0
2504,18.0,28.0,57.0,104.0,29.0,24.0,110.0,2.0,97.0,13.0,21.0,27.0,49.0,62.0,4.0,37.0,53.0,148.0,39.0,40.0,65.0,67.0,140.0,83.0,134.0,41.0,6.0,128.0,70.0,50.0
2553,12.0,38.0,46.0,62.0,57.0,29.0,15.0,19.0,7.0,36.0,101.0,79.0,141.0,64.0,45.0,61.0,90.0,160.0,48.0,28.0,39.0,25.0,10.0,134.0,104.0,51.0,150.0,47.0,111.0,110.0
2602,5.0,32.0,42.0,52.0,81.0,14.0,97.0,103.0,36.0,4.0,30.0,0.0,153.0,113.0,135.0,155.0,85.0,148.0,66.0,68.0,60.0,90.0,51.0,91.0,12.0,69.0,83.0,124.0,49.0,77.0
2651,21.0,24.0,20.0,18.0,40.0,42.0,33.0,27.0,81.0,3.0,11.0,25.0,147.0,139.0,1.0,89.0,41.0,159.0,35.0,34.0,15.0,77.0,150.0,23.0,4.0,92.0,94.0,36.0,105.0,22.0
2700,23.0,42.0,12.0,62.0,10.0,48.0,7.0,66.0,37.0,78.0,58.0,81.0,25.0,14.0,6.0,40.0,107.0,36.0,11.0,19.0,63.0,22.0,27.0,5.0,44.0,16.0,162.0,2.0,54.0,28.0
2749,16.0,41.0,13.0,90.0,15.0,43.0,29.0,59.0,30.0,20.0,5.0,26.0,48.0,111.0,147.0,18.0,61.0,154.0,46.0,89.0,110.0,79.0,159.0,4.0,31.0,55.0,134.0,6.0,112.0,51.0
2798,16.0,45.0,67.0,90.0,20.0,33.0,160.0,38.0,153.0,31.0,63.0,74.0,99.0,59.0,19.0,25.0,42.0,8.0,26.0,53.0,75.0,62.0,60.0,24.0,6.0,121.0,132.0,123.0,72.0,21.0
2847,15.0,58.0,76.0,87.0,33.0,53.0,42.0,57.0,137.0,77.0,24.0,10.0,13.0,48.0,140.0,83.0,68.0,74.0,20.0,92.0,80.0,17.0,34.0,66.0,109.0,72.0,128.0,126.0,25.0,27.0
2896,26.0,57.0,6.0,10.0,40.0,61.0,81.0,38.0,83.0,4.0,39.0,33.0,71.0,91.0,0.0,142.0,18.0,152.0,49.0,28.0,47.0,34.0,158.0,90.0,80.0,63.0,27.0,21.0,56.0,55.0
2945,10.0,11.0,38.0,132.0,17.0,14.0,83.0,109.0,138.0,39.0,48.0,5.0,27.0,25.0,16.0,64.0,58.0,50.0,67.0,32.0,78.0,91.0,56.0,51.0,42.0,131.0,68.0,54.0,71.0,63.0
2994,22.0,20.0,54.0,133.0,53.0,16.0,151.0,13.0,77.0,10.0,89.0,38.0,36.0,72.0,24.0,71.0,86.0,3.0,65.0,21.0,107.0,93.0,40.0,90.0,88.0,98.0,11.0,135.0,18.0,152.0
3043,23.0,10.0,56.0,145.0,32.0,27.0,117.0,106.0,25.0,75.0,42.0,15.0,34.0,148.0,3.0,86.0,44.0,43.0,83.0,74.0,111.0,100.0,54.0,62.0,57.0,77.0,36.0,37.0,162.0,76.0
3092,10.0,4.0,111.0,18.0,16.0,14.0,148.0,7.0,65.0,44.0,55.0,83.0,121.0,101.0,28.0,74.0,46.0,5.0,43.0,93.0,72.0,105.0,91.0,77.0,38.0,95.0,41.0,42.0,113.0,163.0
3141,19.0,9.0,16.0,94.0,25.0,27.0,86.0,28.0,52.0,61.0,58.0,68.0,88.0,11.0,43.0,163.0,23.0,39.0,69.0,157.0,33.0,100.0,132.0,93.0,121.0,44.0,29.0,67.0,20.0,26.0
3190,27.0,16.0,18.0,0.0,101.0,34.0,49.0,86.0,3.0,21.0,28.0,6.0,72.0,46.0,133.0,78.0,43.0,84.0,58.0,102.0,76.0,65.0,145.0,124.0,63.0,31.0,98.0,47.0,8.0,69.0
3239,23.0,6.0,70.0,14.0,21.0,10.0,106.0,64.0,37.0,20.0,121.0,93.0,79.0,109.0,67.0,31.0,26.0,19.0,24.0,1.0,44.0,60.0,16.0,88.0,39.0,85.0,22.0,57.0,27.0,8.0
3288,31.0,5.0,21.0,1.0,24.0,97.0,18.0,17.0,30.0,46.0,58.0,82.0,29.0,70.0,9.0,40.0,47.0,19.0,69.0,102.0,81.0,75.0,152.0,83.0,3.0,13.0,44.0,139.0,16.0,119.0
3337,26.0,14.0,30.0,62.0,23.0,59.0,54.0,43.0,41.0,17.0,44.0,32.0,36.0,34.0,0.0,33.0,47.0,45.0,22.0,35.0,105.0,79.0,80.0,25.0,46.0,56.0,10.0,57.0,90.0,116.0
3386,30.0,12.0,21.0,101.0,25.0,76.0,80.0,17.0,4.0,13.0,20.0,16.0,27.0,87.0,62.0,28.0,24.0,33.0,67.0,82.0,32.0,44.0,163.0,22.0,54.0,49.0,83.0,14.0,23.0,93.0
3435,1.0,26.0,40.0,15.0,22.0,41.0,23.0,108.0,24.0,110.0,8.0,73.0,11.0,66.0,137.0,3.0,92.0,103.0,7.0,147.0,89.0,55.0,112.0,10.0,4.0,115.0,124.0,35.0,90.0,107.0
3484,7.0,48.0,91.0,128.0,12.0,90.0,51.0,68.0,29.0,143.0,24.0,43.0,22.0,30.0,14.0,74.0,40.0,103.0,46.0,36.0,62.0,76.0,42.0,27.0,135.0,116.0,41.0,8.0,82.0,101.0
3533,16.0,17.0,35.0,64.0,15.0,68.0,0.0,36.0,6.0,133.0,77.0,40.0,9.0,125.0,18.0,62.0,44.0,29.0,73.0,61.0,86.0,42.0,33.0,48.0,51.0,30.0,22.0,108.0,71.0,109.0
3582,15.0,14.0,31.0,6.0,64.0,77.0,21.0,94.0,28.0,155.0,72.0,50.0,29.0,35.0,126.0,59.0,108.0,151.0,41.0,43.0,80.0,44.0,9.0,32.0,19.0,103.0,107.0,16.0,56.0,62.0
3631,10.0,29.0,35.0,34.0,28.0,32.0,6.0,22.0,48.0,66.0,122.0,18.0,46.0,24.0,159.0,75.0,38.0,163.0,12.0,60.0,39.0,62.0,58.0,5.0,90.0,41.0,61.0,2.0,74.0,91.0
3680,2.0,15.0,13.0,62.0,14.0,113.0,104.0,60.0,87.0,59.0,11.0,56.0,73.0,12.0,82.0,37.0,45.0,3.0,75.0,100.0,24.0,69.0,55.0,40.0,120.0,44.0,63.0,25.0,38.0,103.0
3729,7.0,40.0,33.0,76.0,28.0,31.0,21.0,74.0,24.0,36.0,47.0,43.0,23.0,30.0,12.0,58.0,73.0,18.0,60.0,158.0,39.0,26.0,115.0,44.0,10.0,68.0,56.0,32.0,17.0,90.0
3778,11.0,28.0,14.0,18.0,34.0,25.0,1.0,21.0,22.0,12.0,132.0,5.0,3.0,52.0,137.0,147.0,51.0,93.0,24.0,36.0,81.0,62.0,6.0,37.0,155.0,50.0,74.0,8.0,44.0,104.0
3827,10.0,30.0,44.0,37.0,45.0,58.0,15.0,61.0,35.0,68.0,64.0,4.0,32.0,119.0,42.0,67.0,159.0,14.0,39.0,53.0,59.0,51.0,57.0,8.0,132.0,108.0,128.0,2.0,49.0,152.0
3876,10.0,28.0,23.0,6.0,29.0,157.0,67.0,102.0,72.0,94.0,16.0,44.0,2.0,97.0,137.0,118.0,107.0,134.0,54.0,38.0,52.0,93.0,57.0,113.0,63.0,32.0,17.0,14.0,53.0,24.0
3925,36.0,2.0,51.0,6.0,26.0,31.0,106.0,21.0,32.0,10.0,33.0,39.0,27.0,3.0,4.0,67.0,22.0,0.0,59.0,44.0,96.0,40.0,42.0,57.0,56.0,105.0,30.0,70.0,52.0,122.0
3974,29.0,30.0,27.0,131.0,50.0,31.0,94.0,17.0,44.0,19.0,59.0,57.0,49.0,24.0,63.0,13.0,23.0,21.0,22.0,3.0,48.0,25.0,28.0,43.0,123.0,130.0,20.0,10.0,80.0,56.0
4023,12.0,7.0,133.0,2.0,41.0,22.0,30.0,103.0,28.0,4.0,17.0,16.0,102.0,18.0,15.0,65.0,45.0,5.0,24.0,21.0,57.0,33.0,126.0,54.0,134.0,74.0,19.0,111.0,23.0,46.0
4072,31.0,17.0,136.0,1.0,32.0,54.0,117.0,16.0,25.0,19.0,52.0,103.0,12.0,111.0,131.0,147.0,70.0,99.0,81.0,3.0,45.0,47.0,35.0,121.0,0.0,108.0,49.0,109.0,89.0,65.0
4121,6.0,15.0,34.0,2.0,64.0,30.0,118.0,41.0,45.0,60.0,55.0,54.0,32.0,24.0,37.0,53.0,51.0,81.0,61.0,47.0,92.0,43.0,16.0,57.0,33.0,93.0,25.0,46.0,35.0,113.0
4170,10.0,5.0,91.0,7.0,26.0,40.0,142.0,49.0,12.0,148.0,20.0,121.0,21.0,3.0,128.0,62.0,87.0,8.0,27.0,69.0,19.0,66.0,120.0,111.0,14.0,79.0,15.0,46.0,11.0,37.0
4219,23.0,19.0,59.0,134.0,16.0,15.0,43.0,48.0,40.0,92.0,66.0,17.0,21.0,31.0,0.0,150.0,47.0,10.0,36.0,77.0,82.0,29.0,41.0,63.0,125.0,68.0,37.0,26.0,14.0,84.0
4268,26.0,6.0,43.0,12.0,109.0,44.0,47.0,49.0,54.0,0.0,20.0,134.0,59.0,17.0,23.0,151.0,60.0,16.0,37.0,29.0,98.0,45.0,97.0,72.0,100.0,53.0,31.0,15.0,13.0,38.0
4317,13.0,10.0,51.0,4.0,22.0,32.0,35.0,27.0,41.0,31.0,90.0,50.0,37.0,7.0,44.0,40.0,26.0,2.0,93.0,39.0,42.0,55.0,95.0,105.0,15.0,43.0,0.0,62.0,23.0,116.0
4366,11.0,13.0,22.0,69.0,80.0,27.0,21.0,53.0,18.0,67.0,121.0,35.0,81.0,4.0,19.0,9.0,89.0,98.0,36.0,102.0,82.0,23.0,130.0,95.0,48.0,76.0,55.0,155.0,78.0,28.0
4415,24.0,93.0,45.0,18.0,29.0,69.0,12.0,101.0,139.0,34.0,32.0,67.0,158.0,94.0,80.0,14.0,50.0,39.0,13.0,95.0,9.0,7.0,113.0,78.0,109.0,37.0,88.0,117.0,56.0,25.0
4464,14.0,0.0,7.0,6.0,48.0,29.0,107.0,35.0,76.0,16.0,55.0,65.0,11.0,122.0,127.0,18.0,30.0,72.0,24.0,45.0,60.0,69.0,9.0,142.0,34.0,13.0,4.0,160.0,31.0,62.0
4513,12.0,21.0,14.0,2.0,34.0,48.0,76.0,24.0,20.0,8.0,16.0,13.0,156.0,9.0,33.0,3.0,53.0,149.0,42.0,83.0,22.0,90.0,6.0,37.0,136.0,59.0,35.0,144.0,46.0,160.0
4562,24.0,90.0,6.0,56.0,15.0,38.0,69.0,35.0,135.0,20.0,13.0,132.0,75.0,86.0,5.0,47.0,32.0,26.0,18.0,50.0,51.0,25.0,139.0,1.0,4.0,113.0,64.0,119.0,62.0,46.0
4611,5.0,24.0,3.0,26.0,97.0,56.0,113.0,25.0,132.0,50.0,17.0,84.0,53.0,73.0,7.0,62.0,41.0,161.0,10.0,63.0,52.0,36.0,11.0,133.0,122.0,93.0,0.0,118.0,12.0,61.0
4660,8.0,12.0,9.0,1.0,47.0,99.0,81.0,87.0,48.0,14.0,58.0,125.0,10.0,62.0,3.0,151.0,50.0,63.0,53.0,39.0,36.0,75.0,44.0,51.0,136.0,117.0,43.0,95.0,85.0,31.0
4709,13.0,14.0,6.0,34.0,59.0,32.0,45.0,41.0,136.0,23.0,19.0,28.0,15.0,57.0,26.0,25.0,46.0,63.0,21.0,42.0,87.0,69.0,24.0,4.0,131.0,88.0,20.0,60.0,50.0,44.0
4758,29.0,8.0,33.0,4.0,24.0,65.0,31.0,54.0,134.0,9.0,62.0,71.0,103.0,64.0,56.0,5.0,80.0,158.0,3.0,18.0,40.0,45.0,52.0,67.0,25.0,90.0,159.0,114.0,43.0,19.0
4807,26.0,15.0,21.0,6.0,31.0,28.0,120.0,38.0,46.0,5.0,74.0,129.0,11.0,56.0,91.0,66.0,75.0,76.0,20.0,77.0,44.0,48.0,34.0,33.0,8.0,135.0,157.0,88.0,65.0,68.0
4856,25.0,22.0,4.0,29.0,51.0,31.0,54.0,21.0,69.0,45.0,10.0,67.0,76.0,5.0,24.0,58.0,66.0,3.0,74.0,65.0,47.0,50.0,13.0,55.0,137.0,23.0,20.0,57.0,102.0,72.0
