,HAEMATOPOIETIC,LUNG,LARGE_INTESTINE,BREAST,SKIN,OVARY,STOMACH,NERVOUS,URINARY,PANCREAS,SOFT_TISSUE,OESOPHAGUS,AERODIGESTIVE,GANGLIA,BONE,KIDNEY,ENDOMETRIUM,PLEURA,PROSTATE,LIVER,SALIVARY,THYROID,BILIARY
2645,9.0,14.0,2.0,4.0,0.0,6.0,1.0,7.0,8.0,5.0,11.0,10.0,16.0,15.0,12.0,20.0,3.0,13.0,17.0,21.0,18.0,19.0,22.0
2694,1.0,5.0,2.0,4.0,0.0,8.0,7.0,6.0,11.0,9.0,3.0,16.0,21.0,10.0,13.0,20.0,15.0,14.0,17.0,12.0,18.0,19.0,22.0
2743,6.0,2.0,0.0,1.0,7.0,5.0,11.0,4.0,3.0,9.0,8.0,12.0,15.0,13.0,17.0,20.0,10.0,21.0,16.0,14.0,18.0,19.0,22.0
2792,1.0,0.0,4.0,14.0,5.0,7.0,2.0,6.0,3.0,21.0,10.0,8.0,15.0,9.0,11.0,20.0,13.0,12.0,16.0,17.0,18.0,19.0,22.0
2841,2.0,3.0,12.0,1.0,6.0,7.0,0.0,10.0,16.0,8.0,11.0,5.0,20.0,9.0,14.0,19.0,4.0,15.0,17.0,13.0,21.0,18.0,22.0
2890,5.0,11.0,15.0,1.0,2.0,0.0,3.0,13.0,14.0,16.0,8.0,6.0,21.0,12.0,7.0,20.0,4.0,9.0,17.0,10.0,18.0,19.0,22.0
2939,1.0,4.0,3.0,10.0,2.0,7.0,0.0,6.0,5.0,12.0,9.0,8.0,14.0,11.0,16.0,19.0,20.0,13.0,15.0,17.0,18.0,21.0,22.0
2988,1.0,2.0,4.0,5.0,16.0,0.0,8.0,7.0,12.0,6.0,11.0,9.0,20.0,10.0,14.0,19.0,3.0,15.0,17.0,13.0,21.0,18.0,22.0
3037,2.0,1.0,0.0,9.0,6.0,5.0,10.0,4.0,19.0,8.0,7.0,3.0,12.0,15.0,13.0,11.0,14.0,20.0,16.0,17.0,21.0,18.0,22.0
3086,0.0,4.0,7.0,9.0,2.0,6.0,5.0,1.0,19.0,3.0,16.0,11.0,8.0,13.0,10.0,18.0,12.0,20.0,14.0,15.0,21.0,17.0,22.0
3135,1.0,2.0,11.0,7.0,15.0,0.0,14.0,10.0,19.0,8.0,6.0,12.0,5.0,16.0,4.0,9.0,3.0,13.0,17.0,20.0,21.0,18.0,22.0
3184,0.0,1.0,3.0,2.0,6.0,7.0,16.0,8.0,13.0,5.0,4.0,10.0,9.0,11.0,19.0,17.0,15.0,14.0,18.0,12.0,20.0,21.0,22.0
3233,0.0,12.0,1.0,9.0,6.0,5.0,2.0,4.0,16.0,3.0,18.0,14.0,7.0,13.0,8.0,15.0,10.0,11.0,19.0,17.0,21.0,20.0,22.0
3282,16.0,13.0,5.0,1.0,0.0,4.0,2.0,20.0,17.0,6.0,7.0,3.0,10.0,9.0,18.0,15.0,11.0,12.0,8.0,14.0,21.0,19.0,22.0
3331,7.0,2.0,5.0,0.0,6.0,8.0,15.0,1.0,14.0,20.0,10.0,17.0,9.0,11.0,4.0,16.0,3.0,13.0,18.0,12.0,21.0,19.0,22.0
3380,2.0,0.0,4.0,10.0,6.0,1.0,13.0,7.0,19.0,20.0,5.0,11.0,16.0,9.0,3.0,8.0,15.0,14.0,17.0,12.0,21.0,18.0,22.0
3429,8.0,17.0,1.0,2.0,0.0,6.0,7.0,11.0,16.0,4.0,3.0,10.0,5.0,12.0,14.0,9.0,20.0,15.0,18.0,13.0,21.0,19.0,22.0
3478,9.0,18.0,5.0,17.0,4.0,12.0,8.0,6.0,7.0,1.0,0.0,11.0,3.0,13.0,2.0,10.0,16.0,15.0,19.0,14.0,20.0,21.0,22.0
3527,4.0,0.0,20.0,1.0,5.0,2.0,16.0,7.0,6.0,9.0,10.0,3.0,17.0,11.0,13.0,8.0,15.0,14.0,18.0,12.0,19.0,21.0,22.0
3576,3.0,17.0,1.0,10.0,0.0,2.0,9.0,11.0,8.0,7.0,6.0,15.0,4.0,14.0,5.0,19.0,20.0,13.0,16.0,12.0,18.0,21.0,22.0
3625,5.0,11.0,9.0,2.0,1.0,0.0,15.0,4.0,3.0,12.0,8.0,14.0,17.0,13.0,7.0,19.0,6.0,10.0,18.0,16.0,20.0,21.0,22.0
3674,1.0,3.0,8.0,10.0,2.0,0.0,11.0,4.0,12.0,19.0,7.0,6.0,14.0,13.0,9.0,5.0,15.0,17.0,16.0,18.0,20.0,21.0,22.0
3723,0.0,1.0,18.0,16.0,4.0,8.0,17.0,10.0,7.0,2.0,6.0,9.0,11.0,12.0,14.0,5.0,3.0,15.0,19.0,13.0,20.0,21.0,22.0
3772,1.0,0.0,9.0,3.0,8.0,6.0,4.0,17.0,5.0,2.0,12.0,7.0,11.0,19.0,18.0,14.0,10.0,15.0,20.0,13.0,16.0,21.0,22.0
3821,0.0,1.0,2.0,3.0,4.0,8.0,7.0,5.0,6.0,9.0,12.0,11.0,20.0,13.0,15.0,10.0,18.0,16.0,17.0,14.0,19.0,21.0,22.0
3870,4.0,12.0,0.0,6.0,7.0,3.0,1.0,2.0,16.0,9.0,18.0,15.0,8.0,14.0,17.0,5.0,10.0,11.0,19.0,13.0,20.0,21.0,22.0
3919,6.0,18.0,2.0,1.0,3.0,5.0,0.0,15.0,4.0,13.0,8.0,14.0,12.0,16.0,11.0,7.0,9.0,10.0,17.0,20.0,19.0,21.0,22.0
3968,1.0,0.0,12.0,3.0,6.0,5.0,4.0,9.0,8.0,7.0,2.0,11.0,14.0,15.0,13.0,10.0,21.0,17.0,16.0,18.0,19.0,20.0,22.0
4017,0.0,18.0,1.0,7.0,2.0,6.0,3.0,5.0,4.0,8.0,13.0,14.0,12.0,16.0,11.0,15.0,9.0,10.0,17.0,21.0,19.0,20.0,22.0
4066,0.0,2.0,12.0,3.0,4.0,1.0,6.0,17.0,5.0,10.0,19.0,9.0,7.0,11.0,14.0,8.0,16.0,15.0,18.0,13.0,21.0,20.0,22.0
4115,2.0,15.0,1.0,10.0,0.0,7.0,6.0,3.0,5.0,4.0,11.0,9.0,13.0,16.0,12.0,8.0,14.0,21.0,17.0,18.0,19.0,20.0,22.0
4164,11.0,10.0,1.0,9.0,6.0,4.0,0.0,3.0,20.0,15.0,7.0,2.0,14.0,12.0,17.0,5.0,8.0,21.0,16.0,13.0,18.0,19.0,22.0
4213,7.0,2.0,4.0,1.0,6.0,0.0,9.0,11.0,8.0,10.0,5.0,16.0,20.0,12.0,18.0,15.0,3.0,14.0,17.0,13.0,19.0,21.0,22.0
4262,10.0,2.0,0.0,6.0,7.0,1.0,9.0,11.0,13.0,16.0,5.0,8.0,4.0,15.0,20.0,21.0,3.0,14.0,17.0,12.0,18.0,19.0,22.0
4311,5.0,11.0,0.0,2.0,14.0,16.0,17.0,1.0,4.0,6.0,13.0,3.0,8.0,12.0,10.0,15.0,7.0,9.0,21.0,19.0,20.0,18.0,22.0
4360,1.0,2.0,4.0,5.0,6.0,7.0,0.0,19.0,9.0,10.0,11.0,8.0,12.0,16.0,3.0,15.0,14.0,13.0,17.0,20.0,21.0,18.0,22.0
4409,6.0,3.0,11.0,2.0,8.0,5.0,0.0,1.0,4.0,10.0,9.0,14.0,13.0,15.0,12.0,7.0,21.0,17.0,16.0,18.0,19.0,20.0,22.0
4458,5.0,11.0,0.0,1.0,2.0,4.0,3.0,13.0,14.0,16.0,8.0,7.0,20.0,12.0,9.0,6.0,10.0,18.0,17.0,15.0,19.0,21.0,22.0
4507,0.0,12.0,9.0,1.0,2.0,6.0,3.0,5.0,4.0,15.0,8.0,13.0,10.0,16.0,11.0,14.0,7.0,21.0,17.0,18.0,19.0,20.0,22.0
4556,6.0,10.0,7.0,9.0,0.0,5.0,2.0,4.0,3.0,1.0,13.0,12.0,15.0,14.0,17.0,11.0,8.0,21.0,16.0,18.0,19.0,20.0,22.0
4605,6.0,12.0,1.0,8.0,2.0,5.0,3.0,4.0,15.0,0.0,7.0,13.0,17.0,16.0,11.0,14.0,9.0,10.0,18.0,21.0,19.0,20.0,22.0
4654,2.0,16.0,1.0,4.0,5.0,7.0,6.0,10.0,11.0,0.0,3.0,9.0,14.0,12.0,13.0,8.0,15.0,21.0,17.0,18.0,19.0,20.0,22.0
4703,1.0,2.0,5.0,10.0,7.0,0.0,8.0,13.0,14.0,9.0,6.0,16.0,3.0,12.0,4.0,11.0,15.0,20.0,17.0,18.0,21.0,19.0,22.0
4752,2.0,0.0,7.0,4.0,3.0,1.0,9.0,10.0,5.0,13.0,11.0,14.0,15.0,12.0,17.0,6.0,8.0,21.0,16.0,18.0,19.0,20.0,22.0
4801,1.0,11.0,4.0,14.0,5.0,3.0,20.0,0.0,2.0,8.0,6.0,15.0,7.0,12.0,9.0,19.0,10.0,13.0,16.0,21.0,17.0,18.0,22.0
4850,4.0,19.0,18.0,6.0,7.0,3.0,2.0,0.0,16.0,9.0,1.0,13.0,14.0,10.0,8.0,5.0,21.0,11.0,12.0,17.0,20.0,15.0,22.0
4899,6.0,0.0,1.0,2.0,7.0,20.0,3.0,5.0,4.0,12.0,8.0,11.0,9.0,14.0,10.0,19.0,13.0,21.0,15.0,16.0,17.0,18.0,22.0
