,Porin,C-Raf_pS338,Caspase-7_cleavedD198,Beclin,STAT5-alpha,IRS1,Claudin-7,Cyclin_E2,Acetyl-a-Tubulin (Lys40),CD49b,p90RSK_pT359_S363,P-Cadherin,Bap1 c-4,GATA3,ETS-1,Bcl-2,C-Raf(BD610151),Rb_pS807_S811,PI3K-p110-alpha,GSK-3-BETA,Src_pY416,FRA1,HSP70,CD31,G6PD,PRDX1,IGFBP2,VHL,N-Cadherin,PAI-1
492,4.0,1.0,5.0,3.0,2.0,0.0,18.0,23.0,11.0,7.0,16.0,15.0,47.0,6.0,24.0,8.0,30.0,20.0,10.0,19.0,9.0,13.0,33.0,14.0,56.0,17.0,12.0,37.0,21.0,65.0
541,3.0,7.0,1.0,4.0,9.0,0.0,12.0,29.0,17.0,5.0,19.0,15.0,30.0,2.0,14.0,10.0,54.0,33.0,6.0,18.0,40.0,25.0,20.0,44.0,27.0,16.0,28.0,74.0,11.0,51.0
590,1.0,2.0,6.0,4.0,5.0,0.0,11.0,16.0,10.0,7.0,19.0,17.0,14.0,3.0,8.0,18.0,43.0,41.0,13.0,20.0,22.0,27.0,25.0,21.0,15.0,44.0,33.0,9.0,38.0,26.0
639,2.0,6.0,1.0,10.0,4.0,0.0,19.0,8.0,47.0,5.0,15.0,12.0,17.0,3.0,30.0,7.0,45.0,57.0,9.0,37.0,25.0,13.0,21.0,11.0,29.0,85.0,16.0,22.0,18.0,42.0
688,2.0,6.0,5.0,7.0,4.0,0.0,9.0,14.0,12.0,8.0,16.0,18.0,26.0,3.0,24.0,30.0,43.0,55.0,1.0,29.0,28.0,25.0,31.0,17.0,27.0,10.0,11.0,65.0,23.0,15.0
737,1.0,15.0,3.0,5.0,2.0,0.0,14.0,8.0,6.0,16.0,18.0,30.0,13.0,4.0,7.0,9.0,66.0,31.0,11.0,12.0,36.0,25.0,32.0,28.0,17.0,21.0,23.0,41.0,38.0,63.0
786,1.0,2.0,3.0,4.0,8.0,0.0,15.0,5.0,23.0,7.0,43.0,10.0,18.0,9.0,6.0,11.0,46.0,66.0,21.0,33.0,25.0,16.0,32.0,37.0,79.0,13.0,28.0,50.0,36.0,12.0
835,1.0,4.0,2.0,5.0,7.0,0.0,15.0,16.0,29.0,8.0,11.0,18.0,65.0,3.0,13.0,6.0,60.0,43.0,12.0,17.0,23.0,10.0,14.0,27.0,47.0,19.0,50.0,30.0,9.0,46.0
884,0.0,2.0,4.0,5.0,9.0,1.0,14.0,8.0,31.0,13.0,7.0,3.0,17.0,6.0,10.0,33.0,26.0,19.0,12.0,16.0,20.0,24.0,40.0,22.0,11.0,41.0,34.0,35.0,32.0,21.0
933,2.0,3.0,8.0,1.0,22.0,0.0,5.0,23.0,4.0,11.0,9.0,10.0,18.0,6.0,13.0,24.0,25.0,36.0,12.0,17.0,15.0,16.0,44.0,30.0,59.0,14.0,7.0,66.0,68.0,39.0
982,0.0,1.0,2.0,6.0,8.0,15.0,19.0,9.0,12.0,26.0,3.0,30.0,7.0,4.0,40.0,82.0,37.0,5.0,27.0,21.0,18.0,42.0,14.0,17.0,13.0,33.0,16.0,25.0,28.0,31.0
1031,0.0,21.0,5.0,11.0,12.0,3.0,33.0,2.0,14.0,7.0,1.0,26.0,10.0,43.0,6.0,15.0,27.0,19.0,23.0,13.0,44.0,28.0,4.0,47.0,9.0,70.0,20.0,30.0,52.0,32.0
1080,0.0,7.0,4.0,26.0,30.0,11.0,21.0,6.0,8.0,29.0,1.0,14.0,22.0,5.0,13.0,23.0,46.0,37.0,10.0,16.0,32.0,2.0,19.0,33.0,9.0,28.0,24.0,63.0,35.0,38.0
1129,0.0,5.0,2.0,49.0,1.0,3.0,30.0,4.0,13.0,10.0,8.0,11.0,6.0,18.0,29.0,20.0,40.0,14.0,12.0,25.0,15.0,37.0,26.0,23.0,21.0,38.0,35.0,59.0,27.0,48.0
1178,0.0,2.0,1.0,11.0,29.0,3.0,20.0,6.0,10.0,28.0,5.0,9.0,4.0,7.0,17.0,23.0,52.0,8.0,16.0,21.0,40.0,32.0,14.0,33.0,12.0,24.0,31.0,37.0,69.0,25.0
1227,0.0,7.0,4.0,22.0,26.0,3.0,36.0,8.0,35.0,6.0,1.0,12.0,2.0,5.0,23.0,56.0,31.0,14.0,20.0,10.0,11.0,17.0,16.0,34.0,21.0,25.0,42.0,69.0,97.0,52.0
1276,1.0,4.0,0.0,11.0,8.0,7.0,20.0,5.0,2.0,9.0,3.0,10.0,6.0,15.0,35.0,36.0,48.0,40.0,44.0,33.0,28.0,23.0,24.0,17.0,47.0,16.0,14.0,45.0,38.0,26.0
1325,0.0,3.0,4.0,13.0,5.0,2.0,19.0,10.0,6.0,24.0,1.0,16.0,8.0,14.0,35.0,18.0,27.0,15.0,29.0,26.0,7.0,9.0,12.0,36.0,21.0,40.0,38.0,55.0,53.0,23.0
1374,0.0,9.0,1.0,13.0,4.0,5.0,28.0,6.0,18.0,20.0,2.0,16.0,7.0,8.0,40.0,33.0,17.0,12.0,34.0,14.0,46.0,11.0,23.0,10.0,15.0,22.0,86.0,53.0,52.0,24.0
1423,0.0,3.0,2.0,23.0,8.0,6.0,32.0,5.0,21.0,20.0,1.0,30.0,7.0,4.0,15.0,98.0,48.0,10.0,11.0,17.0,12.0,14.0,26.0,39.0,18.0,55.0,16.0,45.0,61.0,33.0
1472,3.0,10.0,4.0,1.0,0.0,26.0,2.0,12.0,11.0,5.0,7.0,9.0,6.0,18.0,17.0,14.0,15.0,31.0,33.0,13.0,25.0,19.0,40.0,34.0,21.0,22.0,42.0,45.0,39.0,65.0
1521,2.0,11.0,0.0,3.0,1.0,12.0,5.0,14.0,18.0,6.0,4.0,19.0,13.0,29.0,9.0,45.0,8.0,24.0,20.0,10.0,34.0,7.0,21.0,27.0,31.0,30.0,28.0,38.0,15.0,32.0
1570,1.0,9.0,3.0,2.0,0.0,4.0,6.0,30.0,18.0,8.0,5.0,10.0,11.0,16.0,19.0,17.0,12.0,15.0,33.0,13.0,86.0,20.0,21.0,43.0,27.0,14.0,24.0,26.0,35.0,31.0
1619,3.0,11.0,0.0,4.0,1.0,10.0,5.0,9.0,7.0,12.0,2.0,16.0,14.0,33.0,8.0,15.0,17.0,22.0,38.0,23.0,60.0,6.0,24.0,52.0,80.0,28.0,34.0,39.0,20.0,26.0
1668,1.0,22.0,5.0,4.0,0.0,10.0,12.0,14.0,24.0,11.0,2.0,16.0,9.0,7.0,8.0,17.0,13.0,18.0,30.0,3.0,48.0,6.0,41.0,38.0,27.0,15.0,63.0,21.0,20.0,44.0
1717,1.0,7.0,0.0,4.0,2.0,43.0,6.0,10.0,34.0,21.0,3.0,12.0,20.0,25.0,17.0,50.0,14.0,27.0,30.0,44.0,41.0,11.0,15.0,36.0,16.0,8.0,24.0,22.0,55.0,28.0
1766,2.0,6.0,7.0,0.0,1.0,22.0,5.0,29.0,11.0,4.0,3.0,9.0,8.0,41.0,14.0,17.0,21.0,19.0,56.0,10.0,27.0,36.0,16.0,18.0,13.0,42.0,35.0,30.0,12.0,43.0
1815,0.0,3.0,1.0,2.0,4.0,5.0,7.0,44.0,37.0,10.0,8.0,18.0,17.0,12.0,15.0,29.0,14.0,34.0,63.0,9.0,62.0,6.0,47.0,35.0,46.0,19.0,52.0,25.0,16.0,11.0
1864,2.0,10.0,0.0,4.0,1.0,21.0,3.0,14.0,27.0,11.0,15.0,5.0,12.0,40.0,28.0,16.0,6.0,9.0,44.0,7.0,61.0,8.0,51.0,29.0,20.0,37.0,43.0,57.0,19.0,26.0
1913,1.0,8.0,7.0,2.0,0.0,3.0,16.0,6.0,12.0,17.0,14.0,26.0,32.0,24.0,13.0,22.0,9.0,30.0,10.0,5.0,62.0,4.0,11.0,35.0,18.0,34.0,79.0,31.0,29.0,27.0
1962,0.0,20.0,4.0,8.0,1.0,15.0,2.0,11.0,6.0,24.0,5.0,12.0,21.0,3.0,19.0,27.0,10.0,31.0,33.0,25.0,41.0,43.0,26.0,28.0,17.0,22.0,18.0,34.0,9.0,77.0
2011,0.0,14.0,2.0,4.0,1.0,5.0,9.0,3.0,11.0,8.0,13.0,19.0,49.0,7.0,34.0,15.0,21.0,33.0,27.0,29.0,30.0,26.0,12.0,45.0,24.0,18.0,25.0,6.0,16.0,50.0
2060,0.0,7.0,1.0,8.0,2.0,11.0,9.0,3.0,22.0,23.0,21.0,5.0,29.0,4.0,13.0,34.0,16.0,19.0,33.0,27.0,20.0,40.0,14.0,28.0,6.0,18.0,12.0,17.0,31.0,39.0
2109,8.0,7.0,0.0,11.0,4.0,3.0,23.0,1.0,36.0,10.0,16.0,15.0,62.0,32.0,24.0,12.0,5.0,27.0,50.0,39.0,43.0,35.0,49.0,26.0,14.0,2.0,54.0,20.0,17.0,58.0
2158,8.0,12.0,1.0,10.0,0.0,15.0,11.0,2.0,7.0,29.0,21.0,5.0,42.0,27.0,32.0,6.0,17.0,19.0,70.0,34.0,24.0,66.0,3.0,22.0,4.0,40.0,51.0,23.0,16.0,20.0
2207,1.0,4.0,0.0,2.0,3.0,23.0,7.0,17.0,16.0,10.0,13.0,9.0,41.0,11.0,31.0,24.0,12.0,14.0,91.0,8.0,30.0,42.0,25.0,20.0,15.0,6.0,38.0,35.0,18.0,37.0
2256,3.0,23.0,1.0,4.0,0.0,25.0,2.0,6.0,5.0,7.0,32.0,15.0,21.0,29.0,56.0,16.0,34.0,36.0,85.0,22.0,73.0,8.0,49.0,10.0,26.0,12.0,33.0,14.0,9.0,53.0
2305,0.0,17.0,2.0,22.0,1.0,7.0,9.0,3.0,4.0,14.0,8.0,20.0,27.0,33.0,13.0,30.0,5.0,15.0,54.0,65.0,42.0,35.0,36.0,39.0,21.0,10.0,25.0,11.0,16.0,40.0
2354,2.0,12.0,0.0,10.0,1.0,18.0,15.0,3.0,5.0,7.0,6.0,30.0,19.0,11.0,47.0,8.0,9.0,14.0,48.0,32.0,61.0,33.0,17.0,13.0,4.0,21.0,29.0,23.0,25.0,64.0
2403,0.0,10.0,1.0,3.0,4.0,6.0,7.0,5.0,2.0,8.0,11.0,30.0,34.0,20.0,18.0,21.0,14.0,27.0,39.0,46.0,29.0,32.0,45.0,24.0,9.0,15.0,33.0,42.0,17.0,12.0
2452,0.0,1.0,5.0,11.0,9.0,16.0,15.0,6.0,14.0,24.0,2.0,7.0,40.0,8.0,52.0,3.0,13.0,43.0,12.0,51.0,55.0,28.0,25.0,4.0,27.0,23.0,49.0,39.0,32.0,64.0
2501,2.0,5.0,18.0,3.0,8.0,7.0,11.0,49.0,0.0,42.0,4.0,6.0,54.0,1.0,36.0,9.0,13.0,30.0,17.0,20.0,24.0,10.0,29.0,23.0,12.0,57.0,69.0,67.0,71.0,37.0
2550,0.0,1.0,4.0,2.0,7.0,6.0,10.0,9.0,12.0,11.0,3.0,20.0,62.0,14.0,22.0,15.0,8.0,28.0,13.0,17.0,37.0,5.0,24.0,18.0,36.0,21.0,55.0,16.0,44.0,48.0
2599,1.0,5.0,2.0,9.0,6.0,4.0,33.0,13.0,19.0,21.0,14.0,0.0,32.0,18.0,55.0,12.0,3.0,10.0,26.0,16.0,30.0,15.0,27.0,23.0,11.0,28.0,65.0,24.0,31.0,50.0
2648,1.0,2.0,4.0,13.0,33.0,0.0,7.0,3.0,6.0,23.0,14.0,8.0,42.0,5.0,64.0,10.0,11.0,55.0,17.0,45.0,25.0,26.0,30.0,19.0,22.0,20.0,48.0,24.0,38.0,63.0
2697,2.0,1.0,21.0,6.0,13.0,0.0,34.0,8.0,35.0,29.0,9.0,17.0,27.0,7.0,26.0,15.0,3.0,28.0,25.0,18.0,56.0,11.0,40.0,32.0,55.0,22.0,93.0,12.0,5.0,84.0
2746,4.0,1.0,6.0,0.0,18.0,17.0,21.0,25.0,7.0,10.0,11.0,3.0,53.0,16.0,34.0,2.0,9.0,40.0,22.0,23.0,13.0,8.0,5.0,12.0,32.0,48.0,68.0,35.0,44.0,43.0
2795,1.0,0.0,7.0,3.0,5.0,10.0,15.0,8.0,17.0,9.0,4.0,2.0,53.0,18.0,34.0,23.0,14.0,46.0,16.0,12.0,11.0,21.0,22.0,20.0,51.0,55.0,52.0,39.0,44.0,91.0
2844,0.0,2.0,14.0,12.0,23.0,7.0,19.0,6.0,13.0,8.0,3.0,5.0,33.0,29.0,50.0,21.0,10.0,32.0,27.0,28.0,20.0,31.0,24.0,11.0,9.0,54.0,49.0,4.0,47.0,90.0
2893,0.0,2.0,15.0,6.0,21.0,5.0,16.0,3.0,31.0,32.0,23.0,1.0,38.0,27.0,35.0,7.0,11.0,34.0,20.0,12.0,28.0,4.0,24.0,10.0,30.0,59.0,106.0,8.0,26.0,29.0
2942,1.0,4.0,23.0,11.0,29.0,5.0,0.0,2.0,3.0,6.0,17.0,9.0,7.0,10.0,28.0,12.0,39.0,19.0,35.0,40.0,27.0,24.0,87.0,13.0,33.0,31.0,16.0,32.0,98.0,34.0
2991,0.0,3.0,7.0,8.0,11.0,13.0,1.0,2.0,5.0,9.0,22.0,4.0,10.0,37.0,15.0,19.0,28.0,20.0,21.0,29.0,23.0,6.0,59.0,35.0,65.0,25.0,24.0,45.0,105.0,75.0
3040,0.0,6.0,20.0,23.0,37.0,4.0,1.0,12.0,2.0,3.0,8.0,5.0,17.0,15.0,51.0,9.0,10.0,14.0,35.0,30.0,27.0,25.0,34.0,33.0,60.0,41.0,26.0,82.0,81.0,39.0
3089,3.0,0.0,13.0,30.0,29.0,19.0,18.0,4.0,7.0,6.0,5.0,1.0,2.0,50.0,10.0,15.0,11.0,27.0,51.0,36.0,48.0,37.0,38.0,17.0,93.0,77.0,21.0,8.0,85.0,16.0
3138,0.0,4.0,6.0,8.0,22.0,27.0,2.0,1.0,3.0,28.0,14.0,7.0,9.0,30.0,58.0,48.0,15.0,20.0,31.0,75.0,16.0,25.0,67.0,5.0,19.0,60.0,17.0,29.0,83.0,72.0
3187,0.0,10.0,18.0,14.0,71.0,9.0,1.0,5.0,2.0,7.0,8.0,3.0,6.0,44.0,12.0,27.0,16.0,24.0,30.0,31.0,38.0,41.0,106.0,13.0,20.0,67.0,15.0,23.0,108.0,48.0
3236,0.0,1.0,42.0,7.0,34.0,17.0,2.0,3.0,8.0,19.0,5.0,9.0,6.0,12.0,13.0,46.0,48.0,33.0,11.0,37.0,21.0,18.0,15.0,28.0,41.0,73.0,14.0,78.0,118.0,27.0
3285,1.0,3.0,14.0,9.0,15.0,4.0,0.0,8.0,2.0,5.0,23.0,7.0,6.0,41.0,26.0,21.0,16.0,18.0,27.0,43.0,42.0,10.0,93.0,24.0,75.0,65.0,30.0,50.0,126.0,28.0
3334,1.0,2.0,23.0,8.0,30.0,10.0,0.0,3.0,4.0,5.0,16.0,7.0,6.0,20.0,15.0,17.0,14.0,11.0,19.0,47.0,65.0,25.0,21.0,12.0,60.0,48.0,33.0,13.0,77.0,26.0
3383,0.0,5.0,9.0,7.0,6.0,11.0,1.0,2.0,16.0,3.0,23.0,4.0,12.0,18.0,37.0,10.0,33.0,17.0,35.0,70.0,39.0,51.0,82.0,13.0,83.0,34.0,32.0,43.0,137.0,22.0
3432,0.0,2.0,4.0,8.0,3.0,15.0,14.0,9.0,25.0,6.0,10.0,16.0,41.0,47.0,7.0,5.0,23.0,37.0,46.0,17.0,19.0,12.0,28.0,34.0,29.0,27.0,24.0,42.0,11.0,1.0
3481,0.0,1.0,10.0,4.0,5.0,3.0,16.0,42.0,6.0,7.0,13.0,22.0,26.0,69.0,9.0,8.0,31.0,29.0,25.0,35.0,2.0,41.0,18.0,12.0,17.0,19.0,11.0,45.0,20.0,27.0
3530,1.0,3.0,6.0,2.0,20.0,4.0,17.0,38.0,13.0,5.0,9.0,0.0,26.0,46.0,18.0,11.0,25.0,7.0,30.0,12.0,19.0,24.0,14.0,33.0,68.0,29.0,23.0,15.0,50.0,44.0
3579,0.0,6.0,2.0,1.0,11.0,3.0,4.0,10.0,7.0,8.0,18.0,5.0,13.0,34.0,28.0,16.0,20.0,32.0,39.0,25.0,21.0,22.0,35.0,12.0,45.0,40.0,59.0,31.0,38.0,19.0
3628,1.0,3.0,11.0,0.0,6.0,4.0,21.0,13.0,9.0,2.0,8.0,14.0,12.0,20.0,5.0,7.0,59.0,45.0,37.0,28.0,18.0,36.0,25.0,53.0,23.0,61.0,16.0,52.0,19.0,15.0
3677,0.0,3.0,10.0,1.0,6.0,7.0,9.0,11.0,21.0,2.0,15.0,4.0,8.0,55.0,18.0,35.0,25.0,41.0,13.0,12.0,5.0,19.0,28.0,17.0,16.0,23.0,48.0,31.0,33.0,38.0
3726,0.0,3.0,8.0,1.0,6.0,31.0,23.0,18.0,4.0,2.0,17.0,14.0,16.0,35.0,10.0,15.0,24.0,12.0,41.0,7.0,5.0,21.0,39.0,19.0,51.0,29.0,79.0,26.0,37.0,13.0
3775,1.0,4.0,25.0,2.0,3.0,5.0,20.0,7.0,8.0,0.0,12.0,19.0,14.0,55.0,6.0,17.0,67.0,15.0,10.0,9.0,18.0,23.0,30.0,24.0,50.0,34.0,58.0,13.0,43.0,37.0
3824,2.0,3.0,17.0,1.0,10.0,6.0,8.0,7.0,5.0,0.0,12.0,16.0,14.0,64.0,4.0,20.0,21.0,35.0,54.0,13.0,9.0,41.0,28.0,42.0,45.0,11.0,73.0,40.0,52.0,34.0
3873,0.0,4.0,9.0,2.0,18.0,3.0,1.0,16.0,30.0,5.0,28.0,11.0,6.0,34.0,8.0,32.0,20.0,15.0,36.0,23.0,14.0,27.0,35.0,42.0,37.0,7.0,22.0,17.0,25.0,12.0
3922,3.0,16.0,36.0,4.0,2.0,6.0,14.0,9.0,1.0,7.0,0.0,35.0,18.0,25.0,19.0,8.0,50.0,22.0,5.0,20.0,32.0,52.0,11.0,31.0,87.0,21.0,33.0,28.0,60.0,37.0
3971,0.0,5.0,2.0,7.0,1.0,8.0,3.0,31.0,50.0,17.0,4.0,27.0,6.0,15.0,23.0,53.0,48.0,11.0,13.0,21.0,16.0,68.0,51.0,47.0,65.0,35.0,20.0,12.0,9.0,29.0
4020,2.0,14.0,0.0,10.0,7.0,11.0,6.0,34.0,13.0,20.0,5.0,3.0,4.0,9.0,19.0,32.0,30.0,1.0,15.0,23.0,26.0,25.0,18.0,57.0,44.0,33.0,37.0,40.0,28.0,17.0
4069,0.0,8.0,4.0,1.0,3.0,58.0,7.0,24.0,2.0,6.0,14.0,19.0,9.0,5.0,29.0,69.0,39.0,17.0,15.0,12.0,23.0,54.0,11.0,72.0,13.0,18.0,10.0,25.0,43.0,45.0
4118,0.0,11.0,16.0,3.0,2.0,12.0,37.0,53.0,6.0,31.0,1.0,8.0,5.0,14.0,7.0,29.0,47.0,9.0,4.0,36.0,21.0,46.0,24.0,59.0,19.0,39.0,10.0,23.0,17.0,25.0
4167,0.0,5.0,4.0,1.0,12.0,9.0,2.0,16.0,3.0,22.0,7.0,8.0,10.0,6.0,34.0,30.0,73.0,23.0,14.0,58.0,11.0,63.0,24.0,25.0,49.0,13.0,21.0,18.0,15.0,39.0
4216,0.0,2.0,8.0,1.0,3.0,10.0,5.0,19.0,24.0,11.0,6.0,13.0,4.0,7.0,43.0,21.0,35.0,20.0,9.0,18.0,42.0,46.0,54.0,14.0,93.0,87.0,31.0,15.0,16.0,28.0
4265,0.0,7.0,4.0,6.0,25.0,1.0,8.0,10.0,15.0,16.0,12.0,2.0,5.0,30.0,17.0,64.0,60.0,18.0,3.0,14.0,9.0,43.0,19.0,57.0,44.0,37.0,22.0,23.0,13.0,48.0
4314,1.0,4.0,8.0,3.0,0.0,33.0,32.0,13.0,9.0,17.0,6.0,2.0,20.0,19.0,12.0,14.0,23.0,25.0,15.0,5.0,11.0,51.0,7.0,65.0,39.0,44.0,26.0,10.0,21.0,16.0
4363,0.0,6.0,11.0,7.0,14.0,23.0,8.0,83.0,35.0,17.0,1.0,2.0,9.0,27.0,46.0,50.0,13.0,4.0,5.0,25.0,30.0,31.0,22.0,58.0,28.0,43.0,3.0,18.0,67.0,15.0
4412,1.0,0.0,17.0,4.0,10.0,8.0,9.0,15.0,3.0,6.0,18.0,24.0,31.0,2.0,5.0,64.0,12.0,34.0,40.0,49.0,22.0,25.0,37.0,35.0,19.0,13.0,29.0,26.0,7.0,11.0
4461,7.0,2.0,16.0,6.0,12.0,5.0,0.0,15.0,1.0,10.0,8.0,14.0,11.0,3.0,4.0,13.0,52.0,40.0,22.0,44.0,24.0,25.0,30.0,48.0,18.0,36.0,23.0,77.0,20.0,9.0
4510,3.0,2.0,4.0,5.0,6.0,0.0,8.0,9.0,1.0,23.0,12.0,11.0,21.0,17.0,14.0,30.0,15.0,38.0,24.0,77.0,22.0,20.0,29.0,37.0,31.0,28.0,18.0,32.0,10.0,7.0
4559,6.0,0.0,11.0,1.0,2.0,4.0,9.0,12.0,3.0,22.0,36.0,26.0,7.0,8.0,10.0,29.0,5.0,21.0,20.0,63.0,38.0,15.0,24.0,30.0,31.0,18.0,34.0,56.0,19.0,16.0
4608,0.0,4.0,6.0,5.0,9.0,3.0,1.0,7.0,2.0,14.0,25.0,29.0,11.0,22.0,15.0,19.0,20.0,35.0,43.0,33.0,21.0,26.0,60.0,36.0,30.0,18.0,16.0,50.0,12.0,10.0
4657,2.0,0.0,10.0,8.0,7.0,3.0,6.0,1.0,5.0,31.0,24.0,11.0,34.0,17.0,9.0,19.0,12.0,28.0,58.0,85.0,46.0,30.0,13.0,15.0,21.0,54.0,75.0,27.0,20.0,14.0
4706,4.0,0.0,3.0,11.0,14.0,5.0,10.0,8.0,1.0,6.0,28.0,12.0,7.0,29.0,13.0,26.0,25.0,23.0,32.0,71.0,22.0,31.0,9.0,35.0,55.0,24.0,21.0,56.0,18.0,2.0
4755,1.0,0.0,6.0,9.0,5.0,2.0,4.0,12.0,14.0,7.0,20.0,8.0,21.0,25.0,27.0,33.0,17.0,35.0,44.0,71.0,15.0,37.0,3.0,16.0,18.0,36.0,39.0,22.0,11.0,28.0
4804,1.0,0.0,18.0,4.0,2.0,10.0,6.0,9.0,7.0,17.0,42.0,26.0,22.0,20.0,5.0,21.0,23.0,36.0,12.0,80.0,35.0,34.0,16.0,27.0,15.0,8.0,29.0,33.0,11.0,3.0
4853,4.0,0.0,3.0,11.0,2.0,9.0,5.0,8.0,1.0,10.0,17.0,12.0,16.0,26.0,18.0,38.0,7.0,41.0,25.0,33.0,31.0,29.0,53.0,36.0,23.0,13.0,32.0,27.0,6.0,24.0
