,1-methylnicotinamide,alpha-glycerophosphate,C22:6 CE,C20:4 CE,C16:0 LPE,N-carbamoyl-beta-alanine,UMP,pantothenate,oxalate,SDMA/ADMA,C22:6 LPC,C34:2 DAG,niacinamide,NADP,2-deoxycytidine,5-HIAA,isocitrate,adenosine,phosphocreatine,cytidine,carnitine,hexoses (HILIC neg),creatinine,taurodeoxycholate,3-phosphoglycerate,C56:5 TAG,pyroglutamic acid,2-deoxyadenosine,urate,creatine
1299,0.0,1.0,13.0,3.0,4.0,2.0,6.0,7.0,11.0,10.0,46.0,21.0,12.0,5.0,15.0,25.0,26.0,23.0,17.0,8.0,33.0,42.0,24.0,29.0,32.0,27.0,30.0,14.0,31.0,60.0
1348,0.0,1.0,4.0,5.0,2.0,6.0,10.0,3.0,8.0,21.0,48.0,14.0,7.0,11.0,12.0,19.0,31.0,22.0,60.0,15.0,44.0,34.0,33.0,45.0,9.0,47.0,24.0,16.0,54.0,27.0
1397,0.0,1.0,4.0,2.0,3.0,5.0,6.0,8.0,16.0,7.0,12.0,10.0,18.0,9.0,15.0,26.0,22.0,43.0,19.0,11.0,63.0,14.0,30.0,21.0,23.0,13.0,27.0,24.0,29.0,32.0
1446,0.0,1.0,4.0,2.0,3.0,11.0,6.0,8.0,18.0,5.0,15.0,20.0,7.0,19.0,9.0,25.0,16.0,33.0,23.0,24.0,10.0,30.0,48.0,49.0,21.0,14.0,47.0,26.0,27.0,56.0
1495,0.0,2.0,6.0,5.0,1.0,3.0,7.0,4.0,13.0,15.0,17.0,14.0,11.0,37.0,9.0,28.0,20.0,27.0,10.0,12.0,8.0,30.0,19.0,38.0,26.0,40.0,34.0,36.0,48.0,23.0
1544,0.0,5.0,6.0,4.0,1.0,2.0,3.0,7.0,11.0,13.0,29.0,15.0,16.0,47.0,31.0,21.0,34.0,9.0,8.0,22.0,14.0,41.0,18.0,42.0,39.0,37.0,56.0,17.0,36.0,20.0
1593,0.0,2.0,1.0,5.0,7.0,4.0,3.0,6.0,11.0,12.0,8.0,13.0,37.0,16.0,42.0,58.0,14.0,10.0,15.0,29.0,9.0,22.0,19.0,26.0,35.0,34.0,36.0,45.0,52.0,24.0
1642,0.0,5.0,1.0,8.0,4.0,2.0,3.0,6.0,39.0,51.0,48.0,10.0,15.0,57.0,22.0,12.0,23.0,7.0,11.0,32.0,9.0,17.0,54.0,26.0,50.0,37.0,38.0,13.0,52.0,34.0
1691,0.0,1.0,3.0,2.0,9.0,6.0,5.0,4.0,18.0,26.0,22.0,7.0,13.0,62.0,20.0,19.0,14.0,16.0,8.0,15.0,28.0,41.0,36.0,49.0,17.0,24.0,37.0,12.0,11.0,23.0
1740,0.0,2.0,1.0,9.0,3.0,4.0,5.0,6.0,10.0,25.0,13.0,7.0,8.0,12.0,30.0,26.0,11.0,20.0,22.0,37.0,23.0,57.0,41.0,19.0,63.0,51.0,15.0,16.0,64.0,14.0
1789,0.0,1.0,2.0,4.0,3.0,5.0,6.0,7.0,27.0,15.0,16.0,32.0,17.0,9.0,8.0,11.0,43.0,10.0,12.0,45.0,22.0,20.0,38.0,33.0,26.0,13.0,53.0,14.0,18.0,48.0
1838,0.0,3.0,2.0,1.0,4.0,5.0,8.0,6.0,29.0,30.0,15.0,13.0,7.0,11.0,20.0,33.0,24.0,17.0,12.0,16.0,14.0,42.0,19.0,48.0,27.0,23.0,47.0,10.0,36.0,38.0
1887,0.0,3.0,1.0,4.0,5.0,6.0,2.0,9.0,36.0,8.0,22.0,7.0,11.0,29.0,15.0,25.0,43.0,24.0,12.0,16.0,18.0,28.0,42.0,30.0,10.0,49.0,21.0,23.0,59.0,53.0
1936,0.0,1.0,3.0,4.0,2.0,13.0,5.0,6.0,12.0,11.0,18.0,9.0,15.0,44.0,14.0,45.0,21.0,17.0,7.0,22.0,8.0,32.0,28.0,46.0,30.0,39.0,52.0,16.0,33.0,31.0
1985,0.0,4.0,1.0,3.0,10.0,2.0,5.0,7.0,6.0,15.0,8.0,21.0,23.0,11.0,47.0,14.0,40.0,20.0,18.0,12.0,9.0,38.0,13.0,64.0,17.0,29.0,26.0,22.0,48.0,25.0
2034,0.0,3.0,1.0,2.0,7.0,4.0,6.0,5.0,9.0,16.0,13.0,29.0,11.0,38.0,21.0,27.0,8.0,28.0,10.0,48.0,25.0,17.0,26.0,46.0,60.0,53.0,12.0,20.0,32.0,31.0
2083,0.0,1.0,3.0,4.0,5.0,2.0,19.0,7.0,9.0,15.0,30.0,33.0,6.0,16.0,28.0,18.0,14.0,42.0,10.0,12.0,11.0,20.0,22.0,8.0,45.0,37.0,17.0,60.0,13.0,61.0
2132,0.0,1.0,5.0,3.0,7.0,6.0,21.0,4.0,2.0,9.0,11.0,27.0,20.0,23.0,16.0,8.0,15.0,22.0,38.0,45.0,25.0,32.0,14.0,43.0,59.0,26.0,24.0,31.0,10.0,34.0
2181,0.0,2.0,1.0,3.0,8.0,5.0,6.0,14.0,4.0,11.0,7.0,30.0,19.0,16.0,29.0,12.0,20.0,36.0,23.0,22.0,9.0,13.0,15.0,18.0,44.0,46.0,21.0,31.0,10.0,27.0
2230,0.0,5.0,2.0,3.0,4.0,1.0,6.0,22.0,8.0,14.0,7.0,38.0,21.0,10.0,33.0,9.0,11.0,47.0,19.0,31.0,12.0,18.0,57.0,34.0,16.0,29.0,17.0,32.0,48.0,27.0
2279,0.0,1.0,5.0,2.0,7.0,3.0,6.0,8.0,4.0,12.0,10.0,35.0,11.0,18.0,9.0,21.0,24.0,54.0,20.0,16.0,19.0,29.0,28.0,46.0,48.0,44.0,15.0,37.0,17.0,26.0
2328,0.0,2.0,1.0,3.0,6.0,4.0,8.0,5.0,7.0,9.0,24.0,20.0,13.0,14.0,22.0,10.0,11.0,28.0,19.0,25.0,17.0,48.0,53.0,60.0,29.0,61.0,30.0,55.0,12.0,41.0
2377,0.0,3.0,1.0,2.0,7.0,6.0,4.0,5.0,14.0,31.0,10.0,12.0,9.0,20.0,28.0,8.0,30.0,41.0,11.0,38.0,15.0,13.0,33.0,34.0,42.0,65.0,25.0,43.0,37.0,18.0
2426,0.0,3.0,1.0,2.0,4.0,5.0,9.0,29.0,7.0,8.0,11.0,32.0,10.0,44.0,13.0,23.0,24.0,38.0,15.0,16.0,6.0,37.0,57.0,40.0,31.0,53.0,21.0,18.0,20.0,47.0
2475,0.0,1.0,3.0,9.0,5.0,2.0,8.0,4.0,10.0,15.0,6.0,27.0,22.0,59.0,11.0,21.0,12.0,14.0,34.0,23.0,32.0,40.0,45.0,7.0,18.0,44.0,17.0,43.0,64.0,16.0
2524,0.0,2.0,6.0,8.0,4.0,1.0,5.0,3.0,7.0,9.0,17.0,41.0,24.0,29.0,19.0,11.0,21.0,13.0,20.0,15.0,26.0,43.0,16.0,10.0,52.0,51.0,18.0,39.0,47.0,23.0
2573,0.0,1.0,2.0,4.0,7.0,3.0,8.0,9.0,5.0,14.0,15.0,49.0,6.0,53.0,28.0,17.0,11.0,20.0,26.0,31.0,36.0,48.0,12.0,10.0,27.0,32.0,52.0,54.0,25.0,61.0
2622,0.0,1.0,5.0,8.0,4.0,3.0,6.0,2.0,27.0,17.0,12.0,25.0,31.0,23.0,36.0,16.0,7.0,20.0,9.0,22.0,19.0,35.0,10.0,13.0,24.0,43.0,11.0,42.0,57.0,15.0
2671,0.0,1.0,5.0,6.0,2.0,4.0,7.0,3.0,13.0,9.0,22.0,38.0,8.0,15.0,48.0,11.0,10.0,16.0,24.0,23.0,61.0,27.0,21.0,14.0,45.0,20.0,34.0,60.0,29.0,53.0
2720,0.0,1.0,2.0,5.0,4.0,3.0,10.0,6.0,11.0,16.0,8.0,35.0,20.0,13.0,30.0,15.0,9.0,7.0,19.0,44.0,61.0,26.0,27.0,14.0,29.0,17.0,18.0,28.0,37.0,31.0
2769,0.0,1.0,6.0,5.0,7.0,2.0,3.0,9.0,20.0,19.0,30.0,23.0,10.0,12.0,21.0,15.0,11.0,35.0,14.0,29.0,17.0,22.0,33.0,4.0,42.0,16.0,31.0,24.0,46.0,50.0
2818,0.0,1.0,7.0,6.0,5.0,2.0,11.0,4.0,10.0,8.0,9.0,27.0,22.0,26.0,13.0,19.0,54.0,49.0,12.0,21.0,33.0,46.0,14.0,3.0,45.0,20.0,16.0,41.0,30.0,23.0
2867,0.0,1.0,2.0,6.0,4.0,5.0,7.0,3.0,8.0,10.0,9.0,46.0,15.0,23.0,21.0,12.0,18.0,19.0,27.0,24.0,32.0,31.0,37.0,17.0,43.0,40.0,11.0,66.0,39.0,53.0
2916,0.0,2.0,3.0,7.0,8.0,1.0,5.0,6.0,9.0,17.0,20.0,27.0,25.0,22.0,14.0,42.0,11.0,13.0,19.0,15.0,63.0,44.0,16.0,4.0,34.0,23.0,31.0,62.0,43.0,33.0
2965,0.0,1.0,2.0,3.0,9.0,4.0,5.0,6.0,18.0,10.0,20.0,17.0,13.0,7.0,11.0,12.0,66.0,14.0,47.0,21.0,40.0,48.0,19.0,26.0,39.0,16.0,43.0,51.0,8.0,31.0
3014,0.0,4.0,1.0,2.0,12.0,3.0,5.0,6.0,8.0,13.0,9.0,16.0,19.0,10.0,22.0,11.0,65.0,7.0,44.0,15.0,17.0,32.0,53.0,21.0,30.0,14.0,25.0,40.0,28.0,26.0
3063,0.0,1.0,2.0,3.0,7.0,4.0,9.0,6.0,14.0,22.0,34.0,5.0,12.0,36.0,15.0,13.0,11.0,42.0,39.0,27.0,8.0,19.0,16.0,38.0,35.0,25.0,56.0,46.0,33.0,48.0
3112,0.0,2.0,1.0,3.0,19.0,5.0,4.0,9.0,8.0,20.0,10.0,12.0,25.0,50.0,28.0,6.0,13.0,11.0,22.0,15.0,61.0,51.0,24.0,16.0,53.0,14.0,7.0,21.0,36.0,32.0
3161,0.0,3.0,1.0,2.0,6.0,5.0,4.0,12.0,8.0,19.0,10.0,28.0,22.0,7.0,26.0,14.0,23.0,40.0,44.0,24.0,21.0,20.0,18.0,11.0,36.0,13.0,27.0,31.0,9.0,59.0
3210,0.0,2.0,3.0,1.0,4.0,7.0,6.0,5.0,8.0,9.0,25.0,13.0,21.0,45.0,12.0,20.0,11.0,28.0,27.0,22.0,31.0,58.0,32.0,14.0,30.0,17.0,19.0,48.0,16.0,23.0
3259,0.0,1.0,2.0,3.0,8.0,4.0,5.0,6.0,16.0,26.0,7.0,10.0,24.0,28.0,9.0,11.0,20.0,21.0,22.0,13.0,30.0,42.0,14.0,47.0,39.0,12.0,18.0,37.0,19.0,35.0
3308,0.0,3.0,2.0,1.0,7.0,10.0,5.0,4.0,13.0,6.0,8.0,9.0,11.0,25.0,19.0,17.0,51.0,18.0,40.0,12.0,23.0,32.0,21.0,38.0,47.0,22.0,35.0,36.0,28.0,45.0
3357,0.0,2.0,1.0,3.0,11.0,4.0,7.0,5.0,8.0,34.0,13.0,18.0,9.0,36.0,6.0,17.0,10.0,37.0,12.0,14.0,24.0,22.0,21.0,59.0,28.0,33.0,47.0,30.0,15.0,66.0
3406,0.0,3.0,1.0,2.0,8.0,4.0,5.0,6.0,21.0,24.0,9.0,7.0,10.0,13.0,20.0,27.0,19.0,11.0,28.0,40.0,30.0,22.0,12.0,49.0,15.0,61.0,16.0,14.0,29.0,52.0
3455,0.0,3.0,2.0,1.0,4.0,7.0,6.0,5.0,12.0,21.0,9.0,27.0,19.0,8.0,11.0,38.0,14.0,20.0,33.0,39.0,23.0,22.0,25.0,28.0,10.0,13.0,42.0,26.0,29.0,24.0
3504,0.0,1.0,7.0,3.0,5.0,2.0,6.0,4.0,10.0,50.0,14.0,20.0,12.0,11.0,27.0,49.0,8.0,18.0,32.0,39.0,13.0,24.0,16.0,62.0,9.0,38.0,31.0,22.0,64.0,29.0
3553,0.0,1.0,2.0,3.0,7.0,4.0,9.0,5.0,11.0,55.0,34.0,12.0,21.0,26.0,14.0,10.0,6.0,15.0,35.0,23.0,53.0,19.0,32.0,16.0,8.0,28.0,22.0,56.0,30.0,41.0
3602,0.0,1.0,2.0,3.0,5.0,4.0,8.0,11.0,7.0,10.0,33.0,6.0,16.0,31.0,14.0,20.0,9.0,39.0,65.0,55.0,28.0,13.0,62.0,15.0,12.0,36.0,59.0,58.0,30.0,29.0
3651,0.0,2.0,1.0,4.0,3.0,7.0,6.0,5.0,13.0,22.0,23.0,10.0,11.0,19.0,15.0,17.0,8.0,26.0,35.0,16.0,21.0,32.0,37.0,9.0,14.0,12.0,24.0,25.0,33.0,28.0
3700,0.0,1.0,3.0,2.0,11.0,4.0,7.0,8.0,10.0,14.0,19.0,5.0,17.0,18.0,6.0,12.0,21.0,20.0,27.0,41.0,23.0,9.0,42.0,22.0,13.0,15.0,31.0,28.0,36.0,26.0
3749,0.0,1.0,4.0,2.0,6.0,3.0,7.0,10.0,8.0,36.0,32.0,12.0,27.0,26.0,28.0,23.0,11.0,13.0,41.0,19.0,15.0,14.0,40.0,17.0,5.0,16.0,29.0,25.0,31.0,20.0
3798,0.0,1.0,2.0,3.0,4.0,6.0,5.0,10.0,8.0,26.0,33.0,11.0,13.0,38.0,30.0,16.0,7.0,15.0,34.0,43.0,24.0,12.0,23.0,44.0,14.0,20.0,9.0,19.0,25.0,63.0
3847,0.0,1.0,3.0,2.0,5.0,4.0,9.0,6.0,10.0,7.0,15.0,8.0,28.0,17.0,24.0,19.0,18.0,11.0,35.0,26.0,16.0,21.0,41.0,31.0,12.0,13.0,36.0,60.0,22.0,52.0
3896,0.0,1.0,3.0,2.0,7.0,4.0,8.0,5.0,11.0,12.0,26.0,10.0,14.0,50.0,17.0,15.0,6.0,36.0,44.0,38.0,13.0,18.0,34.0,16.0,9.0,43.0,23.0,46.0,30.0,21.0
3945,0.0,2.0,1.0,5.0,3.0,7.0,13.0,4.0,12.0,43.0,8.0,34.0,18.0,6.0,11.0,19.0,14.0,17.0,48.0,41.0,64.0,24.0,10.0,23.0,21.0,16.0,9.0,57.0,45.0,54.0
3994,0.0,2.0,1.0,5.0,3.0,13.0,4.0,6.0,7.0,23.0,30.0,17.0,8.0,10.0,15.0,31.0,20.0,11.0,35.0,21.0,49.0,47.0,29.0,9.0,28.0,37.0,41.0,12.0,19.0,39.0
4043,0.0,1.0,2.0,4.0,3.0,10.0,5.0,7.0,6.0,22.0,13.0,15.0,24.0,8.0,47.0,19.0,23.0,17.0,26.0,12.0,57.0,33.0,14.0,9.0,16.0,32.0,11.0,48.0,49.0,51.0
4092,0.0,1.0,2.0,4.0,3.0,10.0,9.0,14.0,6.0,7.0,11.0,5.0,18.0,8.0,26.0,13.0,38.0,20.0,39.0,40.0,12.0,19.0,31.0,27.0,53.0,34.0,30.0,16.0,15.0,23.0
4141,0.0,2.0,3.0,4.0,1.0,6.0,8.0,5.0,12.0,7.0,15.0,21.0,16.0,9.0,17.0,30.0,19.0,14.0,29.0,47.0,22.0,26.0,43.0,10.0,18.0,41.0,35.0,64.0,25.0,52.0
4190,0.0,3.0,1.0,4.0,2.0,14.0,20.0,10.0,8.0,15.0,7.0,19.0,31.0,25.0,6.0,17.0,5.0,24.0,13.0,47.0,43.0,27.0,23.0,51.0,21.0,38.0,29.0,9.0,39.0,33.0
4239,0.0,2.0,3.0,6.0,1.0,4.0,23.0,5.0,16.0,12.0,14.0,11.0,18.0,7.0,8.0,24.0,27.0,35.0,39.0,30.0,58.0,26.0,9.0,29.0,15.0,19.0,45.0,13.0,32.0,33.0
4288,0.0,1.0,2.0,5.0,3.0,9.0,17.0,6.0,4.0,26.0,8.0,18.0,20.0,7.0,29.0,19.0,14.0,12.0,30.0,16.0,46.0,40.0,31.0,27.0,35.0,22.0,11.0,36.0,21.0,33.0
4337,0.0,1.0,3.0,5.0,2.0,10.0,17.0,4.0,9.0,6.0,37.0,30.0,7.0,8.0,12.0,14.0,22.0,40.0,43.0,36.0,16.0,51.0,52.0,27.0,25.0,11.0,29.0,34.0,55.0,15.0
4386,0.0,3.0,2.0,4.0,1.0,7.0,10.0,11.0,8.0,17.0,28.0,13.0,6.0,5.0,32.0,26.0,36.0,21.0,14.0,16.0,42.0,46.0,48.0,9.0,61.0,45.0,30.0,27.0,56.0,53.0
4435,0.0,1.0,2.0,3.0,6.0,5.0,7.0,4.0,8.0,10.0,24.0,18.0,14.0,17.0,9.0,19.0,38.0,20.0,27.0,26.0,65.0,33.0,15.0,22.0,44.0,25.0,28.0,54.0,56.0,29.0
4484,0.0,1.0,2.0,3.0,5.0,4.0,6.0,8.0,9.0,18.0,11.0,22.0,7.0,45.0,29.0,44.0,47.0,20.0,31.0,34.0,42.0,14.0,17.0,26.0,48.0,12.0,16.0,37.0,36.0,33.0
4533,0.0,2.0,5.0,1.0,3.0,6.0,9.0,4.0,11.0,7.0,27.0,15.0,35.0,17.0,10.0,50.0,30.0,8.0,13.0,14.0,34.0,43.0,16.0,33.0,29.0,31.0,26.0,22.0,47.0,52.0
4582,0.0,1.0,5.0,2.0,3.0,4.0,11.0,7.0,6.0,8.0,14.0,27.0,20.0,15.0,38.0,19.0,25.0,12.0,64.0,13.0,18.0,58.0,59.0,28.0,30.0,9.0,24.0,17.0,39.0,61.0
4631,0.0,1.0,2.0,4.0,5.0,3.0,26.0,6.0,7.0,20.0,31.0,27.0,13.0,42.0,8.0,32.0,55.0,29.0,38.0,63.0,9.0,34.0,17.0,12.0,58.0,14.0,45.0,60.0,24.0,47.0
4680,0.0,1.0,2.0,4.0,3.0,5.0,16.0,6.0,30.0,17.0,15.0,26.0,14.0,23.0,31.0,28.0,9.0,10.0,54.0,11.0,21.0,39.0,41.0,52.0,7.0,22.0,33.0,19.0,27.0,37.0
4729,0.0,1.0,4.0,2.0,8.0,5.0,10.0,18.0,3.0,12.0,21.0,28.0,7.0,14.0,9.0,22.0,26.0,29.0,23.0,6.0,36.0,27.0,15.0,19.0,41.0,37.0,25.0,46.0,11.0,33.0
4778,0.0,1.0,3.0,2.0,4.0,6.0,5.0,7.0,19.0,18.0,17.0,37.0,28.0,14.0,9.0,30.0,34.0,8.0,58.0,42.0,24.0,13.0,32.0,15.0,50.0,63.0,51.0,33.0,43.0,39.0
4827,0.0,1.0,3.0,2.0,4.0,6.0,8.0,9.0,5.0,14.0,10.0,24.0,20.0,7.0,11.0,29.0,21.0,13.0,56.0,17.0,12.0,41.0,48.0,63.0,43.0,28.0,38.0,27.0,50.0,45.0
4876,0.0,1.0,4.0,3.0,5.0,2.0,8.0,7.0,13.0,14.0,30.0,17.0,22.0,10.0,6.0,15.0,41.0,29.0,24.0,18.0,9.0,59.0,58.0,23.0,12.0,19.0,55.0,11.0,46.0,50.0
