,hsa-miR-548d-3p,hsa-miR-548b-5p,hsv1-miR-H2-3p,hsa-miR-1256,hsa-miR-574-5p,hsa-miR-770-5p,hsa-miR-449b,kshv-miR-K12-11,hsa-miR-1910,hsa-miR-33b,hsa-miR-22,hsa-miR-892a,hsa-miR-223,hsa-miR-604,hsa-miR-584,hsa-miR-579,hsa-miR-30c,hsa-miR-2276,hsa-miR-511,hsa-miR-451,hsa-miR-1908,hsa-miR-146b-5p,hsa-miR-222,hsa-miR-1254,hsa-miR-31,hsa-miR-486-3p,hsa-miR-205,ebv-miR-BART13,hsa-miR-1271,hsa-miR-155
505,2.0,0.0,11.0,16.0,19.0,3.0,18.0,14.0,10.0,45.0,110.0,99.0,1.0,46.0,214.0,44.0,72.0,5.0,48.0,54.0,17.0,32.0,7.0,88.0,76.0,67.0,13.0,57.0,58.0,80.0
554,19.0,3.0,4.0,9.0,7.0,46.0,107.0,23.0,0.0,10.0,70.0,127.0,25.0,96.0,115.0,67.0,68.0,21.0,37.0,57.0,44.0,106.0,49.0,31.0,102.0,73.0,59.0,156.0,112.0,56.0
603,4.0,39.0,3.0,12.0,6.0,23.0,22.0,5.0,1.0,9.0,11.0,73.0,14.0,148.0,43.0,65.0,41.0,17.0,45.0,89.0,34.0,105.0,2.0,197.0,44.0,56.0,18.0,10.0,40.0,7.0
652,1.0,18.0,4.0,7.0,15.0,30.0,26.0,2.0,0.0,22.0,53.0,174.0,16.0,97.0,45.0,9.0,166.0,5.0,77.0,137.0,20.0,54.0,8.0,105.0,130.0,189.0,25.0,3.0,56.0,128.0
701,25.0,2.0,7.0,10.0,76.0,23.0,28.0,0.0,1.0,32.0,12.0,93.0,4.0,26.0,74.0,38.0,44.0,11.0,8.0,48.0,14.0,53.0,13.0,75.0,79.0,43.0,16.0,80.0,34.0,9.0
750,38.0,8.0,4.0,41.0,30.0,1.0,3.0,21.0,0.0,50.0,27.0,105.0,10.0,117.0,9.0,29.0,25.0,5.0,28.0,123.0,36.0,16.0,19.0,115.0,32.0,64.0,55.0,17.0,57.0,53.0
799,18.0,1.0,5.0,0.0,7.0,9.0,20.0,3.0,22.0,97.0,52.0,103.0,6.0,176.0,122.0,55.0,48.0,86.0,140.0,127.0,8.0,43.0,45.0,74.0,30.0,60.0,42.0,12.0,67.0,99.0
848,3.0,2.0,8.0,9.0,18.0,17.0,34.0,5.0,0.0,88.0,22.0,118.0,23.0,57.0,131.0,31.0,24.0,7.0,128.0,50.0,11.0,48.0,6.0,93.0,204.0,38.0,35.0,19.0,100.0,104.0
897,12.0,2.0,14.0,11.0,17.0,132.0,126.0,3.0,1.0,20.0,53.0,51.0,27.0,164.0,61.0,4.0,50.0,10.0,146.0,106.0,19.0,40.0,0.0,36.0,123.0,208.0,15.0,23.0,66.0,74.0
946,5.0,47.0,7.0,2.0,30.0,89.0,37.0,4.0,0.0,65.0,66.0,222.0,9.0,6.0,76.0,8.0,25.0,16.0,17.0,82.0,71.0,43.0,1.0,106.0,199.0,152.0,14.0,27.0,98.0,110.0
995,1.0,29.0,48.0,21.0,8.0,13.0,22.0,26.0,0.0,123.0,2.0,53.0,16.0,27.0,35.0,12.0,7.0,46.0,32.0,18.0,39.0,11.0,50.0,54.0,75.0,76.0,5.0,31.0,65.0,37.0
1044,3.0,5.0,2.0,17.0,1.0,7.0,13.0,62.0,42.0,6.0,131.0,52.0,34.0,98.0,36.0,12.0,15.0,56.0,22.0,28.0,71.0,38.0,104.0,27.0,88.0,59.0,21.0,30.0,16.0,118.0
1093,2.0,5.0,3.0,20.0,37.0,11.0,14.0,7.0,0.0,17.0,21.0,74.0,52.0,51.0,73.0,6.0,26.0,101.0,39.0,12.0,60.0,18.0,13.0,24.0,230.0,47.0,15.0,70.0,50.0,45.0
1142,1.0,23.0,28.0,17.0,2.0,34.0,0.0,30.0,3.0,62.0,26.0,16.0,66.0,27.0,6.0,13.0,88.0,9.0,272.0,5.0,20.0,11.0,32.0,40.0,115.0,21.0,45.0,51.0,37.0,227.0
1191,1.0,29.0,8.0,4.0,38.0,9.0,0.0,2.0,3.0,5.0,23.0,21.0,57.0,74.0,43.0,26.0,25.0,94.0,107.0,27.0,51.0,42.0,110.0,31.0,148.0,37.0,12.0,18.0,17.0,30.0
1240,4.0,32.0,1.0,0.0,28.0,9.0,6.0,11.0,2.0,12.0,136.0,31.0,51.0,25.0,152.0,18.0,21.0,58.0,14.0,19.0,17.0,128.0,5.0,8.0,84.0,33.0,20.0,10.0,76.0,52.0
1289,3.0,22.0,11.0,31.0,1.0,7.0,4.0,13.0,0.0,19.0,17.0,16.0,40.0,30.0,57.0,33.0,25.0,21.0,105.0,2.0,26.0,71.0,38.0,32.0,181.0,84.0,10.0,50.0,34.0,59.0
1338,1.0,11.0,5.0,6.0,0.0,16.0,44.0,2.0,12.0,18.0,25.0,64.0,10.0,226.0,102.0,8.0,32.0,195.0,123.0,19.0,28.0,81.0,88.0,43.0,83.0,35.0,9.0,7.0,39.0,13.0
1387,7.0,46.0,67.0,16.0,3.0,6.0,1.0,49.0,5.0,43.0,11.0,304.0,66.0,14.0,61.0,102.0,19.0,18.0,45.0,24.0,32.0,221.0,51.0,122.0,130.0,42.0,8.0,78.0,13.0,41.0
1436,6.0,2.0,14.0,134.0,3.0,10.0,1.0,5.0,0.0,16.0,20.0,36.0,29.0,66.0,32.0,13.0,111.0,40.0,178.0,19.0,95.0,61.0,103.0,49.0,114.0,47.0,27.0,51.0,30.0,41.0
1485,1.0,0.0,34.0,19.0,16.0,2.0,8.0,3.0,22.0,20.0,5.0,46.0,50.0,26.0,37.0,36.0,41.0,106.0,4.0,30.0,115.0,12.0,139.0,87.0,11.0,25.0,174.0,21.0,24.0,6.0
1534,2.0,3.0,50.0,5.0,78.0,27.0,11.0,1.0,12.0,9.0,17.0,122.0,34.0,32.0,15.0,41.0,112.0,13.0,72.0,38.0,136.0,21.0,49.0,82.0,6.0,4.0,60.0,14.0,75.0,10.0
1583,0.0,8.0,5.0,6.0,12.0,18.0,2.0,1.0,7.0,17.0,32.0,219.0,66.0,281.0,47.0,35.0,21.0,137.0,59.0,27.0,89.0,9.0,31.0,20.0,22.0,23.0,123.0,10.0,51.0,37.0
1632,12.0,11.0,15.0,0.0,17.0,9.0,6.0,2.0,8.0,14.0,1.0,49.0,10.0,271.0,73.0,7.0,80.0,109.0,41.0,36.0,58.0,23.0,165.0,61.0,30.0,5.0,107.0,22.0,124.0,4.0
1681,3.0,5.0,42.0,41.0,4.0,34.0,6.0,23.0,19.0,2.0,22.0,12.0,212.0,254.0,9.0,13.0,29.0,17.0,26.0,15.0,24.0,21.0,73.0,108.0,10.0,16.0,96.0,11.0,38.0,0.0
1730,12.0,3.0,30.0,13.0,4.0,16.0,10.0,0.0,21.0,2.0,18.0,96.0,88.0,277.0,9.0,33.0,41.0,19.0,17.0,27.0,45.0,69.0,42.0,37.0,6.0,8.0,115.0,34.0,35.0,26.0
1779,2.0,6.0,10.0,1.0,34.0,11.0,27.0,13.0,28.0,0.0,8.0,95.0,142.0,223.0,4.0,26.0,48.0,74.0,22.0,23.0,38.0,61.0,44.0,37.0,47.0,20.0,156.0,18.0,148.0,21.0
1828,13.0,2.0,21.0,0.0,57.0,7.0,16.0,1.0,39.0,19.0,24.0,9.0,34.0,182.0,42.0,15.0,71.0,35.0,3.0,26.0,62.0,5.0,14.0,22.0,8.0,25.0,132.0,17.0,55.0,4.0
1877,3.0,5.0,6.0,14.0,27.0,57.0,9.0,12.0,17.0,35.0,26.0,19.0,67.0,183.0,18.0,4.0,28.0,108.0,81.0,34.0,111.0,2.0,40.0,43.0,20.0,8.0,113.0,13.0,94.0,39.0
1926,8.0,19.0,31.0,1.0,18.0,3.0,25.0,0.0,14.0,5.0,27.0,182.0,140.0,344.0,15.0,93.0,50.0,111.0,144.0,33.0,145.0,23.0,105.0,6.0,2.0,13.0,148.0,36.0,4.0,10.0
1975,104.0,15.0,146.0,0.0,2.0,1.0,13.0,53.0,5.0,35.0,40.0,11.0,22.0,42.0,24.0,171.0,69.0,62.0,215.0,20.0,116.0,17.0,71.0,3.0,16.0,269.0,34.0,36.0,7.0,106.0
2024,3.0,6.0,1.0,19.0,0.0,11.0,160.0,29.0,2.0,14.0,17.0,70.0,116.0,51.0,23.0,28.0,62.0,9.0,264.0,68.0,33.0,194.0,54.0,7.0,114.0,74.0,61.0,24.0,15.0,189.0
2073,43.0,7.0,11.0,0.0,1.0,38.0,67.0,3.0,5.0,19.0,16.0,4.0,29.0,17.0,10.0,9.0,174.0,18.0,47.0,34.0,54.0,66.0,20.0,2.0,70.0,131.0,49.0,36.0,12.0,59.0
2122,29.0,8.0,26.0,0.0,2.0,1.0,40.0,4.0,7.0,36.0,41.0,5.0,16.0,21.0,68.0,46.0,171.0,22.0,296.0,59.0,34.0,104.0,55.0,6.0,18.0,70.0,28.0,51.0,10.0,228.0
2171,11.0,6.0,4.0,0.0,1.0,9.0,10.0,20.0,15.0,29.0,99.0,26.0,118.0,5.0,42.0,13.0,146.0,32.0,85.0,56.0,37.0,62.0,46.0,7.0,43.0,204.0,105.0,190.0,18.0,213.0
2220,64.0,10.0,35.0,2.0,0.0,1.0,68.0,55.0,27.0,16.0,30.0,9.0,25.0,15.0,17.0,3.0,63.0,122.0,29.0,54.0,45.0,31.0,23.0,5.0,177.0,218.0,60.0,41.0,59.0,109.0
2269,14.0,11.0,16.0,0.0,2.0,3.0,121.0,28.0,8.0,62.0,48.0,23.0,12.0,17.0,335.0,15.0,83.0,34.0,163.0,38.0,46.0,49.0,103.0,4.0,110.0,219.0,79.0,130.0,24.0,99.0
2318,49.0,2.0,16.0,3.0,13.0,11.0,26.0,4.0,5.0,83.0,24.0,15.0,10.0,27.0,6.0,39.0,113.0,38.0,88.0,56.0,98.0,28.0,72.0,1.0,46.0,220.0,32.0,19.0,25.0,161.0
2367,11.0,55.0,106.0,0.0,1.0,8.0,31.0,15.0,32.0,76.0,12.0,13.0,35.0,2.0,10.0,34.0,30.0,17.0,85.0,113.0,88.0,29.0,56.0,24.0,118.0,308.0,39.0,95.0,4.0,244.0
2416,17.0,8.0,71.0,0.0,1.0,4.0,23.0,2.0,3.0,85.0,6.0,15.0,22.0,52.0,13.0,5.0,41.0,10.0,106.0,54.0,254.0,38.0,105.0,24.0,156.0,76.0,57.0,19.0,14.0,37.0
2465,1.0,72.0,45.0,2.0,5.0,4.0,24.0,3.0,10.0,18.0,12.0,9.0,43.0,20.0,7.0,19.0,6.0,0.0,13.0,21.0,14.0,416.0,39.0,26.0,84.0,11.0,133.0,97.0,75.0,100.0
2514,1.0,9.0,0.0,2.0,8.0,10.0,5.0,17.0,37.0,27.0,3.0,7.0,26.0,16.0,28.0,4.0,33.0,38.0,120.0,53.0,81.0,97.0,20.0,188.0,64.0,14.0,13.0,6.0,58.0,40.0
2563,1.0,13.0,2.0,0.0,58.0,5.0,37.0,8.0,63.0,3.0,85.0,4.0,23.0,16.0,10.0,7.0,24.0,53.0,17.0,18.0,30.0,294.0,27.0,25.0,32.0,43.0,222.0,15.0,182.0,133.0
2612,0.0,40.0,6.0,2.0,4.0,5.0,71.0,15.0,101.0,7.0,12.0,10.0,18.0,3.0,11.0,22.0,13.0,39.0,34.0,27.0,26.0,255.0,154.0,142.0,110.0,25.0,54.0,16.0,187.0,135.0
2661,2.0,39.0,13.0,1.0,45.0,23.0,11.0,32.0,35.0,15.0,4.0,0.0,6.0,8.0,3.0,17.0,29.0,9.0,12.0,19.0,7.0,171.0,68.0,168.0,60.0,64.0,14.0,30.0,111.0,33.0
2710,1.0,106.0,7.0,16.0,22.0,11.0,3.0,18.0,23.0,19.0,25.0,10.0,52.0,6.0,8.0,0.0,9.0,4.0,125.0,77.0,2.0,162.0,74.0,141.0,32.0,49.0,14.0,59.0,100.0,37.0
2759,0.0,24.0,1.0,14.0,27.0,23.0,25.0,22.0,37.0,12.0,26.0,8.0,17.0,15.0,2.0,10.0,5.0,46.0,139.0,82.0,6.0,76.0,36.0,52.0,62.0,39.0,75.0,4.0,289.0,50.0
2808,1.0,81.0,3.0,0.0,8.0,5.0,4.0,9.0,20.0,24.0,16.0,2.0,17.0,52.0,13.0,10.0,22.0,53.0,88.0,31.0,18.0,196.0,145.0,26.0,56.0,150.0,60.0,6.0,264.0,65.0
2857,0.0,43.0,3.0,1.0,9.0,16.0,5.0,11.0,141.0,48.0,8.0,4.0,6.0,17.0,18.0,2.0,10.0,54.0,144.0,96.0,90.0,94.0,239.0,125.0,42.0,7.0,120.0,12.0,110.0,32.0
2906,1.0,38.0,8.0,5.0,4.0,10.0,14.0,11.0,81.0,0.0,30.0,6.0,24.0,21.0,3.0,7.0,34.0,25.0,23.0,33.0,29.0,157.0,173.0,102.0,2.0,15.0,151.0,17.0,58.0,26.0
2955,7.0,9.0,21.0,41.0,6.0,3.0,14.0,47.0,49.0,63.0,1.0,11.0,22.0,83.0,23.0,98.0,5.0,36.0,26.0,28.0,39.0,95.0,131.0,51.0,66.0,18.0,35.0,59.0,87.0,75.0
3004,60.0,48.0,22.0,38.0,4.0,16.0,43.0,46.0,139.0,5.0,1.0,10.0,40.0,168.0,21.0,35.0,27.0,74.0,14.0,30.0,52.0,68.0,144.0,9.0,17.0,59.0,200.0,57.0,108.0,37.0
3053,6.0,63.0,3.0,357.0,7.0,8.0,4.0,122.0,109.0,5.0,43.0,38.0,28.0,67.0,22.0,10.0,1.0,41.0,23.0,61.0,53.0,40.0,17.0,39.0,100.0,73.0,11.0,188.0,51.0,46.0
3102,46.0,58.0,30.0,156.0,6.0,12.0,3.0,40.0,10.0,54.0,9.0,29.0,19.0,28.0,16.0,32.0,8.0,44.0,5.0,64.0,61.0,65.0,125.0,11.0,68.0,92.0,23.0,171.0,94.0,70.0
3151,2.0,188.0,33.0,56.0,8.0,9.0,3.0,26.0,45.0,15.0,63.0,20.0,91.0,84.0,107.0,18.0,5.0,34.0,157.0,38.0,27.0,40.0,125.0,7.0,21.0,72.0,50.0,134.0,47.0,37.0
3200,45.0,93.0,22.0,31.0,7.0,21.0,12.0,55.0,20.0,122.0,6.0,5.0,1.0,154.0,17.0,47.0,25.0,35.0,34.0,30.0,121.0,23.0,119.0,16.0,19.0,10.0,28.0,353.0,52.0,113.0
3249,6.0,50.0,11.0,63.0,2.0,0.0,13.0,23.0,32.0,10.0,19.0,7.0,81.0,93.0,27.0,24.0,4.0,86.0,5.0,51.0,26.0,159.0,9.0,12.0,80.0,34.0,47.0,18.0,39.0,78.0
3298,83.0,50.0,25.0,87.0,108.0,2.0,47.0,44.0,99.0,23.0,1.0,29.0,20.0,51.0,12.0,54.0,5.0,81.0,6.0,60.0,56.0,30.0,112.0,19.0,42.0,105.0,80.0,101.0,92.0,73.0
3347,14.0,53.0,46.0,37.0,15.0,1.0,12.0,231.0,21.0,31.0,13.0,19.0,7.0,16.0,8.0,41.0,23.0,10.0,26.0,45.0,44.0,169.0,17.0,29.0,132.0,9.0,131.0,380.0,59.0,40.0
3396,17.0,79.0,14.0,48.0,21.0,1.0,6.0,97.0,33.0,7.0,10.0,19.0,87.0,57.0,2.0,16.0,13.0,22.0,3.0,180.0,67.0,102.0,106.0,15.0,59.0,31.0,130.0,172.0,115.0,28.0
3445,10.0,6.0,5.0,1.0,0.0,21.0,12.0,9.0,255.0,18.0,23.0,66.0,4.0,16.0,223.0,87.0,53.0,70.0,24.0,31.0,20.0,65.0,120.0,38.0,8.0,14.0,47.0,75.0,7.0,25.0
3494,124.0,13.0,1.0,3.0,39.0,35.0,0.0,25.0,357.0,34.0,47.0,92.0,10.0,9.0,61.0,125.0,17.0,22.0,170.0,58.0,82.0,2.0,28.0,99.0,20.0,7.0,4.0,77.0,38.0,70.0
3543,5.0,12.0,2.0,3.0,4.0,47.0,20.0,72.0,171.0,39.0,9.0,16.0,35.0,1.0,40.0,205.0,24.0,82.0,152.0,43.0,59.0,10.0,18.0,28.0,34.0,8.0,27.0,62.0,25.0,99.0
3592,77.0,1.0,0.0,2.0,30.0,14.0,8.0,16.0,106.0,11.0,10.0,32.0,6.0,38.0,40.0,123.0,15.0,97.0,24.0,72.0,140.0,4.0,9.0,42.0,19.0,46.0,68.0,143.0,63.0,36.0
3641,24.0,1.0,8.0,10.0,0.0,51.0,9.0,12.0,196.0,11.0,14.0,20.0,27.0,15.0,97.0,127.0,36.0,46.0,61.0,16.0,28.0,4.0,34.0,49.0,2.0,5.0,66.0,75.0,17.0,137.0
3690,7.0,4.0,0.0,22.0,18.0,51.0,6.0,5.0,127.0,3.0,9.0,80.0,17.0,23.0,87.0,132.0,27.0,68.0,40.0,26.0,43.0,2.0,12.0,81.0,34.0,16.0,15.0,13.0,14.0,47.0
3739,2.0,1.0,24.0,10.0,9.0,44.0,3.0,16.0,127.0,14.0,5.0,18.0,8.0,19.0,56.0,104.0,7.0,33.0,46.0,52.0,32.0,15.0,36.0,48.0,11.0,77.0,84.0,25.0,4.0,88.0
3788,56.0,4.0,26.0,23.0,7.0,68.0,3.0,0.0,89.0,24.0,38.0,109.0,49.0,8.0,166.0,227.0,12.0,64.0,1.0,11.0,30.0,6.0,20.0,16.0,14.0,31.0,175.0,86.0,13.0,41.0
3837,25.0,2.0,18.0,5.0,19.0,11.0,13.0,16.0,188.0,12.0,7.0,59.0,24.0,31.0,46.0,250.0,8.0,236.0,157.0,3.0,17.0,15.0,68.0,29.0,21.0,22.0,52.0,1.0,14.0,49.0
3886,230.0,45.0,2.0,6.0,8.0,60.0,111.0,183.0,174.0,24.0,23.0,13.0,49.0,139.0,63.0,84.0,11.0,282.0,29.0,53.0,39.0,5.0,12.0,28.0,33.0,70.0,51.0,101.0,34.0,188.0
3935,43.0,10.0,6.0,23.0,38.0,70.0,2.0,125.0,12.0,50.0,13.0,8.0,30.0,3.0,4.0,14.0,58.0,1.0,0.0,21.0,75.0,7.0,32.0,73.0,40.0,17.0,20.0,189.0,240.0,31.0
3984,7.0,2.0,4.0,0.0,16.0,10.0,36.0,39.0,17.0,8.0,37.0,26.0,1.0,33.0,104.0,15.0,31.0,41.0,24.0,18.0,42.0,30.0,54.0,19.0,29.0,21.0,47.0,183.0,119.0,162.0
4033,8.0,7.0,13.0,97.0,12.0,63.0,1.0,32.0,6.0,2.0,39.0,95.0,10.0,17.0,14.0,0.0,11.0,3.0,46.0,15.0,22.0,4.0,65.0,92.0,5.0,66.0,101.0,133.0,42.0,68.0
4082,23.0,27.0,6.0,21.0,9.0,17.0,0.0,38.0,3.0,26.0,35.0,36.0,22.0,2.0,4.0,18.0,39.0,60.0,1.0,55.0,45.0,12.0,69.0,127.0,156.0,143.0,32.0,15.0,129.0,51.0
4131,13.0,6.0,1.0,0.0,8.0,25.0,51.0,49.0,10.0,5.0,12.0,2.0,31.0,4.0,48.0,19.0,35.0,101.0,11.0,14.0,16.0,36.0,94.0,33.0,39.0,15.0,142.0,24.0,123.0,29.0
4180,10.0,2.0,5.0,0.0,103.0,7.0,21.0,52.0,15.0,38.0,12.0,19.0,1.0,24.0,70.0,20.0,69.0,30.0,158.0,22.0,58.0,18.0,73.0,36.0,13.0,4.0,213.0,227.0,33.0,172.0
4229,3.0,2.0,0.0,26.0,13.0,41.0,46.0,11.0,5.0,6.0,14.0,20.0,48.0,55.0,258.0,133.0,61.0,66.0,35.0,27.0,17.0,29.0,118.0,102.0,74.0,28.0,10.0,25.0,127.0,84.0
4278,8.0,5.0,7.0,0.0,41.0,61.0,28.0,53.0,1.0,11.0,23.0,19.0,6.0,15.0,91.0,14.0,34.0,20.0,22.0,65.0,29.0,4.0,37.0,17.0,12.0,74.0,66.0,119.0,98.0,16.0
4327,118.0,1.0,13.0,2.0,10.0,74.0,16.0,44.0,0.0,4.0,8.0,82.0,112.0,3.0,62.0,49.0,19.0,9.0,12.0,26.0,70.0,85.0,31.0,40.0,72.0,34.0,77.0,53.0,65.0,96.0
4376,3.0,2.0,50.0,1.0,7.0,9.0,5.0,8.0,0.0,33.0,6.0,4.0,56.0,15.0,26.0,17.0,55.0,16.0,36.0,29.0,18.0,12.0,114.0,40.0,35.0,34.0,87.0,118.0,27.0,42.0
4425,0.0,1.0,11.0,18.0,27.0,69.0,21.0,26.0,6.0,17.0,7.0,3.0,12.0,14.0,29.0,105.0,40.0,2.0,19.0,35.0,25.0,24.0,9.0,78.0,91.0,136.0,124.0,101.0,93.0,48.0
4474,5.0,0.0,22.0,24.0,20.0,145.0,43.0,45.0,6.0,83.0,53.0,21.0,1.0,11.0,60.0,78.0,2.0,16.0,63.0,119.0,109.0,9.0,17.0,44.0,322.0,125.0,98.0,134.0,80.0,25.0
4523,2.0,0.0,10.0,41.0,43.0,25.0,48.0,117.0,4.0,51.0,3.0,8.0,23.0,26.0,18.0,388.0,46.0,1.0,34.0,83.0,7.0,6.0,32.0,151.0,17.0,74.0,37.0,71.0,47.0,15.0
4572,0.0,4.0,97.0,25.0,10.0,34.0,21.0,22.0,64.0,23.0,118.0,3.0,8.0,6.0,11.0,36.0,43.0,5.0,9.0,45.0,15.0,31.0,39.0,106.0,165.0,57.0,71.0,135.0,13.0,32.0
4621,37.0,1.0,26.0,17.0,34.0,177.0,58.0,5.0,16.0,36.0,7.0,22.0,8.0,14.0,0.0,109.0,21.0,2.0,135.0,28.0,113.0,100.0,62.0,45.0,6.0,10.0,212.0,311.0,110.0,117.0
4670,11.0,1.0,59.0,25.0,5.0,177.0,17.0,64.0,4.0,31.0,8.0,2.0,51.0,63.0,23.0,30.0,12.0,0.0,49.0,43.0,46.0,10.0,14.0,97.0,267.0,28.0,34.0,40.0,127.0,32.0
4719,6.0,1.0,94.0,28.0,18.0,41.0,61.0,4.0,3.0,13.0,17.0,0.0,25.0,23.0,2.0,113.0,26.0,19.0,32.0,57.0,16.0,15.0,39.0,7.0,30.0,114.0,352.0,100.0,8.0,33.0
4768,9.0,8.0,0.0,7.0,42.0,77.0,39.0,13.0,3.0,10.0,5.0,1.0,21.0,17.0,11.0,59.0,24.0,4.0,114.0,46.0,162.0,19.0,26.0,118.0,94.0,36.0,63.0,82.0,35.0,242.0
4817,11.0,1.0,12.0,15.0,78.0,172.0,8.0,2.0,4.0,28.0,5.0,10.0,46.0,128.0,3.0,161.0,54.0,22.0,21.0,75.0,79.0,41.0,9.0,57.0,26.0,195.0,49.0,14.0,97.0,58.0
4866,29.0,0.0,23.0,42.0,31.0,16.0,6.0,7.0,10.0,15.0,12.0,1.0,27.0,19.0,24.0,192.0,62.0,3.0,33.0,26.0,2.0,66.0,21.0,76.0,80.0,71.0,57.0,184.0,36.0,69.0
