,ACOT1_DEL,HEATR4_DEL,HLA-DRB6_AMP,LINC00226_AMP,OR51A2_DEL,PRSS2_DEL,PRSS3P2_DEL,HCG4B_DEL,LOC391322_AMP,ADAM5_DEL,SIRPB1_AMP,GSTT1_AMP,ADAM3A_DEL,TAG_DEL,GSTTP2_AMP,BMPR2_AMP,UPK3B_AMP,KIAA2022_MUT,BTNL8_DEL,DEFA3_AMP,RHD_AMP,HERC2P2_AMP,PTPRC_MUT,TNK2_MUT,OR2T27_DEL,FRMPD2P1_AMP,MGA_MUT,CES1_AMP,MIR548AI_DEL,SNX29_DEL
3606,14.0,15.0,4.0,6.0,7.0,60.0,61.0,3.0,0.0,10.0,13.0,1.0,9.0,11.0,2.0,33.0,18.0,16.0,5.0,23.0,22.0,24.0,30.0,58.0,40.0,138.0,41.0,82.0,20.0,69.0
3655,1.0,2.0,4.0,15.0,11.0,97.0,96.0,0.0,13.0,103.0,6.0,12.0,115.0,38.0,16.0,19.0,14.0,7.0,8.0,33.0,10.0,5.0,23.0,30.0,57.0,29.0,28.0,178.0,9.0,79.0
3704,16.0,17.0,5.0,12.0,4.0,106.0,107.0,32.0,15.0,105.0,7.0,14.0,104.0,9.0,37.0,11.0,3.0,6.0,1.0,21.0,10.0,57.0,20.0,28.0,26.0,2.0,49.0,27.0,80.0,116.0
3753,37.0,36.0,0.0,6.0,17.0,75.0,76.0,9.0,4.0,50.0,1.0,5.0,51.0,2.0,8.0,101.0,38.0,13.0,11.0,16.0,20.0,72.0,30.0,21.0,22.0,18.0,102.0,42.0,15.0,70.0
3802,4.0,3.0,0.0,7.0,18.0,161.0,160.0,1.0,12.0,21.0,15.0,13.0,23.0,47.0,17.0,2.0,14.0,6.0,9.0,5.0,27.0,115.0,67.0,41.0,52.0,24.0,28.0,22.0,25.0,89.0
3851,0.0,1.0,7.0,8.0,139.0,20.0,19.0,11.0,16.0,24.0,9.0,15.0,22.0,4.0,12.0,46.0,2.0,5.0,29.0,23.0,10.0,55.0,47.0,30.0,37.0,80.0,25.0,111.0,6.0,206.0
3900,0.0,1.0,2.0,8.0,14.0,55.0,56.0,4.0,25.0,6.0,19.0,26.0,7.0,99.0,39.0,115.0,15.0,9.0,38.0,86.0,24.0,70.0,33.0,18.0,60.0,16.0,27.0,110.0,23.0,31.0
3949,3.0,2.0,14.0,16.0,28.0,12.0,11.0,18.0,46.0,10.0,34.0,45.0,9.0,8.0,41.0,1.0,191.0,19.0,15.0,13.0,416.0,33.0,125.0,275.0,25.0,31.0,27.0,43.0,32.0,74.0
3998,0.0,1.0,7.0,22.0,41.0,2.0,3.0,13.0,55.0,5.0,12.0,56.0,4.0,280.0,54.0,11.0,50.0,14.0,21.0,16.0,213.0,40.0,45.0,66.0,17.0,208.0,35.0,23.0,165.0,353.0
4047,0.0,1.0,14.0,45.0,5.0,2.0,3.0,6.0,41.0,17.0,18.0,42.0,16.0,190.0,39.0,7.0,88.0,27.0,8.0,24.0,69.0,151.0,61.0,22.0,57.0,70.0,36.0,26.0,118.0,153.0
4096,0.0,1.0,2.0,32.0,50.0,3.0,4.0,8.0,30.0,7.0,135.0,31.0,6.0,29.0,33.0,5.0,134.0,14.0,12.0,13.0,164.0,39.0,48.0,24.0,27.0,96.0,15.0,16.0,23.0,125.0
4145,28.0,29.0,2.0,69.0,112.0,4.0,3.0,7.0,310.0,1.0,128.0,311.0,0.0,23.0,314.0,6.0,288.0,27.0,10.0,12.0,35.0,135.0,52.0,16.0,22.0,40.0,11.0,14.0,8.0,262.0
4194,0.0,1.0,2.0,10.0,96.0,12.0,13.0,5.0,63.0,3.0,69.0,64.0,4.0,264.0,65.0,14.0,79.0,43.0,9.0,34.0,532.0,97.0,23.0,19.0,36.0,15.0,35.0,21.0,125.0,154.0
4243,7.0,6.0,11.0,19.0,18.0,2.0,1.0,10.0,21.0,5.0,24.0,22.0,4.0,72.0,32.0,9.0,27.0,23.0,8.0,20.0,88.0,141.0,73.0,66.0,17.0,78.0,16.0,15.0,34.0,130.0
4292,1.0,0.0,4.0,49.0,17.0,3.0,2.0,10.0,151.0,7.0,55.0,152.0,6.0,163.0,87.0,11.0,60.0,13.0,53.0,15.0,77.0,16.0,113.0,33.0,12.0,42.0,34.0,50.0,41.0,35.0
4341,5.0,4.0,0.0,82.0,15.0,8.0,7.0,10.0,57.0,2.0,110.0,58.0,1.0,184.0,53.0,6.0,63.0,46.0,21.0,26.0,61.0,33.0,25.0,22.0,13.0,40.0,14.0,49.0,95.0,42.0
4390,1.0,2.0,0.0,58.0,30.0,5.0,4.0,7.0,44.0,8.0,268.0,43.0,6.0,207.0,34.0,10.0,139.0,29.0,9.0,16.0,185.0,56.0,101.0,71.0,25.0,123.0,35.0,14.0,63.0,61.0
4439,66.0,70.0,4.0,37.0,7.0,14.0,13.0,79.0,1.0,16.0,6.0,2.0,20.0,5.0,0.0,3.0,21.0,43.0,11.0,50.0,109.0,52.0,15.0,119.0,56.0,18.0,84.0,105.0,155.0,33.0
4488,33.0,38.0,9.0,8.0,14.0,27.0,26.0,43.0,0.0,5.0,23.0,1.0,6.0,7.0,2.0,11.0,144.0,94.0,16.0,31.0,34.0,174.0,35.0,57.0,54.0,10.0,223.0,18.0,20.0,81.0
4537,13.0,14.0,0.0,24.0,6.0,8.0,7.0,22.0,1.0,3.0,12.0,2.0,5.0,11.0,4.0,10.0,35.0,89.0,45.0,43.0,76.0,91.0,9.0,110.0,155.0,19.0,113.0,17.0,39.0,38.0
4586,20.0,21.0,5.0,18.0,4.0,3.0,2.0,10.0,11.0,25.0,19.0,12.0,24.0,0.0,13.0,1.0,27.0,43.0,6.0,34.0,175.0,5725.0,33.0,42.0,37.0,16.0,83.0,9.0,14.0,35.0
4635,3.0,4.0,11.0,25.0,7.0,9.0,8.0,158.0,0.0,17.0,138.0,1.0,22.0,19.0,6.0,2.0,49.0,125.0,5.0,28.0,77.0,9324.0,13.0,45.0,145.0,15.0,87.0,14.0,563.0,65.0
4684,48.0,52.0,22.0,1.0,2.0,16.0,17.0,53.0,5.0,12.0,3.0,4.0,15.0,0.0,6.0,18.0,25.0,58.0,21.0,40.0,39.0,41.0,30.0,26.0,74.0,20.0,157.0,27.0,61.0,33.0
4733,77.0,90.0,14.0,7.0,3.0,20.0,19.0,15.0,2.0,27.0,16.0,1.0,35.0,0.0,4.0,8.0,47.0,67.0,42.0,38.0,50.0,11845.0,52.0,101.0,71.0,5.0,79.0,9.0,13.0,114.0
4782,8.0,7.0,4.0,23.0,3.0,11.0,12.0,30.0,0.0,15.0,14.0,1.0,18.0,5.0,2.0,27.0,24.0,38.0,10.0,26.0,45.0,148.0,25.0,31.0,32.0,6.0,219.0,34.0,35.0,52.0
4831,58.0,66.0,6.0,12.0,0.0,10.0,9.0,38.0,2.0,18.0,203.0,3.0,20.0,11.0,4.0,7.0,15.0,274.0,84.0,37.0,51.0,3568.0,77.0,43.0,333.0,83.0,144.0,33.0,22.0,30.0
4880,9.0,12.0,13.0,3.0,11.0,1.0,2.0,175.0,7.0,15.0,14.0,8.0,16.0,0.0,10.0,4.0,18.0,65.0,27.0,25.0,38.0,167.0,17.0,37.0,45.0,41.0,97.0,49.0,375.0,126.0
