,HERC5,LEPREL2,PLEKHG4,MYEOV,IFI27,IFITM1,CORO6,MFAP2,C8orf58,GBP5,CHRNB1,ZNF625,GRIN2D,SLFN12,SESN1,MT1E,EDA2R,GNB4,CCRN4L,C3orf18,CSF2RA,ZNF69,RAB31,ASIC1,RP11-132A1.4,FHL3,BTN2A3P,TFAP2E,RPS27L,SCARNA22
598,1.0,3.0,0.0,5.0,21.0,2.0,10.0,29.0,4.0,6.0,19.0,12.0,26.0,7.0,11.0,97.0,9.0,35.0,14.0,66.0,62.0,89.0,13.0,8.0,107.0,54.0,31.0,106.0,27.0,20.0
647,0.0,17.0,12.0,8.0,6.0,7.0,4.0,36.0,9.0,10.0,13.0,27.0,85.0,18.0,15.0,1.0,16.0,119.0,19.0,34.0,98.0,32.0,20.0,5.0,43.0,21.0,89.0,47.0,69.0,58.0
696,2.0,1.0,7.0,0.0,28.0,10.0,46.0,29.0,19.0,71.0,14.0,49.0,114.0,4.0,41.0,3.0,11.0,186.0,69.0,27.0,59.0,5.0,45.0,6.0,26.0,8.0,24.0,77.0,84.0,13.0
745,0.0,7.0,6.0,12.0,15.0,8.0,83.0,14.0,4.0,3.0,56.0,57.0,35.0,2.0,28.0,9.0,1.0,311.0,16.0,62.0,27.0,50.0,22.0,29.0,261.0,71.0,117.0,31.0,55.0,32.0
794,1.0,10.0,22.0,5.0,7.0,0.0,12.0,31.0,3.0,2.0,13.0,18.0,15.0,6.0,98.0,9.0,17.0,108.0,23.0,33.0,28.0,29.0,16.0,14.0,11.0,21.0,19.0,56.0,68.0,51.0
843,0.0,2.0,5.0,1.0,14.0,9.0,27.0,31.0,6.0,7.0,55.0,17.0,67.0,3.0,13.0,4.0,11.0,81.0,38.0,109.0,74.0,79.0,30.0,8.0,179.0,20.0,36.0,40.0,60.0,16.0
892,0.0,17.0,2.0,6.0,7.0,5.0,18.0,99.0,4.0,3.0,27.0,12.0,28.0,10.0,20.0,1.0,14.0,146.0,16.0,98.0,29.0,21.0,11.0,57.0,41.0,19.0,144.0,65.0,62.0,81.0
941,0.0,4.0,9.0,10.0,3.0,2.0,8.0,74.0,1.0,6.0,53.0,18.0,47.0,17.0,61.0,7.0,12.0,62.0,54.0,38.0,102.0,15.0,16.0,22.0,104.0,29.0,34.0,27.0,37.0,50.0
990,0.0,1.0,2.0,11.0,6.0,10.0,5.0,4.0,33.0,7.0,25.0,3.0,272.0,102.0,236.0,14.0,19.0,15.0,58.0,8.0,57.0,80.0,205.0,166.0,47.0,34.0,12.0,20.0,93.0,36.0
1039,0.0,1.0,3.0,28.0,5.0,4.0,9.0,2.0,8.0,18.0,24.0,15.0,16.0,6.0,47.0,34.0,13.0,23.0,14.0,44.0,29.0,31.0,21.0,218.0,12.0,45.0,55.0,33.0,203.0,132.0
1088,8.0,1.0,0.0,3.0,53.0,2.0,11.0,10.0,5.0,6.0,61.0,7.0,14.0,38.0,164.0,26.0,28.0,66.0,25.0,15.0,22.0,73.0,41.0,105.0,35.0,12.0,34.0,83.0,30.0,169.0
1137,0.0,2.0,16.0,3.0,5.0,7.0,1.0,8.0,9.0,4.0,17.0,13.0,11.0,21.0,32.0,28.0,10.0,27.0,23.0,12.0,56.0,6.0,65.0,146.0,24.0,58.0,105.0,14.0,83.0,46.0
1186,0.0,3.0,1.0,10.0,12.0,5.0,2.0,4.0,29.0,14.0,93.0,18.0,6.0,31.0,112.0,7.0,68.0,17.0,24.0,32.0,13.0,266.0,15.0,228.0,20.0,40.0,76.0,33.0,239.0,70.0
1235,0.0,1.0,2.0,13.0,21.0,6.0,12.0,3.0,14.0,7.0,121.0,18.0,34.0,5.0,71.0,173.0,37.0,16.0,10.0,44.0,33.0,95.0,17.0,183.0,123.0,87.0,197.0,19.0,53.0,124.0
1284,0.0,3.0,1.0,4.0,8.0,2.0,7.0,6.0,15.0,11.0,24.0,14.0,5.0,9.0,300.0,27.0,70.0,30.0,29.0,31.0,18.0,160.0,61.0,138.0,20.0,37.0,80.0,22.0,89.0,56.0
1333,0.0,1.0,3.0,2.0,4.0,5.0,6.0,39.0,14.0,7.0,20.0,9.0,8.0,17.0,126.0,11.0,31.0,10.0,57.0,49.0,19.0,15.0,27.0,378.0,86.0,85.0,36.0,30.0,38.0,173.0
1382,0.0,1.0,5.0,18.0,9.0,2.0,8.0,13.0,15.0,3.0,24.0,7.0,37.0,4.0,105.0,6.0,50.0,20.0,60.0,25.0,162.0,70.0,30.0,79.0,141.0,23.0,101.0,51.0,127.0,61.0
1431,2.0,0.0,3.0,8.0,15.0,1.0,7.0,6.0,18.0,21.0,103.0,11.0,5.0,120.0,72.0,39.0,30.0,49.0,88.0,10.0,13.0,28.0,29.0,397.0,202.0,63.0,48.0,40.0,219.0,170.0
1480,5.0,1.0,2.0,0.0,15.0,11.0,156.0,8.0,6.0,18.0,35.0,4.0,9.0,3.0,7.0,89.0,76.0,42.0,20.0,163.0,64.0,17.0,27.0,261.0,88.0,61.0,231.0,101.0,10.0,93.0
1529,0.0,1.0,38.0,2.0,33.0,7.0,212.0,12.0,20.0,25.0,4.0,5.0,8.0,3.0,63.0,6.0,14.0,73.0,52.0,10.0,23.0,16.0,45.0,15.0,300.0,17.0,64.0,88.0,34.0,49.0
1578,1.0,0.0,26.0,2.0,47.0,3.0,22.0,29.0,8.0,11.0,6.0,5.0,25.0,19.0,10.0,17.0,42.0,14.0,51.0,85.0,74.0,4.0,76.0,24.0,97.0,56.0,30.0,84.0,23.0,65.0
1627,8.0,0.0,3.0,1.0,23.0,19.0,16.0,7.0,17.0,142.0,24.0,4.0,18.0,10.0,15.0,2.0,85.0,165.0,114.0,12.0,203.0,5.0,50.0,14.0,272.0,25.0,53.0,71.0,11.0,105.0
1676,3.0,0.0,9.0,2.0,50.0,5.0,47.0,7.0,14.0,13.0,82.0,1.0,15.0,4.0,18.0,6.0,58.0,11.0,78.0,24.0,120.0,8.0,39.0,57.0,54.0,52.0,65.0,132.0,130.0,30.0
1725,3.0,0.0,10.0,2.0,34.0,4.0,42.0,31.0,6.0,33.0,5.0,1.0,22.0,50.0,9.0,16.0,26.0,14.0,25.0,15.0,41.0,17.0,82.0,55.0,115.0,28.0,20.0,80.0,11.0,36.0
1774,1.0,0.0,42.0,2.0,67.0,6.0,83.0,56.0,4.0,46.0,9.0,7.0,8.0,3.0,28.0,59.0,27.0,18.0,58.0,129.0,19.0,5.0,12.0,38.0,22.0,60.0,66.0,244.0,11.0,30.0
1823,9.0,1.0,6.0,0.0,63.0,2.0,56.0,23.0,4.0,26.0,27.0,3.0,15.0,7.0,5.0,205.0,16.0,60.0,18.0,14.0,11.0,8.0,33.0,12.0,156.0,46.0,65.0,188.0,17.0,34.0
1872,2.0,0.0,11.0,1.0,31.0,6.0,53.0,3.0,8.0,17.0,18.0,4.0,7.0,10.0,14.0,29.0,22.0,67.0,66.0,55.0,25.0,5.0,19.0,15.0,9.0,46.0,16.0,75.0,43.0,89.0
1921,13.0,1.0,70.0,0.0,18.0,3.0,430.0,7.0,11.0,23.0,10.0,8.0,21.0,6.0,4.0,33.0,9.0,107.0,24.0,28.0,49.0,2.0,55.0,37.0,14.0,36.0,32.0,128.0,26.0,183.0
1970,3.0,1.0,0.0,4.0,2.0,8.0,27.0,30.0,7.0,13.0,15.0,9.0,23.0,387.0,16.0,17.0,231.0,48.0,12.0,163.0,6.0,164.0,24.0,31.0,21.0,59.0,192.0,41.0,92.0,113.0
2019,1.0,2.0,0.0,4.0,5.0,6.0,12.0,16.0,11.0,10.0,24.0,9.0,8.0,117.0,15.0,23.0,130.0,88.0,22.0,75.0,3.0,26.0,27.0,133.0,14.0,78.0,28.0,44.0,142.0,55.0
2068,0.0,1.0,2.0,3.0,9.0,20.0,6.0,4.0,13.0,11.0,45.0,10.0,14.0,218.0,26.0,46.0,225.0,61.0,17.0,49.0,8.0,89.0,238.0,59.0,22.0,63.0,53.0,39.0,268.0,204.0
2117,1.0,0.0,2.0,3.0,9.0,6.0,63.0,29.0,11.0,69.0,10.0,16.0,8.0,36.0,13.0,7.0,110.0,17.0,32.0,117.0,12.0,92.0,19.0,26.0,91.0,18.0,65.0,77.0,416.0,49.0
2166,0.0,2.0,1.0,4.0,3.0,12.0,13.0,15.0,5.0,10.0,26.0,21.0,9.0,24.0,22.0,124.0,713.0,36.0,11.0,213.0,7.0,81.0,19.0,83.0,123.0,43.0,82.0,44.0,176.0,246.0
2215,0.0,1.0,2.0,7.0,3.0,4.0,20.0,9.0,8.0,6.0,12.0,10.0,5.0,120.0,32.0,27.0,179.0,94.0,23.0,80.0,17.0,75.0,22.0,48.0,16.0,77.0,54.0,58.0,221.0,82.0
2264,0.0,2.0,1.0,5.0,3.0,4.0,35.0,15.0,11.0,9.0,29.0,17.0,6.0,51.0,96.0,37.0,780.0,48.0,7.0,82.0,14.0,483.0,25.0,39.0,27.0,54.0,24.0,47.0,201.0,55.0
2313,2.0,0.0,1.0,3.0,6.0,7.0,13.0,54.0,4.0,9.0,14.0,8.0,5.0,112.0,46.0,12.0,665.0,59.0,17.0,31.0,19.0,26.0,33.0,41.0,48.0,23.0,34.0,35.0,277.0,125.0
2362,1.0,2.0,0.0,12.0,4.0,3.0,8.0,6.0,15.0,7.0,22.0,27.0,10.0,153.0,26.0,14.0,250.0,21.0,25.0,155.0,18.0,605.0,20.0,170.0,32.0,57.0,66.0,103.0,95.0,72.0
2411,0.0,1.0,4.0,6.0,3.0,2.0,27.0,8.0,9.0,11.0,14.0,29.0,5.0,15.0,255.0,42.0,479.0,130.0,21.0,55.0,7.0,291.0,66.0,44.0,10.0,77.0,18.0,41.0,210.0,403.0
2460,3.0,15.0,1.0,0.0,18.0,10.0,2.0,8.0,12.0,21.0,31.0,19.0,4.0,6.0,87.0,116.0,89.0,30.0,126.0,22.0,7.0,81.0,17.0,43.0,143.0,129.0,106.0,14.0,72.0,42.0
2509,1.0,4.0,2.0,0.0,105.0,96.0,5.0,23.0,10.0,143.0,45.0,11.0,3.0,6.0,46.0,106.0,49.0,31.0,20.0,56.0,14.0,28.0,35.0,95.0,63.0,193.0,150.0,36.0,88.0,17.0
2558,1.0,9.0,0.0,6.0,634.0,144.0,3.0,47.0,4.0,29.0,28.0,19.0,14.0,7.0,49.0,2.0,112.0,16.0,114.0,84.0,26.0,165.0,8.0,36.0,132.0,100.0,253.0,38.0,66.0,33.0
2607,3.0,1.0,0.0,2.0,68.0,93.0,4.0,6.0,9.0,16.0,155.0,11.0,8.0,5.0,77.0,34.0,138.0,17.0,110.0,123.0,41.0,354.0,27.0,128.0,32.0,339.0,55.0,18.0,76.0,35.0
2656,3.0,4.0,0.0,1.0,46.0,109.0,2.0,12.0,7.0,21.0,9.0,39.0,8.0,71.0,16.0,84.0,25.0,6.0,41.0,88.0,13.0,104.0,26.0,171.0,108.0,207.0,50.0,15.0,31.0,42.0
2705,1.0,4.0,2.0,0.0,12.0,48.0,3.0,47.0,5.0,25.0,31.0,7.0,6.0,18.0,100.0,17.0,15.0,13.0,70.0,358.0,10.0,410.0,8.0,154.0,145.0,234.0,181.0,14.0,24.0,59.0
2754,3.0,1.0,0.0,4.0,7.0,66.0,6.0,9.0,10.0,58.0,327.0,17.0,5.0,12.0,22.0,2.0,37.0,149.0,168.0,179.0,50.0,960.0,14.0,104.0,199.0,30.0,220.0,48.0,43.0,193.0
2803,2.0,7.0,1.0,0.0,10.0,20.0,6.0,14.0,13.0,52.0,41.0,23.0,11.0,3.0,43.0,164.0,40.0,25.0,66.0,50.0,12.0,243.0,15.0,181.0,207.0,51.0,86.0,59.0,123.0,61.0
2852,9.0,2.0,4.0,0.0,29.0,35.0,7.0,69.0,1.0,19.0,14.0,15.0,5.0,6.0,20.0,22.0,196.0,10.0,52.0,335.0,39.0,128.0,34.0,31.0,244.0,78.0,254.0,16.0,27.0,61.0
2901,2.0,1.0,0.0,3.0,35.0,48.0,5.0,24.0,8.0,49.0,10.0,25.0,7.0,29.0,17.0,37.0,89.0,61.0,85.0,41.0,9.0,329.0,11.0,66.0,273.0,128.0,135.0,40.0,13.0,12.0
2950,0.0,3.0,4.0,18.0,1.0,36.0,12.0,2.0,47.0,5.0,14.0,46.0,7.0,33.0,11.0,180.0,16.0,56.0,66.0,6.0,73.0,455.0,88.0,91.0,30.0,208.0,149.0,60.0,15.0,124.0
2999,0.0,1.0,5.0,9.0,2.0,7.0,33.0,8.0,15.0,23.0,10.0,29.0,14.0,20.0,27.0,150.0,71.0,249.0,18.0,25.0,45.0,49.0,55.0,90.0,4.0,116.0,32.0,62.0,64.0,107.0
3048,0.0,1.0,7.0,12.0,2.0,4.0,3.0,5.0,30.0,11.0,14.0,19.0,6.0,25.0,16.0,74.0,9.0,676.0,18.0,32.0,34.0,17.0,156.0,97.0,62.0,99.0,108.0,60.0,28.0,83.0
3097,1.0,7.0,20.0,3.0,0.0,6.0,17.0,2.0,26.0,4.0,22.0,25.0,8.0,33.0,5.0,63.0,27.0,342.0,53.0,10.0,103.0,28.0,34.0,147.0,12.0,102.0,37.0,31.0,23.0,182.0
3146,0.0,5.0,12.0,16.0,1.0,2.0,6.0,3.0,42.0,9.0,20.0,87.0,7.0,8.0,17.0,10.0,28.0,881.0,194.0,4.0,101.0,223.0,74.0,31.0,21.0,27.0,29.0,135.0,229.0,117.0
3195,0.0,4.0,45.0,13.0,1.0,2.0,17.0,3.0,16.0,11.0,7.0,28.0,12.0,10.0,20.0,49.0,14.0,124.0,183.0,5.0,74.0,70.0,172.0,51.0,6.0,37.0,31.0,69.0,18.0,341.0
3244,0.0,1.0,4.0,12.0,2.0,3.0,5.0,6.0,21.0,7.0,9.0,24.0,41.0,15.0,55.0,65.0,45.0,138.0,91.0,10.0,96.0,158.0,47.0,130.0,32.0,161.0,43.0,90.0,37.0,64.0
3293,0.0,1.0,7.0,16.0,2.0,9.0,44.0,3.0,15.0,4.0,92.0,25.0,22.0,89.0,14.0,28.0,10.0,863.0,105.0,6.0,88.0,98.0,262.0,30.0,46.0,65.0,95.0,49.0,26.0,152.0
3342,1.0,2.0,10.0,8.0,0.0,4.0,11.0,6.0,24.0,7.0,22.0,51.0,20.0,14.0,35.0,41.0,5.0,318.0,96.0,3.0,118.0,125.0,72.0,43.0,18.0,53.0,38.0,97.0,21.0,116.0
3391,2.0,0.0,10.0,19.0,1.0,5.0,199.0,11.0,20.0,12.0,27.0,94.0,3.0,56.0,26.0,16.0,18.0,820.0,299.0,6.0,100.0,105.0,77.0,9.0,24.0,34.0,15.0,92.0,13.0,38.0
3440,2.0,0.0,10.0,6.0,1.0,7.0,11.0,5.0,21.0,8.0,13.0,49.0,48.0,12.0,62.0,14.0,210.0,3.0,53.0,183.0,92.0,81.0,184.0,4.0,32.0,30.0,22.0,64.0,148.0,51.0
3489,6.0,5.0,2.0,12.0,1.0,3.0,4.0,8.0,34.0,10.0,17.0,46.0,62.0,39.0,20.0,0.0,36.0,56.0,331.0,11.0,142.0,76.0,109.0,7.0,9.0,16.0,33.0,45.0,114.0,24.0
3538,1.0,3.0,10.0,6.0,2.0,21.0,8.0,5.0,23.0,7.0,19.0,12.0,35.0,22.0,38.0,0.0,31.0,48.0,28.0,37.0,168.0,15.0,66.0,13.0,64.0,36.0,51.0,14.0,112.0,97.0
3587,4.0,0.0,6.0,19.0,2.0,9.0,3.0,10.0,20.0,8.0,7.0,11.0,85.0,204.0,31.0,1.0,75.0,14.0,102.0,39.0,112.0,13.0,90.0,5.0,43.0,51.0,147.0,41.0,125.0,115.0
3636,3.0,1.0,4.0,9.0,2.0,7.0,5.0,8.0,35.0,14.0,10.0,13.0,17.0,175.0,20.0,0.0,66.0,18.0,110.0,12.0,308.0,11.0,90.0,23.0,6.0,69.0,33.0,41.0,274.0,42.0
3685,4.0,2.0,1.0,7.0,8.0,11.0,6.0,3.0,37.0,5.0,9.0,47.0,13.0,16.0,22.0,0.0,36.0,30.0,171.0,52.0,303.0,21.0,26.0,62.0,77.0,91.0,365.0,14.0,56.0,59.0
3734,1.0,0.0,7.0,6.0,2.0,19.0,8.0,14.0,9.0,4.0,13.0,10.0,30.0,90.0,12.0,3.0,25.0,27.0,130.0,22.0,129.0,11.0,314.0,5.0,140.0,85.0,43.0,37.0,59.0,49.0
3783,6.0,2.0,0.0,8.0,4.0,64.0,1.0,11.0,27.0,12.0,7.0,16.0,32.0,147.0,119.0,3.0,104.0,5.0,68.0,28.0,191.0,40.0,134.0,15.0,165.0,81.0,51.0,39.0,62.0,34.0
3832,2.0,1.0,9.0,4.0,0.0,35.0,15.0,8.0,6.0,16.0,107.0,12.0,19.0,10.0,21.0,3.0,13.0,7.0,27.0,59.0,157.0,33.0,138.0,17.0,65.0,110.0,161.0,22.0,96.0,47.0
3881,0.0,4.0,3.0,30.0,8.0,2.0,1.0,5.0,29.0,9.0,20.0,15.0,60.0,34.0,96.0,6.0,106.0,12.0,397.0,46.0,325.0,24.0,275.0,13.0,11.0,62.0,53.0,43.0,418.0,314.0
3930,8.0,2.0,0.0,21.0,25.0,12.0,42.0,34.0,20.0,17.0,11.0,73.0,84.0,6.0,1.0,9.0,3.0,4.0,67.0,80.0,81.0,15.0,199.0,156.0,144.0,13.0,76.0,54.0,18.0,49.0
3979,2.0,0.0,3.0,4.0,1.0,20.0,7.0,13.0,8.0,17.0,5.0,30.0,42.0,15.0,19.0,76.0,12.0,32.0,40.0,57.0,34.0,49.0,104.0,267.0,74.0,59.0,33.0,25.0,96.0,11.0
4028,4.0,1.0,0.0,13.0,17.0,2.0,9.0,3.0,11.0,14.0,27.0,10.0,24.0,19.0,8.0,21.0,7.0,101.0,29.0,41.0,25.0,18.0,54.0,63.0,360.0,35.0,40.0,50.0,58.0,26.0
4077,2.0,0.0,3.0,4.0,6.0,8.0,11.0,5.0,16.0,13.0,1.0,20.0,156.0,22.0,12.0,158.0,10.0,7.0,43.0,32.0,62.0,14.0,111.0,197.0,35.0,53.0,23.0,34.0,41.0,246.0
4126,1.0,0.0,5.0,3.0,4.0,7.0,40.0,2.0,8.0,22.0,11.0,34.0,300.0,10.0,29.0,52.0,6.0,36.0,55.0,64.0,60.0,17.0,82.0,14.0,180.0,26.0,30.0,69.0,57.0,93.0
4175,1.0,2.0,0.0,9.0,4.0,3.0,10.0,8.0,15.0,7.0,13.0,29.0,64.0,18.0,33.0,36.0,23.0,5.0,93.0,143.0,84.0,28.0,148.0,82.0,32.0,16.0,17.0,152.0,45.0,90.0
4224,3.0,0.0,4.0,2.0,1.0,7.0,6.0,12.0,10.0,30.0,5.0,19.0,105.0,35.0,27.0,54.0,18.0,57.0,33.0,25.0,48.0,17.0,87.0,20.0,44.0,29.0,11.0,88.0,81.0,42.0
4273,0.0,1.0,22.0,3.0,5.0,2.0,56.0,21.0,4.0,26.0,49.0,8.0,213.0,7.0,15.0,29.0,6.0,9.0,23.0,62.0,34.0,86.0,82.0,39.0,124.0,14.0,13.0,46.0,224.0,11.0
4322,10.0,1.0,15.0,2.0,0.0,5.0,8.0,25.0,11.0,9.0,3.0,7.0,33.0,32.0,13.0,108.0,54.0,12.0,80.0,105.0,39.0,35.0,21.0,43.0,56.0,36.0,23.0,149.0,84.0,20.0
4371,6.0,0.0,2.0,22.0,25.0,1.0,97.0,12.0,14.0,27.0,11.0,77.0,170.0,10.0,36.0,131.0,26.0,15.0,40.0,78.0,261.0,161.0,207.0,4.0,127.0,7.0,24.0,227.0,88.0,30.0
4420,0.0,7.0,5.0,4.0,10.0,27.0,131.0,15.0,9.0,179.0,1.0,2.0,16.0,18.0,19.0,6.0,14.0,22.0,8.0,31.0,26.0,96.0,42.0,165.0,17.0,13.0,805.0,287.0,12.0,11.0
4469,2.0,16.0,1.0,0.0,14.0,6.0,4.0,11.0,19.0,20.0,3.0,27.0,5.0,18.0,17.0,53.0,24.0,9.0,21.0,50.0,15.0,42.0,32.0,504.0,98.0,117.0,444.0,97.0,12.0,325.0
4518,1.0,14.0,0.0,2.0,5.0,7.0,4.0,3.0,47.0,10.0,11.0,13.0,17.0,24.0,32.0,9.0,36.0,18.0,59.0,61.0,41.0,159.0,19.0,186.0,8.0,31.0,281.0,140.0,16.0,53.0
4567,1.0,2.0,0.0,37.0,5.0,7.0,13.0,26.0,6.0,12.0,4.0,8.0,58.0,28.0,60.0,69.0,3.0,11.0,36.0,23.0,33.0,140.0,21.0,45.0,116.0,42.0,692.0,519.0,14.0,18.0
4616,0.0,8.0,2.0,7.0,18.0,1.0,3.0,14.0,25.0,33.0,23.0,31.0,29.0,40.0,72.0,6.0,11.0,39.0,85.0,19.0,24.0,204.0,36.0,111.0,5.0,44.0,785.0,103.0,27.0,213.0
4665,1.0,12.0,0.0,2.0,19.0,4.0,5.0,3.0,27.0,20.0,6.0,21.0,111.0,42.0,94.0,11.0,61.0,30.0,112.0,36.0,10.0,247.0,82.0,127.0,41.0,23.0,896.0,144.0,34.0,75.0
4714,0.0,2.0,11.0,5.0,29.0,6.0,4.0,1.0,25.0,10.0,3.0,37.0,9.0,22.0,27.0,8.0,60.0,117.0,33.0,31.0,53.0,232.0,47.0,32.0,41.0,57.0,610.0,84.0,49.0,76.0
4763,4.0,2.0,5.0,0.0,8.0,3.0,47.0,7.0,16.0,17.0,6.0,24.0,1.0,18.0,40.0,142.0,71.0,41.0,20.0,31.0,14.0,192.0,81.0,56.0,50.0,28.0,345.0,120.0,22.0,122.0
4812,7.0,13.0,0.0,1.0,5.0,17.0,3.0,27.0,6.0,8.0,2.0,12.0,23.0,28.0,21.0,19.0,223.0,57.0,32.0,33.0,11.0,36.0,40.0,93.0,96.0,131.0,332.0,165.0,14.0,95.0
4861,0.0,1.0,7.0,3.0,21.0,18.0,15.0,2.0,16.0,20.0,6.0,13.0,4.0,24.0,300.0,109.0,59.0,326.0,11.0,9.0,14.0,384.0,25.0,52.0,84.0,28.0,468.0,149.0,39.0,115.0
