,Lck,Akt_pS473,HER3,PKC-pan_BetaII_pS660,Annexin 1,CDK1,Heregulin,AR,CD49b,TFRC,YB-1_pS102,MEK1_pS217_S221,beta-Catenin_pT41_S45,PRAS40_pT246,Raptor,c-Jun_pS73,Acetyl-a-Tubulin (Lys40),IGFBP2,AMPK_alpha,N-Cadherin,MIG-6,Gab2,4E-BP1_pS65,FRA1,14-3-3_zeta,Smad3,Src_pY416,Src_pY527,Bim(EP1036),FOXO3a
593,0.0,11.0,31.0,32.0,51.0,23.0,19.0,35.0,44.0,41.0,20.0,36.0,129.0,18.0,10.0,59.0,65.0,8.0,97.0,62.0,28.0,160.0,50.0,85.0,64.0,69.0,24.0,40.0,26.0,34.0
642,0.0,10.0,11.0,21.0,39.0,23.0,17.0,60.0,16.0,33.0,164.0,13.0,45.0,22.0,5.0,52.0,93.0,37.0,103.0,46.0,153.0,61.0,75.0,24.0,78.0,32.0,59.0,54.0,18.0,95.0
691,11.0,13.0,9.0,46.0,24.0,36.0,22.0,106.0,4.0,92.0,41.0,20.0,159.0,151.0,6.0,68.0,15.0,18.0,19.0,5.0,161.0,63.0,17.0,42.0,70.0,69.0,44.0,29.0,98.0,2.0
740,0.0,3.0,6.0,63.0,18.0,49.0,14.0,15.0,125.0,32.0,10.0,5.0,156.0,40.0,25.0,58.0,1.0,30.0,85.0,76.0,67.0,48.0,121.0,45.0,53.0,78.0,72.0,31.0,35.0,62.0
789,1.0,3.0,75.0,7.0,9.0,27.0,17.0,19.0,39.0,45.0,22.0,16.0,15.0,68.0,41.0,33.0,25.0,11.0,2.0,34.0,129.0,96.0,37.0,55.0,117.0,40.0,63.0,5.0,69.0,6.0
838,64.0,8.0,13.0,55.0,37.0,31.0,25.0,21.0,10.0,38.0,16.0,33.0,27.0,29.0,48.0,22.0,75.0,3.0,109.0,130.0,132.0,28.0,32.0,20.0,7.0,50.0,39.0,87.0,63.0,23.0
887,8.0,6.0,1.0,87.0,23.0,21.0,27.0,35.0,0.0,30.0,17.0,11.0,43.0,68.0,45.0,81.0,38.0,32.0,10.0,72.0,2.0,39.0,114.0,71.0,15.0,62.0,61.0,51.0,40.0,18.0
936,2.0,6.0,4.0,20.0,14.0,30.0,11.0,45.0,60.0,37.0,51.0,95.0,19.0,32.0,72.0,55.0,39.0,8.0,7.0,133.0,75.0,161.0,26.0,58.0,62.0,36.0,29.0,127.0,74.0,35.0
985,6.0,5.0,31.0,16.0,8.0,10.0,14.0,49.0,41.0,18.0,19.0,0.0,4.0,78.0,57.0,20.0,37.0,12.0,45.0,40.0,83.0,54.0,35.0,39.0,138.0,17.0,26.0,80.0,13.0,50.0
1034,2.0,9.0,15.0,5.0,12.0,17.0,22.0,7.0,26.0,35.0,45.0,25.0,127.0,81.0,102.0,38.0,60.0,42.0,21.0,28.0,11.0,37.0,46.0,79.0,47.0,36.0,94.0,65.0,53.0,18.0
1083,1.0,6.0,20.0,3.0,10.0,31.0,9.0,69.0,33.0,44.0,7.0,30.0,126.0,73.0,15.0,41.0,49.0,28.0,11.0,92.0,59.0,45.0,84.0,25.0,136.0,42.0,32.0,83.0,70.0,157.0
1132,0.0,7.0,3.0,8.0,12.0,33.0,23.0,13.0,60.0,27.0,41.0,20.0,132.0,37.0,10.0,58.0,76.0,17.0,116.0,90.0,4.0,14.0,9.0,57.0,46.0,48.0,38.0,117.0,44.0,5.0
1181,8.0,11.0,39.0,7.0,13.0,16.0,45.0,37.0,23.0,20.0,14.0,17.0,114.0,58.0,34.0,30.0,83.0,10.0,139.0,9.0,54.0,22.0,153.0,52.0,121.0,43.0,80.0,24.0,18.0,1.0
1230,5.0,8.0,50.0,17.0,55.0,20.0,51.0,38.0,83.0,37.0,29.0,12.0,49.0,69.0,117.0,62.0,60.0,10.0,57.0,6.0,24.0,32.0,1.0,97.0,39.0,64.0,63.0,75.0,100.0,42.0
1279,5.0,9.0,30.0,13.0,3.0,21.0,27.0,37.0,38.0,15.0,28.0,0.0,131.0,64.0,69.0,45.0,82.0,31.0,126.0,52.0,22.0,158.0,36.0,42.0,25.0,43.0,50.0,112.0,14.0,19.0
1328,58.0,16.0,18.0,6.0,14.0,15.0,40.0,25.0,48.0,49.0,20.0,28.0,3.0,150.0,60.0,53.0,61.0,99.0,26.0,4.0,142.0,13.0,126.0,39.0,114.0,37.0,30.0,29.0,77.0,162.0
1377,153.0,20.0,15.0,6.0,3.0,8.0,44.0,25.0,10.0,9.0,36.0,87.0,1.0,84.0,22.0,32.0,23.0,35.0,28.0,43.0,37.0,11.0,14.0,26.0,121.0,41.0,78.0,80.0,70.0,122.0
1426,8.0,14.0,19.0,30.0,9.0,24.0,36.0,51.0,70.0,31.0,37.0,15.0,154.0,91.0,97.0,29.0,47.0,53.0,61.0,21.0,152.0,33.0,63.0,35.0,43.0,49.0,50.0,46.0,40.0,41.0
1475,28.0,6.0,19.0,9.0,11.0,8.0,59.0,26.0,0.0,36.0,76.0,139.0,44.0,13.0,70.0,47.0,74.0,25.0,38.0,24.0,31.0,51.0,35.0,40.0,20.0,58.0,37.0,4.0,29.0,63.0
1524,0.0,14.0,7.0,6.0,8.0,10.0,70.0,28.0,13.0,17.0,164.0,2.0,3.0,24.0,42.0,43.0,67.0,23.0,16.0,4.0,150.0,37.0,52.0,50.0,36.0,49.0,57.0,107.0,25.0,11.0
1573,20.0,9.0,17.0,26.0,24.0,6.0,36.0,41.0,37.0,12.0,80.0,19.0,25.0,27.0,29.0,58.0,78.0,35.0,31.0,11.0,30.0,57.0,0.0,66.0,90.0,50.0,52.0,115.0,7.0,28.0
1622,4.0,9.0,8.0,5.0,27.0,16.0,61.0,28.0,1.0,58.0,47.0,26.0,157.0,2.0,37.0,57.0,32.0,124.0,108.0,11.0,20.0,10.0,13.0,48.0,14.0,55.0,88.0,116.0,84.0,15.0
1671,20.0,32.0,46.0,13.0,3.0,7.0,56.0,26.0,11.0,15.0,60.0,6.0,126.0,88.0,19.0,44.0,39.0,41.0,10.0,163.0,21.0,31.0,22.0,30.0,138.0,54.0,74.0,57.0,12.0,24.0
1720,38.0,27.0,17.0,1.0,23.0,7.0,64.0,18.0,68.0,16.0,33.0,2.0,28.0,75.0,30.0,49.0,58.0,61.0,93.0,8.0,15.0,163.0,112.0,54.0,52.0,46.0,53.0,65.0,19.0,140.0
1769,39.0,16.0,9.0,6.0,8.0,12.0,58.0,25.0,23.0,78.0,75.0,27.0,2.0,46.0,38.0,56.0,53.0,143.0,18.0,0.0,20.0,24.0,117.0,71.0,17.0,52.0,50.0,82.0,10.0,144.0
1818,3.0,7.0,6.0,9.0,28.0,17.0,32.0,54.0,20.0,58.0,13.0,4.0,67.0,55.0,63.0,36.0,34.0,22.0,18.0,26.0,49.0,16.0,105.0,19.0,101.0,57.0,23.0,35.0,71.0,5.0
1867,149.0,9.0,12.0,5.0,3.0,11.0,58.0,15.0,52.0,27.0,73.0,43.0,8.0,14.0,13.0,56.0,38.0,153.0,21.0,4.0,2.0,16.0,135.0,53.0,59.0,35.0,36.0,26.0,22.0,159.0
1916,59.0,18.0,11.0,2.0,15.0,10.0,55.0,52.0,0.0,24.0,38.0,41.0,1.0,54.0,20.0,46.0,42.0,80.0,70.0,13.0,4.0,9.0,44.0,65.0,118.0,31.0,22.0,25.0,68.0,71.0
1965,5.0,3.0,18.0,57.0,21.0,39.0,34.0,66.0,50.0,15.0,55.0,83.0,48.0,17.0,33.0,28.0,73.0,125.0,115.0,14.0,82.0,22.0,19.0,68.0,1.0,42.0,46.0,112.0,38.0,135.0
2014,162.0,3.0,43.0,11.0,24.0,46.0,14.0,27.0,75.0,49.0,29.0,81.0,155.0,60.0,58.0,68.0,16.0,141.0,44.0,158.0,15.0,71.0,10.0,89.0,53.0,40.0,79.0,0.0,69.0,128.0
2063,15.0,4.0,0.0,1.0,11.0,10.0,36.0,17.0,32.0,24.0,8.0,92.0,26.0,25.0,18.0,87.0,53.0,139.0,133.0,103.0,63.0,22.0,75.0,60.0,58.0,68.0,83.0,21.0,5.0,77.0
2112,0.0,9.0,8.0,21.0,30.0,36.0,58.0,24.0,40.0,61.0,23.0,73.0,129.0,86.0,14.0,35.0,122.0,1.0,52.0,10.0,4.0,32.0,56.0,66.0,53.0,60.0,94.0,6.0,100.0,5.0
2161,141.0,6.0,19.0,8.0,21.0,17.0,60.0,15.0,51.0,52.0,2.0,73.0,153.0,18.0,14.0,33.0,53.0,124.0,80.0,31.0,162.0,20.0,83.0,85.0,29.0,64.0,23.0,4.0,32.0,133.0
2210,7.0,3.0,41.0,26.0,29.0,27.0,43.0,59.0,19.0,12.0,25.0,42.0,89.0,62.0,32.0,24.0,56.0,39.0,154.0,86.0,11.0,14.0,57.0,102.0,105.0,70.0,119.0,45.0,68.0,0.0
2259,0.0,2.0,9.0,4.0,37.0,41.0,48.0,30.0,44.0,14.0,11.0,69.0,127.0,59.0,21.0,27.0,19.0,156.0,10.0,62.0,13.0,54.0,3.0,35.0,33.0,43.0,34.0,99.0,90.0,1.0
2308,12.0,0.0,20.0,33.0,6.0,23.0,8.0,51.0,7.0,26.0,41.0,60.0,2.0,32.0,14.0,49.0,30.0,78.0,5.0,50.0,145.0,25.0,85.0,34.0,84.0,57.0,45.0,69.0,109.0,131.0
2357,1.0,9.0,52.0,17.0,26.0,29.0,11.0,46.0,22.0,25.0,7.0,43.0,141.0,16.0,51.0,28.0,42.0,20.0,49.0,101.0,91.0,80.0,152.0,69.0,150.0,44.0,60.0,118.0,40.0,153.0
2406,9.0,6.0,15.0,8.0,1.0,10.0,14.0,38.0,28.0,16.0,22.0,51.0,93.0,58.0,52.0,29.0,11.0,37.0,107.0,72.0,143.0,138.0,32.0,54.0,0.0,49.0,26.0,69.0,100.0,2.0
2455,21.0,7.0,29.0,37.0,25.0,41.0,15.0,32.0,9.0,68.0,47.0,59.0,19.0,30.0,108.0,22.0,38.0,24.0,153.0,36.0,48.0,2.0,113.0,95.0,71.0,85.0,69.0,12.0,43.0,23.0
2504,4.0,5.0,6.0,30.0,90.0,82.0,21.0,42.0,23.0,83.0,20.0,2.0,134.0,40.0,93.0,45.0,43.0,44.0,143.0,19.0,33.0,46.0,32.0,63.0,1.0,28.0,65.0,111.0,69.0,15.0
2553,154.0,20.0,14.0,67.0,19.0,33.0,3.0,7.0,71.0,73.0,42.0,54.0,13.0,29.0,118.0,52.0,40.0,88.0,27.0,24.0,9.0,22.0,18.0,55.0,139.0,48.0,64.0,50.0,38.0,100.0
2602,38.0,21.0,7.0,56.0,15.0,41.0,20.0,5.0,14.0,73.0,44.0,52.0,53.0,2.0,133.0,42.0,46.0,55.0,76.0,40.0,0.0,58.0,18.0,79.0,47.0,69.0,11.0,24.0,61.0,149.0
2651,150.0,10.0,31.0,43.0,6.0,21.0,49.0,22.0,25.0,18.0,3.0,37.0,76.0,30.0,98.0,36.0,42.0,16.0,55.0,11.0,148.0,7.0,134.0,24.0,46.0,81.0,33.0,52.0,1.0,23.0
2700,154.0,35.0,3.0,33.0,19.0,26.0,83.0,7.0,55.0,72.0,46.0,65.0,128.0,8.0,4.0,56.0,37.0,155.0,97.0,96.0,2.0,42.0,138.0,63.0,140.0,62.0,57.0,43.0,92.0,61.0
2749,8.0,18.0,16.0,58.0,46.0,73.0,9.0,37.0,30.0,74.0,10.0,28.0,33.0,35.0,7.0,45.0,66.0,59.0,26.0,36.0,152.0,161.0,64.0,40.0,21.0,87.0,31.0,19.0,95.0,143.0
2798,6.0,2.0,12.0,38.0,24.0,29.0,18.0,21.0,31.0,64.0,53.0,14.0,35.0,63.0,13.0,90.0,60.0,45.0,7.0,75.0,50.0,47.0,34.0,9.0,10.0,74.0,46.0,116.0,114.0,4.0
2847,21.0,6.0,11.0,17.0,7.0,14.0,22.0,15.0,18.0,57.0,55.0,77.0,128.0,27.0,117.0,79.0,29.0,157.0,2.0,10.0,153.0,47.0,48.0,45.0,72.0,39.0,26.0,33.0,53.0,96.0
2896,131.0,7.0,3.0,26.0,18.0,68.0,14.0,13.0,8.0,56.0,20.0,33.0,24.0,31.0,32.0,29.0,21.0,51.0,85.0,2.0,61.0,1.0,112.0,27.0,84.0,90.0,44.0,60.0,19.0,125.0
2945,6.0,5.0,50.0,10.0,14.0,25.0,23.0,22.0,12.0,96.0,21.0,11.0,1.0,86.0,32.0,52.0,55.0,16.0,46.0,72.0,40.0,26.0,8.0,34.0,70.0,41.0,58.0,111.0,66.0,20.0
2994,0.0,4.0,2.0,9.0,24.0,44.0,55.0,62.0,28.0,47.0,14.0,5.0,125.0,29.0,79.0,26.0,41.0,7.0,1.0,12.0,51.0,67.0,46.0,20.0,6.0,60.0,34.0,85.0,23.0,11.0
3043,5.0,7.0,10.0,1.0,32.0,35.0,18.0,9.0,15.0,12.0,37.0,2.0,4.0,40.0,48.0,43.0,50.0,38.0,98.0,28.0,161.0,126.0,45.0,21.0,24.0,51.0,55.0,107.0,25.0,128.0
3092,2.0,10.0,9.0,0.0,23.0,28.0,11.0,117.0,16.0,12.0,43.0,4.0,5.0,32.0,45.0,59.0,80.0,6.0,21.0,133.0,69.0,26.0,39.0,61.0,55.0,17.0,35.0,115.0,36.0,84.0
3141,3.0,2.0,8.0,9.0,14.0,24.0,27.0,33.0,126.0,10.0,34.0,88.0,6.0,11.0,67.0,37.0,39.0,158.0,135.0,79.0,20.0,161.0,29.0,62.0,139.0,57.0,4.0,87.0,26.0,61.0
3190,2.0,3.0,5.0,17.0,30.0,43.0,32.0,51.0,91.0,9.0,15.0,7.0,69.0,76.0,58.0,29.0,65.0,12.0,31.0,14.0,22.0,27.0,35.0,36.0,19.0,45.0,25.0,118.0,52.0,13.0
3239,1.0,11.0,31.0,32.0,22.0,15.0,66.0,13.0,23.0,20.0,38.0,56.0,3.0,14.0,0.0,55.0,35.0,28.0,125.0,90.0,7.0,25.0,36.0,70.0,58.0,48.0,78.0,18.0,69.0,114.0
3288,7.0,3.0,4.0,10.0,43.0,14.0,22.0,0.0,33.0,38.0,15.0,93.0,1.0,6.0,35.0,24.0,59.0,13.0,12.0,44.0,64.0,87.0,65.0,58.0,20.0,39.0,52.0,57.0,145.0,151.0
3337,1.0,4.0,61.0,19.0,28.0,22.0,27.0,63.0,71.0,15.0,20.0,77.0,93.0,24.0,3.0,32.0,75.0,11.0,7.0,98.0,153.0,158.0,29.0,99.0,139.0,25.0,41.0,17.0,40.0,159.0
3386,136.0,15.0,36.0,156.0,13.0,6.0,28.0,69.0,57.0,7.0,50.0,105.0,10.0,88.0,14.0,67.0,44.0,8.0,30.0,66.0,161.0,52.0,26.0,93.0,85.0,41.0,20.0,115.0,18.0,87.0
3435,8.0,22.0,12.0,5.0,23.0,33.0,32.0,120.0,6.0,36.0,74.0,18.0,16.0,19.0,71.0,34.0,102.0,1.0,31.0,92.0,68.0,56.0,125.0,13.0,4.0,80.0,91.0,45.0,105.0,64.0
3484,5.0,2.0,4.0,14.0,16.0,28.0,21.0,56.0,53.0,41.0,39.0,9.0,129.0,34.0,23.0,37.0,12.0,46.0,101.0,20.0,45.0,62.0,66.0,25.0,79.0,52.0,92.0,111.0,44.0,43.0
3533,0.0,5.0,7.0,18.0,22.0,28.0,16.0,26.0,13.0,51.0,1.0,50.0,124.0,63.0,114.0,21.0,34.0,89.0,61.0,69.0,9.0,33.0,3.0,15.0,23.0,45.0,92.0,56.0,76.0,157.0
3582,6.0,8.0,2.0,31.0,18.0,33.0,54.0,59.0,37.0,46.0,28.0,20.0,131.0,17.0,5.0,22.0,13.0,12.0,39.0,27.0,47.0,15.0,25.0,57.0,38.0,64.0,72.0,122.0,76.0,3.0
3631,2.0,8.0,4.0,21.0,29.0,28.0,5.0,7.0,87.0,26.0,10.0,18.0,34.0,14.0,9.0,23.0,25.0,48.0,132.0,42.0,149.0,154.0,83.0,22.0,0.0,74.0,24.0,103.0,85.0,155.0
3680,6.0,9.0,8.0,27.0,20.0,34.0,41.0,37.0,28.0,55.0,29.0,49.0,26.0,54.0,109.0,14.0,40.0,141.0,11.0,45.0,30.0,62.0,58.0,31.0,99.0,56.0,16.0,19.0,44.0,0.0
3729,0.0,16.0,8.0,35.0,60.0,67.0,32.0,55.0,11.0,41.0,64.0,5.0,70.0,29.0,147.0,23.0,20.0,33.0,10.0,76.0,42.0,144.0,97.0,36.0,37.0,50.0,45.0,73.0,95.0,2.0
3778,5.0,18.0,9.0,6.0,0.0,12.0,29.0,75.0,26.0,19.0,17.0,44.0,20.0,47.0,116.0,40.0,13.0,34.0,2.0,7.0,42.0,61.0,109.0,49.0,48.0,46.0,4.0,52.0,1.0,87.0
3827,31.0,4.0,3.0,6.0,19.0,18.0,15.0,74.0,21.0,30.0,41.0,61.0,12.0,25.0,57.0,53.0,20.0,65.0,2.0,58.0,146.0,8.0,44.0,11.0,46.0,33.0,9.0,17.0,50.0,117.0
3876,29.0,2.0,1.0,35.0,27.0,49.0,5.0,18.0,32.0,64.0,37.0,62.0,102.0,8.0,130.0,26.0,117.0,92.0,97.0,55.0,133.0,3.0,124.0,31.0,25.0,16.0,65.0,13.0,87.0,147.0
3925,122.0,5.0,16.0,21.0,17.0,31.0,28.0,9.0,23.0,25.0,54.0,10.0,11.0,62.0,18.0,26.0,39.0,49.0,96.0,161.0,63.0,89.0,13.0,45.0,43.0,41.0,72.0,76.0,59.0,74.0
3974,157.0,4.0,18.0,29.0,50.0,52.0,34.0,14.0,40.0,31.0,35.0,70.0,87.0,26.0,107.0,41.0,17.0,57.0,67.0,6.0,25.0,5.0,20.0,65.0,58.0,36.0,81.0,47.0,77.0,7.0
4023,3.0,10.0,42.0,21.0,7.0,30.0,67.0,27.0,66.0,34.0,17.0,81.0,12.0,36.0,109.0,51.0,19.0,23.0,0.0,20.0,138.0,33.0,16.0,92.0,48.0,49.0,63.0,32.0,87.0,46.0
4072,0.0,6.0,39.0,25.0,54.0,20.0,66.0,48.0,76.0,16.0,52.0,12.0,148.0,61.0,160.0,57.0,37.0,67.0,112.0,84.0,11.0,22.0,13.0,43.0,47.0,31.0,55.0,23.0,33.0,65.0
4121,6.0,5.0,3.0,25.0,28.0,18.0,79.0,23.0,21.0,16.0,39.0,22.0,4.0,94.0,110.0,41.0,38.0,30.0,15.0,2.0,14.0,59.0,57.0,17.0,106.0,56.0,90.0,80.0,19.0,128.0
4170,1.0,5.0,39.0,10.0,28.0,34.0,62.0,49.0,9.0,14.0,21.0,19.0,4.0,43.0,81.0,70.0,95.0,23.0,116.0,79.0,26.0,37.0,63.0,72.0,13.0,42.0,54.0,86.0,99.0,3.0
4219,12.0,11.0,22.0,2.0,20.0,75.0,23.0,80.0,61.0,38.0,7.0,34.0,126.0,51.0,76.0,55.0,41.0,54.0,17.0,63.0,154.0,15.0,138.0,92.0,26.0,46.0,65.0,21.0,97.0,24.0
4268,1.0,11.0,8.0,10.0,18.0,23.0,29.0,40.0,19.0,26.0,2.0,12.0,9.0,70.0,106.0,38.0,13.0,20.0,101.0,162.0,144.0,5.0,119.0,60.0,7.0,36.0,58.0,47.0,35.0,0.0
4317,9.0,3.0,18.0,56.0,42.0,32.0,26.0,62.0,24.0,63.0,15.0,43.0,29.0,92.0,96.0,66.0,39.0,10.0,27.0,5.0,20.0,33.0,162.0,79.0,30.0,55.0,86.0,103.0,93.0,6.0
4366,77.0,7.0,58.0,25.0,48.0,39.0,96.0,18.0,60.0,21.0,17.0,33.0,103.0,67.0,69.0,43.0,8.0,92.0,105.0,71.0,153.0,57.0,16.0,19.0,29.0,54.0,31.0,4.0,78.0,35.0
4415,143.0,9.0,7.0,13.0,23.0,14.0,33.0,32.0,16.0,20.0,41.0,35.0,10.0,17.0,30.0,29.0,37.0,140.0,66.0,157.0,18.0,72.0,58.0,61.0,77.0,50.0,45.0,56.0,5.0,25.0
4464,46.0,9.0,12.0,43.0,29.0,34.0,20.0,18.0,21.0,37.0,79.0,32.0,11.0,48.0,4.0,36.0,93.0,143.0,2.0,3.0,31.0,60.0,28.0,55.0,74.0,64.0,69.0,33.0,24.0,27.0
4513,21.0,10.0,23.0,89.0,8.0,19.0,51.0,29.0,139.0,58.0,5.0,54.0,86.0,15.0,6.0,62.0,48.0,141.0,26.0,158.0,31.0,36.0,27.0,12.0,1.0,42.0,40.0,108.0,81.0,53.0
4562,81.0,22.0,62.0,18.0,54.0,10.0,9.0,16.0,46.0,42.0,28.0,64.0,4.0,1.0,40.0,43.0,41.0,92.0,47.0,139.0,8.0,33.0,125.0,30.0,12.0,60.0,31.0,20.0,106.0,152.0
4611,142.0,20.0,6.0,28.0,33.0,37.0,27.0,10.0,21.0,30.0,46.0,66.0,151.0,2.0,34.0,68.0,47.0,90.0,3.0,45.0,39.0,129.0,104.0,74.0,4.0,51.0,80.0,19.0,160.0,131.0
4660,53.0,11.0,12.0,151.0,6.0,20.0,27.0,24.0,25.0,49.0,81.0,140.0,35.0,79.0,10.0,40.0,73.0,41.0,3.0,137.0,5.0,138.0,58.0,30.0,123.0,44.0,90.0,21.0,17.0,19.0
4709,57.0,14.0,17.0,2.0,30.0,21.0,68.0,9.0,45.0,12.0,4.0,38.0,25.0,27.0,97.0,19.0,76.0,78.0,10.0,71.0,11.0,72.0,24.0,20.0,65.0,61.0,80.0,13.0,8.0,50.0
4758,40.0,22.0,6.0,82.0,25.0,32.0,20.0,14.0,31.0,66.0,19.0,59.0,129.0,21.0,102.0,28.0,68.0,37.0,10.0,70.0,13.0,81.0,64.0,34.0,48.0,65.0,5.0,42.0,43.0,122.0
4807,126.0,23.0,6.0,0.0,7.0,42.0,26.0,79.0,4.0,111.0,9.0,70.0,54.0,35.0,31.0,8.0,117.0,92.0,40.0,3.0,142.0,80.0,63.0,33.0,105.0,60.0,76.0,5.0,69.0,18.0
4856,2.0,17.0,29.0,47.0,7.0,9.0,45.0,14.0,6.0,5.0,46.0,35.0,100.0,53.0,69.0,64.0,71.0,84.0,13.0,129.0,16.0,116.0,32.0,75.0,125.0,42.0,33.0,40.0,19.0,28.0
