,hsa-miR-148a,hsa-miR-142-5p,hsa-miR-29c,hsa-miR-378,hsa-miR-581,hsv1-miR-H4-3p,hsa-miR-27b,hsa-miR-34a,hsa-miR-125a-3p,hsa-miR-220a,ebv-miR-BART15,hsa-miR-1911,hsa-miR-609,kshv-miR-K12-7,hsa-miR-604,hsa-miR-106b,hsa-miR-449b,hsa-miR-323-5p,hsa-miR-331-5p,hsa-miR-579,hsa-miR-766,hsa-miR-1538,hsa-miR-1294,hsa-miR-662,hsa-miR-136,hcmv-miR-US5-1,hsa-miR-422a,hsa-miR-132,hsa-miR-187,hsa-miR-541
507,10.0,1.0,9.0,15.0,3.0,8.0,0.0,13.0,34.0,5.0,201.0,29.0,24.0,7.0,30.0,47.0,67.0,19.0,20.0,6.0,14.0,33.0,52.0,4.0,79.0,94.0,73.0,63.0,39.0,2.0
556,1.0,9.0,7.0,17.0,15.0,3.0,0.0,4.0,5.0,10.0,40.0,13.0,11.0,2.0,19.0,25.0,66.0,14.0,8.0,12.0,64.0,88.0,24.0,6.0,29.0,38.0,58.0,79.0,26.0,16.0
605,0.0,14.0,7.0,17.0,25.0,8.0,1.0,32.0,3.0,51.0,70.0,62.0,6.0,4.0,11.0,5.0,26.0,68.0,2.0,12.0,24.0,50.0,100.0,27.0,35.0,10.0,39.0,15.0,34.0,45.0
654,1.0,9.0,51.0,29.0,3.0,21.0,0.0,4.0,2.0,10.0,95.0,12.0,7.0,5.0,14.0,6.0,104.0,19.0,11.0,48.0,38.0,37.0,40.0,59.0,39.0,25.0,77.0,84.0,35.0,17.0
703,2.0,1.0,12.0,15.0,8.0,25.0,0.0,38.0,32.0,13.0,99.0,31.0,4.0,3.0,14.0,24.0,65.0,41.0,18.0,26.0,30.0,58.0,46.0,16.0,10.0,7.0,95.0,53.0,20.0,11.0
752,0.0,5.0,8.0,17.0,7.0,10.0,1.0,11.0,56.0,14.0,55.0,48.0,26.0,4.0,27.0,12.0,58.0,6.0,3.0,33.0,20.0,40.0,9.0,2.0,90.0,34.0,105.0,61.0,16.0,36.0
801,0.0,2.0,10.0,28.0,11.0,8.0,1.0,35.0,13.0,9.0,16.0,58.0,24.0,5.0,6.0,18.0,442.0,22.0,4.0,29.0,66.0,72.0,48.0,32.0,517.0,21.0,65.0,45.0,17.0,3.0
850,1.0,11.0,12.0,33.0,9.0,16.0,0.0,26.0,13.0,30.0,204.0,45.0,3.0,5.0,15.0,19.0,44.0,4.0,2.0,28.0,43.0,17.0,10.0,37.0,90.0,20.0,103.0,378.0,35.0,6.0
899,10.0,3.0,4.0,0.0,15.0,2.0,7.0,1.0,5.0,35.0,91.0,28.0,25.0,6.0,19.0,9.0,29.0,80.0,53.0,51.0,43.0,47.0,66.0,8.0,70.0,13.0,22.0,393.0,49.0,42.0
948,0.0,8.0,5.0,2.0,9.0,6.0,1.0,14.0,4.0,19.0,68.0,20.0,26.0,18.0,3.0,10.0,12.0,38.0,13.0,182.0,33.0,60.0,76.0,11.0,25.0,24.0,107.0,83.0,49.0,7.0
997,0.0,1.0,2.0,9.0,16.0,21.0,4.0,3.0,24.0,13.0,12.0,26.0,14.0,18.0,25.0,5.0,39.0,33.0,35.0,43.0,29.0,23.0,7.0,49.0,11.0,44.0,36.0,22.0,8.0,56.0
1046,0.0,1.0,3.0,11.0,5.0,41.0,6.0,2.0,13.0,18.0,4.0,40.0,7.0,39.0,21.0,29.0,22.0,42.0,30.0,53.0,65.0,38.0,8.0,78.0,16.0,27.0,48.0,26.0,28.0,59.0
1095,1.0,5.0,3.0,17.0,2.0,25.0,13.0,37.0,8.0,18.0,11.0,9.0,0.0,30.0,35.0,15.0,12.0,36.0,53.0,4.0,28.0,10.0,38.0,32.0,31.0,29.0,46.0,7.0,321.0,23.0
1144,0.0,5.0,3.0,7.0,2.0,49.0,4.0,12.0,1.0,9.0,8.0,19.0,6.0,25.0,11.0,27.0,38.0,15.0,34.0,70.0,83.0,10.0,14.0,22.0,17.0,52.0,43.0,18.0,28.0,48.0
1193,0.0,1.0,13.0,24.0,3.0,8.0,14.0,4.0,25.0,5.0,12.0,11.0,2.0,21.0,17.0,22.0,19.0,62.0,36.0,123.0,31.0,44.0,7.0,15.0,6.0,73.0,84.0,45.0,60.0,10.0
1242,9.0,5.0,3.0,6.0,4.0,14.0,8.0,1.0,89.0,24.0,7.0,12.0,0.0,25.0,33.0,55.0,28.0,59.0,17.0,45.0,47.0,2.0,22.0,20.0,39.0,26.0,27.0,18.0,41.0,11.0
1291,0.0,1.0,8.0,15.0,2.0,10.0,6.0,4.0,5.0,30.0,12.0,52.0,3.0,34.0,36.0,27.0,29.0,64.0,19.0,55.0,49.0,21.0,40.0,20.0,17.0,32.0,11.0,7.0,89.0,25.0
1340,1.0,5.0,3.0,9.0,6.0,16.0,7.0,50.0,2.0,23.0,37.0,14.0,0.0,29.0,22.0,13.0,10.0,24.0,64.0,119.0,30.0,18.0,26.0,83.0,40.0,21.0,28.0,17.0,89.0,4.0
1389,2.0,3.0,6.0,12.0,1.0,10.0,4.0,29.0,9.0,14.0,8.0,16.0,0.0,17.0,11.0,19.0,7.0,38.0,58.0,91.0,96.0,18.0,5.0,74.0,28.0,27.0,76.0,24.0,71.0,15.0
1438,4.0,1.0,2.0,23.0,12.0,18.0,5.0,7.0,25.0,6.0,8.0,29.0,0.0,28.0,56.0,17.0,77.0,9.0,49.0,124.0,21.0,11.0,3.0,58.0,27.0,19.0,65.0,14.0,45.0,22.0
1487,1.0,4.0,22.0,16.0,2.0,0.0,17.0,8.0,5.0,3.0,25.0,12.0,10.0,52.0,28.0,21.0,11.0,15.0,41.0,61.0,29.0,31.0,6.0,64.0,383.0,34.0,49.0,23.0,108.0,76.0
1536,7.0,3.0,9.0,6.0,15.0,4.0,1.0,8.0,5.0,0.0,53.0,2.0,25.0,30.0,34.0,20.0,27.0,13.0,29.0,44.0,11.0,39.0,16.0,31.0,65.0,24.0,56.0,18.0,115.0,23.0
1585,1.0,2.0,12.0,21.0,10.0,3.0,17.0,0.0,7.0,6.0,60.0,23.0,4.0,54.0,18.0,8.0,19.0,25.0,38.0,57.0,20.0,42.0,5.0,13.0,26.0,34.0,37.0,11.0,61.0,95.0
1634,0.0,4.0,18.0,5.0,1.0,12.0,6.0,3.0,10.0,9.0,17.0,22.0,39.0,35.0,30.0,15.0,14.0,7.0,79.0,47.0,70.0,13.0,2.0,11.0,24.0,19.0,25.0,36.0,41.0,32.0
1683,6.0,4.0,5.0,34.0,11.0,2.0,32.0,8.0,3.0,0.0,23.0,9.0,20.0,51.0,22.0,7.0,12.0,24.0,26.0,48.0,28.0,45.0,69.0,31.0,27.0,13.0,70.0,35.0,44.0,58.0
1732,0.0,1.0,4.0,12.0,6.0,2.0,95.0,10.0,16.0,5.0,21.0,8.0,22.0,35.0,44.0,20.0,32.0,11.0,41.0,85.0,13.0,31.0,3.0,33.0,7.0,9.0,46.0,27.0,43.0,83.0
1781,5.0,1.0,12.0,9.0,20.0,2.0,11.0,0.0,10.0,8.0,32.0,7.0,4.0,28.0,24.0,14.0,16.0,6.0,13.0,98.0,22.0,18.0,19.0,15.0,25.0,30.0,33.0,46.0,323.0,41.0
1830,1.0,19.0,18.0,20.0,9.0,0.0,16.0,24.0,14.0,2.0,23.0,6.0,13.0,52.0,17.0,26.0,5.0,27.0,41.0,4.0,34.0,15.0,10.0,29.0,21.0,63.0,49.0,7.0,342.0,61.0
1879,14.0,8.0,4.0,26.0,9.0,0.0,2.0,1.0,11.0,3.0,21.0,5.0,16.0,24.0,27.0,22.0,15.0,7.0,57.0,124.0,12.0,31.0,6.0,10.0,13.0,18.0,33.0,34.0,52.0,53.0
1928,1.0,21.0,0.0,15.0,6.0,5.0,2.0,11.0,10.0,4.0,8.0,12.0,32.0,20.0,13.0,9.0,33.0,3.0,22.0,24.0,41.0,70.0,7.0,16.0,46.0,34.0,48.0,51.0,78.0,93.0
1977,11.0,4.0,3.0,0.0,8.0,5.0,38.0,19.0,30.0,28.0,7.0,23.0,56.0,1.0,90.0,17.0,9.0,41.0,10.0,6.0,64.0,13.0,397.0,12.0,40.0,87.0,25.0,48.0,26.0,42.0
2026,1.0,0.0,3.0,2.0,15.0,21.0,10.0,5.0,62.0,47.0,9.0,30.0,63.0,45.0,40.0,12.0,54.0,4.0,42.0,26.0,23.0,17.0,18.0,13.0,31.0,90.0,27.0,14.0,11.0,34.0
2075,2.0,4.0,7.0,1.0,0.0,18.0,77.0,3.0,39.0,24.0,9.0,6.0,14.0,19.0,16.0,45.0,13.0,5.0,27.0,23.0,31.0,43.0,52.0,12.0,20.0,68.0,22.0,95.0,10.0,8.0
2124,8.0,0.0,2.0,3.0,16.0,24.0,38.0,44.0,5.0,29.0,17.0,4.0,23.0,7.0,21.0,25.0,28.0,6.0,19.0,31.0,12.0,47.0,53.0,30.0,18.0,36.0,90.0,62.0,13.0,14.0
2173,3.0,2.0,6.0,7.0,0.0,1.0,8.0,5.0,9.0,17.0,10.0,14.0,44.0,4.0,13.0,28.0,22.0,12.0,26.0,16.0,21.0,45.0,30.0,23.0,32.0,94.0,25.0,47.0,11.0,52.0
2222,2.0,1.0,3.0,8.0,0.0,9.0,19.0,5.0,429.0,30.0,14.0,12.0,62.0,17.0,32.0,41.0,39.0,28.0,11.0,21.0,24.0,27.0,26.0,4.0,63.0,64.0,31.0,10.0,7.0,75.0
2271,0.0,2.0,4.0,1.0,11.0,6.0,52.0,18.0,42.0,13.0,5.0,14.0,32.0,7.0,43.0,61.0,33.0,17.0,12.0,3.0,245.0,31.0,29.0,15.0,27.0,85.0,10.0,9.0,26.0,53.0
2320,0.0,1.0,3.0,2.0,8.0,27.0,38.0,5.0,14.0,12.0,7.0,50.0,15.0,9.0,11.0,59.0,45.0,4.0,20.0,18.0,28.0,55.0,29.0,30.0,328.0,95.0,22.0,16.0,17.0,21.0
2369,1.0,0.0,10.0,7.0,4.0,27.0,23.0,3.0,34.0,25.0,5.0,22.0,39.0,9.0,47.0,86.0,11.0,43.0,30.0,2.0,52.0,14.0,41.0,6.0,57.0,16.0,13.0,38.0,12.0,20.0
2418,2.0,0.0,12.0,1.0,6.0,51.0,7.0,3.0,53.0,18.0,5.0,46.0,27.0,29.0,26.0,59.0,44.0,11.0,10.0,28.0,54.0,15.0,57.0,25.0,17.0,94.0,35.0,47.0,9.0,4.0
2467,0.0,6.0,2.0,7.0,5.0,14.0,72.0,22.0,21.0,28.0,35.0,13.0,44.0,71.0,15.0,61.0,4.0,10.0,32.0,1.0,29.0,9.0,79.0,36.0,60.0,52.0,17.0,57.0,80.0,24.0
2516,0.0,1.0,2.0,3.0,17.0,9.0,27.0,26.0,4.0,32.0,18.0,6.0,19.0,42.0,10.0,25.0,11.0,12.0,63.0,8.0,21.0,55.0,412.0,93.0,5.0,47.0,87.0,36.0,66.0,23.0
2565,0.0,1.0,2.0,13.0,3.0,4.0,15.0,7.0,433.0,10.0,69.0,6.0,34.0,76.0,9.0,42.0,51.0,20.0,22.0,5.0,11.0,60.0,36.0,56.0,37.0,96.0,83.0,41.0,19.0,53.0
2614,0.0,1.0,3.0,5.0,17.0,4.0,26.0,45.0,13.0,9.0,31.0,6.0,42.0,51.0,18.0,59.0,20.0,11.0,40.0,2.0,24.0,57.0,19.0,114.0,46.0,53.0,50.0,68.0,37.0,61.0
2663,4.0,0.0,8.0,7.0,3.0,9.0,83.0,458.0,2.0,6.0,35.0,14.0,16.0,93.0,34.0,37.0,40.0,26.0,54.0,1.0,39.0,5.0,373.0,80.0,23.0,13.0,31.0,63.0,72.0,50.0
2712,0.0,3.0,1.0,11.0,6.0,10.0,18.0,62.0,7.0,19.0,35.0,5.0,13.0,15.0,20.0,28.0,14.0,12.0,106.0,4.0,22.0,320.0,82.0,90.0,56.0,45.0,54.0,21.0,77.0,17.0
2761,3.0,0.0,4.0,8.0,18.0,22.0,9.0,19.0,61.0,28.0,54.0,7.0,10.0,15.0,27.0,91.0,17.0,16.0,40.0,1.0,24.0,86.0,414.0,42.0,49.0,38.0,39.0,12.0,32.0,51.0
2810,0.0,1.0,5.0,3.0,4.0,18.0,14.0,52.0,9.0,31.0,13.0,16.0,36.0,34.0,7.0,44.0,27.0,11.0,29.0,2.0,21.0,40.0,75.0,88.0,8.0,24.0,12.0,51.0,20.0,35.0
2859,0.0,1.0,3.0,24.0,12.0,26.0,17.0,31.0,5.0,8.0,29.0,18.0,13.0,28.0,4.0,52.0,9.0,22.0,32.0,2.0,11.0,14.0,99.0,39.0,27.0,30.0,455.0,372.0,56.0,7.0
2908,0.0,3.0,2.0,4.0,7.0,8.0,5.0,24.0,108.0,20.0,39.0,10.0,1.0,36.0,12.0,34.0,15.0,6.0,48.0,9.0,23.0,11.0,56.0,222.0,27.0,22.0,509.0,37.0,83.0,49.0
2957,0.0,1.0,6.0,3.0,15.0,14.0,19.0,61.0,24.0,39.0,47.0,13.0,4.0,53.0,5.0,9.0,7.0,23.0,113.0,42.0,18.0,45.0,418.0,101.0,26.0,41.0,88.0,12.0,31.0,33.0
3006,0.0,1.0,9.0,42.0,14.0,17.0,7.0,12.0,3.0,18.0,55.0,29.0,26.0,6.0,2.0,21.0,8.0,24.0,44.0,63.0,32.0,23.0,371.0,90.0,38.0,40.0,464.0,36.0,27.0,54.0
3055,0.0,2.0,3.0,7.0,6.0,10.0,59.0,9.0,34.0,20.0,19.0,11.0,5.0,30.0,8.0,17.0,1.0,71.0,50.0,95.0,14.0,42.0,68.0,49.0,16.0,35.0,444.0,38.0,29.0,66.0
3104,0.0,1.0,6.0,8.0,3.0,7.0,5.0,12.0,101.0,25.0,30.0,35.0,21.0,43.0,9.0,27.0,4.0,49.0,521.0,16.0,32.0,29.0,19.0,48.0,415.0,52.0,479.0,2.0,37.0,146.0
3153,0.0,1.0,5.0,2.0,3.0,36.0,6.0,57.0,44.0,55.0,17.0,8.0,42.0,14.0,11.0,4.0,12.0,19.0,45.0,104.0,9.0,37.0,52.0,78.0,54.0,82.0,489.0,40.0,20.0,25.0
3202,5.0,0.0,12.0,3.0,8.0,25.0,7.0,22.0,46.0,31.0,34.0,29.0,11.0,33.0,6.0,10.0,1.0,9.0,77.0,123.0,30.0,17.0,35.0,37.0,380.0,40.0,83.0,27.0,42.0,24.0
3251,0.0,2.0,28.0,5.0,3.0,11.0,10.0,29.0,14.0,16.0,6.0,30.0,76.0,7.0,1.0,24.0,4.0,26.0,96.0,117.0,19.0,36.0,23.0,94.0,15.0,87.0,103.0,18.0,25.0,37.0
3300,7.0,0.0,20.0,2.0,10.0,6.0,16.0,98.0,5.0,11.0,29.0,27.0,3.0,30.0,8.0,19.0,9.0,468.0,55.0,56.0,23.0,24.0,74.0,66.0,31.0,17.0,52.0,12.0,61.0,18.0
3349,0.0,1.0,7.0,3.0,2.0,65.0,5.0,18.0,13.0,23.0,26.0,24.0,16.0,38.0,6.0,14.0,12.0,44.0,447.0,125.0,10.0,25.0,17.0,35.0,53.0,48.0,470.0,9.0,20.0,22.0
3398,0.0,1.0,17.0,8.0,9.0,16.0,23.0,30.0,4.0,19.0,26.0,28.0,25.0,70.0,10.0,22.0,7.0,59.0,467.0,100.0,5.0,53.0,54.0,315.0,32.0,21.0,485.0,3.0,20.0,52.0
3447,0.0,1.0,6.0,2.0,31.0,29.0,67.0,8.0,23.0,42.0,30.0,5.0,13.0,77.0,38.0,10.0,36.0,4.0,40.0,75.0,17.0,96.0,12.0,65.0,56.0,86.0,33.0,18.0,21.0,151.0
3496,2.0,0.0,1.0,7.0,51.0,40.0,42.0,9.0,3.0,14.0,18.0,28.0,39.0,4.0,19.0,26.0,68.0,32.0,15.0,8.0,22.0,13.0,38.0,66.0,27.0,31.0,10.0,29.0,25.0,50.0
3545,9.0,0.0,10.0,25.0,8.0,4.0,26.0,2.0,22.0,6.0,21.0,3.0,18.0,1.0,69.0,23.0,76.0,57.0,13.0,20.0,5.0,29.0,28.0,42.0,32.0,37.0,48.0,16.0,60.0,155.0
3594,1.0,0.0,5.0,10.0,34.0,28.0,2.0,18.0,11.0,19.0,15.0,9.0,29.0,16.0,22.0,38.0,55.0,6.0,17.0,3.0,69.0,43.0,61.0,21.0,30.0,83.0,14.0,8.0,26.0,58.0
3643,0.0,2.0,11.0,5.0,47.0,22.0,3.0,4.0,6.0,16.0,28.0,10.0,33.0,7.0,32.0,27.0,493.0,20.0,63.0,14.0,8.0,34.0,17.0,300.0,19.0,80.0,21.0,1.0,37.0,103.0
3692,1.0,2.0,9.0,6.0,8.0,14.0,5.0,19.0,11.0,0.0,20.0,12.0,35.0,3.0,38.0,26.0,44.0,17.0,18.0,23.0,29.0,51.0,7.0,68.0,34.0,241.0,28.0,24.0,39.0,31.0
3741,0.0,2.0,4.0,16.0,11.0,10.0,3.0,5.0,1.0,14.0,39.0,20.0,38.0,6.0,13.0,18.0,110.0,27.0,19.0,29.0,23.0,56.0,69.0,114.0,22.0,53.0,26.0,63.0,52.0,113.0
3790,11.0,1.0,2.0,3.0,26.0,14.0,16.0,0.0,9.0,6.0,24.0,21.0,12.0,43.0,5.0,59.0,84.0,19.0,4.0,25.0,35.0,15.0,87.0,18.0,114.0,28.0,7.0,20.0,23.0,17.0
3839,0.0,3.0,2.0,6.0,13.0,10.0,5.0,11.0,24.0,21.0,19.0,15.0,4.0,1.0,50.0,105.0,30.0,47.0,22.0,9.0,70.0,16.0,60.0,62.0,91.0,35.0,8.0,20.0,37.0,46.0
3888,1.0,7.0,4.0,5.0,19.0,3.0,10.0,0.0,16.0,2.0,27.0,9.0,13.0,6.0,17.0,37.0,98.0,14.0,30.0,12.0,44.0,69.0,28.0,55.0,94.0,70.0,15.0,8.0,48.0,24.0
3937,0.0,1.0,75.0,2.0,6.0,11.0,3.0,47.0,8.0,21.0,10.0,14.0,39.0,38.0,36.0,41.0,17.0,66.0,24.0,18.0,59.0,12.0,5.0,37.0,4.0,7.0,9.0,31.0,58.0,33.0
3986,8.0,3.0,13.0,0.0,2.0,10.0,1.0,6.0,66.0,29.0,36.0,14.0,7.0,12.0,22.0,30.0,40.0,26.0,23.0,59.0,58.0,53.0,9.0,32.0,33.0,24.0,18.0,5.0,35.0,11.0
4035,1.0,0.0,12.0,6.0,9.0,35.0,2.0,63.0,24.0,47.0,23.0,30.0,20.0,59.0,21.0,26.0,13.0,17.0,31.0,109.0,41.0,55.0,18.0,5.0,3.0,43.0,54.0,57.0,40.0,14.0
4084,0.0,8.0,20.0,10.0,31.0,24.0,26.0,29.0,2.0,61.0,30.0,28.0,13.0,21.0,48.0,16.0,6.0,39.0,9.0,44.0,82.0,36.0,11.0,7.0,3.0,23.0,56.0,57.0,76.0,64.0
4133,0.0,1.0,47.0,8.0,6.0,90.0,2.0,52.0,3.0,35.0,4.0,80.0,20.0,7.0,33.0,11.0,10.0,27.0,19.0,13.0,56.0,30.0,12.0,9.0,18.0,15.0,494.0,88.0,36.0,32.0
4182,0.0,1.0,14.0,8.0,23.0,15.0,39.0,51.0,6.0,21.0,19.0,82.0,24.0,5.0,42.0,37.0,34.0,36.0,22.0,45.0,28.0,12.0,10.0,20.0,2.0,4.0,50.0,403.0,48.0,32.0
4231,0.0,3.0,9.0,2.0,8.0,16.0,5.0,84.0,11.0,17.0,37.0,4.0,21.0,58.0,22.0,20.0,10.0,62.0,12.0,51.0,23.0,54.0,15.0,25.0,30.0,32.0,50.0,82.0,44.0,39.0
4280,0.0,17.0,46.0,2.0,23.0,36.0,1.0,9.0,3.0,37.0,16.0,27.0,42.0,11.0,44.0,38.0,24.0,21.0,15.0,10.0,83.0,35.0,5.0,59.0,4.0,29.0,22.0,18.0,67.0,110.0
4329,0.0,2.0,51.0,3.0,5.0,42.0,1.0,37.0,6.0,59.0,8.0,31.0,43.0,13.0,11.0,23.0,24.0,58.0,4.0,25.0,48.0,56.0,15.0,16.0,27.0,45.0,44.0,69.0,29.0,22.0
4378,0.0,1.0,31.0,8.0,2.0,13.0,12.0,7.0,48.0,11.0,16.0,4.0,46.0,18.0,27.0,49.0,42.0,21.0,10.0,77.0,39.0,23.0,3.0,22.0,96.0,50.0,20.0,37.0,34.0,188.0
4427,1.0,0.0,4.0,2.0,25.0,12.0,54.0,7.0,9.0,3.0,13.0,57.0,22.0,21.0,28.0,23.0,477.0,82.0,52.0,16.0,38.0,11.0,65.0,24.0,5.0,47.0,10.0,85.0,44.0,32.0
4476,3.0,0.0,10.0,1.0,8.0,9.0,19.0,18.0,6.0,12.0,14.0,101.0,16.0,7.0,33.0,22.0,491.0,53.0,88.0,25.0,58.0,31.0,27.0,44.0,30.0,15.0,5.0,34.0,21.0,26.0
4525,2.0,3.0,15.0,0.0,11.0,6.0,14.0,19.0,17.0,18.0,7.0,43.0,56.0,5.0,29.0,13.0,69.0,39.0,65.0,12.0,28.0,10.0,22.0,33.0,21.0,47.0,31.0,27.0,107.0,16.0
4574,1.0,3.0,32.0,9.0,7.0,5.0,27.0,0.0,2.0,19.0,25.0,80.0,28.0,33.0,41.0,21.0,39.0,65.0,100.0,16.0,64.0,6.0,40.0,10.0,23.0,11.0,14.0,44.0,55.0,37.0
4623,1.0,2.0,26.0,4.0,9.0,15.0,40.0,8.0,6.0,12.0,46.0,74.0,63.0,25.0,48.0,20.0,475.0,21.0,33.0,37.0,58.0,24.0,30.0,16.0,13.0,10.0,0.0,29.0,50.0,45.0
4672,1.0,0.0,7.0,3.0,11.0,31.0,30.0,10.0,2.0,14.0,8.0,413.0,39.0,9.0,13.0,34.0,56.0,73.0,27.0,24.0,46.0,17.0,18.0,21.0,58.0,42.0,4.0,23.0,12.0,22.0
4721,1.0,0.0,9.0,3.0,16.0,8.0,27.0,31.0,2.0,21.0,11.0,26.0,23.0,5.0,65.0,13.0,24.0,100.0,63.0,19.0,34.0,6.0,409.0,7.0,29.0,37.0,12.0,93.0,319.0,10.0
4770,0.0,8.0,5.0,13.0,12.0,3.0,22.0,21.0,1.0,10.0,15.0,55.0,27.0,2.0,42.0,14.0,64.0,67.0,20.0,4.0,58.0,41.0,504.0,30.0,25.0,33.0,16.0,26.0,51.0,62.0
4819,5.0,0.0,12.0,2.0,11.0,13.0,1.0,17.0,10.0,15.0,14.0,43.0,76.0,4.0,74.0,19.0,42.0,32.0,77.0,20.0,25.0,16.0,36.0,9.0,31.0,26.0,7.0,8.0,48.0,24.0
4868,1.0,0.0,2.0,3.0,16.0,18.0,85.0,39.0,33.0,36.0,24.0,15.0,46.0,9.0,25.0,41.0,62.0,11.0,88.0,4.0,53.0,8.0,54.0,6.0,40.0,21.0,5.0,72.0,44.0,100.0
