,1-methylnicotinamide,alpha-glycerophosphate,beta-alanine,creatine,phosphocreatine,C36:1 DAG,uridine,uracil,putrescine,DHAP/glyceraldehyde 3P,inosine,alpha-glycerophosphocholine,oxalate,2-deoxyadenosine,GABA,C22:6 CE,carnitine,C36:4 PC-B,guanosine,pantothenate,malondialdehyde,niacinamide,C22:6 LPC,N-carbamoyl-beta-alanine,serotonin,palmitoylcarnitine,NADP,UMP,hypoxanthine,cystathionine
1887,0.0,4.0,2.0,14.0,1.0,21.0,3.0,8.0,15.0,7.0,39.0,12.0,5.0,34.0,24.0,6.0,23.0,9.0,20.0,36.0,10.0,16.0,40.0,65.0,32.0,49.0,46.0,13.0,62.0,51.0
1936,0.0,2.0,1.0,5.0,11.0,9.0,14.0,12.0,3.0,25.0,26.0,39.0,13.0,4.0,20.0,35.0,15.0,8.0,61.0,6.0,7.0,16.0,27.0,17.0,30.0,53.0,22.0,21.0,34.0,24.0
1985,0.0,5.0,9.0,3.0,4.0,18.0,2.0,10.0,11.0,1.0,6.0,12.0,7.0,54.0,47.0,22.0,32.0,24.0,33.0,13.0,42.0,39.0,15.0,14.0,44.0,27.0,60.0,41.0,8.0,25.0
2034,0.0,3.0,2.0,5.0,6.0,30.0,15.0,7.0,10.0,1.0,21.0,9.0,4.0,19.0,43.0,13.0,20.0,18.0,35.0,27.0,11.0,23.0,24.0,22.0,48.0,17.0,37.0,49.0,8.0,31.0
2083,0.0,4.0,6.0,1.0,11.0,17.0,27.0,9.0,3.0,2.0,5.0,8.0,25.0,36.0,20.0,12.0,18.0,10.0,28.0,7.0,19.0,29.0,24.0,15.0,13.0,33.0,38.0,35.0,22.0,16.0
2132,0.0,2.0,4.0,5.0,7.0,13.0,8.0,3.0,30.0,1.0,6.0,12.0,23.0,17.0,59.0,11.0,19.0,9.0,46.0,20.0,24.0,33.0,28.0,35.0,62.0,10.0,66.0,22.0,18.0,16.0
2181,0.0,1.0,5.0,8.0,3.0,28.0,7.0,10.0,2.0,19.0,34.0,4.0,17.0,24.0,14.0,27.0,16.0,50.0,56.0,45.0,41.0,32.0,9.0,21.0,31.0,11.0,37.0,22.0,20.0,6.0
2230,1.0,4.0,2.0,6.0,0.0,9.0,10.0,47.0,12.0,3.0,7.0,5.0,11.0,19.0,26.0,20.0,55.0,22.0,60.0,15.0,42.0,24.0,16.0,17.0,23.0,14.0,41.0,37.0,18.0,13.0
2279,0.0,5.0,1.0,2.0,15.0,9.0,8.0,4.0,16.0,3.0,6.0,11.0,12.0,14.0,23.0,7.0,37.0,34.0,21.0,20.0,35.0,36.0,28.0,22.0,49.0,18.0,46.0,13.0,17.0,10.0
2328,0.0,1.0,4.0,16.0,6.0,11.0,8.0,7.0,15.0,2.0,13.0,3.0,9.0,27.0,26.0,18.0,22.0,36.0,49.0,10.0,53.0,30.0,45.0,5.0,50.0,23.0,44.0,14.0,20.0,29.0
2377,0.0,13.0,5.0,2.0,9.0,7.0,4.0,8.0,3.0,1.0,6.0,11.0,16.0,26.0,39.0,19.0,20.0,35.0,52.0,36.0,23.0,25.0,27.0,21.0,22.0,17.0,66.0,33.0,14.0,47.0
2426,0.0,2.0,3.0,7.0,5.0,16.0,6.0,4.0,8.0,1.0,22.0,10.0,14.0,31.0,36.0,12.0,37.0,18.0,47.0,38.0,13.0,19.0,27.0,29.0,15.0,35.0,65.0,24.0,23.0,11.0
2475,0.0,2.0,1.0,6.0,5.0,4.0,37.0,12.0,21.0,10.0,8.0,7.0,11.0,18.0,31.0,16.0,44.0,17.0,14.0,15.0,32.0,23.0,13.0,22.0,24.0,9.0,52.0,40.0,42.0,19.0
2524,0.0,5.0,1.0,11.0,4.0,18.0,15.0,7.0,9.0,13.0,3.0,2.0,32.0,8.0,24.0,16.0,57.0,31.0,14.0,29.0,23.0,48.0,6.0,22.0,43.0,10.0,27.0,17.0,28.0,62.0
2573,0.0,8.0,2.0,4.0,6.0,7.0,13.0,18.0,23.0,33.0,1.0,15.0,17.0,16.0,43.0,11.0,61.0,48.0,3.0,5.0,37.0,29.0,10.0,28.0,12.0,14.0,64.0,9.0,22.0,24.0
2622,0.0,7.0,1.0,9.0,6.0,26.0,4.0,3.0,21.0,5.0,11.0,2.0,10.0,17.0,40.0,13.0,31.0,23.0,56.0,19.0,16.0,20.0,15.0,59.0,38.0,12.0,18.0,8.0,14.0,57.0
2671,0.0,2.0,1.0,6.0,3.0,21.0,5.0,9.0,13.0,16.0,17.0,19.0,29.0,4.0,46.0,7.0,41.0,8.0,18.0,20.0,22.0,15.0,14.0,49.0,12.0,11.0,26.0,10.0,42.0,23.0
2720,0.0,2.0,4.0,5.0,6.0,18.0,15.0,1.0,19.0,7.0,3.0,23.0,17.0,32.0,35.0,12.0,26.0,28.0,8.0,11.0,16.0,21.0,13.0,29.0,22.0,20.0,14.0,10.0,36.0,25.0
2769,0.0,2.0,10.0,1.0,14.0,8.0,5.0,16.0,48.0,7.0,3.0,9.0,38.0,19.0,22.0,6.0,27.0,12.0,11.0,32.0,18.0,20.0,4.0,49.0,25.0,34.0,39.0,13.0,44.0,52.0
2818,0.0,10.0,1.0,4.0,21.0,11.0,6.0,2.0,16.0,12.0,7.0,15.0,20.0,29.0,17.0,9.0,32.0,13.0,51.0,42.0,37.0,27.0,3.0,25.0,19.0,5.0,39.0,23.0,65.0,18.0
2867,0.0,6.0,5.0,4.0,16.0,9.0,18.0,12.0,7.0,29.0,8.0,1.0,20.0,2.0,24.0,23.0,34.0,11.0,10.0,13.0,39.0,45.0,3.0,22.0,17.0,32.0,14.0,15.0,40.0,28.0
2916,0.0,4.0,1.0,15.0,8.0,5.0,6.0,3.0,12.0,14.0,7.0,2.0,31.0,9.0,27.0,38.0,19.0,20.0,22.0,29.0,33.0,18.0,11.0,13.0,34.0,32.0,26.0,35.0,50.0,41.0
2965,0.0,4.0,15.0,2.0,12.0,3.0,17.0,1.0,20.0,14.0,8.0,6.0,21.0,38.0,29.0,18.0,11.0,28.0,34.0,33.0,9.0,50.0,7.0,24.0,19.0,5.0,23.0,59.0,13.0,10.0
3014,0.0,4.0,6.0,11.0,8.0,7.0,1.0,3.0,2.0,9.0,17.0,21.0,13.0,34.0,12.0,31.0,24.0,26.0,37.0,48.0,20.0,49.0,19.0,10.0,5.0,27.0,42.0,35.0,18.0,14.0
3063,0.0,3.0,4.0,21.0,19.0,2.0,1.0,5.0,8.0,9.0,6.0,25.0,18.0,45.0,24.0,27.0,42.0,22.0,23.0,34.0,41.0,36.0,10.0,7.0,16.0,17.0,14.0,35.0,15.0,44.0
3112,0.0,7.0,28.0,6.0,13.0,3.0,2.0,5.0,4.0,17.0,14.0,33.0,11.0,40.0,12.0,23.0,47.0,26.0,24.0,34.0,36.0,43.0,8.0,31.0,9.0,10.0,41.0,30.0,1.0,22.0
3161,0.0,1.0,42.0,5.0,17.0,4.0,10.0,2.0,18.0,14.0,7.0,16.0,12.0,19.0,3.0,24.0,27.0,8.0,30.0,32.0,23.0,26.0,35.0,45.0,6.0,31.0,9.0,15.0,29.0,11.0
3210,0.0,12.0,6.0,5.0,17.0,2.0,3.0,1.0,9.0,4.0,11.0,15.0,16.0,7.0,10.0,22.0,18.0,24.0,25.0,36.0,31.0,30.0,27.0,21.0,26.0,35.0,32.0,13.0,8.0,49.0
3259,0.0,9.0,2.0,3.0,5.0,6.0,1.0,8.0,16.0,13.0,7.0,45.0,11.0,28.0,10.0,49.0,20.0,27.0,29.0,24.0,33.0,26.0,14.0,18.0,17.0,19.0,12.0,21.0,4.0,30.0
3308,0.0,1.0,9.0,2.0,23.0,12.0,6.0,8.0,31.0,13.0,5.0,29.0,11.0,51.0,10.0,39.0,27.0,21.0,19.0,32.0,18.0,33.0,16.0,22.0,4.0,3.0,14.0,20.0,7.0,54.0
3357,0.0,1.0,21.0,3.0,25.0,13.0,4.0,2.0,7.0,11.0,6.0,26.0,12.0,33.0,20.0,23.0,15.0,18.0,19.0,52.0,10.0,61.0,30.0,40.0,8.0,9.0,44.0,39.0,22.0,5.0
3406,0.0,1.0,17.0,2.0,12.0,18.0,5.0,24.0,4.0,16.0,3.0,34.0,6.0,58.0,8.0,7.0,29.0,45.0,9.0,23.0,33.0,35.0,10.0,31.0,41.0,14.0,13.0,11.0,15.0,30.0
3455,0.0,1.0,3.0,4.0,17.0,5.0,7.0,8.0,2.0,6.0,10.0,9.0,19.0,23.0,20.0,27.0,31.0,24.0,44.0,39.0,11.0,46.0,16.0,13.0,12.0,50.0,40.0,15.0,30.0,22.0
3504,0.0,1.0,3.0,13.0,12.0,2.0,4.0,9.0,6.0,8.0,5.0,7.0,16.0,17.0,10.0,30.0,18.0,21.0,11.0,26.0,15.0,19.0,53.0,25.0,48.0,31.0,46.0,36.0,34.0,28.0
3553,0.0,10.0,3.0,7.0,15.0,4.0,1.0,20.0,2.0,6.0,8.0,5.0,11.0,40.0,16.0,9.0,44.0,36.0,21.0,13.0,64.0,17.0,47.0,28.0,46.0,41.0,55.0,14.0,34.0,65.0
3602,0.0,1.0,4.0,17.0,22.0,2.0,29.0,3.0,5.0,8.0,6.0,26.0,16.0,11.0,9.0,30.0,24.0,51.0,40.0,33.0,49.0,31.0,13.0,12.0,47.0,52.0,60.0,20.0,15.0,36.0
3651,0.0,1.0,2.0,5.0,9.0,8.0,16.0,6.0,3.0,7.0,4.0,24.0,10.0,32.0,35.0,49.0,18.0,34.0,43.0,25.0,13.0,12.0,62.0,20.0,33.0,55.0,46.0,57.0,28.0,23.0
3700,0.0,4.0,5.0,22.0,6.0,16.0,1.0,7.0,3.0,2.0,26.0,10.0,18.0,21.0,11.0,12.0,15.0,47.0,23.0,17.0,9.0,19.0,37.0,30.0,14.0,50.0,36.0,62.0,8.0,20.0
3749,0.0,6.0,5.0,8.0,4.0,2.0,7.0,11.0,3.0,1.0,10.0,12.0,19.0,17.0,31.0,9.0,15.0,27.0,14.0,32.0,16.0,22.0,48.0,33.0,26.0,39.0,28.0,58.0,24.0,45.0
3798,0.0,1.0,12.0,15.0,10.0,11.0,18.0,14.0,3.0,2.0,7.0,16.0,23.0,17.0,31.0,9.0,4.0,54.0,25.0,34.0,5.0,6.0,24.0,22.0,19.0,33.0,59.0,55.0,8.0,35.0
3847,0.0,5.0,7.0,10.0,11.0,2.0,1.0,9.0,17.0,3.0,6.0,4.0,26.0,24.0,13.0,28.0,12.0,21.0,33.0,19.0,8.0,29.0,46.0,32.0,31.0,20.0,43.0,64.0,52.0,41.0
3896,0.0,1.0,8.0,23.0,10.0,11.0,4.0,3.0,9.0,2.0,6.0,15.0,22.0,13.0,5.0,20.0,18.0,37.0,14.0,36.0,7.0,44.0,31.0,25.0,12.0,29.0,62.0,60.0,43.0,21.0
3945,0.0,3.0,9.0,1.0,8.0,2.0,22.0,20.0,11.0,19.0,6.0,13.0,23.0,12.0,16.0,62.0,52.0,61.0,7.0,26.0,48.0,25.0,30.0,21.0,5.0,31.0,24.0,55.0,4.0,28.0
3994,0.0,11.0,3.0,2.0,4.0,1.0,13.0,24.0,14.0,7.0,5.0,17.0,9.0,8.0,18.0,21.0,32.0,37.0,10.0,19.0,42.0,36.0,28.0,46.0,50.0,16.0,20.0,62.0,51.0,45.0
4043,0.0,6.0,1.0,7.0,3.0,2.0,8.0,20.0,11.0,14.0,13.0,24.0,18.0,12.0,15.0,32.0,17.0,23.0,22.0,34.0,16.0,30.0,62.0,25.0,9.0,31.0,10.0,46.0,5.0,59.0
4092,0.0,10.0,1.0,2.0,5.0,6.0,11.0,3.0,9.0,8.0,4.0,32.0,7.0,15.0,13.0,26.0,18.0,22.0,49.0,45.0,23.0,12.0,17.0,33.0,46.0,16.0,19.0,56.0,20.0,35.0
4141,0.0,3.0,7.0,2.0,1.0,13.0,17.0,11.0,8.0,9.0,4.0,6.0,37.0,5.0,20.0,38.0,24.0,43.0,50.0,41.0,12.0,27.0,26.0,22.0,49.0,39.0,28.0,18.0,59.0,19.0
4190,0.0,8.0,1.0,5.0,2.0,3.0,17.0,6.0,10.0,9.0,22.0,4.0,14.0,11.0,7.0,33.0,21.0,53.0,57.0,12.0,49.0,16.0,36.0,24.0,35.0,40.0,47.0,56.0,29.0,28.0
4239,0.0,1.0,3.0,10.0,6.0,7.0,12.0,2.0,25.0,4.0,9.0,29.0,20.0,5.0,23.0,57.0,26.0,39.0,36.0,14.0,30.0,16.0,42.0,33.0,13.0,24.0,18.0,35.0,11.0,28.0
4288,0.0,5.0,1.0,11.0,13.0,38.0,12.0,2.0,9.0,10.0,4.0,6.0,7.0,3.0,8.0,21.0,44.0,31.0,35.0,14.0,28.0,29.0,57.0,33.0,39.0,25.0,22.0,48.0,34.0,15.0
4337,0.0,2.0,3.0,1.0,4.0,6.0,10.0,8.0,7.0,5.0,33.0,15.0,16.0,29.0,12.0,27.0,21.0,63.0,31.0,17.0,13.0,11.0,64.0,22.0,30.0,26.0,58.0,24.0,23.0,19.0
4386,0.0,1.0,6.0,8.0,4.0,3.0,10.0,2.0,16.0,15.0,34.0,5.0,7.0,19.0,9.0,54.0,45.0,37.0,58.0,50.0,30.0,12.0,20.0,21.0,23.0,29.0,46.0,11.0,27.0,18.0
4435,0.0,1.0,6.0,3.0,19.0,5.0,14.0,9.0,8.0,4.0,10.0,11.0,7.0,39.0,46.0,13.0,15.0,31.0,20.0,2.0,27.0,12.0,48.0,37.0,26.0,47.0,40.0,28.0,30.0,17.0
4484,0.0,3.0,7.0,2.0,5.0,8.0,6.0,10.0,4.0,1.0,11.0,13.0,9.0,35.0,15.0,21.0,24.0,17.0,66.0,18.0,16.0,22.0,25.0,41.0,32.0,20.0,30.0,55.0,50.0,12.0
4533,0.0,1.0,13.0,4.0,5.0,3.0,12.0,16.0,11.0,2.0,21.0,8.0,15.0,36.0,32.0,9.0,33.0,23.0,51.0,7.0,19.0,17.0,24.0,25.0,34.0,62.0,31.0,6.0,30.0,57.0
4582,0.0,6.0,2.0,5.0,4.0,8.0,10.0,13.0,1.0,7.0,12.0,9.0,3.0,16.0,56.0,51.0,15.0,11.0,29.0,14.0,20.0,17.0,34.0,24.0,63.0,52.0,21.0,35.0,25.0,65.0
4631,0.0,1.0,10.0,4.0,6.0,9.0,11.0,14.0,2.0,7.0,5.0,8.0,21.0,22.0,48.0,28.0,43.0,19.0,29.0,3.0,26.0,36.0,15.0,18.0,39.0,27.0,16.0,47.0,44.0,34.0
4680,0.0,1.0,8.0,24.0,10.0,4.0,15.0,13.0,7.0,2.0,12.0,5.0,3.0,19.0,40.0,18.0,29.0,11.0,58.0,31.0,14.0,17.0,57.0,21.0,16.0,32.0,44.0,9.0,23.0,43.0
4729,0.0,4.0,12.0,7.0,3.0,8.0,5.0,1.0,6.0,14.0,52.0,20.0,24.0,18.0,38.0,16.0,9.0,15.0,62.0,2.0,27.0,22.0,10.0,32.0,26.0,49.0,13.0,28.0,29.0,39.0
4778,0.0,2.0,8.0,7.0,4.0,11.0,6.0,3.0,1.0,5.0,19.0,16.0,9.0,27.0,22.0,47.0,13.0,10.0,23.0,12.0,17.0,15.0,24.0,35.0,56.0,33.0,32.0,41.0,59.0,31.0
4827,0.0,1.0,9.0,11.0,3.0,8.0,5.0,27.0,12.0,6.0,17.0,2.0,7.0,10.0,34.0,23.0,29.0,13.0,38.0,4.0,15.0,24.0,19.0,59.0,36.0,16.0,21.0,28.0,44.0,37.0
4876,0.0,3.0,9.0,2.0,5.0,7.0,18.0,14.0,1.0,6.0,12.0,11.0,10.0,4.0,35.0,36.0,16.0,39.0,34.0,8.0,19.0,21.0,46.0,43.0,22.0,32.0,60.0,47.0,29.0,56.0
