,DACH2_DEL,APBA1_AMP,ZNF490_DEL,FLT3_MUT,GLI3_MUT,C1orf227_DEL,AXDND1_AMP,MTAP_DEL,FGF1_AMP,PRAMEF2_DEL,DEFB109P1_DEL,ETS1_DEL,ADARB2_DEL,DPP6_DEL,PRODH_DEL,GSTTP1_AMP,NRAS_MUT,MRC1_DEL,LOC729737_DEL,ZDHHC11_DEL,DOCK10_AMP,LRMP_AMP,AATK_AMP,PDE4DIP_AMP,FAM66A_DEL,MIR548AI_DEL,OR52N5_DEL,KIAA0125_AMP,JAK2_DEL,SHROOM2_DEL
2973,4451.0,36.0,42.0,15.0,24.0,3851.0,58.0,37.0,50.0,11294.0,155.0,44.0,20009.0,65.0,73.0,146.0,15992.0,2218.0,105.0,52.0,21420.0,74.0,18724.0,94.0,177.0,188.0,55.0,116.0,29.0,2430.0
3022,25.0,21.0,26.0,23.0,15948.0,28.0,36.0,70.0,128.0,62.0,145.0,63.0,140.0,108.0,10616.0,68.0,15993.0,32.0,50.0,66.0,154.0,13737.0,18724.0,180.0,105.0,175.0,134.0,18824.0,127.0,133.0
3071,16.0,25.0,8.0,5.0,15944.0,3834.0,97.0,78.0,74.0,136.0,79.0,107.0,20006.0,129.0,7.0,94.0,15991.0,2193.0,7550.0,81.0,46.0,14.0,13.0,98.0,180.0,89.0,105.0,88.0,123.0,2409.0
3120,4522.0,27.0,19.0,55.0,15945.0,4.0,13.0,69.0,140.0,80.0,117.0,6052.0,23.0,82.0,11615.0,85.0,15990.0,2214.0,7555.0,73.0,21416.0,59.0,154.0,178.0,210.0,81.0,190.0,173.0,2521.0,2456.0
3169,4455.0,32.0,13.0,25.0,44.0,19.0,7.0,190.0,118.0,11300.0,65.0,6061.0,84.0,80.0,11624.0,88.0,15993.0,157.0,7544.0,82.0,21422.0,23.0,148.0,52.0,204.0,158.0,163.0,18787.0,91.0,2430.0
3218,14.0,14521.0,29.0,22.0,23.0,44.0,16950.0,60.0,159.0,80.0,111.0,6039.0,76.0,75.0,11608.0,132.0,15988.0,95.0,77.0,86.0,69.0,13749.0,18731.0,104.0,120.0,19914.0,2743.0,153.0,18.0,97.0
3267,13.0,82.0,40.0,26.0,81.0,3850.0,16962.0,55.0,25.0,11297.0,206.0,15.0,77.0,87.0,11624.0,102.0,15998.0,169.0,90.0,51.0,57.0,67.0,18713.0,126.0,156.0,196.0,162.0,18790.0,29.0,2430.0
3316,10.0,22.0,20.0,7.0,30.0,2.0,43.0,47.0,87.0,11319.0,5291.0,163.0,102.0,85.0,11619.0,111.0,16000.0,2221.0,51.0,93.0,65.0,78.0,88.0,18717.0,69.0,98.0,138.0,18806.0,54.0,2420.0
3365,0.0,32.0,51.0,49.0,15947.0,5.0,10.0,53.0,79.0,11299.0,125.0,6055.0,177.0,147.0,45.0,95.0,15993.0,199.0,76.0,62.0,82.0,55.0,167.0,58.0,211.0,169.0,141.0,83.0,96.0,2413.0
3414,0.0,19.0,37.0,16185.0,25.0,10.0,16954.0,40.0,28.0,89.0,74.0,6050.0,32.0,119.0,10617.0,70.0,15993.0,2215.0,62.0,87.0,56.0,13715.0,84.0,107.0,92.0,151.0,120.0,79.0,63.0,2409.0
3463,4468.0,3.0,105.0,16182.0,50.0,32.0,22.0,57.0,49.0,44.0,12.0,34.0,156.0,82.0,148.0,73.0,15992.0,2063.0,92.0,55.0,75.0,13715.0,107.0,114.0,129.0,90.0,41.0,79.0,87.0,118.0
3512,74.0,8.0,18.0,2.0,50.0,41.0,27.0,73.0,75.0,12.0,5282.0,22.0,85.0,71.0,97.0,68.0,25.0,149.0,13.0,20.0,115.0,13717.0,47.0,18716.0,62.0,76.0,154.0,86.0,2522.0,2429.0
3561,4448.0,13.0,51.0,15.0,15945.0,8.0,3.0,50.0,67.0,34.0,5277.0,38.0,151.0,58.0,11618.0,121.0,20.0,30.0,7601.0,41.0,84.0,13714.0,18734.0,138.0,68.0,145.0,96.0,182.0,40.0,119.0
