,LEPREL2,TSPYL5,LDOC1,EMR1,AGAP4,DUSP23,PXDN,ZNF229,PTPN13,WNK4,RPS6KA6,WNT5B,AC005624.2,ENPP2,CTF1,VWDE,ZNF347,RP11-561C5.4,CHST7,S100A4,HENMT1,SH3BP1,ZYG11A,TTC31,C1orf233,AP006222.2,RP11-89K21.1,ZNF502,ZNF239,OSR1
498,2.0,0.0,1.0,4.0,26.0,11.0,8.0,3.0,79.0,18.0,39.0,82.0,6.0,19.0,41.0,37.0,946.0,25.0,68.0,20.0,9.0,62.0,10.0,71.0,45.0,38.0,24.0,16.0,55.0,17.0
547,1.0,2.0,0.0,32.0,7.0,42.0,26.0,14.0,27.0,9.0,13.0,10.0,3.0,17.0,40.0,18.0,890.0,47.0,6.0,37.0,166.0,41.0,15.0,8.0,237.0,30.0,23.0,227.0,388.0,11.0
596,2.0,0.0,1.0,4.0,24.0,8.0,32.0,9.0,13.0,5.0,21.0,71.0,7.0,14.0,22.0,15.0,237.0,46.0,17.0,157.0,100.0,28.0,26.0,49.0,138.0,40.0,20.0,10.0,47.0,44.0
645,7.0,0.0,13.0,2.0,4.0,1.0,5.0,3.0,49.0,15.0,29.0,77.0,6.0,74.0,37.0,31.0,313.0,80.0,52.0,71.0,65.0,28.0,14.0,27.0,201.0,57.0,8.0,30.0,17.0,36.0
694,1.0,0.0,2.0,14.0,6.0,3.0,4.0,7.0,12.0,5.0,22.0,19.0,17.0,30.0,156.0,18.0,13.0,62.0,8.0,270.0,48.0,36.0,40.0,81.0,331.0,123.0,83.0,55.0,52.0,304.0
743,2.0,0.0,1.0,20.0,10.0,3.0,14.0,7.0,12.0,19.0,15.0,84.0,6.0,97.0,4.0,9.0,104.0,35.0,23.0,29.0,238.0,26.0,43.0,34.0,82.0,8.0,88.0,27.0,30.0,52.0
792,3.0,0.0,1.0,5.0,8.0,2.0,9.0,4.0,12.0,7.0,6.0,34.0,10.0,13.0,16.0,26.0,490.0,41.0,11.0,101.0,408.0,15.0,17.0,23.0,45.0,51.0,27.0,42.0,53.0,35.0
841,3.0,0.0,1.0,11.0,2.0,6.0,4.0,9.0,15.0,7.0,14.0,29.0,5.0,25.0,52.0,16.0,198.0,19.0,17.0,12.0,37.0,45.0,78.0,27.0,61.0,31.0,13.0,43.0,34.0,36.0
890,2.0,1.0,0.0,3.0,19.0,13.0,15.0,4.0,9.0,14.0,7.0,164.0,5.0,42.0,83.0,79.0,156.0,29.0,6.0,277.0,18.0,26.0,100.0,10.0,98.0,44.0,196.0,8.0,61.0,40.0
939,4.0,0.0,1.0,3.0,5.0,2.0,22.0,27.0,21.0,6.0,14.0,7.0,20.0,26.0,10.0,108.0,675.0,9.0,8.0,119.0,139.0,25.0,82.0,45.0,188.0,12.0,41.0,32.0,137.0,58.0
988,14.0,0.0,1.0,4.0,10.0,43.0,3.0,2.0,16.0,17.0,5.0,73.0,28.0,70.0,267.0,108.0,57.0,99.0,18.0,471.0,113.0,9.0,140.0,42.0,1649.0,29.0,7.0,20.0,31.0,161.0
1037,3.0,0.0,2.0,5.0,23.0,176.0,9.0,10.0,7.0,4.0,203.0,425.0,205.0,250.0,36.0,169.0,27.0,40.0,30.0,37.0,57.0,60.0,543.0,229.0,406.0,43.0,17.0,22.0,117.0,33.0
1086,12.0,2.0,1.0,5.0,18.0,8.0,0.0,3.0,4.0,9.0,15.0,132.0,2734.0,270.0,126.0,158.0,13.0,112.0,102.0,98.0,17.0,74.0,116.0,43.0,582.0,84.0,11.0,31.0,6.0,26.0
1135,12.0,0.0,1.0,2.0,131.0,60.0,4.0,10.0,13.0,19.0,26.0,40.0,248.0,37.0,41.0,115.0,7.0,162.0,43.0,171.0,153.0,187.0,83.0,188.0,724.0,49.0,15.0,8.0,22.0,9.0
1184,14.0,2.0,0.0,4.0,21.0,65.0,1.0,3.0,8.0,6.0,27.0,83.0,985.0,70.0,7.0,18.0,11.0,99.0,16.0,166.0,101.0,119.0,122.0,230.0,876.0,42.0,9.0,17.0,80.0,46.0
1233,5.0,0.0,2.0,6.0,25.0,32.0,1.0,3.0,9.0,13.0,36.0,101.0,377.0,22.0,396.0,186.0,10.0,105.0,27.0,99.0,53.0,24.0,14.0,68.0,1991.0,26.0,39.0,56.0,87.0,107.0
1282,14.0,0.0,2.0,4.0,98.0,24.0,1.0,3.0,21.0,106.0,583.0,181.0,1318.0,60.0,70.0,39.0,42.0,47.0,77.0,163.0,203.0,93.0,132.0,322.0,366.0,459.0,38.0,51.0,58.0,6.0
1331,5.0,0.0,1.0,3.0,17.0,55.0,2.0,4.0,25.0,8.0,30.0,196.0,125.0,72.0,43.0,187.0,6.0,44.0,73.0,117.0,16.0,51.0,10.0,156.0,180.0,24.0,11.0,15.0,7.0,121.0
1380,4.0,0.0,1.0,3.0,22.0,244.0,2.0,15.0,6.0,11.0,9.0,138.0,348.0,252.0,35.0,7.0,436.0,57.0,18.0,41.0,17.0,53.0,47.0,134.0,307.0,32.0,39.0,108.0,29.0,42.0
1429,8.0,0.0,1.0,2.0,16.0,13.0,3.0,4.0,6.0,18.0,9.0,149.0,279.0,61.0,45.0,14.0,35.0,113.0,17.0,195.0,44.0,66.0,10.0,136.0,565.0,80.0,5.0,76.0,39.0,19.0
1478,0.0,2.0,3.0,1.0,6.0,12.0,10.0,20.0,14.0,124.0,64.0,5.0,80.0,24.0,61.0,17.0,104.0,36.0,53.0,11.0,93.0,25.0,16.0,70.0,31.0,283.0,54.0,234.0,178.0,21.0
1527,0.0,2.0,1.0,13.0,6.0,7.0,38.0,12.0,9.0,5.0,24.0,54.0,23.0,80.0,29.0,51.0,66.0,42.0,102.0,11.0,492.0,43.0,17.0,20.0,79.0,95.0,90.0,68.0,19.0,146.0
1576,0.0,1.0,6.0,3.0,26.0,7.0,10.0,8.0,12.0,16.0,229.0,2.0,321.0,64.0,4.0,37.0,5.0,59.0,102.0,14.0,169.0,49.0,57.0,191.0,18.0,254.0,476.0,195.0,15.0,51.0
1625,0.0,1.0,3.0,9.0,6.0,2.0,4.0,7.0,18.0,55.0,67.0,15.0,13.0,106.0,41.0,34.0,5.0,45.0,171.0,12.0,14.0,30.0,24.0,97.0,10.0,69.0,52.0,157.0,33.0,22.0
1674,0.0,10.0,3.0,2.0,11.0,1.0,5.0,7.0,13.0,56.0,22.0,32.0,6.0,55.0,41.0,68.0,17.0,19.0,23.0,42.0,319.0,29.0,204.0,58.0,4.0,128.0,169.0,371.0,405.0,91.0
1723,4.0,2.0,1.0,0.0,13.0,3.0,6.0,8.0,9.0,96.0,5.0,22.0,49.0,33.0,109.0,18.0,16.0,72.0,50.0,24.0,172.0,28.0,25.0,37.0,41.0,53.0,143.0,47.0,35.0,65.0
1772,1.0,4.0,0.0,21.0,20.0,2.0,3.0,5.0,31.0,103.0,18.0,30.0,84.0,11.0,26.0,17.0,13.0,23.0,76.0,71.0,33.0,9.0,686.0,24.0,6.0,601.0,64.0,14.0,25.0,114.0
1821,0.0,2.0,1.0,13.0,6.0,5.0,17.0,45.0,130.0,50.0,12.0,3.0,19.0,10.0,18.0,164.0,9.0,32.0,80.0,21.0,256.0,54.0,93.0,22.0,8.0,81.0,104.0,1162.0,203.0,79.0
1870,1.0,0.0,5.0,2.0,10.0,3.0,4.0,15.0,11.0,69.0,16.0,8.0,22.0,33.0,96.0,146.0,36.0,258.0,48.0,6.0,227.0,12.0,148.0,58.0,17.0,75.0,13.0,866.0,56.0,101.0
1919,0.0,1.0,2.0,5.0,16.0,15.0,4.0,3.0,69.0,130.0,7.0,6.0,70.0,54.0,108.0,27.0,14.0,75.0,56.0,8.0,46.0,21.0,62.0,129.0,22.0,65.0,50.0,23.0,77.0,98.0
1968,0.0,6.0,24.0,1.0,2.0,3.0,9.0,103.0,8.0,10.0,11.0,7.0,28.0,75.0,53.0,93.0,43.0,13.0,16.0,236.0,40.0,119.0,68.0,161.0,19.0,25.0,87.0,121.0,50.0,143.0
2017,0.0,8.0,1.0,2.0,4.0,12.0,15.0,35.0,14.0,7.0,32.0,3.0,68.0,130.0,258.0,30.0,17.0,52.0,105.0,944.0,10.0,42.0,23.0,48.0,55.0,24.0,26.0,196.0,18.0,110.0
2066,1.0,2.0,0.0,5.0,10.0,3.0,8.0,67.0,4.0,107.0,15.0,12.0,525.0,27.0,100.0,44.0,18.0,19.0,109.0,478.0,81.0,118.0,9.0,231.0,43.0,73.0,224.0,92.0,29.0,13.0
2115,0.0,2.0,1.0,3.0,20.0,8.0,21.0,354.0,9.0,5.0,6.0,24.0,26.0,27.0,155.0,78.0,41.0,39.0,71.0,113.0,31.0,161.0,46.0,55.0,87.0,17.0,279.0,398.0,115.0,16.0
2164,2.0,3.0,0.0,1.0,8.0,4.0,13.0,44.0,6.0,18.0,5.0,12.0,301.0,22.0,41.0,10.0,67.0,117.0,61.0,716.0,21.0,54.0,11.0,108.0,30.0,88.0,38.0,20.0,111.0,14.0
2213,0.0,8.0,3.0,1.0,2.0,6.0,4.0,116.0,18.0,10.0,5.0,11.0,198.0,72.0,125.0,13.0,61.0,20.0,48.0,189.0,50.0,34.0,57.0,144.0,524.0,23.0,110.0,353.0,19.0,115.0
2262,1.0,2.0,3.0,0.0,12.0,4.0,11.0,228.0,6.0,21.0,13.0,8.0,884.0,45.0,227.0,26.0,59.0,16.0,85.0,500.0,32.0,24.0,108.0,249.0,116.0,42.0,30.0,68.0,10.0,19.0
2311,2.0,1.0,0.0,8.0,6.0,4.0,5.0,110.0,19.0,10.0,32.0,20.0,47.0,64.0,24.0,12.0,43.0,26.0,52.0,100.0,34.0,198.0,55.0,132.0,89.0,46.0,38.0,235.0,3.0,15.0
2360,1.0,7.0,3.0,2.0,0.0,4.0,9.0,228.0,22.0,11.0,5.0,10.0,66.0,47.0,21.0,19.0,86.0,63.0,45.0,393.0,16.0,136.0,14.0,118.0,222.0,70.0,15.0,1133.0,18.0,40.0
2409,0.0,2.0,3.0,1.0,4.0,67.0,7.0,39.0,75.0,35.0,21.0,8.0,575.0,40.0,154.0,37.0,1244.0,47.0,81.0,333.0,16.0,332.0,52.0,184.0,352.0,159.0,11.0,102.0,42.0,18.0
2458,9.0,4.0,10.0,2.0,3.0,6.0,25.0,11.0,0.0,18.0,5.0,7.0,66.0,12.0,729.0,104.0,253.0,16.0,19.0,188.0,92.0,29.0,51.0,82.0,43.0,17.0,30.0,31.0,35.0,154.0
2507,1.0,19.0,66.0,2.0,0.0,57.0,27.0,6.0,61.0,11.0,93.0,21.0,418.0,36.0,38.0,598.0,413.0,12.0,28.0,47.0,754.0,109.0,33.0,14.0,301.0,68.0,10.0,147.0,260.0,77.0
2556,16.0,0.0,38.0,5.0,8.0,3.0,79.0,11.0,6.0,7.0,4.0,13.0,74.0,31.0,1779.0,101.0,44.0,102.0,49.0,46.0,198.0,111.0,258.0,110.0,146.0,53.0,33.0,193.0,22.0,197.0
2605,12.0,1.0,2.0,0.0,14.0,6.0,51.0,32.0,13.0,11.0,15.0,88.0,1375.0,30.0,38.0,125.0,37.0,23.0,24.0,516.0,1340.0,22.0,153.0,169.0,61.0,16.0,57.0,20.0,160.0,158.0
2654,1.0,0.0,62.0,2.0,24.0,28.0,64.0,8.0,18.0,12.0,3.0,6.0,121.0,37.0,148.0,342.0,11.0,19.0,13.0,150.0,210.0,203.0,42.0,20.0,71.0,51.0,60.0,7.0,22.0,133.0
2703,0.0,20.0,57.0,1.0,4.0,9.0,10.0,2.0,6.0,35.0,52.0,11.0,21.0,226.0,927.0,129.0,26.0,13.0,63.0,55.0,24.0,17.0,114.0,27.0,84.0,69.0,216.0,110.0,14.0,240.0
2752,15.0,2.0,18.0,0.0,5.0,4.0,9.0,53.0,19.0,6.0,12.0,1.0,49.0,73.0,30.0,75.0,96.0,28.0,14.0,325.0,120.0,86.0,711.0,130.0,117.0,285.0,8.0,414.0,31.0,56.0
2801,3.0,1.0,5.0,10.0,2.0,7.0,28.0,15.0,16.0,63.0,0.0,17.0,20.0,74.0,245.0,186.0,134.0,30.0,21.0,60.0,499.0,72.0,174.0,11.0,36.0,157.0,22.0,268.0,136.0,29.0
2850,3.0,0.0,41.0,2.0,18.0,4.0,56.0,11.0,1.0,15.0,5.0,34.0,49.0,63.0,101.0,74.0,45.0,22.0,21.0,30.0,72.0,57.0,127.0,12.0,38.0,17.0,140.0,33.0,23.0,125.0
2899,1.0,3.0,4.0,5.0,11.0,7.0,36.0,27.0,0.0,208.0,10.0,62.0,51.0,243.0,1741.0,22.0,47.0,31.0,44.0,30.0,55.0,42.0,33.0,61.0,24.0,207.0,12.0,66.0,70.0,119.0
2948,12.0,0.0,37.0,3.0,1.0,11.0,21.0,8.0,10.0,119.0,19.0,30.0,84.0,2.0,503.0,95.0,16.0,212.0,68.0,23.0,109.0,86.0,5.0,85.0,17.0,376.0,32.0,13.0,164.0,14.0
2997,11.0,0.0,3.0,4.0,14.0,12.0,5.0,2.0,9.0,181.0,6.0,60.0,7.0,24.0,53.0,95.0,221.0,339.0,145.0,99.0,363.0,116.0,8.0,21.0,186.0,30.0,33.0,35.0,1017.0,36.0
3046,5.0,0.0,13.0,4.0,3.0,11.0,79.0,1.0,24.0,166.0,7.0,192.0,22.0,21.0,435.0,291.0,463.0,387.0,104.0,10.0,274.0,47.0,2.0,25.0,35.0,70.0,12.0,6.0,564.0,50.0
3095,14.0,0.0,122.0,3.0,5.0,7.0,6.0,1.0,12.0,73.0,2.0,32.0,55.0,16.0,358.0,43.0,92.0,158.0,183.0,30.0,54.0,62.0,4.0,33.0,17.0,18.0,26.0,8.0,150.0,50.0
3144,9.0,0.0,6.0,10.0,4.0,2.0,7.0,1.0,102.0,206.0,13.0,127.0,54.0,3.0,83.0,96.0,81.0,77.0,52.0,25.0,618.0,46.0,17.0,40.0,36.0,217.0,21.0,49.0,1043.0,58.0
3193,3.0,0.0,38.0,1.0,4.0,48.0,2.0,9.0,23.0,27.0,12.0,16.0,32.0,8.0,2086.0,114.0,390.0,85.0,40.0,61.0,107.0,81.0,6.0,36.0,93.0,43.0,11.0,15.0,402.0,54.0
3242,3.0,1.0,26.0,2.0,0.0,12.0,59.0,10.0,140.0,95.0,42.0,69.0,32.0,17.0,935.0,217.0,264.0,33.0,79.0,15.0,470.0,67.0,40.0,29.0,28.0,27.0,36.0,31.0,531.0,22.0
3291,2.0,0.0,107.0,7.0,3.0,12.0,16.0,4.0,34.0,132.0,5.0,93.0,36.0,21.0,71.0,164.0,31.0,113.0,104.0,26.0,61.0,106.0,11.0,96.0,68.0,9.0,6.0,17.0,327.0,82.0
3340,4.0,0.0,26.0,1.0,2.0,6.0,27.0,7.0,163.0,90.0,5.0,15.0,34.0,8.0,374.0,189.0,143.0,74.0,162.0,33.0,520.0,98.0,3.0,156.0,23.0,19.0,14.0,31.0,141.0,12.0
3389,7.0,0.0,22.0,1.0,2.0,24.0,41.0,6.0,20.0,87.0,4.0,50.0,14.0,9.0,197.0,141.0,116.0,100.0,93.0,25.0,4058.0,107.0,3.0,45.0,144.0,76.0,5.0,36.0,415.0,13.0
3438,0.0,1.0,3.0,2.0,5.0,20.0,4.0,23.0,9.0,34.0,7.0,74.0,216.0,169.0,37.0,38.0,30.0,22.0,117.0,50.0,10.0,17.0,28.0,68.0,21.0,29.0,25.0,158.0,24.0,77.0
3487,0.0,1.0,2.0,6.0,4.0,61.0,77.0,5.0,128.0,23.0,125.0,83.0,7.0,88.0,64.0,12.0,13.0,51.0,48.0,37.0,235.0,53.0,186.0,65.0,225.0,60.0,20.0,57.0,79.0,176.0
3536,2.0,1.0,0.0,3.0,4.0,85.0,14.0,79.0,17.0,13.0,7.0,15.0,9.0,106.0,5.0,8.0,261.0,25.0,12.0,34.0,265.0,65.0,92.0,45.0,6.0,114.0,60.0,673.0,78.0,160.0
3585,1.0,2.0,8.0,3.0,0.0,73.0,28.0,44.0,5.0,4.0,6.0,129.0,14.0,12.0,136.0,72.0,21.0,49.0,9.0,36.0,54.0,89.0,119.0,11.0,46.0,26.0,274.0,519.0,135.0,351.0
3634,5.0,0.0,3.0,2.0,39.0,8.0,6.0,28.0,4.0,46.0,56.0,19.0,82.0,16.0,29.0,7.0,64.0,57.0,22.0,233.0,11.0,15.0,66.0,181.0,23.0,424.0,94.0,14.0,41.0,589.0
3683,0.0,6.0,3.0,1.0,2.0,250.0,4.0,14.0,15.0,16.0,77.0,10.0,12.0,80.0,376.0,5.0,403.0,30.0,198.0,46.0,29.0,44.0,131.0,110.0,66.0,71.0,113.0,146.0,52.0,75.0
3732,0.0,2.0,3.0,1.0,7.0,44.0,10.0,19.0,4.0,14.0,9.0,29.0,198.0,20.0,45.0,12.0,70.0,39.0,31.0,48.0,57.0,24.0,27.0,64.0,22.0,37.0,208.0,28.0,122.0,77.0
3781,1.0,2.0,0.0,3.0,4.0,7.0,24.0,19.0,16.0,13.0,6.0,21.0,8.0,26.0,36.0,29.0,239.0,55.0,18.0,139.0,295.0,34.0,9.0,39.0,27.0,31.0,50.0,51.0,64.0,102.0
3830,0.0,1.0,2.0,3.0,4.0,7.0,6.0,28.0,24.0,13.0,8.0,9.0,10.0,37.0,36.0,17.0,45.0,40.0,16.0,147.0,60.0,21.0,159.0,48.0,239.0,14.0,23.0,117.0,114.0,91.0
3879,1.0,4.0,0.0,2.0,14.0,34.0,3.0,65.0,283.0,23.0,6.0,75.0,13.0,50.0,21.0,8.0,35.0,32.0,24.0,621.0,106.0,54.0,298.0,33.0,188.0,28.0,29.0,140.0,22.0,103.0
3928,1.0,0.0,3.0,10.0,5.0,2.0,15.0,21.0,4.0,9.0,11.0,51.0,42.0,27.0,138.0,62.0,68.0,63.0,23.0,76.0,13.0,24.0,70.0,171.0,110.0,105.0,364.0,194.0,145.0,294.0
3977,0.0,9.0,28.0,37.0,5.0,2.0,50.0,20.0,17.0,30.0,882.0,6.0,1.0,63.0,34.0,82.0,166.0,21.0,22.0,257.0,8.0,38.0,118.0,29.0,90.0,652.0,647.0,387.0,216.0,219.0
4026,1.0,0.0,12.0,8.0,15.0,3.0,13.0,40.0,2.0,6.0,86.0,32.0,7.0,22.0,11.0,20.0,29.0,14.0,55.0,82.0,16.0,47.0,71.0,93.0,23.0,181.0,271.0,270.0,17.0,36.0
4075,2.0,0.0,1.0,17.0,7.0,5.0,16.0,8.0,9.0,69.0,27.0,33.0,4.0,35.0,6.0,30.0,32.0,36.0,80.0,14.0,26.0,53.0,48.0,21.0,76.0,41.0,199.0,1136.0,198.0,79.0
4124,2.0,1.0,15.0,5.0,139.0,9.0,58.0,35.0,0.0,10.0,33.0,4.0,26.0,37.0,62.0,17.0,202.0,24.0,80.0,14.0,6.0,61.0,28.0,228.0,21.0,195.0,334.0,114.0,71.0,123.0
4173,0.0,1.0,2.0,5.0,167.0,12.0,14.0,24.0,4.0,19.0,34.0,8.0,9.0,43.0,32.0,60.0,187.0,48.0,47.0,45.0,29.0,31.0,23.0,53.0,51.0,89.0,1654.0,230.0,33.0,155.0
4222,1.0,0.0,2.0,6.0,17.0,4.0,9.0,13.0,7.0,20.0,69.0,5.0,3.0,14.0,35.0,58.0,236.0,29.0,21.0,63.0,39.0,32.0,34.0,36.0,54.0,239.0,838.0,442.0,74.0,47.0
4271,1.0,0.0,2.0,4.0,79.0,28.0,49.0,41.0,14.0,11.0,133.0,32.0,10.0,12.0,35.0,192.0,25.0,19.0,31.0,9.0,8.0,299.0,248.0,68.0,24.0,43.0,347.0,122.0,161.0,136.0
4320,2.0,0.0,1.0,4.0,10.0,6.0,53.0,12.0,3.0,118.0,103.0,11.0,5.0,30.0,17.0,159.0,29.0,25.0,72.0,7.0,18.0,19.0,97.0,22.0,31.0,165.0,268.0,381.0,375.0,27.0
4369,1.0,0.0,8.0,5.0,17.0,10.0,52.0,76.0,3.0,12.0,36.0,43.0,7.0,58.0,44.0,54.0,71.0,20.0,23.0,18.0,79.0,97.0,551.0,65.0,25.0,51.0,511.0,252.0,101.0,31.0
4418,0.0,3.0,2.0,1.0,70.0,72.0,99.0,4.0,50.0,37.0,23.0,10.0,67.0,36.0,41.0,21.0,28.0,34.0,5.0,14.0,8.0,103.0,45.0,96.0,39.0,104.0,360.0,32.0,305.0,243.0
4467,1.0,4.0,36.0,2.0,18.0,8.0,51.0,24.0,50.0,0.0,11.0,7.0,9.0,15.0,14.0,133.0,67.0,10.0,5.0,42.0,39.0,183.0,175.0,33.0,75.0,12.0,221.0,32.0,61.0,277.0
4516,1.0,0.0,2.0,3.0,14.0,23.0,58.0,4.0,72.0,5.0,28.0,10.0,19.0,11.0,356.0,425.0,501.0,57.0,6.0,68.0,53.0,152.0,39.0,25.0,9.0,12.0,720.0,37.0,83.0,123.0
4565,3.0,1.0,0.0,5.0,2.0,35.0,14.0,83.0,54.0,11.0,29.0,27.0,4.0,28.0,25.0,42.0,57.0,144.0,8.0,218.0,118.0,120.0,15.0,31.0,64.0,37.0,449.0,140.0,213.0,20.0
4614,1.0,0.0,2.0,5.0,4.0,108.0,18.0,42.0,25.0,3.0,119.0,9.0,11.0,391.0,8.0,103.0,88.0,51.0,54.0,79.0,37.0,140.0,369.0,21.0,52.0,77.0,171.0,175.0,189.0,62.0
4663,1.0,2.0,0.0,3.0,85.0,120.0,26.0,19.0,1091.0,10.0,13.0,18.0,14.0,100.0,21.0,297.0,15.0,91.0,29.0,49.0,12.0,168.0,164.0,8.0,6.0,261.0,492.0,7.0,93.0,55.0
4712,1.0,0.0,6.0,25.0,8.0,18.0,11.0,12.0,9.0,2.0,5.0,16.0,51.0,36.0,152.0,255.0,31.0,77.0,82.0,35.0,70.0,115.0,55.0,10.0,69.0,40.0,935.0,117.0,105.0,59.0
4761,1.0,3.0,0.0,6.0,7.0,17.0,28.0,39.0,91.0,2.0,19.0,16.0,69.0,43.0,4.0,89.0,10.0,13.0,9.0,105.0,638.0,85.0,46.0,31.0,104.0,37.0,235.0,25.0,243.0,57.0
4810,0.0,3.0,2.0,10.0,24.0,72.0,15.0,1.0,16.0,12.0,69.0,4.0,5.0,110.0,191.0,168.0,6.0,13.0,31.0,62.0,34.0,85.0,41.0,23.0,292.0,33.0,963.0,17.0,224.0,139.0
4859,1.0,0.0,5.0,2.0,12.0,206.0,139.0,7.0,35.0,6.0,32.0,4.0,13.0,79.0,26.0,34.0,153.0,52.0,25.0,19.0,40.0,106.0,85.0,63.0,118.0,23.0,453.0,18.0,123.0,73.0
