,1-methylnicotinamide,C16:0 LPE,pantothenate,2-deoxycytidine,5-HIAA,alpha-glycerophosphate,C22:6 CE,niacinamide,adenosine,N-carbamoyl-beta-alanine,sarcosine,carnitine,serine,creatinine,glutamine,3-phosphoglycerate,inosine,UMP,phosphocreatine,valerylcarnitine,C20:4 CE,oxalate,NADP,urate,DHAP/glyceraldehyde 3P,uracil,butyrylcarnitine/isobutyrylcarnitine,C34:2 DAG,taurodeoxycholate,C36:1 DAG
3016,2.0,9.0,29.0,4.0,12.0,3.0,0.0,19.0,5.0,10.0,21.0,7.0,13.0,6.0,14.0,16.0,31.0,27.0,24.0,17.0,36.0,11.0,30.0,1.0,51.0,55.0,38.0,32.0,25.0,37.0
3065,8.0,3.0,1.0,0.0,7.0,25.0,11.0,12.0,10.0,63.0,18.0,2.0,58.0,17.0,19.0,45.0,32.0,28.0,65.0,39.0,9.0,29.0,31.0,53.0,30.0,27.0,37.0,36.0,56.0,35.0
3114,13.0,7.0,4.0,20.0,1.0,11.0,12.0,2.0,64.0,6.0,43.0,24.0,17.0,5.0,56.0,10.0,14.0,0.0,21.0,31.0,42.0,9.0,27.0,8.0,3.0,51.0,19.0,40.0,22.0,41.0
3163,0.0,7.0,4.0,8.0,1.0,23.0,25.0,60.0,64.0,12.0,38.0,15.0,55.0,19.0,56.0,43.0,6.0,24.0,21.0,13.0,29.0,5.0,27.0,2.0,32.0,53.0,14.0,42.0,9.0,30.0
3212,0.0,4.0,5.0,11.0,14.0,9.0,8.0,17.0,27.0,2.0,12.0,42.0,3.0,24.0,58.0,44.0,51.0,28.0,55.0,13.0,40.0,6.0,52.0,26.0,31.0,53.0,32.0,19.0,54.0,30.0
3261,8.0,0.0,7.0,9.0,13.0,26.0,21.0,6.0,60.0,18.0,36.0,12.0,23.0,14.0,50.0,2.0,62.0,1.0,3.0,10.0,11.0,34.0,33.0,5.0,29.0,57.0,16.0,44.0,30.0,19.0
3310,1.0,3.0,4.0,8.0,5.0,9.0,0.0,16.0,11.0,62.0,2.0,15.0,65.0,18.0,12.0,20.0,28.0,6.0,27.0,42.0,41.0,7.0,29.0,21.0,49.0,52.0,34.0,23.0,10.0,22.0
3359,1.0,45.0,10.0,8.0,0.0,32.0,2.0,5.0,63.0,57.0,15.0,9.0,14.0,11.0,50.0,13.0,4.0,7.0,48.0,41.0,20.0,47.0,24.0,6.0,27.0,62.0,42.0,18.0,29.0,19.0
3408,1.0,6.0,10.0,2.0,0.0,3.0,4.0,14.0,17.0,13.0,36.0,8.0,24.0,56.0,18.0,11.0,30.0,34.0,5.0,49.0,22.0,35.0,33.0,9.0,48.0,32.0,19.0,20.0,29.0,21.0
3457,1.0,2.0,4.0,3.0,58.0,0.0,34.0,8.0,7.0,62.0,13.0,11.0,17.0,44.0,15.0,21.0,28.0,25.0,52.0,38.0,9.0,27.0,5.0,23.0,33.0,24.0,39.0,6.0,51.0,41.0
3506,3.0,0.0,1.0,11.0,58.0,13.0,12.0,64.0,40.0,63.0,27.0,8.0,7.0,53.0,21.0,9.0,2.0,5.0,54.0,17.0,28.0,50.0,49.0,51.0,10.0,4.0,33.0,26.0,23.0,29.0
3555,0.0,5.0,4.0,7.0,8.0,1.0,21.0,19.0,16.0,2.0,11.0,46.0,38.0,59.0,25.0,9.0,33.0,60.0,29.0,32.0,20.0,63.0,47.0,3.0,10.0,30.0,45.0,15.0,6.0,18.0
3604,0.0,6.0,1.0,9.0,61.0,2.0,16.0,10.0,40.0,64.0,4.0,8.0,3.0,53.0,58.0,11.0,14.0,50.0,20.0,31.0,38.0,49.0,48.0,5.0,23.0,51.0,39.0,12.0,54.0,37.0
3653,11.0,3.0,2.0,15.0,6.0,1.0,14.0,10.0,54.0,16.0,18.0,17.0,56.0,12.0,5.0,20.0,49.0,24.0,52.0,35.0,27.0,50.0,29.0,22.0,26.0,4.0,33.0,0.0,28.0,32.0
3702,2.0,6.0,7.0,1.0,9.0,0.0,5.0,58.0,23.0,14.0,19.0,17.0,4.0,3.0,16.0,15.0,33.0,31.0,27.0,18.0,47.0,34.0,35.0,60.0,41.0,30.0,51.0,20.0,61.0,21.0
3751,6.0,5.0,2.0,3.0,59.0,11.0,10.0,16.0,53.0,62.0,38.0,8.0,17.0,21.0,56.0,0.0,7.0,23.0,12.0,36.0,31.0,4.0,49.0,1.0,9.0,22.0,15.0,29.0,52.0,25.0
3800,4.0,0.0,1.0,9.0,3.0,21.0,2.0,18.0,45.0,5.0,38.0,34.0,6.0,15.0,14.0,19.0,7.0,53.0,20.0,35.0,11.0,24.0,52.0,29.0,26.0,8.0,43.0,25.0,55.0,22.0
3849,8.0,0.0,1.0,9.0,57.0,2.0,44.0,15.0,7.0,59.0,14.0,31.0,11.0,12.0,53.0,6.0,63.0,65.0,20.0,19.0,3.0,26.0,25.0,28.0,27.0,29.0,32.0,4.0,48.0,42.0
3898,3.0,10.0,6.0,9.0,11.0,0.0,20.0,18.0,12.0,19.0,43.0,8.0,1.0,7.0,51.0,23.0,26.0,5.0,31.0,45.0,17.0,60.0,61.0,25.0,30.0,4.0,37.0,14.0,57.0,16.0
3947,0.0,21.0,7.0,8.0,52.0,35.0,1.0,13.0,6.0,12.0,19.0,65.0,48.0,15.0,25.0,9.0,27.0,30.0,57.0,18.0,43.0,3.0,28.0,2.0,34.0,31.0,17.0,41.0,58.0,23.0
3996,0.0,14.0,4.0,7.0,27.0,45.0,13.0,17.0,15.0,5.0,20.0,47.0,56.0,60.0,50.0,19.0,1.0,2.0,31.0,26.0,25.0,8.0,6.0,30.0,10.0,33.0,37.0,42.0,62.0,12.0
4045,3.0,1.0,10.0,20.0,22.0,2.0,0.0,18.0,4.0,62.0,17.0,19.0,11.0,5.0,13.0,45.0,30.0,8.0,24.0,39.0,35.0,54.0,9.0,27.0,50.0,7.0,6.0,44.0,25.0,32.0
4094,0.0,2.0,27.0,10.0,1.0,45.0,3.0,20.0,54.0,62.0,21.0,19.0,7.0,44.0,57.0,43.0,51.0,29.0,23.0,34.0,40.0,12.0,11.0,8.0,48.0,53.0,35.0,38.0,65.0,6.0
4143,6.0,1.0,28.0,15.0,0.0,29.0,3.0,62.0,7.0,19.0,47.0,43.0,24.0,17.0,23.0,2.0,18.0,30.0,31.0,37.0,36.0,27.0,10.0,52.0,49.0,51.0,35.0,44.0,32.0,34.0
4192,1.0,6.0,12.0,30.0,10.0,25.0,0.0,17.0,4.0,16.0,43.0,34.0,59.0,20.0,60.0,15.0,24.0,9.0,55.0,13.0,41.0,2.0,29.0,31.0,7.0,53.0,14.0,39.0,32.0,26.0
4241,2.0,10.0,4.0,1.0,6.0,45.0,0.0,14.0,61.0,17.0,8.0,47.0,20.0,19.0,12.0,18.0,7.0,31.0,26.0,33.0,44.0,5.0,28.0,30.0,37.0,57.0,39.0,22.0,52.0,13.0
4290,2.0,8.0,5.0,0.0,52.0,6.0,1.0,15.0,3.0,57.0,19.0,17.0,4.0,61.0,49.0,16.0,27.0,62.0,26.0,32.0,43.0,11.0,10.0,9.0,29.0,65.0,18.0,41.0,51.0,21.0
4339,4.0,2.0,3.0,5.0,0.0,12.0,1.0,18.0,14.0,19.0,11.0,31.0,9.0,16.0,6.0,23.0,64.0,58.0,49.0,10.0,44.0,62.0,7.0,57.0,35.0,27.0,22.0,30.0,52.0,21.0
4388,1.0,9.0,3.0,0.0,26.0,30.0,8.0,11.0,12.0,14.0,20.0,18.0,7.0,16.0,29.0,66.0,5.0,35.0,36.0,19.0,25.0,2.0,4.0,37.0,48.0,55.0,65.0,23.0,57.0,24.0
4437,1.0,8.0,0.0,20.0,18.0,2.0,21.0,12.0,15.0,62.0,7.0,34.0,57.0,14.0,16.0,44.0,6.0,26.0,19.0,17.0,24.0,51.0,5.0,22.0,30.0,25.0,42.0,31.0,53.0,32.0
4486,0.0,4.0,3.0,6.0,14.0,2.0,22.0,17.0,1.0,62.0,5.0,15.0,11.0,19.0,13.0,20.0,25.0,23.0,12.0,35.0,26.0,24.0,51.0,52.0,27.0,21.0,33.0,7.0,53.0,32.0
4535,1.0,5.0,26.0,29.0,11.0,3.0,30.0,19.0,0.0,6.0,2.0,40.0,7.0,43.0,4.0,10.0,52.0,24.0,21.0,34.0,14.0,27.0,53.0,23.0,47.0,54.0,13.0,36.0,9.0,41.0
4584,12.0,1.0,3.0,17.0,4.0,10.0,9.0,11.0,24.0,13.0,0.0,2.0,22.0,18.0,20.0,43.0,50.0,34.0,56.0,15.0,26.0,51.0,5.0,53.0,28.0,52.0,19.0,7.0,65.0,38.0
4633,0.0,4.0,5.0,22.0,17.0,12.0,11.0,23.0,8.0,63.0,1.0,16.0,15.0,2.0,20.0,41.0,13.0,51.0,55.0,19.0,10.0,50.0,28.0,53.0,47.0,52.0,18.0,38.0,24.0,39.0
4682,13.0,3.0,7.0,14.0,2.0,1.0,12.0,21.0,4.0,58.0,10.0,15.0,9.0,16.0,8.0,22.0,28.0,0.0,26.0,18.0,11.0,30.0,29.0,61.0,33.0,5.0,37.0,42.0,53.0,43.0
4731,0.0,5.0,33.0,14.0,19.0,3.0,23.0,15.0,18.0,62.0,2.0,16.0,11.0,17.0,1.0,10.0,30.0,7.0,20.0,13.0,24.0,32.0,36.0,52.0,27.0,35.0,8.0,40.0,54.0,25.0
4780,1.0,3.0,30.0,25.0,60.0,10.0,27.0,12.0,26.0,64.0,0.0,14.0,13.0,20.0,57.0,43.0,8.0,6.0,24.0,17.0,28.0,7.0,31.0,4.0,47.0,5.0,16.0,35.0,53.0,34.0
4829,3.0,1.0,29.0,11.0,5.0,0.0,20.0,54.0,14.0,7.0,8.0,4.0,2.0,65.0,13.0,15.0,28.0,30.0,33.0,21.0,19.0,64.0,10.0,53.0,25.0,52.0,9.0,18.0,32.0,44.0
4878,1.0,0.0,2.0,7.0,5.0,4.0,23.0,13.0,15.0,12.0,8.0,47.0,3.0,14.0,24.0,16.0,39.0,9.0,32.0,25.0,6.0,48.0,27.0,62.0,31.0,28.0,37.0,22.0,57.0,43.0
