,PKC-alpha,Shc_pY317,Gab2,c-Jun_pS73,TFRC,AMPK_alpha,FRA1,GSK3_pS9,Bax,G6PD,NDRG1_pT346,XBP1,4E-BP1_pS65,Smac,ADAR1,Cyclin_E1,p70S6K_pT389,Cyclin_B1,Rictor_pT1135,RAD51,ASNS,MSH6,p90RSK_pT359_S363,Fibronectin,IGFBP2,JNK2,4E-BP1,YB-1_pS102,N-Cadherin,Lck
2014,15.0,93.0,25.0,6.0,4.0,71.0,16.0,67.0,41.0,8.0,81.0,66.0,45.0,28.0,128.0,9.0,108.0,77.0,111.0,37.0,39.0,40.0,5.0,134.0,36.0,56.0,84.0,10.0,83.0,19.0
2063,93.0,69.0,30.0,4.0,65.0,31.0,2.0,50.0,54.0,136.0,32.0,27.0,80.0,16.0,24.0,70.0,56.0,36.0,155.0,77.0,5.0,118.0,13.0,33.0,3.0,82.0,125.0,41.0,148.0,17.0
2112,14.0,0.0,35.0,7.0,93.0,41.0,43.0,28.0,32.0,26.0,4.0,15.0,2.0,40.0,45.0,87.0,38.0,29.0,107.0,12.0,22.0,72.0,115.0,39.0,76.0,158.0,121.0,85.0,31.0,65.0
2161,16.0,3.0,27.0,23.0,129.0,52.0,40.0,22.0,39.0,21.0,4.0,5.0,122.0,125.0,92.0,55.0,28.0,88.0,26.0,18.0,56.0,36.0,148.0,142.0,101.0,108.0,99.0,59.0,6.0,93.0
2210,10.0,5.0,33.0,25.0,12.0,27.0,47.0,14.0,35.0,17.0,56.0,15.0,55.0,43.0,114.0,3.0,64.0,46.0,7.0,21.0,2.0,40.0,84.0,13.0,9.0,151.0,107.0,164.0,78.0,26.0
2259,3.0,0.0,20.0,25.0,29.0,37.0,32.0,141.0,78.0,142.0,2.0,72.0,27.0,126.0,22.0,5.0,13.0,42.0,60.0,18.0,28.0,61.0,99.0,119.0,98.0,54.0,65.0,79.0,144.0,17.0
2308,13.0,0.0,17.0,14.0,58.0,46.0,70.0,10.0,25.0,9.0,35.0,22.0,21.0,122.0,34.0,27.0,48.0,135.0,83.0,12.0,147.0,32.0,79.0,2.0,93.0,77.0,116.0,61.0,65.0,45.0
2357,4.0,1.0,9.0,14.0,118.0,24.0,7.0,5.0,12.0,147.0,19.0,44.0,60.0,54.0,109.0,8.0,48.0,67.0,10.0,40.0,17.0,26.0,34.0,43.0,84.0,94.0,97.0,18.0,13.0,31.0
2406,8.0,3.0,33.0,30.0,11.0,44.0,34.0,93.0,31.0,13.0,111.0,22.0,65.0,121.0,38.0,87.0,37.0,67.0,7.0,32.0,127.0,72.0,59.0,2.0,15.0,142.0,112.0,47.0,12.0,1.0
2455,22.0,1.0,23.0,48.0,39.0,50.0,45.0,37.0,47.0,0.0,17.0,26.0,29.0,54.0,137.0,63.0,41.0,11.0,78.0,20.0,73.0,116.0,98.0,42.0,152.0,19.0,66.0,46.0,2.0,33.0
2504,15.0,3.0,19.0,26.0,51.0,21.0,10.0,7.0,28.0,123.0,5.0,22.0,45.0,90.0,50.0,53.0,67.0,16.0,47.0,27.0,23.0,94.0,35.0,116.0,38.0,29.0,133.0,24.0,62.0,6.0
