,SLFN11,KHDC1,RPSAP53,AP000783.1,XIST,TSPYL5,SLC38A5,MX2,RP11-177C12.1,HNRNPUL1,HIC1,AC093627.9,SMAP1,RUVBL2,EIF3D,KRT17P3,LEPREL2,RP11-649A18.7,CARD11,BCL11A,ZNF215,EEF1A1,RPSAP47,CDCA7L,SLFN12,SPTBN2,PM20D2,ARHGAP4,MAGEC2,SSRP1
1431,0.0,1.0,5.0,3.0,966.0,213.0,18.0,2.0,34.0,39.0,27.0,11.0,107.0,82.0,52.0,29.0,21.0,527.0,25.0,30.0,10.0,9.0,493.0,14.0,74.0,13.0,6.0,186.0,60.0,24.0
1480,0.0,1.0,5.0,7.0,446.0,53.0,13.0,2.0,42.0,77.0,8.0,3.0,31.0,162.0,129.0,50.0,58.0,97.0,33.0,22.0,28.0,65.0,99.0,15.0,24.0,54.0,85.0,61.0,55.0,105.0
1529,0.0,5.0,6.0,4.0,323.0,128.0,17.0,2.0,30.0,15.0,19.0,1.0,197.0,10.0,27.0,50.0,55.0,300.0,130.0,33.0,108.0,14.0,188.0,8.0,23.0,13.0,44.0,63.0,92.0,240.0
1578,0.0,1.0,4.0,19.0,8.0,28.0,62.0,5.0,24.0,26.0,43.0,3.0,20.0,31.0,12.0,18.0,34.0,35.0,83.0,10.0,54.0,9.0,21.0,27.0,73.0,77.0,114.0,74.0,7.0,113.0
1627,0.0,2.0,4.0,22.0,17.0,13.0,91.0,20.0,24.0,11.0,29.0,3.0,18.0,41.0,12.0,116.0,37.0,27.0,354.0,35.0,161.0,45.0,40.0,5.0,19.0,33.0,93.0,6.0,25.0,104.0
1676,0.0,1.0,15.0,23.0,31.0,279.0,12.0,91.0,78.0,11.0,24.0,195.0,39.0,7.0,55.0,141.0,67.0,95.0,654.0,76.0,8.0,36.0,616.0,2.0,49.0,115.0,42.0,118.0,376.0,32.0
1725,0.0,1.0,3.0,4.0,29.0,155.0,24.0,21.0,8.0,75.0,17.0,2.0,94.0,22.0,15.0,18.0,47.0,10.0,124.0,65.0,38.0,25.0,45.0,19.0,14.0,23.0,58.0,9.0,6.0,74.0
1774,0.0,2.0,9.0,1.0,70.0,111.0,8.0,41.0,6.0,39.0,28.0,3.0,33.0,38.0,12.0,11.0,7.0,60.0,970.0,14.0,53.0,52.0,85.0,16.0,46.0,158.0,223.0,4.0,45.0,153.0
1823,0.0,1.0,5.0,9.0,8.0,98.0,6.0,32.0,23.0,19.0,50.0,3.0,70.0,11.0,7.0,12.0,28.0,52.0,647.0,21.0,131.0,43.0,86.0,17.0,63.0,4.0,222.0,54.0,46.0,55.0
1872,0.0,2.0,5.0,4.0,188.0,70.0,79.0,10.0,8.0,17.0,341.0,1.0,103.0,30.0,71.0,14.0,23.0,21.0,75.0,42.0,161.0,57.0,81.0,6.0,18.0,7.0,367.0,27.0,16.0,69.0
1921,0.0,1.0,2.0,17.0,4.0,154.0,104.0,22.0,35.0,12.0,18.0,3.0,73.0,16.0,13.0,9.0,28.0,62.0,77.0,46.0,285.0,51.0,101.0,5.0,15.0,145.0,464.0,96.0,30.0,109.0
1970,0.0,1.0,3.0,2.0,20.0,24.0,4.0,5.0,10.0,18.0,8.0,6.0,26.0,30.0,21.0,17.0,12.0,11.0,171.0,31.0,195.0,19.0,43.0,35.0,70.0,15.0,166.0,29.0,96.0,279.0
2019,0.0,1.0,4.0,9.0,8.0,5.0,2.0,37.0,12.0,18.0,48.0,64.0,10.0,17.0,38.0,13.0,39.0,24.0,80.0,99.0,28.0,53.0,159.0,168.0,392.0,49.0,81.0,26.0,210.0,91.0
2068,0.0,2.0,15.0,5.0,3.0,1.0,10.0,4.0,6.0,13.0,7.0,17.0,24.0,33.0,35.0,14.0,40.0,82.0,22.0,27.0,32.0,29.0,209.0,47.0,208.0,8.0,25.0,36.0,134.0,195.0
2117,0.0,1.0,3.0,5.0,2.0,4.0,35.0,11.0,8.0,19.0,9.0,58.0,21.0,17.0,30.0,16.0,6.0,13.0,78.0,43.0,14.0,37.0,18.0,48.0,87.0,22.0,66.0,284.0,212.0,210.0
2166,0.0,1.0,8.0,18.0,2.0,5.0,3.0,9.0,6.0,20.0,39.0,14.0,21.0,35.0,22.0,34.0,19.0,24.0,11.0,27.0,17.0,58.0,4.0,72.0,13.0,218.0,41.0,45.0,159.0,200.0
2215,0.0,1.0,11.0,8.0,2.0,3.0,29.0,21.0,9.0,7.0,4.0,63.0,5.0,13.0,20.0,51.0,302.0,10.0,156.0,83.0,106.0,73.0,23.0,190.0,64.0,177.0,152.0,66.0,353.0,133.0
2264,0.0,3.0,7.0,1.0,6.0,4.0,14.0,2.0,11.0,13.0,5.0,15.0,60.0,20.0,24.0,55.0,10.0,16.0,840.0,133.0,123.0,61.0,39.0,240.0,172.0,26.0,53.0,91.0,163.0,106.0
2313,0.0,1.0,6.0,2.0,3.0,7.0,12.0,5.0,18.0,4.0,8.0,29.0,10.0,27.0,104.0,107.0,9.0,14.0,229.0,137.0,17.0,43.0,20.0,53.0,165.0,88.0,54.0,22.0,25.0,51.0
2362,0.0,2.0,3.0,4.0,21.0,6.0,1.0,5.0,11.0,39.0,141.0,9.0,8.0,81.0,131.0,12.0,28.0,24.0,16.0,80.0,42.0,61.0,25.0,183.0,230.0,13.0,176.0,45.0,242.0,162.0
2411,0.0,2.0,3.0,6.0,12.0,1.0,29.0,17.0,4.0,7.0,10.0,15.0,68.0,54.0,71.0,24.0,74.0,5.0,27.0,101.0,158.0,51.0,14.0,276.0,11.0,85.0,72.0,105.0,408.0,39.0
2460,0.0,2.0,1.0,4.0,7.0,100.0,138.0,3.0,12.0,34.0,14.0,21.0,20.0,30.0,22.0,90.0,8.0,86.0,19.0,37.0,5.0,18.0,43.0,36.0,134.0,95.0,93.0,101.0,9.0,66.0
2509,0.0,2.0,1.0,5.0,9.0,39.0,12.0,18.0,34.0,24.0,38.0,21.0,7.0,4.0,8.0,15.0,290.0,16.0,22.0,124.0,3.0,64.0,25.0,60.0,53.0,47.0,49.0,28.0,6.0,92.0
2558,0.0,2.0,1.0,3.0,36.0,10.0,14.0,5.0,8.0,18.0,13.0,4.0,6.0,54.0,16.0,15.0,96.0,39.0,11.0,71.0,27.0,22.0,9.0,162.0,51.0,92.0,34.0,29.0,79.0,137.0
2607,0.0,10.0,2.0,1.0,32.0,230.0,67.0,3.0,6.0,48.0,85.0,24.0,5.0,100.0,14.0,11.0,35.0,29.0,8.0,74.0,13.0,46.0,4.0,186.0,7.0,23.0,164.0,326.0,9.0,39.0
2656,0.0,2.0,1.0,4.0,3.0,83.0,23.0,15.0,5.0,8.0,12.0,35.0,31.0,17.0,16.0,11.0,7.0,9.0,28.0,79.0,6.0,50.0,40.0,73.0,107.0,52.0,67.0,42.0,53.0,18.0
2705,0.0,1.0,4.0,13.0,30.0,637.0,3.0,21.0,14.0,82.0,33.0,2.0,26.0,43.0,11.0,28.0,47.0,25.0,7.0,67.0,5.0,41.0,8.0,24.0,9.0,152.0,50.0,46.0,10.0,144.0
2754,0.0,1.0,2.0,7.0,15.0,11.0,83.0,17.0,6.0,18.0,4.0,178.0,40.0,14.0,16.0,33.0,1174.0,98.0,3.0,76.0,9.0,58.0,184.0,32.0,5.0,196.0,39.0,54.0,94.0,113.0
2803,0.0,7.0,1.0,2.0,64.0,8.0,105.0,3.0,15.0,6.0,13.0,4.0,42.0,23.0,9.0,56.0,49.0,24.0,46.0,89.0,31.0,81.0,21.0,102.0,20.0,48.0,170.0,76.0,12.0,54.0
2852,0.0,9.0,2.0,5.0,16.0,323.0,1.0,3.0,14.0,8.0,87.0,165.0,17.0,39.0,20.0,33.0,111.0,31.0,112.0,391.0,4.0,12.0,58.0,180.0,56.0,54.0,22.0,10.0,7.0,50.0
2901,0.0,4.0,2.0,3.0,9.0,35.0,67.0,6.0,11.0,12.0,42.0,34.0,48.0,18.0,7.0,16.0,25.0,47.0,14.0,68.0,5.0,36.0,1.0,45.0,13.0,99.0,26.0,15.0,10.0,58.0
2950,0.0,2.0,6.0,8.0,1.0,4.0,451.0,7.0,26.0,63.0,5.0,10.0,30.0,14.0,19.0,142.0,3.0,53.0,21.0,38.0,100.0,23.0,24.0,17.0,28.0,27.0,37.0,96.0,40.0,112.0
2999,0.0,3.0,17.0,7.0,2.0,1.0,43.0,13.0,12.0,14.0,22.0,4.0,9.0,8.0,28.0,52.0,5.0,29.0,357.0,37.0,506.0,59.0,10.0,64.0,39.0,31.0,45.0,38.0,6.0,187.0
3048,0.0,3.0,14.0,6.0,2.0,1.0,59.0,26.0,9.0,10.0,18.0,12.0,5.0,13.0,29.0,64.0,4.0,11.0,49.0,32.0,264.0,51.0,19.0,86.0,37.0,35.0,71.0,50.0,92.0,81.0
3097,0.0,3.0,25.0,15.0,4.0,1.0,561.0,7.0,8.0,13.0,64.0,20.0,16.0,18.0,66.0,125.0,12.0,9.0,99.0,65.0,1477.0,38.0,50.0,67.0,23.0,5.0,69.0,89.0,43.0,97.0
3146,0.0,2.0,45.0,8.0,3.0,1.0,81.0,35.0,16.0,15.0,7.0,5.0,6.0,25.0,10.0,60.0,4.0,34.0,164.0,14.0,307.0,43.0,29.0,31.0,71.0,33.0,74.0,13.0,70.0,276.0
3195,0.0,1.0,2.0,6.0,3.0,8.0,76.0,5.0,33.0,55.0,4.0,10.0,21.0,16.0,12.0,188.0,9.0,41.0,106.0,90.0,187.0,14.0,7.0,27.0,29.0,19.0,46.0,30.0,23.0,246.0
3244,0.0,6.0,5.0,10.0,2.0,3.0,113.0,11.0,51.0,1.0,17.0,46.0,12.0,7.0,38.0,413.0,19.0,25.0,939.0,77.0,191.0,42.0,9.0,36.0,84.0,26.0,209.0,32.0,14.0,197.0
3293,0.0,3.0,2.0,10.0,4.0,1.0,209.0,6.0,13.0,15.0,5.0,7.0,11.0,40.0,92.0,162.0,18.0,64.0,66.0,53.0,102.0,62.0,23.0,113.0,95.0,14.0,60.0,12.0,43.0,142.0
3342,0.0,4.0,1.0,2.0,3.0,20.0,484.0,281.0,8.0,14.0,6.0,19.0,15.0,7.0,13.0,1090.0,47.0,69.0,29.0,21.0,44.0,74.0,11.0,716.0,253.0,143.0,161.0,32.0,114.0,67.0
3391,0.0,1.0,28.0,10.0,2.0,8.0,3.0,7.0,18.0,80.0,13.0,129.0,4.0,108.0,42.0,126.0,27.0,154.0,88.0,92.0,12.0,19.0,30.0,24.0,16.0,326.0,34.0,135.0,70.0,393.0
3440,0.0,1.0,6.0,29.0,8.0,42.0,63.0,12.0,26.0,38.0,311.0,138.0,17.0,67.0,82.0,16.0,21.0,31.0,14.0,53.0,28.0,13.0,49.0,36.0,174.0,3.0,103.0,244.0,7.0,25.0
3489,0.0,1.0,2.0,3.0,171.0,66.0,18.0,11.0,43.0,12.0,20.0,47.0,118.0,13.0,65.0,7.0,36.0,67.0,71.0,222.0,6.0,9.0,50.0,31.0,179.0,58.0,185.0,251.0,23.0,21.0
3538,0.0,1.0,7.0,283.0,11.0,33.0,138.0,3.0,80.0,16.0,50.0,57.0,78.0,85.0,89.0,210.0,4.0,59.0,10.0,112.0,42.0,2.0,65.0,25.0,81.0,34.0,22.0,246.0,9.0,17.0
3587,0.0,1.0,3.0,10.0,2.0,8.0,116.0,104.0,23.0,11.0,47.0,108.0,52.0,16.0,174.0,154.0,7.0,28.0,38.0,166.0,14.0,36.0,25.0,27.0,63.0,4.0,61.0,343.0,15.0,30.0
3636,0.0,1.0,3.0,31.0,13.0,255.0,222.0,18.0,21.0,15.0,37.0,219.0,32.0,26.0,167.0,74.0,117.0,47.0,19.0,28.0,4.0,41.0,9.0,50.0,108.0,90.0,106.0,7974.0,438.0,8.0
3685,0.0,1.0,42.0,11.0,9.0,2.0,27.0,7.0,15.0,30.0,48.0,37.0,17.0,63.0,51.0,22.0,3.0,28.0,40.0,73.0,4.0,8.0,116.0,14.0,156.0,36.0,20.0,194.0,13.0,41.0
3734,0.0,2.0,7.0,50.0,1.0,17.0,12.0,5.0,9.0,18.0,40.0,34.0,31.0,21.0,220.0,43.0,3.0,126.0,14.0,37.0,8.0,33.0,4.0,25.0,27.0,68.0,46.0,430.0,35.0,63.0
3783,0.0,1.0,6.0,40.0,10.0,16.0,5.0,75.0,42.0,11.0,150.0,347.0,94.0,81.0,70.0,28.0,33.0,80.0,71.0,112.0,4.0,12.0,54.0,72.0,151.0,7.0,14.0,212.0,24.0,3.0
3832,0.0,1.0,5.0,46.0,4.0,71.0,13.0,452.0,76.0,28.0,175.0,77.0,184.0,17.0,41.0,19.0,11.0,36.0,547.0,21.0,125.0,12.0,18.0,15.0,176.0,112.0,101.0,31.0,64.0,25.0
3881,0.0,1.0,3.0,79.0,308.0,2.0,8.0,500.0,59.0,69.0,165.0,21.0,9.0,13.0,41.0,20.0,121.0,95.0,32.0,31.0,16.0,5.0,26.0,43.0,481.0,10.0,11.0,107.0,49.0,55.0
3930,0.0,1.0,22.0,5.0,2.0,3.0,7.0,97.0,12.0,31.0,21.0,76.0,99.0,20.0,14.0,23.0,329.0,15.0,72.0,19.0,161.0,119.0,104.0,49.0,53.0,143.0,108.0,304.0,720.0,8.0
3979,0.0,2.0,45.0,11.0,1.0,7.0,25.0,3.0,28.0,10.0,4.0,89.0,42.0,6.0,8.0,211.0,94.0,16.0,47.0,19.0,447.0,368.0,215.0,32.0,70.0,102.0,67.0,148.0,290.0,29.0
4028,0.0,1.0,5.0,42.0,40.0,12.0,114.0,11.0,46.0,17.0,29.0,115.0,239.0,8.0,3.0,69.0,64.0,30.0,452.0,14.0,135.0,86.0,62.0,38.0,182.0,25.0,83.0,705.0,832.0,10.0
4077,0.0,1.0,10.0,5.0,3.0,25.0,31.0,44.0,9.0,18.0,180.0,203.0,213.0,19.0,38.0,49.0,314.0,6.0,202.0,26.0,188.0,285.0,78.0,64.0,149.0,68.0,274.0,187.0,103.0,34.0
4126,0.0,1.0,4.0,5.0,2.0,26.0,15.0,17.0,41.0,7.0,23.0,118.0,108.0,3.0,19.0,30.0,204.0,22.0,302.0,36.0,100.0,242.0,28.0,104.0,761.0,10.0,101.0,267.0,39.0,6.0
4175,0.0,1.0,3.0,4.0,13.0,37.0,12.0,39.0,8.0,23.0,14.0,80.0,137.0,6.0,7.0,18.0,678.0,54.0,35.0,28.0,15.0,89.0,48.0,90.0,79.0,116.0,31.0,155.0,57.0,38.0
4224,0.0,1.0,5.0,16.0,3.0,258.0,10.0,73.0,39.0,15.0,237.0,31.0,69.0,37.0,6.0,46.0,431.0,72.0,452.0,13.0,294.0,106.0,11.0,27.0,89.0,352.0,220.0,62.0,576.0,43.0
4273,0.0,1.0,3.0,20.0,2.0,36.0,6.0,28.0,10.0,39.0,13.0,21.0,179.0,5.0,4.0,87.0,57.0,14.0,72.0,60.0,25.0,183.0,7.0,44.0,34.0,136.0,740.0,666.0,321.0,53.0
4322,0.0,2.0,6.0,26.0,1.0,7.0,38.0,31.0,28.0,3.0,13.0,179.0,153.0,8.0,4.0,33.0,699.0,11.0,351.0,21.0,159.0,202.0,54.0,41.0,85.0,343.0,200.0,81.0,92.0,20.0
4371,0.0,2.0,60.0,3.0,4.0,203.0,13.0,43.0,21.0,8.0,16.0,1196.0,111.0,10.0,53.0,34.0,1555.0,14.0,17672.0,51.0,127.0,147.0,495.0,20.0,108.0,491.0,25.0,235.0,1018.0,28.0
4420,0.0,2.0,4.0,606.0,39.0,10.0,3.0,29.0,61.0,20.0,124.0,64.0,7.0,105.0,14.0,131.0,19.0,13.0,27.0,77.0,6.0,26.0,5.0,51.0,12.0,91.0,48.0,47.0,23.0,84.0
4469,0.0,4.0,1.0,112.0,5.0,57.0,163.0,44.0,98.0,3.0,2.0,563.0,8.0,10.0,19.0,9589.0,66.0,33.0,36.0,29.0,6.0,130.0,7.0,114.0,153.0,1039.0,80.0,13.0,97.0,46.0
4518,0.0,1.0,6.0,125.0,2.0,8.0,3.0,57.0,25.0,11.0,4.0,59.0,12.0,61.0,24.0,211.0,7.0,19.0,53.0,23.0,37.0,14.0,13.0,31.0,106.0,174.0,82.0,18.0,457.0,81.0
4567,0.0,1.0,9.0,244.0,2.0,10.0,6.0,4.0,46.0,23.0,8.0,133.0,3.0,76.0,38.0,184.0,13.0,91.0,29.0,20.0,5.0,14.0,17.0,21.0,56.0,506.0,22.0,19.0,11.0,73.0
4616,0.0,3.0,1.0,353.0,4.0,6.0,13.0,28.0,70.0,7.0,5.0,133.0,24.0,20.0,21.0,293.0,18.0,22.0,8.0,54.0,9.0,11.0,2.0,101.0,116.0,269.0,41.0,32.0,44.0,49.0
4665,0.0,3.0,4.0,71.0,5.0,1.0,12.0,18.0,79.0,9.0,13.0,62.0,16.0,23.0,19.0,195.0,6.0,24.0,81.0,26.0,10.0,31.0,2.0,28.0,35.0,162.0,48.0,11.0,22.0,45.0
4714,0.0,1.0,2.0,112.0,60.0,213.0,9.0,3.0,132.0,19.0,26.0,14.0,17.0,54.0,22.0,476.0,6.0,47.0,23.0,35.0,18.0,29.0,5.0,34.0,33.0,312.0,45.0,43.0,4.0,49.0
4763,0.0,2.0,1.0,113.0,6.0,12.0,10.0,7.0,65.0,8.0,3.0,20.0,17.0,48.0,14.0,139.0,24.0,34.0,131.0,28.0,5.0,23.0,4.0,16.0,179.0,126.0,46.0,13.0,27.0,22.0
4812,0.0,1.0,4.0,139.0,13.0,25.0,10.0,5.0,58.0,18.0,6.0,68.0,12.0,44.0,130.0,270.0,15.0,416.0,14.0,7.0,3.0,22.0,2.0,19.0,62.0,149.0,11.0,141.0,96.0,42.0
4861,0.0,5.0,2.0,585.0,39.0,111.0,1.0,115.0,242.0,6.0,31.0,139.0,64.0,26.0,20.0,157.0,156.0,15.0,925.0,94.0,10.0,9.0,3.0,58.0,78.0,285.0,40.0,14.0,51.0,29.0
