,CMTM7,ETV4,S100A4,TRPV2,HOXB7,SPRY2,SPRY4,SH3TC2,ABO,TOR4A,HMGA2,SNX18P16,ETV5,MYEOV,EVPL,TMEM101,EMP1,SPRY1,SLC17A9,SLC16A3,C15ORF31,TMC6,RP11-49K24.4,NPAS2,RP11-114H23.1,NRROS,STRA6,TMTC2,KHDRBS3,ITGA6
1675,1.0,2.0,0.0,9.0,3.0,5.0,21.0,36.0,15.0,31.0,6.0,4.0,25.0,7.0,24.0,88.0,22.0,14.0,132.0,35.0,19.0,64.0,20.0,57.0,48.0,32.0,16.0,61.0,309.0,49.0
1724,3.0,4.0,0.0,1.0,5.0,2.0,14.0,28.0,12.0,23.0,46.0,7.0,33.0,6.0,89.0,72.0,29.0,18.0,192.0,11.0,50.0,271.0,43.0,51.0,124.0,24.0,30.0,93.0,240.0,133.0
1773,4.0,2.0,0.0,41.0,6.0,1.0,5.0,8.0,10.0,23.0,48.0,38.0,14.0,9.0,18.0,37.0,75.0,7.0,50.0,36.0,26.0,77.0,21.0,42.0,32.0,33.0,52.0,17.0,104.0,25.0
1822,2.0,1.0,3.0,10.0,12.0,4.0,5.0,7.0,8.0,6.0,9.0,18.0,14.0,29.0,36.0,37.0,80.0,11.0,73.0,16.0,23.0,45.0,83.0,31.0,78.0,65.0,62.0,44.0,89.0,13.0
1871,12.0,0.0,3.0,6.0,9.0,1.0,11.0,10.0,21.0,31.0,4.0,39.0,19.0,7.0,66.0,30.0,17.0,5.0,131.0,28.0,44.0,119.0,46.0,60.0,22.0,27.0,118.0,127.0,138.0,69.0
1920,3.0,0.0,4.0,18.0,11.0,2.0,9.0,14.0,13.0,10.0,7.0,8.0,22.0,45.0,36.0,38.0,20.0,5.0,98.0,19.0,29.0,75.0,24.0,33.0,66.0,35.0,55.0,102.0,53.0,56.0
1969,0.0,1.0,14.0,2.0,9.0,29.0,18.0,12.0,10.0,11.0,5.0,17.0,19.0,16.0,28.0,3.0,55.0,49.0,34.0,63.0,23.0,50.0,54.0,93.0,151.0,223.0,126.0,38.0,31.0,32.0
2018,0.0,2.0,5.0,1.0,3.0,13.0,14.0,17.0,7.0,75.0,15.0,52.0,21.0,29.0,43.0,4.0,42.0,81.0,28.0,83.0,35.0,69.0,34.0,73.0,183.0,114.0,119.0,79.0,6.0,39.0
2067,0.0,1.0,19.0,2.0,5.0,31.0,10.0,8.0,3.0,98.0,18.0,108.0,14.0,89.0,37.0,6.0,11.0,51.0,79.0,77.0,80.0,99.0,76.0,138.0,118.0,187.0,210.0,121.0,7.0,12.0
2116,0.0,1.0,2.0,3.0,5.0,11.0,21.0,13.0,4.0,45.0,15.0,58.0,24.0,28.0,23.0,16.0,8.0,42.0,50.0,62.0,56.0,79.0,55.0,49.0,254.0,115.0,46.0,68.0,19.0,26.0
2165,1.0,2.0,3.0,0.0,4.0,14.0,7.0,15.0,5.0,45.0,10.0,27.0,11.0,73.0,67.0,9.0,23.0,37.0,92.0,52.0,40.0,43.0,42.0,49.0,341.0,60.0,36.0,66.0,8.0,35.0
2214,0.0,2.0,5.0,1.0,9.0,78.0,18.0,26.0,6.0,279.0,128.0,8.0,25.0,3.0,31.0,16.0,137.0,1907.0,19.0,238.0,52.0,54.0,48.0,62.0,113.0,71.0,75.0,59.0,20.0,11.0
2263,0.0,1.0,8.0,5.0,4.0,6.0,9.0,13.0,7.0,23.0,2.0,36.0,12.0,48.0,178.0,3.0,119.0,39.0,29.0,163.0,70.0,21.0,59.0,17.0,320.0,158.0,91.0,57.0,24.0,10.0
2312,0.0,1.0,2.0,4.0,3.0,11.0,13.0,8.0,5.0,224.0,10.0,360.0,14.0,20.0,26.0,6.0,42.0,56.0,21.0,780.0,232.0,46.0,47.0,16.0,121.0,36.0,82.0,24.0,39.0,7.0
2361,0.0,1.0,6.0,3.0,9.0,20.0,11.0,14.0,17.0,72.0,16.0,28.0,10.0,12.0,39.0,5.0,38.0,31.0,33.0,181.0,24.0,47.0,36.0,61.0,429.0,40.0,78.0,254.0,13.0,21.0
2410,0.0,1.0,25.0,2.0,3.0,12.0,21.0,8.0,4.0,50.0,15.0,13.0,11.0,29.0,56.0,5.0,17.0,35.0,418.0,620.0,7.0,43.0,34.0,30.0,153.0,52.0,46.0,36.0,24.0,14.0
2459,0.0,2.0,1.0,5.0,34.0,4.0,7.0,8.0,26.0,3.0,10.0,18.0,24.0,112.0,32.0,19.0,52.0,35.0,6.0,17.0,307.0,125.0,33.0,16.0,11.0,44.0,22.0,66.0,57.0,9.0
2508,3.0,2.0,0.0,6.0,1.0,7.0,5.0,19.0,13.0,8.0,10.0,12.0,30.0,32.0,17.0,14.0,40.0,26.0,48.0,11.0,191.0,29.0,20.0,18.0,81.0,34.0,79.0,24.0,213.0,52.0
2557,3.0,2.0,0.0,1.0,13.0,6.0,8.0,34.0,10.0,4.0,16.0,9.0,27.0,19.0,40.0,11.0,30.0,103.0,7.0,5.0,113.0,59.0,18.0,24.0,82.0,109.0,38.0,54.0,36.0,43.0
2606,0.0,1.0,2.0,3.0,6.0,4.0,8.0,26.0,20.0,11.0,5.0,21.0,33.0,337.0,85.0,151.0,7.0,74.0,49.0,42.0,12.0,23.0,238.0,69.0,52.0,133.0,60.0,32.0,18.0,59.0
2655,5.0,2.0,0.0,10.0,1.0,3.0,9.0,14.0,30.0,4.0,7.0,20.0,33.0,36.0,35.0,28.0,23.0,12.0,75.0,19.0,198.0,55.0,41.0,6.0,39.0,48.0,31.0,43.0,93.0,17.0
2704,1.0,3.0,0.0,8.0,9.0,4.0,5.0,12.0,35.0,19.0,11.0,2.0,13.0,31.0,212.0,36.0,21.0,6.0,54.0,33.0,395.0,25.0,38.0,23.0,10.0,88.0,16.0,28.0,174.0,30.0
2753,0.0,1.0,2.0,3.0,8.0,4.0,7.0,156.0,9.0,12.0,11.0,6.0,14.0,16.0,98.0,99.0,39.0,174.0,48.0,37.0,58.0,35.0,55.0,19.0,79.0,194.0,69.0,101.0,23.0,33.0
2802,4.0,5.0,1.0,3.0,0.0,52.0,36.0,15.0,9.0,2.0,89.0,6.0,28.0,56.0,21.0,11.0,44.0,75.0,97.0,7.0,426.0,27.0,25.0,146.0,72.0,176.0,26.0,35.0,30.0,10.0
2851,1.0,2.0,0.0,12.0,46.0,3.0,6.0,8.0,16.0,4.0,17.0,60.0,21.0,76.0,29.0,7.0,183.0,13.0,9.0,18.0,22.0,5.0,24.0,36.0,32.0,288.0,19.0,34.0,31.0,39.0
2900,6.0,0.0,1.0,4.0,3.0,5.0,10.0,62.0,16.0,2.0,9.0,7.0,14.0,119.0,22.0,12.0,31.0,8.0,35.0,27.0,55.0,46.0,25.0,26.0,77.0,51.0,13.0,142.0,56.0,73.0
2949,0.0,1.0,5.0,29.0,48.0,4.0,7.0,11.0,3.0,14.0,2.0,17.0,16.0,443.0,65.0,10.0,86.0,19.0,13.0,35.0,63.0,18.0,39.0,9.0,44.0,154.0,21.0,42.0,78.0,28.0
2998,0.0,1.0,2.0,14.0,7.0,15.0,6.0,19.0,9.0,5.0,21.0,68.0,13.0,31.0,23.0,24.0,32.0,30.0,38.0,53.0,8.0,4.0,202.0,25.0,65.0,96.0,111.0,49.0,16.0,20.0
3047,0.0,1.0,2.0,12.0,34.0,14.0,13.0,25.0,6.0,5.0,17.0,10.0,24.0,39.0,110.0,31.0,26.0,126.0,51.0,11.0,7.0,8.0,79.0,18.0,218.0,538.0,37.0,35.0,65.0,50.0
3096,0.0,1.0,2.0,8.0,6.0,18.0,15.0,21.0,4.0,3.0,10.0,11.0,16.0,35.0,76.0,44.0,29.0,62.0,82.0,9.0,7.0,12.0,59.0,17.0,127.0,85.0,33.0,22.0,26.0,52.0
3145,0.0,2.0,1.0,11.0,62.0,42.0,10.0,12.0,3.0,19.0,8.0,46.0,6.0,13.0,5.0,117.0,48.0,273.0,18.0,34.0,26.0,4.0,361.0,49.0,25.0,51.0,9.0,21.0,22.0,45.0
3194,0.0,1.0,2.0,12.0,6.0,8.0,4.0,13.0,14.0,10.0,5.0,22.0,9.0,32.0,7.0,16.0,29.0,23.0,39.0,50.0,24.0,17.0,217.0,19.0,59.0,81.0,48.0,36.0,33.0,34.0
3243,0.0,1.0,4.0,16.0,116.0,15.0,3.0,5.0,2.0,10.0,6.0,61.0,9.0,231.0,52.0,24.0,17.0,20.0,40.0,11.0,8.0,18.0,484.0,57.0,35.0,98.0,70.0,69.0,22.0,32.0
3292,0.0,1.0,3.0,5.0,9.0,21.0,20.0,18.0,4.0,7.0,2.0,10.0,14.0,81.0,43.0,23.0,38.0,71.0,22.0,15.0,19.0,13.0,61.0,25.0,72.0,74.0,29.0,68.0,30.0,69.0
3341,1.0,0.0,2.0,18.0,16.0,8.0,6.0,10.0,5.0,3.0,21.0,19.0,13.0,102.0,37.0,22.0,51.0,20.0,27.0,17.0,12.0,7.0,69.0,14.0,43.0,86.0,38.0,30.0,58.0,105.0
3390,0.0,3.0,2.0,13.0,15.0,30.0,18.0,21.0,1.0,5.0,9.0,6.0,7.0,159.0,24.0,17.0,39.0,80.0,31.0,28.0,4.0,14.0,85.0,49.0,20.0,145.0,27.0,36.0,44.0,59.0
3439,4.0,2.0,8.0,1.0,5.0,0.0,6.0,9.0,15.0,22.0,7.0,36.0,13.0,31.0,35.0,18.0,10.0,3.0,70.0,40.0,32.0,166.0,91.0,181.0,72.0,23.0,48.0,29.0,16.0,37.0
3488,1.0,2.0,8.0,3.0,6.0,0.0,4.0,5.0,69.0,16.0,42.0,24.0,17.0,23.0,13.0,7.0,20.0,11.0,30.0,83.0,80.0,135.0,54.0,93.0,56.0,34.0,115.0,35.0,33.0,53.0
3537,4.0,1.0,9.0,0.0,5.0,3.0,6.0,15.0,21.0,19.0,7.0,114.0,10.0,221.0,25.0,18.0,8.0,2.0,89.0,145.0,29.0,48.0,90.0,118.0,170.0,24.0,154.0,35.0,16.0,30.0
3586,2.0,0.0,13.0,4.0,9.0,1.0,6.0,12.0,38.0,23.0,5.0,541.0,10.0,81.0,14.0,11.0,8.0,3.0,17.0,115.0,107.0,75.0,121.0,22.0,18.0,24.0,91.0,33.0,25.0,35.0
3635,0.0,1.0,9.0,3.0,7.0,2.0,4.0,12.0,26.0,24.0,11.0,68.0,17.0,170.0,41.0,22.0,6.0,5.0,109.0,75.0,32.0,38.0,182.0,113.0,125.0,123.0,821.0,20.0,10.0,90.0
3684,0.0,1.0,10.0,5.0,4.0,2.0,7.0,9.0,33.0,13.0,6.0,44.0,16.0,276.0,23.0,14.0,8.0,3.0,89.0,53.0,22.0,58.0,32.0,51.0,66.0,40.0,80.0,24.0,11.0,76.0
3733,0.0,2.0,9.0,1.0,4.0,3.0,6.0,14.0,27.0,21.0,8.0,32.0,10.0,50.0,37.0,15.0,17.0,5.0,40.0,107.0,41.0,92.0,52.0,447.0,39.0,20.0,28.0,54.0,19.0,46.0
3782,3.0,0.0,11.0,4.0,17.0,5.0,6.0,13.0,26.0,7.0,1.0,67.0,10.0,199.0,25.0,8.0,12.0,2.0,107.0,23.0,21.0,39.0,37.0,20.0,38.0,78.0,62.0,29.0,50.0,14.0
3831,3.0,0.0,7.0,5.0,23.0,1.0,12.0,8.0,16.0,15.0,20.0,118.0,17.0,226.0,43.0,6.0,28.0,2.0,24.0,56.0,9.0,50.0,62.0,124.0,171.0,52.0,95.0,27.0,38.0,46.0
3880,1.0,0.0,7.0,2.0,3.0,4.0,5.0,6.0,32.0,66.0,8.0,122.0,12.0,63.0,13.0,31.0,9.0,10.0,49.0,25.0,548.0,64.0,210.0,80.0,14.0,18.0,45.0,34.0,11.0,30.0
3929,0.0,4.0,5.0,3.0,1.0,2.0,8.0,17.0,43.0,36.0,50.0,119.0,47.0,16.0,52.0,126.0,123.0,21.0,37.0,153.0,302.0,25.0,23.0,11.0,13.0,59.0,92.0,27.0,71.0,15.0
3978,2.0,1.0,4.0,0.0,6.0,3.0,11.0,19.0,8.0,5.0,51.0,33.0,27.0,30.0,122.0,9.0,187.0,21.0,15.0,327.0,24.0,34.0,26.0,80.0,121.0,17.0,42.0,70.0,72.0,224.0
4027,0.0,3.0,1.0,2.0,7.0,9.0,16.0,48.0,10.0,22.0,49.0,4.0,45.0,6.0,15.0,33.0,53.0,24.0,113.0,26.0,27.0,35.0,30.0,40.0,100.0,18.0,32.0,41.0,176.0,19.0
4076,0.0,3.0,4.0,2.0,15.0,7.0,37.0,11.0,22.0,1.0,100.0,5.0,29.0,44.0,19.0,12.0,325.0,50.0,20.0,6.0,35.0,14.0,16.0,58.0,42.0,69.0,27.0,51.0,376.0,34.0
4125,3.0,0.0,6.0,1.0,2.0,8.0,13.0,16.0,48.0,4.0,24.0,10.0,31.0,5.0,38.0,30.0,43.0,34.0,205.0,15.0,25.0,23.0,20.0,9.0,287.0,28.0,142.0,45.0,155.0,22.0
4174,0.0,2.0,3.0,1.0,14.0,15.0,12.0,19.0,7.0,17.0,61.0,6.0,33.0,16.0,48.0,40.0,65.0,57.0,55.0,102.0,38.0,52.0,21.0,4.0,39.0,18.0,105.0,53.0,148.0,34.0
4223,1.0,4.0,2.0,0.0,3.0,5.0,29.0,15.0,19.0,9.0,97.0,6.0,65.0,10.0,42.0,77.0,75.0,48.0,24.0,45.0,70.0,27.0,17.0,21.0,44.0,11.0,37.0,104.0,61.0,78.0
4272,1.0,2.0,4.0,3.0,12.0,8.0,23.0,16.0,32.0,9.0,53.0,10.0,26.0,0.0,5.0,327.0,27.0,38.0,20.0,83.0,62.0,29.0,44.0,6.0,13.0,22.0,18.0,21.0,774.0,39.0
4321,1.0,3.0,5.0,0.0,2.0,4.0,18.0,41.0,13.0,10.0,48.0,7.0,66.0,50.0,25.0,35.0,249.0,20.0,33.0,64.0,14.0,28.0,15.0,6.0,23.0,19.0,38.0,54.0,133.0,59.0
4370,1.0,2.0,11.0,0.0,3.0,13.0,22.0,58.0,20.0,52.0,33.0,4.0,79.0,6.0,45.0,124.0,110.0,84.0,348.0,186.0,29.0,15.0,32.0,12.0,73.0,39.0,103.0,100.0,184.0,151.0
4419,1.0,2.0,0.0,4.0,7.0,3.0,12.0,5.0,19.0,11.0,91.0,6.0,36.0,18.0,32.0,24.0,16.0,38.0,17.0,10.0,13.0,31.0,20.0,33.0,54.0,131.0,46.0,28.0,62.0,423.0
4468,0.0,3.0,1.0,18.0,13.0,2.0,6.0,9.0,17.0,64.0,16.0,10.0,26.0,5.0,21.0,58.0,14.0,20.0,4.0,51.0,24.0,29.0,25.0,23.0,15.0,69.0,104.0,73.0,27.0,369.0
4517,1.0,2.0,0.0,9.0,51.0,4.0,10.0,3.0,8.0,43.0,19.0,7.0,20.0,12.0,26.0,41.0,15.0,30.0,6.0,61.0,16.0,22.0,42.0,5.0,13.0,29.0,111.0,49.0,71.0,245.0
4566,0.0,2.0,1.0,11.0,85.0,3.0,7.0,4.0,5.0,8.0,14.0,23.0,47.0,19.0,38.0,28.0,21.0,9.0,10.0,25.0,12.0,6.0,29.0,36.0,13.0,131.0,469.0,39.0,27.0,62.0
4615,2.0,1.0,0.0,9.0,5.0,4.0,13.0,7.0,18.0,11.0,12.0,6.0,22.0,3.0,16.0,46.0,8.0,19.0,27.0,26.0,17.0,25.0,33.0,66.0,41.0,30.0,167.0,86.0,58.0,634.0
4664,2.0,1.0,0.0,4.0,8.0,3.0,9.0,17.0,14.0,7.0,13.0,5.0,34.0,27.0,69.0,46.0,22.0,6.0,25.0,29.0,36.0,33.0,23.0,10.0,11.0,63.0,31.0,24.0,179.0,1079.0
4713,2.0,3.0,1.0,4.0,0.0,6.0,12.0,14.0,5.0,21.0,19.0,7.0,67.0,8.0,103.0,42.0,28.0,32.0,86.0,24.0,10.0,13.0,15.0,37.0,106.0,249.0,1070.0,17.0,47.0,269.0
4762,1.0,2.0,0.0,10.0,3.0,4.0,7.0,5.0,13.0,22.0,23.0,27.0,53.0,6.0,20.0,37.0,21.0,15.0,11.0,17.0,8.0,44.0,16.0,29.0,18.0,153.0,75.0,57.0,54.0,365.0
4811,1.0,2.0,0.0,10.0,9.0,3.0,12.0,15.0,4.0,49.0,24.0,30.0,44.0,31.0,5.0,63.0,8.0,16.0,23.0,18.0,59.0,35.0,40.0,14.0,22.0,55.0,67.0,17.0,89.0,143.0
4860,1.0,0.0,2.0,8.0,19.0,3.0,6.0,14.0,4.0,39.0,5.0,10.0,30.0,25.0,47.0,11.0,22.0,13.0,32.0,49.0,23.0,29.0,18.0,17.0,60.0,65.0,50.0,52.0,48.0,248.0
