,GABA,alpha-hydroxybutyrate,phosphocreatine,serine,alpha-glycerophosphate,C16:0 LPE,alpha-glycerophosphocholine,UMP,C22:6 LPE,niacinamide,C18:0 LPC,palmitoylcarnitine,pyroglutamic acid,isocitrate,valerylcarnitine,hypoxanthine,pantothenate,C36:4 PC-B,adenosine,urate,creatinine,C18:0 LPE,asparagine,serotonin,NADP,SDMA/ADMA,malondialdehyde,C34:4 PC,inositol,C56:5 TAG
2522,0.0,5.0,2.0,1.0,8.0,6.0,13.0,3.0,4.0,12.0,11.0,9.0,17.0,21.0,18.0,10.0,15.0,24.0,7.0,22.0,26.0,32.0,14.0,39.0,19.0,27.0,31.0,25.0,20.0,29.0
2571,0.0,3.0,1.0,2.0,4.0,11.0,15.0,6.0,8.0,7.0,9.0,5.0,12.0,13.0,10.0,23.0,17.0,21.0,16.0,37.0,26.0,30.0,14.0,31.0,28.0,22.0,38.0,25.0,19.0,27.0
2620,1.0,3.0,2.0,0.0,20.0,6.0,5.0,4.0,15.0,12.0,11.0,10.0,17.0,9.0,23.0,18.0,8.0,14.0,7.0,25.0,28.0,39.0,21.0,27.0,16.0,31.0,37.0,13.0,29.0,34.0
2669,0.0,3.0,1.0,2.0,16.0,8.0,9.0,6.0,5.0,7.0,10.0,4.0,18.0,17.0,11.0,20.0,21.0,13.0,15.0,28.0,22.0,24.0,12.0,25.0,14.0,31.0,32.0,19.0,26.0,29.0
2718,0.0,4.0,3.0,2.0,11.0,7.0,15.0,1.0,5.0,10.0,13.0,8.0,16.0,17.0,6.0,22.0,9.0,23.0,12.0,34.0,26.0,27.0,19.0,29.0,14.0,21.0,45.0,20.0,18.0,35.0
2767,0.0,9.0,1.0,2.0,13.0,7.0,12.0,11.0,8.0,16.0,6.0,5.0,10.0,24.0,4.0,20.0,19.0,17.0,3.0,37.0,41.0,33.0,15.0,30.0,25.0,28.0,40.0,14.0,31.0,18.0
2816,0.0,3.0,2.0,1.0,4.0,11.0,12.0,7.0,9.0,6.0,10.0,5.0,15.0,22.0,8.0,18.0,13.0,17.0,20.0,39.0,26.0,37.0,31.0,30.0,16.0,25.0,34.0,29.0,21.0,36.0
2865,0.0,2.0,1.0,3.0,11.0,9.0,14.0,4.0,5.0,6.0,18.0,7.0,13.0,10.0,17.0,19.0,12.0,24.0,8.0,23.0,20.0,32.0,15.0,41.0,16.0,25.0,35.0,28.0,26.0,30.0
2914,0.0,1.0,2.0,8.0,4.0,10.0,16.0,5.0,9.0,3.0,13.0,6.0,11.0,26.0,14.0,15.0,20.0,21.0,12.0,37.0,30.0,28.0,17.0,34.0,7.0,27.0,32.0,23.0,18.0,35.0
2963,0.0,1.0,6.0,4.0,3.0,8.0,12.0,2.0,11.0,7.0,5.0,9.0,16.0,13.0,10.0,19.0,26.0,30.0,21.0,20.0,18.0,27.0,15.0,14.0,22.0,24.0,17.0,42.0,49.0,25.0
