,4E-BP1_pS65,CD49b,RSK1-2-3,Bcl-2,MEK1_pS217_S221,p21,XBP1,Caveolin-1,4E-BP1_pT70,Cyclin_D1,RAD51,YB-1_pS102,FRA1,S6_pS235_S236,MIG-6,c-Kit,CD31,ACVRL1,STAT5-alpha,Bap1 c-4,Notch1,Src_pY416,Cyclin_B1,GSK3_pS9,PDCD4,Bim(EP1036),Transglutaminase,4E-BP1_pT37_T46,PRDX1,beta-Catenin
2647,1.0,2.0,4.0,10.0,0.0,6.0,5.0,3.0,18.0,27.0,30.0,40.0,11.0,39.0,8.0,7.0,62.0,17.0,13.0,29.0,28.0,34.0,93.0,20.0,49.0,9.0,24.0,26.0,19.0,66.0
2696,3.0,2.0,4.0,12.0,1.0,35.0,8.0,0.0,9.0,10.0,25.0,13.0,5.0,15.0,6.0,11.0,26.0,31.0,45.0,39.0,28.0,41.0,34.0,7.0,42.0,24.0,22.0,48.0,17.0,78.0
2745,1.0,5.0,4.0,25.0,0.0,12.0,7.0,6.0,18.0,31.0,11.0,23.0,8.0,21.0,3.0,2.0,9.0,22.0,19.0,35.0,69.0,43.0,32.0,17.0,14.0,29.0,36.0,37.0,15.0,88.0
2794,4.0,0.0,2.0,24.0,3.0,25.0,1.0,7.0,16.0,15.0,42.0,27.0,30.0,17.0,19.0,26.0,65.0,8.0,18.0,35.0,90.0,9.0,28.0,10.0,41.0,14.0,45.0,61.0,77.0,69.0
2843,0.0,11.0,6.0,31.0,2.0,8.0,1.0,13.0,14.0,29.0,4.0,32.0,5.0,25.0,10.0,18.0,24.0,28.0,54.0,48.0,39.0,7.0,51.0,3.0,35.0,15.0,45.0,70.0,41.0,73.0
2892,1.0,0.0,7.0,11.0,2.0,24.0,4.0,18.0,3.0,32.0,12.0,29.0,39.0,33.0,45.0,46.0,31.0,6.0,5.0,13.0,42.0,40.0,17.0,9.0,51.0,21.0,35.0,82.0,60.0,47.0
2941,1.0,6.0,0.0,7.0,22.0,2.0,12.0,4.0,20.0,5.0,29.0,3.0,14.0,43.0,16.0,34.0,9.0,28.0,23.0,49.0,80.0,26.0,59.0,37.0,25.0,30.0,48.0,11.0,41.0,17.0
2990,3.0,0.0,1.0,10.0,43.0,7.0,4.0,5.0,2.0,6.0,15.0,11.0,14.0,20.0,18.0,9.0,16.0,53.0,8.0,22.0,60.0,31.0,24.0,13.0,32.0,21.0,26.0,39.0,35.0,38.0
3039,0.0,3.0,4.0,7.0,21.0,5.0,33.0,40.0,1.0,6.0,11.0,13.0,15.0,14.0,10.0,20.0,8.0,37.0,24.0,32.0,64.0,25.0,19.0,27.0,29.0,35.0,38.0,46.0,9.0,26.0
3088,1.0,2.0,0.0,15.0,9.0,16.0,6.0,7.0,3.0,8.0,4.0,13.0,11.0,17.0,26.0,21.0,5.0,29.0,23.0,34.0,67.0,76.0,14.0,24.0,35.0,10.0,54.0,50.0,48.0,12.0
3137,1.0,12.0,0.0,6.0,9.0,10.0,5.0,2.0,3.0,7.0,13.0,18.0,15.0,29.0,8.0,4.0,30.0,16.0,31.0,21.0,73.0,14.0,17.0,20.0,24.0,28.0,52.0,56.0,57.0,34.0
3186,1.0,3.0,0.0,6.0,17.0,13.0,5.0,9.0,2.0,4.0,7.0,14.0,19.0,26.0,8.0,35.0,12.0,11.0,22.0,34.0,37.0,39.0,25.0,58.0,18.0,49.0,44.0,28.0,29.0,47.0
3235,1.0,2.0,0.0,9.0,22.0,13.0,19.0,17.0,5.0,4.0,8.0,3.0,20.0,12.0,16.0,36.0,6.0,21.0,7.0,25.0,45.0,59.0,32.0,15.0,39.0,10.0,35.0,37.0,48.0,18.0
3284,1.0,3.0,4.0,7.0,23.0,0.0,11.0,8.0,2.0,25.0,39.0,13.0,10.0,6.0,18.0,9.0,5.0,26.0,21.0,20.0,103.0,73.0,12.0,32.0,89.0,14.0,52.0,57.0,47.0,34.0
3333,0.0,5.0,1.0,12.0,28.0,7.0,4.0,36.0,3.0,14.0,26.0,2.0,13.0,30.0,31.0,11.0,21.0,15.0,25.0,20.0,52.0,27.0,40.0,19.0,75.0,43.0,61.0,54.0,9.0,18.0
3382,1.0,5.0,0.0,25.0,33.0,17.0,3.0,11.0,2.0,12.0,4.0,31.0,10.0,13.0,41.0,82.0,9.0,36.0,7.0,15.0,95.0,18.0,34.0,49.0,24.0,43.0,19.0,70.0,77.0,16.0
3431,0.0,9.0,1.0,11.0,8.0,3.0,5.0,2.0,35.0,69.0,19.0,21.0,24.0,68.0,27.0,4.0,38.0,12.0,15.0,6.0,28.0,13.0,60.0,10.0,48.0,46.0,22.0,31.0,32.0,30.0
3480,0.0,11.0,4.0,5.0,1.0,6.0,29.0,2.0,13.0,18.0,9.0,10.0,12.0,27.0,3.0,14.0,22.0,48.0,20.0,8.0,77.0,17.0,31.0,34.0,19.0,16.0,23.0,73.0,46.0,36.0
3529,0.0,16.0,1.0,20.0,3.0,2.0,48.0,4.0,19.0,72.0,13.0,5.0,6.0,27.0,10.0,8.0,36.0,9.0,24.0,14.0,31.0,11.0,40.0,30.0,32.0,45.0,26.0,7.0,17.0,34.0
3578,0.0,23.0,2.0,9.0,11.0,6.0,27.0,1.0,13.0,101.0,7.0,10.0,3.0,12.0,5.0,8.0,47.0,22.0,31.0,4.0,20.0,25.0,65.0,17.0,14.0,19.0,39.0,18.0,34.0,77.0
3627,0.0,14.0,5.0,8.0,1.0,10.0,19.0,3.0,7.0,34.0,11.0,20.0,17.0,24.0,6.0,2.0,23.0,27.0,16.0,12.0,67.0,9.0,57.0,21.0,13.0,15.0,31.0,33.0,71.0,43.0
3676,0.0,24.0,3.0,6.0,4.0,2.0,7.0,1.0,15.0,43.0,13.0,19.0,8.0,28.0,39.0,16.0,40.0,21.0,5.0,18.0,26.0,31.0,48.0,57.0,11.0,9.0,10.0,27.0,67.0,41.0
3725,0.0,36.0,4.0,7.0,3.0,1.0,20.0,6.0,15.0,70.0,16.0,26.0,23.0,30.0,9.0,2.0,24.0,34.0,28.0,5.0,18.0,41.0,65.0,19.0,12.0,62.0,31.0,45.0,13.0,8.0
3774,0.0,16.0,1.0,18.0,8.0,7.0,11.0,2.0,23.0,71.0,14.0,33.0,17.0,6.0,3.0,4.0,32.0,10.0,28.0,9.0,34.0,59.0,68.0,25.0,42.0,5.0,29.0,35.0,36.0,37.0
3823,1.0,11.0,4.0,10.0,0.0,7.0,19.0,8.0,13.0,42.0,16.0,12.0,3.0,25.0,21.0,2.0,40.0,26.0,33.0,32.0,31.0,66.0,29.0,37.0,27.0,17.0,6.0,20.0,65.0,45.0
3872,0.0,8.0,1.0,10.0,6.0,4.0,26.0,5.0,23.0,40.0,30.0,2.0,3.0,64.0,12.0,22.0,42.0,7.0,16.0,11.0,48.0,43.0,44.0,53.0,34.0,17.0,36.0,13.0,21.0,25.0
3921,3.0,47.0,5.0,4.0,8.0,0.0,7.0,2.0,45.0,14.0,61.0,28.0,38.0,18.0,1.0,12.0,11.0,19.0,56.0,23.0,9.0,42.0,53.0,75.0,63.0,37.0,29.0,6.0,10.0,27.0
3970,1.0,54.0,12.0,6.0,8.0,0.0,4.0,5.0,3.0,10.0,20.0,49.0,24.0,25.0,28.0,21.0,43.0,9.0,40.0,14.0,17.0,60.0,32.0,15.0,65.0,66.0,30.0,13.0,39.0,2.0
4019,1.0,55.0,4.0,6.0,2.0,0.0,5.0,7.0,20.0,24.0,18.0,58.0,16.0,21.0,34.0,17.0,19.0,14.0,9.0,22.0,36.0,11.0,62.0,48.0,57.0,42.0,15.0,23.0,40.0,8.0
4068,3.0,52.0,11.0,5.0,18.0,0.0,6.0,1.0,17.0,2.0,34.0,85.0,7.0,25.0,8.0,15.0,13.0,10.0,19.0,31.0,4.0,21.0,38.0,29.0,60.0,32.0,28.0,9.0,62.0,16.0
4117,3.0,19.0,5.0,1.0,11.0,0.0,6.0,2.0,27.0,18.0,48.0,24.0,13.0,31.0,21.0,15.0,25.0,38.0,17.0,39.0,22.0,26.0,68.0,32.0,59.0,14.0,45.0,12.0,41.0,8.0
4166,1.0,20.0,7.0,4.0,15.0,0.0,2.0,5.0,13.0,9.0,59.0,48.0,34.0,18.0,26.0,22.0,27.0,6.0,24.0,29.0,23.0,17.0,37.0,40.0,88.0,60.0,32.0,19.0,12.0,3.0
4215,9.0,16.0,3.0,2.0,7.0,0.0,5.0,1.0,14.0,11.0,35.0,69.0,28.0,20.0,29.0,18.0,22.0,8.0,4.0,24.0,25.0,63.0,33.0,15.0,67.0,58.0,32.0,17.0,41.0,12.0
4264,14.0,24.0,11.0,3.0,9.0,0.0,12.0,1.0,8.0,23.0,16.0,40.0,29.0,4.0,13.0,50.0,10.0,7.0,18.0,35.0,17.0,31.0,22.0,34.0,43.0,63.0,33.0,5.0,20.0,6.0
4313,2.0,24.0,1.0,6.0,5.0,0.0,29.0,10.0,28.0,18.0,23.0,44.0,7.0,32.0,47.0,40.0,15.0,14.0,49.0,19.0,11.0,33.0,67.0,20.0,57.0,13.0,46.0,4.0,35.0,8.0
4362,1.0,29.0,8.0,4.0,22.0,0.0,6.0,15.0,32.0,39.0,44.0,28.0,14.0,54.0,5.0,7.0,12.0,21.0,25.0,23.0,2.0,17.0,58.0,19.0,100.0,41.0,11.0,9.0,60.0,33.0
4411,1.0,2.0,9.0,22.0,6.0,13.0,14.0,26.0,3.0,11.0,7.0,0.0,36.0,19.0,20.0,51.0,5.0,12.0,69.0,40.0,8.0,10.0,4.0,58.0,32.0,108.0,62.0,23.0,21.0,25.0
4460,13.0,4.0,11.0,14.0,2.0,10.0,0.0,9.0,8.0,15.0,12.0,1.0,6.0,16.0,20.0,56.0,26.0,22.0,28.0,63.0,7.0,27.0,3.0,59.0,18.0,108.0,24.0,54.0,61.0,98.0
4509,2.0,0.0,10.0,7.0,3.0,15.0,4.0,11.0,6.0,9.0,8.0,1.0,26.0,12.0,18.0,74.0,33.0,16.0,14.0,25.0,21.0,35.0,5.0,48.0,28.0,73.0,43.0,42.0,34.0,20.0
4558,5.0,3.0,29.0,4.0,0.0,7.0,6.0,21.0,9.0,13.0,2.0,1.0,14.0,25.0,10.0,50.0,16.0,11.0,40.0,35.0,19.0,33.0,48.0,36.0,15.0,65.0,17.0,62.0,34.0,28.0
4607,1.0,5.0,39.0,2.0,8.0,3.0,9.0,11.0,7.0,29.0,13.0,0.0,62.0,19.0,4.0,66.0,16.0,14.0,22.0,24.0,10.0,31.0,6.0,30.0,26.0,107.0,37.0,69.0,15.0,38.0
4656,0.0,5.0,19.0,9.0,2.0,10.0,6.0,12.0,4.0,3.0,1.0,7.0,35.0,16.0,24.0,59.0,28.0,27.0,60.0,31.0,11.0,15.0,8.0,41.0,30.0,87.0,65.0,57.0,43.0,36.0
4705,6.0,4.0,34.0,12.0,5.0,3.0,2.0,13.0,0.0,23.0,9.0,1.0,19.0,15.0,11.0,48.0,10.0,16.0,24.0,17.0,14.0,30.0,8.0,21.0,18.0,29.0,20.0,51.0,53.0,70.0
4754,2.0,0.0,11.0,10.0,3.0,5.0,1.0,17.0,8.0,7.0,13.0,4.0,21.0,40.0,9.0,41.0,22.0,18.0,32.0,19.0,14.0,24.0,6.0,29.0,20.0,94.0,36.0,50.0,35.0,54.0
4803,2.0,1.0,7.0,5.0,4.0,12.0,3.0,54.0,9.0,11.0,6.0,0.0,25.0,18.0,34.0,76.0,8.0,44.0,48.0,16.0,33.0,15.0,13.0,31.0,43.0,96.0,52.0,94.0,28.0,83.0
4852,0.0,6.0,11.0,42.0,1.0,14.0,9.0,7.0,2.0,5.0,3.0,4.0,21.0,8.0,12.0,79.0,16.0,15.0,68.0,47.0,13.0,24.0,10.0,29.0,31.0,61.0,59.0,45.0,38.0,23.0
