,HAEMATOPOIETIC,STOMACH,OESOPHAGUS,NERVOUS,OVARY,LUNG,SKIN,LARGE_INTESTINE,PANCREAS,ENDOMETRIUM,URINARY,LIVER,BREAST,GANGLIA,PROSTATE,SOFT_TISSUE,BONE,PLEURA,AERODIGESTIVE,THYROID,KIDNEY,BILIARY,SALIVARY
1910,5.0,18.0,8.0,3.0,4.0,1.0,6.0,10.0,0.0,7.0,2.0,14.0,11.0,9.0,13.0,15.0,19.0,12.0,22.0,16.0,17.0,20.0,21.0
1959,0.0,2.0,6.0,14.0,5.0,8.0,11.0,17.0,1.0,4.0,15.0,7.0,3.0,16.0,18.0,12.0,10.0,9.0,20.0,19.0,13.0,21.0,22.0
2008,4.0,1.0,12.0,16.0,3.0,13.0,7.0,6.0,8.0,10.0,2.0,0.0,9.0,5.0,11.0,15.0,14.0,20.0,17.0,18.0,19.0,22.0,21.0
2057,5.0,0.0,1.0,4.0,14.0,13.0,6.0,12.0,2.0,9.0,3.0,8.0,7.0,11.0,10.0,16.0,15.0,20.0,17.0,18.0,19.0,21.0,22.0
2106,1.0,5.0,2.0,7.0,0.0,17.0,4.0,16.0,14.0,6.0,12.0,8.0,20.0,3.0,10.0,13.0,9.0,18.0,15.0,11.0,19.0,21.0,22.0
2155,0.0,4.0,1.0,10.0,19.0,14.0,12.0,11.0,7.0,9.0,5.0,2.0,8.0,6.0,3.0,16.0,15.0,20.0,13.0,17.0,18.0,21.0,22.0
2204,0.0,11.0,6.0,4.0,5.0,16.0,1.0,14.0,8.0,9.0,3.0,7.0,10.0,12.0,2.0,13.0,17.0,20.0,15.0,18.0,19.0,21.0,22.0
2253,1.0,3.0,6.0,12.0,5.0,0.0,8.0,9.0,10.0,11.0,4.0,2.0,20.0,7.0,22.0,13.0,17.0,16.0,14.0,18.0,19.0,15.0,21.0
2302,6.0,3.0,1.0,5.0,0.0,2.0,14.0,7.0,8.0,11.0,4.0,10.0,9.0,12.0,13.0,16.0,15.0,19.0,22.0,17.0,18.0,20.0,21.0
2351,7.0,3.0,4.0,5.0,6.0,12.0,1.0,0.0,8.0,10.0,19.0,11.0,9.0,18.0,2.0,13.0,20.0,14.0,16.0,15.0,17.0,21.0,22.0
