,hsa-miR-223,hsa-miR-21,hsa-miR-205,hsa-miR-142-5p,hsa-miR-200a,hsa-miR-31,hsa-miR-140-5p,hsa-miR-125a-3p,hsa-miR-424,hsa-miR-135b,hsa-miR-30a,hsa-miR-224,hsa-miR-1978,hsa-let-7e,hsa-miR-222,hsa-miR-22,hsa-miR-30d,hsa-miR-196b,hsa-miR-628-5p,hsa-miR-30e,hsa-miR-199b-5p,hsa-miR-1303,hsa-miR-877,hsa-miR-146b-5p,kshv-miR-K12-12,hsa-miR-197,hsa-miR-636,hcmv-miR-UL148D,ebv-miR-BART7,hsa-miR-891b
606,0.0,9.0,12.0,3.0,19.0,1.0,7.0,4.0,8.0,24.0,11.0,6.0,35.0,568.0,164.0,31.0,97.0,5.0,23.0,43.0,415.0,13.0,49.0,20.0,281.0,15.0,30.0,323.0,25.0,617.0
655,0.0,3.0,1.0,18.0,13.0,4.0,63.0,33.0,2.0,8.0,11.0,12.0,10.0,9.0,21.0,5.0,182.0,175.0,27.0,6.0,78.0,136.0,222.0,47.0,270.0,51.0,444.0,147.0,28.0,14.0
704,0.0,3.0,18.0,9.0,37.0,4.0,15.0,1.0,5.0,10.0,34.0,2.0,11.0,368.0,7.0,14.0,52.0,6.0,36.0,115.0,22.0,17.0,12.0,57.0,55.0,61.0,276.0,82.0,8.0,60.0
753,0.0,10.0,6.0,18.0,26.0,40.0,2.0,33.0,1.0,8.0,31.0,3.0,49.0,130.0,7.0,252.0,15.0,38.0,13.0,46.0,16.0,54.0,232.0,35.0,55.0,12.0,69.0,381.0,120.0,47.0
802,0.0,8.0,9.0,38.0,15.0,20.0,13.0,4.0,1.0,11.0,2.0,6.0,27.0,273.0,14.0,33.0,16.0,10.0,90.0,7.0,30.0,42.0,242.0,156.0,5.0,93.0,311.0,143.0,133.0,63.0
851,1.0,5.0,18.0,10.0,2.0,4.0,0.0,9.0,43.0,14.0,154.0,7.0,6.0,26.0,46.0,27.0,15.0,3.0,23.0,90.0,54.0,142.0,280.0,36.0,170.0,31.0,423.0,532.0,17.0,235.0
900,0.0,2.0,50.0,68.0,16.0,10.0,12.0,5.0,3.0,7.0,6.0,25.0,1.0,139.0,4.0,371.0,9.0,37.0,21.0,13.0,14.0,148.0,41.0,165.0,11.0,22.0,457.0,100.0,183.0,246.0
949,1.0,21.0,9.0,6.0,16.0,0.0,7.0,3.0,8.0,19.0,2.0,23.0,20.0,5.0,38.0,10.0,37.0,4.0,63.0,125.0,550.0,12.0,517.0,510.0,103.0,184.0,188.0,124.0,17.0,34.0
998,0.0,14.0,20.0,1.0,42.0,2.0,3.0,18.0,150.0,248.0,163.0,19.0,54.0,5.0,15.0,88.0,7.0,11.0,164.0,85.0,387.0,157.0,21.0,62.0,95.0,24.0,67.0,12.0,59.0,82.0
1047,0.0,12.0,3.0,1.0,5.0,19.0,6.0,13.0,207.0,26.0,2.0,4.0,133.0,8.0,126.0,7.0,25.0,18.0,51.0,24.0,27.0,45.0,72.0,9.0,55.0,46.0,40.0,111.0,173.0,355.0
1096,0.0,8.0,2.0,3.0,17.0,12.0,1.0,22.0,255.0,95.0,4.0,18.0,24.0,6.0,251.0,15.0,54.0,115.0,192.0,28.0,16.0,53.0,13.0,186.0,452.0,43.0,14.0,45.0,7.0,29.0
1145,0.0,2.0,8.0,10.0,7.0,1.0,13.0,23.0,36.0,5.0,9.0,3.0,4.0,16.0,21.0,11.0,183.0,74.0,123.0,45.0,192.0,6.0,14.0,25.0,41.0,103.0,395.0,381.0,295.0,56.0
1194,0.0,10.0,9.0,1.0,7.0,2.0,22.0,382.0,5.0,58.0,17.0,30.0,33.0,3.0,88.0,26.0,357.0,16.0,14.0,91.0,103.0,6.0,469.0,180.0,114.0,8.0,158.0,4.0,190.0,90.0
1243,0.0,5.0,1.0,2.0,3.0,6.0,9.0,59.0,15.0,58.0,14.0,11.0,429.0,12.0,138.0,32.0,121.0,8.0,10.0,45.0,17.0,7.0,20.0,19.0,37.0,21.0,4.0,295.0,54.0,26.0
1292,0.0,3.0,34.0,1.0,48.0,2.0,4.0,12.0,13.0,8.0,9.0,11.0,135.0,18.0,5.0,64.0,19.0,16.0,346.0,189.0,24.0,219.0,250.0,14.0,33.0,25.0,74.0,7.0,156.0,207.0
1341,0.0,4.0,1.0,13.0,7.0,12.0,15.0,330.0,77.0,25.0,5.0,9.0,20.0,21.0,119.0,10.0,16.0,2.0,100.0,11.0,156.0,6.0,70.0,28.0,83.0,61.0,44.0,31.0,81.0,259.0
1390,0.0,7.0,2.0,19.0,24.0,5.0,9.0,79.0,60.0,3.0,8.0,1.0,17.0,36.0,45.0,51.0,25.0,15.0,269.0,6.0,23.0,97.0,307.0,132.0,37.0,26.0,14.0,149.0,4.0,93.0
1439,0.0,52.0,3.0,88.0,22.0,32.0,2.0,20.0,30.0,41.0,11.0,80.0,178.0,482.0,92.0,59.0,70.0,1.0,574.0,14.0,24.0,18.0,17.0,15.0,154.0,226.0,62.0,12.0,83.0,169.0
1488,2.0,0.0,5.0,27.0,165.0,14.0,355.0,3.0,39.0,40.0,8.0,16.0,64.0,78.0,70.0,7.0,29.0,12.0,73.0,4.0,50.0,66.0,134.0,67.0,164.0,105.0,24.0,10.0,101.0,116.0
1537,0.0,48.0,6.0,4.0,2.0,154.0,3.0,10.0,17.0,20.0,1.0,159.0,7.0,69.0,52.0,187.0,5.0,11.0,91.0,22.0,12.0,41.0,286.0,74.0,18.0,92.0,33.0,29.0,560.0,94.0
1586,0.0,6.0,109.0,5.0,2.0,3.0,12.0,208.0,16.0,94.0,1.0,127.0,28.0,59.0,179.0,101.0,15.0,188.0,106.0,9.0,66.0,84.0,152.0,53.0,122.0,63.0,4.0,130.0,91.0,24.0
1635,1.0,0.0,23.0,2.0,7.0,70.0,10.0,4.0,6.0,147.0,27.0,11.0,82.0,15.0,175.0,17.0,581.0,28.0,14.0,104.0,3.0,22.0,122.0,101.0,126.0,83.0,117.0,45.0,510.0,78.0
1684,0.0,5.0,24.0,2.0,1.0,4.0,33.0,18.0,50.0,285.0,49.0,78.0,195.0,6.0,20.0,321.0,34.0,9.0,37.0,30.0,19.0,152.0,157.0,52.0,13.0,173.0,142.0,39.0,58.0,26.0
1733,0.0,1.0,23.0,6.0,7.0,5.0,9.0,3.0,12.0,36.0,290.0,63.0,26.0,371.0,22.0,43.0,39.0,79.0,15.0,539.0,4.0,323.0,2.0,143.0,8.0,375.0,112.0,54.0,83.0,47.0
1782,1.0,7.0,69.0,24.0,326.0,0.0,14.0,9.0,20.0,357.0,4.0,33.0,8.0,561.0,19.0,67.0,2.0,31.0,41.0,46.0,5.0,36.0,50.0,23.0,53.0,25.0,79.0,3.0,165.0,62.0
1831,0.0,7.0,3.0,14.0,5.0,2.0,21.0,25.0,245.0,98.0,15.0,10.0,12.0,525.0,256.0,48.0,17.0,335.0,41.0,89.0,9.0,34.0,93.0,268.0,28.0,392.0,20.0,47.0,295.0,4.0
1880,0.0,7.0,4.0,62.0,5.0,9.0,97.0,3.0,58.0,46.0,107.0,12.0,31.0,17.0,32.0,89.0,21.0,59.0,141.0,23.0,1.0,37.0,40.0,113.0,8.0,51.0,18.0,11.0,154.0,29.0
1929,2.0,4.0,0.0,7.0,1.0,97.0,9.0,3.0,176.0,31.0,6.0,8.0,81.0,15.0,80.0,17.0,108.0,270.0,10.0,177.0,5.0,227.0,72.0,247.0,127.0,30.0,12.0,20.0,45.0,95.0
1978,0.0,50.0,6.0,2.0,1.0,7.0,4.0,8.0,11.0,72.0,9.0,5.0,26.0,99.0,359.0,342.0,41.0,10.0,33.0,125.0,115.0,16.0,130.0,21.0,401.0,43.0,57.0,456.0,54.0,20.0
2027,0.0,28.0,1.0,5.0,15.0,4.0,2.0,31.0,139.0,6.0,8.0,33.0,10.0,32.0,29.0,434.0,34.0,83.0,111.0,20.0,3.0,9.0,160.0,39.0,162.0,26.0,72.0,24.0,25.0,36.0
2076,1.0,5.0,14.0,3.0,16.0,6.0,0.0,8.0,4.0,15.0,7.0,11.0,31.0,2.0,53.0,29.0,20.0,21.0,42.0,91.0,24.0,26.0,23.0,37.0,194.0,73.0,22.0,284.0,28.0,84.0
2125,0.0,8.0,29.0,4.0,23.0,2.0,36.0,1.0,6.0,19.0,7.0,66.0,3.0,5.0,170.0,10.0,364.0,92.0,59.0,22.0,26.0,27.0,207.0,38.0,286.0,299.0,614.0,75.0,31.0,25.0
2174,1.0,20.0,2.0,5.0,15.0,10.0,0.0,6.0,72.0,3.0,8.0,4.0,7.0,21.0,30.0,229.0,26.0,49.0,127.0,53.0,9.0,136.0,181.0,225.0,28.0,44.0,275.0,45.0,31.0,416.0
2223,1.0,13.0,0.0,5.0,86.0,2.0,4.0,3.0,11.0,8.0,36.0,16.0,19.0,20.0,10.0,7.0,23.0,50.0,9.0,15.0,512.0,14.0,63.0,89.0,259.0,33.0,279.0,17.0,12.0,491.0
2272,2.0,28.0,0.0,4.0,18.0,3.0,17.0,82.0,1.0,25.0,8.0,21.0,34.0,12.0,115.0,7.0,500.0,67.0,14.0,36.0,24.0,47.0,318.0,16.0,242.0,23.0,22.0,84.0,26.0,5.0
2321,1.0,31.0,0.0,7.0,3.0,15.0,6.0,4.0,17.0,9.0,22.0,13.0,12.0,5.0,45.0,8.0,307.0,467.0,59.0,14.0,2.0,28.0,56.0,146.0,54.0,63.0,177.0,369.0,320.0,38.0
2370,4.0,1.0,2.0,8.0,9.0,0.0,19.0,26.0,5.0,3.0,14.0,7.0,13.0,12.0,72.0,146.0,23.0,151.0,70.0,132.0,145.0,65.0,21.0,10.0,95.0,76.0,368.0,222.0,35.0,20.0
2419,3.0,32.0,1.0,2.0,7.0,0.0,13.0,4.0,6.0,380.0,5.0,16.0,17.0,15.0,42.0,54.0,57.0,204.0,36.0,67.0,116.0,8.0,122.0,20.0,567.0,69.0,186.0,509.0,11.0,467.0
2468,2.0,4.0,6.0,7.0,5.0,3.0,13.0,240.0,24.0,9.0,8.0,1.0,167.0,29.0,195.0,18.0,0.0,56.0,15.0,42.0,96.0,37.0,70.0,92.0,216.0,263.0,17.0,446.0,94.0,88.0
2517,1.0,4.0,2.0,0.0,3.0,8.0,21.0,221.0,34.0,86.0,10.0,15.0,335.0,47.0,18.0,55.0,6.0,107.0,29.0,22.0,16.0,46.0,61.0,11.0,37.0,260.0,7.0,143.0,68.0,240.0
2566,1.0,6.0,3.0,2.0,0.0,11.0,4.0,15.0,10.0,7.0,5.0,18.0,529.0,86.0,63.0,99.0,14.0,30.0,24.0,37.0,220.0,28.0,40.0,19.0,221.0,367.0,181.0,115.0,75.0,590.0
2615,0.0,2.0,39.0,14.0,34.0,9.0,8.0,30.0,588.0,15.0,32.0,26.0,117.0,113.0,16.0,92.0,51.0,119.0,1.0,111.0,13.0,71.0,4.0,199.0,88.0,6.0,5.0,50.0,80.0,527.0
2664,0.0,4.0,2.0,24.0,1.0,6.0,3.0,55.0,23.0,108.0,25.0,13.0,67.0,31.0,454.0,27.0,16.0,46.0,5.0,32.0,148.0,159.0,9.0,36.0,71.0,10.0,14.0,12.0,415.0,194.0
2713,0.0,5.0,1.0,10.0,18.0,9.0,7.0,8.0,169.0,31.0,11.0,22.0,308.0,51.0,3.0,16.0,2.0,80.0,4.0,48.0,227.0,29.0,12.0,20.0,314.0,177.0,88.0,89.0,37.0,17.0
2762,1.0,3.0,2.0,0.0,6.0,4.0,8.0,19.0,16.0,18.0,12.0,13.0,354.0,78.0,109.0,187.0,5.0,332.0,9.0,15.0,133.0,147.0,22.0,34.0,68.0,50.0,293.0,179.0,342.0,14.0
2811,0.0,2.0,3.0,5.0,4.0,1.0,10.0,44.0,8.0,6.0,16.0,18.0,36.0,28.0,11.0,15.0,7.0,421.0,97.0,14.0,50.0,138.0,27.0,21.0,183.0,33.0,63.0,115.0,34.0,90.0
2860,0.0,2.0,5.0,3.0,46.0,6.0,9.0,7.0,4.0,58.0,25.0,193.0,480.0,10.0,96.0,131.0,1.0,581.0,19.0,21.0,262.0,73.0,36.0,14.0,185.0,18.0,8.0,206.0,79.0,462.0
2909,1.0,11.0,2.0,8.0,0.0,92.0,3.0,21.0,19.0,47.0,84.0,7.0,109.0,45.0,20.0,16.0,5.0,313.0,35.0,32.0,142.0,450.0,4.0,9.0,40.0,242.0,6.0,14.0,96.0,29.0
2958,10.0,0.0,9.0,99.0,24.0,16.0,113.0,96.0,1.0,7.0,41.0,437.0,4.0,39.0,20.0,11.0,73.0,17.0,5.0,27.0,8.0,25.0,230.0,68.0,2.0,504.0,214.0,3.0,26.0,129.0
3007,6.0,3.0,8.0,1.0,16.0,2.0,247.0,101.0,25.0,5.0,15.0,30.0,0.0,7.0,31.0,9.0,23.0,450.0,38.0,93.0,26.0,209.0,46.0,204.0,33.0,127.0,539.0,207.0,17.0,41.0
3056,0.0,6.0,4.0,38.0,3.0,20.0,18.0,5.0,22.0,10.0,8.0,72.0,1.0,7.0,261.0,11.0,30.0,23.0,13.0,9.0,373.0,58.0,299.0,298.0,153.0,145.0,26.0,2.0,47.0,110.0
3105,0.0,10.0,6.0,9.0,4.0,17.0,90.0,352.0,8.0,1.0,80.0,22.0,5.0,19.0,16.0,2.0,184.0,512.0,182.0,3.0,193.0,81.0,28.0,161.0,114.0,446.0,612.0,7.0,11.0,131.0
3154,1.0,0.0,5.0,9.0,26.0,10.0,81.0,3.0,7.0,12.0,6.0,424.0,19.0,32.0,14.0,16.0,94.0,8.0,4.0,13.0,512.0,179.0,38.0,321.0,199.0,342.0,22.0,2.0,71.0,58.0
3203,0.0,2.0,10.0,19.0,1.0,9.0,24.0,27.0,18.0,3.0,8.0,141.0,14.0,6.0,138.0,5.0,331.0,16.0,13.0,207.0,67.0,308.0,90.0,37.0,366.0,82.0,77.0,248.0,7.0,74.0
3252,2.0,4.0,3.0,13.0,11.0,1.0,436.0,17.0,7.0,8.0,100.0,50.0,0.0,15.0,30.0,46.0,22.0,52.0,144.0,120.0,132.0,60.0,68.0,54.0,246.0,545.0,77.0,10.0,98.0,12.0
3301,3.0,2.0,6.0,11.0,4.0,51.0,167.0,7.0,1.0,68.0,56.0,32.0,10.0,14.0,24.0,15.0,75.0,0.0,38.0,25.0,41.0,45.0,365.0,48.0,219.0,257.0,8.0,47.0,19.0,44.0
3350,9.0,3.0,1.0,41.0,6.0,17.0,430.0,4.0,62.0,11.0,25.0,60.0,0.0,272.0,115.0,21.0,63.0,12.0,5.0,26.0,71.0,75.0,89.0,108.0,8.0,169.0,42.0,2.0,14.0,245.0
3399,1.0,0.0,3.0,10.0,4.0,2.0,181.0,6.0,58.0,9.0,8.0,41.0,15.0,7.0,11.0,5.0,13.0,55.0,29.0,28.0,490.0,228.0,17.0,44.0,134.0,145.0,302.0,31.0,495.0,305.0
3448,0.0,125.0,8.0,2.0,6.0,67.0,56.0,3.0,4.0,30.0,32.0,35.0,5.0,9.0,16.0,27.0,288.0,25.0,79.0,132.0,312.0,15.0,23.0,7.0,18.0,1.0,12.0,223.0,21.0,367.0
3497,0.0,6.0,5.0,2.0,3.0,96.0,4.0,1.0,11.0,59.0,8.0,42.0,7.0,245.0,10.0,419.0,447.0,25.0,30.0,604.0,593.0,49.0,31.0,15.0,48.0,125.0,17.0,45.0,404.0,29.0
3546,0.0,2.0,303.0,6.0,3.0,226.0,564.0,1.0,32.0,15.0,120.0,134.0,77.0,84.0,66.0,209.0,51.0,4.0,10.0,86.0,16.0,366.0,24.0,20.0,160.0,63.0,5.0,74.0,128.0,290.0
3595,0.0,5.0,31.0,1.0,14.0,7.0,48.0,13.0,4.0,40.0,19.0,79.0,17.0,2.0,32.0,55.0,393.0,89.0,37.0,18.0,132.0,162.0,298.0,24.0,150.0,11.0,62.0,39.0,61.0,166.0
3644,0.0,2.0,43.0,1.0,3.0,76.0,83.0,4.0,13.0,110.0,444.0,228.0,8.0,7.0,49.0,275.0,11.0,5.0,39.0,93.0,15.0,27.0,12.0,31.0,237.0,71.0,78.0,248.0,77.0,106.0
3693,0.0,16.0,12.0,3.0,10.0,7.0,40.0,2.0,1.0,28.0,21.0,68.0,14.0,4.0,122.0,19.0,8.0,6.0,13.0,352.0,9.0,69.0,415.0,89.0,30.0,23.0,33.0,400.0,194.0,41.0
3742,0.0,2.0,133.0,1.0,5.0,16.0,115.0,35.0,14.0,6.0,82.0,41.0,37.0,33.0,54.0,159.0,11.0,38.0,301.0,34.0,192.0,15.0,4.0,71.0,39.0,40.0,131.0,568.0,257.0,138.0
3791,2.0,16.0,11.0,256.0,3.0,111.0,7.0,0.0,4.0,82.0,120.0,15.0,12.0,157.0,107.0,68.0,89.0,163.0,75.0,40.0,106.0,191.0,63.0,91.0,54.0,33.0,10.0,9.0,154.0,138.0
3840,0.0,6.0,72.0,2.0,9.0,13.0,117.0,1.0,5.0,540.0,63.0,337.0,28.0,14.0,216.0,413.0,40.0,4.0,20.0,193.0,39.0,210.0,58.0,8.0,32.0,10.0,260.0,143.0,22.0,248.0
3889,1.0,22.0,4.0,20.0,33.0,70.0,7.0,2.0,3.0,8.0,25.0,74.0,17.0,26.0,69.0,143.0,178.0,0.0,6.0,48.0,39.0,55.0,19.0,96.0,47.0,9.0,569.0,10.0,349.0,415.0
3938,0.0,14.0,2.0,1.0,8.0,5.0,3.0,33.0,7.0,15.0,36.0,52.0,190.0,16.0,23.0,4.0,136.0,9.0,13.0,17.0,20.0,12.0,24.0,25.0,26.0,372.0,199.0,342.0,109.0,19.0
3987,1.0,0.0,4.0,7.0,2.0,5.0,63.0,12.0,14.0,33.0,21.0,8.0,74.0,85.0,25.0,20.0,11.0,3.0,29.0,49.0,19.0,40.0,88.0,73.0,102.0,231.0,391.0,305.0,43.0,27.0
4036,0.0,2.0,89.0,5.0,67.0,121.0,11.0,24.0,6.0,4.0,37.0,10.0,8.0,29.0,3.0,9.0,181.0,26.0,13.0,21.0,372.0,382.0,86.0,12.0,23.0,44.0,49.0,39.0,15.0,151.0
4085,3.0,6.0,4.0,8.0,0.0,9.0,7.0,5.0,82.0,2.0,44.0,13.0,21.0,77.0,10.0,35.0,62.0,1.0,34.0,215.0,101.0,251.0,49.0,17.0,42.0,187.0,65.0,74.0,124.0,100.0
4134,1.0,4.0,146.0,0.0,14.0,3.0,29.0,196.0,10.0,2.0,11.0,121.0,446.0,18.0,13.0,23.0,52.0,40.0,17.0,33.0,12.0,102.0,5.0,16.0,75.0,148.0,101.0,327.0,117.0,87.0
4183,0.0,2.0,39.0,4.0,23.0,10.0,18.0,3.0,93.0,203.0,6.0,63.0,46.0,79.0,31.0,230.0,146.0,54.0,7.0,390.0,5.0,208.0,13.0,243.0,8.0,72.0,50.0,594.0,113.0,71.0
4232,0.0,19.0,23.0,6.0,17.0,43.0,7.0,1.0,5.0,11.0,39.0,10.0,115.0,384.0,15.0,108.0,36.0,124.0,72.0,13.0,9.0,247.0,118.0,237.0,80.0,137.0,4.0,253.0,391.0,3.0
4281,6.0,5.0,13.0,0.0,1.0,21.0,33.0,4.0,19.0,11.0,15.0,8.0,65.0,2.0,9.0,7.0,127.0,16.0,18.0,117.0,73.0,23.0,14.0,40.0,133.0,312.0,66.0,67.0,418.0,34.0
4330,0.0,1.0,30.0,22.0,2.0,11.0,18.0,287.0,3.0,6.0,7.0,4.0,17.0,21.0,23.0,5.0,117.0,8.0,327.0,27.0,34.0,68.0,31.0,111.0,10.0,67.0,73.0,57.0,158.0,15.0
4379,0.0,2.0,4.0,17.0,8.0,7.0,169.0,13.0,91.0,61.0,160.0,5.0,1.0,67.0,89.0,14.0,191.0,3.0,39.0,175.0,16.0,50.0,12.0,35.0,104.0,168.0,357.0,150.0,63.0,9.0
4428,0.0,7.0,3.0,1.0,5.0,8.0,66.0,6.0,25.0,18.0,4.0,96.0,2.0,14.0,29.0,51.0,97.0,10.0,69.0,9.0,59.0,17.0,125.0,143.0,16.0,218.0,135.0,57.0,22.0,49.0
4477,3.0,10.0,2.0,361.0,7.0,9.0,100.0,16.0,61.0,6.0,81.0,0.0,1.0,42.0,8.0,172.0,14.0,4.0,246.0,34.0,406.0,11.0,80.0,282.0,15.0,128.0,121.0,171.0,13.0,346.0
4526,1.0,3.0,2.0,7.0,4.0,11.0,9.0,6.0,10.0,0.0,5.0,28.0,8.0,25.0,12.0,32.0,507.0,222.0,66.0,51.0,76.0,98.0,363.0,93.0,18.0,26.0,68.0,91.0,96.0,419.0
4575,2.0,39.0,1.0,9.0,7.0,10.0,27.0,241.0,0.0,3.0,15.0,51.0,4.0,17.0,43.0,16.0,14.0,45.0,315.0,12.0,47.0,100.0,233.0,225.0,5.0,205.0,384.0,118.0,25.0,83.0
4624,0.0,4.0,8.0,5.0,17.0,58.0,18.0,2.0,30.0,3.0,10.0,130.0,1.0,95.0,32.0,160.0,219.0,12.0,67.0,36.0,320.0,31.0,7.0,567.0,9.0,24.0,51.0,34.0,410.0,129.0
4673,0.0,11.0,5.0,10.0,4.0,36.0,8.0,85.0,1.0,3.0,18.0,7.0,2.0,23.0,48.0,257.0,53.0,6.0,128.0,19.0,26.0,248.0,49.0,618.0,137.0,41.0,38.0,447.0,12.0,14.0
4722,11.0,205.0,4.0,2.0,1.0,152.0,13.0,30.0,5.0,92.0,323.0,20.0,0.0,8.0,107.0,440.0,175.0,94.0,292.0,27.0,45.0,6.0,43.0,620.0,48.0,138.0,126.0,18.0,209.0,19.0
4771,2.0,114.0,5.0,4.0,0.0,6.0,13.0,20.0,1.0,3.0,36.0,24.0,7.0,10.0,51.0,197.0,127.0,498.0,172.0,130.0,113.0,64.0,19.0,306.0,8.0,44.0,435.0,35.0,30.0,218.0
4820,0.0,24.0,12.0,20.0,1.0,41.0,29.0,4.0,22.0,6.0,103.0,3.0,2.0,5.0,32.0,35.0,23.0,16.0,249.0,165.0,77.0,131.0,73.0,253.0,7.0,290.0,107.0,261.0,274.0,11.0
4869,0.0,4.0,28.0,10.0,6.0,33.0,27.0,23.0,14.0,12.0,2.0,60.0,1.0,7.0,3.0,37.0,5.0,24.0,272.0,9.0,440.0,92.0,58.0,67.0,26.0,159.0,17.0,177.0,210.0,30.0
