,ACOT1_DEL,TAG_DEL,HEATR4_DEL,LINC00226_AMP,FRMPD2P1_AMP,LOC727924_DEL,SNX29_DEL,HERC2P2_AMP,OR51A2_DEL,REREP3_DEL,LRP1B_DEL,OR4M2_DEL,CES1P1_DEL,GSTM1_DEL,OR2T27_DEL,CES1_AMP,MIR548AI_DEL,DDTL_DEL,GSTT2B_DEL,FAM86DP_DEL,CCDC144B_DEL,OR4N4_DEL,HLA-DRB6_AMP,OR4N3P_DEL,DEFA3_AMP,CROCC_DEL,RABGAP1L_DEL,BTNL8_DEL,FAM106A_DEL,FAM153A_DEL
864,28.0,0.0,27.0,4.0,20.0,10.0,13.0,1.0,44.0,18.0,39.0,11.0,15.0,34.0,21.0,14.0,5.0,2.0,3.0,121.0,6.0,22.0,26.0,17.0,41.0,12.0,8.0,7.0,9.0,609.0
913,31.0,12.0,32.0,30.0,9.0,13.0,40.0,2221.0,4.0,17.0,41.0,20.0,6.0,23.0,47.0,5.0,3.0,0.0,1.0,57.0,8.0,33.0,65.0,34.0,189.0,25.0,109.0,15.0,14.0,39.0
962,3.0,42.0,4.0,10.0,0.0,11.0,8.0,45.0,16.0,40.0,20.0,70.0,43.0,9.0,7.0,55.0,22.0,25.0,26.0,31.0,5.0,117.0,100.0,84.0,17.0,15.0,12.0,1.0,6.0,93.0
1011,0.0,3.0,1.0,9.0,738.0,2.0,55.0,19.0,717.0,10.0,12.0,8.0,38.0,220.0,25.0,131.0,45.0,14.0,13.0,36.0,44.0,7.0,49.0,16.0,33.0,54.0,57.0,132.0,52.0,6.0
1060,2.0,5.0,3.0,1.0,23.0,7.0,54.0,12.0,38.0,10.0,4.0,48.0,53.0,1153.0,43.0,6.0,40.0,85.0,86.0,55.0,368.0,64.0,0.0,18.0,34.0,28.0,29.0,714.0,540.0,22.0
1109,0.0,3.0,1.0,2.0,30.0,15.0,56.0,5.0,280.0,4.0,6.0,8.0,60.0,4220.0,7.0,220.0,9.0,13.0,14.0,31.0,61.0,11.0,12.0,10.0,20.0,40.0,829.0,893.0,94.0,89.0
1158,1.0,0.0,2.0,19.0,309.0,4.0,14.0,25.0,114.0,7.0,11.0,9.0,67.0,92.0,33.0,13.0,20.0,16.0,15.0,35.0,706.0,12.0,10.0,8.0,90.0,29.0,73.0,31.0,707.0,37.0
1207,0.0,4.0,1.0,17.0,10.0,8.0,19.0,2.0,48.0,22.0,18.0,25.0,7.0,41.0,14.0,26.0,79.0,16.0,15.0,77.0,1380.0,32.0,3.0,47.0,35.0,20.0,118.0,76.0,1804.0,40.0
1256,0.0,2.0,1.0,6.0,58.0,3.0,7.0,29.0,35.0,9.0,17.0,24.0,41.0,74.0,38.0,54.0,221.0,4.0,5.0,19.0,82.0,30.0,11.0,23.0,22.0,12.0,28.0,386.0,101.0,204.0
1305,3.0,0.0,8.0,4.0,9.0,2.0,31.0,39.0,29.0,10.0,5.0,16.0,11.0,85.0,52.0,27.0,210.0,33.0,32.0,63.0,36.0,24.0,13.0,18.0,20.0,28.0,71.0,11877.0,45.0,70.0
1354,0.0,8.0,1.0,10.0,25.0,3.0,6.0,4.0,120.0,33.0,7.0,26.0,517.0,39.0,30.0,27.0,13.0,15.0,16.0,28.0,4307.0,34.0,2.0,32.0,20.0,18.0,36.0,278.0,7230.0,68.0
1403,1.0,4.0,2.0,5.0,85.0,0.0,14.0,13.0,47.0,12.0,8.0,29.0,16.0,120.0,7.0,30.0,45.0,20.0,19.0,51.0,579.0,41.0,3.0,36.0,37.0,694.0,145.0,191.0,927.0,10.0
1452,7.0,6.0,11.0,3.0,55.0,0.0,17.0,9.0,5.0,4.0,1.0,12.0,2.0,14.0,18.0,38.0,225.0,48.0,47.0,31.0,101.0,15.0,59.0,13.0,27.0,24.0,53.0,1196.0,137.0,42.0
1501,1.0,6.0,2.0,3.0,43.0,0.0,12.0,26.0,37.0,11.0,22.0,5.0,131.0,16.0,79.0,8.0,9.0,47.0,46.0,25.0,51.0,7.0,32.0,24.0,57.0,17.0,19.0,38.0,65.0,13.0
1550,3.0,17.0,7.0,1.0,8.0,0.0,5.0,15.0,54.0,27.0,70.0,6.0,41.0,12.0,34.0,19.0,48.0,13.0,14.0,33.0,25.0,9.0,2059.0,46.0,36.0,37.0,39.0,4.0,31.0,18.0
1599,1.0,14.0,3.0,2.0,178.0,5.0,6.0,17.0,90.0,241.0,9.0,91.0,821.0,0.0,21.0,94.0,20.0,24.0,23.0,12.0,45.0,151.0,175.0,677.0,77.0,19.0,7.0,40.0,44.0,101.0
1648,2.0,30.0,4.0,36.0,651.0,1.0,11.0,3.0,19.0,77.0,67.0,28.0,33.0,0.0,16.0,156.0,23.0,13.0,12.0,187.0,10.0,35.0,42.0,172.0,32.0,14.0,17.0,6.0,15.0,38.0
1697,44.0,0.0,54.0,2.0,8.0,1.0,11.0,6.0,9.0,39.0,156.0,10.0,49.0,66.0,29.0,21.0,7.0,33.0,34.0,90.0,16.0,15.0,176.0,57.0,52.0,19.0,17.0,18.0,24.0,3.0
1746,33.0,49.0,36.0,5.0,96.0,0.0,2.0,53.0,17.0,40.0,25.0,10.0,86.0,29.0,8.0,34.0,31.0,12.0,13.0,15.0,3.0,21.0,349.0,73.0,39.0,6.0,16.0,7.0,4.0,11.0
1795,7.0,5.0,6.0,0.0,38.0,4.0,14.0,40.0,25.0,45.0,53.0,12.0,44.0,3.0,13.0,58.0,11.0,21.0,22.0,24.0,89.0,15.0,56.0,85.0,23.0,39.0,8.0,26.0,105.0,90.0
1844,10.0,18.0,14.0,2.0,7.0,3.0,6.0,1.0,12.0,30.0,40.0,9.0,52.0,0.0,20.0,54.0,24.0,27.0,28.0,33.0,31.0,13.0,244.0,49.0,39.0,32.0,8.0,5.0,37.0,35.0
1893,24.0,1.0,28.0,4.0,5.0,11.0,14.0,540.0,7.0,36.0,43.0,12.0,10.0,0.0,27.0,74.0,8.0,16.0,15.0,33.0,31.0,17.0,83.0,62.0,55.0,85.0,25.0,6.0,35.0,29.0
1942,26.0,8.0,34.0,0.0,10.0,13.0,9.0,16.0,14.0,99.0,75.0,33.0,1439.0,1.0,3.0,37.0,6.0,105.0,104.0,28.0,434.0,32.0,64.0,98.0,25.0,2.0,22.0,5.0,655.0,46.0
1991,257.0,1.0,343.0,13.0,5.0,21.0,2.0,33.0,60.0,67.0,37.0,69.0,12.0,0.0,91.0,19.0,228.0,18.0,17.0,167.0,27.0,110.0,38.0,68.0,8.0,35.0,10.0,50.0,43.0,1435.0
2040,45.0,13.0,49.0,9.0,17.0,19.0,0.0,11.0,23.0,87.0,4.0,116.0,14.0,3.0,90.0,5.0,119.0,21.0,20.0,34.0,38.0,117.0,55.0,86.0,15.0,40.0,330.0,10.0,37.0,6.0
2089,38.0,10.0,47.0,134.0,1.0,12.0,6.0,4.0,22.0,69.0,24.0,45.0,2.0,21.0,75.0,3.0,40.0,34.0,35.0,46.0,5.0,74.0,20.0,68.0,9.0,14.0,199.0,44.0,7.0,17.0
2138,9.0,3.0,8.0,11.0,2.0,10.0,5.0,25.0,32.0,20.0,36.0,21.0,42.0,6.0,112.0,44.0,185.0,34.0,33.0,23.0,4.0,30.0,15.0,19.0,12.0,0.0,85.0,1.0,7.0,54.0
2187,6.0,0.0,11.0,24.0,12.0,1.0,3.0,17.0,22.0,10.0,15.0,2.0,13.0,5.0,215.0,16.0,95.0,34.0,33.0,31.0,27.0,4.0,49.0,9.0,78.0,117.0,68.0,54.0,37.0,44.0
2236,126.0,8.0,169.0,17.0,0.0,34.0,3.0,5.0,50.0,52.0,80.0,38.0,40.0,19.0,70.0,16.0,4.0,22.0,21.0,13.0,1.0,67.0,185.0,51.0,23.0,75.0,44.0,69.0,2.0,6.0
2285,10.0,3.0,15.0,27.0,4.0,24.0,1.0,0.0,113.0,45.0,69.0,42.0,2.0,23.0,107.0,17.0,64.0,81.0,80.0,56.0,7.0,47.0,63.0,44.0,91.0,9.0,46.0,332.0,13.0,6.0
2334,17.0,2.0,20.0,24.0,7.0,28.0,16.0,58.0,273.0,42.0,36.0,25.0,12.0,14.0,34.0,13.0,52.0,10.0,9.0,29.0,11.0,33.0,19.0,41.0,8.0,6.0,71.0,18.0,21.0,79.0
2383,879.0,1.0,1236.0,38.0,3.0,0.0,2.0,21.0,92.0,14.0,17.0,12.0,15.0,26.0,35.0,6.0,25.0,78.0,77.0,84.0,36.0,20.0,37.0,13.0,7.0,31.0,58.0,34.0,51.0,27.0
2432,25.0,1.0,30.0,37.0,11.0,0.0,15.0,2.0,461.0,21.0,33.0,6.0,10.0,4.0,39.0,113.0,32.0,24.0,23.0,18.0,3.0,9.0,7.0,20.0,17.0,12.0,57.0,22.0,5.0,95.0
2481,3.0,7.0,4.0,21.0,10.0,0.0,14.0,1.0,115.0,12.0,11.0,2.0,25.0,16.0,60.0,22.0,42.0,28.0,27.0,48.0,19.0,6.0,5.0,18.0,76.0,72.0,112.0,7310.0,24.0,1074.0
2530,0.0,10.0,1.0,4.0,5.0,9.0,12.0,3.0,22.0,8.0,18.0,11.0,47.0,2.0,140.0,16.0,289.0,37.0,36.0,46.0,6.0,15.0,17.0,13.0,34.0,32.0,184.0,20.0,7.0,63.0
2579,0.0,20.0,1.0,6.0,2.0,15.0,14.0,8.0,198.0,10.0,9.0,18.0,32.0,7.0,118.0,61.0,84.0,41.0,42.0,34.0,13.0,25.0,3.0,22.0,33.0,36.0,19.0,134.0,17.0,371.0
2628,0.0,14.0,1.0,4.0,26.0,43.0,38.0,29.0,63.0,15.0,22.0,45.0,57.0,74.0,136.0,17.0,67.0,273.0,274.0,93.0,2.0,66.0,30.0,28.0,86.0,6.0,40.0,257.0,3.0,5.0
2677,0.0,18.0,1.0,3.0,2.0,9.0,11.0,21.0,20.0,15.0,74.0,12.0,25.0,39.0,190.0,4.0,10.0,23.0,24.0,45.0,56.0,17.0,5.0,16.0,38.0,40.0,48.0,145.0,65.0,26.0
2726,1.0,8.0,2.0,21.0,0.0,3.0,4.0,18.0,12.0,9.0,10.0,11.0,22.0,50.0,35.0,5.0,258.0,157.0,156.0,31.0,28.0,16.0,15.0,14.0,73.0,160.0,33.0,279.0,29.0,349.0
2775,0.0,12.0,1.0,7.0,2.0,6.0,11.0,3.0,8.0,13.0,55.0,25.0,263.0,4.0,73.0,17.0,5.0,23.0,24.0,45.0,9.0,26.0,106.0,22.0,89.0,487.0,31.0,173.0,10.0,825.0
2824,3.0,12.0,5.0,7.0,4.0,0.0,15.0,9.0,128.0,1.0,11.0,2.0,62.0,21.0,117.0,27.0,10.0,59.0,60.0,29.0,13.0,8.0,16.0,6.0,20.0,87.0,19.0,57.0,14.0,41.0
2873,0.0,14.0,1.0,6.0,3.0,5.0,24.0,2.0,10460.0,7.0,38.0,11.0,31.0,21.0,51.0,292.0,8.0,45.0,44.0,76.0,10.0,18.0,4.0,15.0,75.0,12.0,39.0,30.0,13.0,1439.0
2922,0.0,12.0,1.0,14.0,3.0,10.0,17.0,2.0,36.0,4.0,22.0,21.0,239.0,116.0,982.0,11.0,7.0,6.0,5.0,56.0,18.0,27.0,13.0,15.0,730.0,92.0,155.0,86.0,24.0,59.0
2971,0.0,4.0,2.0,6.0,37.0,18.0,115.0,5.0,8.0,21.0,65.0,77.0,16.0,1.0,7.0,105.0,434.0,58.0,59.0,67.0,967.0,109.0,74.0,62.0,23.0,1381.0,3.0,79.0,1635.0,22.0
3020,0.0,6.0,2.0,4.0,7.0,39.0,79.0,17.0,3.0,22.0,8.0,84.0,42.0,423.0,11.0,5.0,70.0,44.0,43.0,19.0,377.0,116.0,104.0,63.0,13.0,90.0,1.0,75.0,564.0,21.0
3069,5.0,0.0,8.0,3.0,56.0,17.0,249.0,6.0,1.0,11.0,84.0,18.0,22.0,2.0,28.0,146.0,1040.0,15.0,14.0,30.0,207.0,29.0,67.0,12.0,58.0,123.0,4.0,210.0,275.0,131.0
3118,0.0,13.0,1.0,3.0,92.0,182.0,180.0,5.0,14.0,9.0,112.0,42.0,12.0,82.0,2.0,31.0,146.0,68.0,67.0,44.0,76.0,77.0,8.0,18.0,25.0,522.0,7.0,688.0,107.0,4.0
3167,12.0,2.0,19.0,3.0,17.0,18.0,111.0,0.0,51.0,15.0,5.0,33.0,9.0,1.0,4.0,61.0,220.0,223.0,222.0,78.0,7.0,57.0,43.0,32.0,16.0,308.0,10.0,119.0,14.0,20.0
3216,0.0,2.0,1.0,8.0,34.0,80.0,139.0,22.0,11.0,12.0,42.0,66.0,3.0,6.0,32.0,25.0,33.0,39.0,38.0,19.0,18.0,65.0,4.0,24.0,21.0,47.0,115.0,17.0,35.0,69.0
3265,1.0,8.0,0.0,13.0,3.0,1022.0,533.0,32.0,10.0,36.0,4.0,465.0,14.0,24.0,22.0,23.0,168.0,873.0,872.0,15.0,90.0,859.0,439.0,88.0,16.0,50.0,2.0,7691.0,149.0,48.0
3314,7.0,0.0,9.0,37.0,40.0,28.0,109.0,38.0,11.0,15.0,100.0,64.0,12.0,27.0,35.0,23.0,72.0,83.0,82.0,16.0,62.0,90.0,994.0,33.0,91.0,456.0,2.0,25.0,78.0,3.0
3363,0.0,24.0,1.0,10.0,20.0,9.0,60.0,12.0,8.0,19.0,13.0,18.0,7.0,4.0,3.0,128.0,63.0,100.0,101.0,31.0,28.0,25.0,112.0,41.0,17.0,1244.0,2.0,7237.0,29.0,48.0
3412,3.0,0.0,4.0,1.0,2.0,15.0,59.0,17.0,12.0,8.0,13.0,62.0,40.0,48.0,86.0,6.0,88.0,51.0,52.0,44.0,53.0,74.0,141.0,25.0,259.0,475.0,91.0,710.0,70.0,41.0
3461,24.0,0.0,30.0,34.0,257.0,1.0,13.0,65.0,35.0,4.0,12.0,23.0,51.0,33.0,8.0,115.0,7.0,5.0,6.0,17.0,275.0,28.0,500.0,16.0,21.0,10.0,3.0,131.0,276.0,38.0
3510,12.0,0.0,14.0,5.0,38.0,13.0,79.0,21.0,56.0,20.0,3.0,15.0,41.0,46.0,27.0,68.0,23.0,50.0,51.0,18.0,67.0,22.0,31.0,34.0,8.0,2.0,26.0,1.0,66.0,184.0
3559,4.0,0.0,6.0,2.0,13.0,1.0,17.0,240.0,111.0,12.0,24.0,29.0,10.0,94.0,7.0,133.0,18.0,49.0,48.0,19.0,38.0,41.0,8.0,26.0,14.0,9.0,11.0,5.0,37.0,58.0
3608,7.0,4.0,6.0,3.0,79.0,28.0,26.0,9.0,13.0,15.0,36.0,33.0,229.0,1643.0,43.0,71.0,5.0,23.0,22.0,18.0,244.0,42.0,20.0,27.0,16.0,8.0,24.0,14.0,245.0,19.0
3657,1.0,8.0,3.0,22.0,7.0,32.0,21.0,2.0,17.0,23.0,12.0,70.0,16.0,65.0,49.0,184.0,4.0,24.0,25.0,27.0,85.0,79.0,19.0,40.0,20.0,0.0,15.0,6.0,86.0,197.0
3706,17.0,1.0,22.0,5.0,0.0,31.0,72.0,124.0,4.0,40.0,8.0,110.0,56.0,47.0,13.0,28.0,10.0,15.0,16.0,20.0,154.0,184.0,29.0,97.0,32.0,9.0,51.0,2.0,153.0,24.0
3755,46.0,0.0,48.0,2.0,7.0,3.0,31.0,36.0,16.0,12.0,5.0,14.0,13.0,107.0,15.0,39.0,9.0,69.0,70.0,40.0,109.0,21.0,25.0,11.0,10.0,4.0,28.0,17.0,110.0,292.0
3804,0.0,8.0,1.0,24.0,7.0,34.0,42.0,86.0,26.0,21.0,5.0,43.0,6.0,13.0,46.0,12.0,4.0,14.0,15.0,77.0,513.0,54.0,9.0,39.0,2.0,17.0,19.0,18.0,512.0,341.0
3853,1.0,0.0,2.0,7.0,16.0,10.0,133.0,45.0,356.0,8.0,4.0,26.0,40.0,54.0,20.0,79.0,11.0,28.0,29.0,23.0,2834.0,25.0,43.0,15.0,17.0,42.0,24.0,41.0,2835.0,171.0
3902,0.0,8.0,1.0,7.0,2.0,46.0,37.0,104.0,18.0,21.0,9.0,121.0,24.0,23.0,48.0,294.0,6.0,66.0,65.0,14.0,62.0,160.0,3.0,40.0,33.0,257.0,5.0,68.0,61.0,13.0
3951,2.0,0.0,4.0,8.0,1.0,12.0,32.0,3.0,31.0,21.0,63.0,11.0,9.0,20.0,27.0,48.0,16.0,29.0,30.0,33.0,7.0,15.0,53.0,41.0,13.0,161.0,56.0,17.0,10.0,19.0
4000,0.0,37.0,1.0,20.0,60.0,47.0,145.0,7.0,41.0,83.0,19.0,169.0,2.0,4.0,16.0,44.0,326.0,33.0,32.0,11.0,14.0,267.0,23.0,213.0,24.0,133.0,21.0,38.0,17.0,40.0
4049,0.0,21.0,1.0,36.0,15.0,10.0,131.0,39.0,4.0,3.0,6.0,14.0,18.0,40.0,54.0,41.0,35.0,855.0,854.0,34.0,23.0,19.0,61.0,5.0,28.0,396.0,2.0,13.0,38.0,7.0
4098,0.0,2.0,1.0,15.0,24.0,11.0,30.0,5.0,196.0,13.0,27.0,25.0,33.0,43.0,34.0,31.0,19.0,51.0,50.0,23.0,20.0,37.0,7.0,29.0,12.0,172.0,10.0,45.0,22.0,16.0
4147,11.0,1.0,23.0,83.0,9.0,32.0,59.0,15.0,286.0,41.0,31.0,85.0,12.0,110.0,22.0,29.0,5.0,18.0,17.0,21.0,92.0,86.0,4.0,73.0,20.0,567.0,227.0,14.0,126.0,3.0
4196,0.0,44.0,1.0,4.0,5.0,7.0,108.0,20.0,226.0,8.0,15.0,16.0,3.0,28.0,26.0,37.0,31.0,57.0,58.0,18.0,147.0,19.0,2.0,17.0,48.0,30.0,21.0,6.0,231.0,25.0
4245,5.0,14.0,7.0,8.0,44.0,70.0,49.0,51.0,13.0,24.0,27.0,43.0,3.0,62.0,11.0,10.0,39.0,37.0,36.0,32.0,89.0,56.0,40.0,45.0,21.0,75.0,485.0,1.0,122.0,12.0
4294,0.0,19.0,1.0,22.0,4.0,23.0,20.0,2.0,37.0,24.0,8.0,43.0,27.0,129.0,14.0,57.0,13.0,52.0,51.0,79.0,54.0,47.0,9.0,44.0,10.0,327.0,3.0,212.0,53.0,16.0
4343,4.0,20.0,6.0,34.0,8.0,47.0,13.0,11.0,27.0,16.0,10.0,21.0,1.0,76.0,9.0,23.0,18.0,14.0,15.0,53.0,79.0,33.0,5.0,35.0,78.0,207.0,28.0,38.0,121.0,12.0
4392,1.0,61.0,2.0,52.0,51.0,25.0,37.0,21.0,32.0,35.0,18.0,29.0,3.0,20.0,19.0,13.0,27.0,65.0,64.0,26.0,14.0,39.0,0.0,36.0,9.0,122.0,69.0,8.0,17.0,15.0
4441,24.0,9.0,33.0,45.0,15.0,23.0,12.0,26.0,14.0,19.0,25.0,21.0,161.0,106.0,40.0,138.0,304.0,46.0,47.0,54.0,6.0,37.0,8.0,39.0,142.0,18.0,67.0,44.0,11.0,60.0
4490,17.0,1.0,22.0,0.0,3.0,2.0,31.0,111.0,26.0,11.0,47.0,9.0,224.0,39.0,58.0,33.0,43.0,61.0,60.0,24.0,161.0,12.0,37.0,10.0,99.0,46.0,91.0,73.0,257.0,710.0
4539,0.0,8.0,3.0,66.0,12.0,7.0,16.0,29.0,10.0,24.0,31.0,38.0,59.0,166.0,79.0,25.0,26.0,21.0,20.0,13.0,57.0,56.0,30.0,54.0,114.0,5.0,76.0,89.0,77.0,58.0
4588,10.0,0.0,13.0,14.0,7.0,8.0,17.0,970.0,2.0,38.0,12.0,52.0,46.0,294.0,25.0,6.0,27.0,96.0,95.0,49.0,63.0,73.0,21.0,72.0,69.0,9.0,35.0,39.0,64.0,5.0
4637,0.0,13.0,1.0,8.0,7.0,18.0,30.0,261.0,5.0,29.0,57.0,47.0,17.0,3521.0,160.0,36.0,439.0,26.0,25.0,14.0,6.0,69.0,63.0,60.0,102.0,12.0,8674.0,3.0,11.0,22.0
4686,14.0,0.0,15.0,1.0,8.0,2.0,32.0,30.0,12.0,5.0,89.0,3.0,27.0,84.0,57.0,24.0,39.0,60.0,59.0,49.0,6.0,4.0,87.0,13.0,79.0,56.0,11.0,20.0,7.0,114.0
4735,11.0,0.0,19.0,3.0,1.0,13.0,75.0,2091.0,2.0,24.0,22.0,53.0,32.0,20.0,83.0,5.0,9.0,38.0,37.0,28.0,70.0,100.0,95.0,55.0,68.0,63.0,21.0,36.0,103.0,99.0
4784,9.0,0.0,8.0,30.0,5.0,4.0,28.0,172.0,10.0,6.0,32.0,12.0,62.0,2376.0,20.0,59.0,22.0,198.0,199.0,47.0,31.0,17.0,18.0,11.0,46.0,26.0,54.0,41.0,36.0,16.0
4833,6.0,0.0,9.0,3.0,18.0,8.0,10.0,956.0,4.0,11.0,7.0,22.0,237.0,280.0,396.0,28.0,41.0,35.0,36.0,300.0,30.0,23.0,29.0,27.0,53.0,66.0,897.0,179.0,44.0,98.0
4882,4.0,0.0,5.0,3.0,85.0,7.0,67.0,57.0,8.0,9.0,43.0,14.0,90.0,4065.0,36.0,61.0,362.0,50.0,49.0,22.0,47.0,18.0,39.0,23.0,32.0,13.0,101.0,44.0,55.0,12.0
