,Shc_pY317,P-Cadherin,Rab25,E-Cadherin,Akt,Syk,EGFR_pY1068,VHL,RSK1-2-3,Lck,EGFR,ADAR1,C-Raf(MP05-739),HER3,PRAS40_pT246,Claudin-7,4E-BP1_pS65,p21,Bim(EP1036),C-Raf(BD610151),HER2_pY1248,Annexin_VII,PAI-1,AR,Rictor_pT1135,VAV1,S6_pS235_S236,alpha-Catenin,N-Cadherin,SHP-2_pY542
3136,1.0,0.0,2.0,5.0,6.0,3.0,10.0,4.0,20.0,9.0,15.0,22.0,7.0,31.0,8.0,12.0,13.0,42.0,17.0,18.0,21.0,71.0,11.0,16.0,73.0,56.0,24.0,23.0,26.0,40.0
3185,2.0,1.0,4.0,3.0,5.0,8.0,6.0,13.0,14.0,15.0,18.0,0.0,20.0,25.0,7.0,16.0,24.0,27.0,43.0,28.0,58.0,51.0,10.0,9.0,63.0,87.0,12.0,48.0,30.0,40.0
3234,2.0,3.0,1.0,0.0,8.0,4.0,18.0,6.0,10.0,9.0,13.0,5.0,15.0,21.0,14.0,16.0,12.0,11.0,43.0,82.0,104.0,158.0,7.0,17.0,19.0,34.0,30.0,20.0,47.0,81.0
3283,4.0,0.0,2.0,1.0,9.0,6.0,13.0,10.0,8.0,3.0,30.0,12.0,16.0,14.0,7.0,19.0,5.0,23.0,38.0,31.0,26.0,119.0,15.0,11.0,18.0,22.0,29.0,24.0,32.0,80.0
3332,5.0,2.0,6.0,0.0,9.0,1.0,7.0,3.0,4.0,37.0,100.0,14.0,12.0,11.0,8.0,10.0,17.0,30.0,48.0,28.0,24.0,40.0,53.0,13.0,22.0,86.0,78.0,50.0,32.0,27.0
3381,0.0,1.0,5.0,2.0,8.0,3.0,15.0,9.0,20.0,7.0,21.0,14.0,13.0,25.0,4.0,11.0,6.0,16.0,29.0,12.0,18.0,31.0,33.0,26.0,17.0,44.0,34.0,28.0,47.0,23.0
3430,0.0,1.0,2.0,3.0,18.0,7.0,9.0,11.0,10.0,4.0,14.0,22.0,19.0,16.0,68.0,6.0,13.0,32.0,23.0,26.0,5.0,39.0,25.0,15.0,8.0,71.0,24.0,77.0,17.0,35.0
3479,0.0,1.0,2.0,3.0,8.0,22.0,7.0,6.0,10.0,9.0,39.0,28.0,13.0,17.0,73.0,26.0,16.0,5.0,20.0,19.0,21.0,15.0,24.0,12.0,4.0,42.0,54.0,59.0,92.0,18.0
3528,2.0,0.0,1.0,3.0,5.0,24.0,4.0,7.0,8.0,9.0,22.0,17.0,21.0,19.0,23.0,25.0,29.0,12.0,51.0,74.0,10.0,16.0,30.0,15.0,6.0,14.0,13.0,95.0,20.0,28.0
3577,3.0,0.0,1.0,2.0,15.0,8.0,10.0,5.0,6.0,7.0,11.0,18.0,21.0,36.0,23.0,25.0,9.0,4.0,54.0,12.0,17.0,16.0,19.0,13.0,22.0,40.0,73.0,104.0,35.0,31.0
3626,0.0,3.0,6.0,1.0,14.0,27.0,8.0,2.0,4.0,5.0,7.0,47.0,18.0,121.0,32.0,24.0,55.0,46.0,63.0,37.0,23.0,21.0,17.0,13.0,9.0,38.0,57.0,19.0,10.0,56.0
3675,1.0,3.0,2.0,0.0,8.0,9.0,4.0,6.0,5.0,11.0,15.0,51.0,40.0,43.0,14.0,31.0,13.0,16.0,18.0,12.0,35.0,7.0,21.0,19.0,30.0,49.0,24.0,44.0,17.0,75.0
3724,0.0,2.0,1.0,3.0,12.0,15.0,6.0,8.0,4.0,25.0,20.0,17.0,14.0,22.0,42.0,11.0,5.0,13.0,23.0,19.0,10.0,7.0,21.0,24.0,16.0,52.0,57.0,80.0,9.0,26.0
3773,0.0,2.0,4.0,3.0,1.0,8.0,7.0,5.0,6.0,37.0,32.0,35.0,17.0,20.0,137.0,11.0,12.0,18.0,31.0,41.0,15.0,9.0,21.0,13.0,46.0,67.0,16.0,44.0,19.0,23.0
3822,2.0,0.0,3.0,1.0,6.0,5.0,12.0,7.0,4.0,9.0,51.0,13.0,16.0,20.0,11.0,10.0,46.0,22.0,36.0,8.0,21.0,19.0,17.0,33.0,56.0,39.0,15.0,24.0,14.0,98.0
3871,0.0,1.0,6.0,3.0,7.0,9.0,4.0,5.0,12.0,18.0,16.0,71.0,17.0,32.0,28.0,2.0,13.0,10.0,49.0,30.0,56.0,8.0,34.0,67.0,15.0,74.0,35.0,59.0,11.0,52.0
3920,1.0,0.0,2.0,3.0,7.0,4.0,5.0,47.0,10.0,6.0,22.0,39.0,20.0,9.0,14.0,15.0,16.0,31.0,13.0,8.0,11.0,57.0,150.0,18.0,12.0,35.0,28.0,41.0,26.0,17.0
3969,0.0,2.0,1.0,4.0,15.0,6.0,3.0,19.0,7.0,13.0,9.0,17.0,31.0,21.0,8.0,18.0,25.0,14.0,30.0,5.0,12.0,106.0,101.0,23.0,22.0,97.0,126.0,100.0,10.0,11.0
4018,2.0,5.0,0.0,1.0,16.0,4.0,13.0,8.0,7.0,12.0,18.0,25.0,9.0,3.0,14.0,15.0,21.0,10.0,17.0,11.0,6.0,35.0,40.0,22.0,19.0,66.0,91.0,30.0,56.0,33.0
4067,0.0,2.0,1.0,4.0,16.0,9.0,8.0,21.0,3.0,14.0,11.0,22.0,17.0,12.0,6.0,13.0,29.0,15.0,31.0,10.0,7.0,116.0,40.0,28.0,5.0,33.0,150.0,18.0,72.0,37.0
4116,2.0,0.0,1.0,3.0,9.0,4.0,6.0,12.0,11.0,7.0,19.0,16.0,13.0,10.0,15.0,18.0,54.0,5.0,32.0,8.0,44.0,47.0,17.0,30.0,31.0,25.0,63.0,14.0,20.0,29.0
4165,0.0,3.0,1.0,2.0,7.0,4.0,5.0,10.0,12.0,11.0,13.0,14.0,9.0,20.0,17.0,18.0,19.0,8.0,26.0,6.0,15.0,16.0,28.0,37.0,44.0,38.0,119.0,50.0,60.0,21.0
4214,0.0,1.0,2.0,8.0,12.0,7.0,4.0,9.0,29.0,5.0,6.0,25.0,16.0,10.0,39.0,19.0,21.0,13.0,34.0,3.0,23.0,15.0,51.0,18.0,11.0,24.0,81.0,40.0,26.0,14.0
4263,0.0,6.0,10.0,12.0,5.0,1.0,7.0,8.0,23.0,3.0,11.0,17.0,37.0,13.0,35.0,21.0,52.0,2.0,18.0,9.0,22.0,25.0,31.0,16.0,4.0,14.0,27.0,15.0,132.0,20.0
4312,0.0,2.0,5.0,11.0,13.0,3.0,4.0,12.0,7.0,9.0,10.0,8.0,18.0,15.0,17.0,23.0,29.0,6.0,22.0,1.0,14.0,21.0,27.0,19.0,25.0,89.0,30.0,127.0,39.0,24.0
4361,0.0,1.0,2.0,3.0,33.0,4.0,8.0,5.0,14.0,9.0,36.0,10.0,15.0,16.0,13.0,51.0,59.0,6.0,12.0,7.0,20.0,30.0,39.0,29.0,11.0,19.0,23.0,82.0,76.0,21.0
4410,1.0,0.0,2.0,4.0,3.0,5.0,7.0,8.0,6.0,43.0,10.0,12.0,22.0,9.0,90.0,19.0,31.0,14.0,17.0,11.0,13.0,21.0,78.0,27.0,53.0,29.0,50.0,20.0,16.0,24.0
4459,0.0,7.0,11.0,1.0,3.0,6.0,5.0,4.0,2.0,21.0,9.0,12.0,13.0,10.0,47.0,48.0,19.0,27.0,15.0,16.0,14.0,8.0,38.0,45.0,35.0,24.0,74.0,18.0,17.0,101.0
4508,3.0,0.0,4.0,1.0,5.0,8.0,12.0,2.0,7.0,14.0,10.0,11.0,20.0,9.0,13.0,16.0,54.0,18.0,6.0,15.0,24.0,22.0,17.0,31.0,41.0,92.0,49.0,21.0,26.0,38.0
4557,5.0,1.0,7.0,2.0,0.0,3.0,12.0,4.0,6.0,11.0,18.0,14.0,9.0,21.0,22.0,33.0,28.0,25.0,10.0,8.0,19.0,24.0,31.0,27.0,75.0,58.0,59.0,20.0,15.0,44.0
4606,0.0,3.0,6.0,2.0,1.0,5.0,26.0,9.0,4.0,15.0,16.0,10.0,7.0,14.0,21.0,13.0,23.0,37.0,11.0,8.0,25.0,29.0,24.0,31.0,110.0,70.0,117.0,12.0,18.0,66.0
4655,1.0,2.0,8.0,3.0,0.0,6.0,4.0,21.0,19.0,18.0,7.0,14.0,9.0,10.0,33.0,45.0,17.0,62.0,5.0,27.0,16.0,12.0,32.0,13.0,83.0,23.0,116.0,31.0,20.0,34.0
4704,1.0,2.0,7.0,3.0,0.0,10.0,4.0,13.0,14.0,9.0,8.0,5.0,11.0,6.0,61.0,15.0,30.0,26.0,20.0,17.0,16.0,24.0,21.0,18.0,91.0,50.0,56.0,39.0,37.0,161.0
4753,1.0,4.0,3.0,0.0,5.0,7.0,10.0,8.0,14.0,20.0,2.0,9.0,13.0,27.0,24.0,22.0,33.0,19.0,15.0,21.0,11.0,6.0,12.0,31.0,125.0,34.0,119.0,17.0,23.0,116.0
4802,0.0,2.0,22.0,3.0,1.0,7.0,6.0,19.0,8.0,5.0,4.0,18.0,23.0,10.0,39.0,21.0,36.0,12.0,28.0,17.0,71.0,9.0,15.0,13.0,82.0,20.0,104.0,74.0,25.0,27.0
4851,0.0,3.0,12.0,4.0,1.0,26.0,9.0,15.0,7.0,14.0,2.0,10.0,23.0,6.0,17.0,20.0,28.0,46.0,5.0,11.0,33.0,8.0,32.0,24.0,34.0,35.0,82.0,13.0,50.0,81.0
