,EP300_MUT,ADAM5_DEL,ADAM3A_DEL,OR2T11_AMP,ZNF438_DEL,HERC2P2_AMP,SIRPB1_AMP,SLC7A5P2_DEL,ADCY8_DEL,FAM190A_DEL,MCEE_AMP,C10orf11_DEL,LPA_AMP,HLA-H_DEL,SLC25A37_AMP,FMN2_AMP,NPIPL3_DEL,OR51A4_DEL,LOC100190986_DEL,LINC00202_AMP,RBFOX1_DEL,KALRN_MUT,SLC44A5_DEL,TOP2B_MUT,OR52N1_DEL,LOC100271836_DEL,AATK_AMP,PSG4_DEL,LOC284344_DEL,LRRC37A_AMP
1549,3.0,0.0,1.0,9.0,31.0,4.0,12.0,17.0,11.0,2.0,7.0,26.0,18.0,8.0,10.0,707.0,34.0,5.0,35.0,85.0,25.0,23.0,49.0,119.0,62.0,36.0,21.0,38.0,29.0,93.0
1598,2.0,0.0,1.0,20.0,44.0,8.0,32.0,33.0,16.0,6.0,11.0,3.0,46.0,7.0,22.0,9.0,56.0,21.0,57.0,80.0,78.0,31.0,94.0,29.0,4.0,65.0,10.0,13.0,15.0,48.0
1647,1.0,0.0,2.0,35.0,15.0,3.0,171.0,13.0,46.0,5.0,16.0,6.0,17.0,26.0,4.0,44.0,11.0,12.0,10.0,59.0,34.0,30.0,70.0,45.0,7.0,14.0,37.0,38.0,39.0,131.0
1696,0.0,1.0,2.0,53.0,6.0,3.0,24.0,21.0,18.0,9.0,5.0,4.0,13.0,16.0,39.0,12.0,31.0,8.0,32.0,43.0,38.0,123.0,46.0,35.0,10.0,34.0,23.0,28.0,42.0,72.0
1745,0.0,1.0,2.0,9.0,44.0,10.0,67.0,14.0,23.0,3.0,8.0,6.0,63.0,7.0,24.0,62.0,34.0,25.0,33.0,72.0,41.0,15.0,79.0,49.0,19.0,69.0,5.0,50.0,68.0,4.0
1794,1.0,4.0,5.0,24.0,38.0,2.0,32.0,16.0,27.0,6.0,18.0,12.0,9.0,7.0,13.0,20.0,35.0,3.0,34.0,53.0,29.0,25.0,101.0,43.0,15.0,40.0,47.0,31.0,17.0,325.0
1843,0.0,9.0,12.0,5.0,64.0,8.0,91.0,14.0,17.0,27.0,37.0,11.0,43.0,2.0,15.0,1.0,21.0,87.0,22.0,46.0,41.0,35.0,912.0,16.0,13.0,30.0,23.0,19.0,25.0,139.0
1892,0.0,1.0,2.0,23.0,12.0,5.0,235.0,16.0,29.0,8.0,9.0,15.0,22.0,3.0,46.0,58.0,21.0,6.0,20.0,36.0,25.0,13.0,595.0,32.0,4.0,35.0,17.0,14.0,27.0,52.0
1941,1.0,0.0,2.0,12.0,19.0,3.0,78.0,8.0,31.0,4.0,37.0,5.0,15.0,26.0,44.0,7.0,18.0,10.0,17.0,101.0,84.0,23.0,74.0,30.0,6.0,21.0,43.0,20.0,13.0,16.0
1990,0.0,1.0,3.0,5.0,8.0,20.0,2.0,11.0,9.0,38.0,15.0,30.0,73.0,6.0,26.0,33.0,21.0,27.0,22.0,18.0,24.0,7.0,74.0,25.0,36.0,29.0,81.0,14.0,13.0,12.0
2039,2.0,0.0,1.0,10.0,3.0,5.0,80.0,6.0,8.0,18.0,20.0,37.0,16.0,24.0,47.0,350.0,15.0,4.0,14.0,19.0,17.0,9.0,11.0,25.0,124.0,12.0,77.0,21.0,23.0,46.0
2088,1.0,0.0,2.0,9.0,25.0,17.0,27.0,14.0,3.0,75.0,29.0,5.0,6.0,8.0,7.0,11.0,36.0,18.0,37.0,35.0,10.0,31.0,4.0,30.0,58.0,41.0,33.0,20.0,22.0,46.0
2137,1.0,0.0,2.0,25.0,28.0,583.0,14.0,11.0,9.0,90.0,17.0,27.0,5.0,10.0,29.0,41.0,16.0,3.0,15.0,21.0,18.0,30.0,13.0,70.0,56.0,22.0,62.0,6.0,7.0,39.0
2186,2.0,0.0,1.0,4.0,13.0,8.0,3.0,5.0,7.0,40.0,12.0,11.0,6.0,99.0,10.0,37.0,14.0,9.0,15.0,18.0,31.0,21.0,17.0,26.0,41.0,16.0,70.0,71.0,72.0,30.0
2235,2.0,0.0,1.0,4.0,9.0,21.0,46.0,13.0,14.0,34.0,10.0,24.0,33.0,3.0,93.0,27.0,30.0,5.0,29.0,11.0,61.0,25.0,8.0,16.0,67.0,35.0,40.0,18.0,17.0,15.0
2284,2.0,0.0,1.0,11.0,9.0,8.0,48.0,12.0,3.0,20.0,75.0,7.0,39.0,31.0,4.0,15.0,17.0,5.0,18.0,44.0,24.0,36.0,10.0,30.0,41.0,25.0,43.0,13.0,14.0,42.0
2333,0.0,1.0,2.0,5.0,38.0,26.0,43.0,9.0,3.0,162.0,27.0,21.0,12.0,59.0,4.0,36.0,23.0,28.0,22.0,62.0,10.0,15.0,19.0,18.0,16.0,25.0,37.0,7.0,8.0,58.0
2382,2.0,0.0,1.0,4.0,25.0,69.0,5.0,21.0,18.0,100.0,27.0,46.0,43.0,3.0,15.0,12.0,20.0,54.0,19.0,75.0,28.0,39.0,23.0,49.0,238.0,24.0,90.0,9.0,11.0,1053.0
2431,2.0,0.0,1.0,8.0,23.0,10.0,132.0,16.0,4.0,73.0,38.0,17.0,12.0,33.0,26.0,6.0,28.0,21.0,29.0,19.0,58.0,20.0,22.0,32.0,5.0,27.0,70.0,7.0,9.0,24.0
2480,0.0,1.0,2.0,5.0,14.0,16.0,3.0,17.0,19.0,26.0,20.0,7.0,56.0,130.0,12.0,13.0,32.0,84.0,31.0,44.0,9.0,42.0,8.0,28.0,6.0,58.0,55.0,36.0,52.0,4.0
2529,2.0,0.0,1.0,4.0,10.0,20.0,3.0,15.0,13.0,11.0,34.0,5.0,16.0,632.0,24.0,22.0,43.0,70.0,44.0,41.0,27.0,167.0,30.0,33.0,29.0,53.0,84.0,6481.0,10547.0,7.0
2578,0.0,1.0,2.0,3.0,8.0,9.0,7.0,20.0,5.0,10.0,18.0,6.0,123.0,25.0,12.0,36.0,31.0,50.0,32.0,51.0,90.0,13.0,11.0,29.0,142.0,52.0,27.0,35.0,39.0,4.0
2627,0.0,1.0,2.0,4.0,9.0,7.0,10.0,15.0,5.0,19.0,54.0,11.0,28.0,84.0,20.0,63.0,31.0,46.0,30.0,60.0,67.0,32.0,17.0,34.0,298.0,47.0,12.0,23.0,33.0,3.0
2676,0.0,1.0,3.0,2.0,32.0,26.0,7.0,13.0,14.0,31.0,40.0,9.0,731.0,17.0,139.0,5.0,21.0,10.0,22.0,43.0,47.0,54.0,36.0,52.0,33.0,25.0,35.0,23.0,39.0,15.0
2725,0.0,1.0,2.0,3.0,31.0,21.0,10.0,12.0,5.0,36.0,14.0,8.0,15.0,123.0,16.0,6.0,24.0,22.0,23.0,34.0,70.0,17.0,20.0,35.0,50.0,33.0,26.0,121.0,220.0,4.0
2774,2.0,0.0,1.0,8.0,20.0,6.0,13.0,49.0,24.0,4.0,33.0,9.0,21.0,140.0,154.0,17.0,93.0,38.0,94.0,25.0,147.0,37.0,34.0,26.0,31.0,152.0,42.0,80.0,50.0,3.0
2823,0.0,1.0,2.0,6.0,39.0,14.0,3.0,29.0,4.0,9.0,36.0,15.0,81.0,20.0,8.0,26.0,17.0,37.0,18.0,47.0,49.0,22.0,28.0,68.0,181.0,30.0,43.0,35.0,40.0,5.0
2872,0.0,1.0,2.0,4.0,13.0,8.0,19.0,16.0,9.0,20.0,6.0,3.0,53.0,10.0,30.0,11.0,22.0,219.0,23.0,18.0,35.0,14.0,96.0,28.0,46.0,33.0,26.0,36.0,43.0,5.0
2921,0.0,1.0,2.0,6.0,11.0,9.0,56.0,20.0,12.0,17.0,7.0,8.0,63.0,19.0,83.0,15.0,47.0,13.0,46.0,18.0,80.0,29.0,75.0,24.0,53.0,50.0,73.0,34.0,72.0,3.0
2970,0.0,1.0,2.0,14.0,5.0,8.0,3.0,44.0,98.0,10.0,12.0,24.0,33.0,109.0,13.0,28.0,45.0,106.0,46.0,55.0,11.0,19.0,125.0,42.0,22.0,50.0,80.0,18.0,17.0,9.0
3019,2.0,0.0,1.0,15.0,5.0,58.0,13.0,46.0,86.0,41.0,11.0,40.0,19.0,50.0,12.0,88.0,49.0,16.0,48.0,14.0,47.0,10.0,99.0,6.0,43.0,54.0,93.0,9.0,18.0,610.0
3068,2.0,0.0,1.0,25.0,8.0,9.0,16.0,17.0,33.0,18.0,28.0,4.0,61.0,59.0,7.0,145.0,13.0,34.0,12.0,44.0,108.0,26.0,69.0,38.0,30.0,21.0,55.0,11.0,10.0,1237.0
3117,0.0,1.0,2.0,47.0,3.0,7.0,36.0,15.0,32.0,5.0,17.0,20.0,12.0,1778.0,18.0,14.0,10.0,21.0,9.0,24.0,63.0,25.0,37.0,13.0,112.0,19.0,29.0,143.0,139.0,281.0
3166,0.0,1.0,2.0,38.0,55.0,24.0,3.0,13.0,39.0,27.0,7.0,21.0,139.0,2188.0,28.0,4.0,9.0,26.0,10.0,22.0,67.0,32.0,95.0,80.0,30.0,14.0,65.0,12.0,6.0,59.0
3215,2.0,0.0,1.0,6.0,8.0,15.0,3.0,66.0,71.0,11.0,5.0,42.0,30.0,25.0,110.0,64.0,44.0,111.0,45.0,9.0,35.0,31.0,53.0,92.0,65.0,74.0,49.0,16.0,13.0,4.0
3264,2.0,0.0,1.0,16.0,4.0,12.0,9.0,8.0,32.0,21.0,31.0,36.0,384.0,1074.0,20.0,24.0,11.0,39.0,10.0,13.0,22.0,53.0,77.0,28.0,167.0,14.0,41.0,162.0,126.0,23.0
3313,0.0,1.0,2.0,17.0,5.0,9.0,8.0,41.0,29.0,6.0,22.0,12.0,10.0,1636.0,7.0,37.0,33.0,21.0,34.0,16.0,64.0,36.0,26.0,27.0,67.0,49.0,24.0,55.0,48.0,74.0
3362,1.0,0.0,2.0,19.0,22.0,119.0,5.0,15.0,107.0,109.0,10.0,582.0,14.0,1133.0,6.0,37.0,12.0,146.0,11.0,25.0,58.0,30.0,102.0,20.0,35.0,32.0,31.0,13.0,16.0,81.0
3411,0.0,1.0,2.0,5.0,7.0,17.0,4.0,56.0,280.0,8.0,10.0,23.0,11.0,13.0,2407.0,30.0,48.0,32.0,49.0,15.0,26.0,44.0,3820.0,16.0,66.0,71.0,88.0,77.0,67.0,165.0
3460,0.0,1.0,2.0,35.0,12.0,3.0,138.0,18.0,11.0,5.0,14.0,20.0,47.0,23.0,4.0,55.0,25.0,10.0,26.0,15.0,28.0,16.0,21.0,48.0,30.0,39.0,9.0,53.0,36.0,61.0
3509,0.0,1.0,2.0,31.0,3.0,28.0,589.0,17.0,18.0,5.0,8.0,29.0,11.0,42.0,19.0,259.0,25.0,12.0,26.0,10.0,13.0,23.0,6.0,33.0,16.0,37.0,20.0,71.0,82.0,1297.0
3558,0.0,1.0,2.0,5.0,11.0,18.0,488.0,13.0,3.0,43.0,94.0,95.0,8.0,15.0,28.0,80.0,36.0,288.0,35.0,9.0,21.0,27.0,12.0,45.0,7.0,46.0,19.0,42.0,23.0,37.0
3607,1.0,0.0,2.0,13.0,10.0,8.0,44.0,34.0,14.0,17.0,11.0,6.0,12.0,21.0,7.0,45.0,67.0,100.0,68.0,50.0,102.0,170.0,29.0,66.0,22.0,92.0,97.0,53.0,37.0,107.0
3656,0.0,1.0,2.0,10.0,42.0,5.0,313.0,15.0,30.0,12.0,54.0,9.0,20.0,6.0,19.0,653.0,24.0,111.0,25.0,22.0,53.0,17.0,76.0,32.0,3.0,39.0,60.0,7.0,4.0,21.0
3705,2.0,0.0,1.0,17.0,4.0,18.0,178.0,31.0,16.0,9.0,10.0,63.0,97.0,5.0,55.0,57.0,76.0,95.0,75.0,13.0,78.0,23.0,19.0,53.0,6.0,74.0,12.0,22.0,45.0,20.0
3754,0.0,1.0,2.0,74.0,5.0,33.0,66.0,52.0,4.0,9.0,22.0,21.0,186.0,25.0,38.0,41.0,80.0,102.0,79.0,13.0,58.0,12.0,27.0,26.0,14.0,161.0,17.0,7.0,8.0,10.0
3803,0.0,1.0,2.0,19.0,3.0,13.0,6.0,71.0,5.0,4.0,8.0,22.0,9.0,7.0,12.0,2032.0,103.0,37.0,102.0,28.0,23.0,11.0,39.0,65.0,18.0,149.0,32.0,16.0,17.0,34.0
3852,2.0,0.0,1.0,3.0,26.0,12.0,7.0,24.0,10.0,48.0,59.0,19.0,75.0,4.0,17.0,8.0,21.0,143.0,22.0,53.0,57.0,124.0,55.0,68.0,42.0,29.0,18.0,54.0,49.0,47.0
3901,0.0,1.0,2.0,22.0,5.0,3.0,59.0,21.0,10.0,26.0,24.0,25.0,17.0,4.0,7.0,663.0,48.0,81.0,49.0,14.0,44.0,47.0,9.0,110.0,39.0,67.0,34.0,36.0,43.0,8.0
3950,1.0,0.0,2.0,14.0,9.0,19.0,3.0,7.0,6.0,18.0,12.0,15.0,32.0,2344.0,8.0,96.0,10.0,4.0,11.0,65.0,23.0,83.0,13.0,289.0,34.0,17.0,40.0,58.0,55.0,78.0
3999,1.0,0.0,2.0,24.0,3.0,15.0,6.0,13.0,52.0,12.0,5.0,20.0,18.0,86.0,7.0,47.0,11.0,22.0,10.0,29.0,38.0,34.0,23.0,31.0,40.0,16.0,55.0,192.0,236.0,35.0
4048,1.0,2.0,3.0,14.0,4.0,0.0,5.0,9.0,32.0,17.0,7.0,27.0,31.0,97.0,6.0,229.0,13.0,19.0,12.0,25.0,8.0,16.0,62.0,23.0,20.0,22.0,45.0,61.0,54.0,82.0
4097,1.0,0.0,2.0,55.0,3.0,46.0,4.0,13.0,61.0,6.0,16.0,11.0,26.0,9147.0,5.0,99.0,18.0,60.0,17.0,22.0,7.0,19.0,47.0,24.0,15.0,25.0,63.0,197.0,215.0,8.0
4146,0.0,1.0,2.0,9.0,7.0,56.0,3.0,10.0,43.0,18.0,14.0,15.0,29.0,16.0,8.0,4.0,27.0,87.0,26.0,80.0,20.0,39.0,34.0,21.0,28.0,32.0,44.0,243.0,281.0,166.0
4195,1.0,0.0,2.0,9.0,5.0,3.0,20.0,15.0,13.0,12.0,7.0,16.0,18.0,65.0,4.0,19.0,24.0,25.0,23.0,27.0,11.0,43.0,17.0,28.0,6.0,30.0,45.0,85.0,117.0,39.0
4244,2.0,0.0,1.0,28.0,5.0,37.0,10.0,13.0,6.0,35.0,12.0,9.0,38.0,1053.0,3.0,52.0,33.0,15.0,34.0,11.0,8.0,30.0,7.0,26.0,24.0,50.0,43.0,32.0,17.0,96.0
4293,0.0,1.0,2.0,14.0,3.0,6.0,13.0,10.0,11.0,9.0,42.0,7.0,16.0,634.0,5.0,93.0,21.0,26.0,20.0,17.0,22.0,44.0,8.0,30.0,24.0,29.0,31.0,92.0,112.0,62.0
4342,0.0,1.0,2.0,68.0,3.0,5.0,4.0,8.0,10.0,6.0,39.0,18.0,43.0,500.0,21.0,115.0,13.0,31.0,14.0,44.0,9.0,40.0,28.0,33.0,34.0,16.0,47.0,63.0,69.0,25.0
4391,0.0,1.0,2.0,66.0,7.0,1495.0,12.0,5.0,25.0,39.0,13.0,35.0,23.0,1391.0,10.0,199.0,14.0,30.0,15.0,61.0,6.0,26.0,8.0,11.0,19.0,29.0,24.0,28.0,48.0,190.0
4440,0.0,2.0,3.0,6.0,15.0,23.0,14.0,29.0,17.0,25.0,41.0,51.0,98.0,4.0,27.0,5.0,20.0,11.0,19.0,12.0,24.0,7.0,67.0,44.0,62.0,32.0,39.0,174.0,101.0,26.0
4489,2.0,0.0,1.0,8.0,11.0,42.0,7.0,14.0,40.0,29.0,20.0,48.0,15.0,16.0,36.0,6.0,25.0,53.0,24.0,28.0,5.0,9.0,52.0,26.0,100.0,32.0,132.0,19.0,13.0,27.0
4538,2.0,0.0,1.0,4.0,37.0,63.0,11.0,28.0,62.0,3.0,20.0,88.0,18.0,10.0,208.0,23.0,41.0,22.0,42.0,26.0,44.0,14.0,105.0,34.0,67.0,54.0,81.0,70.0,48.0,39.0
4587,1.0,0.0,2.0,4.0,12.0,66.0,26.0,18.0,24.0,14.0,13.0,92.0,8.0,3.0,58.0,9.0,32.0,16.0,33.0,17.0,15.0,7.0,71.0,23.0,76.0,34.0,41.0,95.0,97.0,47.0
4636,1.0,0.0,2.0,4.0,12.0,21.0,5.0,41.0,32.0,3.0,69.0,45.0,9.0,13.0,51.0,10.0,63.0,7.0,62.0,23.0,20.0,19.0,55.0,29.0,99.0,77.0,56.0,301.0,147.0,17.0
4685,0.0,3.0,4.0,5.0,17.0,60.0,61.0,22.0,32.0,15.0,40.0,87.0,9.0,33.0,138.0,1.0,37.0,2.0,36.0,10.0,41.0,8.0,164.0,11.0,199.0,52.0,38.0,31.0,20.0,1778.0
4734,0.0,1.0,6.0,2.0,5.0,21.0,20.0,28.0,12.0,8.0,22.0,74.0,7.0,16.0,30.0,10.0,39.0,9.0,38.0,13.0,23.0,14.0,64.0,57.0,2347.0,50.0,40.0,115.0,60.0,53.0
4783,4.0,0.0,1.0,2.0,22.0,12.0,3.0,26.0,24.0,6.0,23.0,42.0,13.0,10.0,74.0,5.0,32.0,11.0,33.0,34.0,29.0,30.0,25.0,76.0,195.0,39.0,78.0,60.0,36.0,14.0
4832,0.0,2.0,4.0,7.0,1.0,17.0,8.0,27.0,81.0,5.0,50.0,61.0,9.0,12.0,32.0,11.0,44.0,3.0,45.0,13.0,34.0,6.0,84.0,20.0,42.0,56.0,40.0,432.0,324.0,99.0
4881,0.0,2.0,3.0,1.0,5.0,4.0,10.0,39.0,13.0,8.0,18.0,68.0,14.0,7.0,32.0,11.0,59.0,17.0,60.0,9.0,28.0,6.0,306.0,34.0,16.0,81.0,73.0,55.0,38.0,40.0
