,EGFR,C-Raf_pS338,PAI-1,ADAR1,HER2_pY1248,EGFR_pY1068,E-Cadherin,G6PD,eEF2,Paxillin,Claudin-7,MIG-6,p70S6K_pT389,Rictor_pT1135,Transglutaminase,Shc_pY317,YB-1_pS102,HER3,VHL,Tuberin_pT1462,Stathmin,PKC-alpha,Porin,Akt_pS473,P-Cadherin,Notch1,Rab25,PDK1_pS241,p62 Lck ligand,PRAS40_pT246
2162,1.0,5.0,49.0,6.0,22.0,7.0,0.0,19.0,15.0,21.0,13.0,3.0,23.0,72.0,32.0,10.0,8.0,132.0,4.0,30.0,88.0,27.0,87.0,36.0,26.0,52.0,81.0,45.0,53.0,86.0
2211,5.0,0.0,3.0,2.0,1.0,157.0,16.0,23.0,17.0,10.0,14.0,8.0,22.0,71.0,7.0,20.0,164.0,132.0,42.0,30.0,86.0,15.0,83.0,120.0,53.0,54.0,13.0,36.0,38.0,82.0
2260,1.0,7.0,4.0,3.0,5.0,2.0,10.0,9.0,0.0,15.0,21.0,28.0,41.0,23.0,34.0,12.0,16.0,133.0,69.0,67.0,60.0,73.0,77.0,8.0,43.0,40.0,81.0,53.0,42.0,78.0
2309,1.0,0.0,27.0,31.0,2.0,3.0,7.0,5.0,26.0,12.0,21.0,143.0,29.0,86.0,6.0,74.0,164.0,131.0,70.0,68.0,62.0,24.0,76.0,32.0,30.0,33.0,80.0,48.0,52.0,23.0
2358,0.0,4.0,3.0,34.0,1.0,157.0,27.0,161.0,18.0,5.0,14.0,143.0,43.0,8.0,41.0,65.0,17.0,24.0,6.0,38.0,33.0,16.0,82.0,2.0,26.0,7.0,75.0,21.0,44.0,9.0
2407,1.0,7.0,0.0,33.0,132.0,2.0,6.0,14.0,25.0,4.0,152.0,144.0,55.0,5.0,66.0,89.0,164.0,133.0,3.0,27.0,70.0,59.0,21.0,127.0,28.0,43.0,58.0,45.0,46.0,20.0
2456,0.0,1.0,6.0,4.0,7.0,5.0,22.0,159.0,23.0,9.0,151.0,3.0,43.0,88.0,36.0,78.0,164.0,145.0,64.0,33.0,2.0,50.0,85.0,34.0,31.0,47.0,15.0,56.0,44.0,61.0
2505,5.0,10.0,4.0,7.0,35.0,21.0,0.0,17.0,3.0,15.0,153.0,2.0,1.0,11.0,8.0,12.0,27.0,132.0,69.0,66.0,60.0,24.0,76.0,31.0,40.0,37.0,18.0,45.0,53.0,77.0
2554,5.0,0.0,26.0,38.0,27.0,1.0,18.0,159.0,19.0,4.0,16.0,21.0,52.0,72.0,31.0,20.0,30.0,17.0,34.0,64.0,80.0,66.0,90.0,36.0,60.0,63.0,94.0,44.0,28.0,89.0
2603,2.0,8.0,6.0,7.0,0.0,26.0,22.0,161.0,1.0,12.0,150.0,5.0,3.0,16.0,31.0,10.0,164.0,9.0,33.0,66.0,72.0,45.0,21.0,127.0,50.0,30.0,18.0,48.0,15.0,91.0
2652,8.0,5.0,0.0,3.0,1.0,157.0,156.0,25.0,19.0,13.0,150.0,16.0,7.0,84.0,2.0,6.0,164.0,22.0,68.0,65.0,23.0,53.0,75.0,29.0,48.0,30.0,26.0,35.0,42.0,76.0
2701,2.0,5.0,1.0,8.0,0.0,3.0,7.0,160.0,11.0,47.0,149.0,9.0,53.0,6.0,25.0,69.0,164.0,132.0,32.0,84.0,67.0,38.0,89.0,28.0,50.0,13.0,15.0,43.0,54.0,88.0
2750,11.0,0.0,5.0,7.0,1.0,2.0,4.0,21.0,31.0,13.0,150.0,32.0,8.0,85.0,36.0,80.0,164.0,131.0,64.0,39.0,72.0,41.0,37.0,33.0,34.0,57.0,12.0,46.0,50.0,38.0
2799,3.0,9.0,19.0,0.0,6.0,4.0,154.0,162.0,155.0,5.0,149.0,26.0,20.0,11.0,30.0,18.0,164.0,134.0,51.0,37.0,35.0,17.0,27.0,121.0,23.0,57.0,7.0,62.0,61.0,15.0
2848,7.0,2.0,4.0,8.0,1.0,6.0,9.0,161.0,16.0,20.0,150.0,0.0,21.0,5.0,30.0,17.0,26.0,132.0,50.0,29.0,35.0,14.0,84.0,28.0,56.0,23.0,12.0,43.0,51.0,83.0
2897,2.0,1.0,19.0,7.0,0.0,18.0,17.0,159.0,152.0,6.0,146.0,3.0,21.0,76.0,28.0,69.0,9.0,20.0,32.0,47.0,36.0,39.0,90.0,31.0,38.0,52.0,15.0,44.0,22.0,89.0
2946,17.0,3.0,0.0,1.0,4.0,110.0,9.0,104.0,113.0,35.0,119.0,14.0,34.0,69.0,79.0,29.0,36.0,18.0,33.0,6.0,30.0,21.0,24.0,43.0,136.0,137.0,25.0,56.0,64.0,45.0
2995,3.0,7.0,12.0,0.0,25.0,5.0,2.0,18.0,163.0,24.0,150.0,36.0,53.0,14.0,29.0,88.0,15.0,27.0,4.0,64.0,33.0,83.0,22.0,121.0,47.0,46.0,21.0,38.0,26.0,77.0
3044,4.0,6.0,5.0,0.0,1.0,157.0,14.0,20.0,16.0,44.0,151.0,25.0,41.0,71.0,2.0,28.0,17.0,23.0,37.0,36.0,84.0,19.0,85.0,3.0,57.0,58.0,10.0,51.0,62.0,13.0
3093,2.0,1.0,4.0,0.0,5.0,7.0,23.0,3.0,158.0,13.0,153.0,21.0,17.0,86.0,31.0,75.0,164.0,35.0,69.0,66.0,8.0,73.0,9.0,121.0,50.0,51.0,20.0,39.0,40.0,76.0
3142,158.0,6.0,7.0,1.0,22.0,4.0,8.0,19.0,17.0,21.0,5.0,0.0,38.0,72.0,30.0,31.0,164.0,134.0,37.0,43.0,85.0,89.0,2.0,33.0,56.0,57.0,80.0,49.0,47.0,27.0
3191,1.0,35.0,4.0,0.0,2.0,158.0,8.0,13.0,6.0,43.0,28.0,10.0,18.0,12.0,65.0,5.0,11.0,141.0,71.0,68.0,27.0,38.0,77.0,32.0,44.0,52.0,81.0,54.0,47.0,78.0
3240,1.0,25.0,2.0,0.0,6.0,163.0,9.0,161.0,27.0,15.0,21.0,3.0,10.0,85.0,4.0,11.0,164.0,29.0,62.0,37.0,7.0,22.0,24.0,35.0,40.0,41.0,19.0,46.0,8.0,59.0
3289,3.0,0.0,24.0,1.0,4.0,13.0,2.0,15.0,111.0,59.0,23.0,32.0,63.0,5.0,79.0,93.0,6.0,157.0,12.0,16.0,28.0,51.0,42.0,35.0,136.0,137.0,47.0,25.0,64.0,43.0
3338,6.0,1.0,24.0,2.0,8.0,3.0,14.0,11.0,13.0,25.0,118.0,0.0,22.0,98.0,78.0,92.0,36.0,157.0,72.0,75.0,4.0,50.0,26.0,38.0,19.0,20.0,29.0,55.0,62.0,27.0
3387,3.0,4.0,27.0,8.0,23.0,7.0,156.0,162.0,21.0,40.0,149.0,10.0,26.0,69.0,90.0,6.0,164.0,133.0,50.0,41.0,1.0,22.0,86.0,30.0,54.0,0.0,18.0,37.0,60.0,19.0
3436,1.0,4.0,58.0,7.0,8.0,13.0,10.0,5.0,107.0,20.0,113.0,9.0,19.0,96.0,26.0,25.0,31.0,155.0,28.0,3.0,81.0,49.0,22.0,62.0,17.0,134.0,23.0,21.0,63.0,45.0
3485,12.0,0.0,27.0,38.0,4.0,2.0,1.0,3.0,107.0,57.0,9.0,5.0,26.0,95.0,15.0,8.0,33.0,17.0,11.0,13.0,22.0,49.0,46.0,60.0,101.0,32.0,50.0,54.0,61.0,29.0
3534,23.0,1.0,3.0,127.0,9.0,20.0,0.0,16.0,4.0,49.0,21.0,33.0,26.0,14.0,6.0,92.0,164.0,28.0,13.0,27.0,63.0,24.0,77.0,32.0,31.0,30.0,93.0,43.0,53.0,78.0
3583,9.0,0.0,21.0,10.0,6.0,155.0,35.0,7.0,152.0,52.0,128.0,5.0,27.0,90.0,33.0,22.0,11.0,133.0,2.0,3.0,26.0,14.0,45.0,29.0,48.0,47.0,12.0,18.0,54.0,82.0
3632,5.0,6.0,23.0,2.0,3.0,4.0,17.0,30.0,154.0,22.0,32.0,29.0,45.0,19.0,7.0,68.0,164.0,25.0,10.0,9.0,38.0,88.0,16.0,33.0,56.0,57.0,12.0,39.0,26.0,83.0
3681,0.0,3.0,5.0,6.0,20.0,8.0,15.0,1.0,156.0,39.0,151.0,145.0,59.0,18.0,7.0,26.0,164.0,132.0,4.0,35.0,32.0,87.0,84.0,37.0,21.0,22.0,77.0,42.0,60.0,11.0
3730,13.0,16.0,56.0,6.0,17.0,9.0,1.0,0.0,14.0,21.0,112.0,11.0,5.0,24.0,27.0,89.0,2.0,154.0,10.0,28.0,80.0,47.0,43.0,60.0,18.0,100.0,8.0,52.0,4.0,42.0
3779,10.0,5.0,1.0,37.0,2.0,9.0,7.0,3.0,108.0,57.0,15.0,141.0,31.0,4.0,29.0,25.0,0.0,12.0,71.0,30.0,82.0,49.0,41.0,42.0,101.0,134.0,46.0,54.0,61.0,20.0
3828,8.0,0.0,20.0,4.0,25.0,5.0,2.0,162.0,9.0,19.0,10.0,1.0,21.0,18.0,38.0,72.0,164.0,134.0,33.0,3.0,89.0,15.0,79.0,121.0,56.0,28.0,32.0,17.0,22.0,90.0
3877,6.0,3.0,10.0,2.0,7.0,101.0,1.0,19.0,104.0,52.0,5.0,9.0,25.0,23.0,4.0,29.0,0.0,153.0,17.0,24.0,79.0,44.0,41.0,49.0,98.0,99.0,36.0,28.0,56.0,12.0
3926,159.0,1.0,18.0,37.0,0.0,3.0,157.0,4.0,19.0,44.0,12.0,145.0,6.0,15.0,38.0,33.0,164.0,24.0,49.0,5.0,87.0,27.0,10.0,120.0,26.0,2.0,76.0,62.0,21.0,78.0
3975,7.0,1.0,5.0,4.0,29.0,6.0,107.0,2.0,12.0,23.0,15.0,142.0,22.0,25.0,27.0,26.0,32.0,19.0,69.0,28.0,9.0,49.0,24.0,134.0,164.0,3.0,40.0,54.0,37.0,10.0
4024,12.0,0.0,4.0,1.0,24.0,8.0,158.0,20.0,6.0,19.0,14.0,28.0,11.0,30.0,9.0,34.0,164.0,133.0,47.0,44.0,32.0,82.0,90.0,5.0,52.0,53.0,72.0,29.0,42.0,15.0
4073,11.0,0.0,6.0,8.0,10.0,2.0,107.0,16.0,13.0,21.0,14.0,17.0,58.0,24.0,4.0,26.0,32.0,9.0,71.0,29.0,1.0,39.0,48.0,35.0,100.0,101.0,46.0,52.0,59.0,22.0
4122,29.0,0.0,24.0,5.0,1.0,4.0,154.0,21.0,18.0,23.0,15.0,17.0,25.0,22.0,6.0,30.0,164.0,27.0,57.0,50.0,85.0,63.0,86.0,35.0,55.0,26.0,80.0,41.0,48.0,16.0
4171,7.0,0.0,8.0,6.0,2.0,157.0,156.0,9.0,5.0,23.0,17.0,15.0,21.0,20.0,3.0,25.0,164.0,133.0,48.0,40.0,4.0,85.0,82.0,27.0,13.0,57.0,90.0,22.0,46.0,16.0
4220,9.0,0.0,1.0,33.0,15.0,2.0,12.0,10.0,7.0,22.0,11.0,17.0,8.0,6.0,5.0,25.0,29.0,151.0,67.0,4.0,78.0,37.0,46.0,31.0,97.0,98.0,45.0,23.0,21.0,40.0
4269,5.0,1.0,0.0,33.0,4.0,7.0,34.0,14.0,6.0,13.0,19.0,144.0,9.0,21.0,30.0,8.0,164.0,131.0,69.0,66.0,36.0,43.0,3.0,31.0,41.0,26.0,56.0,52.0,50.0,76.0
4318,9.0,6.0,3.0,4.0,2.0,16.0,107.0,162.0,106.0,23.0,15.0,141.0,22.0,27.0,1.0,28.0,32.0,153.0,70.0,73.0,7.0,45.0,42.0,164.0,20.0,19.0,48.0,24.0,59.0,40.0
4367,7.0,1.0,3.0,34.0,4.0,25.0,153.0,160.0,26.0,16.0,21.0,15.0,10.0,78.0,33.0,27.0,164.0,30.0,63.0,9.0,32.0,43.0,89.0,120.0,17.0,8.0,85.0,20.0,46.0,24.0
4416,0.0,107.0,2.0,3.0,36.0,9.0,24.0,159.0,14.0,8.0,4.0,143.0,35.0,15.0,29.0,79.0,27.0,132.0,7.0,65.0,71.0,44.0,22.0,38.0,42.0,41.0,59.0,51.0,37.0,60.0
4465,12.0,5.0,0.0,3.0,131.0,1.0,8.0,161.0,155.0,2.0,13.0,16.0,24.0,77.0,32.0,72.0,4.0,132.0,61.0,9.0,33.0,73.0,87.0,118.0,46.0,6.0,83.0,41.0,49.0,86.0
4514,8.0,21.0,12.0,29.0,131.0,10.0,25.0,15.0,6.0,3.0,9.0,143.0,24.0,88.0,67.0,13.0,0.0,132.0,32.0,69.0,2.0,43.0,77.0,121.0,54.0,41.0,81.0,18.0,28.0,78.0
4563,5.0,20.0,3.0,0.0,11.0,12.0,14.0,9.0,13.0,22.0,15.0,143.0,63.0,26.0,30.0,90.0,36.0,156.0,1.0,2.0,82.0,43.0,51.0,45.0,134.0,33.0,25.0,56.0,64.0,47.0
4612,16.0,3.0,0.0,34.0,5.0,1.0,105.0,162.0,104.0,6.0,14.0,140.0,24.0,94.0,12.0,88.0,2.0,153.0,69.0,72.0,17.0,27.0,28.0,98.0,147.0,23.0,42.0,51.0,57.0,26.0
4661,21.0,13.0,1.0,2.0,8.0,4.0,27.0,25.0,5.0,6.0,22.0,134.0,59.0,12.0,0.0,83.0,29.0,146.0,40.0,70.0,39.0,63.0,65.0,31.0,41.0,48.0,92.0,56.0,57.0,28.0
4710,4.0,11.0,2.0,0.0,137.0,20.0,16.0,23.0,5.0,54.0,14.0,1.0,58.0,12.0,34.0,7.0,6.0,131.0,39.0,32.0,42.0,79.0,19.0,33.0,51.0,47.0,85.0,48.0,59.0,17.0
4759,1.0,15.0,5.0,0.0,3.0,8.0,12.0,6.0,11.0,20.0,9.0,140.0,19.0,23.0,25.0,88.0,164.0,153.0,27.0,26.0,79.0,38.0,7.0,32.0,98.0,99.0,46.0,50.0,58.0,48.0
4808,3.0,13.0,23.0,38.0,24.0,0.0,15.0,19.0,154.0,22.0,10.0,29.0,26.0,33.0,92.0,71.0,17.0,144.0,2.0,48.0,1.0,91.0,87.0,121.0,63.0,31.0,79.0,47.0,52.0,14.0
4857,2.0,13.0,6.0,0.0,4.0,27.0,15.0,155.0,7.0,18.0,152.0,26.0,39.0,3.0,30.0,64.0,8.0,134.0,34.0,44.0,32.0,88.0,85.0,36.0,56.0,57.0,80.0,48.0,22.0,84.0
