,HAEMATOPOIETIC,PANCREAS,ENDOMETRIUM,LUNG,URINARY,BREAST,KIDNEY,SKIN,OVARY,AERODIGESTIVE,LIVER,NERVOUS,STOMACH,LARGE_INTESTINE,PLEURA,SOFT_TISSUE,OESOPHAGUS,BONE,GANGLIA,THYROID,PROSTATE,SALIVARY,BILIARY
973,0.0,1.0,2.0,7.0,5.0,4.0,6.0,12.0,17.0,9.0,10.0,14.0,3.0,15.0,21.0,8.0,11.0,16.0,13.0,18.0,22.0,20.0,19.0
1022,0.0,1.0,3.0,2.0,4.0,14.0,15.0,5.0,8.0,20.0,6.0,9.0,10.0,12.0,13.0,7.0,19.0,18.0,16.0,11.0,21.0,17.0,22.0
1071,0.0,1.0,3.0,2.0,8.0,5.0,19.0,6.0,10.0,18.0,7.0,22.0,12.0,14.0,13.0,4.0,17.0,9.0,15.0,11.0,21.0,16.0,20.0
1120,0.0,1.0,3.0,2.0,5.0,4.0,19.0,8.0,11.0,17.0,9.0,21.0,12.0,14.0,7.0,6.0,13.0,10.0,15.0,16.0,20.0,18.0,22.0
1169,0.0,1.0,4.0,3.0,2.0,8.0,21.0,10.0,6.0,12.0,7.0,18.0,13.0,11.0,20.0,5.0,9.0,14.0,16.0,17.0,19.0,22.0,15.0
1218,0.0,1.0,3.0,4.0,6.0,7.0,21.0,5.0,8.0,10.0,2.0,17.0,13.0,9.0,12.0,11.0,20.0,18.0,22.0,14.0,19.0,15.0,16.0
1267,0.0,2.0,1.0,7.0,5.0,3.0,22.0,6.0,9.0,15.0,8.0,12.0,18.0,13.0,16.0,4.0,14.0,11.0,17.0,10.0,19.0,21.0,20.0
1316,0.0,1.0,4.0,2.0,6.0,3.0,12.0,7.0,13.0,14.0,9.0,11.0,10.0,16.0,8.0,5.0,17.0,15.0,21.0,22.0,18.0,20.0,19.0
1365,0.0,1.0,2.0,7.0,11.0,3.0,15.0,5.0,8.0,4.0,9.0,10.0,16.0,14.0,13.0,6.0,12.0,17.0,22.0,21.0,20.0,19.0,18.0
1414,0.0,1.0,2.0,5.0,9.0,4.0,17.0,3.0,12.0,14.0,6.0,16.0,7.0,10.0,15.0,8.0,13.0,11.0,18.0,21.0,19.0,20.0,22.0
1463,0.0,1.0,6.0,14.0,4.0,8.0,12.0,2.0,5.0,9.0,7.0,16.0,22.0,10.0,11.0,3.0,21.0,13.0,18.0,17.0,19.0,20.0,15.0
1512,0.0,1.0,2.0,7.0,8.0,3.0,4.0,6.0,13.0,19.0,12.0,9.0,15.0,14.0,10.0,17.0,18.0,5.0,11.0,16.0,20.0,22.0,21.0
1561,0.0,1.0,5.0,7.0,2.0,4.0,3.0,6.0,9.0,18.0,8.0,15.0,17.0,12.0,14.0,10.0,20.0,13.0,11.0,16.0,19.0,22.0,21.0
1610,0.0,1.0,2.0,8.0,3.0,4.0,6.0,7.0,11.0,10.0,5.0,9.0,15.0,13.0,17.0,18.0,16.0,14.0,12.0,19.0,20.0,22.0,21.0
1659,0.0,1.0,2.0,6.0,4.0,3.0,5.0,12.0,8.0,9.0,7.0,15.0,11.0,13.0,14.0,20.0,10.0,17.0,16.0,19.0,18.0,21.0,22.0
1708,0.0,2.0,1.0,3.0,7.0,5.0,4.0,6.0,9.0,10.0,11.0,14.0,17.0,8.0,13.0,18.0,19.0,12.0,16.0,15.0,20.0,22.0,21.0
1757,0.0,1.0,2.0,4.0,7.0,6.0,5.0,3.0,13.0,8.0,9.0,17.0,10.0,11.0,15.0,14.0,18.0,12.0,16.0,22.0,21.0,19.0,20.0
1806,0.0,2.0,1.0,7.0,4.0,5.0,3.0,6.0,16.0,8.0,12.0,17.0,11.0,15.0,10.0,19.0,18.0,9.0,13.0,14.0,20.0,21.0,22.0
1855,0.0,2.0,3.0,6.0,1.0,4.0,11.0,7.0,19.0,9.0,8.0,14.0,15.0,16.0,5.0,18.0,13.0,10.0,12.0,17.0,21.0,20.0,22.0
1904,0.0,2.0,1.0,8.0,3.0,5.0,4.0,6.0,12.0,7.0,10.0,15.0,13.0,14.0,21.0,16.0,9.0,22.0,11.0,18.0,20.0,19.0,17.0
1953,0.0,2.0,1.0,7.0,10.0,3.0,17.0,5.0,6.0,8.0,9.0,16.0,13.0,11.0,18.0,15.0,20.0,4.0,12.0,14.0,19.0,22.0,21.0
2002,0.0,2.0,4.0,1.0,8.0,3.0,6.0,16.0,13.0,5.0,10.0,12.0,21.0,11.0,7.0,19.0,15.0,9.0,14.0,22.0,20.0,17.0,18.0
2051,0.0,1.0,7.0,6.0,12.0,2.0,4.0,17.0,14.0,10.0,11.0,13.0,18.0,9.0,3.0,15.0,8.0,5.0,16.0,22.0,19.0,20.0,21.0
2100,0.0,3.0,2.0,5.0,10.0,9.0,6.0,14.0,17.0,11.0,1.0,7.0,8.0,13.0,4.0,15.0,20.0,12.0,16.0,22.0,18.0,19.0,21.0
2149,0.0,1.0,18.0,3.0,5.0,4.0,13.0,19.0,14.0,6.0,8.0,9.0,7.0,10.0,2.0,16.0,12.0,11.0,15.0,21.0,17.0,20.0,22.0
2198,0.0,8.0,3.0,1.0,7.0,4.0,6.0,15.0,14.0,13.0,17.0,11.0,9.0,10.0,5.0,12.0,18.0,2.0,19.0,22.0,21.0,16.0,20.0
2247,0.0,1.0,3.0,4.0,9.0,2.0,6.0,18.0,12.0,7.0,11.0,19.0,10.0,14.0,5.0,16.0,13.0,8.0,15.0,22.0,21.0,17.0,20.0
