,OR51A2_DEL,NAALADL2_DEL,DPP6_DEL,GSTM1_DEL,UGT2B17_DEL,LRP1B_DEL,NRXN3_DEL,LILRA3_DEL,FLNA_MUT,MYO3B_MUT,SIGLEC14_DEL,GALC_DEL,HSF2BP_DEL,RNF103-CHMP3_DEL,RMND5A_DEL,FAM66A_DEL,DCAF10_DEL,CROCC_DEL,LARGE_DEL,GOLGA8DP_DEL,PAX5_DEL,TNRC6B_MUT,DST_MUT,MECOM_AMP,TDH_DEL,GSTTP2_DEL,MKRN3_MUT,TEX14_MUT,ARHGEF5_AMP,JAK2_AMP
521,7.0,3.0,18.0,1.0,10.0,5.0,4.0,142.0,8.0,28.0,273.0,21.0,2.0,48.0,47.0,27.0,6.0,22.0,15.0,50.0,251.0,301.0,262.0,70.0,49.0,0.0,74.0,104.0,58.0,63.0
570,140.0,10.0,7.0,2.0,8.0,106.0,39.0,40.0,5.0,30.0,25.0,16.0,1.0,110.0,109.0,572.0,4.0,1046.0,3.0,707.0,187.0,115.0,107.0,130.0,72.0,0.0,50.0,456.0,6.0,45.0
619,20.0,0.0,11.0,1.0,160.0,15.0,6.0,57.0,3.0,22.0,1003.0,13.0,2.0,8.0,7.0,54.0,16.0,136.0,18.0,42.0,339.0,62.0,37.0,38.0,408.0,10.0,30.0,86.0,26.0,100.0
668,9.0,2.0,1.0,13.0,0.0,12.0,4.0,17.0,16.0,34.0,635.0,21.0,37.0,25.0,24.0,565.0,10.0,124.0,11.0,47.0,64.0,519.0,41.0,206.0,27.0,39.0,23.0,90.0,209.0,45.0
717,13.0,1.0,21.0,8.0,7.0,652.0,87.0,64.0,9.0,20.0,19283.0,16.0,4.0,2.0,3.0,594.0,28.0,17.0,6.0,15.0,76.0,54.0,18.0,293.0,48.0,43.0,40.0,80.0,29.0,22.0
766,15.0,1.0,40.0,32.0,5.0,17.0,10.0,20.0,6.0,109.0,47.0,45.0,0.0,55.0,54.0,2892.0,9.0,104.0,3.0,18.0,88.0,19.0,7.0,41.0,53.0,16.0,14.0,62.0,8.0,13.0
815,2.0,10.0,3.0,0.0,1.0,33.0,7.0,28.0,34.0,115.0,38.0,13.0,21.0,49.0,48.0,36.0,52.0,335.0,4.0,25.0,16.0,162.0,59.0,46.0,51.0,5.0,151.0,1659.0,9.0,26.0
864,6.0,1.0,0.0,7.0,545.0,8.0,11.0,23.0,5.0,21.0,209.0,24.0,4.0,38.0,37.0,103.0,9.0,1201.0,2.0,26.0,193.0,22.0,3.0,93.0,57.0,30.0,25.0,28.0,186.0,81.0
913,114.0,1.0,9.0,0.0,20.0,3.0,49.0,101.0,7.0,33.0,32.0,44.0,45.0,25.0,26.0,13.0,21.0,41.0,8.0,37.0,386.0,76.0,106.0,239.0,99.0,6.0,11.0,55.0,116.0,14.0
962,5.0,4.0,3.0,0.0,34.0,12.0,9.0,144.0,11.0,49.0,1340.0,13.0,2.0,17.0,18.0,40.0,25.0,77.0,1.0,233.0,96.0,61.0,339.0,287.0,59.0,8.0,42.0,199.0,10.0,33.0
1011,1.0,6.0,7.0,2.0,1567.0,8.0,5.0,29.0,85.0,14.0,272.0,36.0,274.0,199.0,198.0,3.0,34.0,38.0,171.0,71.0,227.0,223.0,176.0,94.0,41.0,2906.0,2109.0,82.0,9.0,18.0
1060,3.0,15.0,52.0,676.0,16.0,4.0,14.0,0.0,65.0,39.0,23.0,377.0,4731.0,151.0,150.0,19.0,10.0,7.0,79.0,29.0,24.0,61.0,402.0,95.0,36.0,168.0,35.0,11.0,13.0,20.0
1109,9.0,3.0,44.0,1.0,231.0,63.0,13.0,6.0,20.0,15.0,14.0,29.0,0.0,18.0,17.0,26.0,11.0,4.0,273.0,8.0,47.0,37.0,28.0,21.0,224.0,50.0,244.0,54.0,10.0,101.0
1158,27.0,5.0,69.0,0.0,24.0,15.0,12.0,23.0,19.0,41.0,37.0,39.0,34.0,7.0,8.0,1.0,10.0,56.0,11.0,1049.0,44.0,35.0,66.0,62.0,74.0,68.0,200.0,20.0,49.0,33.0
1207,0.0,34.0,54.0,1.0,18.0,13.0,14.0,5.0,6.0,72.0,2.0,50.0,615.0,27.0,28.0,22.0,23.0,10.0,30.0,244.0,124.0,222.0,33.0,53.0,29.0,201.0,205.0,47.0,38.0,8.0
1256,4.0,0.0,9.0,26.0,80.0,17.0,5.0,62.0,28.0,18.0,19.0,20.0,58.0,48.0,47.0,15.0,7.0,1.0,8.0,148.0,39.0,35.0,890.0,193.0,76.0,203.0,99.0,170.0,10.0,14.0
1305,21.0,8.0,7.0,0.0,117.0,95.0,213.0,13.0,1.0,108.0,186.0,29.0,47.0,851.0,852.0,565.0,20.0,23.0,60.0,168.0,158.0,129.0,51.0,556.0,22.0,7560.0,137.0,78.0,17.0,6.0
1354,2.0,40.0,3.0,10.0,0.0,185.0,6.0,30.0,4.0,50.0,104.0,46.0,33.0,11.0,12.0,18.0,7.0,1.0,228.0,163.0,79.0,136.0,43.0,32.0,96.0,8.0,148.0,86.0,17.0,22.0
1403,32.0,2.0,76.0,31.0,155.0,56.0,29.0,13.0,5.0,10.0,116.0,21.0,1403.0,158.0,159.0,30.0,0.0,1.0,61.0,63.0,65.0,45.0,292.0,341.0,15.0,42.0,213.0,28.0,24.0,11.0
1452,0.0,1.0,3312.0,3.0,121.0,175.0,8.0,43.0,94.0,16.0,7.0,19.0,10.0,6.0,5.0,41.0,24.0,9.0,80.0,23.0,85.0,90.0,254.0,46.0,27.0,21.0,93.0,14.0,4.0,42.0
1501,2.0,5.0,3.0,4.0,1.0,8.0,45.0,50.0,23.0,162.0,108.0,139.0,297.0,10.0,9.0,12.0,11.0,76.0,47.0,97.0,18.0,286.0,7.0,44.0,861.0,99.0,75.0,112.0,14.0,136.0
1550,0.0,6.0,4.0,13.0,39.0,15.0,44.0,5.0,3.0,20.0,1002.0,17.0,49.0,9.0,10.0,7.0,19.0,37.0,666.0,109.0,135.0,18.0,2.0,66.0,341.0,40.0,12.0,53.0,14.0,914.0
1599,89.0,6.0,8.0,3.0,4.0,5.0,7.0,15.0,14.0,17.0,137.0,16.0,36.0,2.0,1.0,35.0,9.0,47.0,102.0,23.0,69.0,10.0,0.0,991.0,491.0,186.0,24.0,20.0,21012.0,73.0
1648,2.0,37.0,7.0,4.0,51.0,1.0,8.0,25.0,16.0,40.0,96.0,24.0,11.0,5.0,6.0,0.0,12.0,26.0,178.0,29.0,45.0,36.0,20.0,245.0,322.0,10.0,39.0,17.0,14.0,122.0
1697,37.0,0.0,11.0,2.0,1.0,4.0,85.0,14.0,191.0,56.0,23.0,54.0,19.0,50.0,49.0,22.0,33.0,7.0,10.0,8.0,34.0,163.0,38.0,26.0,200.0,6.0,15.0,5.0,410.0,121.0
1746,25.0,7.0,8.0,5.0,29.0,104.0,15.0,2.0,3.0,19.0,1227.0,20.0,278.0,252.0,253.0,17.0,14.0,26.0,9.0,34.0,143.0,22.0,16.0,69.0,123.0,37.0,51.0,13.0,4.0,608.0
1795,1.0,14.0,72.0,2.0,3.0,0.0,19.0,11.0,60.0,17.0,243.0,36.0,263.0,16.0,15.0,13.0,12.0,20.0,4.0,22.0,29.0,115.0,9.0,25.0,431.0,44.0,8.0,7.0,42.0,158.0
1844,0.0,2.0,227.0,140.0,134.0,1.0,30.0,18.0,10.0,5.0,19142.0,14.0,105.0,225.0,226.0,7.0,84.0,887.0,97.0,57.0,19.0,16.0,6.0,237.0,257.0,85.0,11.0,34.0,8.0,148.0
1893,0.0,8.0,39.0,9.0,2.0,5.0,19.0,15.0,14.0,17.0,466.0,23.0,126.0,4.0,3.0,18.0,33.0,7.0,46.0,6.0,28.0,44.0,1.0,20.0,322.0,52.0,16.0,25.0,36.0,174.0
1942,10.0,86.0,1.0,11.0,2.0,22.0,6.0,8.0,66.0,129.0,959.0,13.0,127.0,27.0,26.0,4.0,61.0,24.0,0.0,131.0,21.0,14.0,5.0,60.0,673.0,44.0,33.0,84.0,49.0,55.0
1991,0.0,18.0,1.0,58.0,281.0,9.0,8.0,15.0,21.0,22.0,2.0,17.0,155.0,414.0,413.0,10.0,7.0,109.0,4.0,153.0,163.0,19.0,185.0,16.0,23.0,512.0,5.0,39.0,3.0,102.0
2040,0.0,9.0,7.0,67.0,3.0,83.0,8.0,2.0,4.0,16.0,1.0,15.0,20079.0,433.0,432.0,10.0,28.0,55.0,5.0,388.0,24.0,19.0,874.0,79.0,39.0,97.0,42.0,13.0,134.0,106.0
2089,2.0,1570.0,1.0,9.0,4.0,18.0,21.0,5.0,20.0,71.0,7.0,37.0,274.0,123.0,122.0,50.0,140.0,49.0,67.0,216.0,13.0,23.0,1014.0,14.0,62.0,7914.0,61.0,91.0,19.0,144.0
2138,0.0,70.0,1.0,5.0,4.0,34.0,110.0,7.0,71.0,9.0,2.0,193.0,2586.0,207.0,206.0,8.0,75.0,276.0,915.0,24.0,10.0,76.0,462.0,51.0,35.0,16.0,43.0,40.0,298.0,21.0
2187,0.0,12.0,3.0,8.0,5.0,19.0,18.0,15.0,23.0,30.0,2.0,32.0,190.0,130.0,129.0,7.0,58.0,148.0,184.0,122.0,6.0,51.0,1263.0,9.0,43.0,14.0,29.0,38.0,123.0,302.0
2236,2.0,34.0,0.0,5.0,20.0,4.0,24.0,10.0,22.0,3.0,27.0,18.0,794.0,19494.0,8093.0,1.0,26.0,120.0,81.0,1810.0,7.0,31.0,6444.0,9.0,16.0,12.0,14.0,208.0,82.0,38.0
2285,0.0,256.0,4.0,5.0,69.0,3.0,255.0,11.0,71.0,32.0,18.0,26.0,16.0,2699.0,2698.0,1.0,89.0,238.0,112.0,312.0,6.0,12.0,187.0,20.0,134.0,78.0,10.0,24.0,31.0,522.0
2334,1.0,78.0,2.0,21.0,8.0,3.0,7.0,5.0,11.0,10.0,0.0,51.0,19130.0,94.0,95.0,67.0,53.0,1855.0,9.0,79.0,15.0,16.0,54.0,12.0,34.0,93.0,23.0,19.0,13.0,48.0
2383,6.0,4.0,0.0,2.0,1.0,90.0,13.0,3.0,18.0,7.0,9.0,37.0,79.0,18304.0,9103.0,34.0,77.0,130.0,65.0,17.0,98.0,10.0,681.0,22.0,20.0,102.0,302.0,14.0,26.0,63.0
2432,1.0,33.0,0.0,12.0,298.0,2.0,15.0,3.0,156.0,14.0,29.0,34.0,114.0,50.0,49.0,7.0,97.0,1320.0,18.0,17.0,5.0,44.0,168.0,32.0,54.0,2171.0,10.0,92.0,61.0,74.0
2481,65.0,34.0,28.0,3.0,16.0,51.0,37.0,50.0,13.0,11.0,5.0,25.0,4.0,1.0,2.0,17.0,40.0,23.0,67.0,189.0,165.0,36.0,8.0,85.0,59.0,7698.0,29.0,33.0,10.0,62.0
2530,17.0,101.0,7.0,1.0,32.0,6.0,64.0,56.0,68.0,37.0,2.0,16.0,0.0,4.0,5.0,3.0,121.0,30.0,147.0,19.0,332.0,61.0,46.0,35.0,75.0,1660.0,65.0,109.0,127.0,45.0
2579,5.0,7.0,0.0,36.0,26.0,2.0,10.0,66.0,12.0,28.0,6.0,94.0,8.0,4.0,3.0,1.0,33.0,15.0,62.0,31.0,67.0,57.0,9.0,23.0,77.0,9067.0,55.0,29.0,13.0,37.0
2628,180.0,9.0,7.0,14.0,36.0,4.0,56.0,118.0,12.0,8.0,3.0,26.0,2.0,1.0,0.0,5.0,25.0,264.0,8525.0,47.0,157.0,27.0,6.0,57.0,115.0,7823.0,31.0,32.0,107.0,37.0
2677,11.0,212.0,20.0,8.0,1057.0,19.0,17.0,240.0,25.0,34.0,3.0,16.0,0.0,2.0,1.0,12.0,29.0,7.0,87.0,82.0,156.0,23.0,46.0,49.0,62.0,290.0,22.0,39.0,13.0,30.0
2726,8.0,90.0,5.0,24.0,7.0,43.0,37.0,176.0,20.0,87.0,3.0,13.0,0.0,15.0,16.0,6.0,21.0,4.0,26.0,69.0,29.0,68.0,1.0,59.0,75.0,1504.0,39.0,49.0,11.0,185.0
2775,10.0,1.0,7.0,14.0,244.0,9.0,23.0,106.0,15.0,8.0,2.0,17.0,0.0,12.0,13.0,3.0,19.0,30.0,178.0,79.0,64.0,18.0,5.0,45.0,268.0,7701.0,25.0,54.0,11.0,199.0
2824,47.0,17.0,10.0,3.0,16.0,38.0,30.0,34.0,1.0,5.0,11.0,8.0,0.0,7.0,6.0,12.0,267.0,21.0,19.0,57.0,450.0,25.0,13.0,73.0,53.0,11502.0,77.0,96.0,4.0,55.0
2873,6.0,550.0,2.0,10.0,15.0,9.0,45.0,52.0,11.0,14.0,0.0,118.0,1.0,3.0,4.0,7.0,18.0,8.0,34.0,370.0,226.0,54.0,17.0,724.0,65.0,9372.0,95.0,42.0,33.0,25.0
2922,39.0,5.0,0.0,13.0,11.0,17.0,35.0,40.0,36.0,9.0,1.0,12.0,4.0,2.0,3.0,6.0,45.0,14.0,173.0,24.0,1472.0,81.0,8.0,10.0,23.0,461.0,18.0,75.0,29.0,80.0
2971,4.0,0.0,7.0,34.0,43.0,9.0,2.0,11.0,6.0,3.0,49.0,18.0,17.0,202.0,201.0,58.0,8.0,15.0,24.0,16.0,21.0,27.0,37.0,155.0,52.0,459.0,46.0,101.0,13.0,19.0
3020,0.0,11.0,38.0,2.0,140.0,9.0,4.0,8.0,1.0,14.0,81.0,15.0,152.0,64.0,63.0,2524.0,27.0,234.0,20.0,40.0,5.0,24.0,7.0,42.0,35.0,75.0,28.0,83.0,69.0,23.0
3069,0.0,39.0,15.0,2.0,7.0,34.0,6.0,57.0,30.0,11.0,9.0,22.0,29.0,14.0,13.0,12.0,20.0,17.0,3.0,19.0,8.0,80.0,25.0,27.0,23.0,1362.0,31.0,51.0,524.0,33.0
3118,5.0,1.0,7.0,0.0,12.0,3.0,8.0,32.0,46.0,9.0,11.0,26.0,22.0,19.0,20.0,31.0,79.0,28.0,40.0,34.0,15.0,43.0,16.0,38.0,98.0,27.0,35.0,186.0,136.0,44.0
3167,3.0,4.0,1.0,29.0,208.0,23.0,5.0,19.0,38.0,47.0,8.0,44.0,18.0,9.0,10.0,12.0,27.0,39.0,32.0,26.0,2.0,22.0,15.0,16.0,71.0,25.0,95.0,63.0,46.0,148.0
3216,294.0,5.0,3.0,0.0,153.0,4.0,7.0,15.0,6.0,8.0,135.0,12.0,33.0,23.0,22.0,110.0,17.0,10.0,212.0,36.0,11.0,13.0,18.0,134.0,413.0,365.0,27.0,31.0,46.0,35.0
3265,54.0,2.0,11.0,22.0,5.0,1.0,10.0,7.0,0.0,23.0,42.0,58.0,672.0,13.0,14.0,38.0,29.0,197.0,8.0,74.0,3.0,60.0,32.0,37.0,51.0,126.0,35.0,43.0,31.0,24.0
3314,2.0,18.0,1.0,4.0,32.0,6.0,3.0,11.0,15.0,7.0,83.0,19.0,60.0,13.0,14.0,43.0,28.0,61.0,16.0,295.0,20.0,110.0,5.0,23.0,101.0,661.0,34.0,31.0,1599.0,30.0
3363,8.0,23.0,0.0,16.0,1.0,13.0,63.0,5.0,91.0,4.0,22.0,40.0,448.0,278.0,277.0,690.0,85.0,20.0,11.0,67.0,21.0,88.0,44.0,7.0,41.0,71.0,14.0,30.0,37.0,65.0
3412,24.0,1.0,0.0,2.0,46.0,28.0,12.0,14.0,22.0,8.0,3.0,29.0,26.0,170.0,171.0,87.0,13.0,53.0,7.0,19245.0,21.0,298.0,4.0,82.0,51.0,3201.0,92.0,738.0,11.0,23.0
3461,6.0,1.0,24.0,21.0,0.0,27.0,7.0,11.0,3.0,23.0,8.0,36.0,26.0,5.0,4.0,31.0,16.0,2.0,28.0,20.0,12.0,35.0,47.0,18.0,61.0,13.0,79.0,39.0,32.0,42.0
3510,0.0,1.0,9.0,16.0,5.0,29.0,61.0,45.0,4.0,15.0,19.0,20.0,121.0,6.0,7.0,26.0,33.0,2.0,959.0,13.0,24.0,120.0,92.0,28.0,63.0,7739.0,124.0,101.0,66.0,48.0
3559,2.0,4.0,21.0,1.0,0.0,137.0,11.0,5.0,16.0,15.0,3.0,26.0,32.0,18.0,17.0,393.0,28.0,42.0,7.0,24.0,40.0,87.0,36.0,22.0,49.0,1444.0,48.0,55.0,279.0,84.0
3608,9.0,1.0,7.0,0.0,2.0,34.0,23.0,5.0,32.0,79.0,3.0,52.0,206.0,25.0,24.0,45.0,33.0,4.0,98.0,70.0,48.0,95.0,105.0,35.0,91.0,22.0,164.0,172.0,84.0,28.0
3657,5.0,0.0,8.0,41.0,2.0,9.0,27.0,15.0,16.0,14.0,6.0,77.0,120.0,3.0,4.0,28.0,12.0,7.0,47.0,1.0,24.0,72.0,48.0,43.0,91.0,52.0,54.0,46.0,767.0,32.0
3706,9.0,0.0,78.0,6.0,3.0,27.0,10.0,14.0,31.0,91.0,8.0,43.0,39.0,1.0,2.0,13.0,12.0,5.0,699.0,7.0,11.0,17.0,20.0,143.0,47.0,64.0,70.0,189.0,803.0,40.0
3755,6.0,0.0,24.0,106.0,5.0,101.0,12.0,8.0,16.0,27.0,4.0,23.0,14.0,3.0,2.0,20.0,32.0,1.0,1063.0,10.0,38.0,26.0,266.0,9.0,18.0,1783.0,122.0,275.0,56.0,128.0
3804,9.0,0.0,4.0,5.0,2.0,19.0,41.0,7.0,16.0,56.0,1.0,25.0,379.0,21.0,20.0,39.0,129.0,6.0,44.0,8.0,626.0,40.0,66.0,38.0,81.0,55.0,42.0,36.0,98.0,87.0
3853,3.0,2.0,98.0,5.0,0.0,4.0,8.0,19.0,42.0,27.0,28.0,20.0,2633.0,7.0,6.0,143.0,22.0,13.0,25.0,12.0,24.0,110.0,18.0,21.0,60.0,102.0,67.0,69.0,188.0,35.0
3902,18.0,4.0,272.0,6.0,5.0,3.0,8.0,9.0,17.0,10.0,30.0,20.0,67.0,1.0,2.0,29.0,33.0,14.0,8389.0,23.0,21.0,26.0,13.0,22.0,131.0,39.0,118.0,51.0,35.0,117.0
3951,0.0,2.0,26.0,19.0,8.0,6.0,21.0,9.0,7.0,5.0,1.0,17.0,3.0,24.0,23.0,141.0,16.0,20.0,8584.0,4.0,14.0,15.0,22.0,86.0,76.0,11.0,25.0,28.0,83.0,102.0
4000,8.0,4.0,29.0,70.0,78.0,6.0,24.0,10.0,53.0,9.0,5.0,17.0,2.0,789.0,790.0,77.0,15.0,90.0,1529.0,3.0,219.0,39.0,423.0,126.0,41.0,12.0,63.0,172.0,318.0,74.0
4049,5.0,13.0,14.0,28.0,2.0,11.0,35.0,8.0,9.0,6.0,36.0,17.0,3.0,60.0,61.0,101.0,51.0,4.0,4694.0,19.0,32.0,42.0,16.0,78.0,62.0,7.0,56.0,83.0,366.0,126.0
4098,171.0,6.0,61.0,99.0,2.0,24.0,30.0,3.0,12.0,1.0,10.0,11.0,7.0,367.0,366.0,4.0,14.0,32.0,8560.0,13.0,8.0,39.0,69.0,42.0,107.0,5.0,19.0,76.0,196.0,519.0
4147,7.0,12.0,2.0,9.0,48.0,1.0,4.0,11.0,5.0,3.0,0.0,85.0,26.0,29.0,28.0,644.0,10.0,53.0,1207.0,6.0,39.0,13.0,8.0,15.0,38.0,43.0,65.0,22.0,244.0,57.0
4196,3.0,2.0,54.0,33.0,95.0,5.0,63.0,35.0,6.0,7.0,4.0,62.0,1.0,588.0,589.0,12.0,60.0,154.0,539.0,43.0,14.0,16.0,28.0,13.0,32.0,0.0,70.0,261.0,265.0,270.0
4245,31.0,6.0,104.0,3.0,13.0,8.0,9.0,14.0,24.0,5.0,4.0,15.0,0.0,166.0,165.0,12.0,18.0,23.0,1781.0,26.0,19.0,20.0,71.0,10.0,36.0,50.0,29.0,56.0,142.0,40.0
4294,51.0,0.0,27.0,833.0,36.0,7.0,21.0,14.0,10.0,2.0,9.0,13.0,20.0,17.0,16.0,194.0,4.0,11.0,1460.0,6.0,3.0,12.0,80.0,35.0,101.0,55.0,46.0,77.0,295.0,564.0
4343,1.0,9.0,13.0,58.0,39.0,2.0,33.0,5.0,4.0,3.0,0.0,26.0,6.0,37.0,38.0,834.0,16.0,154.0,1171.0,21.0,15.0,25.0,44.0,66.0,30.0,7.0,40.0,50.0,100.0,182.0
4392,0.0,73.0,21.0,2.0,1.0,6.0,20.0,16.0,30.0,39.0,4.0,32.0,7.0,37.0,36.0,49.0,44.0,113.0,370.0,3.0,11.0,40.0,197.0,12.0,123.0,9.0,72.0,199.0,506.0,126.0
4441,4.0,7.0,28.0,12.0,0.0,1.0,14.0,123.0,8.0,3.0,2434.0,19.0,104.0,52.0,53.0,1287.0,82.0,10.0,270.0,90.0,24.0,2.0,106.0,5.0,941.0,97.0,31.0,16.0,15.0,229.0
4490,9.0,18.0,5333.0,113.0,1.0,109.0,14.0,10.0,6.0,19.0,550.0,22.0,95.0,172.0,173.0,1834.0,32.0,0.0,7.0,194.0,4.0,192.0,15946.0,27.0,41.0,272.0,122.0,21.0,73.0,8.0
4539,0.0,11.0,33.0,9.0,35.0,7.0,31.0,64.0,1.0,3.0,17655.0,95.0,3082.0,55.0,56.0,257.0,70.0,10.0,2.0,204.0,27.0,54.0,16.0,275.0,39.0,5.0,97.0,101.0,575.0,4.0
4588,11.0,0.0,27.0,17.0,15.0,4.0,60.0,306.0,7.0,3.0,870.0,33.0,36.0,1012.0,1011.0,161.0,40.0,9.0,1.0,158.0,45.0,21.0,1264.0,35.0,44.0,2.0,87.0,135.0,499.0,28.0
4637,0.0,9.0,6717.0,148.0,5.0,42.0,18.0,775.0,6.0,52.0,16938.0,125.0,65.0,18854.0,7469.0,1601.0,116.0,20.0,27.0,46.0,30.0,8.0,321.0,4.0,24.0,111.0,47.0,33.0,41.0,7.0
4686,0.0,70.0,89.0,73.0,1.0,68.0,8.0,100.0,2.0,4.0,961.0,22.0,5.0,2728.0,2727.0,216.0,67.0,939.0,13.0,7.0,145.0,16.0,23.0,34.0,60.0,359.0,56.0,11.0,33.0,3.0
4735,1.0,22.0,28.0,14.0,8.0,1649.0,13.0,382.0,2.0,32.0,1024.0,53.0,45.0,282.0,283.0,278.0,73.0,37.0,4.0,50.0,10.0,16.0,140.0,9.0,127.0,17.0,70.0,25.0,34.0,63.0
4784,2.0,14.0,18.0,771.0,1.0,66.0,3.0,652.0,48.0,119.0,1641.0,20.0,295.0,25.0,26.0,1526.0,103.0,71.0,0.0,130.0,60.0,21.0,89.0,27.0,39.0,741.0,88.0,125.0,64.0,7.0
4833,6.0,0.0,1.0,66.0,4.0,24.0,2.0,181.0,3.0,27.0,1349.0,42.0,9.0,89.0,88.0,346.0,117.0,96.0,5.0,17.0,51.0,33.0,23.0,11.0,36.0,744.0,73.0,39.0,77.0,13.0
4882,5.0,0.0,45.0,11.0,3.0,14.0,4.0,980.0,1.0,16.0,240.0,21.0,58.0,50.0,51.0,83.0,100.0,26.0,2.0,25.0,82.0,18.0,22.0,8.0,52.0,24.0,67.0,46.0,574.0,9.0
