, H2O2, PI3K_only, TLR, TGFB, TNFa, VEGF, Wnt, IL-1, JAK-STAT, MAPK_only, MAPK_PI3K
4008,0.0,2.0,1.0,4.0,6.0,3.0,5.0,8.0,7.0,10.0,9.0
4057,1.0,0.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0
4106,0.0,1.0,4.0,2.0,6.0,7.0,10.0,5.0,3.0,9.0,8.0
4155,0.0,2.0,3.0,1.0,4.0,6.0,5.0,7.0,9.0,10.0,8.0
4204,1.0,0.0,3.0,2.0,6.0,5.0,8.0,4.0,7.0,10.0,9.0
4253,2.0,0.0,4.0,1.0,7.0,3.0,5.0,8.0,9.0,10.0,6.0
4302,0.0,1.0,2.0,3.0,4.0,5.0,7.0,9.0,8.0,6.0,10.0
4351,0.0,1.0,3.0,2.0,4.0,6.0,8.0,7.0,5.0,10.0,9.0
4400,2.0,0.0,4.0,1.0,5.0,6.0,9.0,7.0,3.0,10.0,8.0
4449,2.0,1.0,0.0,3.0,4.0,5.0,8.0,10.0,6.0,7.0,9.0
4498,1.0,4.0,2.0,3.0,0.0,6.0,7.0,8.0,5.0,10.0,9.0
4547,3.0,0.0,2.0,5.0,1.0,4.0,8.0,7.0,6.0,10.0,9.0
4596,1.0,0.0,3.0,7.0,2.0,4.0,5.0,8.0,6.0,9.0,10.0
4645,3.0,0.0,2.0,4.0,1.0,5.0,7.0,10.0,6.0,9.0,8.0
4694,3.0,1.0,2.0,7.0,0.0,4.0,8.0,6.0,5.0,10.0,9.0
4743,1.0,0.0,3.0,5.0,2.0,4.0,7.0,6.0,8.0,9.0,10.0
4792,4.0,3.0,0.0,2.0,1.0,5.0,7.0,10.0,6.0,9.0,8.0
4841,1.0,0.0,3.0,5.0,4.0,2.0,6.0,7.0,9.0,10.0,8.0
4890,1.0,0.0,7.0,4.0,3.0,2.0,10.0,9.0,6.0,8.0,5.0
