,Shc_pY317,RAD51,SHP-2_pY542,EGFR_pY1068,HER2_pY1248,Akt,MIG-6,B-Raf,ACC1,Syk,Smac,Rab25,NDRG1_pT346,Lck,Bim(EP1036),eEF2K,PAI-1,p21,JNK_pT183_Y185,P-Cadherin,RSK1-2-3,Paxillin,Chk2,NF2,E-Cadherin,PREX1,eEF2,S6_pS235_S236,Src,C-Raf(MP05-739)
588,0.0,1.0,2.0,4.0,3.0,12.0,17.0,96.0,9.0,6.0,5.0,20.0,58.0,57.0,18.0,32.0,46.0,14.0,21.0,39.0,68.0,42.0,19.0,11.0,15.0,8.0,25.0,44.0,74.0,95.0
637,0.0,3.0,2.0,5.0,1.0,6.0,12.0,46.0,27.0,85.0,4.0,47.0,9.0,13.0,31.0,10.0,23.0,8.0,18.0,90.0,38.0,64.0,118.0,53.0,7.0,17.0,19.0,107.0,21.0,15.0
686,0.0,2.0,6.0,4.0,1.0,3.0,23.0,20.0,16.0,18.0,8.0,26.0,9.0,32.0,84.0,19.0,34.0,5.0,28.0,54.0,11.0,27.0,29.0,7.0,36.0,14.0,13.0,137.0,12.0,50.0
735,1.0,2.0,3.0,0.0,4.0,6.0,16.0,57.0,28.0,7.0,43.0,12.0,8.0,11.0,41.0,26.0,18.0,24.0,5.0,34.0,21.0,10.0,150.0,30.0,19.0,15.0,9.0,64.0,47.0,17.0
784,1.0,5.0,3.0,4.0,2.0,6.0,7.0,67.0,0.0,18.0,9.0,107.0,17.0,15.0,12.0,40.0,13.0,10.0,16.0,22.0,8.0,43.0,34.0,24.0,39.0,14.0,35.0,113.0,59.0,28.0
833,0.0,2.0,1.0,3.0,11.0,4.0,6.0,14.0,10.0,21.0,8.0,112.0,61.0,9.0,16.0,15.0,12.0,5.0,50.0,83.0,27.0,13.0,28.0,56.0,87.0,7.0,20.0,30.0,18.0,58.0
882,0.0,2.0,3.0,1.0,16.0,4.0,22.0,42.0,41.0,46.0,7.0,18.0,40.0,13.0,12.0,35.0,6.0,8.0,55.0,62.0,60.0,11.0,9.0,5.0,17.0,19.0,20.0,105.0,15.0,37.0
931,1.0,4.0,0.0,5.0,6.0,54.0,26.0,16.0,22.0,2.0,29.0,9.0,23.0,38.0,24.0,11.0,14.0,36.0,63.0,52.0,10.0,13.0,115.0,8.0,82.0,15.0,20.0,45.0,12.0,79.0
980,1.0,0.0,4.0,9.0,13.0,3.0,58.0,17.0,2.0,25.0,21.0,26.0,15.0,5.0,10.0,28.0,16.0,18.0,8.0,40.0,78.0,94.0,6.0,19.0,32.0,47.0,27.0,7.0,61.0,12.0
1029,0.0,6.0,1.0,9.0,8.0,29.0,12.0,18.0,4.0,36.0,19.0,7.0,20.0,33.0,14.0,67.0,16.0,2.0,24.0,22.0,125.0,74.0,40.0,54.0,56.0,30.0,64.0,91.0,110.0,43.0
1078,0.0,1.0,4.0,19.0,5.0,6.0,13.0,17.0,3.0,16.0,41.0,33.0,20.0,27.0,2.0,61.0,10.0,15.0,51.0,28.0,26.0,122.0,21.0,105.0,92.0,25.0,14.0,37.0,35.0,104.0
1127,0.0,1.0,6.0,16.0,4.0,2.0,3.0,40.0,17.0,42.0,70.0,8.0,19.0,124.0,11.0,58.0,7.0,13.0,120.0,20.0,98.0,36.0,15.0,37.0,34.0,22.0,18.0,72.0,43.0,44.0
1176,0.0,4.0,2.0,11.0,15.0,10.0,1.0,6.0,7.0,21.0,12.0,5.0,3.0,88.0,33.0,26.0,58.0,9.0,30.0,28.0,14.0,53.0,54.0,56.0,35.0,8.0,25.0,27.0,129.0,92.0
1225,1.0,0.0,3.0,15.0,7.0,5.0,12.0,37.0,2.0,33.0,27.0,17.0,8.0,18.0,21.0,19.0,20.0,4.0,76.0,92.0,60.0,82.0,16.0,50.0,103.0,6.0,88.0,11.0,105.0,126.0
1274,0.0,1.0,3.0,34.0,2.0,7.0,8.0,29.0,24.0,14.0,49.0,6.0,23.0,4.0,12.0,46.0,90.0,11.0,164.0,28.0,21.0,37.0,50.0,93.0,55.0,9.0,35.0,51.0,146.0,100.0
1323,0.0,1.0,3.0,29.0,31.0,2.0,5.0,53.0,9.0,16.0,19.0,4.0,12.0,7.0,6.0,23.0,59.0,24.0,111.0,106.0,95.0,96.0,33.0,78.0,47.0,22.0,38.0,18.0,81.0,114.0
1372,0.0,1.0,2.0,29.0,4.0,7.0,14.0,71.0,10.0,9.0,26.0,6.0,8.0,15.0,25.0,45.0,12.0,98.0,80.0,11.0,87.0,36.0,28.0,69.0,16.0,5.0,49.0,23.0,39.0,141.0
1421,0.0,1.0,2.0,7.0,94.0,4.0,32.0,22.0,35.0,8.0,93.0,3.0,5.0,78.0,6.0,136.0,11.0,26.0,46.0,74.0,53.0,114.0,39.0,76.0,64.0,14.0,48.0,19.0,20.0,63.0
1470,0.0,2.0,3.0,46.0,14.0,7.0,25.0,15.0,8.0,26.0,22.0,6.0,32.0,28.0,130.0,4.0,12.0,20.0,23.0,34.0,13.0,9.0,40.0,1.0,37.0,21.0,11.0,44.0,56.0,29.0
1519,0.0,1.0,2.0,6.0,3.0,12.0,4.0,11.0,45.0,33.0,29.0,72.0,16.0,20.0,152.0,7.0,56.0,26.0,9.0,17.0,30.0,10.0,15.0,39.0,38.0,63.0,13.0,32.0,88.0,48.0
1568,1.0,0.0,5.0,11.0,3.0,19.0,7.0,4.0,6.0,31.0,17.0,60.0,2.0,18.0,29.0,30.0,10.0,24.0,15.0,13.0,70.0,9.0,28.0,16.0,21.0,22.0,65.0,151.0,107.0,45.0
1617,1.0,0.0,3.0,5.0,25.0,2.0,77.0,57.0,22.0,7.0,9.0,43.0,6.0,10.0,11.0,8.0,15.0,12.0,16.0,23.0,18.0,38.0,58.0,4.0,39.0,24.0,41.0,31.0,71.0,81.0
1666,1.0,0.0,12.0,7.0,8.0,3.0,25.0,5.0,9.0,6.0,49.0,96.0,15.0,13.0,70.0,4.0,88.0,22.0,52.0,110.0,34.0,82.0,94.0,16.0,2.0,33.0,18.0,71.0,32.0,42.0
1715,1.0,0.0,3.0,2.0,10.0,4.0,6.0,46.0,15.0,16.0,14.0,48.0,8.0,22.0,9.0,31.0,35.0,24.0,13.0,19.0,76.0,12.0,11.0,5.0,20.0,32.0,62.0,155.0,40.0,34.0
1764,1.0,0.0,4.0,9.0,15.0,8.0,2.0,14.0,6.0,12.0,32.0,46.0,3.0,47.0,48.0,5.0,24.0,10.0,19.0,11.0,18.0,26.0,58.0,22.0,7.0,64.0,62.0,81.0,119.0,55.0
1813,1.0,0.0,2.0,13.0,4.0,15.0,59.0,71.0,24.0,6.0,11.0,16.0,52.0,8.0,35.0,5.0,20.0,36.0,7.0,85.0,53.0,123.0,10.0,17.0,58.0,3.0,22.0,55.0,32.0,117.0
1862,1.0,0.0,4.0,3.0,15.0,13.0,6.0,18.0,55.0,10.0,2.0,7.0,11.0,56.0,58.0,5.0,118.0,92.0,20.0,26.0,42.0,31.0,9.0,40.0,21.0,8.0,12.0,117.0,71.0,36.0
1911,1.0,0.0,2.0,3.0,21.0,5.0,18.0,26.0,94.0,85.0,57.0,14.0,7.0,30.0,77.0,11.0,110.0,144.0,16.0,59.0,15.0,13.0,75.0,4.0,12.0,66.0,8.0,78.0,42.0,62.0
1960,0.0,2.0,4.0,22.0,8.0,1.0,5.0,67.0,6.0,10.0,11.0,64.0,13.0,17.0,9.0,39.0,15.0,23.0,109.0,127.0,7.0,31.0,74.0,14.0,132.0,3.0,25.0,123.0,42.0,36.0
2009,0.0,2.0,1.0,8.0,4.0,5.0,3.0,17.0,6.0,9.0,49.0,7.0,12.0,104.0,10.0,14.0,13.0,112.0,146.0,24.0,16.0,41.0,86.0,11.0,140.0,45.0,18.0,153.0,31.0,15.0
2058,0.0,4.0,15.0,12.0,16.0,2.0,1.0,17.0,3.0,39.0,19.0,11.0,24.0,45.0,5.0,6.0,13.0,27.0,26.0,34.0,10.0,30.0,57.0,43.0,119.0,23.0,41.0,56.0,21.0,7.0
2107,9.0,0.0,11.0,1.0,19.0,2.0,8.0,49.0,6.0,5.0,14.0,16.0,4.0,13.0,18.0,17.0,34.0,20.0,15.0,95.0,10.0,42.0,78.0,36.0,23.0,30.0,68.0,132.0,75.0,31.0
2156,4.0,3.0,17.0,8.0,1.0,5.0,0.0,42.0,2.0,9.0,15.0,21.0,7.0,11.0,20.0,12.0,25.0,23.0,31.0,127.0,28.0,10.0,54.0,50.0,150.0,52.0,30.0,32.0,126.0,13.0
2205,1.0,0.0,11.0,2.0,7.0,5.0,8.0,64.0,6.0,3.0,19.0,35.0,17.0,10.0,20.0,16.0,28.0,29.0,70.0,123.0,4.0,97.0,25.0,63.0,106.0,14.0,27.0,48.0,105.0,50.0
2254,0.0,10.0,8.0,6.0,17.0,3.0,1.0,5.0,2.0,19.0,4.0,51.0,7.0,13.0,9.0,11.0,22.0,59.0,47.0,37.0,14.0,56.0,31.0,20.0,21.0,15.0,78.0,131.0,46.0,12.0
2303,0.0,3.0,13.0,5.0,10.0,6.0,2.0,12.0,7.0,55.0,1.0,19.0,43.0,4.0,16.0,22.0,14.0,33.0,141.0,56.0,37.0,23.0,72.0,104.0,95.0,92.0,39.0,40.0,28.0,11.0
2352,0.0,5.0,1.0,7.0,10.0,2.0,3.0,41.0,6.0,20.0,4.0,9.0,12.0,36.0,11.0,42.0,13.0,29.0,38.0,30.0,28.0,21.0,39.0,15.0,43.0,16.0,19.0,26.0,33.0,14.0
2401,5.0,0.0,7.0,3.0,28.0,9.0,1.0,44.0,91.0,4.0,8.0,17.0,6.0,10.0,11.0,14.0,19.0,16.0,149.0,94.0,2.0,115.0,42.0,30.0,15.0,32.0,18.0,33.0,13.0,37.0
2450,0.0,7.0,8.0,5.0,4.0,2.0,3.0,10.0,42.0,1.0,6.0,13.0,24.0,45.0,15.0,27.0,9.0,94.0,72.0,140.0,65.0,21.0,142.0,43.0,12.0,44.0,52.0,11.0,57.0,83.0
2499,0.0,8.0,3.0,1.0,28.0,5.0,6.0,11.0,25.0,4.0,10.0,12.0,27.0,2.0,15.0,85.0,21.0,141.0,9.0,67.0,38.0,18.0,148.0,13.0,30.0,14.0,89.0,7.0,16.0,69.0
2548,0.0,3.0,7.0,9.0,16.0,1.0,4.0,6.0,26.0,2.0,44.0,64.0,19.0,13.0,32.0,40.0,38.0,48.0,98.0,14.0,34.0,12.0,21.0,72.0,23.0,122.0,69.0,5.0,10.0,30.0
2597,0.0,14.0,11.0,5.0,2.0,3.0,1.0,4.0,10.0,20.0,6.0,82.0,32.0,39.0,54.0,56.0,22.0,84.0,55.0,160.0,100.0,13.0,133.0,69.0,38.0,75.0,72.0,16.0,18.0,24.0
2646,0.0,7.0,9.0,30.0,4.0,3.0,2.0,1.0,11.0,67.0,98.0,87.0,5.0,18.0,55.0,19.0,12.0,29.0,43.0,113.0,35.0,6.0,8.0,60.0,21.0,58.0,16.0,22.0,66.0,10.0
2695,0.0,7.0,8.0,71.0,3.0,1.0,4.0,2.0,15.0,6.0,69.0,5.0,62.0,9.0,28.0,11.0,52.0,116.0,32.0,19.0,23.0,27.0,35.0,61.0,73.0,92.0,14.0,20.0,57.0,12.0
2744,0.0,15.0,10.0,1.0,8.0,4.0,14.0,6.0,5.0,11.0,41.0,7.0,21.0,2.0,34.0,12.0,46.0,100.0,128.0,83.0,23.0,9.0,96.0,69.0,19.0,88.0,27.0,25.0,122.0,3.0
2793,0.0,5.0,1.0,3.0,7.0,12.0,10.0,2.0,8.0,11.0,14.0,22.0,17.0,6.0,25.0,15.0,16.0,69.0,146.0,119.0,64.0,50.0,70.0,29.0,99.0,54.0,4.0,24.0,23.0,13.0
2842,0.0,7.0,3.0,9.0,4.0,1.0,2.0,13.0,6.0,23.0,12.0,17.0,5.0,22.0,118.0,8.0,43.0,37.0,28.0,53.0,18.0,57.0,26.0,41.0,14.0,48.0,59.0,69.0,93.0,11.0
2891,0.0,4.0,12.0,16.0,84.0,11.0,2.0,6.0,3.0,7.0,10.0,104.0,1.0,58.0,19.0,14.0,13.0,86.0,28.0,17.0,48.0,56.0,35.0,20.0,42.0,121.0,5.0,18.0,24.0,8.0
2940,2.0,4.0,14.0,1.0,3.0,5.0,12.0,22.0,137.0,31.0,63.0,132.0,16.0,19.0,0.0,26.0,6.0,15.0,32.0,24.0,18.0,78.0,59.0,23.0,21.0,17.0,71.0,8.0,42.0,28.0
2989,0.0,5.0,2.0,3.0,7.0,16.0,23.0,4.0,29.0,24.0,20.0,97.0,10.0,18.0,1.0,12.0,37.0,17.0,140.0,21.0,35.0,119.0,108.0,11.0,13.0,32.0,92.0,28.0,22.0,84.0
3038,0.0,7.0,2.0,4.0,19.0,28.0,22.0,8.0,31.0,3.0,5.0,73.0,30.0,10.0,1.0,11.0,9.0,13.0,26.0,12.0,42.0,6.0,71.0,17.0,21.0,29.0,20.0,16.0,18.0,90.0
3087,0.0,2.0,3.0,4.0,1.0,13.0,7.0,9.0,17.0,45.0,5.0,97.0,6.0,8.0,15.0,21.0,12.0,14.0,25.0,57.0,89.0,102.0,33.0,30.0,46.0,20.0,83.0,43.0,11.0,35.0
3136,0.0,22.0,2.0,24.0,3.0,4.0,7.0,9.0,1.0,14.0,8.0,93.0,11.0,33.0,12.0,5.0,13.0,46.0,10.0,48.0,72.0,47.0,108.0,28.0,52.0,45.0,37.0,30.0,27.0,68.0
3185,0.0,4.0,6.0,23.0,3.0,13.0,12.0,5.0,14.0,8.0,21.0,85.0,27.0,17.0,1.0,2.0,51.0,117.0,9.0,29.0,38.0,64.0,103.0,30.0,40.0,107.0,16.0,7.0,22.0,56.0
3234,0.0,26.0,2.0,6.0,8.0,60.0,7.0,12.0,44.0,15.0,10.0,13.0,4.0,22.0,1.0,42.0,23.0,92.0,116.0,18.0,53.0,36.0,17.0,33.0,11.0,9.0,126.0,3.0,16.0,117.0
3283,0.0,26.0,6.0,10.0,7.0,2.0,4.0,16.0,14.0,5.0,3.0,13.0,9.0,22.0,1.0,12.0,47.0,23.0,18.0,32.0,29.0,59.0,73.0,20.0,11.0,102.0,146.0,15.0,17.0,71.0
3332,0.0,5.0,2.0,3.0,4.0,29.0,14.0,7.0,6.0,51.0,8.0,12.0,56.0,77.0,1.0,23.0,11.0,19.0,22.0,9.0,54.0,94.0,25.0,34.0,10.0,64.0,144.0,36.0,75.0,116.0
3381,0.0,29.0,4.0,9.0,5.0,1.0,14.0,6.0,44.0,16.0,7.0,8.0,20.0,19.0,15.0,33.0,24.0,2.0,10.0,12.0,36.0,38.0,37.0,30.0,21.0,42.0,96.0,45.0,25.0,81.0
3430,0.0,1.0,5.0,2.0,3.0,8.0,9.0,18.0,61.0,31.0,20.0,63.0,34.0,4.0,24.0,13.0,10.0,7.0,75.0,6.0,32.0,47.0,73.0,11.0,37.0,100.0,41.0,28.0,12.0,22.0
3479,0.0,1.0,9.0,3.0,2.0,10.0,6.0,8.0,26.0,91.0,121.0,38.0,7.0,4.0,139.0,21.0,41.0,17.0,102.0,14.0,30.0,13.0,72.0,12.0,82.0,103.0,18.0,47.0,66.0,67.0
3528,0.0,1.0,11.0,2.0,3.0,19.0,4.0,16.0,52.0,9.0,17.0,15.0,13.0,8.0,34.0,51.0,5.0,24.0,38.0,21.0,100.0,7.0,10.0,66.0,64.0,127.0,86.0,33.0,39.0,68.0
3577,0.0,2.0,3.0,1.0,8.0,5.0,51.0,15.0,22.0,12.0,99.0,4.0,11.0,7.0,100.0,16.0,26.0,9.0,18.0,6.0,101.0,23.0,144.0,34.0,33.0,59.0,69.0,60.0,115.0,112.0
3626,0.0,1.0,2.0,5.0,4.0,3.0,47.0,8.0,29.0,15.0,52.0,6.0,32.0,10.0,16.0,113.0,27.0,41.0,9.0,7.0,77.0,20.0,34.0,96.0,37.0,59.0,40.0,128.0,136.0,129.0
3675,0.0,1.0,2.0,3.0,8.0,4.0,12.0,5.0,11.0,9.0,59.0,10.0,22.0,7.0,27.0,110.0,50.0,17.0,25.0,6.0,147.0,28.0,26.0,13.0,20.0,78.0,52.0,120.0,72.0,91.0
3724,0.0,1.0,2.0,3.0,4.0,5.0,22.0,8.0,62.0,131.0,14.0,6.0,13.0,10.0,79.0,18.0,12.0,9.0,72.0,28.0,31.0,35.0,7.0,69.0,105.0,84.0,34.0,26.0,86.0,19.0
3773,1.0,0.0,8.0,2.0,4.0,6.0,31.0,19.0,24.0,25.0,36.0,3.0,38.0,5.0,153.0,52.0,22.0,14.0,17.0,13.0,64.0,9.0,7.0,42.0,134.0,16.0,75.0,27.0,129.0,125.0
3822,0.0,2.0,5.0,1.0,4.0,3.0,10.0,39.0,50.0,60.0,86.0,6.0,24.0,13.0,48.0,31.0,22.0,45.0,100.0,36.0,25.0,72.0,14.0,29.0,69.0,80.0,8.0,82.0,87.0,42.0
3871,1.0,0.0,3.0,2.0,5.0,4.0,30.0,10.0,6.0,12.0,35.0,8.0,89.0,14.0,41.0,66.0,9.0,44.0,7.0,13.0,85.0,11.0,142.0,54.0,104.0,36.0,38.0,24.0,68.0,61.0
3920,0.0,1.0,7.0,6.0,3.0,2.0,11.0,10.0,60.0,8.0,14.0,46.0,9.0,41.0,30.0,16.0,22.0,18.0,5.0,89.0,29.0,71.0,4.0,23.0,44.0,21.0,12.0,42.0,150.0,33.0
3969,0.0,1.0,6.0,3.0,2.0,4.0,13.0,10.0,68.0,11.0,12.0,115.0,17.0,58.0,7.0,80.0,35.0,16.0,47.0,64.0,18.0,25.0,5.0,44.0,38.0,110.0,49.0,8.0,37.0,90.0
4018,2.0,1.0,11.0,3.0,0.0,6.0,8.0,9.0,54.0,38.0,12.0,32.0,4.0,43.0,23.0,28.0,10.0,31.0,5.0,49.0,84.0,103.0,7.0,33.0,46.0,73.0,76.0,14.0,150.0,35.0
4067,0.0,1.0,10.0,4.0,2.0,11.0,8.0,7.0,14.0,41.0,18.0,35.0,3.0,40.0,57.0,13.0,12.0,21.0,25.0,19.0,30.0,48.0,5.0,97.0,159.0,49.0,111.0,9.0,70.0,102.0
4116,1.0,0.0,4.0,11.0,2.0,3.0,7.0,41.0,8.0,16.0,25.0,20.0,17.0,26.0,14.0,23.0,6.0,10.0,9.0,15.0,60.0,55.0,5.0,143.0,46.0,42.0,13.0,33.0,29.0,27.0
4165,0.0,2.0,3.0,12.0,1.0,5.0,18.0,7.0,83.0,16.0,8.0,17.0,4.0,148.0,64.0,6.0,24.0,45.0,10.0,56.0,11.0,13.0,39.0,44.0,32.0,131.0,42.0,50.0,153.0,38.0
4214,0.0,1.0,13.0,9.0,4.0,2.0,47.0,10.0,36.0,38.0,7.0,30.0,3.0,61.0,34.0,52.0,6.0,12.0,27.0,5.0,21.0,129.0,45.0,31.0,90.0,141.0,51.0,74.0,89.0,24.0
4263,0.0,2.0,7.0,6.0,1.0,3.0,5.0,22.0,30.0,33.0,24.0,14.0,11.0,18.0,68.0,4.0,15.0,58.0,9.0,96.0,20.0,67.0,49.0,103.0,80.0,19.0,17.0,92.0,73.0,8.0
4312,0.0,3.0,8.0,2.0,1.0,14.0,18.0,6.0,36.0,30.0,4.0,7.0,11.0,48.0,133.0,21.0,12.0,129.0,5.0,15.0,28.0,119.0,20.0,107.0,33.0,75.0,23.0,39.0,41.0,27.0
4361,0.0,1.0,12.0,5.0,2.0,6.0,15.0,13.0,7.0,20.0,8.0,21.0,16.0,32.0,18.0,3.0,95.0,22.0,14.0,35.0,38.0,98.0,9.0,19.0,53.0,63.0,48.0,26.0,125.0,28.0
4410,0.0,7.0,2.0,9.0,1.0,10.0,4.0,5.0,12.0,3.0,16.0,14.0,28.0,23.0,13.0,24.0,58.0,78.0,17.0,19.0,22.0,8.0,71.0,135.0,83.0,68.0,36.0,76.0,45.0,6.0
4459,0.0,6.0,11.0,2.0,4.0,3.0,14.0,7.0,24.0,1.0,40.0,17.0,32.0,19.0,23.0,12.0,61.0,101.0,21.0,46.0,39.0,8.0,16.0,83.0,98.0,31.0,28.0,66.0,33.0,5.0
4508,0.0,2.0,1.0,30.0,7.0,6.0,9.0,8.0,14.0,4.0,18.0,26.0,20.0,13.0,3.0,10.0,142.0,74.0,5.0,119.0,43.0,38.0,83.0,123.0,106.0,79.0,40.0,15.0,67.0,32.0
4557,0.0,2.0,7.0,24.0,14.0,1.0,26.0,10.0,42.0,4.0,5.0,100.0,36.0,17.0,6.0,18.0,15.0,23.0,8.0,73.0,9.0,12.0,20.0,59.0,31.0,115.0,30.0,56.0,37.0,98.0
4606,0.0,2.0,5.0,17.0,6.0,1.0,4.0,19.0,3.0,11.0,27.0,14.0,60.0,8.0,7.0,55.0,26.0,76.0,42.0,38.0,29.0,18.0,22.0,77.0,53.0,113.0,65.0,64.0,37.0,16.0
4655,0.0,7.0,3.0,6.0,4.0,2.0,48.0,15.0,11.0,5.0,14.0,16.0,81.0,29.0,25.0,1.0,50.0,18.0,13.0,12.0,10.0,22.0,49.0,121.0,20.0,23.0,19.0,35.0,47.0,36.0
4704,0.0,1.0,5.0,3.0,9.0,2.0,14.0,20.0,4.0,27.0,15.0,58.0,37.0,28.0,8.0,10.0,19.0,17.0,7.0,33.0,11.0,22.0,48.0,13.0,42.0,61.0,135.0,6.0,26.0,21.0
4753,0.0,2.0,3.0,4.0,14.0,1.0,112.0,16.0,67.0,9.0,18.0,5.0,22.0,13.0,8.0,15.0,45.0,65.0,7.0,19.0,6.0,20.0,35.0,26.0,29.0,42.0,48.0,28.0,37.0,24.0
4802,0.0,1.0,6.0,4.0,8.0,2.0,18.0,5.0,15.0,39.0,13.0,27.0,54.0,12.0,3.0,10.0,36.0,65.0,35.0,26.0,7.0,28.0,17.0,58.0,14.0,32.0,11.0,145.0,66.0,42.0
4851,0.0,4.0,9.0,3.0,1.0,2.0,12.0,10.0,6.0,25.0,26.0,7.0,50.0,5.0,17.0,8.0,46.0,82.0,11.0,18.0,117.0,23.0,93.0,102.0,14.0,56.0,62.0,123.0,116.0,48.0
